2085_147971_000000_000000	XVIII	eighteen	false	4.26	27.24	13
2085_147971_000007_000002	"That ain't the piece of harness I loaned you, Ambrosch; or if it is, you've used it shameful.	"That ain't the piece of harness I loaned you, Ambrosch; or if it is, you've used it shameful.	true	160.43	165.4	14
2085_147971_000007_000003	I ain't a-going to carry such a looking thing back to Mr. Burden."	I ain't a going to carry such a looking thing back to mr Burden."	false	165.74	168.94	16
2085_147971_000008_000000	Ambrosch dropped the collar on the ground.	Ambrosch dropped the collar on the ground.	true	169.58	171.64	16
2085_147971_000008_000001	"All right," he said coolly, took up his oil-can, and began to climb the mill.	"All right," he said coolly, took up his oil can, and began to climb the mill.	true	171.86	176.47	15
2085_147971_000008_000002	Jake caught him by the belt of his trousers and yanked him back.	Jake caught him by the belt of his trousers and yanked him back.	true	176.78	180.16	13
2085_147971_000008_000003	Ambrosch's feet had scarcely touched the ground when he lunged out with a vicious kick at Jake's stomach.	Ambrosch's feet had scarcely touched the ground when he lunged out with a vicious kick at Jake's stomach.	true	180.53	185.8	13
2085_147971_000008_000004	Fortunately Jake was in such a position that he could dodge it. This was not the sort of thing country boys did when they played at fisticuffs, and Jake was furious.	Fortunately Jake was in such a position that he could dodge it. This was not the sort of thing country boys did when they played at fisticuffs, and Jake was furious.	true	186.05	195.37	14
2085_147971_000008_000005	He landed Ambrosch a blow on the head--it sounded like the crack of an axe on a cow-pumpkin.	He landed Ambrosch a blow on the head-it sounded like the crack of an axe on a cow pumpkin.	true	195.83	201.16	13
2085_147971_000008_000006	Ambrosch dropped over, stunned.	Ambrosch dropped over, stunned.	true	201.41	203.53	15
2085_147971_000009_000000	We heard squeals, and looking up saw Antonia and her mother coming on the run.	We heard squeals, and looking up saw Antonia and her mother coming on the run.	true	203.84	207.97	11
2085_147971_000009_000001	They did not take the path around the pond, but plunged through the muddy water, without even lifting their skirts.	They did not take the path around the pond, but plunged through the muddy water, without even lifting their skirts.	true	208.31	214.06	12
2085_147971_000009_000002	They came on, screaming and clawing the air.	They came on, screaming and clawing the air.	true	214.55	217.09	12
2085_147971_000009_000003	By this time Ambrosch had come to his senses and was sputtering with nose-bleed.	By this time Ambrosch had come to his senses and was sputtering with nose bleed.	false	217.25	222.25	13
2085_147971_000009_000004	Jake sprang into his saddle.	Jake sprang into his saddle.	false	222.56	224.38	15
2085_147971_000009_000005	"Let's get out of this, Jim," he called.	"Let's get out of this, Jim," he called.	true	224.75	227.11	17.148901
2085_147971_000010_000000	Mrs. Shimerda threw her hands over her head and clutched as if she were going to pull down lightning.	mrs Shimerda threw her hands over her head and clutched as if she were going to pull down lightning.	true	227.27	232.6	13
2085_147971_000010_000001	"Law, law!" she shrieked after us.	"Law, law!" she shrieked after us.	true	232.88	235.63	18.970903
2085_147971_000010_000002	"Law for knock my Ambrosch down!"	"Law for knock my Ambrosch down!"	true	236.03	238.66	16
2085_147971_000011_000000	"I never like you no more, Jake and Jim Burden," Antonia panted.	"I never like you no more, Jake and Jim Burden," Antonia panted.	true	239.36	244.27	18.36382
2085_147971_000011_000001	"No friends any more!"	"No friends any more!"	true	244.46	246.34	19.297646
2085_147971_000012_000000	Jake stopped and turned his horse for a second.	Jake stopped and turned his horse for a second.	true	246.77	249.07	10
2085_147971_000012_000001	"Well, you're a damned ungrateful lot, the whole pack of you," he shouted back.	"Well, you're a damned ungrateful lot, the whole pack of you," he shouted back.	true	249.59	253.48	18
2085_147971_000012_000002	"I guess the Burdens can get along without you.	"I guess the Burdens can get along without you.	true	253.61	255.94	15
2085_147971_000012_000003	You've been a sight of trouble to them, anyhow!"	You've been a sight of trouble to them, anyhow!"	true	256.07	258.49	14
2085_147971_000013_000000	We rode away, feeling so outraged that the fine morning was spoiled for us.	We rode away, feeling so outraged that the fine morning was spoiled for us.	true	258.71	263.05	14
2085_147971_000013_000001	I had n't a word to say, and poor Jake was white as paper and trembling all over.	I had n't a word to say, and poor Jake was white as paper and trembling all over.	true	263.39	268.39	13
2085_147971_000013_000002	It made him sick to get so angry.	It made him sick to get so angry.	true	268.7	271.06	12
2085_147971_000013_000003	"They ain't the same, Jimmy," he kept saying in a hurt tone.	"They ain't the same, Jimmy," he kept saying in a hurt tone.	false	271.25	275.11	12
2085_147971_000013_000004	"These foreigners ain't the same.	"These foreigners ain't the same.	true	275.12	276.87	10
2085_147971_000013_000005	You can't trust 'em to be fair.	You can't trust 'em to be fair.	false	276.87	278.475	10
2085_147971_000013_000006	It's dirty to kick a feller.	It's dirty to kick a feller.	true	278.475	280.33	16
2085_147971_000013_000007	You heard how the women turned on you--and after all we went through on account of 'em last winter!	You heard how the women turned on you-and after all we went through on account of 'em last winter!	false	280.82	286.27	12
2085_147971_000013_000008	They ain't to be trusted.	They ain't to be trusted.	true	286.52	288.25	12
2085_147971_000013_000009	I don't want to see you get too thick with any of 'em."	I don't want to see you get too thick with any of 'em."	false	288.41	291.57	16.360203
2085_147971_000014_000000	"I'll never be friends with them again, Jake," I declared hotly.	"I'll never be friends with them again, Jake," I declared hotly.	true	291.57	295	18
2085_147971_000014_000001	"I believe they are all like Krajiek and Ambrosch underneath."	"I believe they are all like Krajiek and Ambrosch underneath."	false	295.22	298.57	16
2085_147971_000015_000000	Grandfather heard our story with a twinkle in his eye.	Grandfather heard our story with a twinkle in his eye.	false	299.36	302.47	12
2085_147971_000015_000001	He advised Jake to ride to town to-morrow, go to a justice of the peace, tell him he had knocked young Shimerda down, and pay his fine.	He advised Jake to ride to town to morrow, go to a justice of the peace, tell him he had knocked young Shimerda down, and pay his fine.	false	302.66	310.27	12
2085_147971_000015_000002	Then if Mrs. Shimerda was inclined to make trouble--her son was still under age--she would be forestalled.	Then if mrs Shimerda was inclined to make trouble-her son was still under age-she would be forestalled.	true	310.85	317.02	14
2085_147971_000015_000003	Jake said he might as well take the wagon and haul to market the pig he had been fattening.	Jake said he might as well take the wagon and haul to market the pig he had been fattening.	true	317.36	321.76	13
2085_147971_000015_000004	On Monday, about an hour after Jake had started, we saw Mrs. Shimerda and her Ambrosch proudly driving by, looking neither to the right nor left.	On Monday, about an hour after Jake had started, we saw mrs Shimerda and her Ambrosch proudly driving by, looking neither to the right nor left.	true	322.28	331.42	12
2085_147971_000015_000005	As they rattled out of sight down the Black Hawk road, grandfather chuckled, saying he had rather expected she would follow the matter up.	As they rattled out of sight down the Black Hawk road, grandfather chuckled, saying he had rather expected she would follow the matter up.	false	331.73	339.37	13
2085_147971_000016_000000	Jake paid his fine with a ten-dollar bill grandfather had given him for that purpose.	Jake paid his fine with a ten dollar bill grandfather had given him for that purpose.	true	339.95	344.62	11
2085_147971_000016_000001	But when the Shimerdas found that Jake sold his pig in town that day, Ambrosch worked it out in his shrewd head that Jake had to sell his pig to pay his fine.	But when the Shimerdas found that Jake sold his pig in town that day, Ambrosch worked it out in his shrewd head that Jake had to sell his pig to pay his fine.	false	344.66	353.59	14
2085_147971_000016_000002	This theory afforded the Shimerdas great satisfaction, apparently.	This theory afforded the Shimerdas great satisfaction, apparently.	true	354.17	357.82	13
2085_147971_000016_000003	For weeks afterward, whenever Jake and I met Antonia on her way to the post-office, or going along the road with her work-team, she would clap her hands and call to us in a spiteful, crowing voice:--	For weeks afterward, whenever Jake and I met Antonia on her way to the post office, or going along the road with her work team, she would clap her hands and call to us in a spiteful, crowing voice:--	true	358.07	368.77	13
2085_147971_000017_000000	"Jake-y, Jake-y, sell the pig and pay the slap!"	"Jake y, Jake y, sell the pig and pay the slap!"	false	369.14	373.09	14
2085_147971_000018_000000	Otto pretended not to be surprised at Antonia's behavior.	Otto pretended not to be surprised at Antonia's behavior.	true	373.7	376.92	10
2085_147971_000018_000001	He only lifted his brows and said, "You can't tell me anything new about a Czech; I'm an Austrian."	He only lifted his brows and said, "You can't tell me anything new about a Czech; I'm an Austrian."	false	376.92	383.77	16.96166
2085_147971_000019_000000	Grandfather was never a party to what Jake called our feud with the Shimerdas.	Grandfather was never a party to what Jake called our feud with the Shimerdas.	true	384.05	387.91	12
2085_147971_000019_000001	Ambrosch and Antonia always greeted him respectfully, and he asked them about their affairs and gave them advice as usual.	Ambrosch and Antonia always greeted him respectfully, and he asked them about their affairs and gave them advice as usual.	false	388.22	394.96	13
2085_147971_000019_000002	He thought the future looked hopeful for them.	He thought the future looked hopeful for them.	true	395	397.51	14
2085_147971_000019_000003	Ambrosch was a far-seeing fellow; he soon realized that his oxen were too heavy for any work except breaking sod, and he succeeded in selling them to a newly arrived German.	Ambrosch was a far seeing fellow; he soon realized that his oxen were too heavy for any work except breaking sod, and he succeeded in selling them to a newly arrived German.	true	397.85	408.1	13
2085_147971_000019_000004	With the money he bought another team of horses, which grandfather selected for him.	With the money he bought another team of horses, which grandfather selected for him.	true	408.32	413.59	15
2085_147971_000019_000005	Marek was strong, and Ambrosch worked him hard; but he could never teach him to cultivate corn, I remember.	Marek was strong, and Ambrosch worked him hard; but he could never teach him to cultivate corn, I remember.	true	413.93	420.04	13
2085_147971_000019_000006	The one idea that had ever got through poor Marek's thick head was that all exertion was meritorious.	The one idea that had ever got through poor Marek's thick head was that all exertion was meritorious.	true	420.32	426.46	16
2085_147971_000019_000007	He always bore down on the handles of the cultivator and drove the blades so deep into the earth that the horses were soon exhausted.	He always bore down on the handles of the cultivator and drove the blades so deep into the earth that the horses were soon exhausted.	true	426.83	433.75	10
2085_147971_000020_000000	In June Ambrosch went to work at Mr. Bushy's for a week, and took Marek with him at full wages.	In June Ambrosch went to work at mr Bushy's for a week, and took Marek with him at full wages.	true	434.42	440.08	13
2085_147971_000020_000001	Mrs. Shimerda then drove the second cultivator; she and Antonia worked in the fields all day and did the chores at night. While the two women were running the place alone, one of the new horses got colic and gave them a terrible fright.	mrs Shimerda then drove the second cultivator; she and Antonia worked in the fields all day and did the chores at night. While the two women were running the place alone, one of the new horses got colic and gave them a terrible fright.	true	440.42	453.25	13
2085_147971_000021_000000	Antonia had gone down to the barn one night to see that all was well before she went to bed, and she noticed that one of the roans was swollen about the middle and stood with its head hanging.	Antonia had gone down to the barn one night to see that all was well before she went to bed, and she noticed that one of the roans was swollen about the middle and stood with its head hanging.	true	453.89	463.75	10
2085_147971_000021_000001	She mounted another horse, without waiting to saddle him, and hammered on our door just as we were going to bed.	She mounted another horse, without waiting to saddle him, and hammered on our door just as we were going to bed.	true	464.12	470.11	13
2085_147971_000021_000002	Grandfather answered her knock.	Grandfather answered her knock.	true	470.72	472.78	17.136309
2085_147971_000021_000003	He did not send one of his men, but rode back with her himself, taking a syringe and an old piece of carpet he kept for hot applications when our horses were sick.	He did not send one of his men, but rode back with her himself, taking a syringe and an old piece of carpet he kept for hot applications when our horses were sick.	false	472.97	482.29	13
2085_147971_000021_000004	He found Mrs. Shimerda sitting by the horse with her lantern, groaning and wringing her hands.	He found mrs Shimerda sitting by the horse with her lantern, groaning and wringing her hands.	true	482.33	487.42	9
2085_147971_000021_000005	It took but a few moments to release the gases pent up in the poor beast, and the two women heard the rush of wind and saw the roan visibly diminish in girth.	It took but a few moments to release the gases pent up in the poor beast, and the two women heard the rush of wind and saw the roan visibly diminish in girth.	true	487.76	496.51	13
2085_147971_000022_000000	"If I lose that horse, Mr. Burden," Antonia exclaimed, "I never stay here till Ambrosch come home!	"If I lose that horse, mr Burden," Antonia exclaimed, "I never stay here till Ambrosch come home!	true	496.91	504.01	16
2085_147971_000022_000001	I go drown myself in the pond before morning."	I go drown myself in the pond before morning."	true	504.14	507.1	16
2085_147971_000023_000000	When Ambrosch came back from Mr. Bushy's, we learned that he had given Marek's wages to the priest at Black Hawk, for masses for their father's soul.	When Ambrosch came back from mr Bushy's, we learned that he had given Marek's wages to the priest at Black Hawk, for masses for their father's soul.	true	507.29	515.2	11
2085_147971_000023_000001	Grandmother thought Antonia needed shoes more than Mr. Shimerda needed prayers, but grandfather said tolerantly, "If he can spare six dollars, pinched as he is, it shows he believes what he professes."	Grandmother thought Antonia needed shoes more than mr Shimerda needed prayers, but grandfather said tolerantly, "If he can spare six dollars, pinched as he is, it shows he believes what he professes."	true	515.42	527.14	14
2085_147971_000024_000000	It was grandfather who brought about a reconciliation with the Shimerdas. One morning he told us that the small grain was coming on so well, he thought he would begin to cut his wheat on the first of July.	It was grandfather who brought about a reconciliation with the Shimerdas. One morning he told us that the small grain was coming on so well, he thought he would begin to cut his wheat on the first of July.	false	527.66	539.05	12
2085_147971_000024_000001	He would need more men, and if it were agreeable to every one he would engage Ambrosch for the reaping and thrashing, as the Shimerdas had no small grain of their own.	He would need more men, and if it were agreeable to every one he would engage Ambrosch for the reaping and thrashing, as the Shimerdas had no small grain of their own.	true	539.48	548.14	10
2085_147971_000025_000000	"I think, Emmaline," he concluded, "I will ask Antonia to come over and help you in the kitchen.	"I think, Emmaline," he concluded, "I will ask Antonia to come over and help you in the kitchen.	true	548.99	554.86	17
2085_147971_000025_000001	She will be glad to earn something, and it will be a good time to end misunderstandings.	She will be glad to earn something, and it will be a good time to end misunderstandings.	true	554.9	559.33	11
2085_147971_000025_000002	I may as well ride over this morning and make arrangements.	I may as well ride over this morning and make arrangements.	true	559.61	562.44	12
2085_147971_000025_000003	Do you want to go with me, Jim?" His tone told me that he had already decided for me.	Do you want to go with me, Jim?" His tone told me that he had already decided for me.	false	562.44	567.76	17.481667
2085_147971_000026_000000	After breakfast we set off together.	After breakfast we set off together.	true	568.31	570.55	16
2085_147971_000026_000001	When Mrs. Shimerda saw us coming, she ran from her door down into the draw behind the stable, as if she did not want to meet us.	When mrs Shimerda saw us coming, she ran from her door down into the draw behind the stable, as if she did not want to meet us.	false	570.56	577.33	10
2085_147971_000026_000002	Grandfather smiled to himself while he tied his horse, and we followed her.	Grandfather smiled to himself while he tied his horse, and we followed her.	true	578.03	582.16	13
2085_147971_000027_000000	Behind the barn we came upon a funny sight.	Behind the barn we came upon a funny sight.	true	582.38	584.83	17
2085_147971_000027_000001	The cow had evidently been grazing somewhere in the draw.	The cow had evidently been grazing somewhere in the draw.	true	585.05	588.3	11
2085_147971_000027_000002	Mrs. Shimerda had run to the animal, pulled up the lariat pin, and, when we came upon her, she was trying to hide the cow in an old cave in the bank.	mrs Shimerda had run to the animal, pulled up the lariat pin, and, when we came upon her, she was trying to hide the cow in an old cave in the bank.	true	588.3	596.8	13
2085_147971_000027_000003	As the hole was narrow and dark, the cow held back, and the old woman was slapping and pushing at her hind quarters, trying to spank her into the draw-side.	As the hole was narrow and dark, the cow held back, and the old woman was slapping and pushing at her hind quarters, trying to spank her into the draw side.	true	597.17	605.2	10
2085_147971_000028_000000	Grandfather ignored her singular occupation and greeted her politely. "Good-morning, Mrs. Shimerda.	Grandfather ignored her singular occupation and greeted her politely. "Good morning, mrs Shimerda.	false	605.51	611.445	16.919392
2085_147971_000028_000001	Can you tell me where I will find Ambrosch? Which field?"	Can you tell me where I will find Ambrosch? Which field?"	true	611.445	615.03	19
2085_147971_000029_000000	"He with the sod corn." She pointed toward the north, still standing in front of the cow as if she hoped to conceal it.	"He with the sod corn." She pointed toward the north, still standing in front of the cow as if she hoped to conceal it.	true	615.03	621.61	14
2085_147971_000030_000000	"His sod corn will be good for fodder this winter," said grandfather encouragingly.	"His sod corn will be good for fodder this winter," said grandfather encouragingly.	true	622.07	626.53	15
2085_147971_000030_000001	"And where is Antonia?"	"And where is Antonia?"	true	626.75	628.36	14
2085_147971_000031_000000	"She go with." Mrs. Shimerda kept wiggling her bare feet about nervously in the dust.	"She go with." mrs Shimerda kept wiggling her bare feet about nervously in the dust.	true	628.73	634.15	15
2085_147971_000032_000000	"Very well.	"Very well.	true	634.94	635.61	20
2085_147971_000032_000001	I will ride up there.	I will ride up there.	true	635.61	636.82	16
2085_147971_000032_000002	I want them to come over and help me cut my oats and wheat next month.	I want them to come over and help me cut my oats and wheat next month.	true	637.1	640.72	14
2085_147971_000032_000003	I will pay them wages.	I will pay them wages.	true	641.3	642.73	17
2085_147971_000032_000004	Good-morning.	Good morning.	true	643.01	644.02	17.398098
2085_147971_000032_000005	By the way, Mrs. Shimerda," he said as he turned up the path, "I think we may as well call it square about the cow."	By the way, mrs Shimerda," he said as he turned up the path, "I think we may as well call it square about the cow."	true	644.36	651.25	17.538614
2085_147971_000033_000000	She started and clutched the rope tighter.	She started and clutched the rope tighter.	true	651.86	654.07	15
2085_147971_000033_000001	Seeing that she did not understand, grandfather turned back.	Seeing that she did not understand, grandfather turned back.	true	654.08	657.31	14
2085_147971_000033_000002	"You need not pay me anything more; no more money.	"You need not pay me anything more; no more money.	true	657.98	661.93	14
2085_147971_000033_000003	The cow is yours."	The cow is yours."	true	662.18	664.18	14
2085_147971_000034_000000	"Pay no more, keep cow?" she asked in a bewildered tone, her narrow eyes snapping at us in the sunlight.	"Pay no more, keep cow?" she asked in a bewildered tone, her narrow eyes snapping at us in the sunlight.	true	665.21	673.62	15.164346
2085_147971_000035_000000	"Exactly.	"Exactly.	true	673.62	674.65	19.898407
2085_147971_000035_000001	Pay no more, keep cow." He nodded.	Pay no more, keep cow." He nodded.	true	674.93	678.19	17.82957
2085_147971_000036_000000	Mrs. Shimerda dropped the rope, ran after us, and crouching down beside grandfather, she took his hand and kissed it.	mrs Shimerda dropped the rope, ran after us, and crouching down beside grandfather, she took his hand and kissed it.	true	678.29	684.49	12
2085_147971_000036_000001	I doubt if he had ever been so much embarrassed before.	I doubt if he had ever been so much embarrassed before.	true	684.5	687.91	12
2085_147971_000036_000002	I was a little startled, too.	I was a little startled, too.	true	688.07	690.04	14
2085_147971_000036_000003	Somehow, that seemed to bring the Old World very close.	Somehow, that seemed to bring the Old World very close.	true	690.08	693.64	13
2085_147971_000037_000000	We rode away laughing, and grandfather said: "I expect she thought we had come to take the cow away for certain, Jim.	We rode away laughing, and grandfather said: "I expect she thought we had come to take the cow away for certain, Jim.	false	694.4	700.99	17
2085_147971_000037_000001	I wonder if she would n't have scratched a little if we'd laid hold of that lariat rope!"	I wonder if she would n't have scratched a little if we'd laid hold of that lariat rope!"	true	701.18	706.125	15
2085_147971_000038_000000	Our neighbors seemed glad to make peace with us.	Our neighbors seemed glad to make peace with us.	true	706.125	708.64	14
2085_147971_000038_000001	The next Sunday Mrs. Shimerda came over and brought Jake a pair of socks she had knitted.	The next Sunday mrs Shimerda came over and brought Jake a pair of socks she had knitted.	true	709.19	713.62	13
2085_147971_000038_000002	She presented them with an air of great magnanimity, saying, "Now you not come any more for knock my Ambrosch down?"	She presented them with an air of great magnanimity, saying, "Now you not come any more for knock my Ambrosch down?"	true	713.63	721.96	15
2085_147971_000039_000000	Jake laughed sheepishly.	Jake laughed sheepishly.	true	722.66	724.21	13
2085_147971_000039_000001	"I don't want to have no trouble with Ambrosch. If he'll let me alone, I'll let him alone."	"I don't want to have no trouble with Ambrosch. If he'll let me alone, I'll let him alone."	false	724.58	729.64	14
2085_147971_000040_000000	"If he slap you, we ain't got no pig for pay the fine," she said insinuatingly.	"If he slap you, we ain't got no pig for pay the fine," she said insinuatingly.	false	730.4	743.02	15
2085_147971_000041_000000	Jake was not at all disconcerted.	Jake was not at all disconcerted.	true	743.39	745.69	15
2085_147971_000041_000001	"Have the last word, mam," he said cheerfully.	"Have the last word, mam," he said cheerfully.	true	746.18	749.2	14
2085_147971_000041_000002	"It's a lady's privilege."	"It's a lady's privilege."	true	749.33	751.14	13
2085_147971_000042_000000	XIX	nineteen	false	751.14	751.26	-20
2085_147971_000043_000000	JULY came on with that breathless, brilliant heat which makes the plains of Kansas and Nebraska the best corn country in the world.	JULY came on with that breathless, brilliant heat which makes the plains of Kansas and Nebraska the best corn country in the world.	false	751.26	753.15	20.203568
2085_147971_000043_000001	It seemed as if we could hear the corn growing in the night; under the stars one caught a faint crackling in the dewy, heavy-odored cornfields where the feathered stalks stood so juicy and green.	It seemed as if we could hear the corn growing in the night; under the stars one caught a faint crackling in the dewy, heavy odored cornfields where the feathered stalks stood so juicy and green.	false	753.15	753.93	8
2085_147971_000043_000002	If all the great plain from the Missouri to the Rocky Mountains had been under glass, and the heat regulated by a thermometer, it could not have been better for the yellow tassels that were ripening and fertilizing each other day by day.	If all the great plain from the Missouri to the Rocky Mountains had been under glass, and the heat regulated by a thermometer, it could not have been better for the yellow tassels that were ripening and fertilizing each other day by day.	false	753.93	755.46	21.223906
2085_147971_000043_000003	The cornfields were far apart in those times, with miles of wild grazing land between.	The cornfields were far apart in those times, with miles of wild grazing land between.	false	755.46	755.76	8
2085_147971_000043_000004	It took a clear, meditative eye like my grandfather's to foresee that they would enlarge and multiply until they would be, not the Shimerdas' cornfields, or Mr. Bushy's, but the world's cornfields; that their yield would be one of the great economic facts, like the wheat crop of Russia, which underlie all the activities of men, in peace or war.	It took a clear, meditative eye like my grandfather's to foresee that they would enlarge and multiply until they would be, not the Shimerdas' cornfields, or mr Bushy's, but the world's cornfields; that their yield would be one of the great economic facts, like the wheat crop of Russia, which underlie all the activities of men, in peace or war.	false	755.76	758.61	15
