7240_108066_000000_000000	What was it worked the change?	What was it worked the change?	false	0	3.51	26.604706
7240_108066_000030_000000	The order was shouted up to him in a Bishop's voice--he must let down his rope, draw up a ladder, and descend.	The order was shouted up to him in a Bishop's voice-he must let down his rope, draw up a ladder, and descend.	true	529.43	538.66	21.02289
7240_108066_000031_000000	Straightway Simeon made preparation to obey.	Straightway Simeon made preparation to obey.	false	539.15	543.57	20.45744
7240_108066_000031_000001	And then the Bishops relented and cried, "We have changed our minds, and now order you to remain!"	And then the Bishops relented and cried, "We have changed our minds, and now order you to remain!"	false	543.57	552.54	21.50323
7240_108066_000032_000000	Simeon lifted his hands in adoration and thankfulness and renewed his lease.	Simeon lifted his hands in adoration and thankfulness and renewed his lease.	true	552.54	558.79	21
7240_108066_000033_000000	And so he lived on and on and on--he lived on the top of that pillar, never once descending for thirty years.	And so he lived on and on and on-he lived on the top of that pillar, never once descending for thirty years.	true	559.43	569.32	23.071316
7240_108066_000034_000000	All his former companions grew aweary, and one by one died, and the monastery bells tolled their requiem as they were laid to rest.	All his former companions grew aweary, and one by one died, and the monastery bells tolled their requiem as they were laid to rest.	true	569.96	581.59	22.554304
7240_108066_000034_000001	Did Simeon hear the bells and say, "Soon it will be my turn"?	Did Simeon hear the bells and say, "Soon it will be my turn"?	true	582.05	587.65	26.211855
7240_108066_000035_000000	Probably not.	Probably not.	true	588.05	589.51	20.650494
7240_108066_000035_000001	His senses had flown, for what good were they!	His senses had flown, for what good were they!	true	589.79	593.83	25.16488
7240_108066_000035_000002	The young monk who now at eventide brought the basket with the bottle of goat's milk and the loaf of brown bread was born since Simeon had taken his place on the pillar.	The young monk who now at eventide brought the basket with the bottle of goat's milk and the loaf of brown bread was born since Simeon had taken his place on the pillar.	false	594.53	608.2	26.448612
7240_108066_000036_000000	"He has always been there," the people said, and crossed themselves hurriedly.	"He has always been there," the people said, and crossed themselves hurriedly.	true	608.84	615.16	23.012615
7240_108066_000037_000000	But one evening when the young monk came with his basket, no line was dropped down from above.	But one evening when the young monk came with his basket, no line was dropped down from above.	true	615.77	622.6	22.898174
7240_108066_000037_000001	He waited and then called aloud, but all in vain.	He waited and then called aloud, but all in vain.	true	622.97	627.7	24.02521
7240_108066_000038_000000	When sunrise came, there sat the monk, his face between his knees, the folds of his black robe drawn over his head.	When sunrise came, there sat the monk, his face between his knees, the folds of his black robe drawn over his head.	true	628.13	637.96	22.793411
7240_108066_000038_000001	But he did not rise and lift his hands in prayer.	But he did not rise and lift his hands in prayer.	true	638.24	642.46	23.651098
7240_108066_000039_000000	All day he sat there, motionless.	All day he sat there, motionless.	true	642.95	646.21	26.34682
7240_108066_000040_000000	The people watched in whispered silence.	The people watched in whispered silence.	true	646.7	649.75	26.007591
7240_108066_000040_000001	Would he arise at sundown and pray, and with outstretched hands bless the assembled pilgrims?	Would he arise at sundown and pray, and with outstretched hands bless the assembled pilgrims?	true	650	658.03	23.578503
7240_108066_000041_000000	And as they watched, a vulture came sailing slowly through the blue ether, and circled nearer and nearer; and off on the horizon was another--and still another, circling nearer and ever nearer.	And as they watched, a vulture came sailing slowly through the blue ether, and circled nearer and nearer; and off on the horizon was another-and still another, circling nearer and ever nearer.	false	658.67	690.99	23.042244
