54_121080_000002_000000	Chapter 62.	Chapter sixty two.
54_121080_000009_000000	"I mean, because he wants petting.	"I mean, because he wants petting.
54_121080_000012_000000	"I?	"I?
54_121080_000012_000001	Certainly not," replied the count.	Certainly not," replied the count.
54_121080_000014_000000	"Then they follow you?" asked Monte Cristo.	"Then they follow you?" asked Monte Cristo.
54_121080_000015_000000	"See, they are here." And at the same minute a carriage with smoking horses, accompanied by two mounted gentlemen, arrived at the gate, which opened before them.	"See, they are here." And at the same minute a carriage with smoking horses, accompanied by two mounted gentlemen, arrived at the gate, which opened before them.
54_121080_000015_000001	The carriage drove round, and stopped at the steps, followed by the horsemen.	The carriage drove round, and stopped at the steps, followed by the horsemen.
54_121080_000015_000002	The instant Debray had touched the ground, he was at the carriage-door.	The instant Debray had touched the ground, he was at the carriage door.
54_121080_000015_000003	He offered his hand to the baroness, who, descending, took it with a peculiarity of manner imperceptible to every one but Monte Cristo.	He offered his hand to the baroness, who, descending, took it with a peculiarity of manner imperceptible to every one but Monte Cristo.
54_121080_000015_000005	After his wife the banker descended, as pale as though he had issued from his tomb instead of his carriage.	After his wife the banker descended, as pale as though he had issued from his tomb instead of his carriage.
54_121080_000016_000001	The count understood him.	The count understood him.
54_121080_000019_000000	"How so?"	"How so?"
54_121080_000020_000000	"He laid a wager he would tame Medeah in the space of six months.	"He laid a wager he would tame Medeah in the space of six months.
54_121080_000020_000001	You understand now that if he were to get rid of the animal before the time named, he would not only lose his bet, but people would say he was afraid; and a brave captain of Spahis cannot risk this, even to gratify a pretty woman, which is, in my opinion, one of the most sacred obligations in the world."	You understand now that if he were to get rid of the animal before the time named, he would not only lose his bet, but people would say he was afraid; and a brave captain of Spahis cannot risk this, even to gratify a pretty woman, which is, in my opinion, one of the most sacred obligations in the world."
54_121080_000021_000000	"You see my position, madame," said Morrel, bestowing a grateful smile on Monte Cristo.	"You see my position, madame," said Morrel, bestowing a grateful smile on Monte Cristo.
54_121080_000022_000002	The baroness was astonished. "Why," said she, "you could plant one of the chestnut-trees in the Tuileries inside!	The baroness was astonished. "Why," said she, "you could plant one of the chestnut trees in the Tuileries inside!
54_121080_000023_000001	It is the work of another age, constructed by the genii of earth and water."	It is the work of another age, constructed by the genii of earth and water."
54_121080_000024_000000	"How so?--at what period can that have been?"	"How so?--at what period can that have been?"
54_121080_000025_000000	"I do not know; I have only heard that an emperor of China had an oven built expressly, and that in this oven twelve jars like this were successively baked.	"I do not know; I have only heard that an emperor of China had an oven built expressly, and that in this oven twelve jars like this were successively baked.
54_121080_000025_000001	Two broke, from the heat of the fire; the other ten were sunk three hundred fathoms deep into the sea.	Two broke, from the heat of the fire; the other ten were sunk three hundred fathoms deep into the sea.
54_121080_000025_000004	Divers descended in machines, made expressly on the discovery, into the bay where they were thrown; but of ten three only remained, the rest having been broken by the waves.	Divers descended in machines, made expressly on the discovery, into the bay where they were thrown; but of ten three only remained, the rest having been broken by the waves.
54_121080_000025_000006	When he had finished with the orange-tree, he began at the cactus; but this, not being so easily plucked as the orange-tree, pricked him dreadfully.	When he had finished with the orange tree, he began at the cactus; but this, not being so easily plucked as the orange tree, pricked him dreadfully.
54_121080_000027_000000	"Stay," said Debray; "I recognize this Hobbema."	"Stay," said Debray; "I recognize this Hobbema."
54_121080_000029_000000	"Yes; it was proposed for the Museum."	"Yes; it was proposed for the Museum."
54_121080_000030_000000	"Which, I believe, does not contain one?" said Monte Cristo.	"Which, I believe, does not contain one?" said Monte Cristo.
54_121080_000031_000000	"No; and yet they refused to buy it."	"No; and yet they refused to buy it."
54_121080_000036_000000	"I think not," replied Chateau-Renaud.	"I think not," replied Chateau Renaud.
54_121080_000037_000001	A black satin stock, fresh from the maker's hands, gray moustaches, a bold eye, a major's uniform, ornamented with three medals and five crosses--in fact, the thorough bearing of an old soldier--such was the appearance of Major Bartolomeo Cavalcanti, that tender father with whom we are already acquainted.	A black satin stock, fresh from the maker's hands, gray moustaches, a bold eye, a major's uniform, ornamented with three medals and five crosses-in fact, the thorough bearing of an old soldier-such was the appearance of Major Bartolomeo Cavalcanti, that tender father with whom we are already acquainted.
54_121080_000037_000003	The three young people were talking together.	The three young people were talking together.
54_121080_000037_000005	"Cavalcanti!" said Debray.	"Cavalcanti!" said Debray.
54_121080_000038_000000	"Yes," said Chateau-Renaud, "these Italians are well named and badly dressed."	"Yes," said Chateau Renaud, "these Italians are well named and badly dressed."
54_121080_000039_000000	"You are fastidious, Chateau-Renaud," replied Debray; "those clothes are well cut and quite new."	"You are fastidious, Chateau Renaud," replied Debray; "those clothes are well cut and quite new."
54_121080_000040_000001	That gentleman appears to be well dressed for the first time in his life."	That gentleman appears to be well dressed for the first time in his life."
54_121080_000041_000000	"Who are those gentlemen?" asked Danglars of Monte Cristo.	"Who are those gentlemen?" asked Danglars of Monte Cristo.
54_121080_000042_000000	"You heard--Cavalcanti."	"You heard-Cavalcanti."
54_121080_000043_000000	"That tells me their name, and nothing else."	"That tells me their name, and nothing else."
54_121080_000045_000000	"Have they any fortune?"	"Have they any fortune?"
54_121080_000046_000000	"An enormous one."	"An enormous one."
54_121080_000047_000000	"What do they do?"	"What do they do?"
54_121080_000048_000000	"Try to spend it all.	"Try to spend it all.
54_121080_000048_000001	They have some business with you, I think, from what they told me the day before yesterday.	They have some business with you, I think, from what they told me the day before yesterday.
54_121080_000048_000003	I will introduce you to them."	I will introduce you to them."
54_121080_000049_000000	"But they appear to speak French with a very pure accent," said Danglars.	"But they appear to speak French with a very pure accent," said Danglars.
54_121080_000050_000001	You will find him quite enthusiastic."	You will find him quite enthusiastic."
54_121080_000051_000000	"Upon what subject?" asked Madame Danglars.	"Upon what subject?" asked Madame Danglars.
54_121080_000053_000000	"A fine idea that of his," said Danglars, shrugging his shoulders. Madame Danglars looked at her husband with an expression which, at any other time, would have indicated a storm, but for the second time she controlled herself.	"A fine idea that of his," said Danglars, shrugging his shoulders. Madame Danglars looked at her husband with an expression which, at any other time, would have indicated a storm, but for the second time she controlled herself.
54_121080_000053_000001	"The baron appears thoughtful to-day," said Monte Cristo to her; "are they going to put him in the ministry?"	"The baron appears thoughtful to day," said Monte Cristo to her; "are they going to put him in the ministry?"
54_121080_000054_000000	"Not yet, I think.	"Not yet, I think.
54_121080_000054_000001	More likely he has been speculating on the Bourse, and has lost money."	More likely he has been speculating on the Bourse, and has lost money."
54_121080_000055_000004	After a short time, the count saw Bertuccio, who, until then, had been occupied on the other side of the house, glide into an adjoining room.	After a short time, the count saw Bertuccio, who, until then, had been occupied on the other side of the house, glide into an adjoining room.
54_121080_000055_000005	He went to him.	He went to him.
54_121080_000056_000000	"Your excellency has not stated the number of guests."	"Your excellency has not stated the number of guests."
54_121080_000057_000000	"Ah, true."	"Ah, true."
54_121080_000058_000000	"How many covers?"	"How many covers?"
54_121080_000059_000000	"Count for yourself."	"Count for yourself."
54_121080_000061_000000	"Yes."	"Yes."
54_121080_000062_000000	Bertuccio glanced through the door, which was ajar.	Bertuccio glanced through the door, which was ajar.
54_121080_000062_000001	The count watched him.	The count watched him.
54_121080_000062_000002	"Good heavens!" he exclaimed.	"Good heavens!" he exclaimed.
54_121080_000063_000000	"What is the matter?" said the count.	"What is the matter?" said the count.
54_121080_000064_000000	"That woman--that woman!"	"That woman-that woman!"
54_121080_000065_000000	"Which?"	"Which?"
54_121080_000070_000000	"The woman of the garden!--she that was enciente--she who was walking while she waited for"--Bertuccio stood at the open door, with his eyes starting and his hair on end.	"The woman of the garden!--she that was enciente-she who was walking while she waited for"--Bertuccio stood at the open door, with his eyes starting and his hair on end.
54_121080_000072_000001	Who?"	Who?"
54_121080_000078_000000	"No; you see plainly he is not dead.	"No; you see plainly he is not dead.
54_121080_000079_000000	"Eight!" repeated Bertuccio.	"Eight!" repeated Bertuccio.
54_121080_000080_000000	"Stop!	"Stop!
54_121080_000080_000001	You are in a shocking hurry to be off--you forget one of my guests.	You are in a shocking hurry to be off-you forget one of my guests.
54_121080_000080_000002	Lean a little to the left.	Lean a little to the left.
54_121080_000081_000001	Five minutes afterwards the doors of the drawing-room were thrown open, and Bertuccio appearing said, with a violent effort, "The dinner waits."	Five minutes afterwards the doors of the drawing room were thrown open, and Bertuccio appearing said, with a violent effort, "The dinner waits."
54_121080_000082_000000	The Count of Monte Cristo offered his arm to Madame de Villefort.	The Count of Monte Cristo offered his arm to Madame de Villefort.
