2532_157475_000000_000000	[Illustration: How did the bunny get into this room?]	[Illustration: How did the bunny get into this room?]	false	0	8.52	24.557312
2532_157475_000029_000000	"I hope their heads were not broken!" Raggedy Ann said.	"I hope their heads were not broken!" Raggedy Ann said.	true	183.23	186.66	29.126722
2532_157475_000030_000000	[Illustration: In the gutter]	[Illustration: In the gutter]	false	186.66	187.35	-20
2532_157475_000031_000000	"I'm so sorry I scooted them!" Raggedy Andy cried, as he brushed his hand over his shoe button eyes.	"I'm so sorry I scooted them!" Raggedy Andy cried, as he brushed his hand over his shoe button eyes.	true	187.35	193.78	24.171278
2532_157475_000032_000000	"Maybe if you hold to my feet, I can reach down the hole and find them and pull them up again!" he added.	"Maybe if you hold to my feet, I can reach down the hole and find them and pull them up again!" he added.	false	194.06	199.96	25.576593
2532_157475_000033_000000	Uncle Clem and Henny each caught hold of a foot of Raggedy Andy and let him slide down into the hole.	Uncle Clem and Henny each caught hold of a foot of Raggedy Andy and let him slide down into the hole.	true	200.03	206.11	22
2532_157475_000034_000000	It was a rather tight fit, but Raggedy Andy wiggled and twisted until all the dolls could see of him were his two feet.	It was a rather tight fit, but Raggedy Andy wiggled and twisted until all the dolls could see of him were his two feet.	true	206.24	214.15	23
2532_157475_000035_000000	"I can't find them!" he said in muffled tones.	"I can't find them!" he said in muffled tones.	true	214.67	217.9	20.118073
2532_157475_000035_000001	"Let me down farther and I think I'll be able to reach them!"	"Let me down farther and I think I'll be able to reach them!"	true	218.06	221.17	24.308199
2532_157475_000036_000000	Now Henny and Uncle Clem thought that Raggedy Andy meant for them to let go of his feet and this they did.	Now Henny and Uncle Clem thought that Raggedy Andy meant for them to let go of his feet and this they did.	true	221.63	228.85	22
2532_157475_000037_000000	Raggedy Andy kept wiggling and twisting until he came to a bend in the pipe and could go no farther.	Raggedy Andy kept wiggling and twisting until he came to a bend in the pipe and could go no farther.	false	228.86	234.63	22
2532_157475_000038_000000	"I can't find them!" he cried.	"I can't find them!" he cried.	false	234.63	236.985	23.06528
2532_157475_000038_000001	"They have gone farther down the pipe! Now you can pull me up!"	"They have gone farther down the pipe! Now you can pull me up!"	false	236.985	240.61	28.248524
2532_157475_000039_000000	"We can't reach you, Raggedy Andy!" Uncle Clem called down the pipe. "Try to wiggle back up a piece and we will catch your feet and pull you up!"	"We can't reach you, Raggedy Andy!" Uncle Clem called down the pipe. "Try to wiggle back up a piece and we will catch your feet and pull you up!"	false	240.62	248.65	26.954683
2532_157475_000040_000000	Raggedy Andy tried to wiggle backward up the pipe, but his clothes caught upon a little piece of tin which stuck out from the inside of the pipe and there he stayed.	Raggedy Andy tried to wiggle backward up the pipe, but his clothes caught upon a little piece of tin which stuck out from the inside of the pipe and there he stayed.	true	248.96	258.91	23
2532_157475_000040_000001	He could neither go down nor come back up.	He could neither go down nor come back up.	true	259.1	261.79	27.518953
2532_157475_000041_000000	"What shall we do?" Uncle Clem cried, "The folks will never find him down there, for we can not tell them where he is, and they will never guess it!"	"What shall we do?" Uncle Clem cried, "The folks will never find him down there, for we can not tell them where he is, and they will never guess it!"	true	261.89	270.64	24.668034
2532_157475_000042_000000	The dolls were all very sad.	The dolls were all very sad.	true	270.95	273.1	23.217108
2532_157475_000042_000001	They stayed out upon the shiny new tin gutter until it began raining and hoped and hoped that Raggedy Andy could get back up to them.	They stayed out upon the shiny new tin gutter until it began raining and hoped and hoped that Raggedy Andy could get back up to them.	true	273.17	281.29	22
2532_157475_000043_000000	Then they went inside the nursery and sat looking out the window until it was time for the folks to get up and the house to be astir.	Then they went inside the nursery and sat looking out the window until it was time for the folks to get up and the house to be astir.	true	281.42	288.7	20
2532_157475_000043_000001	Then they went back to the position each had been in, when Marcella had left them.	Then they went back to the position each had been in, when Marcella had left them.	true	288.95	293.13	26
2532_157475_000044_000000	And although they were very quiet, each one was so sorry to lose Raggedy Andy, and each felt that he would never be found again.	And although they were very quiet, each one was so sorry to lose Raggedy Andy, and each felt that he would never be found again.	true	293.13	301.2	20
2532_157475_000045_000000	[Illustration: Down the spout]	[Illustration: Down the spout]	false	301.2	301.71	100
2532_157475_000046_000000	"The rain must have soaked his cotton through and through!" sighed Raggedy Ann.	"The rain must have soaked his cotton through and through!" sighed Raggedy Ann.	false	301.71	306.07	25
2532_157475_000046_000001	"For all the water from the house runs down the shiny tin gutters and down the pipe into a rain barrel at the bottom!"	"For all the water from the house runs down the shiny tin gutters and down the pipe into a rain barrel at the bottom!"	false	306.11	312.4	20
2532_157475_000047_000000	Then Raggedy Ann remembered that there was an opening at the bottom of the pipe.	Then Raggedy Ann remembered that there was an opening at the bottom of the pipe.	true	312.41	316.9	24.856976
2532_157475_000048_000000	"Tomorrow night if we have a chance, we dolls must take a stick and see if we can reach Raggedy Andy from the bottom of the pipe and pull him down to us!" she thought.	"Tomorrow night if we have a chance, we dolls must take a stick and see if we can reach Raggedy Andy from the bottom of the pipe and pull him down to us!" she thought.	true	316.91	326.29	21
2532_157475_000049_000000	Marcella came up to the nursery and played all day, watching the rain patter upon the new tin gutter.	Marcella came up to the nursery and played all day, watching the rain patter upon the new tin gutter.	true	326.54	332.35	22
2532_157475_000049_000001	She wondered where Raggedy Andy was, although she did not get worried about him until she had asked Mama where he might be.	She wondered where Raggedy Andy was, although she did not get worried about him until she had asked Mama where he might be.	true	332.45	339.61	20
2532_157475_000050_000000	"He must be just where you left him!" Mama said.	"He must be just where you left him!" Mama said.	true	339.74	343.06	21.86117
2532_157475_000051_000000	"I cannot remember where I left him!" Marcella said.	"I cannot remember where I left him!" Marcella said.	true	343.1	346.33	20.693695
2532_157475_000052_000000	"I thought he was with all the other dolls in the nursery, though!"	"I thought he was with all the other dolls in the nursery, though!"	true	346.49	349.54	19.516178
2532_157475_000053_000000	All day Sunday it rained and all of Sunday night, and Monday morning when Daddy started to work it was still raining.	All day Sunday it rained and all of Sunday night, and Monday morning when Daddy started to work it was still raining.	true	350.06	357.88	23.609392
2532_157475_000054_000000	As Daddy walked out of the front gate, he turned to wave good-bye to Mama and Marcella and then he saw something.	As Daddy walked out of the front gate, he turned to wave good bye to Mama and Marcella and then he saw something.	true	358.19	364.72	23.062935
2532_157475_000055_000000	Daddy came right back into the house and called up the men who had put in the new shiny tin gutters.	Daddy came right back into the house and called up the men who had put in the new shiny tin gutters.	true	364.97	370.18	22
2532_157475_000056_000000	"The drain pipe is plugged up.	"The drain pipe is plugged up.	true	370.58	372.345	25.487427
2532_157475_000056_000001	Some of you must have left shavings or something in the eaves, and it has washed down into the pipe, so that the water pours over the gutter in sheets!"	Some of you must have left shavings or something in the eaves, and it has washed down into the pipe, so that the water pours over the gutter in sheets!"	true	372.345	379.18	20
2532_157475_000057_000000	"We will send a man right up to fix it!" the men said.	"We will send a man right up to fix it!" the men said.	true	379.67	382.57	22.317945
2532_157475_000058_000000	So along about ten o'clock that morning one of the men came to fix the pipe.	So along about ten o'clock that morning one of the men came to fix the pipe.	true	382.76	387.19	22.450338
2532_157475_000059_000000	But although he punched a long pole down the pipe, and punched and punched, he could not dislodge whatever it was which plugged the pipe and kept the water from running through it.	But although he punched a long pole down the pipe, and punched and punched, he could not dislodge whatever it was which plugged the pipe and kept the water from running through it.	true	387.41	396.96	24
2532_157475_000060_000000	[Illustration: Raggedy Ann and the dolls]	[Illustration: Raggedy Ann and the dolls]	false	396.96	397.17	-8
2532_157475_000061_000000	[Illustration: The man finds Raggedy Andy]	[Illustration: The man finds Raggedy Andy]	false	397.17	397.38	4
2532_157475_000062_000000	Then the man measured with his stick, so that he knew just where the place was, and with a pair of tin shears he cut a section from the pipe and found Raggedy Andy.	Then the man measured with his stick, so that he knew just where the place was, and with a pair of tin shears he cut a section from the pipe and found Raggedy Andy.	true	397.38	408.1	22.312477
2532_157475_000063_000000	Raggedy Andy was punched quite out of shape and all jammed together, but when the man straightened out the funny little figure, Raggedy Andy looked up at him with his customary happy smile.	Raggedy Andy was punched quite out of shape and all jammed together, but when the man straightened out the funny little figure, Raggedy Andy looked up at him with his customary happy smile.	false	408.47	420.37	24.103235
2532_157475_000064_000000	The man laughed and carried little water-soaked Raggedy Andy into the house.	The man laughed and carried little water soaked Raggedy Andy into the house.	true	421.16	425.59	20.851828
2532_157475_000065_000000	"I guess your little girl must have dropped this rag doll down into the drain pipe!" the man said to Mama.	"I guess your little girl must have dropped this rag doll down into the drain pipe!" the man said to Mama.	true	425.96	431.47	23.741516
2532_157475_000066_000000	"I'm so glad you found him!" Mama said to the man.	"I'm so glad you found him!" Mama said to the man.	true	431.63	435.01	21.579086
2532_157475_000067_000000	"We have hunted all over the house for him!	"We have hunted all over the house for him!	true	435.29	437.355	18
2532_157475_000067_000001	Marcella could not remember where she put him; so when I get him nice and dry, I'll hide him in a nice easy place for her to find, and she will not know he has been out in the rain all night!"	Marcella could not remember where she put him; so when I get him nice and dry, I'll hide him in a nice easy place for her to find, and she will not know he has been out in the rain all night!"	false	437.355	447.46	18
2532_157475_000068_000000	So Mama put Raggedy Andy behind the radiator and there he sat all afternoon, steaming and drying out.	So Mama put Raggedy Andy behind the radiator and there he sat all afternoon, steaming and drying out.	false	447.83	455.59	24.381582
2532_157475_000069_000000	And as he sat there he smiled and smiled, even though there was no one to see him.	And as he sat there he smiled and smiled, even though there was no one to see him.	true	455.99	461.685	23.616426
2532_157475_000070_000000	He felt very happy within and he liked to smile, anyway, because his smile was painted on.	He felt very happy within and he liked to smile, anyway, because his smile was painted on.	true	461.685	468.01	25
2532_157475_000071_000000	And another reason Raggedy Andy smiled was because he was not lonesome.	And another reason Raggedy Andy smiled was because he was not lonesome.	true	468.11	472.6	21
2532_157475_000072_000000	Inside his waist were the two little penny dolls.	Inside his waist were the two little penny dolls.	true	472.76	476.14	24.575333
2532_157475_000073_000000	The man had punched Raggedy Andy farther down into the pipe, and he had been able to reach the two little dolls and tuck them into a safe place.	The man had punched Raggedy Andy farther down into the pipe, and he had been able to reach the two little dolls and tuck them into a safe place.	true	476.39	484.23	20
2532_157475_000074_000000	"Won't they all be surprised to see us back again!" Raggedy Andy whispered as he patted the two little penny dolls with his soft rag hands.	"Won't they all be surprised to see us back again!" Raggedy Andy whispered as he patted the two little penny dolls with his soft rag hands.	false	484.23	492.61	23.52871
2532_157475_000075_000000	And the two little penny dolls nestled against Raggedy Andy's soft cotton stuffed body, and thought how nice it was to have such a happy, sunny friend.	And the two little penny dolls nestled against Raggedy Andy's soft cotton stuffed body, and thought how nice it was to have such a happy, sunny friend.	false	493.01	506.1	24.671747
