6544_71420_000008_000000	CHAPTER XXIX	CHAPTER twenty nine
6544_71420_000042_000000	"I'm glad to see you up and looking so well," he said pleasantly.	"I'm glad to see you up and looking so well," he said pleasantly.
6544_71420_000042_000001	"I was afraid your running away would hurt you."	"I was afraid your running away would hurt you."
6544_71420_000043_000000	"I--I must thank you for what you have done for me, Mr. Styles," she answered.	"I-I must thank you for what you have done for me, mr Styles," she answered.
6544_71420_000044_000000	"Oh, that's all right, Miss Margaret.	"Oh, that's all right, Miss Margaret.
6544_71420_000045_000000	"Well, I suppose it cannot be helped.	"Well, I suppose it cannot be helped.
6544_71420_000045_000001	But I must be getting back soon. You will show me the road?"	But I must be getting back soon. You will show me the road?"
6544_71420_000046_000000	"Don't be in a hurry to go.	"Don't be in a hurry to go.
6544_71420_000046_000001	You're not strong enough to go. Besides--" the Englishman paused impressively.	You're not strong enough to go. Besides-" the Englishman paused impressively.
6544_71420_000046_000002	"What's the use of going back?	"What's the use of going back?
6544_71420_000046_000003	Don't you know things look beastly black for you?"	Don't you know things look beastly black for you?"
6544_71420_000047_000000	"Perhaps, but I am not afraid--now.	"Perhaps, but I am not afraid-now.
6544_71420_000047_000001	I am not guilty, Mr. Styles."	I am not guilty, mr Styles."
6544_71420_000048_000000	"Of course not!	"Of course not!
6544_71420_000048_000001	Of course not!	Of course not!
6544_71420_000048_000002	I knew that from the start.	I knew that from the start.
6544_71420_000048_000003	But things do look black, no use of talking.	But things do look black, no use of talking.
6544_71420_000048_000004	I want to help you." He came closer, at which she retreated a step.	I want to help you." He came closer, at which she retreated a step.
6544_71420_000049_000000	"Thank you, but I do not see what you can do.	"Thank you, but I do not see what you can do.
6544_71420_000049_000001	I must go back and give myself up.	I must go back and give myself up.
6544_71420_000049_000002	I--I was not myself when I ran away.	I-I was not myself when I ran away.
6544_71420_000049_000003	It was a very foolish thing to do."	It was a very foolish thing to do."
6544_71420_000050_000000	"If you go back, do you know what they will do?	"If you go back, do you know what they will do?
6544_71420_000050_000001	They will surely hang you?"	They will surely hang you?"
6544_71420_000051_000000	"Oh, merciful Heaven?	"Oh, merciful Heaven?
6544_71420_000051_000001	Do not say that!"	Do not say that!"
6544_71420_000052_000000	"I wouldn't if it wasn't so.	"I wouldn't if it wasn't so.
6544_71420_000052_000001	But I've been talking to the coroner and the chief of police, and they have all of the evidence as straight as a string."	But I've been talking to the coroner and the chief of police, and they have all of the evidence as straight as a string."
6544_71420_000054_000000	"I feel that you are, and that is why I side with you.	"I feel that you are, and that is why I side with you.
6544_71420_000054_000001	Besides, you know my feeling for you.	Besides, you know my feeling for you.
6544_71420_000054_000002	I've loved you for a long time--I told you so before." He took hold of her arm.	I've loved you for a long time-I told you so before." He took hold of her arm.
6544_71420_000054_000003	"If you'll do what I wish, I'll see to it that you escape--that you are never bothered any more."	"If you'll do what I wish, I'll see to it that you escape-that you are never bothered any more."
6544_71420_000055_000000	"How can you do that?"	"How can you do that?"
6544_71420_000056_000000	"Never mind how it can be done.	"Never mind how it can be done.
6544_71420_000056_000001	Promise to give up Case, and be my wife, and I will attend to all of the rest.	Promise to give up Case, and be my wife, and I will attend to all of the rest.
6544_71420_000056_000002	And I'll promise you more than that.	And I'll promise you more than that.
6544_71420_000056_000003	Listen, do you know that I am immensely wealthy?	Listen, do you know that I am immensely wealthy?
6544_71420_000056_000004	It is so, and I can easily prove it.	It is so, and I can easily prove it.
6544_71420_000056_000005	Look here." He drew a big roll of bank bills from his pocket, each bill of a large denomination.	Look here." He drew a big roll of bank bills from his pocket, each bill of a large denomination.
6544_71420_000056_000006	"I have ten thousand dollars here.	"I have ten thousand dollars here.
6544_71420_000056_000007	It shall be yours for the taking--if you will marry me.	It shall be yours for the taking-if you will marry me.
6544_71420_000056_000008	I can easily raise five times this amount in forty-eight hours.	I can easily raise five times this amount in forty eight hours.
6544_71420_000056_000009	We can go to Europe, or Australia, or anywhere we wish.	We can go to Europe, or Australia, or anywhere we wish.
6544_71420_000056_000010	Isn't that far better than to stay here, to be hung by a lot of country bumpkins, who don't understand the matter at all?"	Isn't that far better than to stay here, to be hung by a lot of country bumpkins, who don't understand the matter at all?"
6544_71420_000057_000000	She put up her hands, and waved him away.	She put up her hands, and waved him away.
6544_71420_000057_000001	Then she burst into tears.	Then she burst into tears.
6544_71420_000058_000000	"Don't speak so, please don't!	"Don't speak so, please don't!
6544_71420_000058_000001	I--I cannot bear it, I have gone through so much already!"	I-I cannot bear it, I have gone through so much already!"
6544_71420_000059_000001	"I am giving you everything I have, my wealth, my honor, everything!	"I am giving you everything I have, my wealth, my honor, everything!
6544_71420_000059_000002	Can a man do more than that?	Can a man do more than that?
6544_71420_000059_000003	I love you--love you more than Raymond Case ever did, or will."	I love you-love you more than Raymond Case ever did, or will."
6544_71420_000060_000000	She wrung her hands and his dark eyes seemed to pierce her very soul. She felt faint and sank on a bench.	She wrung her hands and his dark eyes seemed to pierce her very soul. She felt faint and sank on a bench.
6544_71420_000061_000000	"Come, will you accept, Margaret?"	"Come, will you accept, Margaret?"
6544_71420_000063_000000	"But think of what is before you."	"But think of what is before you."
6544_71420_000064_000000	"If I tried to escape, they would soon be on my track--"	"If I tried to escape, they would soon be on my track-"
6544_71420_000065_000000	"No, I can prevent that."	"No, I can prevent that."
6544_71420_000066_000000	"How?"	"How?"
6544_71420_000067_000000	"Because the world will know that you are innocent."	"Because the world will know that you are innocent."
6544_71420_000068_000000	She gave a start and looked at him wildly, pleadingly.	She gave a start and looked at him wildly, pleadingly.
6544_71420_000069_000000	"Then you know the real murderer?" she panted.	"Then you know the real murderer?" she panted.
6544_71420_000070_000000	"If I answer that question, will you become my wife?"	"If I answer that question, will you become my wife?"
6544_71420_000071_000000	Again she shrank back.	Again she shrank back.
6544_71420_000072_000000	"You know the murderer," she repeated.	"You know the murderer," she repeated.
6544_71420_000072_000001	"Perhaps you committed the foul deeds yourself."	"Perhaps you committed the foul deeds yourself."
6544_71420_000073_000000	He took a step back as if struck a blow.	He took a step back as if struck a blow.
6544_71420_000073_000001	Then he recovered quickly and smiled a bitter smile.	Then he recovered quickly and smiled a bitter smile.
6544_71420_000074_000000	"No, I was not near the place, I can prove it.	"No, I was not near the place, I can prove it.
6544_71420_000074_000001	Besides, your folks and myself were on good terms.	Besides, your folks and myself were on good terms.
6544_71420_000074_000002	There is somebody else, who was around the house when the affair happened--somebody you know well, a person who would know all about the drug with which your father and Mrs. Langmore were killed."	There is somebody else, who was around the house when the affair happened-somebody you know well, a person who would know all about the drug with which your father and mrs Langmore were killed."
6544_71420_000075_000000	"Who was it?"	"Who was it?"
6544_71420_000076_000000	"Will you consent to marry me?"	"Will you consent to marry me?"
6544_71420_000077_000000	"Tell me first."	"Tell me first."
6544_71420_000078_000000	"No, afterwards."	"No, afterwards."
6544_71420_000079_000000	"You are fooling me."	"You are fooling me."
6544_71420_000080_000000	"I swear I am not, Margaret.	"I swear I am not, Margaret.
6544_71420_000080_000001	Marry me, and I will clear you as surely as the sun is shining."	Marry me, and I will clear you as surely as the sun is shining."
6544_71420_000081_000000	"And if I refuse?"	"And if I refuse?"
6544_71420_000082_000000	He came and caught her by the arm, his face blazing with sudden passion.	He came and caught her by the arm, his face blazing with sudden passion.
6544_71420_000083_000000	"Do not dare to do that!	"Do not dare to do that!
6544_71420_000083_000001	Don't you understand the matter?	Don't you understand the matter?
6544_71420_000083_000002	You are in my power--in my power absolutely.	You are in my power-in my power absolutely.
6544_71420_000083_000003	I can hand you over to the police whenever I will."	I can hand you over to the police whenever I will."
6544_71420_000084_000000	"That will not be such a hardship.	"That will not be such a hardship.
6544_71420_000084_000001	I said I was going back."	I said I was going back."
6544_71420_000085_000000	"Bah!	"Bah!
6544_71420_000085_000001	If I tell them that I caught you, that you begged me to let you get away--that you even said you would marry me, if I would aid you, what then?	If I tell them that I caught you, that you begged me to let you get away-that you even said you would marry me, if I would aid you, what then?
6544_71420_000085_000002	Everybody will think you guilty, and Raymond Case will never come near you again."	Everybody will think you guilty, and Raymond Case will never come near you again."
6544_71420_000086_000000	"You--you monster!"	"You-you monster!"
6544_71420_000087_000000	"Perhaps I am a monster when aroused.	"Perhaps I am a monster when aroused.
6544_71420_000088_000000	"I do not want to think it over.	"I do not want to think it over.
6544_71420_000088_000001	My mind is made up.	My mind is made up.
6544_71420_000088_000003	I loathe and despise you!"	I loathe and despise you!"
6544_71420_000089_000000	There was a moment of silence, and his dark face turned a sickly white and then red.	There was a moment of silence, and his dark face turned a sickly white and then red.
6544_71420_000089_000001	He breathed heavily through his set teeth.	He breathed heavily through his set teeth.
6544_71420_000091_000000	"I do."	"I do."
6544_71420_000092_000000	He glared at her steadily.	He glared at her steadily.
6544_71420_000092_000001	Then, in a burst of rage, he caught her by the throat and threw her backward to the floor.	Then, in a burst of rage, he caught her by the throat and threw her backward to the floor.
6544_71420_000092_000002	She offered no resistance, and pausing in his madness he realized that she had swooned away.	She offered no resistance, and pausing in his madness he realized that she had swooned away.
6544_71420_000093_000000	"Fainted!" he hissed between his set teeth.	"Fainted!" he hissed between his set teeth.
6544_71420_000093_000001	"I wish she was dead! Curse her and her beauty!"	"I wish she was dead! Curse her and her beauty!"
6544_71420_000094_000000	He waited, and as she did not return to consciousness, he picked her up, and placed her on the bed.	He waited, and as she did not return to consciousness, he picked her up, and placed her on the bed.
6544_71420_000094_000001	Then he hurried outside:	Then he hurried outside:
6544_71420_000095_000000	"Go back to the house," he said to the old woman.	"Go back to the house," he said to the old woman.
6544_71420_000095_000001	"You'll not be needed here any more.	"You'll not be needed here any more.
6544_71420_000095_000002	And see that you keep your jaw closed over this," he added harshly.	And see that you keep your jaw closed over this," he added harshly.
6544_71420_000095_000003	And the woman slunk away as if struck, like a dog.	And the woman slunk away as if struck, like a dog.
6544_71420_000096_000000	Once inside of the cottage, he took up a glass of water standing on the table, and to this added a powder taken from his pocket, stirring it up well.	Once inside of the cottage, he took up a glass of water standing on the table, and to this added a powder taken from his pocket, stirring it up well.
6544_71420_000096_000001	Then he looked around to see that there was no other water around the building.	Then he looked around to see that there was no other water around the building.
6544_71420_000097_000000	"When she rouses up she will be dry, and she will drink this," he muttered to himself.	"When she rouses up she will be dry, and she will drink this," he muttered to himself.
6544_71420_000097_000001	"Half a glass will do the work and she will never bother me or anybody else any more."	"Half a glass will do the work and she will never bother me or anybody else any more."
6544_71420_000098_000000	He paused again and took from his pocket several sheets of paper, closely and carelessly written upon in pencil.	He paused again and took from his pocket several sheets of paper, closely and carelessly written upon in pencil.
6544_71420_000098_000001	The first sheet was headed:	The first sheet was headed:
6544_71420_000100_000000	"A fine forgery, if I do say so myself," he mused.	"A fine forgery, if I do say so myself," he mused.
6544_71420_000100_000001	"Mat, you always were a plum with the pen.	"Mat, you always were a plum with the pen.
6544_71420_000100_000002	I'll add a line telling where she can be found and then send it to the coroner.	I'll add a line telling where she can be found and then send it to the coroner.
6544_71420_000100_000003	That will be better than leaving it around here.	That will be better than leaving it around here.
6544_71420_000100_000004	She might find it before she drank that dose." He paused again.	She might find it before she drank that dose." He paused again.
6544_71420_000100_000006	I'll give her some of it now, and make sure."	I'll give her some of it now, and make sure."
6544_71420_000101_000000	He raised up the almost lifeless girl, and forced open her lips.	He raised up the almost lifeless girl, and forced open her lips.
6544_71420_000101_000001	Then he took the glass, and poured half the contents down her throat.	Then he took the glass, and poured half the contents down her throat.
