6188_73024_000000_000000	Such were the two rival claimants for the hand of Harry Clavering.	Such were the two rival claimants for the hand of Harry Clavering.	false	4.26	14.88	22.497288
6188_73024_000005_000005	He went about the town very wretchedly, looking for the Count, and regarding himself as a man specially marked out for sorrow by the cruel hand of misfortune.	He went about the town very wretchedly, looking for the Count, and regarding himself as a man specially marked out for sorrow by the cruel hand of misfortune.	true	241.19	251.8	22.0142
6188_73024_000005_000006	Lady Ongar, in the meantime, was expecting him, and was waxing angry and becoming bitter toward him because he came not.	Lady Ongar, in the meantime, was expecting him, and was waxing angry and becoming bitter toward him because he came not.	true	252.53	260.62	22.835907
6188_73024_000006_000000	Sir Hugh Clavering was now in London, and with him was his brother Archie.	Sir Hugh Clavering was now in London, and with him was his brother Archie.	false	261.62	265.99	23
6188_73024_000006_000001	Sir Hugh was a man who strained an income, that was handsome and sufficient for a country gentleman, to the very utmost, wanting to get out of it more than it could be made to give.	Sir Hugh was a man who strained an income, that was handsome and sufficient for a country gentleman, to the very utmost, wanting to get out of it more than it could be made to give.	true	266.39	277.36	21.589565
6188_73024_000006_000002	He was not a man to be in debt, or indulge himself with present pleasures to be paid for out of the funds of future years.	He was not a man to be in debt, or indulge himself with present pleasures to be paid for out of the funds of future years.	true	278.03	285.67	20.860916
6188_73024_000006_000003	He was possessed of a worldly wisdom which kept him from that folly, and taught him to appreciate fully the value of independence.	He was possessed of a worldly wisdom which kept him from that folly, and taught him to appreciate fully the value of independence.	true	286.19	293.95	20
6188_73024_000006_000004	But he was ever remembering how many shillings there are in a pound, and how many pence in a shilling.	But he was ever remembering how many shillings there are in a pound, and how many pence in a shilling.	true	294.44	300.52	18
6188_73024_000006_000005	He had a great eye to discount, and looked closely into his bills.	He had a great eye to discount, and looked closely into his bills.	true	300.98	305.59	24.672785
6188_73024_000006_000006	He searched for cheap shops; and some men began to say of him that he had found a cheap establishment for such wines as he did not drink himself!	He searched for cheap shops; and some men began to say of him that he had found a cheap establishment for such wines as he did not drink himself!	true	306.38	315.37	21.793625
6188_73024_000006_000007	In playing cards and in betting, he was very careful, never playing high, never risking much, but hoping to turn something by the end of the year, and angry with himself if he had not done so.	In playing cards and in betting, he was very careful, never playing high, never risking much, but hoping to turn something by the end of the year, and angry with himself if he had not done so.	true	316.13	328.81	23.764746
6188_73024_000006_000008	An unamiable man he was, but one whose heir would probably not quarrel with him--if only he would die soon enough.	An unamiable man he was, but one whose heir would probably not quarrel with him-if only he would die soon enough.	true	329.39	337.42	20.31835
6188_73024_000006_000009	He had always had a house in town--a moderate house in Berkeley Square, which belonged to him, and had belonged to his father before him.	He had always had a house in town-a moderate house in Berkeley Square, which belonged to him, and had belonged to his father before him.	true	338.21	346.42	23.833012
6188_73024_000006_000010	Lady Clavering had usually lived there during the season; or, as had latterly been the case, during only a part of the season.	Lady Clavering had usually lived there during the season; or, as had latterly been the case, during only a part of the season.	true	347.09	355.15	21.713713
6188_73024_000006_000011	And now it had come to pass, in this year, that Lady Clavering was not to come to London at all, and that Sir Hugh was meditating whether the house in Berkeley Square might not be let.	And now it had come to pass, in this year, that Lady Clavering was not to come to London at all, and that Sir Hugh was meditating whether the house in Berkeley Square might not be let.	false	355.61	366.07	21.649525
6188_73024_000006_000012	The arrangement would make the difference of considerably more than a thousand a year to him.	The arrangement would make the difference of considerably more than a thousand a year to him.	true	366.71	371.11	21
6188_73024_000006_000013	For himself, he would take lodgings.	For himself, he would take lodgings.	true	371.72	374.35	21.692757
6188_73024_000006_000014	He had no idea of giving up London in the Spring and early Summer.	He had no idea of giving up London in the Spring and early Summer.	true	374.45	378.25	18
6188_73024_000006_000015	But why keep up a house in Berkeley Square, as Lady Clavering did not use it?	But why keep up a house in Berkeley Square, as Lady Clavering did not use it?	true	378.44	383.02	23.396955
6188_73024_000007_000000	He was partly driven to this by a desire to shake off the burden of his brother.	He was partly driven to this by a desire to shake off the burden of his brother.	true	383.66	388.03	21
6188_73024_000007_000001	When Archie chose to go to Clavering, the house was open to him.	When Archie chose to go to Clavering, the house was open to him.	true	388.37	392.11	21.732126
6188_73024_000007_000002	That was the necessity of Sir Hugh's position, and he could not avoid it unless he made it worth his while to quarrel with his brother. Archie was obedient, ringing the bell when he was told, looking after the horses, spying about, and perhaps saving as much money as he cost. But the matter was very different in Berkeley Square.	That was the necessity of Sir Hugh's position, and he could not avoid it unless he made it worth his while to quarrel with his brother. Archie was obedient, ringing the bell when he was told, looking after the horses, spying about, and perhaps saving as much money as he cost. But the matter was very different in Berkeley Square.	true	392.99	413.32	21.374222
6188_73024_000007_000003	No elder brother is bound to find breakfast and bed for a younger brother in London.	No elder brother is bound to find breakfast and bed for a younger brother in London.	true	413.69	418.15	18
6188_73024_000007_000004	And yet, from his boyhood upward, Archie had made good his footing in Berkeley Square.	And yet, from his boyhood upward, Archie had made good his footing in Berkeley Square.	true	419.63	424.63	24.951565
6188_73024_000007_000005	In the matter of the breakfast, Sir Hugh had indeed, of late, got the better of him.	In the matter of the breakfast, Sir Hugh had indeed, of late, got the better of him.	true	425.36	430.63	26.382732
6188_73024_000007_000006	The servants were kept on board wages, and there were no household accounts.	The servants were kept on board wages, and there were no household accounts.	true	431.03	435.4	19.758026
6188_73024_000007_000007	But there was Archie's room, and Sir Hugh felt this to be a hardship.	But there was Archie's room, and Sir Hugh felt this to be a hardship.	true	435.68	440.05	21.514833
6188_73024_000008_000000	The present was not the moment for actually driving forth the intruder, for Archie was now up in London, especially under his brother's auspices.	The present was not the moment for actually driving forth the intruder, for Archie was now up in London, especially under his brother's auspices.	true	440.87	449.38	23.425966
6188_73024_000008_000001	And if the business on which Captain Clavering was now intent could be brought to a successful issue, the standing in the world of that young man would be very much altered.	And if the business on which Captain Clavering was now intent could be brought to a successful issue, the standing in the world of that young man would be very much altered.	true	450.02	459.43	22.688122
6188_73024_000008_000002	Then he would be a brother of whom Sir Hugh might be proud--a brother who would pay his way, and settle his points at whist if he lost them, even to a brother.	Then he would be a brother of whom Sir Hugh might be proud-a brother who would pay his way, and settle his points at whist if he lost them, even to a brother.	true	459.86	469.93	22.161041
6188_73024_000008_000003	If Archie could induce Lady Ongar to marry him, he would not be called upon any longer to ring the bells and look after the stable.	If Archie could induce Lady Ongar to marry him, he would not be called upon any longer to ring the bells and look after the stable.	true	470.63	478.51	21
6188_73024_000008_000004	He would have bells of his own, and stables, too, and perhaps some captain of his own to ring them and look after them.	He would have bells of his own, and stables, too, and perhaps some captain of his own to ring them and look after them.	true	478.94	485.83	22.60316
6188_73024_000008_000005	The expulsion, therefore, was not to take place till Archie should have made his attempt upon Lady Ongar.	The expulsion, therefore, was not to take place till Archie should have made his attempt upon Lady Ongar.	true	486.38	492.58	21
6188_73024_000009_000000	But Sir Hugh would admit of no delay, whereas Archie himself seemed to think that the iron was not yet quite hot enough for striking.	But Sir Hugh would admit of no delay, whereas Archie himself seemed to think that the iron was not yet quite hot enough for striking.	true	493.43	501.07	22
6188_73024_000009_000001	It would be better, he had suggested, to postpone the work till Julia could be coaxed down to Clavering in the Autumn.	It would be better, he had suggested, to postpone the work till Julia could be coaxed down to Clavering in the Autumn.	true	501.62	508.36	21.765112
6188_73024_000009_000002	He could do the work better, he thought; down at Clavering than in London.	He could do the work better, he thought; down at Clavering than in London.	true	508.91	512.8	22.263088
6188_73024_000009_000003	But Sir Hugh was altogether of a different opinion.	But Sir Hugh was altogether of a different opinion.	true	513.32	516.22	23
6188_73024_000009_000004	Though he had already asked his sister-in-law to Clavering, when the idea had first come up, he was glad that she had declined the visit.	Though he had already asked his sister in law to Clavering, when the idea had first come up, he was glad that she had declined the visit.	true	517.22	524.92	21.896362
6188_73024_000009_000005	Her coming might be very well, if she accepted Archie; but he did not want to be troubled with any renewal of his responsibility respecting her, if, as was more probable, she should reject him.	Her coming might be very well, if she accepted Archie; but he did not want to be troubled with any renewal of his responsibility respecting her, if, as was more probable, she should reject him.	true	525.59	537.46	23.68196
6188_73024_000009_000006	The world still looked askance at Lady Ongar, and Hugh did not wish to take up the armor of a paladin in her favor.	The world still looked askance at Lady Ongar, and Hugh did not wish to take up the armor of a paladin in her favor.	true	538.37	545.29	23
6188_73024_000009_000007	If Archie married her, Archie would be the paladin; though, indeed, in that case, no paladin would be needed.	If Archie married her, Archie would be the paladin; though, indeed, in that case, no paladin would be needed.	true	546.05	553.33	24.596382
6188_73024_000010_000000	"She has only been a widow, you know, four months," said Archie, pleading for delay.	"She has only been a widow, you know, four months," said Archie, pleading for delay.	true	554.36	559.9	20.453978
6188_73024_000010_000001	"It won't be delicate, will it?"	"It won't be delicate, will it?"	true	560.42	562.27	25.270897
6188_73024_000011_000000	"Delicate!" said Sir Hugh.	"Delicate!" said Sir Hugh.	true	563	564.76	23.940365
6188_73024_000011_000001	"I don't know whether there is much of delicacy in it at all."	"I don't know whether there is much of delicacy in it at all."	true	564.8	568.09	20.481775
6188_73024_000012_000000	"I don't see why she isn't to be treated like any other woman.	"I don't see why she isn't to be treated like any other woman.	true	569.24	572.5	16
6188_73024_000012_000001	If you were to die, you'd think it very odd if any fellow came up to Hermy before the season was over.	If you were to die, you'd think it very odd if any fellow came up to Hermy before the season was over.	true	572.69	577.87	21
6188_73024_000013_000000	"Archie, you are a fool," said Sir Hugh; and Archie could see, by his brother's brow, that Hugh was angry.	"Archie, you are a fool," said Sir Hugh; and Archie could see, by his brother's brow, that Hugh was angry.	true	578.57	585.7	23.142506
6188_73024_000013_000001	"You say things that, for folly and absurdity, are beyond belief.	"You say things that, for folly and absurdity, are beyond belief.	true	586.13	590.19	21.927254
6188_73024_000013_000002	If you can't see the peculiarities of Julia's position, I am not going to point them out to you."	If you can't see the peculiarities of Julia's position, I am not going to point them out to you."	true	590.19	595.39	17
6188_73024_000014_000000	"She is peculiar, of course--having so much money, and that place near Guilford, all her own for her life.	"She is peculiar, of course-having so much money, and that place near Guilford, all her own for her life.	true	596.45	602.98	23.305288
6188_73024_000014_000001	Of course it's peculiar.	Of course it's peculiar.	true	603.02	604.635	21.870287
6188_73024_000014_000002	But four months, Hugh!"	But four months, Hugh!"	false	604.635	607.14	19.41456
6188_73024_000015_000000	"If it had been four days it need have made no difference.	"If it had been four days it need have made no difference.	true	607.14	610.21	21.172356
6188_73024_000015_000001	A home, with some one to support her, is everything to her.	A home, with some one to support her, is everything to her.	true	610.22	613.51	21
6188_73024_000015_000002	If you wait till lots of fellows are buzzing around her you won't have a chance.	If you wait till lots of fellows are buzzing around her you won't have a chance.	true	613.55	617.77	22
6188_73024_000015_000003	You'll find that by this time next year she'll be the top of the fashion; and if not engaged to you, she will be to some one else.	You'll find that by this time next year she'll be the top of the fashion; and if not engaged to you, she will be to some one else.	true	617.93	625.03	20
6188_73024_000015_000004	I shouldn't be surprised if Harry were after her again."	I shouldn't be surprised if Harry were after her again."	true	625.04	627.97	17
6188_73024_000016_000000	"He's engaged to that girl we saw down at Clavering."	"He's engaged to that girl we saw down at Clavering."	true	629.03	631.69	19.13531
6188_73024_000017_000000	"What of that?	"What of that?	true	632.39	633.36	19.503883
6188_73024_000017_000001	Engagements can be broken as well as made.	Engagements can be broken as well as made.	true	633.36	635.83	18
6188_73024_000017_000002	You have this great advantage over every one, except him, that you can go to her at once without doing anything out of the way.	You have this great advantage over every one, except him, that you can go to her at once without doing anything out of the way.	true	635.87	642.64	20
6188_73024_000017_000003	That girl that Harry has in tow may perhaps keep him away for some time."	That girl that Harry has in tow may perhaps keep him away for some time."	true	642.74	646.99	22
6188_73024_000018_000000	"I tell you what, Hugh, you might as well call with me the first time."	"I tell you what, Hugh, you might as well call with me the first time."	true	648.77	652.21	22.283825
6188_73024_000019_000000	"So that I may quarrel with her, which I certainly should do--or, rather, she with me.	"So that I may quarrel with her, which I certainly should do-or, rather, she with me.	true	653	657.67	21
6188_73024_000019_000001	No, Archie; if you're afraid to go alone, you'd better give it up."	No, Archie; if you're afraid to go alone, you'd better give it up."	true	658.13	661.6	24.106888
6188_73024_000020_000000	"Afraid!	"Afraid!	true	661.79	662.625	19.406763
6188_73024_000020_000001	I'm not afraid!"	I'm not afraid!"	true	662.625	663.97	28.363081
6188_73024_000021_000000	"She can't eat you.	"She can't eat you.	true	664.46	665.89	21.968458
6188_73024_000021_000001	Remember that with her you needn't stand on your p's and q's, as you would with another woman.	Remember that with her you needn't stand on your p's and q's, as you would with another woman.	true	665.93	670.69	17
6188_73024_000021_000002	She knows what she is about, and will understand what she has to get as well as what she is expected to give.	She knows what she is about, and will understand what she has to get as well as what she is expected to give.	true	670.91	676.65	21.774496
6188_73024_000021_000003	All I can say is, that if she accepts you, Hermy will consent that she shall go to Clavering as much as she pleases till the marriage takes place.	All I can say is, that if she accepts you, Hermy will consent that she shall go to Clavering as much as she pleases till the marriage takes place.	false	676.65	684.88	23.25143
6188_73024_000021_000004	It couldn't be done, I suppose, till after a year; and in that case she shall be married at Clavering."	It couldn't be done, I suppose, till after a year; and in that case she shall be married at Clavering."	true	685.25	690.79	21
6188_73024_000022_000000	Here was a prospect for Julia Brabazon--to be led to the same altar, at which she had married Lord Ongar, by Archie Clavering, twelve month's after her first husband's death, and little more than two years after her first wedding!	Here was a prospect for Julia Brabazon-to be led to the same altar, at which she had married Lord Ongar, by Archie Clavering, twelve month's after her first husband's death, and little more than two years after her first wedding!	true	692.12	706.87	21.632933
6188_73024_000022_000001	The peculiarity of the position did not quite make itself apparent either to Hugh or to Archie; but there was one point which did suggest itself to the younger brother at that moment.	The peculiarity of the position did not quite make itself apparent either to Hugh or to Archie; but there was one point which did suggest itself to the younger brother at that moment.	false	707.51	718.45	23.842821
6188_73024_000023_000000	"I don't suppose there was anything really wrong, eh?"	"I don't suppose there was anything really wrong, eh?"	true	719.84	722.53	19
6188_73024_000024_000000	"Can't say, I'm sure," said Sir Hugh.	"Can't say, I'm sure," said Sir Hugh.	true	723.32	725.98	19.985304
6188_73024_000025_000000	"Because I shouldn't like--"	"Because I shouldn't like-"	true	726.23	727.84	20.181683
6188_73024_000026_000000	"If I were you I wouldn't trouble myself about that.	"If I were you I wouldn't trouble myself about that.	true	728.15	731.14	18.558878
6188_73024_000026_000001	Judge not, that you be not judged."	Judge not, that you be not judged."	true	731.27	734.02	25.953156
6188_73024_000027_000000	"Yes, that's true, to be sure," said Archie; and on that point he went forth satisfied.	"Yes, that's true, to be sure," said Archie; and on that point he went forth satisfied.	true	734.57	740.76	23.564548
6188_73024_000028_000000	Chapter XIX	Chapter nineteen	false	740.76	740.79	-20
6188_73024_000029_000000	Let Her Know That You're There	Let Her Know That You're There	false	740.79	740.91	-20
6188_73024_000030_000000	The job before him, in his attempt to win Lady Ongar, was a peculiar job, and that Archie well knew.	The job before him, in his attempt to win Lady Ongar, was a peculiar job, and that Archie well knew.	false	740.91	741.3	-20
6188_73024_000030_000001	In some inexplicable manner he put himself into the scales and weighed himself, and discovered his own weight with fair accuracy.	In some inexplicable manner he put himself into the scales and weighed himself, and discovered his own weight with fair accuracy.	false	741.3	741.69	-6
6188_73024_000030_000002	And he put her into the scales, and he found that she was much the heavier of the two.	And he put her into the scales, and he found that she was much the heavier of the two.	false	741.69	742.14	11
6188_73024_000030_000003	How he did this--how such men as Archie Clavering do do it--I cannot say; but they do weigh themselves, and know their own weight, and shove themselves aside as being too light for any real service in the world.	How he did this-how such men as Archie Clavering do do it-I cannot say; but they do weigh themselves, and know their own weight, and shove themselves aside as being too light for any real service in the world.	false	742.14	743.34	17
6188_73024_000030_000004	This they do, though they may fluster with their voices, and walk about with their noses in the air, and swing their canes, and try to look as large as they may. They do not look large, and they know it; and, consequently, they ring the bells, and look after the horses, and shove themselves on one side, so that the heavier weights may come forth and do the work.	This they do, though they may fluster with their voices, and walk about with their noses in the air, and swing their canes, and try to look as large as they may. They do not look large, and they know it; and, consequently, they ring the bells, and look after the horses, and shove themselves on one side, so that the heavier weights may come forth and do the work.	false	743.34	745.41	19.94995
6188_73024_000030_000005	Archie Clavering, who had duly weighed himself, could hardly bring himself to believe that Lady Ongar would be fool enough to marry him!	Archie Clavering, who had duly weighed himself, could hardly bring himself to believe that Lady Ongar would be fool enough to marry him!	false	745.41	746.58	15.763767
6188_73024_000030_000006	Seven thousand a year, with a park and farm in Surrey, and give it all to him--him, Archie Clavering, who had, so to say, no weight at all!	Seven thousand a year, with a park and farm in Surrey, and give it all to him-him, Archie Clavering, who had, so to say, no weight at all!	false	746.58	748.02	-1
6188_73024_000030_000007	Archie Clavering, for one, could not bring himself to believe it.	Archie Clavering, for one, could not bring himself to believe it.	false	748.02	748.56	6
