2167_149881_000000_000000	They talked some few minutes on general topics.	They talked some few minutes on general topics.	false	0	1.86	18.650833
2167_149881_000056_000001	His was not the order of nature to trouble for something better, unless the better was immediately and sharply contrasted.	His was not the order of nature to trouble for something better, unless the better was immediately and sharply contrasted.	true	536.51	543.64	14
2167_149881_000056_000002	As it was, he received and gave, irritated sometimes by the little displays of selfish indifference, pleased at times by some show of finery which supposedly made for dignity and social distinction. The life of the resort which he managed was his life.	As it was, he received and gave, irritated sometimes by the little displays of selfish indifference, pleased at times by some show of finery which supposedly made for dignity and social distinction. The life of the resort which he managed was his life.	true	543.86	558.82	11
2167_149881_000056_000003	There he spent most of his time.	There he spent most of his time.	true	559.1	560.95	15
2167_149881_000056_000004	When he went home evenings the house looked nice.	When he went home evenings the house looked nice.	true	561.08	563.8	14
2167_149881_000056_000005	With rare exceptions the meals were acceptable, being the kind that an ordinary servant can arrange.	With rare exceptions the meals were acceptable, being the kind that an ordinary servant can arrange.	true	563.96	569.8	12
2167_149881_000056_000006	In part, he was interested in the talk of his son and daughter, who always looked well.	In part, he was interested in the talk of his son and daughter, who always looked well.	true	570.17	574.63	14
2167_149881_000056_000007	The vanity of Mrs. Hurstwood caused her to keep her person rather showily arrayed, but to Hurstwood this was much better than plainness.	The vanity of mrs Hurstwood caused her to keep her person rather showily arrayed, but to Hurstwood this was much better than plainness.	true	575.06	582.34	11
2167_149881_000056_000008	There was no love lost between them.	There was no love lost between them.	true	582.68	584.83	16
2167_149881_000056_000009	There was no great feeling of dissatisfaction.	There was no great feeling of dissatisfaction.	true	584.99	587.65	12
2167_149881_000056_000010	Her opinion on any subject was not startling.	Her opinion on any subject was not startling.	true	587.93	590.89	16
2167_149881_000056_000011	They did not talk enough together to come to the argument of any one point.	They did not talk enough together to come to the argument of any one point.	true	591.14	595.27	14
2167_149881_000056_000012	In the accepted and popular phrase, she had her ideas and he had his.	In the accepted and popular phrase, she had her ideas and he had his.	true	595.7	600.79	14
2167_149881_000056_000013	Once in a while he would meet a woman whose youth, sprightliness, and humour would make his wife seem rather deficient by contrast, but the temporary dissatisfaction which such an encounter might arouse would be counterbalanced by his social position and a certain matter of policy.	Once in a while he would meet a woman whose youth, sprightliness, and humour would make his wife seem rather deficient by contrast, but the temporary dissatisfaction which such an encounter might arouse would be counterbalanced by his social position and a certain matter of policy.	true	601.37	616.75	13
2167_149881_000056_000014	He could not complicate his home life, because it might affect his relations with his employers. They wanted no scandals.	He could not complicate his home life, because it might affect his relations with his employers. They wanted no scandals.	true	617.21	624.25	15
2167_149881_000056_000015	A man, to hold his position, must have a dignified manner, a clean record, a respectable home anchorage. Therefore he was circumspect in all he did, and whenever he appeared in the public ways in the afternoon, or on Sunday, it was with his wife, and sometimes his children.	A man, to hold his position, must have a dignified manner, a clean record, a respectable home anchorage. Therefore he was circumspect in all he did, and whenever he appeared in the public ways in the afternoon, or on Sunday, it was with his wife, and sometimes his children.	true	624.56	642.13	13
2167_149881_000056_000016	He would visit the local resorts, or those near by in Wisconsin, and spend a few stiff, polished days strolling about conventional places doing conventional things.	He would visit the local resorts, or those near by in Wisconsin, and spend a few stiff, polished days strolling about conventional places doing conventional things.	true	642.5	652	10
2167_149881_000056_000017	He knew the need of it.	He knew the need of it.	true	652.04	653.44	16.463438
2167_149881_000057_000000	When some one of the many middle-class individuals whom he knew, who had money, would get into trouble, he would shake his head.	When some one of the many middle class individuals whom he knew, who had money, would get into trouble, he would shake his head.	false	654.08	660.73	15
2167_149881_000057_000001	It didn't do to talk about those things.	It didn't do to talk about those things.	true	660.89	663.58	18
2167_149881_000057_000002	If it came up for discussion among such friends as with him passed for close, he would deprecate the folly of the thing. "It was all right to do it--all men do those things--but why wasn't he careful?	If it came up for discussion among such friends as with him passed for close, he would deprecate the folly of the thing. "It was all right to do it-all men do those things-but why wasn't he careful?	false	663.62	675.28	16
2167_149881_000057_000003	A man can't be too careful." He lost sympathy for the man that made a mistake and was found out.	A man can't be too careful." He lost sympathy for the man that made a mistake and was found out.	true	675.38	681.94	19
2167_149881_000058_000000	On this account he still devoted some time to showing his wife about--time which would have been wearisome indeed if it had not been for the people he would meet and the little enjoyments which did not depend upon her presence or absence.	On this account he still devoted some time to showing his wife about-time which would have been wearisome indeed if it had not been for the people he would meet and the little enjoyments which did not depend upon her presence or absence.	true	682.4	694.66	11
2167_149881_000058_000001	He watched her with considerable curiosity at times, for she was still attractive in a way and men looked at her.	He watched her with considerable curiosity at times, for she was still attractive in a way and men looked at her.	true	695.06	701.83	12
2167_149881_000058_000002	She was affable, vain, subject to flattery, and this combination, he knew quite well, might produce a tragedy in a woman of her home position.	She was affable, vain, subject to flattery, and this combination, he knew quite well, might produce a tragedy in a woman of her home position.	true	701.99	710.47	12
2167_149881_000058_000003	Owing to his order of mind, his confidence in the sex was not great.	Owing to his order of mind, his confidence in the sex was not great.	true	710.96	715.42	12
2167_149881_000058_000004	His wife never possessed the virtues which would win the confidence and admiration of a man of his nature.	His wife never possessed the virtues which would win the confidence and admiration of a man of his nature.	true	715.73	721.12	9
2167_149881_000058_000005	As long as she loved him vigorously he could see how confidence could be, but when that was no longer the binding chain--well, something might happen.	As long as she loved him vigorously he could see how confidence could be, but when that was no longer the binding chain-well, something might happen.	true	721.64	731.41	17
2167_149881_000059_000000	During the last year or two the expenses of the family seemed a large thing.	During the last year or two the expenses of the family seemed a large thing.	true	731.96	736.09	9
2167_149881_000059_000001	Jessica wanted fine clothes, and Mrs. Hurstwood, not to be outshone by her daughter, also frequently enlivened her apparel. Hurstwood had said nothing in the past, but one day he murmured.	Jessica wanted fine clothes, and mrs Hurstwood, not to be outshone by her daughter, also frequently enlivened her apparel. Hurstwood had said nothing in the past, but one day he murmured.	true	736.37	746.86	11
2167_149881_000060_000000	"Jessica must have a new dress this month," said Mrs. Hurstwood one morning.	"Jessica must have a new dress this month," said mrs Hurstwood one morning.	true	747.47	751.36	12
2167_149881_000061_000000	Hurstwood was arraying himself in one of his perfection vests before the glass at the time.	Hurstwood was arraying himself in one of his perfection vests before the glass at the time.	true	751.64	756.55	11
2167_149881_000062_000000	"I thought she just bought one," he said.	"I thought she just bought one," he said.	true	757.04	759.04	18
2167_149881_000063_000000	"That was just something for evening wear," returned his wife complacently.	"That was just something for evening wear," returned his wife complacently.	true	759.35	762.7	13
2167_149881_000064_000000	"It seems to me," returned Hurstwood, "that she's spending a good deal for dresses of late."	"It seems to me," returned Hurstwood, "that she's spending a good deal for dresses of late."	true	763.67	769.21	15
2167_149881_000065_000000	"Well, she's going out more," concluded his wife, but the tone of his voice impressed her as containing something she had not heard there before.	"Well, she's going out more," concluded his wife, but the tone of his voice impressed her as containing something she had not heard there before.	true	770.3	777.91	11
2167_149881_000066_000000	He was not a man who travelled much, but when he did, he had been accustomed to take her along.	He was not a man who travelled much, but when he did, he had been accustomed to take her along.	true	778.49	783.7	16
2167_149881_000066_000001	On one occasion recently a local aldermanic junket had been arranged to visit Philadelphia--a junket that was to last ten days.	On one occasion recently a local aldermanic junket had been arranged to visit Philadelphia-a junket that was to last ten days.	true	784.01	792.28	14
2167_149881_000066_000002	Hurstwood had been invited.	Hurstwood had been invited.	true	792.5	794.26	18.978296
2167_149881_000067_000000	"Nobody knows us down there," said one, a gentleman whose face was a slight improvement over gross ignorance and sensuality.	"Nobody knows us down there," said one, a gentleman whose face was a slight improvement over gross ignorance and sensuality.	true	794.9	801.7	7
2167_149881_000067_000001	He always wore a silk hat of most imposing proportions.	He always wore a silk hat of most imposing proportions.	false	802.34	805.96	12
2167_149881_000067_000002	"We can have a good time." His left eye moved with just the semblance of a wink.	"We can have a good time." His left eye moved with just the semblance of a wink.	false	806.18	811.42	19
2167_149881_000067_000003	"You want to come along, George."	"You want to come along, George."	true	811.97	813.61	15
2167_149881_000068_000000	The next day Hurstwood announced his intention to his wife.	The next day Hurstwood announced his intention to his wife.	true	814.7	817.99	12
2167_149881_000069_000000	"I'm going away, Julia," he said, "for a few days."	"I'm going away, Julia," he said, "for a few days."	true	818.42	821.2	10
2167_149881_000070_000000	"Where?" she asked, looking up.	"Where?" she asked, looking up.	true	821.45	823.24	18
2167_149881_000071_000000	"To Philadelphia, on business."	"To Philadelphia, on business."	true	823.52	825.31	16.902184
2167_149881_000072_000000	She looked at him consciously, expecting something else.	She looked at him consciously, expecting something else.	true	825.89	829.33	17
2167_149881_000073_000000	"I'll have to leave you behind this time."	"I'll have to leave you behind this time."	true	830.06	832.06	16.859789
2167_149881_000074_000000	"All right," she replied, but he could see that she was thinking that it was a curious thing.	"All right," she replied, but he could see that she was thinking that it was a curious thing.	true	833.54	838.96	14
2167_149881_000074_000001	Before he went she asked him a few more questions, and that irritated him.	Before he went she asked him a few more questions, and that irritated him.	true	839.45	844.36	14
2167_149881_000074_000002	He began to feel that she was a disagreeable attachment.	He began to feel that she was a disagreeable attachment.	true	844.58	847.66	14
2167_149881_000075_000000	On this trip he enjoyed himself thoroughly, and when it was over he was sorry to get back.	On this trip he enjoyed himself thoroughly, and when it was over he was sorry to get back.	true	848.06	852.79	10
2167_149881_000075_000001	He was not willingly a prevaricator, and hated thoroughly to make explanations concerning it.	He was not willingly a prevaricator, and hated thoroughly to make explanations concerning it.	true	852.89	858.31	15
2167_149881_000075_000002	The whole incident was glossed over with general remarks, but Mrs. Hurstwood gave the subject considerable thought.	The whole incident was glossed over with general remarks, but mrs Hurstwood gave the subject considerable thought.	true	858.44	864.19	13
2167_149881_000075_000003	She drove out more, dressed better, and attended theatres freely to make up for it.	She drove out more, dressed better, and attended theatres freely to make up for it.	true	864.8	869.95	17
2167_149881_000076_000000	Such an atmosphere could hardly come under the category of home life.	Such an atmosphere could hardly come under the category of home life.	true	870.08	873.79	12
2167_149881_000076_000001	It ran along by force of habit, by force of conventional opinion.	It ran along by force of habit, by force of conventional opinion.	true	873.92	878.35	12
2167_149881_000076_000002	With the lapse of time it must necessarily become dryer and dryer--must eventually be tinder, easily lighted and destroyed.	With the lapse of time it must necessarily become dryer and dryer-must eventually be tinder, easily lighted and destroyed.	false	878.72	893.88	18.575125
