1678_142279_000000_000000	They were startled by hearing Mrs. Hale inquiring for her daughter.	They were startled by hearing mrs Hale inquiring for her daughter.	false	0	7.35	20.22995
1678_142279_000005_000006	'Papa has always spent the income he derived from his living in the parish.	'Papa has always spent the income he derived from his living in the parish.	true	98.445	102.64	21
1678_142279_000005_000007	I am, perhaps, encroaching upon the next dues, but the winter is likely to be severe, and our poor old people must be helped.'	I am, perhaps, encroaching upon the next dues, but the winter is likely to be severe, and our poor old people must be helped.'	false	103.1	111.67	23.254282
1678_142279_000006_000000	'Oh, mamma, let us do all we can,' said Margaret eagerly, not seeing the prudential side of the question, only grasping at the idea that they were rendering such help for the last time; 'we may not be here long.'	'Oh, mamma, let us do all we can,' said Margaret eagerly, not seeing the prudential side of the question, only grasping at the idea that they were rendering such help for the last time; 'we may not be here long.'	false	112.97	127.12	20.641108
1678_142279_000007_000000	'Do you feel ill, my darling?' asked Mrs. Hale, anxiously, misunderstanding Margaret's hint of the uncertainty of their stay at Helstone. 'You look pale and tired.	'Do you feel ill, my darling?' asked mrs Hale, anxiously, misunderstanding Margaret's hint of the uncertainty of their stay at Helstone. 'You look pale and tired.	true	128.63	140.26	20.02301
1678_142279_000007_000001	It is this soft, damp, unhealthy air.'	It is this soft, damp, unhealthy air.'	false	140.39	142.96	24.55692
1678_142279_000008_000000	'No--no, mamma, it is not that: it is delicious air.	'No-no, mamma, it is not that: it is delicious air.	false	143.51	149.01	22.403248
1678_142279_000008_000001	It smells of the freshest, purest fragrance, after the smokiness of Harley Street.	It smells of the freshest, purest fragrance, after the smokiness of Harley Street.	true	149.01	155.26	20.90057
1678_142279_000008_000002	But I am tired: it surely must be near bedtime.'	But I am tired: it surely must be near bedtime.'	true	155.69	159.1	24.255663
1678_142279_000009_000000	'Not far off--it is half-past nine.	'Not far off-it is half past nine.	true	160.49	163.3	23.064384
1678_142279_000009_000001	You had better go to bed at once dear. Ask Dixon for some gruel.	You had better go to bed at once dear. Ask Dixon for some gruel.	true	163.76	168.15	21.966005
1678_142279_000009_000002	I will come and see you as soon as you are in bed.	I will come and see you as soon as you are in bed.	true	168.15	171.43	21.066326
1678_142279_000009_000003	I am afraid you have taken cold; or the bad air from some of the stagnant ponds--'	I am afraid you have taken cold; or the bad air from some of the stagnant ponds-'	false	172.04	177.43	25.239674
1678_142279_000010_000000	'Oh, mamma,' said Margaret, faintly smiling as she kissed her mother, 'I am quite well--don't alarm yourself about me; I am only tired.'	'Oh, mamma,' said Margaret, faintly smiling as she kissed her mother, 'I am quite well-don't alarm yourself about me; I am only tired.'	true	177.98	188.5	19.682198
1678_142279_000011_000000	Margaret went upstairs.	Margaret went upstairs.	true	189.44	191.05	24.640451
1678_142279_000011_000001	To soothe her mother's anxiety she submitted to a basin of gruel.	To soothe her mother's anxiety she submitted to a basin of gruel.	true	191.21	195.01	17
1678_142279_000011_000002	She was lying languidly in bed when Mrs. Hale came up to make some last inquiries and kiss her before going to her own room for the night.	She was lying languidly in bed when mrs Hale came up to make some last inquiries and kiss her before going to her own room for the night.	true	195.17	202.27	17
1678_142279_000011_000003	But the instant she heard her mother's door locked, she sprang out of bed, and throwing her dressing-gown on, she began to pace up and down the room, until the creaking of one of the boards reminded her that she must make no noise.	But the instant she heard her mother's door locked, she sprang out of bed, and throwing her dressing gown on, she began to pace up and down the room, until the creaking of one of the boards reminded her that she must make no noise.	false	202.73	217.69	23.543991
1678_142279_000011_000004	She went and curled herself up on the window-seat in the small, deeply-recessed window.	She went and curled herself up on the window seat in the small, deeply recessed window.	false	217.88	223.06	21.814756
1678_142279_000011_000005	That morning when she had looked out, her heart had danced at seeing the bright clear lights on the church tower, which foretold a fine and sunny day.	That morning when she had looked out, her heart had danced at seeing the bright clear lights on the church tower, which foretold a fine and sunny day.	true	224.39	234.25	24.417368
1678_142279_000011_000006	This evening--sixteen hours at most had past by--she sat down, too full of sorrow to cry, but with a dull cold pain, which seemed to have pressed the youth and buoyancy out of her heart, never to return.	This evening-sixteen hours at most had past by-she sat down, too full of sorrow to cry, but with a dull cold pain, which seemed to have pressed the youth and buoyancy out of her heart, never to return.	true	235.37	253.45	21.152037
1678_142279_000011_000007	Mr. Henry Lennox's visit--his offer--was like a dream, a thing beside her actual life.	mr Henry Lennox's visit-his offer-was like a dream, a thing beside her actual life.	true	254.42	260.61	22.71551
1678_142279_000011_000008	The hard reality was, that her father had so admitted tempting doubts into his mind as to become a schismatic--an outcast; all the changes consequent upon this grouped themselves around that one great blighting fact.	The hard reality was, that her father had so admitted tempting doubts into his mind as to become a schismatic-an outcast; all the changes consequent upon this grouped themselves around that one great blighting fact.	false	260.61	277.3	22.76109
1678_142279_000012_000000	She looked out upon the dark-gray lines of the church tower, square and straight in the centre of the view, cutting against the deep blue transparent depths beyond, into which she gazed, and felt that she might gaze for ever, seeing at every moment some farther distance, and yet no sign of God!	She looked out upon the dark gray lines of the church tower, square and straight in the centre of the view, cutting against the deep blue transparent depths beyond, into which she gazed, and felt that she might gaze for ever, seeing at every moment some farther distance, and yet no sign of God!	true	278.87	299.26	24.412638
1678_142279_000012_000001	It seemed to her at the moment, as if the earth was more utterly desolate than if girt in by an iron dome, behind which there might be the ineffaceable peace and glory of the Almighty: those never-ending depths of space, in their still serenity, were more mocking to her than any material bounds could be--shutting in the cries of earth's sufferers, which now might ascend into that infinite splendour of vastness and be lost--lost for ever, before they reached His throne. In this mood her father came in unheard.	It seemed to her at the moment, as if the earth was more utterly desolate than if girt in by an iron dome, behind which there might be the ineffaceable peace and glory of the Almighty: those never ending depths of space, in their still serenity, were more mocking to her than any material bounds could be-shutting in the cries of earth's sufferers, which now might ascend into that infinite splendour of vastness and be lost-lost for ever, before they reached His throne. In this mood her father came in unheard.	true	299.96	337.48	22.622814
1678_142279_000012_000002	The moonlight was strong enough to let him see his daughter in her unusual place and attitude.	The moonlight was strong enough to let him see his daughter in her unusual place and attitude.	true	337.85	343.6	18.066063
1678_142279_000012_000003	He came to her and touched her shoulder before she was aware that he was there.	He came to her and touched her shoulder before she was aware that he was there.	true	344.21	348.58	21
1678_142279_000013_000000	'Margaret, I heard you were up.	'Margaret, I heard you were up.	true	351.44	353.71	25.882994
1678_142279_000013_000001	I could not help coming in to ask you to pray with me--to say the Lord's Prayer; that will do good to both of us.'	I could not help coming in to ask you to pray with me-to say the Lord's Prayer; that will do good to both of us.'	true	353.93	361.9	22.716478
1678_142279_000014_000000	Mr. Hale and Margaret knelt by the window-seat--he looking up, she bowed down in humble shame.	mr Hale and Margaret knelt by the window seat-he looking up, she bowed down in humble shame.	true	362.9	371.05	21.545357
1678_142279_000014_000001	God was there, close around them, hearing her father's whispered words.	God was there, close around them, hearing her father's whispered words.	true	371.57	375.7	22.171825
1678_142279_000014_000002	Her father might be a heretic; but had not she, in her despairing doubts not five minutes before, shown herself a far more utter sceptic?	Her father might be a heretic; but had not she, in her despairing doubts not five minutes before, shown herself a far more utter sceptic?	false	375.89	385.81	22.301273
1678_142279_000014_000003	She spoke not a word, but stole to bed after her father had left her, like a child ashamed of its fault.	She spoke not a word, but stole to bed after her father had left her, like a child ashamed of its fault.	true	386.42	392.53	24.61676
1678_142279_000014_000004	If the world was full of perplexing problems she would trust, and only ask to see the one step needful for the hour.	If the world was full of perplexing problems she would trust, and only ask to see the one step needful for the hour.	true	393.65	401.68	23.369228
1678_142279_000014_000005	Mr. Lennox--his visit, his proposal--the remembrance of which had been so rudely pushed aside by the subsequent events of the day--haunted her dreams that night.	mr Lennox-his visit, his proposal-the remembrance of which had been so rudely pushed aside by the subsequent events of the day-haunted her dreams that night.	true	402.83	413.92	23.265844
1678_142279_000014_000006	He was climbing up some tree of fabulous height to reach the branch whereon was slung her bonnet: he was falling, and she was struggling to save him, but held back by some invisible powerful hand.	He was climbing up some tree of fabulous height to reach the branch whereon was slung her bonnet: he was falling, and she was struggling to save him, but held back by some invisible powerful hand.	true	414.53	427.39	23.245834
1678_142279_000014_000007	He was dead.	He was dead.	true	428.42	429.64	22.740221
1678_142279_000014_000008	And yet, with a shifting of the scene, she was once more in the Harley Street drawing-room, talking to him as of old, and still with a consciousness all the time that she had seen him killed by that terrible fall.	And yet, with a shifting of the scene, she was once more in the Harley Street drawing room, talking to him as of old, and still with a consciousness all the time that she had seen him killed by that terrible fall.	true	430.46	442.72	21
1678_142279_000015_000000	Miserable, unresting night!	Miserable, unresting night!	true	443.51	446.01	20.053091
1678_142279_000015_000001	Ill preparation for the coming day!	Ill preparation for the coming day!	true	446.01	448.36	33.294407
1678_142279_000015_000002	She awoke with a start, unrefreshed, and conscious of some reality worse even than her feverish dreams.	She awoke with a start, unrefreshed, and conscious of some reality worse even than her feverish dreams.	true	449.57	457.99	23.171108
1678_142279_000015_000003	It all came back upon her; not merely the sorrow, but the terrible discord in the sorrow.	It all came back upon her; not merely the sorrow, but the terrible discord in the sorrow.	true	458.15	463.45	25.349726
1678_142279_000015_000004	Where, to what distance apart, had her father wandered, led by doubts which were to her temptations of the Evil One?	Where, to what distance apart, had her father wandered, led by doubts which were to her temptations of the Evil One?	true	464.24	472.39	22.662235
1678_142279_000015_000005	She longed to ask, and yet would not have heard for all the world.	She longed to ask, and yet would not have heard for all the world.	true	472.82	477.36	19
1678_142279_000016_000000	The fine crisp morning made her mother feel particularly well and happy at breakfast-time.	The fine crisp morning made her mother feel particularly well and happy at breakfast time.	false	477.36	483.735	20.028238
1678_142279_000016_000001	She talked on, planning village kindnesses, unheeding the silence of her husband and the monosyllabic answers of Margaret. Before the things were cleared away, Mr. Hale got up; he leaned one hand on the table, as if to support himself:	She talked on, planning village kindnesses, unheeding the silence of her husband and the monosyllabic answers of Margaret. Before the things were cleared away, mr Hale got up; he leaned one hand on the table, as if to support himself:	true	483.735	499.87	22.295898
1678_142279_000017_000000	'I shall not be at home till evening.	'I shall not be at home till evening.	false	501.11	502.96	22.424732
1678_142279_000017_000001	I am going to Bracy Common, and will ask Farmer Dobson to give me something for dinner.	I am going to Bracy Common, and will ask Farmer Dobson to give me something for dinner.	true	503.6	507.82	21.930958
1678_142279_000017_000002	I shall be back to tea at seven.' He did not look at either of them, but Margaret knew what he meant.	I shall be back to tea at seven.' He did not look at either of them, but Margaret knew what he meant.	true	508.04	515.53	22.460384
1678_142279_000017_000003	By seven the announcement must be made to her mother.	By seven the announcement must be made to her mother.	true	516.02	519.07	19.576994
1678_142279_000017_000004	Mr. Hale would have delayed making it till half-past six, but Margaret was of different stuff.	mr Hale would have delayed making it till half past six, but Margaret was of different stuff.	true	519.44	524.68	22.544403
1678_142279_000017_000005	She could not bear the impending weight on her mind all the day long: better get the worst over; the day would be too short to comfort her mother.	She could not bear the impending weight on her mind all the day long: better get the worst over; the day would be too short to comfort her mother.	true	525.41	534.43	23.554237
1678_142279_000017_000006	But while she stood by the window, thinking how to begin, and waiting for the servant to have left the room, her mother had gone up-stairs to put on her things to go to the school.	But while she stood by the window, thinking how to begin, and waiting for the servant to have left the room, her mother had gone up stairs to put on her things to go to the school.	true	534.89	544.84	23.682062
1678_142279_000017_000007	She came down ready equipped, in a brisker mood than usual.	She came down ready equipped, in a brisker mood than usual.	true	545.72	549.13	22.70953
1678_142279_000018_000000	'Mother, come round the garden with me this morning; just one turn,' said Margaret, putting her arm round Mrs. Hale's waist.	'Mother, come round the garden with me this morning; just one turn,' said Margaret, putting her arm round mrs Hale's waist.	true	551.27	558.13	21.724562
1678_142279_000019_000000	They passed through the open window.	They passed through the open window.	true	558.62	560.65	25.603731
1678_142279_000019_000001	Mrs. Hale spoke--said something--Margaret could not tell what.	mrs Hale spoke-said something-Margaret could not tell what.	true	561.5	565.87	25.02355
1678_142279_000019_000002	Her eye caught on a bee entering a deep-belled flower: when that bee flew forth with his spoil she would begin--that should be the sign.	Her eye caught on a bee entering a deep belled flower: when that bee flew forth with his spoil she would begin-that should be the sign.	true	566.6	578.05	22.69838
1678_142279_000019_000003	Out he came.	Out he came.	true	579.74	581.02	20.463001
1678_142279_000020_000000	'Mamma!	'Mamma!	true	583.13	583.95	21.132595
1678_142279_000020_000001	Papa is going to leave Helstone!' she blurted forth.	Papa is going to leave Helstone!' she blurted forth.	false	583.95	587.92	21.044228
1678_142279_000020_000002	'He's going to leave the Church, and live in Milton-Northern.' There were the three hard facts hardly spoken.	'He's going to leave the Church, and live in Milton Northern.' There were the three hard facts hardly spoken.	true	589.01	596.38	21.892942
1678_142279_000021_000000	'What makes you say so?' asked Mrs. Hale, in a surprised incredulous voice.	'What makes you say so?' asked mrs Hale, in a surprised incredulous voice.	false	599.24	604.15	20.511406
1678_142279_000021_000001	'Who has been telling you such nonsense?'	'Who has been telling you such nonsense?'	true	605.18	607.57	18.52361
1678_142279_000022_000000	'Papa himself,' said Margaret, longing to say something gentle and consoling, but literally not knowing how.	'Papa himself,' said Margaret, longing to say something gentle and consoling, but literally not knowing how.	true	609.59	617.92	22.171682
1678_142279_000022_000001	They were close to a garden-bench.	They were close to a garden bench.	true	619.37	621.51	27.016827
1678_142279_000022_000002	Mrs. Hale sat down, and began to cry.	mrs Hale sat down, and began to cry.	true	621.51	624.22	17
1678_142279_000023_000000	'I don't understand you,' she said.	'I don't understand you,' she said.	false	625.64	628.26	20.825888
1678_142279_000023_000001	'Either you have made some great mistake, or I don't quite understand you.'	'Either you have made some great mistake, or I don't quite understand you.'	false	628.26	633.81	23.874918
1678_142279_000024_000000	'No, mother, I have made no mistake.	'No, mother, I have made no mistake.	false	633.81	638.2	15.475997
1678_142279_000024_000001	Papa has written to the bishop, saying that he has such doubts that he cannot conscientiously remain a priest of the Church of England, and that he must give up Helstone.	Papa has written to the bishop, saying that he has such doubts that he cannot conscientiously remain a priest of the Church of England, and that he must give up Helstone.	true	638.69	648.34	21.694073
1678_142279_000024_000002	He has also consulted Mr. Bell--Frederick's godfather, you know, mamma; and it is arranged that we go to live in Milton-Northern.' Mrs. Hale looked up in Margaret's face all the time she was speaking these words: the shadow on her countenance told that she, at least, believed in the truth of what she said.	He has also consulted mr Bell-Frederick's godfather, you know, mamma; and it is arranged that we go to live in Milton Northern.' mrs Hale looked up in Margaret's face all the time she was speaking these words: the shadow on her countenance told that she, at least, believed in the truth of what she said.	true	649.46	668.71	22.389025
1678_142279_000025_000000	'I don't think it can be true,' said Mrs. Hale, at length.	'I don't think it can be true,' said mrs Hale, at length.	false	671.21	674.91	21.949701
1678_142279_000025_000001	'He would surely have told me before it came to this.'	'He would surely have told me before it came to this.'	true	674.91	678.34	20.928558
1678_142279_000026_000000	It came strongly upon Margaret's mind that her mother ought to have been told: that whatever her faults of discontent and repining might have been, it was an error in her father to have left her to learn his change of opinion, and his approaching change of life, from her better-informed child.	It came strongly upon Margaret's mind that her mother ought to have been told: that whatever her faults of discontent and repining might have been, it was an error in her father to have left her to learn his change of opinion, and his approaching change of life, from her better informed child.	true	679.85	696.52	25.036331
1678_142279_000026_000001	Margaret sat down by her mother, and took her unresisting head on her breast, bending her own soft cheeks down caressingly to touch her face.	Margaret sat down by her mother, and took her unresisting head on her breast, bending her own soft cheeks down caressingly to touch her face.	true	696.89	705.64	18.377565
1678_142279_000027_000000	'Dear, darling mamma! we were so afraid of giving you pain.	'Dear, darling mamma! we were so afraid of giving you pain.	true	708.65	714.01	21.362396
1678_142279_000027_000001	Papa felt so acutely--you know you are not strong, and there must have been such terrible suspense to go through.'	Papa felt so acutely-you know you are not strong, and there must have been such terrible suspense to go through.'	true	714.23	723.01	19.201508
1678_142279_000028_000000	'When did he tell you, Margaret?'	'When did he tell you, Margaret?'	true	724.61	726.46	24.920193
1678_142279_000029_000000	'Yesterday, only yesterday,' replied Margaret, detecting the jealousy which prompted the inquiry.	'Yesterday, only yesterday,' replied Margaret, detecting the jealousy which prompted the inquiry.	true	727.88	733.78	23.912231
1678_142279_000029_000001	'Poor papa!'--trying to divert her mother's thoughts into compassionate sympathy for all her father had gone through.	'Poor papa!'--trying to divert her mother's thoughts into compassionate sympathy for all her father had gone through.	true	734	741.4	23.168268
1678_142279_000029_000002	Mrs. Hale raised her head.	mrs Hale raised her head.	true	741.59	743.5	20.126804
1678_142279_000030_000000	'What does he mean by having doubts?' she asked.	'What does he mean by having doubts?' she asked.	false	745.28	749.34	21.26891
1678_142279_000030_000001	'Surely, he does not mean that he thinks differently--that he knows better than the Church.' Margaret shook her head, and the tears came into her eyes, as her mother touched the bare nerve of her own regret.	'Surely, he does not mean that he thinks differently-that he knows better than the Church.' Margaret shook her head, and the tears came into her eyes, as her mother touched the bare nerve of her own regret.	false	749.34	761.68	21.273054
1678_142279_000031_000000	'Can't the bishop set him right?' asked Mrs. Hale, half impatiently.	'Can't the bishop set him right?' asked mrs Hale, half impatiently.	true	763.97	769.06	29.713446
1678_142279_000032_000000	'I'm afraid not,' said Margaret.	'I'm afraid not,' said Margaret.	true	770.9	773.17	21.504717
1678_142279_000032_000001	'But I did not ask.	'But I did not ask.	true	773.42	775.33	21.452564
1678_142279_000032_000002	I could not bear to hear what he might answer.	I could not bear to hear what he might answer.	true	775.76	778.48	19.76027
1678_142279_000032_000003	It is all settled at any rate.	It is all settled at any rate.	true	779.6	781.72	17.356577
1678_142279_000032_000004	He is going to leave Helstone in a fortnight.	He is going to leave Helstone in a fortnight.	true	781.76	784.3	21.312006
1678_142279_000032_000005	I am not sure if he did not say he had sent in his deed of resignation.'	I am not sure if he did not say he had sent in his deed of resignation.'	true	785.24	789.43	22
1678_142279_000033_000000	'In a fortnight!' exclaimed Mrs. Hale, 'I do think this is very strange--not at all right.	'In a fortnight!' exclaimed mrs Hale, 'I do think this is very strange-not at all right.	true	790.79	798.435	23.122868
1678_142279_000033_000001	I call it very unfeeling,' said she, beginning to take relief in tears.	I call it very unfeeling,' said she, beginning to take relief in tears.	true	798.435	802.81	18.688885
1678_142279_000033_000002	'He has doubts, you say, and gives up his living, and all without consulting me.	'He has doubts, you say, and gives up his living, and all without consulting me.	true	804.65	810.52	22.707207
1678_142279_000033_000003	I dare say, if he had told me his doubts at the first I could have nipped them in the bud.'	I dare say, if he had told me his doubts at the first I could have nipped them in the bud.'	false	810.8	816.31	24.962873
1678_142279_000034_000000	Mistaken as Margaret felt her father's conduct to have been, she could not bear to hear it blamed by her mother.	Mistaken as Margaret felt her father's conduct to have been, she could not bear to hear it blamed by her mother.	true	817.19	824.53	23.701658
1678_142279_000034_000001	She knew that his very reserve had originated in a tenderness for her, which might be cowardly, but was not unfeeling.	She knew that his very reserve had originated in a tenderness for her, which might be cowardly, but was not unfeeling.	true	824.93	833.11	22.344458
1678_142279_000035_000000	'I almost hoped you might have been glad to leave Helstone, mamma,' said she, after a pause.	'I almost hoped you might have been glad to leave Helstone, mamma,' said she, after a pause.	false	835.79	841.96	22.55638
1678_142279_000035_000001	'You have never been well in this air, you know.'	'You have never been well in this air, you know.'	true	842.66	845.77	16
1678_142279_000036_000000	'You can't think the smoky air of a manufacturing town, all chimneys and dirt like Milton-Northern, would be better than this air, which is pure and sweet, if it is too soft and relaxing.	'You can't think the smoky air of a manufacturing town, all chimneys and dirt like Milton Northern, would be better than this air, which is pure and sweet, if it is too soft and relaxing.	true	847.91	861.79	23.81859
1678_142279_000036_000001	Fancy living in the middle of factories, and factory people!	Fancy living in the middle of factories, and factory people!	true	862.13	865.36	26.47816
1678_142279_000036_000002	Though, of course, if your father leaves the Church, we shall not be admitted into society anywhere.	Though, of course, if your father leaves the Church, we shall not be admitted into society anywhere.	true	865.49	870.37	22.718643
1678_142279_000036_000003	It will be such a disgrace to us!	It will be such a disgrace to us!	false	870.38	872.74	24.54283
1678_142279_000036_000004	Poor dear Sir John!	Poor dear Sir john!	false	872.81	875.17	22.61739
1678_142279_000036_000005	It is well he is not alive to see what your father has come to!	It is well he is not alive to see what your father has come to!	true	876.86	880.36	22.238176
1678_142279_000036_000006	Every day after dinner, when I was a girl, living with your aunt Shaw, at Beresford Court, Sir John used to give for the first toast--"Church and King, and down with the Rump."'	Every day after dinner, when I was a girl, living with your aunt Shaw, at Beresford Court, Sir john used to give for the first toast-"Church and King, and down with the Rump."'	true	880.49	893.58	22.957129
1678_142279_000037_000000	Margaret was glad that her mother's thoughts were turned away from the fact of her husband's silence to her on the point which must have been so near his heart.	Margaret was glad that her mother's thoughts were turned away from the fact of her husband's silence to her on the point which must have been so near his heart.	true	893.58	902.14	23.997257
1678_142279_000037_000001	Next to the serious vital anxiety as to the nature of her father's doubts, this was the one circumstance of the case that gave Margaret the most pain.	Next to the serious vital anxiety as to the nature of her father's doubts, this was the one circumstance of the case that gave Margaret the most pain.	true	902.54	911.62	22.296577
1678_142279_000038_000000	'You know, we have very little society here, mamma.	'You know, we have very little society here, mamma.	true	913.7	918.07	20.476717
1678_142279_000038_000001	The Gormans, who are our nearest neighbours (to call society--and we hardly ever see them), have been in trade just as much as these Milton-Northern people.'	The Gormans, who are our nearest neighbours (to call society-and we hardly ever see them), have been in trade just as much as these Milton Northern people.'	true	919.43	929.02	22.160927
1678_142279_000039_000000	'Yes,' said Mrs. Hale, almost indignantly, 'but, at any rate, the Gormans made carriages for half the gentry of the county, and were brought into some kind of intercourse with them; but these factory people, who on earth wears cotton that can afford linen?'	'Yes,' said mrs Hale, almost indignantly, 'but, at any rate, the Gormans made carriages for half the gentry of the county, and were brought into some kind of intercourse with them; but these factory people, who on earth wears cotton that can afford linen?'	true	930.26	948.1	26.721355
1678_142279_000040_000000	'Well, mamma, I give up the cotton-spinners; I am not standing up for them, any more than for any other trades-people.	'Well, mamma, I give up the cotton spinners; I am not standing up for them, any more than for any other trades people.	true	950.15	958.18	23.83604
1678_142279_000040_000001	Only we shall have little enough to do with them.'	Only we shall have little enough to do with them.'	true	959	962.53	21.807413
1678_142279_000041_000000	'Why on earth has your father fixed on Milton-Northern to live in?'	'Why on earth has your father fixed on Milton Northern to live in?'	true	964.16	967.39	25.81014
1678_142279_000042_000000	'Partly,' said Margaret, sighing, 'because it is so very different from Helstone--partly because Mr. Bell says there is an opening there for a private tutor.'	'Partly,' said Margaret, sighing, 'because it is so very different from Helstone-partly because mr Bell says there is an opening there for a private tutor.'	true	971.06	984.94	22.10353
1678_142279_000043_000000	'Private tutor in Milton!	'Private tutor in Milton!	true	985.43	987.22	32.695587
1678_142279_000043_000001	Why can't he go to Oxford, and be a tutor to gentlemen?'	Why can't he go to Oxford, and be a tutor to gentlemen?'	true	987.38	990.88	25.920584
1678_142279_000044_000000	'You forget, mamma!	'You forget, mamma!	true	991.52	993.22	26.8591
1678_142279_000044_000001	He is leaving the Church on account of his opinions--his doubts would do him no good at Oxford.'	He is leaving the Church on account of his opinions-his doubts would do him no good at Oxford.'	true	993.5	999.07	21.540691
1678_142279_000045_000000	Mrs. Hale was silent for some time, quietly crying.	mrs Hale was silent for some time, quietly crying.	true	1000.1	1003.66	21
1678_142279_000045_000001	At last she said:--	At last she said:--	true	1004	1005.25	18.673561
1678_142279_000046_000000	'And the furniture--How in the world are we to manage the removal?	'And the furniture-How in the world are we to manage the removal?	true	1007.15	1010.98	19.827013
1678_142279_000046_000001	I never removed in my life, and only a fortnight to think about it!'	I never removed in my life, and only a fortnight to think about it!'	false	1011.14	1015.12	25.69173
1678_142279_000047_000000	Margaret was inexpressibly relieved to find that her mother's anxiety and distress was lowered to this point, so insignificant to herself, and on which she could do so much to help.	Margaret was inexpressibly relieved to find that her mother's anxiety and distress was lowered to this point, so insignificant to herself, and on which she could do so much to help.	true	1017.41	1029.76	23.97575
1678_142279_000047_000001	She planned and promised, and led her mother on to arrange fully as much as could be fixed before they knew somewhat more definitively what Mr. Hale intended to do.	She planned and promised, and led her mother on to arrange fully as much as could be fixed before they knew somewhat more definitively what mr Hale intended to do.	true	1030.28	1041.94	23.027565
1678_142279_000047_000002	Throughout the day Margaret never left her mother; bending her whole soul to sympathise in all the various turns her feelings took; towards evening especially, as she became more and more anxious that her father should find a soothing welcome home awaiting him, after his return from his day of fatigue and distress.	Throughout the day Margaret never left her mother; bending her whole soul to sympathise in all the various turns her feelings took; towards evening especially, as she became more and more anxious that her father should find a soothing welcome home awaiting him, after his return from his day of fatigue and distress.	false	1042.19	1062.61	23.071014
1678_142279_000047_000003	She dwelt upon what he must have borne in secret for long; her mother only replied coldly that he ought to have told her, and that then at any rate he would have had an adviser to give him counsel; and Margaret turned faint at heart when she heard her father's step in the hall.	She dwelt upon what he must have borne in secret for long; her mother only replied coldly that he ought to have told her, and that then at any rate he would have had an adviser to give him counsel; and Margaret turned faint at heart when she heard her father's step in the hall.	false	1063.52	1079.74	23.172857
1678_142279_000047_000004	She dared not go to meet him, and tell him what she had done all day, for fear of her mother's jealous annoyance. She heard him linger, as if awaiting her, or some sign of her; and she dared not stir; she saw by her mother's twitching lips, and changing colour, that she too was aware that her husband had returned.	She dared not go to meet him, and tell him what she had done all day, for fear of her mother's jealous annoyance. She heard him linger, as if awaiting her, or some sign of her; and she dared not stir; she saw by her mother's twitching lips, and changing colour, that she too was aware that her husband had returned.	true	1081.01	1103.89	23.033504
