868_131295_000001_000001	Flowers	Flowers
868_131295_000007_000004	In the West the display of flowers seems to be a part of the pageantry of wealth,--the fancy of a moment.	In the West the display of flowers seems to be a part of the pageantry of wealth,--the fancy of a moment.
868_131295_000008_000000	Why were the flowers born so beautiful and yet so hapless?	Why were the flowers born so beautiful and yet so hapless?
868_131295_000008_000001	Insects can sting, and even the meekest of beasts will fight when brought to bay. The birds whose plumage is sought to deck some bonnet can fly from its pursuer, the furred animal whose coat you covet for your own may hide at your approach.	Insects can sting, and even the meekest of beasts will fight when brought to bay. The birds whose plumage is sought to deck some bonnet can fly from its pursuer, the furred animal whose coat you covet for your own may hide at your approach.
868_131295_000008_000003	The only flower known to have wings is the butterfly; all others stand helpless before the destroyer.	The only flower known to have wings is the butterfly; all others stand helpless before the destroyer.
868_131295_000009_000001	The man of the pot is far more humane than he of the scissors.	The man of the pot is far more humane than he of the scissors.
868_131295_000009_000007	In Japan, one of the most popular of the No-dances, the Hachinoki, composed during the Ashikaga period, is based upon the story of an impoverished knight, who, on a freezing night, in lack of fuel for a fire, cuts his cherished plants in order to entertain a wandering friar.	In Japan, one of the most popular of the No dances, the Hachinoki, composed during the Ashikaga period, is based upon the story of an impoverished knight, who, on a freezing night, in lack of fuel for a fire, cuts his cherished plants in order to entertain a wandering friar.
868_131295_000013_000000	However, let us not be too sentimental.	However, let us not be too sentimental.
868_131295_000013_000001	Let us be less luxurious but more magnificent.	Let us be less luxurious but more magnificent.
868_131295_000013_000003	Destruction below and above, destruction behind and before. Change is the only Eternal,--why not as welcome Death as Life?	Destruction below and above, destruction behind and before. Change is the only Eternal,--why not as welcome Death as Life?
868_131295_000013_000004	They are but counterparts one of the other,--The Night and Day of Brahma.	They are but counterparts one of the other,--The Night and Day of Brahma.
868_131295_000013_000006	We have worshipped Death, the relentless goddess of mercy, under many different names.	We have worshipped Death, the relentless goddess of mercy, under many different names.
868_131295_000013_000007	It was the shadow of the All-devouring that the Gheburs greeted in the fire.	It was the shadow of the All devouring that the Gheburs greeted in the fire.
868_131295_000013_000009	The mystic fire consumes our weakness, the sacred sword cleaves the bondage of desire.	The mystic fire consumes our weakness, the sacred sword cleaves the bondage of desire.
868_131295_000013_000010	From our ashes springs the phoenix of celestial hope, out of the freedom comes a higher realisation of manhood.	From our ashes springs the phoenix of celestial hope, out of the freedom comes a higher realisation of manhood.
868_131295_000014_000000	Why not destroy flowers if thereby we can evolve new forms ennobling the world idea?	Why not destroy flowers if thereby we can evolve new forms ennobling the world idea?
868_131295_000015_000005	Here we are apt to see only the flower stems, heads as it were, without body, stuck promiscuously into a vase.	Here we are apt to see only the flower stems, heads as it were, without body, stuck promiscuously into a vase.
868_131295_000017_000008	Thus Sekishiu ordained that white plum blossoms should not be made use of when snow lay in the garden. "Noisy" flowers were relentlessly banished from the tea-room.	Thus Sekishiu ordained that white plum blossoms should not be made use of when snow lay in the garden. "Noisy" flowers were relentlessly banished from the tea room.
868_131295_000020_000003	The tea-master deems his duty ended with the selection of the flowers, and leaves them to tell their own story.	The tea master deems his duty ended with the selection of the flowers, and leaves them to tell their own story.
868_131295_000020_000005	Again, if you go into a noon-tea on some irritatingly hot summer day, you may discover in the darkened coolness of the tokonoma a single lily in a hanging vase; dripping with dew, it seems to smile at the foolishness of life.	Again, if you go into a noon tea on some irritatingly hot summer day, you may discover in the darkened coolness of the tokonoma a single lily in a hanging vase; dripping with dew, it seems to smile at the foolishness of life.
868_131295_000021_000003	One of the guests has recorded that he felt in the whole composition the breath of waning autumn.	One of the guests has recorded that he felt in the whole composition the breath of waning autumn.
868_131295_000022_000000	Flower stories are endless.	Flower stories are endless.
868_131295_000022_000001	We shall recount but one more.	We shall recount but one more.
868_131295_000022_000003	The fame of his convulvuli reached the ear of the Taiko, and he expressed a desire to see them, in consequence of which Rikiu invited him to a morning tea at his house.	The fame of his convulvuli reached the ear of the Taiko, and he expressed a desire to see them, in consequence of which Rikiu invited him to a morning tea at his house.
868_131295_000023_000001	They are not cowards, like men.	They are not cowards, like men.
