323_126408_000000_000000	Cyril tightened his belt ostentatiously.	Cyril tightened his belt ostentatiously.	false	3.78	9.48	16.170746
323_126408_000027_000000	But no one answered.	But no one answered.	true	368.09	369.91	17.375952
323_126408_000028_000000	The children found plenty of strange weapons in the castle, and if they were armed at all it was soon plain that they would be, as Cyril said, 'armed heavily' - for these swords and lances and crossbows were far too weighty even for Cyril's manly strength; and as for the longbows, none of the children could even begin to bend them.	The children found plenty of strange weapons in the castle, and if they were armed at all it was soon plain that they would be, as Cyril said, 'armed heavily' - for these swords and lances and crossbows were far too weighty even for Cyril's manly strength; and as for the longbows, none of the children could even begin to bend them.	false	370.28	390.46	16
323_126408_000028_000001	The daggers were better; but Jane hoped that the besiegers would not come close enough for daggers to be of any use.	The daggers were better; but Jane hoped that the besiegers would not come close enough for daggers to be of any use.	false	391.19	398.05	17
323_126408_000029_000000	'Never mind, we can hurl them like javelins,' said Cyril, 'or drop them on people's heads.	'Never mind, we can hurl them like javelins,' said Cyril, 'or drop them on people's heads.	true	399.47	405.21	18
323_126408_000029_000001	I say - there are lots of stones on the other side of the courtyard.	I say — there are lots of stones on the other side of the courtyard.	false	405.21	409.15	17
323_126408_000029_000002	If we took some of those up, just to drop on their heads if they were to try swimming the moat.'	If we took some of those up, just to drop on their heads if they were to try swimming the moat.'	false	409.67	415.87	17
323_126408_000030_000000	So a heap of stones grew apace, up in the room above the gate; and another heap, a shiny spiky dangerous-looking heap, of daggers and knives.	So a heap of stones grew apace, up in the room above the gate; and another heap, a shiny spiky dangerous looking heap, of daggers and knives.	true	416.54	426.25	17.621832
323_126408_000031_000000	As Anthea was crossing the courtyard for more stones, a sudden and valuable idea came to her.	As Anthea was crossing the courtyard for more stones, a sudden and valuable idea came to her.	true	428.03	433.96	17
323_126408_000031_000001	She went to Martha and said, 'May we have just biscuits for tea?	She went to Martha and said, 'May we have just biscuits for tea?	true	434.99	440.35	20.201761
323_126408_000031_000002	We're going to play at besieged castles, and we'd like the biscuits to provision the garrison.	We're going to play at besieged castles, and we'd like the biscuits to provision the garrison.	false	440.54	446.23	22
323_126408_000031_000003	Put mine in my pocket, please, my hands are so dirty.	Put mine in my pocket, please, my hands are so dirty.	true	446.57	449.68	14
323_126408_000031_000004	And I'll tell the others to fetch theirs.'	And I'll tell the others to fetch theirs.'	true	450.08	452.89	21
323_126408_000032_000000	This was indeed a happy thought, for now with four generous handfuls of air, which turned to biscuit as Martha crammed it into their pockets, the garrison was well provisioned till sundown.	This was indeed a happy thought, for now with four generous handfuls of air, which turned to biscuit as Martha crammed it into their pockets, the garrison was well provisioned till sundown.	true	453.17	465.28	18.745438
323_126408_000033_000000	They brought up some iron pots of cold water to pour on the besiegers instead of hot lead, with which the castle did not seem to be provided.	They brought up some iron pots of cold water to pour on the besiegers instead of hot lead, with which the castle did not seem to be provided.	true	466.19	475.81	18.779324
323_126408_000034_000000	The afternoon passed with wonderful quickness.	The afternoon passed with wonderful quickness.	true	476.93	479.56	15
323_126408_000034_000001	It was very exciting; but none of them, except Robert, could feel all the time that this was real deadly dangerous work.	It was very exciting; but none of them, except Robert, could feel all the time that this was real deadly dangerous work.	false	479.93	486.28	15
323_126408_000034_000002	To the others, who had only seen the camp and the besiegers from a distance, the whole thing seemed half a game of make-believe, and half a splendidly distinct and perfectly safe dream.	To the others, who had only seen the camp and the besiegers from a distance, the whole thing seemed half a game of make believe, and half a splendidly distinct and perfectly safe dream.	false	487.16	497.83	16
323_126408_000034_000003	But it was only now and then that Robert could feel this.	But it was only now and then that Robert could feel this.	true	498.74	501.37	17
323_126408_000035_000000	When it seemed to be tea-time the biscuits were eaten with water from the deep well in the courtyard, drunk out of horns.	When it seemed to be tea time the biscuits were eaten with water from the deep well in the courtyard, drunk out of horns.	false	503	510.64	18
323_126408_000035_000001	Cyril insisted on putting by eight of the biscuits, in case anyone should feel faint in stress of battle.	Cyril insisted on putting by eight of the biscuits, in case anyone should feel faint in stress of battle.	false	511.16	520.32	19.92696
323_126408_000036_000000	just as he was putting away the reserve biscuits in a sort of little stone cupboard without a door, a sudden sound made him drop three.	just as he was putting away the reserve biscuits in a sort of little stone cupboard without a door, a sudden sound made him drop three.	true	520.32	527.26	14
323_126408_000036_000001	It was the loud fierce cry of a trumpet.	It was the loud fierce cry of a trumpet.	false	527.54	531.22	30.033632
323_126408_000037_000000	'You see it IS real,' said Robert, 'and they are going to attack.'	'You see it IS real,' said Robert, 'and they are going to attack.'	false	532.85	537.22	22
323_126408_000038_000000	All rushed to the narrow windows.	All rushed to the narrow windows.	true	537.77	540.19	14
323_126408_000039_000000	'Yes,' said Robert, 'they're all coming out of their tents and moving about like ants.	'Yes,' said Robert, 'they're all coming out of their tents and moving about like ants.	false	540.86	546.01	20.393238
323_126408_000039_000001	There's that Jakin dancing about where the bridge joins on.	There's that Jakin dancing about where the bridge joins on.	false	546.44	550.56	19
323_126408_000039_000002	I wish he could see me put my tongue out at him! Yah!'	I wish he could see me put my tongue out at him! Yah!'	false	550.56	555.18	16.729784
323_126408_000040_000000	The others were far too pale to wish to put their tongues out at anybody.	The others were far too pale to wish to put their tongues out at anybody.	false	555.18	560.11	20
323_126408_000040_000001	They looked at Robert with surprised respect.	They looked at Robert with surprised respect.	true	560.66	563.5	21
323_126408_000040_000002	Anthea said:	Anthea said:	true	563.75	564.76	19.312037
323_126408_000041_000000	'You really ARE brave, Robert.'	'You really ARE brave, Robert.'	true	564.92	567.04	17
323_126408_000042_000000	'Rot!' Cyril's pallor turned to redness now, all in a minute.	'Rot!' Cyril's pallor turned to redness now, all in a minute.	true	567.77	571.87	18
323_126408_000042_000001	'He's been getting ready to be brave all the afternoon.	'He's been getting ready to be brave all the afternoon.	true	572.09	575.26	21.793392
323_126408_000042_000002	And I wasn't ready, that's all.	And I wasn't ready, that's all.	true	575.39	576.81	18.86951
323_126408_000042_000003	I shall be braver than he is in half a jiffy.'	I shall be braver than he is in half a jiffy.'	false	576.81	580.98	16.519114
323_126408_000043_000000	'Oh dear!' said Jane, 'what does it matter which of you is the bravest?	'Oh dear!' said Jane, 'what does it matter which of you is the bravest?	true	580.98	584.535	17
323_126408_000043_000001	I think Cyril was a perfect silly to wish for a castle, and I don't want to play.'	I think Cyril was a perfect silly to wish for a castle, and I don't want to play.'	false	584.535	589.27	19.78217
323_126408_000044_000000	'It ISN'T' - Robert was beginning sternly, but Anthea interrupted -	'It ISN'T' - Robert was beginning sternly, but Anthea interrupted -	true	590.15	594.39	19.361595
323_126408_000045_000000	'Oh yes, you do,' she said coaxingly; 'it's a very nice game, really, because they can't possibly get in, and if they do the women and children are always spared by civilized armies.'	'Oh yes, you do,' she said coaxingly; 'it's a very nice game, really, because they can't possibly get in, and if they do the women and children are always spared by civilized armies.'	false	594.39	605.86	17
323_126408_000046_000000	'But are you quite, quite sure they ARE civilized?' asked Jane, panting.	'But are you quite, quite sure they ARE civilized?' asked Jane, panting.	false	606.8	610.26	19
323_126408_000046_000001	'They seem to be such a long time ago.'	'They seem to be such a long time ago.'	true	610.26	612.82	10
323_126408_000047_000000	'Of course they are.' Anthea pointed cheerfully through the narrow window.	'Of course they are.' Anthea pointed cheerfully through the narrow window.	true	614.3	619.2	18
323_126408_000047_000001	'Why, look at the little flags on their lances, how bright they are - and how fine the leader is!	'Why, look at the little flags on their lances, how bright they are — and how fine the leader is!	false	619.2	625.99	19
323_126408_000047_000002	Look, that's him - isn't it, Robert?	Look, that's him — isn't it, Robert?	false	626.18	629.8	15.537412
323_126408_000047_000003	- on the grey horse.'	- on the grey horse.'	true	629.84	631.09	15
323_126408_000048_000000	Jane consented to look, and the scene was almost too pretty to be alarming.	Jane consented to look, and the scene was almost too pretty to be alarming.	true	631.91	636.67	13
323_126408_000048_000001	The green turf, the white tents, the flash of pennoned lances, the gleam of armour, and the bright colours of scarf and tunic - it was just like a splendid coloured picture.	The green turf, the white tents, the flash of pennoned lances, the gleam of armour, and the bright colours of scarf and tunic — it was just like a splendid coloured picture.	true	637.19	650.41	18
323_126408_000048_000002	The trumpets were sounding, and when the trumpets stopped for breath the children could hear the cling-clang of armour and the murmur of voices.	The trumpets were sounding, and when the trumpets stopped for breath the children could hear the cling clang of armour and the murmur of voices.	false	651.47	660.79	16
323_126408_000049_000000	A trumpeter came forward to the edge of the moat, which now seemed very much narrower than at first, and blew the longest and loudest blast they had yet heard.	A trumpeter came forward to the edge of the moat, which now seemed very much narrower than at first, and blew the longest and loudest blast they had yet heard.	false	661.34	670.42	16
323_126408_000049_000001	When the blaring noise had died away, a man who was with the trumpeter shouted:	When the blaring noise had died away, a man who was with the trumpeter shouted:	false	675.38	679.86	13
323_126408_000050_000000	'What ho, within there!' and his voice came plainly to the garrison in the gate-house.	'What ho, within there!' and his voice came plainly to the garrison in the gate house.	false	679.86	686.2	19.161982
323_126408_000051_000000	'Hullo there!' Robert bellowed back at once.	'Hullo there!' Robert bellowed back at once.	true	686.93	690.22	18.24913
323_126408_000052_000000	'In the name of our Lord the King, and of our good lord and trusty leader Sir Wulfric de Talbot, we summon this castle to surrender - on pain of fire and sword and no quarter.	'In the name of our Lord the King, and of our good lord and trusty leader Sir Wulfric de Talbot, we summon this castle to surrender — on pain of fire and sword and no quarter.	false	690.56	702.52	18.92177
323_126408_000052_000001	Do ye surrender?'	Do ye surrender?'	false	703.01	704.83	17
323_126408_000053_000000	'No,' bawled Robert, 'of course we don't!	'No,' bawled Robert, 'of course we don't!	true	705.71	708.945	20.931381
323_126408_000053_000001	Never,	Never,	true	708.945	709.72	21.404814
323_126408_000054_000000	Never, NEVER!'	Never, NEVER!'	true	709.79	712.18	20.45198
323_126408_000055_000000	The man answered back:	The man answered back:	true	713.3	714.7	19.848623
323_126408_000056_000000	'Then your fate be on your own heads.'	'Then your fate be on your own heads.'	false	714.95	717.87	17.48078
323_126408_000057_000000	'Cheer,' said Robert in a fierce whisper.	'Cheer,' said Robert in a fierce whisper.	true	717.87	720.1	21.426247
323_126408_000057_000001	'Cheer to show them we aren't afraid, and rattle the daggers to make more noise.	'Cheer to show them we aren't afraid, and rattle the daggers to make more noise.	true	720.38	724.965	20.805487
323_126408_000057_000002	One, two, three!	One, two, three!	true	724.965	725.565	17
323_126408_000057_000003	Hip, hip, hooray!	Hip, hip, hooray!	false	725.565	726.78	21.131159
323_126408_000057_000004	Again - Hip, hip, hooray!	Again — Hip, hip, hooray!	true	726.78	728.98	17.078796
323_126408_000057_000005	One more - Hip, hip, hooray!' The cheers were rather high and weak, but the rattle of the daggers lent them strength and depth.	One more — Hip, hip, hooray!' The cheers were rather high and weak, but the rattle of the daggers lent them strength and depth.	false	729.08	737.05	17.265875
323_126408_000058_000000	There was another shout from the camp across the moat - and then the beleaguered fortress felt that the attack had indeed begun.	There was another shout from the camp across the moat — and then the beleaguered fortress felt that the attack had indeed begun.	true	738.68	744.67	14
323_126408_000059_000000	It was getting rather dark in the room above the great gate, and Jane took a very little courage as she remembered that sunset couldn't be far off now.	It was getting rather dark in the room above the great gate, and Jane took a very little courage as she remembered that sunset couldn't be far off now.	false	745.25	755.77	17.106295
323_126408_000060_000000	'The moat is dreadfully thin,' said Anthea.	'The moat is dreadfully thin,' said Anthea.	true	756.56	760.78	17.572178
323_126408_000061_000000	'But they can't get into the castle even if they do swim over,' said Robert.	'But they can't get into the castle even if they do swim over,' said Robert.	true	761.3	765.45	19
323_126408_000061_000001	And as he spoke he heard feet on the stair outside - heavy feet and the clank of steel.	And as he spoke he heard feet on the stair outside — heavy feet and the clank of steel.	false	765.45	771.22	18.74191
323_126408_000061_000002	No one breathed for a moment.	No one breathed for a moment.	true	775.28	777.21	11
323_126408_000061_000003	The steel and the feet went on up the turret stairs.	The steel and the feet went on up the turret stairs.	false	777.21	782.23	21.808645
323_126408_000061_000004	Then Robert sprang softly to the door.	Then Robert sprang softly to the door.	true	783.11	785.56	16
323_126408_000061_000005	He pulled off his shoes.	He pulled off his shoes.	true	785.72	787.69	18
323_126408_000062_000000	'Wait here,' he whispered, and stole quickly and softly after the boots and the spur-clank.	'Wait here,' he whispered, and stole quickly and softly after the boots and the spur clank.	false	788.39	795.04	18.56192
323_126408_000062_000001	He peeped into the upper room.	He peeped into the upper room.	true	795.65	797.8	14
323_126408_000062_000002	The man was there - and it was Jakin, all dripping with moat-water, and he was fiddling about with the machinery which Robert felt sure worked the drawbridge.	The man was there — and it was Jakin, all dripping with moat water, and he was fiddling about with the machinery which Robert felt sure worked the drawbridge.	true	797.96	807.91	18
323_126408_000062_000003	Robert banged the door suddenly, and turned the great key in the lock, just as Jakin sprang to the inside of the door.	Robert banged the door suddenly, and turned the great key in the lock, just as Jakin sprang to the inside of the door.	false	808.7	816.9	19
323_126408_000062_000004	Then he tore downstairs and into the little turret at the foot of the tower where the biggest window was.	Then he tore downstairs and into the little turret at the foot of the tower where the biggest window was.	false	816.9	822.64	14
323_126408_000063_000000	'We ought to have defended THIS!' he cried to the others as they followed him.	'We ought to have defended THIS!' he cried to the others as they followed him.	false	823.73	827.65	17
323_126408_000063_000001	He was just in time.	He was just in time.	true	827.72	829.42	19
323_126408_000063_000002	Another man had swum over, and his fingers were on the window-ledge.	Another man had swum over, and his fingers were on the window ledge.	true	829.46	833.74	20
323_126408_000063_000003	Robert never knew how the man had managed to climb up out of the water.	Robert never knew how the man had managed to climb up out of the water.	true	833.84	837.76	15
323_126408_000063_000004	But he saw the clinging fingers, and hit them as hard as he could with an iron bar that he caught up from the floor.	But he saw the clinging fingers, and hit them as hard as he could with an iron bar that he caught up from the floor.	true	837.86	844.51	20
323_126408_000063_000005	The man fell with a plop-plash into the moat-water.	The man fell with a plop plash into the moat water.	false	845.78	851.38	17.37583
323_126408_000063_000006	In another moment Robert was outside the little room, had banged its door and was shooting home the enormous bolts, and calling to Cyril to lend a hand.	In another moment Robert was outside the little room, had banged its door and was shooting home the enormous bolts, and calling to Cyril to lend a hand.	false	852.08	861.91	17
323_126408_000064_000000	Then they stood in the arched gate-house, breathing hard and looking at each other.	Then they stood in the arched gate house, breathing hard and looking at each other.	true	863.09	869.02	20.07126
323_126408_000064_000001	jane's mouth was open.	jane's mouth was open.	true	869.21	871.45	17.74994
323_126408_000065_000000	'Cheer up, jenny,' said Robert - 'it won't last much longer.'	'Cheer up, jenny,' said Robert - 'it won't last much longer.'	true	873.2	877.27	22
323_126408_000066_000000	There was a creaking above, and something rattled and shook.	There was a creaking above, and something rattled and shook.	true	877.61	881.5	19
323_126408_000066_000001	The pavement they stood on seemed to tremble.	The pavement they stood on seemed to tremble.	true	881.9	884.59	20.295132
323_126408_000066_000002	Then a crash told them that the drawbridge had been lowered to its place.	Then a crash told them that the drawbridge had been lowered to its place.	true	884.9	890.47	19
323_126408_000067_000000	'That's that beast Jakin,' said Robert. 'There's still the portcullis; I'm almost certain that's worked from lower down.'	'That's that beast Jakin,' said Robert. 'There's still the portcullis; I'm almost certain that's worked from lower down.'	false	892.34	901	19.697935
323_126408_000068_000000	And now the drawbridge rang and echoed hollowly to the hoofs of horses and the tramp of armed men. 'Up - quick!' cried Robert. 'Let's drop things on them.'	And now the drawbridge rang and echoed hollowly to the hoofs of horses and the tramp of armed men. 'Up — quick!' cried Robert. 'Let's drop things on them.'	false	902	912.13	18
323_126408_000069_000000	Even the girls were feeling almost brave now.	Even the girls were feeling almost brave now.	true	912.74	915.49	14
323_126408_000069_000001	They followed Robert quickly, and under his directions began to drop stones out through the long narrow windows.	They followed Robert quickly, and under his directions began to drop stones out through the long narrow windows.	false	916.22	923.86	18
323_126408_000069_000002	There was a confused noise below, and some groans.	There was a confused noise below, and some groans.	true	924.35	927.73	14
323_126408_000070_000000	'Oh dear!' said Anthea, putting down the stone she was just going to drop out.	'Oh dear!' said Anthea, putting down the stone she was just going to drop out.	false	928.22	933.01	18.875378
323_126408_000070_000001	'I'm afraid we've hurt somebody!'	'I'm afraid we've hurt somebody!'	true	933.38	935.71	14
323_126408_000071_000000	Robert caught up the stone in a fury.	Robert caught up the stone in a fury.	true	937.01	939.82	19
323_126408_000072_000000	'I should just hope we HAD!' he said; 'I'd give something for a jolly good boiling kettle of lead.	'I should just hope we HAD!' he said; 'I'd give something for a jolly good boiling kettle of lead.	true	940.49	947.32	20.99984
323_126408_000072_000001	Surrender, indeed!'	Surrender, indeed!'	true	947.33	949.51	16.152912
323_126408_000073_000000	And now came more tramping, and a pause, and then the thundering thump of the battering-ram.	And now came more tramping, and a pause, and then the thundering thump of the battering ram.	false	950.12	954.765	13
323_126408_000073_000001	And the little room was almost quite dark.	And the little room was almost quite dark.	true	954.765	957.31	17.106428
323_126408_000074_000000	'We've held it,' cried Robert, 'we won't surrender!	'We've held it,' cried Robert, 'we won't surrender!	true	957.53	961.125	18.575747
323_126408_000074_000001	The sun MUST set in a minute.	The sun MUST set in a minute.	true	961.125	963.34	19.115973
323_126408_000074_000002	Here - they're all jawing underneath again.	Here — they're all jawing underneath again.	true	963.35	966.04	16
323_126408_000074_000003	Pity there's no time to get more stones!	Pity there's no time to get more stones!	true	966.08	967.95	14
323_126408_000074_000004	Here, pour that water down on them.	Here, pour that water down on them.	false	967.95	970.23	21
323_126408_000074_000005	It's no good, of course, but they'll hate it.'	It's no good, of course, but they'll hate it.'	true	970.23	972.22	17
323_126408_000075_000000	'Oh dear!' said Jane; 'don't you think we'd better surrender?'	'Oh dear!' said Jane; 'don't you think we'd better surrender?'	true	972.44	976.06	18
323_126408_000076_000000	'Never!' said Robert; 'we'll have a parley if you like, but we'll never surrender.	'Never!' said Robert; 'we'll have a parley if you like, but we'll never surrender.	true	976.19	981.06	17
323_126408_000076_000001	Oh, I'll be a soldier when I grow up - you just see if I don't.	Oh, I'll be a soldier when I grow up — you just see if I don't.	false	981.06	985.27	16
323_126408_000076_000002	I won't go into the Civil Service, whatever anyone says.'	I won't go into the Civil Service, whatever anyone says.'	true	985.55	989.32	16
323_126408_000077_000000	'Let's wave a handkerchief and ask for a parley,' Jane pleaded.	'Let's wave a handkerchief and ask for a parley,' Jane pleaded.	false	990.08	994.18	18
323_126408_000077_000001	'I don't believe the sun's going to set to-night at all.'	'I don't believe the sun's going to set to night at all.'	true	994.22	997.36	13
323_126408_000078_000000	'Give them the water first - the brutes!' said the bloodthirsty Robert.	'Give them the water first — the brutes!' said the bloodthirsty Robert.	false	998.18	1002.16	19
