112_123215_000000_000000	Anne glanced over it, then fell to reading it intently.	Anne glanced over it, then fell to reading it intently.	false	0	0.6	21.929792
112_123215_000013_000000	"It's a great responsibility," said Aunt Jamesina solemnly.	"It's a great responsibility," said Aunt Jamesina solemnly.	false	112.43	116.61	19.291946
112_123215_000014_000000	"Indeed it is," agreed Pris with equal solemnity.	"Indeed it is," agreed Pris with equal solemnity.	true	116.61	119.95	16
112_123215_000014_000001	"Authors are kittle cattle.	"Authors are kittle cattle.	true	120.08	121.66	18.049717
112_123215_000014_000002	You never know when or how they will break out.	You never know when or how they will break out.	true	121.85	124.71	14
112_123215_000014_000003	Anne may make copy of us."	Anne may make copy of us."	false	124.71	126.88	19.020678
112_123215_000015_000000	"I meant that the ability to write for the Press was a great responsibility," said Aunt Jamesina severely, "and I hope Anne realizes, it.	"I meant that the ability to write for the Press was a great responsibility," said Aunt Jamesina severely, "and I hope Anne realizes, it.	true	127.55	135.97	17
112_123215_000015_000001	My daughter used to write stories before she went to the foreign field, but now she has turned her attention to higher things.	My daughter used to write stories before she went to the foreign field, but now she has turned her attention to higher things.	true	136.07	142.75	15
112_123215_000015_000002	She used to say her motto was 'Never write a line you would be ashamed to read at your own funeral.' You'd better take that for yours, Anne, if you are going to embark in literature.	She used to say her motto was 'Never write a line you would be ashamed to read at your own funeral.' You'd better take that for yours, Anne, if you are going to embark in literature.	true	143.06	153.28	15
112_123215_000015_000003	Though, to be sure," added Aunt Jamesina perplexedly, "Elizabeth always used to laugh when she said it.	Though, to be sure," added Aunt Jamesina perplexedly, "Elizabeth always used to laugh when she said it.	false	153.86	160.15	19
112_123215_000015_000004	She always laughed so much that I don't know how she ever came to decide on being a missionary.	She always laughed so much that I don't know how she ever came to decide on being a missionary.	true	160.34	165.31	13
112_123215_000015_000005	I'm thankful she did--I prayed that she might--but--I wish she hadn't."	I'm thankful she did-I prayed that she might-but-I wish she hadn't."	false	165.41	170.58	19.534727
112_123215_000016_000000	Then Aunt Jamesina wondered why those giddy girls all laughed.	Then Aunt Jamesina wondered why those giddy girls all laughed.	true	170.58	174.15	14
112_123215_000017_000000	Anne's eyes shone all that day; literary ambitions sprouted and budded in her brain; their exhilaration accompanied her to Jennie Cooper's walking party, and not even the sight of Gilbert and Christine, walking just ahead of her and Roy, could quite subdue the sparkle of her starry hopes.	Anne's eyes shone all that day; literary ambitions sprouted and budded in her brain; their exhilaration accompanied her to Jennie Cooper's walking party, and not even the sight of Gilbert and Christine, walking just ahead of her and Roy, could quite subdue the sparkle of her starry hopes.	false	174.15	191.89	17
112_123215_000017_000001	Nevertheless, she was not so rapt from things of earth as to be unable to notice that Christine's walk was decidedly ungraceful.	Nevertheless, she was not so rapt from things of earth as to be unable to notice that Christine's walk was decidedly ungraceful.	true	191.99	199.87	16
112_123215_000018_000000	"But I suppose Gilbert looks only at her face.	"But I suppose Gilbert looks only at her face.	true	200.27	203.23	19
112_123215_000018_000001	So like a man," thought Anne scornfully.	So like a man," thought Anne scornfully.	true	203.51	205.81	13
112_123215_000019_000000	"Shall you be home Saturday afternoon?" asked Roy.	"Shall you be home Saturday afternoon?" asked Roy.	true	206.21	208.93	17
112_123215_000020_000000	"Yes."	"Yes."	true	209.21	210.01	17
112_123215_000021_000000	"My mother and sisters are coming to call on you," said Roy quietly.	"My mother and sisters are coming to call on you," said Roy quietly.	true	210.2	213.61	15
112_123215_000022_000000	Something went over Anne which might be described as a thrill, but it was hardly a pleasant one.	Something went over Anne which might be described as a thrill, but it was hardly a pleasant one.	true	214.19	219.52	15
112_123215_000022_000001	She had never met any of Roy's family; she realized the significance of his statement; and it had, somehow, an irrevocableness about it that chilled her.	She had never met any of Roy's family; she realized the significance of his statement; and it had, somehow, an irrevocableness about it that chilled her.	true	220.01	228.76	16
112_123215_000023_000000	"I shall be glad to see them," she said flatly; and then wondered if she really would be glad.	"I shall be glad to see them," she said flatly; and then wondered if she really would be glad.	true	229.31	234.105	13
112_123215_000023_000001	She ought to be, of course.	She ought to be, of course.	true	234.105	235.45	14
112_123215_000023_000002	But would it not be something of an ordeal?	But would it not be something of an ordeal?	true	235.52	237.94	19
112_123215_000023_000003	Gossip had filtered to Anne regarding the light in which the Gardners viewed the "infatuation" of son and brother.	Gossip had filtered to Anne regarding the light in which the Gardners viewed the "infatuation" of son and brother.	true	238.4	244.54	14
112_123215_000023_000004	Roy must have brought pressure to bear in the matter of this call.	Roy must have brought pressure to bear in the matter of this call.	true	244.97	248.325	19
112_123215_000023_000005	Anne knew she would be weighed in the balance.	Anne knew she would be weighed in the balance.	true	248.325	250.48	10
112_123215_000023_000006	From the fact that they had consented to call she understood that, willingly or unwillingly, they regarded her as a possible member of their clan.	From the fact that they had consented to call she understood that, willingly or unwillingly, they regarded her as a possible member of their clan.	true	250.97	258.34	16
112_123215_000024_000000	"I shall just be myself.	"I shall just be myself.	true	258.98	260.625	17
112_123215_000024_000001	I shall not TRY to make a good impression," thought Anne loftily.	I shall not TRY to make a good impression," thought Anne loftily.	true	260.625	264.25	14
112_123215_000024_000002	But she was wondering what dress she would better wear Saturday afternoon, and if the new style of high hair-dressing would suit her better than the old; and the walking party was rather spoiled for her.	But she was wondering what dress she would better wear Saturday afternoon, and if the new style of high hair dressing would suit her better than the old; and the walking party was rather spoiled for her.	true	264.89	274.39	13
112_123215_000024_000003	By night she had decided that she would wear her brown chiffon on Saturday, but would do her hair low.	By night she had decided that she would wear her brown chiffon on Saturday, but would do her hair low.	true	274.97	280.45	15
112_123215_000025_000000	Friday afternoon none of the girls had classes at Redmond.	Friday afternoon none of the girls had classes at Redmond.	true	281.63	284.92	16
112_123215_000025_000001	Stella took the opportunity to write a paper for the Philomathic Society, and was sitting at the table in the corner of the living-room with an untidy litter of notes and manuscript on the floor around her.	Stella took the opportunity to write a paper for the Philomathic Society, and was sitting at the table in the corner of the living room with an untidy litter of notes and manuscript on the floor around her.	true	285.47	297.04	15
112_123215_000025_000002	Stella always vowed she never could write anything unless she threw each sheet down as she completed it.	Stella always vowed she never could write anything unless she threw each sheet down as she completed it.	false	297.59	303.81	18
112_123215_000025_000003	Anne, in her flannel blouse and serge skirt, with her hair rather blown from her windy walk home, was sitting squarely in the middle of the floor, teasing the Sarah-cat with a wishbone.	Anne, in her flannel blouse and serge skirt, with her hair rather blown from her windy walk home, was sitting squarely in the middle of the floor, teasing the Sarah cat with a wishbone.	true	303.81	313.33	14
112_123215_000025_000004	Joseph and Rusty were both curled up in her lap.	Joseph and Rusty were both curled up in her lap.	true	313.7	316.42	16
112_123215_000025_000005	A warm plummy odor filled the whole house, for Priscilla was cooking in the kitchen.	A warm plummy odor filled the whole house, for Priscilla was cooking in the kitchen.	true	316.61	321.1	15
112_123215_000025_000006	Presently she came in, enshrouded in a huge work-apron, with a smudge of flour on her nose, to show Aunt Jamesina the chocolate cake she had just iced.	Presently she came in, enshrouded in a huge work apron, with a smudge of flour on her nose, to show Aunt Jamesina the chocolate cake she had just iced.	true	321.41	330.37	16
112_123215_000026_000000	At this auspicious moment the knocker sounded.	At this auspicious moment the knocker sounded.	true	331.04	333.85	19
112_123215_000026_000001	Nobody paid any attention to it save Phil, who sprang up and opened it, expecting a boy with the hat she had bought that morning.	Nobody paid any attention to it save Phil, who sprang up and opened it, expecting a boy with the hat she had bought that morning.	true	334.28	340.6	16
112_123215_000026_000002	On the doorstep stood Mrs. Gardner and her daughters.	On the doorstep stood mrs Gardner and her daughters.	false	340.91	343.71	13
112_123215_000027_000000	Anne scrambled to her feet somehow, emptying two indignant cats out of her lap as she did so, and mechanically shifting her wishbone from her right hand to her left.	Anne scrambled to her feet somehow, emptying two indignant cats out of her lap as she did so, and mechanically shifting her wishbone from her right hand to her left.	false	343.71	353.68	17
112_123215_000027_000001	Priscilla, who would have had to cross the room to reach the kitchen door, lost her head, wildly plunged the chocolate cake under a cushion on the inglenook sofa, and dashed upstairs.	Priscilla, who would have had to cross the room to reach the kitchen door, lost her head, wildly plunged the chocolate cake under a cushion on the inglenook sofa, and dashed upstairs.	true	353.96	364.66	16
112_123215_000027_000002	Stella began feverishly gathering up her manuscript.	Stella began feverishly gathering up her manuscript.	true	365.03	368.265	15
112_123215_000027_000003	Only Aunt Jamesina and Phil remained normal.	Only Aunt Jamesina and Phil remained normal.	true	368.265	370.87	12
112_123215_000027_000004	Thanks to them, everybody was soon sitting at ease, even Anne.	Thanks to them, everybody was soon sitting at ease, even Anne.	true	371.27	374.92	13
112_123215_000027_000005	Priscilla came down, apronless and smudgeless, Stella reduced her corner to decency, and Phil saved the situation by a stream of ready small talk.	Priscilla came down, apronless and smudgeless, Stella reduced her corner to decency, and Phil saved the situation by a stream of ready small talk.	true	375.26	384.07	13
112_123215_000028_000000	Mrs. Gardner was tall and thin and handsome, exquisitely gowned, cordial with a cordiality that seemed a trifle forced.	mrs Gardner was tall and thin and handsome, exquisitely gowned, cordial with a cordiality that seemed a trifle forced.	true	384.5	392.35	15
112_123215_000028_000001	Aline Gardner was a younger edition of her mother, lacking the cordiality.	Aline Gardner was a younger edition of her mother, lacking the cordiality.	true	392.45	396.79	13
112_123215_000028_000002	She endeavored to be nice, but succeeded only in being haughty and patronizing.	She endeavored to be nice, but succeeded only in being haughty and patronizing.	true	397.07	401.65	13
112_123215_000028_000003	Dorothy Gardner was slim and jolly and rather tomboyish.	Dorothy Gardner was slim and jolly and rather tomboyish.	true	402.38	405.6	10
112_123215_000028_000004	Anne knew she was Roy's favorite sister and warmed to her.	Anne knew she was Roy's favorite sister and warmed to her.	false	405.6	410.05	16.446884
112_123215_000028_000005	She would have looked very much like Roy if she had had dreamy dark eyes instead of roguish hazel ones. Thanks to her and Phil, the call really went off very well, except for a slight sense of strain in the atmosphere and two rather untoward incidents.	She would have looked very much like Roy if she had had dreamy dark eyes instead of roguish hazel ones. Thanks to her and Phil, the call really went off very well, except for a slight sense of strain in the atmosphere and two rather untoward incidents.	false	410.3	425.5	14
112_123215_000028_000006	Rusty and Joseph, left to themselves, began a game of chase, and sprang madly into Mrs. Gardner's silken lap and out of it in their wild career.	Rusty and Joseph, left to themselves, began a game of chase, and sprang madly into mrs Gardner's silken lap and out of it in their wild career.	true	426.38	434.98	13
112_123215_000028_000007	Mrs. Gardner lifted her lorgnette and gazed after their flying forms as if she had never seen cats before, and Anne, choking back slightly nervous laughter, apologized as best she could.	mrs Gardner lifted her lorgnette and gazed after their flying forms as if she had never seen cats before, and Anne, choking back slightly nervous laughter, apologized as best she could.	true	435.62	446.35	15
112_123215_000029_000000	"You are fond of cats?" said Mrs. Gardner, with a slight intonation of tolerant wonder.	"You are fond of cats?" said mrs Gardner, with a slight intonation of tolerant wonder.	true	447.05	453.66	19
112_123215_000030_000000	Anne, despite her affection for Rusty, was not especially fond of cats, but Mrs. Gardner's tone annoyed her.	Anne, despite her affection for Rusty, was not especially fond of cats, but mrs Gardner's tone annoyed her.	false	453.66	461.2	19
112_123215_000030_000001	Inconsequently she remembered that Mrs. John Blythe was so fond of cats that she kept as many as her husband would allow.	Inconsequently she remembered that mrs john Blythe was so fond of cats that she kept as many as her husband would allow.	true	461.42	468.21	16
112_123215_000031_000000	"They ARE adorable animals, aren't they?" she said wickedly.	"They ARE adorable animals, aren't they?" she said wickedly.	false	468.21	471.76	17.49538
112_123215_000032_000000	"I have never liked cats," said Mrs. Gardner remotely.	"I have never liked cats," said mrs Gardner remotely.	true	472.76	476.35	19
112_123215_000033_000000	"I love them," said Dorothy.	"I love them," said Dorothy.	true	477.35	479.115	24
112_123215_000033_000001	"They are so nice and selfish.	"They are so nice and selfish.	true	479.115	481.035	14
112_123215_000033_000002	Dogs are TOO good and unselfish.	Dogs are TOO good and unselfish.	true	481.035	482.985	13
112_123215_000033_000003	They make me feel uncomfortable.	They make me feel uncomfortable.	true	482.985	484.72	19
112_123215_000033_000004	But cats are gloriously human."	But cats are gloriously human."	true	484.76	486.88	19.977276
112_123215_000034_000000	"You have two delightful old china dogs there.	"You have two delightful old china dogs there.	true	487.61	490.38	14
112_123215_000034_000001	May I look at them closely?" said Aline, crossing the room towards the fireplace and thereby becoming the unconscious cause of the other accident.	May I look at them closely?" said Aline, crossing the room towards the fireplace and thereby becoming the unconscious cause of the other accident.	false	490.38	498.31	15
112_123215_000034_000002	Picking up Magog, she sat down on the cushion under which was secreted Priscilla's chocolate cake.	Picking up Magog, she sat down on the cushion under which was secreted Priscilla's chocolate cake.	true	498.68	504.85	18
112_123215_000034_000003	Priscilla and Anne exchanged agonized glances but could do nothing.	Priscilla and Anne exchanged agonized glances but could do nothing.	false	505.16	509.5	16
112_123215_000034_000004	The stately Aline continued to sit on the cushion and discuss china dogs until the time of departure.	The stately Aline continued to sit on the cushion and discuss china dogs until the time of departure.	true	510.08	515.59	13
112_123215_000035_000000	Dorothy lingered behind a moment to squeeze Anne's hand and whisper impulsively.	Dorothy lingered behind a moment to squeeze Anne's hand and whisper impulsively.	true	515.99	520.6	11
112_123215_000036_000000	"I KNOW you and I are going to be chums.	"I KNOW you and I are going to be chums.	true	520.7	522.85	15
112_123215_000036_000001	Oh, Roy has told me all about you.	Oh, Roy has told me all about you.	true	522.95	524.95	14
112_123215_000036_000002	I'm the only one of the family he tells things to, poor boy--nobody COULD confide in mamma and Aline, you know.	I'm the only one of the family he tells things to, poor boy-nobody COULD confide in mamma and Aline, you know.	true	525.35	531.43	15
112_123215_000036_000003	What glorious times you girls must have here!	What glorious times you girls must have here!	true	531.74	534.22	17
112_123215_000036_000004	Won't you let me come often and have a share in them?"	Won't you let me come often and have a share in them?"	true	534.44	536.92	16
112_123215_000037_000000	"Come as often as you like," Anne responded heartily, thankful that one of Roy's sisters was likable.	"Come as often as you like," Anne responded heartily, thankful that one of Roy's sisters was likable.	true	537.32	543.16	15
112_123215_000037_000001	She would never like Aline, so much was certain; and Aline would never like her, though Mrs. Gardner might be won.	She would never like Aline, so much was certain; and Aline would never like her, though mrs Gardner might be won.	true	543.44	550.27	16
112_123215_000037_000002	Altogether, Anne sighed with relief when the ordeal was over.	Altogether, Anne sighed with relief when the ordeal was over.	false	551.06	554.32	13
112_123215_000038_000000	"'Of all sad words of tongue or pen The saddest are it might have been,'"	"'Of all sad words of tongue or pen The saddest are it might have been,'"	true	555.35	560.26	19
112_123215_000039_000000	quoted Priscilla tragically, lifting the cushion.	quoted Priscilla tragically, lifting the cushion.	true	560.42	562.96	14
112_123215_000039_000001	"This cake is now what you might call a flat failure.	"This cake is now what you might call a flat failure.	true	563.24	566.65	18
112_123215_000039_000002	And the cushion is likewise ruined.	And the cushion is likewise ruined.	true	566.75	568.75	16
112_123215_000039_000003	Never tell me that Friday isn't unlucky."	Never tell me that Friday isn't unlucky."	true	569.03	571.9	21.754807
112_123215_000040_000000	"People who send word they are coming on Saturday shouldn't come on Friday," said Aunt Jamesina.	"People who send word they are coming on Saturday shouldn't come on Friday," said Aunt Jamesina.	true	572.36	578.08	17
112_123215_000041_000000	"I fancy it was Roy's mistake," said Phil.	"I fancy it was Roy's mistake," said Phil.	true	578.69	581.02	19
112_123215_000041_000001	"That boy isn't really responsible for what he says when he talks to Anne.	"That boy isn't really responsible for what he says when he talks to Anne.	true	581.18	584.83	15
112_123215_000041_000002	Where IS Anne?"	Where IS Anne?"	true	584.87	585.78	17
112_123215_000042_000000	Anne had gone upstairs.	Anne had gone upstairs.	false	585.78	588.405	16.370876
112_123215_000042_000001	She felt oddly like crying.	She felt oddly like crying.	true	588.405	590.23	20.73192
112_123215_000042_000002	But she made herself laugh instead.	But she made herself laugh instead.	true	590.3	592.3	17
112_123215_000042_000003	Rusty and Joseph had been TOO awful!	Rusty and Joseph had been TOO awful!	true	592.58	595.21	16
112_123215_000042_000004	And Dorothy WAS a dear.	And Dorothy WAS a dear.	false	595.4	600.93	18.639023
