4290_7622_000001_000000	CHAPTER X--THE KITE	CHAPTER ten-THE KITE
4290_7622_000006_000001	His eyes glowed with a fiery light.	His eyes glowed with a fiery light.
4290_7622_000006_000003	His companions in the baleful work seemed to have taken on something of his feeling.	His companions in the baleful work seemed to have taken on something of his feeling.
4290_7622_000006_000004	Lady Arabella looked like a soulless, pitiless being, not human, unless it revived old legends of transformed human beings who had lost their humanity in some transformation or in the sweep of natural savagery.	Lady Arabella looked like a soulless, pitiless being, not human, unless it revived old legends of transformed human beings who had lost their humanity in some transformation or in the sweep of natural savagery.
4290_7622_000006_000005	As for the negro--well, I can only say that it was solely due to the self-restraint which you impressed on me that I did not wipe him out as he stood--without warning, without fair play--without a single one of the graces of life and death.	As for the negro-well, I can only say that it was solely due to the self restraint which you impressed on me that I did not wipe him out as he stood-without warning, without fair play-without a single one of the graces of life and death.
4290_7622_000006_000006	Lilla was silent in the helpless concentration of deadly fear; Mimi was all resolve and self-forgetfulness, so intent on the soul-struggle in which she was engaged that there was no possibility of any other thought.	Lilla was silent in the helpless concentration of deadly fear; Mimi was all resolve and self forgetfulness, so intent on the soul struggle in which she was engaged that there was no possibility of any other thought.
4290_7622_000006_000007	As for myself, the bonds of will which held me inactive seemed like bands of steel which numbed all my faculties, except sight and hearing.	As for myself, the bonds of will which held me inactive seemed like bands of steel which numbed all my faculties, except sight and hearing.
4290_7622_000006_000009	Something must happen, though the power of guessing was inactive.	Something must happen, though the power of guessing was inactive.
4290_7622_000006_000011	Mechanically it touched that of Lilla, and in that instant she was transformed.	Mechanically it touched that of Lilla, and in that instant she was transformed.
4290_7622_000006_000012	It was as if youth and strength entered afresh into something already dead to sensibility and intention. As if by inspiration, she grasped the other's band with a force which blenched the knuckles.	It was as if youth and strength entered afresh into something already dead to sensibility and intention. As if by inspiration, she grasped the other's band with a force which blenched the knuckles.
4290_7622_000006_000013	Her face suddenly flamed, as if some divine light shone through it.	Her face suddenly flamed, as if some divine light shone through it.
4290_7622_000006_000015	Towards the door he retreated, she following.	Towards the door he retreated, she following.
4290_7622_000006_000016	There was a sound as of the cooing sob of doves, which seemed to multiply and intensify with each second.	There was a sound as of the cooing sob of doves, which seemed to multiply and intensify with each second.
4290_7622_000006_000017	The sound from the unseen source rose and rose as he retreated, till finally it swelled out in a triumphant peal, as she with a fierce sweep of her arm, seemed to hurl something at her foe, and he, moving his hands blindly before his face, appeared to be swept through the doorway and out into the open sunlight.	The sound from the unseen source rose and rose as he retreated, till finally it swelled out in a triumphant peal, as she with a fierce sweep of her arm, seemed to hurl something at her foe, and he, moving his hands blindly before his face, appeared to be swept through the doorway and out into the open sunlight.
4290_7622_000007_000000	"All at once my own faculties were fully restored; I could see and hear everything, and be fully conscious of what was going on.	"All at once my own faculties were fully restored; I could see and hear everything, and be fully conscious of what was going on.
4290_7622_000007_000001	Even the figures of the baleful group were there, though dimly seen as through a veil--a shadowy veil.	Even the figures of the baleful group were there, though dimly seen as through a veil-a shadowy veil.
4290_7622_000008_000000	By the next morning, daylight showed the actual danger which threatened. From every part of the eastern counties reports were received concerning the enormous immigration of birds.	By the next morning, daylight showed the actual danger which threatened. From every part of the eastern counties reports were received concerning the enormous immigration of birds.
4290_7622_000008_000001	Experts were sending--on their own account, on behalf of learned societies, and through local and imperial governing bodies--reports dealing with the matter, and suggesting remedies.	Experts were sending-on their own account, on behalf of learned societies, and through local and imperial governing bodies-reports dealing with the matter, and suggesting remedies.
4290_7622_000009_000000	The reports closer to home were even more disturbing.	The reports closer to home were even more disturbing.
4290_7622_000009_000002	Each bird seemed to sound some note of fear or anger or seeking, and the whirring of wings never ceased nor lessened.	Each bird seemed to sound some note of fear or anger or seeking, and the whirring of wings never ceased nor lessened.
4290_7622_000009_000003	The air was full of a muttered throb.	The air was full of a muttered throb.
4290_7622_000009_000005	So monotonous it was, so cheerless, so disheartening, so melancholy, that all longed, but in vain, for any variety, no matter how terrible it might be.	So monotonous it was, so cheerless, so disheartening, so melancholy, that all longed, but in vain, for any variety, no matter how terrible it might be.
4290_7622_000010_000000	The second morning the reports from all the districts round were more alarming than ever.	The second morning the reports from all the districts round were more alarming than ever.
4290_7622_000010_000002	And as yet it was only a warning of evil, not the evil accomplished; the ground began to look bare whenever some passing sound temporarily frightened the birds.	And as yet it was only a warning of evil, not the evil accomplished; the ground began to look bare whenever some passing sound temporarily frightened the birds.
4290_7622_000011_000000	Edgar Caswall tortured his brain for a long time unavailingly, to think of some means of getting rid of what he, as well as his neighbours, had come to regard as a plague of birds.	Edgar Caswall tortured his brain for a long time unavailingly, to think of some means of getting rid of what he, as well as his neighbours, had come to regard as a plague of birds.
4290_7622_000011_000002	The experience was of some years ago in China, far up-country, towards the head-waters of the Yang- tze-kiang, where the smaller tributaries spread out in a sort of natural irrigation scheme to supply the wilderness of paddy-fields.	The experience was of some years ago in China, far up country, towards the head waters of the Yang tze kiang, where the smaller tributaries spread out in a sort of natural irrigation scheme to supply the wilderness of paddy fields.
4290_7622_000011_000005	The kite was shaped like a great hawk; and the moment it rose into the air the birds began to cower and seek protection--and then to disappear.	The kite was shaped like a great hawk; and the moment it rose into the air the birds began to cower and seek protection-and then to disappear.
4290_7622_000011_000008	Then he and his men, with a sufficiency of cord, began to fly it high overhead.	Then he and his men, with a sufficiency of cord, began to fly it high overhead.
4290_7622_000011_000009	The experience of China was repeated.	The experience of China was repeated.
4290_7622_000011_000010	The moment the kite rose, the birds hid or sought shelter.	The moment the kite rose, the birds hid or sought shelter.
4290_7622_000011_000013	All the birds were cowed; their sounds stopped. Neither song nor chirp was heard--silence seemed to have taken the place of the normal voices of bird life.	All the birds were cowed; their sounds stopped. Neither song nor chirp was heard-silence seemed to have taken the place of the normal voices of bird life.
4290_7622_000011_000014	But that was not all.	But that was not all.
4290_7622_000011_000015	The silence spread to all animals.	The silence spread to all animals.
4290_7622_000012_000000	The fear and restraint which brooded amongst the denizens of the air began to affect all life.	The fear and restraint which brooded amongst the denizens of the air began to affect all life.
4290_7622_000012_000001	Not only did the birds cease song or chirp, but the lowing of the cattle ceased in the fields and the varied sounds of life died away.	Not only did the birds cease song or chirp, but the lowing of the cattle ceased in the fields and the varied sounds of life died away.
4290_7622_000012_000005	One and all, the faces of men and women seemed bereft of vitality, of interest, of thought, and, most of all, of hope.	One and all, the faces of men and women seemed bereft of vitality, of interest, of thought, and, most of all, of hope.
4290_7622_000012_000006	Men seemed to have lost the power of expression of their thoughts.	Men seemed to have lost the power of expression of their thoughts.
4290_7622_000013_000001	Everything was affected; gloom was the predominant note.	Everything was affected; gloom was the predominant note.
4290_7622_000013_000002	Joy appeared to have passed away as a factor of life, and this creative impulse had nothing to take its place.	Joy appeared to have passed away as a factor of life, and this creative impulse had nothing to take its place.
4290_7622_000014_000000	After a few days, men began to grow desperate; their very words as well as their senses seemed to be in chains.	After a few days, men began to grow desperate; their very words as well as their senses seemed to be in chains.
4290_7622_000014_000001	Edgar Caswall again tortured his brain to find any antidote or palliative of this greater evil than before.	Edgar Caswall again tortured his brain to find any antidote or palliative of this greater evil than before.
4290_7622_000014_000002	He would gladly have destroyed the kite, or caused its flying to cease; but the instant it was pulled down, the birds rose up in even greater numbers; all those who depended in any way on agriculture sent pitiful protests to Castra Regis.	He would gladly have destroyed the kite, or caused its flying to cease; but the instant it was pulled down, the birds rose up in even greater numbers; all those who depended in any way on agriculture sent pitiful protests to Castra Regis.
4290_7622_000015_000000	It was strange indeed what influence that weird kite seemed to exercise. Even human beings were affected by it, as if both it and they were realities.	It was strange indeed what influence that weird kite seemed to exercise. Even human beings were affected by it, as if both it and they were realities.
4290_7622_000015_000001	As for the people at Mercy Farm, it was like a taste of actual death.	As for the people at Mercy Farm, it was like a taste of actual death.
4290_7622_000015_000002	Lilla felt it most.	Lilla felt it most.
4290_7622_000016_000000	Of course, some of those already drawn into the vortex noticed the effect on individuals.	Of course, some of those already drawn into the vortex noticed the effect on individuals.
4290_7622_000016_000001	Those who were interested took care to compare their information.	Those who were interested took care to compare their information.
4290_7622_000016_000002	Strangely enough, as it seemed to the others, the person who took the ghastly silence least to heart was the negro.	Strangely enough, as it seemed to the others, the person who took the ghastly silence least to heart was the negro.
4290_7622_000016_000003	By nature he was not sensitive to, or afflicted by, nerves.	By nature he was not sensitive to, or afflicted by, nerves.
4290_7622_000016_000004	This alone would not have produced the seeming indifference, so they set their minds to discover the real cause.	This alone would not have produced the seeming indifference, so they set their minds to discover the real cause.
4290_7622_000016_000006	Thus the black had a never-failing source of amusement.	Thus the black had a never failing source of amusement.
4290_7622_000017_000000	Lady Arabella's cold nature rendered her immune to anything in the way of pain or trouble concerning others.	Lady Arabella's cold nature rendered her immune to anything in the way of pain or trouble concerning others.
4290_7622_000017_000002	Mr. Watford, Mr. Salton, and Sir Nathaniel were all concerned in the issue, partly from kindness of heart--for none of them could see suffering, even of wild birds, unmoved--and partly on account of their property, which had to be protected, or ruin would stare them in the face before long.	mr Watford, mr Salton, and Sir Nathaniel were all concerned in the issue, partly from kindness of heart-for none of them could see suffering, even of wild birds, unmoved-and partly on account of their property, which had to be protected, or ruin would stare them in the face before long.
4290_7622_000018_000000	Lilla suffered acutely.	Lilla suffered acutely.
4290_7622_000018_000001	As time went on, her face became pinched, and her eyes dull with watching and crying.	As time went on, her face became pinched, and her eyes dull with watching and crying.
4290_7622_000018_000002	Mimi suffered too on account of her cousin's suffering.	Mimi suffered too on account of her cousin's suffering.
4290_7622_000018_000003	But as she could do nothing, she resolutely made up her mind to self-restraint and patience.	But as she could do nothing, she resolutely made up her mind to self restraint and patience.
