3703_71550_000000_000000	This had been in the early days spoken of.	This had been in the early days spoken of.	false	4.56	8.25	24.513939
3703_71550_000009_000004	The whole thing gets into my head and makes me want to rush about and _see_ everything.	The whole thing gets into my head and makes me want to rush about and underscore see underscore everything.	false	320.57	326.23	22.552916
3703_71550_000009_000005	I wouldn't go into a cellar for worlds.	I wouldn't go into a cellar for worlds.	true	326.6	329.8	18.890268
3703_71550_000009_000006	I want to _see_!"	I want to underscore see underscore!"	false	329.93	332.1	21.50884
3703_71550_000010_000000	She saw Lord Coombe but infrequently at this time, the truth being that her exhilaration and her War Work fatigued him, apart from which his hours were filled.	She saw Lord Coombe but infrequently at this time, the truth being that her exhilaration and her War Work fatigued him, apart from which his hours were filled.	true	332.1	343.12	23.041224
3703_71550_000010_000001	He also objected to a certain raffishness which in an extremely mixed crowd of patriots rather too obviously "swept away silly old fads" and left the truly advanced to do as they liked.	He also objected to a certain raffishness which in an extremely mixed crowd of patriots rather too obviously "swept away silly old fads" and left the truly advanced to do as they liked.	true	343.91	359.59	24.080217
3703_71550_000010_000002	What they liked he did not and was wholly undisturbed by the circumstances of being considered a rigid old fossil.	What they liked he did not and was wholly undisturbed by the circumstances of being considered a rigid old fossil.	false	359.99	368.95	24.375277
3703_71550_000010_000003	Feather herself had no need of him. An athletic and particularly well favoured young actor who shared her thrills of elation seemed to permeate the atmosphere about her.	Feather herself had no need of him. An athletic and particularly well favoured young actor who shared her thrills of elation seemed to permeate the atmosphere about her.	true	369.8	382.36	24.57278
3703_71550_000010_000004	He and Feather together at times achieved the effect, between raids, of waiting impatiently for a performance and feeling themselves ill treated by the long delays between the acts.	He and Feather together at times achieved the effect, between raids, of waiting impatiently for a performance and feeling themselves ill treated by the long delays between the acts.	true	383	396.22	23.892504
3703_71550_000011_000000	"Are we growing callous, or are we losing our wits through living at such high temperature?" the Duchess asked.	"Are we growing callous, or are we losing our wits through living at such high temperature?" the Duchess asked.	true	396.5	405.16	22.584665
3703_71550_000011_000001	"There's a delirium in the air.	"There's a delirium in the air.	true	405.38	407.56	22.63579
3703_71550_000011_000002	Among those who are not shuddering in cellars there are some who seem possessed by a sort of light insanity, half defiance, half excited curiosity.	Among those who are not shuddering in cellars there are some who seem possessed by a sort of light insanity, half defiance, half excited curiosity.	true	407.84	420.76	23.133387
3703_71550_000011_000003	People say exultantly, 'I had a perfectly splendid view of the last Zepp!' A mother whose daughter was paying her a visit said to her, 'I wish you could have seen the Zepps while you were here.	People say exultantly, 'I had a perfectly splendid view of the last Zepp!' A mother whose daughter was paying her a visit said to her, 'I wish you could have seen the Zepps while you were here.	true	421.4	436.33	22.465477
3703_71550_000011_000004	It is such an experience.'"	It is such an experience.'"	true	436.43	438.64	24
3703_71550_000012_000000	"They have not been able to bring about the wholesale disaster Germany hoped for and when nothing serious happens there is a relieved feeling that the things are futile after all," said Coombe.	"They have not been able to bring about the wholesale disaster Germany hoped for and when nothing serious happens there is a relieved feeling that the things are futile after all," said Coombe.	true	439.52	453.46	23.218798
3703_71550_000012_000001	"When the results are tragic they must be hushed up as far as is possible to prevent panic."	"When the results are tragic they must be hushed up as far as is possible to prevent panic."	true	453.62	460.24	27.04882
3703_71550_000013_000000	Dowie faithfully sent him her private bulletin.	Dowie faithfully sent him her private bulletin.	true	460.49	463.78	23.31835
3703_71550_000013_000001	Her first fears of peril had died away, but her sense of mystification had increased and was more deeply touched with awe.	Her first fears of peril had died away, but her sense of mystification had increased and was more deeply touched with awe.	true	464	473.29	24.072153
3703_71550_000013_000002	She opened certain windows every night and felt that she was living in the world of supernatural things.	She opened certain windows every night and felt that she was living in the world of supernatural things.	true	473.81	481.03	23.290102
3703_71550_000013_000003	Robin's eyes sometimes gave her a ghost of a shock when she came upon her sitting alone with her work in her idle hands.	Robin's eyes sometimes gave her a ghost of a shock when she came upon her sitting alone with her work in her idle hands.	true	481.73	489.64	22.764116
3703_71550_000013_000004	But supported by the testimony of such realities as breakfasts, long untiring walks and unvarying blooming healthfulness, she thanked God hourly.	But supported by the testimony of such realities as breakfasts, long untiring walks and unvarying blooming healthfulness, she thanked God hourly.	true	490.37	504.01	23.644476
3703_71550_000014_000000	"Doctor Benton says plain that he has never had such a beautiful case and one that promised so well," she wrote.	"Doctor Benton says plain that he has never had such a beautiful case and one that promised so well," she wrote.	true	504.71	513.13	23.808199
3703_71550_000014_000001	"He says she's as strong as a young doe bounding about on the heather.	"He says she's as strong as a young doe bounding about on the heather.	true	513.92	518.49	20
3703_71550_000014_000002	What he holds is that it's natural she should be.	What he holds is that it's natural she should be.	false	518.49	522.04	21.966478
3703_71550_000014_000003	He is a clever gentleman with some wonderful comforting new ideas about things, my lord.	He is a clever gentleman with some wonderful comforting new ideas about things, my lord.	true	522.59	528.76	22.716969
3703_71550_000014_000004	And he tells me I need not look forward with dread as perhaps I had been doing."	And he tells me I need not look forward with dread as perhaps I had been doing."	false	528.86	534.64	27.164972
3703_71550_000015_000000	Robin herself wrote to Coombe--letters whose tender-hearted comprehension of what he was doing always held the desire to surround him with the soothing quiet he had so felt when he was with her.	Robin herself wrote to Coombe-letters whose tender hearted comprehension of what he was doing always held the desire to surround him with the soothing quiet he had so felt when he was with her.	true	534.89	549.16	23.800356
3703_71550_000015_000001	What he discovered was that she had been born of the elect,--the women who know what to say, what to let others say and what to beautifully leave unsaid.	What he discovered was that she had been born of the elect,--the women who know what to say, what to let others say and what to beautifully leave unsaid.	true	550.13	561.43	23.033838
3703_71550_000015_000002	Her unconscious genius was quite exquisite.	Her unconscious genius was quite exquisite.	true	562.1	566.02	25.730558
3703_71550_000016_000000	Now and then he made the night journey to Darreuch Castle and each time she met him with her frank childlike kiss he was more amazed and uplifted by her aspect.	Now and then he made the night journey to Darreuch Castle and each time she met him with her frank childlike kiss he was more amazed and uplifted by her aspect.	true	566.99	578.8	24.118069
3703_71550_000016_000001	Their quiet talks together were wonderful things to remember.	Their quiet talks together were wonderful things to remember.	true	579.89	584.14	23.035742
3703_71550_000016_000002	She had done much fine and dainty work which she showed him with unaffected sweetness.	She had done much fine and dainty work which she showed him with unaffected sweetness.	true	584.54	590.95	24.26288
3703_71550_000016_000003	She told him stories of Dowie and Mademoiselle and how they had taught her to sew and embroider.	She told him stories of Dowie and Mademoiselle and how they had taught her to sew and embroider.	true	591.41	598.03	20
3703_71550_000016_000004	Once she told him the story of her first meeting with Donal--but she passed over the tragedy of their first parting.	Once she told him the story of her first meeting with Donal-but she passed over the tragedy of their first parting.	true	598.64	606.82	24.258564
3703_71550_000017_000000	"It was too sad," she said.	"It was too sad," she said.	true	607.85	610.39	24.989355
3703_71550_000018_000000	He noticed that she never spoke of sad and dark hours.	He noticed that she never spoke of sad and dark hours.	true	611.06	615.34	24
3703_71550_000018_000001	He was convinced that she purposely avoided them and he was profoundly glad.	He was convinced that she purposely avoided them and he was profoundly glad.	true	615.56	621.64	24.788263
3703_71550_000019_000000	"I know," she said once, "that you do not want me to talk to you about the War."	"I know," she said once, "that you do not want me to talk to you about the War."	true	622.22	628.15	23.911837
3703_71550_000020_000000	"Thank you for knowing it," he answered.	"Thank you for knowing it," he answered.	true	629.63	632.25	21.699295
3703_71550_000020_000001	"I come here on a pilgrimage to a shrine where peace is.	"I come here on a pilgrimage to a shrine where peace is.	true	632.25	636.64	20
3703_71550_000020_000002	Darreuch is my shrine."	Darreuch is my shrine."	true	636.98	639.13	25.321724
3703_71550_000021_000000	"It is mine, too," was her low response.	"It is mine, too," was her low response.	false	639.83	643.21	21.838625
3703_71550_000022_000000	"Yes, I think it is," his look at her was deep.	"Yes, I think it is," his look at her was deep.	true	644.27	649.03	24.152063
3703_71550_000022_000001	Suddenly but gently he laid his hand on her shoulder.	Suddenly but gently he laid his hand on her shoulder.	true	649.16	653.56	24.811424
3703_71550_000023_000000	"I beg you," he said fervently, "I _beg_ you never to allow yourself to think of it.	"I beg you," he said fervently, "I underscore beg underscore you never to allow yourself to think of it.	false	654.41	662.23	21.794538
3703_71550_000023_000001	Blot the accursed thing out of the Universe while--you are here.	Blot the accursed thing out of the Universe while-you are here.	true	662.27	667.18	22.885939
3703_71550_000023_000002	For you there must be no war."	For you there must be no war."	true	667.34	669.73	23
3703_71550_000024_000000	"How kind his face looked," was Robin's thought as he hesitated a second and then went on:	"How kind his face looked," was Robin's thought as he hesitated a second and then went on:	true	670.61	677.41	22.515602
3703_71550_000025_000000	"I know very little of such--sacrosanct things as mothers and children, but lately I have had fancies of a place for them where there are only smiles and happiness and beauty--as a beginning."	"I know very little of such-sacrosanct things as mothers and children, but lately I have had fancies of a place for them where there are only smiles and happiness and beauty-as a beginning."	false	677.87	692.74	23.24773
3703_71550_000026_000000	It was she who now put her hand on his arm.	It was she who now put her hand on his arm.	true	692.9	695.98	20.803669
3703_71550_000026_000001	"Little Darreuch is like that--and you gave it to me," she said.	"Little Darreuch is like that-and you gave it to me," she said.	false	696.14	709.59	22.294382
