698_122863_000002_000000	A week after the tea at the manse Diana Barry gave a party.	A week after the tea at the manse Diana Barry gave a party.
698_122863_000023_000000	"My ankle," gasped Anne.	"My ankle," gasped Anne.
698_122863_000023_000001	"Oh, Diana, please find your father and ask him to take me home.	"Oh, Diana, please find your father and ask him to take me home.
698_122863_000023_000002	I know I can never walk there.	I know I can never walk there.
698_122863_000024_000000	Marilla was out in the orchard picking a panful of summer apples when she saw Mr. Barry coming over the log bridge and up the slope, with Mrs. Barry beside him and a whole procession of little girls trailing after him.	Marilla was out in the orchard picking a panful of summer apples when she saw mr Barry coming over the log bridge and up the slope, with mrs Barry beside him and a whole procession of little girls trailing after him.
698_122863_000025_000000	At that moment Marilla had a revelation.	At that moment Marilla had a revelation.
698_122863_000025_000001	In the sudden stab of fear that pierced her very heart she realized what Anne had come to mean to her. She would have admitted that she liked Anne--nay, that she was very fond of Anne.	In the sudden stab of fear that pierced her very heart she realized what Anne had come to mean to her. She would have admitted that she liked Anne-nay, that she was very fond of Anne.
698_122863_000026_000000	"Mr. Barry, what has happened to her?" she gasped, more white and shaken than the self-contained, sensible Marilla had been for many years.	"mr Barry, what has happened to her?" she gasped, more white and shaken than the self-contained, sensible Marilla had been for many years.
698_122863_000028_000000	"Don't be very frightened, Marilla.	"Don't be very frightened, Marilla.
698_122863_000028_000001	I was walking the ridgepole and I fell off.	I was walking the ridgepole and I fell off.
698_122863_000028_000002	I expect I have sprained my ankle.	I expect I have sprained my ankle.
698_122863_000028_000004	Let us look on the bright side of things."	Let us look on the bright side of things."
698_122863_000029_000001	Mercy me, the child has gone and fainted!"	Mercy me, the child has gone and fainted!"
698_122863_000030_000000	It was quite true.	It was quite true.
698_122863_000031_000000	Matthew, hastily summoned from the harvest field, was straightway dispatched for the doctor, who in due time came, to discover that the injury was more serious than they had supposed.	matthew, hastily summoned from the harvest field, was straightway dispatched for the doctor, who in due time came, to discover that the injury was more serious than they had supposed.
698_122863_000032_000000	That night, when Marilla went up to the east gable, where a white-faced girl was lying, a plaintive voice greeted her from the bed.	That night, when Marilla went up to the east gable, where a white faced girl was lying, a plaintive voice greeted her from the bed.
698_122863_000034_000000	"It was your own fault," said Marilla, twitching down the blind and lighting a lamp.	"It was your own fault," said Marilla, twitching down the blind and lighting a lamp.
698_122863_000035_000000	"And that is just why you should be sorry for me," said Anne, "because the thought that it is all my own fault is what makes it so hard.	"And that is just why you should be sorry for me," said Anne, "because the thought that it is all my own fault is what makes it so hard.
698_122863_000035_000001	If I could blame it on anybody I would feel so much better.	If I could blame it on anybody I would feel so much better.
698_122863_000035_000002	But what would you have done, Marilla, if you had been dared to walk a ridgepole?"	But what would you have done, Marilla, if you had been dared to walk a ridgepole?"
698_122863_000036_000000	"I'd have stayed on good firm ground and let them dare away.	"I'd have stayed on good firm ground and let them dare away.
698_122863_000036_000001	Such absurdity!" said Marilla.	Such absurdity!" said Marilla.
698_122863_000038_000001	I haven't.	I haven't.
698_122863_000038_000002	I just felt that I couldn't bear Josie Pye's scorn.	I just felt that I couldn't bear Josie Pye's scorn.
698_122863_000038_000005	It's not a bit nice to faint, after all. And the doctor hurt me dreadfully when he was setting my ankle.	It's not a bit nice to faint, after all. And the doctor hurt me dreadfully when he was setting my ankle.
698_122863_000038_000006	I won't be able to go around for six or seven weeks and I'll miss the new lady teacher.	I won't be able to go around for six or seven weeks and I'll miss the new lady teacher.
698_122863_000038_000007	She won't be new any more by the time I'm able to go to school. And Gil--everybody will get ahead of me in class.	She won't be new any more by the time I'm able to go to school. And Gil-everybody will get ahead of me in class.
698_122863_000038_000008	Oh, I am an afflicted mortal.	Oh, I am an afflicted mortal.
698_122863_000038_000009	But I'll try to bear it all bravely if only you won't be cross with me, Marilla."	But I'll try to bear it all bravely if only you won't be cross with me, Marilla."
698_122863_000039_000000	"There, there, I'm not cross," said Marilla.	"There, there, I'm not cross," said Marilla.
698_122863_000039_000001	"You're an unlucky child, there's no doubt about that; but as you say, you'll have the suffering of it.	"You're an unlucky child, there's no doubt about that; but as you say, you'll have the suffering of it.
698_122863_000039_000002	Here now, try and eat some supper."	Here now, try and eat some supper."
698_122863_000040_000000	"Isn't it fortunate I've got such an imagination?" said Anne.	"Isn't it fortunate I've got such an imagination?" said Anne.
698_122863_000040_000001	"It will help me through splendidly, I expect.	"It will help me through splendidly, I expect.
698_122863_000040_000002	What do people who haven't any imagination do when they break their bones, do you suppose, Marilla?"	What do people who haven't any imagination do when they break their bones, do you suppose, Marilla?"
698_122863_000041_000001	But she was not solely dependent on it.	But she was not solely dependent on it.
698_122863_000041_000002	She had many visitors and not a day passed without one or more of the schoolgirls dropping in to bring her flowers and books and tell her all the happenings in the juvenile world of Avonlea.	She had many visitors and not a day passed without one or more of the schoolgirls dropping in to bring her flowers and books and tell her all the happenings in the juvenile world of Avonlea.
698_122863_000042_000003	Why, even Superintendent Bell came to see me, and he's really a very fine man.	Why, even Superintendent Bell came to see me, and he's really a very fine man.
698_122863_000042_000004	Not a kindred spirit, of course; but still I like him and I'm awfully sorry I ever criticized his prayers.	Not a kindred spirit, of course; but still I like him and I'm awfully sorry I ever criticized his prayers.
698_122863_000042_000006	He could get over that if he'd take a little trouble.	He could get over that if he'd take a little trouble.
698_122863_000042_000007	I gave him a good broad hint.	I gave him a good broad hint.
698_122863_000042_000009	He told me all about the time he broke his ankle when he was a boy.	He told me all about the time he broke his ankle when he was a boy.
698_122863_000042_000012	When I try to imagine him as a boy I see him with gray whiskers and spectacles, just as he looks in Sunday school, only small.	When I try to imagine him as a boy I see him with gray whiskers and spectacles, just as he looks in Sunday school, only small.
698_122863_000042_000015	Isn't that something to be proud of, Marilla?	Isn't that something to be proud of, Marilla?
698_122863_000042_000016	When a minister's wife has so many claims on her time!	When a minister's wife has so many claims on her time!
698_122863_000042_000018	She never tells you it's your own fault and she hopes you'll be a better girl on account of it.	She never tells you it's your own fault and she hopes you'll be a better girl on account of it.
698_122863_000042_000020	Even Josie Pye came to see me.	Even Josie Pye came to see me.
698_122863_000042_000021	I received her as politely as I could, because I think she was sorry she dared me to walk a ridgepole.	I received her as politely as I could, because I think she was sorry she dared me to walk a ridgepole.
698_122863_000042_000023	Diana has been a faithful friend.	Diana has been a faithful friend.
698_122863_000042_000024	She's been over every day to cheer my lonely pillow.	She's been over every day to cheer my lonely pillow.
698_122863_000042_000026	The girls all think she is perfectly sweet.	The girls all think she is perfectly sweet.
698_122863_000042_000030	Oh, it's just glorious to think of it.	Oh, it's just glorious to think of it.
698_122863_000042_000033	And the Friday afternoons they don't have recitations Miss Stacy takes them all to the woods for a 'field' day and they study ferns and flowers and birds.	And the Friday afternoons they don't have recitations Miss Stacy takes them all to the woods for a 'field' day and they study ferns and flowers and birds.
