3967_292604_000000_000000	CHAPTER VII	CHAPTER seven	false	0.72	12.79	23.183027
3967_292604_000006_000003	And then suddenly her body swung against my legs.	And then suddenly her body swung against my legs.	true	245.94	249.525	18.037434
3967_292604_000006_000004	She was standing on nothing whatever!	She was standing on nothing whatever!	true	249.525	251.86	21
3967_292604_000006_000005	Again the queer gasping coughing noise broke from her lips, and at last I understood it.	Again the queer gasping coughing noise broke from her lips, and at last I understood it.	true	252.26	258.88	21.213877
3967_292604_000006_000006	It was a gasp of a woman strangling to death.	It was a gasp of a woman strangling to death.	false	259.13	262.53	22.387606
3967_292604_000006_000007	That white stiff streak above her head--I knew what it was too. I caught her by the waist and lifted her up till her weight rested upon my arm.	That white stiff streak above her head-I knew what it was too. I caught her by the waist and lifted her up till her weight rested upon my arm.	false	262.53	272.05	22.582981
3967_292604_000006_000008	With the other arm I felt about her neck.	With the other arm I felt about her neck.	true	272.15	274.75	23
3967_292604_000006_000009	A thick soft scarf--silk it seemed to the touch--was knotted tightly round it, and the end of the scarf ran up to the cross-beam above the bed-posts.	A thick soft scarf-silk it seemed to the touch-was knotted tightly round it, and the end of the scarf ran up to the cross beam above the bed posts.	true	274.82	285.91	24.799494
3967_292604_000006_000010	The scarf was the streak of white.	The scarf was the streak of white.	true	286.16	288.61	23.967663
3967_292604_000007_000000	I fumbled at the knot with my fingers.	I fumbled at the knot with my fingers.	true	288.92	291.55	21.447224
3967_292604_000007_000001	It was a slip knot, and now that no weight kept it taut, it loosened easily.	It was a slip knot, and now that no weight kept it taut, it loosened easily.	true	291.59	297.01	20
3967_292604_000007_000002	I slipped the noose back over her head and left it dangling.	I slipped the noose back over her head and left it dangling.	true	297.17	301.09	21.00069
3967_292604_000007_000003	The woman I laid down upon the bed, where she lay choking and moaning.	The woman I laid down upon the bed, where she lay choking and moaning.	true	301.34	305.92	15
3967_292604_000008_000000	I flung up the window and the cold fog poured into the room.	I flung up the window and the cold fog poured into the room.	true	306.14	310.66	23
3967_292604_000008_000001	I had no candle to light and nothing wherewith to light it.	I had no candle to light and nothing wherewith to light it.	true	310.76	314.71	16
3967_292604_000008_000002	But I remembered that my foot had knocked against a chair to the right of the window, as I climbed into the room.	But I remembered that my foot had knocked against a chair to the right of the window, as I climbed into the room.	false	314.84	321.37	19
3967_292604_000008_000003	I groped for the chair and set it to face the open night.	I groped for the chair and set it to face the open night.	true	321.8	325.42	23.869837
3967_292604_000008_000004	Then I carried the woman to the window and placed her in the chair, and supported her so that she might not fall.	Then I carried the woman to the window and placed her in the chair, and supported her so that she might not fall.	true	325.58	332.38	21
3967_292604_000008_000005	Outside I could hear the surf booming upon the sand almost within arm's reach, and the air was brisk with the salt of the sea.	Outside I could hear the surf booming upon the sand almost within arm's reach, and the air was brisk with the salt of the sea.	true	332.87	341.17	19
3967_292604_000009_000000	Such light as there was, glimmered upon the woman's face.	Such light as there was, glimmered upon the woman's face.	true	342.17	345.85	22
3967_292604_000009_000001	I saw that she was young, little more than a girl indeed, with hair and eyes of an extreme blackness.	I saw that she was young, little more than a girl indeed, with hair and eyes of an extreme blackness.	true	346.19	353.59	20
3967_292604_000009_000002	She was of a slight figure as I knew from the ease with which I carried her, but tall.	She was of a slight figure as I knew from the ease with which I carried her, but tall.	true	353.69	359.92	21.010511
3967_292604_000009_000003	I could not doubt who it was, for one thing the white dress she wore was of some fine soft fabric, and even in that light it was easy to see that she was beautiful.	I could not doubt who it was, for one thing the white dress she wore was of some fine soft fabric, and even in that light it was easy to see that she was beautiful.	true	360.11	371.2	21.460613
3967_292604_000010_000000	I held her thus with the cold salt air blowing upon her face, and in a little, she began to recover.	I held her thus with the cold salt air blowing upon her face, and in a little, she began to recover.	true	371.78	379.42	22.699968
3967_292604_000010_000001	She moved her hands upon her lap, and finally lifted one and held her throat with it.	She moved her hands upon her lap, and finally lifted one and held her throat with it.	true	379.64	385.87	22.810356
3967_292604_000011_000000	"Very likely there will be some water in the room," said I. "If you are safe, if you will not fall, I will look for it."	"Very likely there will be some water in the room," said i "If you are safe, if you will not fall, I will look for it."	true	386.21	393.97	23.360119
3967_292604_000012_000000	"Thank you," she murmured.	"Thank you," she murmured.	true	394.22	396.97	21.478428
3967_292604_000013_000000	My presence occasioned her no surprise and this I thought was no more than natural at the moment.	My presence occasioned her no surprise and this I thought was no more than natural at the moment.	true	397.01	403.45	16
3967_292604_000013_000001	I took my arm from her waist and groped about the room for the water-jug.	I took my arm from her waist and groped about the room for the water jug.	true	403.79	408.7	21
3967_292604_000013_000002	I found it at last and a glass beside it.	I found it at last and a glass beside it.	true	408.95	412.36	23.13373
3967_292604_000013_000003	These I carried back to the window.	These I carried back to the window.	true	412.64	415.09	25.970736
3967_292604_000014_000000	The girl was still seated on the chair, but she had changed her attitude.	The girl was still seated on the chair, but she had changed her attitude.	true	415.61	420.37	21.84996
3967_292604_000014_000001	She had leaned her arms upon the sill and her head upon her arms.	She had leaned her arms upon the sill and her head upon her arms.	true	420.41	425.11	21
3967_292604_000014_000002	I poured out the water from the jug into the tumbler.	I poured out the water from the jug into the tumbler.	true	425.57	429.07	23
3967_292604_000014_000003	She did not raise her head.	She did not raise her head.	true	429.23	431.23	19.145159
3967_292604_000014_000004	I spoke to her.	I spoke to her.	true	431.39	432.705	29.459665
3967_292604_000014_000005	She did not answer me.	She did not answer me.	true	432.705	434.41	20.37029
3967_292604_000014_000006	A horrible fear turned me cold.	A horrible fear turned me cold.	true	434.51	437.22	24.56695
3967_292604_000014_000007	I knelt down by her side, and setting down the water gently lifted her head.	I knelt down by her side, and setting down the water gently lifted her head.	true	437.22	442.75	20
3967_292604_000014_000008	She did not resist but sank back with a natural movement into my arms.	She did not resist but sank back with a natural movement into my arms.	true	443.12	448.45	19
3967_292604_000014_000009	Her eyes were closed, but she was breathing.	Her eyes were closed, but she was breathing.	true	448.82	451.75	22.659636
3967_292604_000014_000010	I could feel her breath upon my cheek and it came steadily and regular.	I could feel her breath upon my cheek and it came steadily and regular.	true	451.82	457.12	20.639658
3967_292604_000014_000011	I cannot describe my astonishment; she was in a deep sleep.	I cannot describe my astonishment; she was in a deep sleep.	true	457.13	462.07	23.446714
3967_292604_000015_000000	I pondered for a moment what I should do!	I pondered for a moment what I should do!	true	462.38	465.13	23
3967_292604_000015_000001	Should I wake the household? Should I explain what had happened and my presence in the house?	Should I wake the household? Should I explain what had happened and my presence in the house?	true	465.14	471.16	23.163782
3967_292604_000015_000002	For Helen Mayle's sake I must not do that, since Helen Mayle it surely was whom I held in my arms.	For Helen Mayle's sake I must not do that, since Helen Mayle it surely was whom I held in my arms.	true	471.41	478.27	15
3967_292604_000016_000000	I propped her securely in the chair, then crossed the room, opened the door and listened.	I propped her securely in the chair, then crossed the room, opened the door and listened.	true	478.7	485.38	25.419176
3967_292604_000016_000001	The house was very still; so far no one had been disturbed.	The house was very still; so far no one had been disturbed.	true	485.96	490.63	22.518215
3967_292604_000016_000002	A long narrow passage stretched in front of me, with doors upon either side.	A long narrow passage stretched in front of me, with doors upon either side.	true	490.76	496.66	23.138018
3967_292604_000016_000003	Remembering what Dick Parmiter had told me, I mean that every sound reverberated through the house, I crept down the landing on tiptoe.	Remembering what Dick Parmiter had told me, I mean that every sound reverberated through the house, I crept down the landing on tiptoe.	true	496.67	505.78	22.861748
3967_292604_000016_000004	I had only my stockings upon my feet and I crept forward so carefully that I could not hear my own footfalls.	I had only my stockings upon my feet and I crept forward so carefully that I could not hear my own footfalls.	true	506	513.55	20
3967_292604_000017_000000	I had taken some twenty paces when the passage opened out to my right. I put out my hand and touched a balustrade.	I had taken some twenty paces when the passage opened out to my right. I put out my hand and touched a balustrade.	true	513.92	522.46	21.99493
3967_292604_000017_000001	A few yards farther on the balustrade ceased; there was an empty space which I took to be the beginning of the stairs, and beyond the empty space the passage closed in again.	A few yards farther on the balustrade ceased; there was an empty space which I took to be the beginning of the stairs, and beyond the empty space the passage closed in again.	false	522.83	534.76	23.444666
3967_292604_000018_000000	I crept forward, and at last at the far end of the house and on the left hand of the passage I came to that for which I searched, and which I barely hoped to find--an open door.	I crept forward, and at last at the far end of the house and on the left hand of the passage I came to that for which I searched, and which I barely hoped to find-an open door.	true	535.19	548.41	22.02718
3967_292604_000018_000001	I held my breath and listened in the doorway, but there was no sound of any one breathing, so I stepped into the room.	I held my breath and listened in the doorway, but there was no sound of any one breathing, so I stepped into the room.	true	549.14	556.57	21
3967_292604_000019_000000	The fog was less dense, it hung outside the window a thin white mist and behind that mist the day was breaking.	The fog was less dense, it hung outside the window a thin white mist and behind that mist the day was breaking.	false	557.24	565.54	21.85055
3967_292604_000019_000001	I looked round the room.	I looked round the room.	true	565.88	567.57	23.588787
3967_292604_000019_000002	It was a large bedroom, and the bed had not been slept in.	It was a large bedroom, and the bed had not been slept in.	true	567.57	571.42	23
3967_292604_000019_000003	A glance at the toilette with its dainty knick-knacks of silver proved to me that it was a woman's bedroom.	A glance at the toilette with its dainty knick knacks of silver proved to me that it was a woman's bedroom.	true	571.79	578.89	19.939928
3967_292604_000019_000004	It had two big windows looking out towards the sea, and as I stood in the dim grey light, I wondered whether it was from one of those windows that Adam Mayle had looked years before, and seen the brigantine breaking up upon the Golden Ball Reef.	It had two big windows looking out towards the sea, and as I stood in the dim grey light, I wondered whether it was from one of those windows that Adam Mayle had looked years before, and seen the brigantine breaking up upon the Golden Ball Reef.	true	579.2	596.05	20
3967_292604_000019_000005	But the light was broadening with the passage of every minute.	But the light was broadening with the passage of every minute.	true	596.51	599.98	21
3967_292604_000019_000006	With the same caution which I had observed before I stole back on tiptoe to Cullen Mayle's room.	With the same caution which I had observed before I stole back on tiptoe to Cullen Mayle's room.	true	600.08	606.85	17
3967_292604_000019_000007	Helen Mayle was still asleep, and she had not moved from her posture.	Helen Mayle was still asleep, and she had not moved from her posture.	true	607.22	611.68	21.84391
3967_292604_000019_000008	I raised her in my arms, and still she did not wake.	I raised her in my arms, and still she did not wake.	true	611.9	615.73	22.864796
3967_292604_000019_000009	I carried her down the passage, through the open door and laid her on the bed.	I carried her down the passage, through the open door and laid her on the bed.	true	616.1	621.4	22.762838
3967_292604_000019_000010	There was a coverlet folded at the end of the bed and I spread it over her.	There was a coverlet folded at the end of the bed and I spread it over her.	true	621.86	626.56	18
3967_292604_000019_000011	She nestled down beneath it and her lips smiled very prettily, and she uttered a little purring murmur of content; but this she did in her sleep.	She nestled down beneath it and her lips smiled very prettily, and she uttered a little purring murmur of content; but this she did in her sleep.	true	626.57	637.26	22.208073
3967_292604_000019_000012	She slept with the untroubled sleep of a child.	She slept with the untroubled sleep of a child.	true	637.26	640.84	24.366678
3967_292604_000019_000013	Her face was pale, but that I took to be its natural complexion.	Her face was pale, but that I took to be its natural complexion.	true	641.09	645.58	25
3967_292604_000019_000014	Her long black eyelashes rested upon her cheeks.	Her long black eyelashes rested upon her cheeks.	true	645.8	649.57	20.228128
3967_292604_000019_000015	There was no hint of any trouble in her expression, no trace of any passionate despair.	There was no hint of any trouble in her expression, no trace of any passionate despair.	true	649.85	655.9	21
3967_292604_000019_000016	I could hardly believe that this was the girl who had sought to hang herself, whom I had seen struggling for her breath.	I could hardly believe that this was the girl who had sought to hang herself, whom I had seen struggling for her breath.	false	656.12	663.7	23.700914
3967_292604_000020_000000	Yet there was no doubt possible.	Yet there was no doubt possible.	true	664.31	666.34	24.809237
3967_292604_000020_000001	She had come into the empty room--empty as she thought, and empty it would have been, had not a fisher-boy burst one night into Lieutenant Clutterbuck's lodging off the Strand--when every one slept, and there she had deliberately stood upon the bed, fastened her noose to the cross-bar and sprang off. There was no doubt possible.	She had come into the empty room-empty as she thought, and empty it would have been, had not a fisher boy burst one night into Lieutenant Clutterbuck's lodging off the Strand-when every one slept, and there she had deliberately stood upon the bed, fastened her noose to the cross bar and sprang off. There was no doubt possible.	false	666.38	690.04	21.709192
3967_292604_000020_000002	It was her spring from the bed which had waked me up, and as I returned to Cullen's room, I saw the silk noose still hanging from the beam.	It was her spring from the bed which had waked me up, and as I returned to Cullen's room, I saw the silk noose still hanging from the beam.	true	690.08	699.69	19
3967_292604_000021_000000	CHAPTER VIII	CHAPTER eight	false	699.69	699.81	-20
3967_292604_000022_000000	HELEN MAYLE	HELEN MAYLE	false	699.81	699.93	-20
3967_292604_000023_000000	A loud rapping on the door roused me.	A loud rapping on the door roused me.	false	699.93	700.41	-20
3967_292604_000023_000001	The mist had cleared away, and out of the open window I could see a long sunlit slope of gorse all yellow and purple stretching upwards, and over the slope a great space of blue sky whereon the clouds sailed like racing boats in a strong breeze.	The mist had cleared away, and out of the open window I could see a long sunlit slope of gorse all yellow and purple stretching upwards, and over the slope a great space of blue sky whereon the clouds sailed like racing boats in a strong breeze.	false	700.41	706.65	18.102497
3967_292604_000023_000002	The door was thrust open and Dick Parmiter entered.	The door was thrust open and Dick Parmiter entered.	false	706.65	707.94	-20
