5660_101884_000000_000000	CHAPTER XXXII	CHAPTER thirty two	false	17.82	19.38	24.773596
5660_101884_000027_000010	She loved him, too--she was sure she did--though she had never realized it before. Doubtless that was half the cause of her present restlessness and unhappiness--she had loved him all the time, and did not know it!	She loved him, too-she was sure she did-though she had never realized it before. Doubtless that was half the cause of her present restlessness and unhappiness-she had loved him all the time, and did not know it!	false	485.63	499.93	21.792786
5660_101884_000027_000011	Surely there was no one in the world who could so wisely help her in her dear work.	Surely there was no one in the world who could so wisely help her in her dear work.	true	501.14	507.09	18.697458
5660_101884_000027_000012	Of course she loved him!	Of course she loved him!	true	507.09	508.9	21.223244
5660_101884_000028_000000	Very softly Margaret crossed the room and touched the man's shoulder.	Very softly Margaret crossed the room and touched the man's shoulder.	true	509.66	514.06	22.74396
5660_101884_000029_000000	"Bobby, I did not understand--I did not know," she said gently.	"Bobby, I did not understand-I did not know," she said gently.	true	514.73	520.56	27.787237
5660_101884_000029_000001	"You won't have to stay away--any more."	"You won't have to stay away-any more."	false	520.56	524.08	24.316671
5660_101884_000030_000000	"Won't have to--stay--away!"	"Won't have to-stay-away!"	true	524.96	528.49	26.345894
5660_101884_000030_000001	The man was on his feet, incredulous wonder in his eyes.	The man was on his feet, incredulous wonder in his eyes.	true	529.31	533.11	19.406776
5660_101884_000031_000000	"No.	"no	true	533.48	533.94	45
5660_101884_000031_000001	We--we will do it together--this work."	We-we will do it together-this work."	true	533.94	537.85	24.727898
5660_101884_000032_000000	"But you don't mean--you can't mean----" McGinnis paused, his breath suspended.	"But you don't mean-you can't mean----" McGinnis paused, his breath suspended.	true	538.94	545.74	26.527061
5660_101884_000033_000000	"But I do," she answered, the quick red flying to her cheeks.	"But I do," she answered, the quick red flying to her cheeks.	false	545.78	550.33	23.96417
5660_101884_000033_000001	Then, half laughing, half crying, she faltered: "And--and I shouldn't think you'd make--_me_ ask--_you_!"	Then, half laughing, half crying, she faltered: "And-and I shouldn't think you'd make-underscore me underscore ask-underscore you underscore!"	false	550.55	560.34	24.417599
5660_101884_000034_000000	"Margaret!" choked the man, as he fell on his knees and caught the girl's two hands to his lips.	"Margaret!" choked the man, as he fell on his knees and caught the girl's two hands to his lips.	true	560.34	567	22.771143
5660_101884_000035_000000	[Illustration: "MARGARET CROSSED THE ROOM AND TOUCHED THE MAN'S SHOULDER."]	[Illustration: "MARGARET CROSSED THE ROOM AND TOUCHED THE MAN'S SHOULDER."]	false	567	568.77	38.16153
5660_101884_000036_000000	CHAPTER XXXIII	CHAPTER thirty three	false	568.77	569.55	15
5660_101884_000037_000000	Ned Spencer returned alone to Hilcrest about the middle of April.	Ned Spencer returned alone to Hilcrest about the middle of April.	false	569.55	570.33	27.365885
5660_101884_000037_000001	In spite of their able corps of managers, the Spencers did not often leave the mills for so long a time without the occasional presence of one or the other of the firm, though Ned frequently declared that the mills were like a clock that winds itself, so admirably adjusted was the intricate machinery of their management.	In spite of their able corps of managers, the Spencers did not often leave the mills for so long a time without the occasional presence of one or the other of the firm, though Ned frequently declared that the mills were like a clock that winds itself, so admirably adjusted was the intricate machinery of their management.	false	570.33	574.47	-20
