1100_135264_000000_000000	CHAPTER 17	CHAPTER seventeen	true	21.615	23.26	20.563211
1100_135264_000006_000002	The barrier between you is her experience of sorrow and trouble.	The barrier between you is her experience of sorrow and trouble.	false	162.11	166.54	14
1100_135264_000006_000003	She ain't responsible for it and you ain't; but it's there and neither of you can cross it."	She ain't responsible for it and you ain't; but it's there and neither of you can cross it."	false	166.76	173.11	21.887503
1100_135264_000007_000000	"My childhood wasn't very happy before I came to Green Gables," said Anne, gazing soberly out of the window at the still, sad, dead beauty of the leafless tree-shadows on the moonlit snow.	"My childhood wasn't very happy before I came to Green Gables," said Anne, gazing soberly out of the window at the still, sad, dead beauty of the leafless tree shadows on the moonlit snow.	false	173.33	184.99	13
1100_135264_000008_000000	"Mebbe not--but it was just the usual unhappiness of a child who hasn't anyone to look after it properly.	"Mebbe not-but it was just the usual unhappiness of a child who hasn't anyone to look after it properly.	false	185.57	192.76	19.416811
1100_135264_000008_000001	There hasn't been any TRAGEDY in your life, Mistress Blythe.	There hasn't been any TRAGEDY in your life, Mistress Blythe.	true	192.77	196.15	12
1100_135264_000008_000002	And poor Leslie's has been almost ALL tragedy.	And poor Leslie's has been almost ALL tragedy.	true	196.31	200.11	17
1100_135264_000008_000003	She feels, I reckon, though mebbe she hardly knows she feels it, that there's a vast deal in her life you can't enter nor understand--and so she has to keep you back from it--hold you off, so to speak, from hurting her.	She feels, I reckon, though mebbe she hardly knows she feels it, that there's a vast deal in her life you can't enter nor understand-and so she has to keep you back from it-hold you off, so to speak, from hurting her.	true	200.21	213.94	15
1100_135264_000008_000004	You know if we've got anything about us that hurts we shrink from anyone's touch on or near it.	You know if we've got anything about us that hurts we shrink from anyone's touch on or near it.	true	214.43	221.23	15
1100_135264_000008_000005	It holds good with our souls as well as our bodies, I reckon.	It holds good with our souls as well as our bodies, I reckon.	true	221.57	225.12	11
1100_135264_000008_000006	Leslie's soul must be near raw--it's no wonder she hides it away."	Leslie's soul must be near raw-it's no wonder she hides it away."	false	225.12	230.26	16.941494
1100_135264_000009_000000	"If that were really all, I wouldn't mind, Captain Jim.	"If that were really all, I wouldn't mind, Captain Jim.	true	230.87	234.075	9
1100_135264_000009_000001	I would understand.	I would understand.	true	234.075	235.39	16
1100_135264_000009_000002	But there are times--not always, but now and again--when I almost have to believe that Leslie doesn't--doesn't like me.	But there are times-not always, but now and again-when I almost have to believe that Leslie doesn't-doesn't like me.	true	235.76	244.06	14
1100_135264_000009_000003	Sometimes I surprise a look in her eyes that seems to show resentment and dislike--it goes so quickly--but I've seen it, I'm sure of that.	Sometimes I surprise a look in her eyes that seems to show resentment and dislike-it goes so quickly-but I've seen it, I'm sure of that.	false	244.4	253.74	16
1100_135264_000009_000004	And it hurts me, Captain Jim.	And it hurts me, Captain Jim.	true	253.74	255.79	16
1100_135264_000009_000005	I'm not used to being disliked--and I've tried so hard to win Leslie's friendship."	I'm not used to being disliked-and I've tried so hard to win Leslie's friendship."	true	256.16	260.89	16
1100_135264_000010_000000	"You have won it, Mistress Blythe.	"You have won it, Mistress Blythe.	false	262.31	264.39	20
1100_135264_000010_000001	Don't you go cherishing any foolish notion that Leslie don't like you.	Don't you go cherishing any foolish notion that Leslie don't like you.	true	264.39	268.96	14
1100_135264_000010_000002	If she didn't she wouldn't have anything to do with you, much less chumming with you as she does.	If she didn't she wouldn't have anything to do with you, much less chumming with you as she does.	false	269.12	274.15	13
1100_135264_000010_000003	I know Leslie Moore too well not to be sure of that."	I know Leslie Moore too well not to be sure of that."	true	274.34	277.96	13
1100_135264_000011_000000	"The first time I ever saw her, driving her geese down the hill on the day I came to Four Winds, she looked at me with the same expression," persisted Anne.	"The first time I ever saw her, driving her geese down the hill on the day I came to Four Winds, she looked at me with the same expression," persisted Anne.	true	278.42	288.13	14
1100_135264_000011_000001	"I felt it, even in the midst of my admiration of her beauty.	"I felt it, even in the midst of my admiration of her beauty.	true	288.38	292.48	15
1100_135264_000011_000002	She looked at me resentfully--she did, indeed, Captain Jim."	She looked at me resentfully-she did, indeed, Captain Jim."	true	292.55	296.2	17
1100_135264_000012_000000	"The resentment must have been about something else, Mistress Blythe, and you jest come in for a share of it because you happened past. Leslie DOES take sullen spells now and again, poor girl.	"The resentment must have been about something else, Mistress Blythe, and you jest come in for a share of it because you happened past. Leslie DOES take sullen spells now and again, poor girl.	false	296.96	307.87	15
1100_135264_000012_000001	I can't blame her, when I know what she has to put up with.	I can't blame her, when I know what she has to put up with.	true	308.06	311.38	15
1100_135264_000012_000002	I don't know why it's permitted.	I don't know why it's permitted.	true	311.75	313.87	16
1100_135264_000012_000003	The doctor and I have talked a lot abut the origin of evil, but we haven't quite found out all about it yet.	The doctor and I have talked a lot abut the origin of evil, but we haven't quite found out all about it yet.	false	313.91	320.14	14
1100_135264_000012_000004	There's a vast of onunderstandable things in life, ain't there, Mistress Blythe? Sometimes things seem to work out real proper-like, same as with you and the doctor.	There's a vast of onunderstandable things in life, ain't there, Mistress Blythe? Sometimes things seem to work out real proper like, same as with you and the doctor.	false	320.21	330.94	18
1100_135264_000012_000005	And then again they all seem to go catawampus. There's Leslie, so clever and beautiful you'd think she was meant for a queen, and instead she's cooped up over there, robbed of almost everything a woman'd value, with no prospect except waiting on Dick Moore all her life.	And then again they all seem to go catawampus. There's Leslie, so clever and beautiful you'd think she was meant for a queen, and instead she's cooped up over there, robbed of almost everything a woman'd value, with no prospect except waiting on Dick Moore all her life.	false	331.13	348.7	15
1100_135264_000012_000006	Though, mind you, Mistress Blythe, I daresay she'd choose her life now, such as it is, rather than the life she lived with Dick before he went away.	Though, mind you, Mistress Blythe, I daresay she'd choose her life now, such as it is, rather than the life she lived with Dick before he went away.	false	349.46	357.58	12
1100_135264_000012_000007	THAT'S something a clumsy old sailor's tongue mustn't meddle with.	THAT'S something a clumsy old sailor's tongue mustn't meddle with.	true	358.1	361.72	13
1100_135264_000012_000008	But you've helped Leslie a lot--she's a different creature since you come to Four Winds.	But you've helped Leslie a lot-she's a different creature since you come to Four Winds.	false	362.12	367.51	16
1100_135264_000012_000009	Us old friends see the difference in her, as you can't.	Us old friends see the difference in her, as you can't.	false	367.55	370.96	15
1100_135264_000012_000010	Miss Cornelia and me was talking it over the other day, and it's one of the mighty few p'ints that we see eye to eye on.	Miss Cornelia and me was talking it over the other day, and it's one of the mighty few p'ints that we see eye to eye on.	false	371.21	379.87	16
1100_135264_000012_000011	So jest you throw overboard any idea of her not liking you."	So jest you throw overboard any idea of her not liking you."	false	380.63	384.81	13
1100_135264_000013_000000	Anne could hardly discard it completely, for there were undoubtedly times when she felt, with an instinct that was not to be combated by reason, that Leslie harbored a queer, indefinable resentment towards her.	Anne could hardly discard it completely, for there were undoubtedly times when she felt, with an instinct that was not to be combated by reason, that Leslie harbored a queer, indefinable resentment towards her.	false	384.81	399.4	16
1100_135264_000013_000001	At times, this secret consciousness marred the delight of their comradeship; at others it was almost forgotten; but Anne always felt the hidden thorn was there, and might prick her at any moment.	At times, this secret consciousness marred the delight of their comradeship; at others it was almost forgotten; but Anne always felt the hidden thorn was there, and might prick her at any moment.	true	399.59	411.13	15
1100_135264_000013_000002	She felt a cruel sting from it on the day when she told Leslie of what she hoped the spring would bring to the little house of dreams.	She felt a cruel sting from it on the day when she told Leslie of what she hoped the spring would bring to the little house of dreams.	true	411.2	419.59	13
1100_135264_000013_000003	Leslie looked at her with hard, bitter, unfriendly eyes.	Leslie looked at her with hard, bitter, unfriendly eyes.	true	419.96	423.34	12
1100_135264_000014_000000	"So you are to have THAT, too," she said in a choked voice.	"So you are to have THAT, too," she said in a choked voice.	false	423.71	427.17	16
1100_135264_000014_000001	And without another word she had turned and gone across the fields homeward.	And without another word she had turned and gone across the fields homeward.	true	427.17	431.28	13
1100_135264_000014_000002	Anne was deeply hurt; for the moment she felt as if she could never like Leslie again.	Anne was deeply hurt; for the moment she felt as if she could never like Leslie again.	false	431.28	437.5	15
1100_135264_000014_000003	But when Leslie came over a few evenings later she was so pleasant, so friendly, so frank, and witty, and winsome, that Anne was charmed into forgiveness and forgetfulness. Only, she never mentioned her darling hope to Leslie again; nor did Leslie ever refer to it.	But when Leslie came over a few evenings later she was so pleasant, so friendly, so frank, and witty, and winsome, that Anne was charmed into forgiveness and forgetfulness. Only, she never mentioned her darling hope to Leslie again; nor did Leslie ever refer to it.	true	437.84	454.96	15
1100_135264_000014_000004	But one evening, when late winter was listening for the word of spring, she came over to the little house for a twilight chat; and when she went away she left a small, white box on the table.	But one evening, when late winter was listening for the word of spring, she came over to the little house for a twilight chat; and when she went away she left a small, white box on the table.	false	455.03	466.26	14
1100_135264_000014_000005	Anne found it after she was gone and opened it wonderingly. In it was a tiny white dress of exquisite workmanship--delicate embroidery, wonderful tucking, sheer loveliness.	Anne found it after she was gone and opened it wonderingly. In it was a tiny white dress of exquisite workmanship-delicate embroidery, wonderful tucking, sheer loveliness.	false	466.26	479.535	18.448782
1100_135264_000014_000006	Every stitch in it was handwork; and the little frills of lace at neck and sleeves were of real Valenciennes.	Every stitch in it was handwork; and the little frills of lace at neck and sleeves were of real Valenciennes.	true	479.535	486.46	18
1100_135264_000014_000007	Lying on it was a card--"with Leslie's love."	Lying on it was a card-"with Leslie's love."	true	487.25	491.23	18.82855
1100_135264_000015_000000	"What hours of work she must have put on it," said Anne.	"What hours of work she must have put on it," said Anne.	true	491.72	495.52	19
1100_135264_000015_000001	"And the material must have cost more than she could really afford.	"And the material must have cost more than she could really afford.	true	495.65	499.39	15
1100_135264_000015_000002	It is very sweet of her."	It is very sweet of her."	false	499.46	501.46	19.230612
1100_135264_000016_000000	But Leslie was brusque and curt when Anne thanked her, and again the latter felt thrown back upon herself.	But Leslie was brusque and curt when Anne thanked her, and again the latter felt thrown back upon herself.	true	502.16	508.9	12
1100_135264_000017_000000	Leslie's gift was not alone in the little house.	Leslie's gift was not alone in the little house.	true	509.15	512.655	12
1100_135264_000017_000001	Miss Cornelia had, for the time being, given up sewing for unwanted, unwelcome eighth babies, and fallen to sewing for a very much wanted first one, whose welcome would leave nothing to be desired.	Miss Cornelia had, for the time being, given up sewing for unwanted, unwelcome eighth babies, and fallen to sewing for a very much wanted first one, whose welcome would leave nothing to be desired.	true	512.655	525.79	12
1100_135264_000017_000002	Philippa Blake and Diana Wright each sent a marvellous garment; and Mrs. Rachel Lynde sent several, in which good material and honest stitches took the place of embroidery and frills.	Philippa Blake and Diana Wright each sent a marvellous garment; and mrs Rachel Lynde sent several, in which good material and honest stitches took the place of embroidery and frills.	true	525.86	537.57	15
1100_135264_000017_000003	Anne herself made many, desecrated by no touch of machinery, spending over them the happiest hours of the happy winter.	Anne herself made many, desecrated by no touch of machinery, spending over them the happiest hours of the happy winter.	false	537.57	547.57	18.693048
1100_135264_000018_000000	Captain Jim was the most frequent guest of the little house, and none was more welcome.	Captain Jim was the most frequent guest of the little house, and none was more welcome.	true	547.97	553	15
1100_135264_000018_000001	Every day Anne loved the simple-souled, true-hearted old sailor more and more.	Every day Anne loved the simple souled, true hearted old sailor more and more.	false	553.13	558.7	11
1100_135264_000018_000002	He was as refreshing as a sea breeze, as interesting as some ancient chronicle.	He was as refreshing as a sea breeze, as interesting as some ancient chronicle.	false	559.46	564.73	13
1100_135264_000018_000003	She was never tired of listening to his stories, and his quaint remarks and comments were a continual delight to her.	She was never tired of listening to his stories, and his quaint remarks and comments were a continual delight to her.	false	564.92	572.17	15
1100_135264_000018_000004	Captain Jim was one of those rare and interesting people who "never speak but they say something." The milk of human kindness and the wisdom of the serpent were mingled in his composition in delightful proportions.	Captain Jim was one of those rare and interesting people who "never speak but they say something." The milk of human kindness and the wisdom of the serpent were mingled in his composition in delightful proportions.	true	572.6	585.85	15
1100_135264_000019_000000	Nothing ever seemed to put Captain Jim out or depress him in any way.	Nothing ever seemed to put Captain Jim out or depress him in any way.	true	586.34	590.5	13
1100_135264_000020_000000	"I've kind of contracted a habit of enj'ying things," he remarked once, when Anne had commented on his invariable cheerfulness.	"I've kind of contracted a habit of enj'ying things," he remarked once, when Anne had commented on his invariable cheerfulness.	false	590.93	597.97	11
1100_135264_000020_000001	"It's got so chronic that I believe I even enj'y the disagreeable things.	"It's got so chronic that I believe I even enj'y the disagreeable things.	false	598.85	604.66	15
1100_135264_000020_000002	It's great fun thinking they can't last.	It's great fun thinking they can't last.	true	604.91	607.51	15
1100_135264_000020_000003	'Old rheumatiz,' says I, when it grips me hard, 'you've GOT to stop aching sometime.	'Old rheumatiz,' says I, when it grips me hard, 'you've GOT to stop aching sometime.	true	607.85	613.21	14
1100_135264_000020_000004	The worse you are the sooner you'll stop, mebbe.	The worse you are the sooner you'll stop, mebbe.	true	613.43	616.27	16
1100_135264_000020_000005	I'm bound to get the better of you in the long run, whether in the body or out of the body.'"	I'm bound to get the better of you in the long run, whether in the body or out of the body.'"	true	616.34	620.89	12
1100_135264_000021_000000	One night, by the fireside at the light Anne saw Captain Jim's "life-book." He needed no coaxing to show it and proudly gave it to her to read.	One night, by the fireside at the light Anne saw Captain Jim's "life book." He needed no coaxing to show it and proudly gave it to her to read.	false	621.38	630.88	18.70151
1100_135264_000022_000000	"I writ it to leave to little Joe," he said.	"I writ it to leave to little Joe," he said.	false	631.13	635.14	12
1100_135264_000022_000001	"I don't like the idea of everything I've done and seen being clean forgot after I've shipped for my last v'yage.	"I don't like the idea of everything I've done and seen being clean forgot after I've shipped for my last v'yage.	false	635.24	643.77	16
1100_135264_000022_000002	Joe, he'll remember it, and tell the yarns to his children."	Joe, he'll remember it, and tell the yarns to his children."	true	643.77	648.43	17.68193
1100_135264_000023_000000	It was an old leather-bound book filled with the record of his voyages and adventures.	It was an old leather bound book filled with the record of his voyages and adventures.	true	648.95	654.39	12
1100_135264_000023_000001	Anne thought what a treasure trove it would be to a writer.	Anne thought what a treasure trove it would be to a writer.	false	654.39	658.72	18
1100_135264_000023_000002	Every sentence was a nugget.	Every sentence was a nugget.	true	659.09	660.99	17
1100_135264_000023_000003	In itself the book had no literary merit; Captain Jim's charm of storytelling failed him when he came to pen and ink; he could only jot roughly down the outline of his famous tales, and both spelling and grammar were sadly askew.	In itself the book had no literary merit; Captain Jim's charm of storytelling failed him when he came to pen and ink; he could only jot roughly down the outline of his famous tales, and both spelling and grammar were sadly askew.	false	660.99	676.84	14
1100_135264_000023_000004	But Anne felt that if anyone possessed of the gift could take that simple record of a brave, adventurous life, reading between the bald lines the tales of dangers staunchly faced and duty manfully done, a wonderful story might be made from it.	But Anne felt that if anyone possessed of the gift could take that simple record of a brave, adventurous life, reading between the bald lines the tales of dangers staunchly faced and duty manfully done, a wonderful story might be made from it.	false	677.63	693.79	17
1100_135264_000023_000005	Rich comedy and thrilling tragedy were both lying hidden in Captain Jim's "life-book," waiting for the touch of the master hand to waken the laughter and grief and horror of thousands.	Rich comedy and thrilling tragedy were both lying hidden in Captain Jim's "life book," waiting for the touch of the master hand to waken the laughter and grief and horror of thousands.	true	694.43	706.98	14
1100_135264_000024_000000	Anne said something of this to Gilbert as they walked home.	Anne said something of this to Gilbert as they walked home.	false	706.98	710.41	19.613169
1100_135264_000025_000000	"Why don't you try your hand at it yourself, Anne?"	"Why don't you try your hand at it yourself, Anne?"	true	710.69	713.13	13
1100_135264_000026_000000	Anne shook her head.	Anne shook her head.	false	713.13	714.7	21.449389
1100_135264_000027_000000	"No.	"no	true	715.01	715.725	12
1100_135264_000027_000001	I only wish I could.	I only wish I could.	true	715.725	717.28	18.15246
1100_135264_000027_000002	But it's not in the power of my gift.	But it's not in the power of my gift.	true	717.38	719.98	20
1100_135264_000027_000003	You know what my forte is, Gilbert--the fanciful, the fairylike, the pretty.	You know what my forte is, Gilbert-the fanciful, the fairylike, the pretty.	true	720.23	725.02	18
1100_135264_000027_000004	To write Captain Jim's life-book as it should be written one should be a master of vigorous yet subtle style, a keen psychologist, a born humorist and a born tragedian.	To write Captain Jim's life book as it should be written one should be a master of vigorous yet subtle style, a keen psychologist, a born humorist and a born tragedian.	false	725.54	738.37	17
1100_135264_000027_000005	A rare combination of gifts is needed.	A rare combination of gifts is needed.	true	738.5	740.92	17
1100_135264_000027_000006	Paul might do it if he were older.	Paul might do it if he were older.	true	741.02	743.14	15
1100_135264_000027_000007	Anyhow, I'm going to ask him to come down next summer and meet Captain Jim."	Anyhow, I'm going to ask him to come down next summer and meet Captain Jim."	true	743.36	747.28	14
1100_135264_000028_000000	"Come to this shore," wrote Anne to Paul.	"Come to this shore," wrote Anne to Paul.	true	747.68	750.34	14.922359
1100_135264_000028_000001	"I am afraid you cannot find here Nora or the Golden Lady or the Twin Sailors; but you will find one old sailor who can tell you wonderful stories."	"I am afraid you cannot find here Nora or the Golden Lady or the Twin Sailors; but you will find one old sailor who can tell you wonderful stories."	true	750.35	759.94	10
1100_135264_000029_000000	Paul, however wrote back, saying regretfully that he could not come that year.	Paul, however wrote back, saying regretfully that he could not come that year.	true	761.54	766.27	12
1100_135264_000029_000001	He was going abroad for two year's study.	He was going abroad for two year's study.	true	766.37	768.7	16
1100_135264_000030_000000	"When I return I'll come to Four Winds, dear Teacher," he wrote.	"When I return I'll come to Four Winds, dear Teacher," he wrote.	true	768.83	772.335	15
1100_135264_000031_000000	"But meanwhile, Captain Jim is growing old," said Anne, sorrowfully, "and there is nobody to write his life-book."	"But meanwhile, Captain Jim is growing old," said Anne, sorrowfully, "and there is nobody to write his life book."	true	772.335	779.88	18.792744
1100_135264_000032_000000	CHAPTER 18	CHAPTER eighteen	false	779.88	780.15	-20
1100_135264_000033_000000	SPRING DAYS	SPRING DAYS	false	780.15	780.45	-20
1100_135264_000034_000000	The ice in the harbor grew black and rotten in the March suns; in April there were blue waters and a windy, white-capped gulf again; and again the Four Winds light begemmed the twilights.	The ice in the harbor grew black and rotten in the March suns; in April there were blue waters and a windy, white capped gulf again; and again the Four Winds light begemmed the twilights.	false	780.45	789.63	15.1620035
