1460_138289_000000_000000	"Go at once then, in Heaven's name!" said she, her eyes flashing at his, though never meeting them.	"Go at once then, in Heaven's name!" said she, her eyes flashing at his, though never meeting them.	false	0	6.3	21.532059
1460_138289_000018_000000	"Yes," said Joseph, "and I was sitting at home, looking for Ephesians, and says I to myself, ''Tis nothing but Corinthians and Thessalonians in this danged Testament,' when who should come in but Henery there: 'Joseph,' he said, 'the sheep have blasted theirselves--'"	"Yes," said Joseph, "and I was sitting at home, looking for ephesians, and says I to myself, ''tis nothing but Corinthians and Thessalonians in this danged Testament,' when who should come in but Henery there: 'Joseph,' he said, 'the sheep have blasted theirselves-'"	false	100.31	115.27	18
1460_138289_000019_000000	With Bathsheba it was a moment when thought was speech and speech exclamation.	With Bathsheba it was a moment when thought was speech and speech exclamation.	true	115.94	120.61	23
1460_138289_000019_000001	Moreover, she had hardly recovered her equanimity since the disturbance which she had suffered from Oak's remarks.	Moreover, she had hardly recovered her equanimity since the disturbance which she had suffered from Oak's remarks.	true	121.1	127.06	18
1460_138289_000020_000000	"That's enough--that's enough!--oh, you fools!" she cried, throwing the parasol and Prayer-book into the passage, and running out of doors in the direction signified.	"That's enough-that's enough!--oh, you fools!" she cried, throwing the parasol and Prayer book into the passage, and running out of doors in the direction signified.	false	127.28	136.78	20
1460_138289_000020_000001	"To come to me, and not go and get them out directly!	"To come to me, and not go and get them out directly!	true	136.79	139.635	17
1460_138289_000020_000002	Oh, the stupid numskulls!"	Oh, the stupid numskulls!"	false	139.635	141.79	22.86178
1460_138289_000021_000000	Her eyes were at their darkest and brightest now.	Her eyes were at their darkest and brightest now.	false	142.19	144.73	23
1460_138289_000021_000001	Bathsheba's beauty belonging rather to the demonian than to the angelic school, she never looked so well as when she was angry--and particularly when the effect was heightened by a rather dashing velvet dress, carefully put on before a glass.	Bathsheba's beauty belonging rather to the demonian than to the angelic school, she never looked so well as when she was angry-and particularly when the effect was heightened by a rather dashing velvet dress, carefully put on before a glass.	true	144.86	157.84	15
1460_138289_000022_000000	All the ancient men ran in a jumbled throng after her to the clover-field, Joseph sinking down in the midst when about half-way, like an individual withering in a world which was more and more insupportable.	All the ancient men ran in a jumbled throng after her to the clover field, Joseph sinking down in the midst when about half-way, like an individual withering in a world which was more and more insupportable.	true	158.99	170.62	17
1460_138289_000022_000001	Having once received the stimulus that her presence always gave them they went round among the sheep with a will.	Having once received the stimulus that her presence always gave them they went round among the sheep with a will.	true	171.14	177.04	18
1460_138289_000022_000002	The majority of the afflicted animals were lying down, and could not be stirred.	The majority of the afflicted animals were lying down, and could not be stirred.	true	177.35	181.12	16
1460_138289_000022_000003	These were bodily lifted out, and the others driven into the adjoining field.	These were bodily lifted out, and the others driven into the adjoining field.	true	181.22	185.35	18
1460_138289_000022_000004	Here, after the lapse of a few minutes, several more fell down, and lay helpless and livid as the rest.	Here, after the lapse of a few minutes, several more fell down, and lay helpless and livid as the rest.	true	185.81	191.23	16
1460_138289_000023_000000	Bathsheba, with a sad, bursting heart, looked at these primest specimens of her prime flock as they rolled there--	Bathsheba, with a sad, bursting heart, looked at these primest specimens of her prime flock as they rolled there-	true	192.08	198.16	19
1460_138289_000024_000000	Swoln with wind and the rank mist they drew.	Swoln with wind and the rank mist they drew.	false	198.5	201.61	14
1460_138289_000025_000000	Many of them foamed at the mouth, their breathing being quick and short, whilst the bodies of all were fearfully distended.	Many of them foamed at the mouth, their breathing being quick and short, whilst the bodies of all were fearfully distended.	true	202.28	209.19	19
1460_138289_000026_000000	"Oh, what can I do, what can I do!" said Bathsheba, helplessly. "Sheep are such unfortunate animals!--there's always something happening to them!	"Oh, what can I do, what can I do!" said Bathsheba, helplessly. "Sheep are such unfortunate animals!--there's always something happening to them!	false	209.19	217.54	18
1460_138289_000026_000001	I never knew a flock pass a year without getting into some scrape or other."	I never knew a flock pass a year without getting into some scrape or other."	true	217.61	221.56	13
1460_138289_000027_000000	"There's only one way of saving them," said Tall.	"There's only one way of saving them," said Tall.	true	222.02	224.295	18.863592
1460_138289_000028_000000	"What way?	"What way?	true	224.295	224.88	25.010933
1460_138289_000028_000001	Tell me quick!"	Tell me quick!"	true	224.88	225.88	26.253702
1460_138289_000029_000000	"They must be pierced in the side with a thing made on purpose."	"They must be pierced in the side with a thing made on purpose."	true	226.04	229.12	19
1460_138289_000030_000000	"Can you do it?	"Can you do it?	true	229.58	230.535	26.898941
1460_138289_000030_000001	Can I?"	Can I?"	true	230.535	231.28	29.122831
1460_138289_000031_000000	"No, ma'am.	"No, ma'am.	true	231.32	232.08	18
1460_138289_000031_000001	We can't, nor you neither.	We can't, nor you neither.	true	232.08	233.43	15
1460_138289_000031_000002	It must be done in a particular spot.	It must be done in a particular spot.	false	233.43	235.78	27.634756
1460_138289_000031_000003	If ye go to the right or left but an inch you stab the ewe and kill her.	If ye go to the right or left but an inch you stab the ewe and kill her.	false	235.82	239.47	23
1460_138289_000031_000004	Not even a shepherd can do it, as a rule."	Not even a shepherd can do it, as a rule."	true	239.57	241.74	20
1460_138289_000032_000000	"Then they must die," she said, in a resigned tone.	"Then they must die," she said, in a resigned tone.	false	241.74	245.17	21.985626
1460_138289_000033_000000	"Only one man in the neighbourhood knows the way," said Joseph, now just come up.	"Only one man in the neighbourhood knows the way," said Joseph, now just come up.	false	245.66	249.34	16
1460_138289_000033_000001	"He could cure 'em all if he were here."	"He could cure 'em all if he were here."	true	249.41	251.26	23
1460_138289_000034_000000	"Who is he?	"Who is he?	true	251.42	252.165	26
1460_138289_000034_000001	Let's get him!"	Let's get him!"	true	252.165	253.06	20.698545
1460_138289_000035_000000	"Shepherd Oak," said Matthew.	"Shepherd Oak," said matthew.	true	253.07	254.64	25
1460_138289_000035_000001	"Ah, he's a clever man in talents!"	"Ah, he's a clever man in talents!"	false	254.64	257.04	20
1460_138289_000036_000000	"Ah, that he is so!" said Joseph Poorgrass.	"Ah, that he is so!" said Joseph Poorgrass.	false	257.04	259.93	18.775137
1460_138289_000037_000000	"True--he's the man," said Laban Tall.	"True-he's the man," said Laban Tall.	true	260.36	262.51	18
1460_138289_000038_000000	"How dare you name that man in my presence!" she said excitedly.	"How dare you name that man in my presence!" she said excitedly.	true	262.76	266.62	18
1460_138289_000038_000001	"I told you never to allude to him, nor shall you if you stay with me. Ah!" she added, brightening, "Farmer Boldwood knows!"	"I told you never to allude to him, nor shall you if you stay with me. Ah!" she added, brightening, "Farmer Boldwood knows!"	true	266.81	274.3	20.257229
1460_138289_000039_000000	"O no, ma'am" said Matthew.	"O no, ma'am" said matthew.	true	274.52	276.18	16
1460_138289_000039_000001	"Two of his store ewes got into some vetches t'other day, and were just like these.	"Two of his store ewes got into some vetches t'other day, and were just like these.	false	276.18	280.45	17
1460_138289_000039_000002	He sent a man on horseback here post-haste for Gable, and Gable went and saved 'em. Farmer Boldwood hev got the thing they do it with.	He sent a man on horseback here post haste for Gable, and Gable went and saved 'em. Farmer Boldwood h e v got the thing they do it with.	false	280.73	288.195	21
1460_138289_000039_000003	'Tis a holler pipe, with a sharp pricker inside.	'tis a holler pipe, with a sharp pricker inside.	false	288.195	290.28	20
1460_138289_000039_000004	Isn't it, Joseph?"	Isn't it, Joseph?"	true	290.28	291.45	20.82852
1460_138289_000040_000000	"Ay--a holler pipe," echoed Joseph.	"Ay-a holler pipe," echoed Joseph.	false	291.45	293.55	21
1460_138289_000040_000001	"That's what 'tis."	"That's what 'tis."	true	293.55	294.51	20.818203
1460_138289_000041_000000	"Ay, sure--that's the machine," chimed in Henery Fray, reflectively, with an Oriental indifference to the flight of time.	"Ay, sure-that's the machine," chimed in Henery Fray, reflectively, with an Oriental indifference to the flight of time.	false	294.51	301.995	21
1460_138289_000042_000000	"Well," burst out Bathsheba, "don't stand there with your 'ayes' and your 'sures' talking at me!	"Well," burst out Bathsheba, "don't stand there with your 'ayes' and your 'sures' talking at me!	false	301.995	306.1	15
1460_138289_000042_000001	Get somebody to cure the sheep instantly!"	Get somebody to cure the sheep instantly!"	true	306.17	308.41	24.328846
1460_138289_000043_000000	All then stalked off in consternation, to get somebody as directed, without any idea of who it was to be.	All then stalked off in consternation, to get somebody as directed, without any idea of who it was to be.	true	309.11	315.34	22
1460_138289_000043_000001	In a minute they had vanished through the gate, and she stood alone with the dying flock.	In a minute they had vanished through the gate, and she stood alone with the dying flock.	true	315.68	319.86	19
1460_138289_000044_000000	"Never will I send for him--never!" she said firmly.	"Never will I send for him-never!" she said firmly.	true	319.86	323.08	17
1460_138289_000045_000000	One of the ewes here contracted its muscles horribly, extended itself, and jumped high into the air.	One of the ewes here contracted its muscles horribly, extended itself, and jumped high into the air.	true	323.48	329.41	18
1460_138289_000045_000001	The leap was an astonishing one.	The leap was an astonishing one.	true	329.54	331.48	20
1460_138289_000045_000002	The ewe fell heavily, and lay still.	The ewe fell heavily, and lay still.	true	331.61	333.91	19.028475
1460_138289_000046_000000	Bathsheba went up to it.	Bathsheba went up to it.	true	334.07	335.625	20.980515
1460_138289_000046_000001	The sheep was dead.	The sheep was dead.	true	335.625	336.72	26.517048
1460_138289_000047_000000	"Oh, what shall I do--what shall I do!" she again exclaimed, wringing her hands.	"Oh, what shall I do-what shall I do!" she again exclaimed, wringing her hands.	false	336.72	341.61	19.053406
1460_138289_000047_000001	"I won't send for him.	"I won't send for him.	true	341.61	342.885	16
1460_138289_000047_000002	No, I won't!"	No, I won't!"	true	342.885	344.5	20.317987
1460_138289_000048_000000	The most vigorous expression of a resolution does not always coincide with the greatest vigour of the resolution itself.	The most vigorous expression of a resolution does not always coincide with the greatest vigour of the resolution itself.	true	344.9	351.13	19
1460_138289_000048_000001	It is often flung out as a sort of prop to support a decaying conviction which, whilst strong, required no enunciation to prove it so.	It is often flung out as a sort of prop to support a decaying conviction which, whilst strong, required no enunciation to prove it so.	true	351.47	359.35	19
1460_138289_000048_000002	The "No, I won't" of Bathsheba meant virtually, "I think I must."	The "No, I won't" of Bathsheba meant virtually, "I think I must."	true	359.69	364.42	18
1460_138289_000049_000000	She followed her assistants through the gate, and lifted her hand to one of them.	She followed her assistants through the gate, and lifted her hand to one of them.	true	364.49	368.385	17
1460_138289_000049_000001	Laban answered to her signal.	Laban answered to her signal.	true	368.385	370.09	21.913548
1460_138289_000050_000000	"Where is Oak staying?"	"Where is Oak staying?"	true	370.16	371.59	24.189728
1460_138289_000051_000000	"Across the valley at Nest Cottage!"	"Across the valley at Nest Cottage!"	true	371.78	373.69	24.77653
1460_138289_000052_000000	"Jump on the bay mare, and ride across, and say he must return instantly--that I say so."	"Jump on the bay mare, and ride across, and say he must return instantly-that I say so."	true	374.21	379.45	20
1460_138289_000053_000000	Tall scrambled off to the field, and in two minutes was on Poll, the bay, bare-backed, and with only a halter by way of rein.	Tall scrambled off to the field, and in two minutes was on Poll, the bay, bare backed, and with only a halter by way of rein.	true	380.24	387.63	18
1460_138289_000053_000001	He diminished down the hill.	He diminished down the hill.	true	387.63	389.23	23
1460_138289_000054_000000	Bathsheba watched.	Bathsheba watched.	true	390.35	391.63	17.384632
1460_138289_000054_000001	So did all the rest.	So did all the rest.	true	391.64	393.075	17
1460_138289_000054_000002	Tall cantered along the bridle-path through Sixteen Acres, Sheeplands, Middle Field, The Flats, Cappel's Piece, shrank almost to a point, crossed the bridge, and ascended from the valley through Springmead and Whitepits on the other side.	Tall cantered along the bridle path through Sixteen Acres, Sheeplands, Middle Field, The Flats, Cappel's Piece, shrank almost to a point, crossed the bridge, and ascended from the valley through Springmead and Whitepits on the other side.	true	393.075	406.9	19
1460_138289_000054_000003	The cottage to which Gabriel had retired before taking his final departure from the locality was visible as a white spot on the opposite hill, backed by blue firs.	The cottage to which Gabriel had retired before taking his final departure from the locality was visible as a white spot on the opposite hill, backed by blue firs.	true	407.39	416.17	17
1460_138289_000054_000004	Bathsheba walked up and down.	Bathsheba walked up and down.	true	417.05	419.055	23.809538
1460_138289_000054_000005	The men entered the field and endeavoured to ease the anguish of the dumb creatures by rubbing them.	The men entered the field and endeavoured to ease the anguish of the dumb creatures by rubbing them.	true	419.055	423.765	15
1460_138289_000054_000006	Nothing availed.	Nothing availed.	true	423.765	425.11	21.973936
1460_138289_000055_000000	Bathsheba continued walking.	Bathsheba continued walking.	true	425.66	427.45	24.655773
1460_138289_000055_000001	The horse was seen descending the hill, and the wearisome series had to be repeated in reverse order: Whitepits, Springmead, Cappel's Piece, The Flats, Middle Field, Sheeplands, Sixteen Acres.	The horse was seen descending the hill, and the wearisome series had to be repeated in reverse order: Whitepits, Springmead, Cappel's Piece, The Flats, Middle Field, Sheeplands, Sixteen Acres.	true	427.82	440.08	21
1460_138289_000055_000002	She hoped Tall had had presence of mind enough to give the mare up to Gabriel, and return himself on foot. The rider neared them.	She hoped Tall had had presence of mind enough to give the mare up to Gabriel, and return himself on foot. The rider neared them.	false	440.18	446.775	21
1460_138289_000055_000003	It was Tall.	It was Tall.	true	446.775	447.73	22.157413
1460_138289_000056_000000	"Oh, what folly!" said Bathsheba.	"Oh, what folly!" said Bathsheba.	true	447.92	450.075	22
1460_138289_000057_000000	Gabriel was not visible anywhere.	Gabriel was not visible anywhere.	true	450.075	451.96	20
1460_138289_000058_000000	"Perhaps he is already gone!" she said.	"Perhaps he is already gone!" she said.	true	452.06	454.24	18.657185
1460_138289_000059_000000	Tall came into the inclosure, and leapt off, his face tragic as Morton's after the battle of Shrewsbury.	Tall came into the inclosure, and leapt off, his face tragic as Morton's after the battle of Shrewsbury.	true	454.67	460.18	17
1460_138289_000060_000000	"Well?" said Bathsheba, unwilling to believe that her verbal _lettre-de-cachet_ could possibly have miscarried.	"Well?" said Bathsheba, unwilling to believe that her verbal underscore lettre de cachet underscore could possibly have miscarried.	false	460.61	467.295	20
1460_138289_000061_000000	"He says BEGGARS MUSTN'T BE CHOOSERS," replied Laban.	"He says BEGGARS MUSTN'T BE CHOOSERS," replied Laban.	true	467.295	470.11	20
1460_138289_000062_000000	"What!" said the young farmer, opening her eyes and drawing in her breath for an outburst.	"What!" said the young farmer, opening her eyes and drawing in her breath for an outburst.	true	470.3	475.12	20
1460_138289_000062_000001	Joseph Poorgrass retired a few steps behind a hurdle.	Joseph Poorgrass retired a few steps behind a hurdle.	true	475.37	478.51	23
1460_138289_000063_000000	"He says he shall not come onless you request en to come civilly and in a proper manner, as becomes any 'ooman begging a favour."	"He says he shall not come onless you request en to come civilly and in a proper manner, as becomes any 'ooman begging a favour."	false	478.91	487.39	15
1460_138289_000064_000000	"Oh, oh, that's his answer!	"Oh, oh, that's his answer!	true	487.79	489.82	21
1460_138289_000064_000001	Where does he get his airs?	Where does he get his airs?	true	489.83	491.535	19
1460_138289_000064_000002	Who am I, then, to be treated like that?	Who am I, then, to be treated like that?	true	491.535	493.69	20
1460_138289_000064_000003	Shall I beg to a man who has begged to me?"	Shall I beg to a man who has begged to me?"	true	493.76	496.3	19
1460_138289_000065_000000	Another of the flock sprang into the air, and fell dead.	Another of the flock sprang into the air, and fell dead.	true	496.79	499.87	19
1460_138289_000066_000000	The men looked grave, as if they suppressed opinion.	The men looked grave, as if they suppressed opinion.	true	500.09	502.9	21.522936
1460_138289_000067_000000	Bathsheba turned aside, her eyes full of tears.	Bathsheba turned aside, her eyes full of tears.	true	503.42	506.2	17
1460_138289_000067_000001	The strait she was in through pride and shrewishness could not be disguised longer: she burst out crying bitterly; they all saw it; and she attempted no further concealment.	The strait she was in through pride and shrewishness could not be disguised longer: she burst out crying bitterly; they all saw it; and she attempted no further concealment.	true	506.57	518.175	22.418346
1460_138289_000068_000000	"I wouldn't cry about it, miss," said William Smallbury, compassionately.	"I wouldn't cry about it, miss," said William Smallbury, compassionately.	false	518.175	522.16	21
1460_138289_000068_000001	"Why not ask him softer like?	"Why not ask him softer like?	true	522.29	524.31	23.056566
1460_138289_000068_000002	I'm sure he'd come then.	I'm sure he'd come then.	true	524.31	525.67	16
1460_138289_000068_000003	Gable is a true man in that way."	Gable is a true man in that way."	true	525.68	527.68	20
1460_138289_000069_000000	Bathsheba checked her grief and wiped her eyes.	Bathsheba checked her grief and wiped her eyes.	true	528.23	530.74	19.433907
1460_138289_000069_000001	"Oh, it is a wicked cruelty to me--it is--it is!" she murmured.	"Oh, it is a wicked cruelty to me-it is-it is!" she murmured.	true	530.87	534.78	17
1460_138289_000069_000002	"And he drives me to do what I wouldn't; yes, he does!--Tall, come indoors."	"And he drives me to do what I wouldn't; yes, he does!--Tall, come indoors."	true	534.78	539.56	23.324326
1460_138289_000070_000000	After this collapse, not very dignified for the head of an establishment, she went into the house, Tall at her heels.	After this collapse, not very dignified for the head of an establishment, she went into the house, Tall at her heels.	true	540.08	546.64	17
1460_138289_000070_000001	Here she sat down and hastily scribbled a note between the small convulsive sobs of convalescence which follow a fit of crying as a ground-swell follows a storm.	Here she sat down and hastily scribbled a note between the small convulsive sobs of convalescence which follow a fit of crying as a ground swell follows a storm.	true	546.86	555.94	16
1460_138289_000070_000002	The note was none the less polite for being written in a hurry.	The note was none the less polite for being written in a hurry.	true	556.43	559.54	18
1460_138289_000070_000003	She held it at a distance, was about to fold it, then added these words at the bottom:--	She held it at a distance, was about to fold it, then added these words at the bottom:--	false	559.55	564.3	22.710032
1460_138289_000071_000000	"DO NOT DESERT ME, GABRIEL!"	"DO NOT DESERT ME, GABRIEL!"	true	564.3	566.08	26.198467
1460_138289_000072_000000	She looked a little redder in refolding it, and closed her lips, as if thereby to suspend till too late the action of conscience in examining whether such strategy were justifiable.	She looked a little redder in refolding it, and closed her lips, as if thereby to suspend till too late the action of conscience in examining whether such strategy were justifiable.	true	566.57	575.86	16
1460_138289_000072_000001	The note was despatched as the message had been, and Bathsheba waited indoors for the result.	The note was despatched as the message had been, and Bathsheba waited indoors for the result.	true	575.99	581.05	20
1460_138289_000073_000000	It was an anxious quarter of an hour that intervened between the messenger's departure and the sound of the horse's tramp again outside.	It was an anxious quarter of an hour that intervened between the messenger's departure and the sound of the horse's tramp again outside.	true	581.45	588.07	14
1460_138289_000073_000001	She could not watch this time, but, leaning over the old bureau at which she had written the letter, closed her eyes, as if to keep out both hope and fear.	She could not watch this time, but, leaning over the old bureau at which she had written the letter, closed her eyes, as if to keep out both hope and fear.	true	588.59	596.17	17
1460_138289_000074_000000	The case, however, was a promising one.	The case, however, was a promising one.	true	596.81	599.085	18
1460_138289_000074_000001	Gabriel was not angry: he was simply neutral, although her first command had been so haughty. Such imperiousness would have damned a little less beauty; and on the other hand, such beauty would have redeemed a little less imperiousness.	Gabriel was not angry: he was simply neutral, although her first command had been so haughty. Such imperiousness would have damned a little less beauty; and on the other hand, such beauty would have redeemed a little less imperiousness.	true	599.085	612.82	17
1460_138289_000075_000000	She went out when the horse was heard, and looked up.	She went out when the horse was heard, and looked up.	true	613.55	616.15	20.97319
1460_138289_000075_000001	A mounted figure passed between her and the sky, and drew on towards the field of sheep, the rider turning his face in receding.	A mounted figure passed between her and the sky, and drew on towards the field of sheep, the rider turning his face in receding.	false	616.25	623.11	18
1460_138289_000075_000002	Gabriel looked at her.	Gabriel looked at her.	true	623.21	624.55	23.385664
1460_138289_000075_000003	It was a moment when a woman's eyes and tongue tell distinctly opposite tales.	It was a moment when a woman's eyes and tongue tell distinctly opposite tales.	true	624.98	629.17	15
1460_138289_000075_000004	Bathsheba looked full of gratitude, and she said:--	Bathsheba looked full of gratitude, and she said:--	true	629.57	632.025	18
1460_138289_000076_000000	"Oh, Gabriel, how could you serve me so unkindly!"	"Oh, Gabriel, how could you serve me so unkindly!"	true	632.025	635.2	14
1460_138289_000077_000000	Such a tenderly-shaped reproach for his previous delay was the one speech in the language that he could pardon for not being commendation of his readiness now.	Such a tenderly shaped reproach for his previous delay was the one speech in the language that he could pardon for not being commendation of his readiness now.	false	635.75	644.68	14
1460_138289_000078_000000	Gabriel murmured a confused reply, and hastened on.	Gabriel murmured a confused reply, and hastened on.	true	645.71	649	17
1460_138289_000078_000001	She knew from the look which sentence in her note had brought him.	She knew from the look which sentence in her note had brought him.	true	649.52	652.87	20
1460_138289_000078_000002	Bathsheba followed to the field.	Bathsheba followed to the field.	true	653.03	655.09	22.98338
1460_138289_000079_000000	Gabriel was already among the turgid, prostrate forms.	Gabriel was already among the turgid, prostrate forms.	true	655.52	659.02	20
1460_138289_000079_000001	He had flung off his coat, rolled up his shirt-sleeves, and taken from his pocket the instrument of salvation.	He had flung off his coat, rolled up his shirt sleeves, and taken from his pocket the instrument of salvation.	true	659.09	664.81	19
1460_138289_000079_000002	It was a small tube or trochar, with a lance passing down the inside; and Gabriel began to use it with a dexterity that would have graced a hospital surgeon.	It was a small tube or trochar, with a lance passing down the inside; and Gabriel began to use it with a dexterity that would have graced a hospital surgeon.	true	665.48	674.29	19
1460_138289_000079_000003	Passing his hand over the sheep's left flank, and selecting the proper point, he punctured the skin and rumen with the lance as it stood in the tube; then he suddenly withdrew the lance, retaining the tube in its place. A current of air rushed up the tube, forcible enough to have extinguished a candle held at the orifice.	Passing his hand over the sheep's left flank, and selecting the proper point, he punctured the skin and rumen with the lance as it stood in the tube; then he suddenly withdrew the lance, retaining the tube in its place. A current of air rushed up the tube, forcible enough to have extinguished a candle held at the orifice.	false	675.38	692.26	18
1460_138289_000080_000000	It has been said that mere ease after torment is delight for a time; and the countenances of these poor creatures expressed it now. Forty-nine operations were successfully performed.	It has been said that mere ease after torment is delight for a time; and the countenances of these poor creatures expressed it now. Forty nine operations were successfully performed.	true	693.59	704.64	23
1460_138289_000080_000001	Owing to the great hurry necessitated by the far-gone state of some of the flock, Gabriel missed his aim in one case, and in one only--striking wide of the mark, and inflicting a mortal blow at once upon the suffering ewe.	Owing to the great hurry necessitated by the far gone state of some of the flock, Gabriel missed his aim in one case, and in one only-striking wide of the mark, and inflicting a mortal blow at once upon the suffering ewe.	false	704.64	717.34	18
1460_138289_000080_000002	Four had died; three recovered without an operation.	Four had died; three recovered without an operation.	true	717.77	721.24	21.0815
1460_138289_000080_000003	The total number of sheep which had thus strayed and injured themselves so dangerously was fifty-seven.	The total number of sheep which had thus strayed and injured themselves so dangerously was fifty seven.	true	721.46	726.7	15
1460_138289_000081_000000	When the love-led man had ceased from his labours, Bathsheba came and looked him in the face.	When the love led man had ceased from his labours, Bathsheba came and looked him in the face.	true	727.4	732.25	16
1460_138289_000082_000000	"Gabriel, will you stay on with me?" she said, smiling winningly, and not troubling to bring her lips quite together again at the end, because there was going to be another smile soon.	"Gabriel, will you stay on with me?" she said, smiling winningly, and not troubling to bring her lips quite together again at the end, because there was going to be another smile soon.	true	732.53	742.42	20
1460_138289_000083_000000	"I will," said Gabriel.	"I will," said Gabriel.	true	742.55	743.98	19.732445
1460_138289_000084_000000	And she smiled on him again.	And she smiled on him again.	false	744.08	747.84	21.513475
1460_138289_000085_000000	CHAPTER XXII	CHAPTER twenty two	false	747.84	749.37	21.51129
1460_138289_000086_000000	THE GREAT BARN AND THE SHEEP-SHEARERS	THE GREAT BARN AND THE SHEEP SHEARERS	false	749.37	755.64	22.32658
