3274_163518_000000_000000	THE MASTER THIEF	THE MASTER THIEF
3274_163518_000033_000002	When the man heard that, you can't think how glad he was, for it seemed to him that he knew the voice of his big bullock, and he thought that now he should find both of them again; so he tied up the third ox, and ran off from the road to look for them in the wood; but meantime the youth went off with the third ox.	When the man heard that, you can't think how glad he was, for it seemed to him that he knew the voice of his big bullock, and he thought that now he should find both of them again; so he tied up the third ox, and ran off from the road to look for them in the wood; but meantime the youth went off with the third ox.
3274_163518_000033_000003	Now, when the man came back and found he had lost this ox too, he was so wild that there was no end to his grief.	Now, when the man came back and found he had lost this ox too, he was so wild that there was no end to his grief.
3274_163518_000033_000004	He cried and roared and beat his breast, and, to tell the truth, it was many days before he dared go home; for he was afraid lest his old dame should kill him outright on the spot.	He cried and roared and beat his breast, and, to tell the truth, it was many days before he dared go home; for he was afraid lest his old dame should kill him outright on the spot.
3274_163518_000034_000000	As for the robbers, they were not very well pleased either, when they had to own that the youth was master over the whole band.	As for the robbers, they were not very well pleased either, when they had to own that the youth was master over the whole band.
3274_163518_000035_000001	So he drove up to the door as if he were any other great man.	So he drove up to the door as if he were any other great man.
3274_163518_000035_000002	After that he went in and asked if he could have a lodging?	After that he went in and asked if he could have a lodging?
3274_163518_000037_000000	'You always were a stingy old hunks', said the youth, 'and so you are still, when you won't take your own son in.'	'You always were a stingy old hunks', said the youth, 'and so you are still, when you won't take your own son in.'
3274_163518_000038_000000	'What, you my son!' said the man.	'What, you my son!' said the man.
3274_163518_000039_000000	'Don't you know me again?' said the youth.	'Don't you know me again?' said the youth.
3274_163518_000039_000001	Well, after a little while he did know him again.	Well, after a little while he did know him again.
3274_163518_000041_000000	'Oh!	'Oh!
3274_163518_000041_000001	I'll soon tell you', said the youth.	I'll soon tell you', said the youth.
3274_163518_000041_000002	'You said I might take to any trade I chose, and so I bound myself apprentice to a pack of thieves and robbers, and now I've served my time out, and am become a Master Thief.'	'You said I might take to any trade I chose, and so I bound myself apprentice to a pack of thieves and robbers, and now I've served my time out, and am become a Master Thief.'
3274_163518_000042_000000	Now there lived a Squire close by to his father's cottage, and he had such a great house, and such heaps of money, he could not tell how much he had.	Now there lived a Squire close by to his father's cottage, and he had such a great house, and such heaps of money, he could not tell how much he had.
3274_163518_000042_000001	He had a daughter too, and a smart and pretty girl she was.	He had a daughter too, and a smart and pretty girl she was.
3274_163518_000043_000000	'If he asks by what trade I get my living, you can say I'm a Master Thief.'	'If he asks by what trade I get my living, you can say I'm a Master Thief.'
3274_163518_000044_000000	'I think you've lost your wits', said the man, 'for you can't be in your right mind when you think of such stuff.'	'I think you've lost your wits', said the man, 'for you can't be in your right mind when you think of such stuff.'
3274_163518_000045_000000	No! he had not lost his wits, his father must and should go to the Squire, and ask for his daughter.	No! he had not lost his wits, his father must and should go to the Squire, and ask for his daughter.
3274_163518_000047_000000	Yes, there was no help for it, said the Master Thief; he should go whether he would or no; and if he did not go by fair means, he would soon make him go by foul.	Yes, there was no help for it, said the Master Thief; he should go whether he would or no; and if he did not go by fair means, he would soon make him go by foul.
3274_163518_000047_000001	But the man was still loath to go; so he stepped after him, and rubbed him down with a good birch cudgel, and kept on till the man came crying and sobbing inside the Squire's door.	But the man was still loath to go; so he stepped after him, and rubbed him down with a good birch cudgel, and kept on till the man came crying and sobbing inside the Squire's door.
3274_163518_000048_000000	'How now, my man! what ails you?' said the Squire.	'How now, my man! what ails you?' said the Squire.
3274_163518_000048_000001	So he told him the whole story; how he had three sons who set off one day, and how he had given them leave to go whithersoever they would, and to follow whatever calling they chose.	So he told him the whole story; how he had three sons who set off one day, and how he had given them leave to go whithersoever they would, and to follow whatever calling they chose.
3274_163518_000048_000002	'And here now is the youngest come home, and has thrashed me till he has made me come to you and ask for your daughter for him to wife; and he bids me say, besides, that he's a Master Thief.' And so he fell to crying and sobbing again.	'And here now is the youngest come home, and has thrashed me till he has made me come to you and ask for your daughter for him to wife; and he bids me say, besides, that he's a Master Thief.' And so he fell to crying and sobbing again.
3274_163518_000049_000000	'Never mind, my man', said the Squire, laughing; 'just go back and tell him from me, he must prove his skill first.	'Never mind, my man', said the Squire, laughing; 'just go back and tell him from me, he must prove his skill first.
3274_163518_000049_000002	Just go and tell him that.'	Just go and tell him that.'
3274_163518_000050_000000	So he went back and told the youth, who thought it would be an easy job.	So he went back and told the youth, who thought it would be an easy job.
3274_163518_000050_000001	So he set about and caught three hares alive, and put them into a bag, and dressed himself in some old rags, until he looked so poor and filthy that it made one's heart bleed to see; and then he stole into the passage at the back-door of the Squire's house on the Sunday forenoon, with his bag, just like any other beggar-boy.	So he set about and caught three hares alive, and put them into a bag, and dressed himself in some old rags, until he looked so poor and filthy that it made one's heart bleed to see; and then he stole into the passage at the back door of the Squire's house on the Sunday forenoon, with his bag, just like any other beggar boy.
3274_163518_000050_000002	But the Squire himself and all his household were in the kitchen watching the roast.	But the Squire himself and all his household were in the kitchen watching the roast.
3274_163518_000051_000000	'Oh, just look at that hare!' said the folk in the kitchen, and were all for running out to catch it.	'Oh, just look at that hare!' said the folk in the kitchen, and were all for running out to catch it.
3274_163518_000052_000000	Yes, the Squire saw it running too.	Yes, the Squire saw it running too.
3274_163518_000052_000001	'Oh, let it run', said he; 'there's no use in thinking to catch a hare on the spring.'	'Oh, let it run', said he; 'there's no use in thinking to catch a hare on the spring.'
3274_163518_000053_000000	A little while after, the youth let the second hare go, and they saw it in the kitchen, and thought it was the same they had seen before, and still wanted to run out and catch it; but the Squire said again it was no use.	A little while after, the youth let the second hare go, and they saw it in the kitchen, and thought it was the same they had seen before, and still wanted to run out and catch it; but the Squire said again it was no use.
3274_163518_000053_000002	Now, they saw it from the kitchen, and still thought it was the same hare that kept on running about, and were all eager to be out after it.	Now, they saw it from the kitchen, and still thought it was the same hare that kept on running about, and were all eager to be out after it.
3274_163518_000054_000000	'Well, it is a fine hare', said the Squire; 'come let's see if we can't lay our hands on it.'	'Well, it is a fine hare', said the Squire; 'come let's see if we can't lay our hands on it.'
3274_163518_000055_000000	So out he ran, and the rest with him--away they all went, the hare before, and they after; so that it was rare fun to see.	So out he ran, and the rest with him-away they all went, the hare before, and they after; so that it was rare fun to see.
3274_163518_000055_000001	But meantime the youth took the roast and ran off with it; and where the Squire got a roast for his dinner that day I don't know; but one thing I know, and that is, that he had no roast hare, though he ran after it till he was both warm and weary.	But meantime the youth took the roast and ran off with it; and where the Squire got a roast for his dinner that day I don't know; but one thing I know, and that is, that he had no roast hare, though he ran after it till he was both warm and weary.
3274_163518_000058_000000	'Very well--only keep a sharp look-out', said the Squire; 'maybe he'll come to see you before you know a word of it.' But the Priest stuck to his text--that he did, and made game of the Squire because he had been so taken in.	'Very well-only keep a sharp look out', said the Squire; 'maybe he'll come to see you before you know a word of it.' But the Priest stuck to his text-that he did, and made game of the Squire because he had been so taken in.
3274_163518_000059_000000	Later in the afternoon came the Master Thief, and wanted to have the Squire's daughter, as he had given his word.	Later in the afternoon came the Master Thief, and wanted to have the Squire's daughter, as he had given his word.
3274_163518_000059_000001	But the Squire began to talk him over, and said, 'Oh, you must first prove your skill a little more; for what you did to-day was no great thing, after all. Couldn't you now play off a good trick on the Priest, who is sitting in there, and making game of me for letting such a fellow as you twist me round his thumb.'	But the Squire began to talk him over, and said, 'Oh, you must first prove your skill a little more; for what you did to day was no great thing, after all. Couldn't you now play off a good trick on the Priest, who is sitting in there, and making game of me for letting such a fellow as you twist me round his thumb.'
3274_163518_000060_000000	'Well, as for that, it wouldn't be hard', said the Master Thief.	'Well, as for that, it wouldn't be hard', said the Master Thief.
3274_163518_000060_000002	And when the Priest came home in the evening, the youth began to bawl out:	And when the Priest came home in the evening, the youth began to bawl out:
3274_163518_000061_000000	'Father Laurence!	'Father Laurence!
3274_163518_000061_000001	Father Laurence!'--for that was the Priest's name.	Father Laurence!'--for that was the Priest's name.
3274_163518_000062_000000	'Who is that calling me?' said the Priest.	'Who is that calling me?' said the Priest.
3274_163518_000063_000000	'I am an angel', said the Master Thief, 'sent from God to let you know that you shall be taken up alive into heaven for your piety's sake.	'I am an angel', said the Master Thief, 'sent from God to let you know that you shall be taken up alive into heaven for your piety's sake.
3274_163518_000063_000001	Next Monday night you must hold yourself ready for the journey, for I shall come then to fetch you in a sack; and all your gold and your silver, and all that you have of this world's goods, you must lay together in a heap in your dining-room.'	Next Monday night you must hold yourself ready for the journey, for I shall come then to fetch you in a sack; and all your gold and your silver, and all that you have of this world's goods, you must lay together in a heap in your dining room.'
3274_163518_000067_000000	'This is the narrow way which leadeth unto the kingdom of heaven', said the Master Thief, who went on dragging him along till he had nearly broken every bone in his body.	'This is the narrow way which leadeth unto the kingdom of heaven', said the Master Thief, who went on dragging him along till he had nearly broken every bone in his body.
3274_163518_000067_000001	At last he tumbled him into a goose-house that belonged to the Squire, and the geese began pecking and pinching him with their bills, so that he was more dead than alive.	At last he tumbled him into a goose house that belonged to the Squire, and the geese began pecking and pinching him with their bills, so that he was more dead than alive.
3274_163518_000068_000000	'Now you are in the flames of purgatory, to be cleansed and purified for life everlasting', said the Master Thief; and with that he went his way, and took all the gold which the Priest had laid together in his dining-room.	'Now you are in the flames of purgatory, to be cleansed and purified for life everlasting', said the Master Thief; and with that he went his way, and took all the gold which the Priest had laid together in his dining room.
3274_163518_000068_000001	The next morning, when the goose-girl came to let the geese out, she heard how the Priest lay in the sack, and bemoaned himself in the goose-house.	The next morning, when the goose girl came to let the geese out, she heard how the Priest lay in the sack, and bemoaned himself in the goose house.
3274_163518_000070_000000	'Oh!' said the Priest, 'if you are an angel from heaven, do let me out, and let me return again to earth, for it is worse here than in hell.	'Oh!' said the Priest, 'if you are an angel from heaven, do let me out, and let me return again to earth, for it is worse here than in hell.
3274_163518_000070_000001	The little fiends keep on pinching me with tongs.'	The little fiends keep on pinching me with tongs.'
3274_163518_000072_000000	'Oh!' groaned the Priest, 'this is all that Master Thief's doing.	'Oh!' groaned the Priest, 'this is all that Master Thief's doing.
3274_163518_000072_000001	Ah! my gold and my silver, and my fine clothes.' And he beat his breast, and hobbled home at such a rate that the girl thought he had lost his wits all at once.	Ah! my gold and my silver, and my fine clothes.' And he beat his breast, and hobbled home at such a rate that the girl thought he had lost his wits all at once.
3274_163518_000074_000000	'You must do one masterpiece better still, that I may see plainly what you are fit for.	'You must do one masterpiece better still, that I may see plainly what you are fit for.
3274_163518_000074_000001	Now, I have twelve horses in my stable, and on them I will put twelve grooms, one on each.	Now, I have twelve horses in my stable, and on them I will put twelve grooms, one on each.
3274_163518_000075_000000	'Very well, I daresay I can do it', said the Master Thief; 'but shall I really have your daughter if I can?'	'Very well, I daresay I can do it', said the Master Thief; 'but shall I really have your daughter if I can?'
3274_163518_000076_000000	'Yes, if you can, I'll do my best for you', said the Squire.	'Yes, if you can, I'll do my best for you', said the Squire.
3274_163518_000076_000001	So the Master Thief set off to a shop, and bought brandy enough to fill two pocket-flasks, and into one of them he put a sleepy drink, but into the other only brandy.	So the Master Thief set off to a shop, and bought brandy enough to fill two pocket flasks, and into one of them he put a sleepy drink, but into the other only brandy.
3274_163518_000076_000002	After that he hired eleven men to lie in wait at night, behind the Squire's stable-yard; and last of all, for fair words and a good bit of money, he borrowed a ragged gown and cloak from an old woman; and so, with a staff in his hand, and a bundle at his back, he limped off, as evening drew on, towards the Squire's stable.	After that he hired eleven men to lie in wait at night, behind the Squire's stable yard; and last of all, for fair words and a good bit of money, he borrowed a ragged gown and cloak from an old woman; and so, with a staff in his hand, and a bundle at his back, he limped off, as evening drew on, towards the Squire's stable.
3274_163518_000076_000003	Just as he got there they were watering the horses for the night, and had their hands full of work.	Just as he got there they were watering the horses for the night, and had their hands full of work.
3274_163518_000076_000004	'What the devil do you want?' said one of the grooms to the old woman.	'What the devil do you want?' said one of the grooms to the old woman.
3274_163518_000079_000000	'To the devil with your leave', said one.	'To the devil with your leave', said one.
3274_163518_000080_000000	'Oh! the poor old bag-of-bones', said another, whose heart took pity on her, 'the old hag may sit inside and welcome; such a one as she can do no harm.'	'Oh! the poor old bag of bones', said another, whose heart took pity on her, 'the old hag may sit inside and welcome; such a one as she can do no harm.'
3274_163518_000082_000000	As the night wore on, the men found it rather cold work to sit so still and quiet on horseback.	As the night wore on, the men found it rather cold work to sit so still and quiet on horseback.
3274_163518_000084_000000	'That it is', said another; 'I freeze so, that my teeth chatter.'	'That it is', said another; 'I freeze so, that my teeth chatter.'
3274_163518_000088_000001	Then she pulled out the flask with brandy in it, and her hand shook so that the spirit splashed about in the flask, and then she took such a gulp, that it went 'bop' in her throat.	Then she pulled out the flask with brandy in it, and her hand shook so that the spirit splashed about in the flask, and then she took such a gulp, that it went 'bop' in her throat.
3274_163518_000089_000000	'What's that you've got in your flask, old girl?' said one of the grooms.	'What's that you've got in your flask, old girl?' said one of the grooms.
3274_163518_000091_000002	Do let me have a drop', screamed the whole twelve, one after another.	Do let me have a drop', screamed the whole twelve, one after another.
3274_163518_000092_000001	Then the Master Thief threw off his beggar's rags, and took one groom after the other so softly off their horses, and set them astride on the beams between the stalls; and so he called his eleven men, and rode off with the Squire's twelve horses.	Then the Master Thief threw off his beggar's rags, and took one groom after the other so softly off their horses, and set them astride on the beams between the stalls; and so he called his eleven men, and rode off with the Squire's twelve horses.
3274_163518_000092_000002	But when the Squire got up in the morning, and went to look after his grooms, they had just begun to come to; and some of them fell to spurring the beams with their spurs, till the splinters flew again, and some fell off, and some still hung on and sat there looking like fools.	But when the Squire got up in the morning, and went to look after his grooms, they had just begun to come to; and some of them fell to spurring the beams with their spurs, till the splinters flew again, and some fell off, and some still hung on and sat there looking like fools.
3274_163518_000093_000000	'Ho! ho!' said the Squire; 'I see very well who has been here; but as for you, a pretty set of blockheads you must be to sit here and let the Master Thief steal the horses from between your legs.'	'Ho! ho!' said the Squire; 'I see very well who has been here; but as for you, a pretty set of blockheads you must be to sit here and let the Master Thief steal the horses from between your legs.'
3274_163518_000094_000000	So they all got a good leathering because they had not kept a sharper look-out.	So they all got a good leathering because they had not kept a sharper look out.
3274_163518_000095_000000	Further on in the day came the Master Thief again, and told how he had managed the matter, and asked for the Squire's daughter, as he had promised; but the Squire gave him one hundred dollars down, and said he must do something better still.	Further on in the day came the Master Thief again, and told how he had managed the matter, and asked for the Squire's daughter, as he had promised; but the Squire gave him one hundred dollars down, and said he must do something better still.
3274_163518_000096_000001	I daresay I could', said the Master Thief, 'if I were really sure of getting your daughter.'	I daresay I could', said the Master Thief, 'if I were really sure of getting your daughter.'
3274_163518_000097_000000	Well, well, the Squire would see what he could do; and he told the Master Thief a day when he would be taking a ride on a great common where they drilled the troops.	Well, well, the Squire would see what he could do; and he told the Master Thief a day when he would be taking a ride on a great common where they drilled the troops.
3274_163518_000097_000001	So the Master Thief soon got hold of an old worn-out jade of a mare, and set to work, and made traces and collar of withies and broom-twigs, and bought an old beggarly cart and a great cask.	So the Master Thief soon got hold of an old worn out jade of a mare, and set to work, and made traces and collar of withies and broom twigs, and bought an old beggarly cart and a great cask.
3274_163518_000097_000003	No harm should happen to her; she should only be driven about a little; and if he took his finger out more than once, she was to have ten dollars more.	No harm should happen to her; she should only be driven about a little; and if he took his finger out more than once, she was to have ten dollars more.
3274_163518_000097_000004	Then he threw a few rags and tatters over himself, and stuffed himself out, and put on a wig and a great beard of goat's hair, so that no one could know him again, and set off for the common, where the Squire had already been riding about a good bit.	Then he threw a few rags and tatters over himself, and stuffed himself out, and put on a wig and a great beard of goat's hair, so that no one could know him again, and set off for the common, where the Squire had already been riding about a good bit.
3274_163518_000098_000000	At last the Squire rode right up to him, and asked if he had seen any one lurking about in the wood thereabouts.	At last the Squire rode right up to him, and asked if he had seen any one lurking about in the wood thereabouts.
3274_163518_000098_000001	'No', said the man, 'I haven't seen a soul.'	'No', said the man, 'I haven't seen a soul.'
3274_163518_000099_000000	'Harkye, now', said the Squire, 'if you have a mind to ride into the wood, and hunt about and see if you can fall upon any one lurking about there, you shall have the loan of my horse, and a shilling into the bargain, to drink my health, for your pains.'	'Harkye, now', said the Squire, 'if you have a mind to ride into the wood, and hunt about and see if you can fall upon any one lurking about there, you shall have the loan of my horse, and a shilling into the bargain, to drink my health, for your pains.'
3274_163518_000101_000000	'Ride off', said the Squire; 'I'll look after your horse and cask.'	'Ride off', said the Squire; 'I'll look after your horse and cask.'
3274_163518_000102_000001	At last the Squire grew weary of standing there with his finger in the taphole, so he took it out.	At last the Squire grew weary of standing there with his finger in the taphole, so he took it out.
3274_163518_000103_000001	The day after, he came to the Squire and would have his daughter, as he had given his word; but the Squire put him off again with fine words, and gave him two hundred dollars, and said he must do one more masterpiece.	The day after, he came to the Squire and would have his daughter, as he had given his word; but the Squire put him off again with fine words, and gave him two hundred dollars, and said he must do one more masterpiece.
3274_163518_000103_000002	If he could do that, he should have her.	If he could do that, he should have her.
3274_163518_000104_000000	'Do you think, now', said the Squire, 'you can steal the sheet off our bed, and the shift off my wife's back.	'Do you think, now', said the Squire, 'you can steal the sheet off our bed, and the shift off my wife's back.
3274_163518_000104_000001	Do you think you could do that?'	Do you think you could do that?'
3274_163518_000105_000000	'It shall be done', said the Master Thief. 'I only wish I was as sure of getting your daughter.'	'It shall be done', said the Master Thief. 'I only wish I was as sure of getting your daughter.'
3274_163518_000106_000000	So when night began to fall, the Master Thief went out and cut down a thief who hung on the gallows, and threw him across his shoulders, and carried him off.	So when night began to fall, the Master Thief went out and cut down a thief who hung on the gallows, and threw him across his shoulders, and carried him off.
3274_163518_000106_000001	Then he got a long ladder and set it up against the Squire's bedroom window, and so climbed up, and kept bobbing the dead man up and down, just for all the world like one that was peeping in at the window.	Then he got a long ladder and set it up against the Squire's bedroom window, and so climbed up, and kept bobbing the dead man up and down, just for all the world like one that was peeping in at the window.
3274_163518_000107_000000	'That's the Master Thief, old lass!' said the Squire, and gave his wife a nudge on the side.	'That's the Master Thief, old lass!' said the Squire, and gave his wife a nudge on the side.
3274_163518_000107_000001	'Now see if I don't shoot him, that's all.'	'Now see if I don't shoot him, that's all.'
3274_163518_000108_000000	So saying he took up a rifle which he had laid at his bedside.	So saying he took up a rifle which he had laid at his bedside.
3274_163518_000109_000000	'No! no! pray don't shoot him after telling him he might come and try', said his wife.	'No! no! pray don't shoot him after telling him he might come and try', said his wife.
3274_163518_000111_000000	'Well', said the Squire, 'it is quite true that I am the chief magistrate in these parts; but people are fond of talking, and it would be a bore if they came to see this dead man's body.	'Well', said the Squire, 'it is quite true that I am the chief magistrate in these parts; but people are fond of talking, and it would be a bore if they came to see this dead man's body.
3274_163518_000112_000000	'You must do as you think best, dear', said his wife.	'You must do as you think best, dear', said his wife.
3274_163518_000113_000000	'Why, dear, back already!' said she, for she thought it was her husband.	'Why, dear, back already!' said she, for she thought it was her husband.
3274_163518_000114_000000	'O yes, I only just put him into a hole, and threw a little earth over him.	'O yes, I only just put him into a hole, and threw a little earth over him.
3274_163518_000114_000002	But just let me have the sheet to wipe myself with--he was so bloody--and I have made myself in such a mess with him.'	But just let me have the sheet to wipe myself with-he was so bloody-and I have made myself in such a mess with him.'
3274_163518_000115_000000	So he got the sheet.	So he got the sheet.
3274_163518_000116_000000	After a while he said:	After a while he said:
3274_163518_000117_000000	'Do you know I am afraid you must let me have your nightshift too, for the sheet won't do by itself; that I can see.'	'Do you know I am afraid you must let me have your nightshift too, for the sheet won't do by itself; that I can see.'
