3274_163518_000000_000000	THE MASTER THIEF	THE MASTER THIEF	true	24.57	25.99	22.890324
3274_163518_000016_000000	Then the robbers began to talk among themselves what they should do with him; if they should kill him outright, or what else they should do.	Then the robbers began to talk among themselves what they should do with him; if they should kill him outright, or what else they should do.	true	171.02	177.34	21.68511
3274_163518_000016_000001	Meantime the youth got up and began to talk to them, and to ask if they didn't want a servant, for it might be that he would be glad to enter their service.	Meantime the youth got up and began to talk to them, and to ask if they didn't want a servant, for it might be that he would be glad to enter their service.	true	177.38	184.66	20.603666
3274_163518_000017_000000	'Oh', said they, 'if you have a mind to follow the trade that we follow, you can very well get a place here.'	'Oh', said they, 'if you have a mind to follow the trade that we follow, you can very well get a place here.'	false	185.27	191.77	22.588295
3274_163518_000018_000000	'It's all one to me what trade I follow', said the youth; 'for when I left home, father gave me leave to take to any trade I chose.'	'It's all one to me what trade I follow', said the youth; 'for when I left home, father gave me leave to take to any trade I chose.'	true	192.95	199.27	21.763348
3274_163518_000019_000000	'Well, have you a mind to steal?' asked the robbers.	'Well, have you a mind to steal?' asked the robbers.	true	199.61	202.99	19.243244
3274_163518_000020_000000	'I don't care', said the youth, for he thought it would not take long to learn that trade.	'I don't care', said the youth, for he thought it would not take long to learn that trade.	true	203.27	207.39	27.910927
3274_163518_000021_000000	Now there lived a man a little way off who had three oxen.	Now there lived a man a little way off who had three oxen.	true	207.39	210.19	24.13635
3274_163518_000021_000001	One of these he was to take to the town to sell, and the robbers had heard what he was going to do, so they said to the youth, if he were good to steal the ox from the man by the way without his knowing it, and without doing him any harm, they would give him leave to be their serving-man.	One of these he was to take to the town to sell, and the robbers had heard what he was going to do, so they said to the youth, if he were good to steal the ox from the man by the way without his knowing it, and without doing him any harm, they would give him leave to be their serving man.	false	210.26	223.78	21.483177
3274_163518_000022_000000	Well! the youth set off, and took with him a pretty shoe, with a silver buckle on it, which lay about the house; and he put the shoe in the road along which the man was going with his ox; and when he had done that, he went into the wood and hid himself under a bush.	Well! the youth set off, and took with him a pretty shoe, with a silver buckle on it, which lay about the house; and he put the shoe in the road along which the man was going with his ox; and when he had done that, he went into the wood and hid himself under a bush.	false	224.36	237.46	23.690886
3274_163518_000022_000001	So when the man came by he saw the shoe at once.	So when the man came by he saw the shoe at once.	true	237.47	240.37	23.73849
3274_163518_000023_000000	'That's a nice shoe', said he.	'That's a nice shoe', said he.	true	240.47	242.595	25.151985
3274_163518_000023_000001	'If I only had the fellow to it, I'd take it home with me, and perhaps I'd put my old dame in a good humour for once.' For you must know he had an old wife, so cross and snappish, it was not long between each time that she boxed his ears. But then he bethought him that he could do nothing with the odd shoe unless he had the fellow to it; so he went on his way and let the shoe lie on the road.	'If I only had the fellow to it, I'd take it home with me, and perhaps I'd put my old dame in a good humour for once.' For you must know he had an old wife, so cross and snappish, it was not long between each time that she boxed his ears. But then he bethought him that he could do nothing with the odd shoe unless he had the fellow to it; so he went on his way and let the shoe lie on the road.	false	242.595	262.45	22.200218
3274_163518_000024_000000	Then the youth took up the shoe, and made all the haste he could to get before the man by a short cut through the wood, and laid it down before him in the road again.	Then the youth took up the shoe, and made all the haste he could to get before the man by a short cut through the wood, and laid it down before him in the road again.	true	262.52	270.85	23.664576
3274_163518_000024_000001	When the man came along with his ox, he got quite angry with himself for being so dull as to leave the fellow to the shoe lying in the road instead of taking it with him; so he tied the ox to the fence, and said to himself, 'I may just as well run back and pick up the other, and then I'll have a pair of good shoes for my old dame, and so, perhaps, I'll get a kind word from her for once.'	When the man came along with his ox, he got quite angry with himself for being so dull as to leave the fellow to the shoe lying in the road instead of taking it with him; so he tied the ox to the fence, and said to himself, 'I may just as well run back and pick up the other, and then I'll have a pair of good shoes for my old dame, and so, perhaps, I'll get a kind word from her for once.'	true	270.98	290.41	23.27095
3274_163518_000025_000000	So he set off, and hunted and hunted up and down for the shoe, but no shoe did he find; and at length he had to go back with the one he had.	So he set off, and hunted and hunted up and down for the shoe, but no shoe did he find; and at length he had to go back with the one he had.	true	290.81	298.72	20.650217
3274_163518_000025_000001	But, meanwhile the youth had taken the ox and gone off with it; and when the man came and saw his ox gone, he began to cry and bewail, for he was afraid his old dame would kill him outright when she came to know that the ox was lost.	But, meanwhile the youth had taken the ox and gone off with it; and when the man came and saw his ox gone, he began to cry and bewail, for he was afraid his old dame would kill him outright when she came to know that the ox was lost.	true	298.73	311.32	23.11458
3274_163518_000025_000002	But just then it came across his mind that he would go home and take the second ox, and drive it to the town, and not let his old dame know anything about the matter. So he did this, and went home and took the ox without his dame's knowing it, and set off with it to the town.	But just then it came across his mind that he would go home and take the second ox, and drive it to the town, and not let his old dame know anything about the matter. So he did this, and went home and took the ox without his dame's knowing it, and set off with it to the town.	true	311.81	325.06	22.748621
3274_163518_000025_000003	But the robbers knew all about it, and they said to the youth, if he could get this ox too, without the man's knowing it, and without his doing him any harm, he should be as good as any one of them.	But the robbers knew all about it, and they said to the youth, if he could get this ox too, without the man's knowing it, and without his doing him any harm, he should be as good as any one of them.	true	326	335.86	22.049803
3274_163518_000025_000004	If that were all, the youth said, he did not think it a very hard thing.	If that were all, the youth said, he did not think it a very hard thing.	true	336.02	339.88	22.38156
3274_163518_000026_000000	This time he took with him a rope, and hung himself up under the arm- pits to a tree right in the man's way.	This time he took with him a rope, and hung himself up under the arm pits to a tree right in the man's way.	true	340.13	345.85	26.840757
3274_163518_000026_000001	So the man came along with his ox, and when he saw such a sight hanging there he began to feel a little queer.	So the man came along with his ox, and when he saw such a sight hanging there he began to feel a little queer.	true	346.01	351.645	23.906296
3274_163518_000027_000000	'Well', said he, 'whatever heavy thoughts you had who have hanged yourself up there, it can't be helped; you may hang for what I care! I can't breathe life into you again'; and with that he went on his way with his ox.	'Well', said he, 'whatever heavy thoughts you had who have hanged yourself up there, it can't be helped; you may hang for what I care! I can't breathe life into you again'; and with that he went on his way with his ox.	false	351.645	363.7	24.71223
3274_163518_000027_000001	Down slipped the youth from the tree, and ran by a footpath, and got before the man, and hung himself up right in his way again.	Down slipped the youth from the tree, and ran by a footpath, and got before the man, and hung himself up right in his way again.	true	363.95	370.33	26.030375
3274_163518_000028_000000	'Bless me!' said the man, 'were you really so heavy at heart that you hanged yourself up there--or is it only a piece of witchcraft that I see before me?	'Bless me!' said the man, 'were you really so heavy at heart that you hanged yourself up there-or is it only a piece of witchcraft that I see before me?	false	370.73	378.58	22.046843
3274_163518_000028_000001	Aye, aye! you may hang for all I care, whether you are a ghost or whatever you are.' So he passed on with his ox.	Aye, aye! you may hang for all I care, whether you are a ghost or whatever you are.' So he passed on with his ox.	true	378.71	385.18	23.343046
3274_163518_000029_000000	Now the youth did just as he had done twice before; he jumped down from the tree, ran through the wood by a footpath, and hung himself up right in the man's way again.	Now the youth did just as he had done twice before; he jumped down from the tree, ran through the wood by a footpath, and hung himself up right in the man's way again.	true	385.88	394.48	23.26526
3274_163518_000029_000001	But when the man saw this sight for the third time, he said to himself:	But when the man saw this sight for the third time, he said to himself:	true	394.55	398.14	21.568644
3274_163518_000030_000000	'Well! this is an ugly business!	'Well! this is an ugly business!	true	398.27	400.365	23.699177
3274_163518_000030_000001	Is it likely now that they should have been so heavy at heart as to hang themselves, all these three? No!	Is it likely now that they should have been so heavy at heart as to hang themselves, all these three? No!	true	400.365	405.585	22.589138
3274_163518_000030_000002	I cannot think it is anything else than a piece of witchcraft that I see.	I cannot think it is anything else than a piece of witchcraft that I see.	true	405.585	409.12	26.489582
3274_163518_000030_000003	But now I'll soon know for certain; if the other two are still hanging there, it must be really so; but if they are not, then it can be nothing but witchcraft that I see.'	But now I'll soon know for certain; if the other two are still hanging there, it must be really so; but if they are not, then it can be nothing but witchcraft that I see.'	true	409.31	417.64	24.084871
3274_163518_000031_000000	So he tied up his ox, and ran back to see if the others were still really hanging there.	So he tied up his ox, and ran back to see if the others were still really hanging there.	true	417.71	421.78	25.39877
3274_163518_000031_000001	But while he went and peered up into all the trees, the youth jumped down and took his ox and ran off with it. When the man came back and found his ox gone, he was in a sad plight, and, as any one might know without being told, he began to cry and bemoan; but at last he came to take it easier, and so he thought:	But while he went and peered up into all the trees, the youth jumped down and took his ox and ran off with it. When the man came back and found his ox gone, he was in a sad plight, and, as any one might know without being told, he began to cry and bemoan; but at last he came to take it easier, and so he thought:	true	421.91	439.24	22.62209
3274_163518_000032_000000	'There's no other help for it than to go home and take the third ox without my dame's knowing it, and to try and drive a good bargain with it, so that I may get a good sum of money for it.'	'There's no other help for it than to go home and take the third ox without my dame's knowing it, and to try and drive a good bargain with it, so that I may get a good sum of money for it.'	true	439.25	447.58	22.27257
3274_163518_000033_000000	So he went home and set off with the ox, and his old dame knew never a word about the matter.	So he went home and set off with the ox, and his old dame knew never a word about the matter.	true	447.71	452.56	24.136469
3274_163518_000033_000001	But the robbers, they knew all about it, and they said to the youth, that if he could steal this ox as he had stolen the other two, then he should be master over the whole band. Well, the youth set off, and ran into the wood; and as the man came by with his ox he set up a dreadful bellowing, just like a great ox in the wood.	But the robbers, they knew all about it, and they said to the youth, that if he could steal this ox as he had stolen the other two, then he should be master over the whole band. Well, the youth set off, and ran into the wood; and as the man came by with his ox he set up a dreadful bellowing, just like a great ox in the wood.	true	452.63	470.05	23.245365
3274_163518_000033_000002	When the man heard that, you can't think how glad he was, for it seemed to him that he knew the voice of his big bullock, and he thought that now he should find both of them again; so he tied up the third ox, and ran off from the road to look for them in the wood; but meantime the youth went off with the third ox.	When the man heard that, you can't think how glad he was, for it seemed to him that he knew the voice of his big bullock, and he thought that now he should find both of them again; so he tied up the third ox, and ran off from the road to look for them in the wood; but meantime the youth went off with the third ox.	true	470.18	486.855	23.173615
3274_163518_000033_000003	Now, when the man came back and found he had lost this ox too, he was so wild that there was no end to his grief.	Now, when the man came back and found he had lost this ox too, he was so wild that there was no end to his grief.	true	486.855	493.035	21.909254
3274_163518_000033_000004	He cried and roared and beat his breast, and, to tell the truth, it was many days before he dared go home; for he was afraid lest his old dame should kill him outright on the spot.	He cried and roared and beat his breast, and, to tell the truth, it was many days before he dared go home; for he was afraid lest his old dame should kill him outright on the spot.	true	493.035	503.02	23.53872
3274_163518_000034_000000	As for the robbers, they were not very well pleased either, when they had to own that the youth was master over the whole band.	As for the robbers, they were not very well pleased either, when they had to own that the youth was master over the whole band.	true	503.45	509.62	23.508635
3274_163518_000034_000001	So one day they thought they would try their hands at something which he was not man enough to do; and they set off all together, every man Jack of them, and left him alone at home.	So one day they thought they would try their hands at something which he was not man enough to do; and they set off all together, every man Jack of them, and left him alone at home.	false	509.78	519.07	23.494751
3274_163518_000034_000002	Now, the first thing that he did when they were all well clear of the house, was to drive the oxen out to the road, so that they might run back to the man from whom he had stolen them; and right glad he was to see them, as you may fancy. Next he took all the horses which the robbers had, and loaded them with the best things he could lay his hands on-gold and silver, and clothes and other fine things; and then he bade the old dame to greet the robbers when they came back, and to thank them for him, and to say that now he was setting off on his travels, and they would have hard work to find him again; and with that, off he started.	Now, the first thing that he did when they were all well clear of the house, was to drive the oxen out to the road, so that they might run back to the man from whom he had stolen them; and right glad he was to see them, as you may fancy. Next he took all the horses which the robbers had, and loaded them with the best things he could lay his hands on gold and silver, and clothes and other fine things; and then he bade the old dame to greet the robbers when they came back, and to thank them for him, and to say that now he was setting off on his travels, and they would have hard work to find him again; and with that, off he started.	true	519.23	551.41	22.477877
3274_163518_000035_000000	After a good bit he came to the road along which he was going when he fell among the robbers, and when he got near home, and could see his father's cottage, he put on a uniform which he had found among the clothes he had taken from the robbers, and which was made just like a general's.	After a good bit he came to the road along which he was going when he fell among the robbers, and when he got near home, and could see his father's cottage, he put on a uniform which he had found among the clothes he had taken from the robbers, and which was made just like a general's.	false	551.93	565.18	21.304634
3274_163518_000035_000001	So he drove up to the door as if he were any other great man.	So he drove up to the door as if he were any other great man.	true	565.4	568.3	21.746202
3274_163518_000035_000002	After that he went in and asked if he could have a lodging?	After that he went in and asked if he could have a lodging?	true	568.61	571.44	22.269817
3274_163518_000035_000003	No; that he couldn't at any price.	No; that he couldn't at any price.	false	571.44	573.55	24.529568
3274_163518_000036_000000	'How ever should I be able', said the man, 'to make room in my house for such a fine gentleman--I who scarce have a rag to lie upon, and miserable rags too?'	'How ever should I be able', said the man, 'to make room in my house for such a fine gentleman-I who scarce have a rag to lie upon, and miserable rags too?'	true	574.49	583.33	19.461323
3274_163518_000037_000000	'You always were a stingy old hunks', said the youth, 'and so you are still, when you won't take your own son in.'	'You always were a stingy old hunks', said the youth, 'and so you are still, when you won't take your own son in.'	true	584.39	589.78	21.82672
3274_163518_000038_000000	'What, you my son!' said the man.	'What, you my son!' said the man.	true	590.27	592.99	24.104568
3274_163518_000039_000000	'Don't you know me again?' said the youth.	'Don't you know me again?' said the youth.	true	593.15	595.38	20.117739
3274_163518_000039_000001	Well, after a little while he did know him again.	Well, after a little while he did know him again.	true	595.38	598.785	24.909122
3274_163518_000040_000000	'But what have you been turning your hand to, that you have made yourself so great a man in such haste?' asked the man.	'But what have you been turning your hand to, that you have made yourself so great a man in such haste?' asked the man.	true	598.785	604.9	19.035002
3274_163518_000041_000000	'Oh!	'Oh!	true	605.09	606.135	23.94959
3274_163518_000041_000001	I'll soon tell you', said the youth.	I'll soon tell you', said the youth.	true	606.135	607.84	21.388006
3274_163518_000041_000002	'You said I might take to any trade I chose, and so I bound myself apprentice to a pack of thieves and robbers, and now I've served my time out, and am become a Master Thief.'	'You said I might take to any trade I chose, and so I bound myself apprentice to a pack of thieves and robbers, and now I've served my time out, and am become a Master Thief.'	true	607.85	616.78	23.02786
3274_163518_000042_000000	Now there lived a Squire close by to his father's cottage, and he had such a great house, and such heaps of money, he could not tell how much he had.	Now there lived a Squire close by to his father's cottage, and he had such a great house, and such heaps of money, he could not tell how much he had.	true	617.57	625.66	21.411644
3274_163518_000042_000001	He had a daughter too, and a smart and pretty girl she was.	He had a daughter too, and a smart and pretty girl she was.	true	625.85	629.05	23.497192
3274_163518_000042_000002	So the Master Thief set his heart upon having her to wife, and he told his father to go to the Squire and ask for his daughter for him.	So the Master Thief set his heart upon having her to wife, and he told his father to go to the Squire and ask for his daughter for him.	false	629.39	636.7	23.382383
3274_163518_000043_000000	'If he asks by what trade I get my living, you can say I'm a Master Thief.'	'If he asks by what trade I get my living, you can say I'm a Master Thief.'	true	637.67	641.83	21.949913
3274_163518_000044_000000	'I think you've lost your wits', said the man, 'for you can't be in your right mind when you think of such stuff.'	'I think you've lost your wits', said the man, 'for you can't be in your right mind when you think of such stuff.'	true	642.32	647.89	22.90874
3274_163518_000045_000000	No! he had not lost his wits, his father must and should go to the Squire, and ask for his daughter.	No! he had not lost his wits, his father must and should go to the Squire, and ask for his daughter.	true	648.47	653.65	21.111681
3274_163518_000046_000000	'Nay, but I tell you, I daren't go to the Squire and be your spokesman; he who is so rich, and has so much money', said the man.	'Nay, but I tell you, I daren't go to the Squire and be your spokesman; he who is so rich, and has so much money', said the man.	false	654.35	660.67	20.919355
3274_163518_000047_000000	Yes, there was no help for it, said the Master Thief; he should go whether he would or no; and if he did not go by fair means, he would soon make him go by foul.	Yes, there was no help for it, said the Master Thief; he should go whether he would or no; and if he did not go by fair means, he would soon make him go by foul.	true	660.86	669.43	21.928497
3274_163518_000047_000001	But the man was still loath to go; so he stepped after him, and rubbed him down with a good birch cudgel, and kept on till the man came crying and sobbing inside the Squire's door.	But the man was still loath to go; so he stepped after him, and rubbed him down with a good birch cudgel, and kept on till the man came crying and sobbing inside the Squire's door.	true	669.53	679	22.118338
3274_163518_000048_000000	'How now, my man! what ails you?' said the Squire.	'How now, my man! what ails you?' said the Squire.	true	679.49	682.48	21.22321
3274_163518_000048_000001	So he told him the whole story; how he had three sons who set off one day, and how he had given them leave to go whithersoever they would, and to follow whatever calling they chose.	So he told him the whole story; how he had three sons who set off one day, and how he had given them leave to go whithersoever they would, and to follow whatever calling they chose.	true	682.7	691.45	20.963804
3274_163518_000048_000002	'And here now is the youngest come home, and has thrashed me till he has made me come to you and ask for your daughter for him to wife; and he bids me say, besides, that he's a Master Thief.' And so he fell to crying and sobbing again.	'And here now is the youngest come home, and has thrashed me till he has made me come to you and ask for your daughter for him to wife; and he bids me say, besides, that he's a Master Thief.' And so he fell to crying and sobbing again.	true	691.49	703.09	21.279655
3274_163518_000049_000000	'Never mind, my man', said the Squire, laughing; 'just go back and tell him from me, he must prove his skill first.	'Never mind, my man', said the Squire, laughing; 'just go back and tell him from me, he must prove his skill first.	true	703.7	710.28	26.712545
3274_163518_000049_000001	If he can steal the roast from the spit in the kitchen on Sunday, while all the household are looking after it, he shall have my daughter.	If he can steal the roast from the spit in the kitchen on Sunday, while all the household are looking after it, he shall have my daughter.	false	710.28	716.77	22.484911
3274_163518_000049_000002	Just go and tell him that.'	Just go and tell him that.'	true	716.9	718.45	24.900442
3274_163518_000050_000000	So he went back and told the youth, who thought it would be an easy job.	So he went back and told the youth, who thought it would be an easy job.	true	719.15	722.715	22.074411
3274_163518_000050_000001	So he set about and caught three hares alive, and put them into a bag, and dressed himself in some old rags, until he looked so poor and filthy that it made one's heart bleed to see; and then he stole into the passage at the back-door of the Squire's house on the Sunday forenoon, with his bag, just like any other beggar-boy.	So he set about and caught three hares alive, and put them into a bag, and dressed himself in some old rags, until he looked so poor and filthy that it made one's heart bleed to see; and then he stole into the passage at the back door of the Squire's house on the Sunday forenoon, with his bag, just like any other beggar boy.	true	722.715	740.62	22.739857
3274_163518_000050_000002	But the Squire himself and all his household were in the kitchen watching the roast.	But the Squire himself and all his household were in the kitchen watching the roast.	true	740.93	745.27	22.921259
3274_163518_000050_000003	Just as they were doing this, the youth let one hare go, and it set off and ran round and round the yard in front of the house.	Just as they were doing this, the youth let one hare go, and it set off and ran round and round the yard in front of the house.	true	745.61	752.98	19.624409
3274_163518_000051_000000	'Oh, just look at that hare!' said the folk in the kitchen, and were all for running out to catch it.	'Oh, just look at that hare!' said the folk in the kitchen, and were all for running out to catch it.	true	754.19	759.46	22.90465
3274_163518_000052_000000	Yes, the Squire saw it running too.	Yes, the Squire saw it running too.	true	759.47	761.44	21.631792
3274_163518_000052_000001	'Oh, let it run', said he; 'there's no use in thinking to catch a hare on the spring.'	'Oh, let it run', said he; 'there's no use in thinking to catch a hare on the spring.'	true	761.6	766.42	21.268261
3274_163518_000053_000000	A little while after, the youth let the second hare go, and they saw it in the kitchen, and thought it was the same they had seen before, and still wanted to run out and catch it; but the Squire said again it was no use.	A little while after, the youth let the second hare go, and they saw it in the kitchen, and thought it was the same they had seen before, and still wanted to run out and catch it; but the Squire said again it was no use.	true	766.94	777.69	21.91418
3274_163518_000053_000001	It was not long before the youth let the third hare go, and it set off and ran round and round the yard as the others before it.	It was not long before the youth let the third hare go, and it set off and ran round and round the yard as the others before it.	false	777.69	784.63	21.583517
3274_163518_000053_000002	Now, they saw it from the kitchen, and still thought it was the same hare that kept on running about, and were all eager to be out after it.	Now, they saw it from the kitchen, and still thought it was the same hare that kept on running about, and were all eager to be out after it.	true	785.15	791.59	25.936087
3274_163518_000054_000000	'Well, it is a fine hare', said the Squire; 'come let's see if we can't lay our hands on it.'	'Well, it is a fine hare', said the Squire; 'come let's see if we can't lay our hands on it.'	true	792.44	798.13	20.54428
3274_163518_000055_000000	So out he ran, and the rest with him--away they all went, the hare before, and they after; so that it was rare fun to see.	So out he ran, and the rest with him-away they all went, the hare before, and they after; so that it was rare fun to see.	true	798.71	806.025	21.034447
3274_163518_000055_000001	But meantime the youth took the roast and ran off with it; and where the Squire got a roast for his dinner that day I don't know; but one thing I know, and that is, that he had no roast hare, though he ran after it till he was both warm and weary.	But meantime the youth took the roast and ran off with it; and where the Squire got a roast for his dinner that day I don't know; but one thing I know, and that is, that he had no roast hare, though he ran after it till he was both warm and weary.	true	806.025	818.74	22.148724
3274_163518_000056_000000	Now it chanced that the Priest came to dinner that day, and when the Squire told him what a trick the Master Thief had played him, he made such game of him that there was no end of it.	Now it chanced that the Priest came to dinner that day, and when the Squire told him what a trick the Master Thief had played him, he made such game of him that there was no end of it.	false	819.23	827.73	25.706484
3274_163518_000057_000000	'For my part', said the Priest, 'I can't think how it could ever happen to me to be made such a fool of by a fellow like that.'	'For my part', said the Priest, 'I can't think how it could ever happen to me to be made such a fool of by a fellow like that.'	false	827.73	836.02	22.941296
3274_163518_000058_000000	'Very well--only keep a sharp look-out', said the Squire; 'maybe he'll come to see you before you know a word of it.' But the Priest stuck to his text--that he did, and made game of the Squire because he had been so taken in.	'Very well-only keep a sharp look out', said the Squire; 'maybe he'll come to see you before you know a word of it.' But the Priest stuck to his text-that he did, and made game of the Squire because he had been so taken in.	true	836.24	848.44	21.71348
3274_163518_000059_000000	Later in the afternoon came the Master Thief, and wanted to have the Squire's daughter, as he had given his word.	Later in the afternoon came the Master Thief, and wanted to have the Squire's daughter, as he had given his word.	true	848.96	854.62	23.030779
3274_163518_000059_000001	But the Squire began to talk him over, and said, 'Oh, you must first prove your skill a little more; for what you did to-day was no great thing, after all. Couldn't you now play off a good trick on the Priest, who is sitting in there, and making game of me for letting such a fellow as you twist me round his thumb.'	But the Squire began to talk him over, and said, 'Oh, you must first prove your skill a little more; for what you did to day was no great thing, after all. Couldn't you now play off a good trick on the Priest, who is sitting in there, and making game of me for letting such a fellow as you twist me round his thumb.'	true	855.23	870.61	22.254372
3274_163518_000060_000000	'Well, as for that, it wouldn't be hard', said the Master Thief.	'Well, as for that, it wouldn't be hard', said the Master Thief.	true	871.85	875.58	21.505522
3274_163518_000060_000001	So he dressed himself up like a bird, threw a great white sheet over his body, took the wings of a goose and tied them to his back, and so climbed up into a great maple which stood in the Priest's garden.	So he dressed himself up like a bird, threw a great white sheet over his body, took the wings of a goose and tied them to his back, and so climbed up into a great maple which stood in the Priest's garden.	false	875.58	886.395	23.15808
3274_163518_000060_000002	And when the Priest came home in the evening, the youth began to bawl out:	And when the Priest came home in the evening, the youth began to bawl out:	true	886.395	889.96	24.15489
3274_163518_000061_000000	'Father Laurence!	'Father Laurence!	true	890.45	892.215	20.403913
3274_163518_000061_000001	Father Laurence!'--for that was the Priest's name.	Father Laurence!'--for that was the Priest's name.	true	892.215	895.45	20.11223
3274_163518_000062_000000	'Who is that calling me?' said the Priest.	'Who is that calling me?' said the Priest.	true	895.7	898.66	24.696257
3274_163518_000063_000000	'I am an angel', said the Master Thief, 'sent from God to let you know that you shall be taken up alive into heaven for your piety's sake.	'I am an angel', said the Master Thief, 'sent from God to let you know that you shall be taken up alive into heaven for your piety's sake.	true	899.06	906.76	21.700771
3274_163518_000063_000001	Next Monday night you must hold yourself ready for the journey, for I shall come then to fetch you in a sack; and all your gold and your silver, and all that you have of this world's goods, you must lay together in a heap in your dining-room.'	Next Monday night you must hold yourself ready for the journey, for I shall come then to fetch you in a sack; and all your gold and your silver, and all that you have of this world's goods, you must lay together in a heap in your dining room.'	true	906.86	919.66	22.556738
