7816_108620_000001_000000	CHAPTER 10	CHAPTER ten
7816_108620_000006_000000	As our first loud yell of terror broke forth, it was replied to by something, from near the bowsprit of the stranger, so closely resembling the scream of a human voice that the nicest ear might have been startled and deceived.	As our first loud yell of terror broke forth, it was replied to by something, from near the bowsprit of the stranger, so closely resembling the scream of a human voice that the nicest ear might have been startled and deceived.
7816_108620_000006_000001	At this instant another sudden yaw brought the region of the forecastle for a moment into view, and we beheld at once the origin of the sound.	At this instant another sudden yaw brought the region of the forecastle for a moment into view, and we beheld at once the origin of the sound.
7816_108620_000006_000002	We saw the tall stout figure still leaning on the bulwark, and still nodding his head to and fro, but his face was now turned from us so that we could not behold it.	We saw the tall stout figure still leaning on the bulwark, and still nodding his head to and fro, but his face was now turned from us so that we could not behold it.
7816_108620_000006_000003	His arms were extended over the rail, and the palms of his hands fell outward.	His arms were extended over the rail, and the palms of his hands fell outward.
7816_108620_000006_000004	His knees were lodged upon a stout rope, tightly stretched, and reaching from the heel of the bowsprit to a cathead.	His knees were lodged upon a stout rope, tightly stretched, and reaching from the heel of the bowsprit to a cathead.
7816_108620_000006_000008	I sprang forward quickly, and, with a deep shudder, threw the frightful thing into the sea.	I sprang forward quickly, and, with a deep shudder, threw the frightful thing into the sea.
7816_108620_000007_000000	The body from which it had been taken, resting as it did upon the rope, had been easily swayed to and fro by the exertions of the carnivorous bird, and it was this motion which had at first impressed us with the belief of its being alive.	The body from which it had been taken, resting as it did upon the rope, had been easily swayed to and fro by the exertions of the carnivorous bird, and it was this motion which had at first impressed us with the belief of its being alive.
7816_108620_000007_000001	As the gull relieved it of its weight, it swung round and fell partially over, so that the face was fully discovered.	As the gull relieved it of its weight, it swung round and fell partially over, so that the face was fully discovered.
7816_108620_000007_000003	The eyes were gone, and the whole flesh around the mouth, leaving the teeth utterly naked.	The eyes were gone, and the whole flesh around the mouth, leaving the teeth utterly naked.
7816_108620_000007_000004	This, then, was the smile which had cheered us on to hope!	This, then, was the smile which had cheered us on to hope!
7816_108620_000007_000005	this the--but I forbear.	this the-but I forbear.
7816_108620_000007_000006	The brig, as I have already told, passed under our stern, and made its way slowly but steadily to leeward.	The brig, as I have already told, passed under our stern, and made its way slowly but steadily to leeward.
7816_108620_000007_000007	With her and with her terrible crew went all our gay visions of deliverance and joy.	With her and with her terrible crew went all our gay visions of deliverance and joy.
7816_108620_000007_000008	Deliberately as she went by, we might possibly have found means of boarding her, had not our sudden disappointment and the appalling nature of the discovery which accompanied it laid entirely prostrate every active faculty of mind and body.	Deliberately as she went by, we might possibly have found means of boarding her, had not our sudden disappointment and the appalling nature of the discovery which accompanied it laid entirely prostrate every active faculty of mind and body.
7816_108620_000007_000009	We had seen and felt, but we could neither think nor act, until, alas! too late.	We had seen and felt, but we could neither think nor act, until, alas! too late.
7816_108620_000007_000010	How much our intellects had been weakened by this incident may be estimated by the fact, that when the vessel had proceeded so far that we could perceive no more than the half of her hull, the proposition was seriously entertained of attempting to overtake her by swimming!	How much our intellects had been weakened by this incident may be estimated by the fact, that when the vessel had proceeded so far that we could perceive no more than the half of her hull, the proposition was seriously entertained of attempting to overtake her by swimming!
7816_108620_000008_000000	I have, since this period, vainly endeavoured to obtain some clew to the hideous uncertainty which enveloped the fate of the stranger.	I have, since this period, vainly endeavoured to obtain some clew to the hideous uncertainty which enveloped the fate of the stranger.
7816_108620_000008_000001	Her build and general appearance, as I have before stated, led us to the belief that she was a Dutch trader, and the dresses of the crew also sustained this opinion.	Her build and general appearance, as I have before stated, led us to the belief that she was a Dutch trader, and the dresses of the crew also sustained this opinion.
7816_108620_000008_000002	We might have easily seen the name upon her stern, and, indeed, taken other observations, which would have guided us in making out her character; but the intense excitement of the moment blinded us to every thing of that nature.	We might have easily seen the name upon her stern, and, indeed, taken other observations, which would have guided us in making out her character; but the intense excitement of the moment blinded us to every thing of that nature.
7816_108620_000008_000004	If such were the case (and I know not what else to imagine), death, to judge from the positions of the bodies, must have come upon them in a manner awfully sudden and overwhelming, in a way totally distinct from that which generally characterizes even the most deadly pestilences with which mankind are acquainted.	If such were the case (and I know not what else to imagine), death, to judge from the positions of the bodies, must have come upon them in a manner awfully sudden and overwhelming, in a way totally distinct from that which generally characterizes even the most deadly pestilences with which mankind are acquainted.
