2787_157400_000002_000000	CHAPTER X.	CHAPTER ten
2787_157400_000021_000000	"Oh my dear," said Mrs. Wyndham, "I always forget you are not one of us. Besides, you are, you see."	"Oh my dear," said mrs Wyndham, "I always forget you are not one of us. Besides, you are, you see."
2787_157400_000022_000000	Mrs. Wyndham rarely said a tactless thing, but this evening she was in such good spirits that she said what came uppermost in her thoughts.	mrs Wyndham rarely said a tactless thing, but this evening she was in such good spirits that she said what came uppermost in her thoughts.
2787_157400_000022_000001	Joe was not offended; she was only bored.	Joe was not offended; she was only bored.
2787_157400_000023_000000	"Will you not come and dine too, to-morrow night?" asked Mrs. Wyndham, who was anxious to atone.	"Will you not come and dine too, to morrow night?" asked mrs Wyndham, who was anxious to atone.
2787_157400_000025_000000	Pocock Vancouver, pale and exquisite as ever, came up to the two ladies.	Pocock Vancouver, pale and exquisite as ever, came up to the two ladies.
2787_157400_000026_000000	"Can I get you anything, Mrs. Wyndham?" he inquired, after a double bow.	"Can I get you anything, mrs Wyndham?" he inquired, after a double bow.
2787_157400_000027_000000	"No, thank you.	"No, thank you.
2787_157400_000027_000001	Johnny Hannibal is taking care of me," answered Mrs. Sam, coldly.	Johnny Hannibal is taking care of me," answered mrs Sam, coldly.
2787_157400_000028_000000	"Miss Thorn, what can I get you?" he asked, turning to Joe.	"Miss Thorn, what can I get you?" he asked, turning to Joe.
2787_157400_000029_000000	"Nothing, thanks," said Joe, "Mr.	"Nothing, thanks," said Joe, "mr
2787_157400_000029_000001	Biggielow is getting me something." She did not look at Vancouver as she answered, and the angry color began to rise to her temples.	Biggielow is getting me something." She did not look at Vancouver as she answered, and the angry color began to rise to her temples.
2787_157400_000029_000002	Vancouver, who was not used to repulses such as these, and was too old a soldier to give up a situation so easily, stood a moment playing with his coat tails.	Vancouver, who was not used to repulses such as these, and was too old a soldier to give up a situation so easily, stood a moment playing with his coat tails.
2787_157400_000029_000003	A sudden thought passed through Joe's mind.	A sudden thought passed through Joe's mind.
2787_157400_000029_000004	It struck her that, considering the situation of affairs, it would be unwise to break off her acquaintance with Vancouver at the present time.	It struck her that, considering the situation of affairs, it would be unwise to break off her acquaintance with Vancouver at the present time.
2787_157400_000029_000007	In the first place, there might be more to be learnt which might be of service to John; secondly, people would talk about it if she cut him, and would invent some story to the effect that he had proposed to marry her, or that she had proposed to marry him.	In the first place, there might be more to be learnt which might be of service to john; secondly, people would talk about it if she cut him, and would invent some story to the effect that he had proposed to marry her, or that she had proposed to marry him.
2787_157400_000029_000008	It was contrary to her nature to pretend anything she did not feel, but it would nevertheless be a mistake to quarrel openly with Vancouver.	It was contrary to her nature to pretend anything she did not feel, but it would nevertheless be a mistake to quarrel openly with Vancouver.
2787_157400_000030_000000	"On second thoughts--if you would get me a glass of water"--she said, speaking to him.	"On second thoughts-if you would get me a glass of water"--she said, speaking to him.
2787_157400_000030_000001	He instantly disappeared; but even in the moment before he departed to execute her command he had time to express by his look a sense of injury forgiven, which did not escape Joe.	He instantly disappeared; but even in the moment before he departed to execute her command he had time to express by his look a sense of injury forgiven, which did not escape Joe.
2787_157400_000031_000000	"What a hypocrite the man is!" she thought.	"What a hypocrite the man is!" she thought.
2787_157400_000032_000000	Vancouver on his part could form no conception of the cause of the coldness the two ladies had shown him.	Vancouver on his part could form no conception of the cause of the coldness the two ladies had shown him.
2787_157400_000032_000001	He could not know that Joe had discovered in him the writer of the article, still less could he have guessed that Joe had told John, and that John had told Mrs. Sam.	He could not know that Joe had discovered in him the writer of the article, still less could he have guessed that Joe had told john, and that john had told mrs Sam.
2787_157400_000032_000002	He could only suppose that the two had been talking of something, and were annoyed at being interrupted.	He could only suppose that the two had been talking of something, and were annoyed at being interrupted.
2787_157400_000033_000002	Mr. Bonamy Biggielow was a little poet.	mr Bonamy Biggielow was a little poet.
2787_157400_000034_000000	"I ought to thank you, Miss Thorn, instead of you thanking me," said Vancouver, in a seductive voice, on one side of Joe.	"I ought to thank you, Miss Thorn, instead of you thanking me," said Vancouver, in a seductive voice, on one side of Joe.
2787_157400_000036_000000	"Why?" said Joe, eating her salad and looking straight before her.	"Why?" said Joe, eating her salad and looking straight before her.
2787_157400_000038_000000	Mr. Biggielow also answered Joe's interrogation.	mr Biggielow also answered Joe's interrogation.
2787_157400_000039_000000	"Well," he said, "I mean it is thronged with people.	"Well," he said, "I mean it is thronged with people.
2787_157400_000040_000000	"Youth and beauty?	"Youth and beauty?
2787_157400_000040_000001	That sort of thing?" said Joe to Biggielow.	That sort of thing?" said Joe to Biggielow.
2787_157400_000040_000002	Then turning to Vancouver, she added, "Why should I send you away?"	Then turning to Vancouver, she added, "Why should I send you away?"
2787_157400_000041_000000	"I hope there is no reason," he said gravely.	"I hope there is no reason," he said gravely.
2787_157400_000041_000001	"In fact, I am sure there is none, except that you would of course always do exactly as you pleased about that and everything else."	"In fact, I am sure there is none, except that you would of course always do exactly as you pleased about that and everything else."
2787_157400_000042_000000	"Yes, indeed," Joe answered, and her lip curled a little proudly, "you are quite right about that.	"Yes, indeed," Joe answered, and her lip curled a little proudly, "you are quite right about that.
2787_157400_000042_000001	But then, you know, I did not send you away."	But then, you know, I did not send you away."
2787_157400_000043_000000	"Thanks, again," said Vancouver.	"Thanks, again," said Vancouver.
2787_157400_000044_000000	"Do let me get you something more, Miss Thorn," suggested Mr. Biggielow. "No?	"Do let me get you something more, Miss Thorn," suggested mr Biggielow. "No?
2787_157400_000044_000002	You always like"--	You always like"--
2787_157400_000045_000000	"Of course you have heard about Harrington?" said Vancouver in a low voice close to Josephine's ear.	"Of course you have heard about Harrington?" said Vancouver in a low voice close to Josephine's ear.
2787_157400_000046_000001	"Will you take my plate?	"Will you take my plate?
2787_157400_000046_000003	"You mean about the senatorship?" asked Joe.	"You mean about the senatorship?" asked Joe.
2787_157400_000047_000000	"Yes.	"Yes.
2787_157400_000048_000000	"Among whom you count yourself, doubtless," remarked Joe.	"Among whom you count yourself, doubtless," remarked Joe.
2787_157400_000049_000000	"Not politically, of course.	"Not politically, of course.
2787_157400_000049_000001	I take no active part"--	I take no active part"--
2787_157400_000050_000000	"Yes, I know." Joe knew the remainder of the sentence by heart.	"Yes, I know." Joe knew the remainder of the sentence by heart.
2787_157400_000051_000000	"Oh, if it comes to that," said Vancouver mildly, "I would rather see Harrington senator than some of our own men.	"Oh, if it comes to that," said Vancouver mildly, "I would rather see Harrington senator than some of our own men.
2787_157400_000051_000001	At all events, he is honest."	At all events, he is honest."
2787_157400_000052_000000	"At all events!" Joe repeated.	"At all events!" Joe repeated.
2787_157400_000052_000001	"You think, perhaps, that some man of your own party may be elected who will not turn out to be honest?"	"You think, perhaps, that some man of your own party may be elected who will not turn out to be honest?"
2787_157400_000053_000000	"Well, the thing is possible.	"Well, the thing is possible.
2787_157400_000053_000001	You see, politics are such a dirty business--all kinds of men get in."	You see, politics are such a dirty business-all kinds of men get in."
2787_157400_000054_000002	Nevertheless, he was fascinated by her.	Nevertheless, he was fascinated by her.
2787_157400_000055_000000	"It is not long since you told me that Mr. Harrington's very mild remark about extinguishing bribery and corruption was a piece of gross exaggeration," said Joe.	"It is not long since you told me that mr Harrington's very mild remark about extinguishing bribery and corruption was a piece of gross exaggeration," said Joe.
2787_157400_000055_000001	"Why do you say politics are dirty work?"	"Why do you say politics are dirty work?"
2787_157400_000056_000000	"There is a great difference," answered Vancouver.	"There is a great difference," answered Vancouver.
2787_157400_000057_000000	"What difference?	"What difference?
2787_157400_000057_000001	Between what?"	Between what?"
2787_157400_000058_000000	"Between saying that the business of politics is not clean, and saying that all public officers are liars, like the Cretans."	"Between saying that the business of politics is not clean, and saying that all public officers are liars, like the Cretans."
2787_157400_000059_000000	"Who is exaggerating now?" asked Joe scornfully.	"Who is exaggerating now?" asked Joe scornfully.
2787_157400_000060_000000	"Of course it is I," answered Vancouver, submissively.	"Of course it is I," answered Vancouver, submissively.
2787_157400_000060_000001	"If it is not a rude question, did not that dress come from Egypt?"	"If it is not a rude question, did not that dress come from Egypt?"
2787_157400_000061_000002	Cut square at the neck, it showed her dazzling throat at its best advantage, and a knot of pink lilies at the waist harmonized delicately with the color of the whole.	Cut square at the neck, it showed her dazzling throat at its best advantage, and a knot of pink lilies at the waist harmonized delicately with the color of the whole.
2787_157400_000062_000000	"It is just like you," said Vancouver, "to have something different from everybody else.	"It is just like you," said Vancouver, "to have something different from everybody else.
2787_157400_000063_000000	"I am glad you like it," said Joe, indifferently.	"I am glad you like it," said Joe, indifferently.
2787_157400_000064_000000	"I am so anxious to meet your cousin, Miss Thorn," said Vancouver, trying a new subject.	"I am so anxious to meet your cousin, Miss Thorn," said Vancouver, trying a new subject.
2787_157400_000064_000001	"I hear there is to be a dinner for him to-morrow night at Mrs. Sam Wyndham's.	"I hear there is to be a dinner for him to morrow night at mrs Sam Wyndham's.
2787_157400_000064_000002	But of course I am not asked."	But of course I am not asked."
2787_157400_000065_000000	"Why 'of course'?" inquired Joe quickly.	"Why 'of course'?" inquired Joe quickly.
2787_157400_000066_000000	"I believe Mrs. Wyndham thinks I dislike Englishmen," said Vancouver at random.	"I believe mrs Wyndham thinks I dislike Englishmen," said Vancouver at random.
2787_157400_000067_000000	"Really?"	"Really?"
2787_157400_000068_000000	"Yes--I should be willing to like any number of Englishmen for the sake of being liked by one Englishwoman." He looked at Joe expressively as he spoke.	"Yes-I should be willing to like any number of Englishmen for the sake of being liked by one Englishwoman." He looked at Joe expressively as he spoke.
2787_157400_000069_000000	"Really?"	"Really?"
2787_157400_000071_000000	"Oh, yes," said Joe.	"Oh, yes," said Joe.
2787_157400_000071_000001	"Why should I not believe you?" Her voice was calm, but that same angry flush that had of late so often shown itself began to rise slowly at her temples.	"Why should I not believe you?" Her voice was calm, but that same angry flush that had of late so often shown itself began to rise slowly at her temples.
2787_157400_000071_000002	Vancouver saw it, and thought she was blushing at what he said.	Vancouver saw it, and thought she was blushing at what he said.
2787_157400_000072_000000	"I trust you will," said Vancouver.	"I trust you will," said Vancouver.
2787_157400_000072_000001	"I trust that some day you will let me tell you who that Englishwoman is."	"I trust that some day you will let me tell you who that Englishwoman is."
2787_157400_000073_000000	It was horrible; he was making love to her, this wretch, whom she despised.	It was horrible; he was making love to her, this wretch, whom she despised.
2787_157400_000074_000000	"Thanks--no, if you do not mind," said she.	"Thanks-no, if you do not mind," said she.
2787_157400_000074_000001	"I do not care to receive confidences,--I always forget to forget them." It was not in order that Pocock Vancouver might make love to her that she had sent away Bonamy Biggielow, the harmless little poet.	"I do not care to receive confidences,--I always forget to forget them." It was not in order that Pocock Vancouver might make love to her that she had sent away Bonamy Biggielow, the harmless little poet.
2787_157400_000074_000002	She wished him back again, but he was embarked in an enterprise to dispute with Johnny Hannibal a place near Miss St. Joseph.	She wished him back again, but he was embarked in an enterprise to dispute with Johnny Hannibal a place near Miss saint Joseph.
2787_157400_000074_000003	Mrs. Wyndham had long since disappeared.	mrs Wyndham had long since disappeared.
2787_157400_000075_000000	"Will you please take me back to my aunt?" said Joe.	"Will you please take me back to my aunt?" said Joe.
2787_157400_000075_000001	As they passed from the supper-room they suddenly came upon John Harrington, who was wandering about in an unattached fashion, apparently looking for some one.	As they passed from the supper room they suddenly came upon john Harrington, who was wandering about in an unattached fashion, apparently looking for some one.
2787_157400_000075_000002	He bowed and stared a little at seeing Joe on Vancouver's arm, but she gave him a look of such earnest entreaty that he turned and followed her at a distance to see what would happen.	He bowed and stared a little at seeing Joe on Vancouver's arm, but she gave him a look of such earnest entreaty that he turned and followed her at a distance to see what would happen.
2787_157400_000075_000003	Seeing her sit down by her aunt, he came up and spoke to her, almost thrusting Vancouver aside with his broad shoulders.	Seeing her sit down by her aunt, he came up and spoke to her, almost thrusting Vancouver aside with his broad shoulders.
2787_157400_000077_000000	It is amazing what a difference the common knowledge of a secret will make in the intimacy of two people.	It is amazing what a difference the common knowledge of a secret will make in the intimacy of two people.
2787_157400_000078_000000	"I was rather taken aback at seeing you with him," said John.	"I was rather taken aback at seeing you with him," said john.
2787_157400_000078_000001	"Not that it can make any difference to you," he added quickly, "only you seemed so angry at him this morning."	"Not that it can make any difference to you," he added quickly, "only you seemed so angry at him this morning."
2787_157400_000079_000000	"But it does"--Joe began, impulsively.	"But it does"--Joe began, impulsively.
2787_157400_000079_000001	"That is, I began by meaning to cut him, and then I thought it would be a mistake to make a scandal."	"That is, I began by meaning to cut him, and then I thought it would be a mistake to make a scandal."
2787_157400_000080_000001	Besides, I would not for all the world have you take a part in this thing.	Besides, I would not for all the world have you take a part in this thing.
2787_157400_000080_000002	It would do no good, and it might do harm."	It would do no good, and it might do harm."
2787_157400_000081_000000	"I think I have taken a part already," said Joe, somewhat hurt.	"I think I have taken a part already," said Joe, somewhat hurt.
2787_157400_000082_000000	"Yes, I know.	"Yes, I know.
2787_157400_000082_000001	I am very grateful, but I hope you will not think any more about it, nor allow it to influence you in any way."	I am very grateful, but I hope you will not think any more about it, nor allow it to influence you in any way."
2787_157400_000084_000000	John looked at her earnestly for a few seconds, and saw that she was perfectly sincere.	john looked at her earnestly for a few seconds, and saw that she was perfectly sincere.
2787_157400_000084_000001	He had grown to like Josephine of late, and he was grateful to her for her friendship.	He had grown to like Josephine of late, and he was grateful to her for her friendship.
2787_157400_000084_000002	Her manner that morning, when she told him of her discovery, had made a deep impression on him.	Her manner that morning, when she told him of her discovery, had made a deep impression on him.
2787_157400_000085_000000	"My dear Miss Thorn," he said earnestly, in a low voice, "you are too good and kind, and I thank you very heartily for your friendship.	"My dear Miss Thorn," he said earnestly, in a low voice, "you are too good and kind, and I thank you very heartily for your friendship.
2787_157400_000085_000001	But I think you were very wise not to cut Vancouver, and I hope you will not quarrel with anybody for any matter so trivial." The color came to Joe's face, but not for anger this time.	But I think you were very wise not to cut Vancouver, and I hope you will not quarrel with anybody for any matter so trivial." The color came to Joe's face, but not for anger this time.
2787_157400_000086_000000	"Trivial!" she exclaimed.	"Trivial!" she exclaimed.
2787_157400_000087_000000	"Yes, trivial," John repeated.	"Yes, trivial," john repeated.
2787_157400_000087_000001	"Remember that it is the policy of that paper to abuse me, and that if Vancouver had not written the article, the editor could have found some one else easily enough who would have done it."	"Remember that it is the policy of that paper to abuse me, and that if Vancouver had not written the article, the editor could have found some one else easily enough who would have done it."
2787_157400_000088_000001	"He always says to every one that he has the greatest respect for you, and then he does a thing like this.	"He always says to every one that he has the greatest respect for you, and then he does a thing like this.
2787_157400_000088_000002	If I were you I would kill him--I am sure I would."	If I were you I would kill him-I am sure I would."
2787_157400_000090_000000	"Oh, I would not care about that," said Joe, hotly.	"Oh, I would not care about that," said Joe, hotly.
2787_157400_000090_000002	"You do not seem to mind it at all."	"You do not seem to mind it at all."
2787_157400_000091_000000	"It is not worth while to lose one's temper or one's soul for the iniquities of Mr. Pocock Vancouver," said John.	"It is not worth while to lose one's temper or one's soul for the iniquities of mr Pocock Vancouver," said john.
2787_157400_000091_000001	"The man may do me harm, but as I never expected his friendship or help, he neither falls nor rises in my estimation on that account.	"The man may do me harm, but as I never expected his friendship or help, he neither falls nor rises in my estimation on that account.
2787_157400_000092_000001	"But one cannot help expecting men who have the reputation of being gentlemen to behave decently."	"But one cannot help expecting men who have the reputation of being gentlemen to behave decently."
2787_157400_000093_000000	"Vancouver has a right to his political opinions, and a perfect right to express them in any way he sees fit," said John.	"Vancouver has a right to his political opinions, and a perfect right to express them in any way he sees fit," said john.
2787_157400_000094_000001	"This is a free country, and that sort of thing.	"This is a free country, and that sort of thing.
2787_157400_000094_000003	I think that writing violent articles in a newspaper is a very active part indeed.	I think that writing violent articles in a newspaper is a very active part indeed.
2787_157400_000094_000004	And he should not go about saying that he has the highest reverence for a man, and then call him a lunatic and a charlatan in print, unless he is willing to sign his name to it, and take the consequences.	And he should not go about saying that he has the highest reverence for a man, and then call him a lunatic and a charlatan in print, unless he is willing to sign his name to it, and take the consequences.
2787_157400_000094_000005	Should he?	Should he?
2787_157400_000094_000006	I think it is vile, and horrid, and abominable, and nasty, and I hate him."	I think it is vile, and horrid, and abominable, and nasty, and I hate him."
2787_157400_000096_000000	"Then why do you defend him?" asked Joe, with flashing eyes.	"Then why do you defend him?" asked Joe, with flashing eyes.
2787_157400_000097_000000	"Because, on general principles, I do not think a man is so much worse than his fellows because he does things they would very likely do in his place.	"Because, on general principles, I do not think a man is so much worse than his fellows because he does things they would very likely do in his place.
2787_157400_000097_000001	There are things done every day, all over the world, quite as bad as that, and no one takes much notice of them.	There are things done every day, all over the world, quite as bad as that, and no one takes much notice of them.
2787_157400_000097_000002	Almost every businessman is trying to get the better of some other business man by fair means or foul."	Almost every businessman is trying to get the better of some other business man by fair means or foul."
2787_157400_000098_000000	"You do not seem to have a very exalted idea of humanity," said Joe.	"You do not seem to have a very exalted idea of humanity," said Joe.
2787_157400_000099_000000	"A large part of humanity is sick," said John, "and it is as well to be prepared for the worst in any illness."	"A large part of humanity is sick," said john, "and it is as well to be prepared for the worst in any illness."
2787_157400_000100_000000	"I wish you were not so tremendously calm, you know," said Joe, looking thoughtfully into John's face.	"I wish you were not so tremendously calm, you know," said Joe, looking thoughtfully into John's face.
2787_157400_000100_000001	"I am afraid it will injure you."	"I am afraid it will injure you."
2787_157400_000101_000000	"Why in the world should it injure me?" asked John, much astonished at the remark.	"Why in the world should it injure me?" asked john, much astonished at the remark.
2787_157400_000102_000000	"I have a presentiment"--she checked herself suddenly.	"I have a presentiment"--she checked herself suddenly.
2787_157400_000102_000001	"I do not like to tell you," she added.	"I do not like to tell you," she added.
2787_157400_000103_000000	"I would like to hear what you think, if you will tell me," said John, gravely.	"I would like to hear what you think, if you will tell me," said john, gravely.
2787_157400_000104_000000	"Well, do not be angry.	"Well, do not be angry.
2787_157400_000104_000001	I have a presentiment that you will not be made senator.	I have a presentiment that you will not be made senator.
2787_157400_000104_000002	Are you angry?"	Are you angry?"
2787_157400_000105_000000	"No indeed.	"No indeed.
2787_157400_000105_000001	But why?"	But why?"
2787_157400_000106_000000	"Just for that very reason; you are too calm.	"Just for that very reason; you are too calm.
2787_157400_000106_000001	You are not enough of a partisan.	You are not enough of a partisan.
2787_157400_000106_000002	Every one is a partisan here."	Every one is a partisan here."
2787_157400_000107_000000	John was silent, and his face was grave and thoughtful.	john was silent, and his face was grave and thoughtful.
2787_157400_000107_000001	The remark was profound in its way, and showed a far deeper insight into political matters than he imagined Joe possessed.	The remark was profound in its way, and showed a far deeper insight into political matters than he imagined Joe possessed.
2787_157400_000107_000002	He had long regarded Mrs. Wyndham as a woman of fine sense and judgment, and had often asked her opinion on important questions.	He had long regarded mrs Wyndham as a woman of fine sense and judgment, and had often asked her opinion on important questions.
2787_157400_000107_000003	But in all his experience she had never said anything that seemed to strike so deeply at the root of things as this simple remark of Josephine's.	But in all his experience she had never said anything that seemed to strike so deeply at the root of things as this simple remark of Josephine's.
2787_157400_000108_000000	"I am afraid you are angry," said Joe, seeing that he was grave and silent.	"I am afraid you are angry," said Joe, seeing that he was grave and silent.
2787_157400_000109_000000	"You have set me thinking, Miss Thorn," he answered.	"You have set me thinking, Miss Thorn," he answered.
2787_157400_000110_000000	"You think I may be right?" she said.	"You think I may be right?" she said.
2787_157400_000111_000000	"The idea is quite new to me, I think it is perhaps the best definition of the fact that I ever heard.	"The idea is quite new to me, I think it is perhaps the best definition of the fact that I ever heard.
2787_157400_000111_000001	But it is not what ought to be."	But it is not what ought to be."
2787_157400_000112_000000	"Of course not," Joe answered.	"Of course not," Joe answered.
2787_157400_000112_000001	"Nothing is just what it ought to be.	"Nothing is just what it ought to be.
2787_157400_000112_000002	But one has to take things as they are."	But one has to take things as they are."
2787_157400_000113_000000	"And make them what they should be," added John, and the look of strong determination came into his face.	"And make them what they should be," added john, and the look of strong determination came into his face.
2787_157400_000114_000000	"Ah, yes," said Joe, softly.	"Ah, yes," said Joe, softly.
2787_157400_000114_000001	"Make things what they should be.	"Make things what they should be.
2787_157400_000115_000000	"Perhaps we might go home, Joe," said Miss Schenectady, who had been conversing for a couple of hours with another old lady of literary tastes.	"Perhaps we might go home, Joe," said Miss Schenectady, who had been conversing for a couple of hours with another old lady of literary tastes.
2787_157400_000117_000000	"Shall I see you to-morrow night at Mrs. Wyndham's dinner?" asked John, as they parted.	"Shall I see you to morrow night at mrs Wyndham's dinner?" asked john, as they parted.
2787_157400_000118_000000	"No, I refused.	"No, I refused.
2787_157400_000118_000001	Good-night."	Good night."
2787_157400_000119_000000	As Joe sat by her aunt's side in the deep dark carriage on the way home, her hands were cold and she trembled from head to foot.	As Joe sat by her aunt's side in the deep dark carriage on the way home, her hands were cold and she trembled from head to foot.
