5538_70919_000002_000000	"From the Depths of his Love"	"From the Depths of his Love"
5538_70919_000008_000002	He had thought seriously, at times, of seeking a wider field, but he liked the country and the open air, and his practice would give Ralph the opportunity he needed.	He had thought seriously, at times, of seeking a wider field, but he liked the country and the open air, and his practice would give Ralph the opportunity he needed.
5538_70919_000009_000000	At the thought of Ralph, the man's face softened a trifle and his keen eyes became a little less keen.	At the thought of Ralph, the man's face softened a trifle and his keen eyes became a little less keen.
5538_70919_000009_000002	Ralph was twenty-three now and would finish in a few weeks at a famous medical school--Doctor Dexter's own alma mater.	Ralph was twenty three now and would finish in a few weeks at a famous medical school-Doctor Dexter's own alma mater.
5538_70919_000009_000003	He had not been at home since he entered the school, having undertaken to do in three years the work which usually required four.	He had not been at home since he entered the school, having undertaken to do in three years the work which usually required four.
5538_70919_000010_000000	He wrote frequently, however, and Doctor Dexter invariably went to the post-office himself on the days Ralph's letters were expected.	He wrote frequently, however, and Doctor Dexter invariably went to the post office himself on the days Ralph's letters were expected.
5538_70919_000010_000002	The last one was in his pocket now.	The last one was in his pocket now.
5538_70919_000011_000000	"To think, Father," Ralph had written, "in three weeks more or less, I shall be at home with my sheepskin and a fine new shingle with 'Dr. Ralph Dexter' painted on it, all ready to hang up on the front of the house beside yours.	"To think, Father," Ralph had written, "in three weeks more or less, I shall be at home with my sheepskin and a fine new shingle with 'dr Ralph Dexter' painted on it, all ready to hang up on the front of the house beside yours.
5538_70919_000011_000001	I'll be glad to get out of the grind for a while, I can tell you that.	I'll be glad to get out of the grind for a while, I can tell you that.
5538_70919_000011_000002	I've worked as His Satanic Majesty undoubtedly does when he receives word that a fresh batch of Mormons has hit the trail for the good-intentions pavement.	I've worked as His Satanic Majesty undoubtedly does when he receives word that a fresh batch of Mormons has hit the trail for the good intentions pavement.
5538_70919_000012_000000	"At first, I suppose, there won't be much for me to do.	"At first, I suppose, there won't be much for me to do.
5538_70919_000012_000002	Finally, they'll let me vaccinate the kids and the rest will be pitifully easy.	Finally, they'll let me vaccinate the kids and the rest will be pitifully easy.
5538_70919_000013_000000	Remembering the boyishness of it, Anthony Dexter smiled a little and took another satisfying look at the pictured face before him.	Remembering the boyishness of it, Anthony Dexter smiled a little and took another satisfying look at the pictured face before him.
5538_70919_000013_000001	Ralph's eyes were as his father's had been--frank and friendly and clear, with no hint of suspicion.	Ralph's eyes were as his father's had been-frank and friendly and clear, with no hint of suspicion.
5538_70919_000013_000002	His chin was firm and his mouth determined, but the corners of it turned up decidedly, and the upper lip was short. The unprejudiced observer would have seen merely an honest, intelligent, manly young fellow, who looked as if he might be good company.	His chin was firm and his mouth determined, but the corners of it turned up decidedly, and the upper lip was short. The unprejudiced observer would have seen merely an honest, intelligent, manly young fellow, who looked as if he might be good company.
5538_70919_000013_000003	Anthony Dexter saw all this--and a great deal more.	Anthony Dexter saw all this-and a great deal more.
5538_70919_000014_000000	It was his pride that he was unemotional.	It was his pride that he was unemotional.
5538_70919_000014_000001	By rigid self-discipline, he had wholly mastered himself.	By rigid self discipline, he had wholly mastered himself.
5538_70919_000014_000002	His detachment from his kind was at first spasmodic, then exceptionally complete.	His detachment from his kind was at first spasmodic, then exceptionally complete.
5538_70919_000014_000003	Excepting Ralph, his relation to the world was that of an unimpassioned critic.	Excepting Ralph, his relation to the world was that of an unimpassioned critic.
5538_70919_000014_000004	He was so sure of his own ground that he thought he considered Ralph impersonally, also.	He was so sure of his own ground that he thought he considered Ralph impersonally, also.
5538_70919_000015_000000	Over a nature which, at the beginning, was warmly human, Doctor Dexter had laid this glacial mask.	Over a nature which, at the beginning, was warmly human, Doctor Dexter had laid this glacial mask.
5538_70919_000015_000001	He did what he had to do with neatness and dispatch.	He did what he had to do with neatness and dispatch.
5538_70919_000015_000002	If an operation was necessary, he said so at once, not troubling himself to approach the subject gradually.	If an operation was necessary, he said so at once, not troubling himself to approach the subject gradually.
5538_70919_000015_000003	If there was doubt as to the outcome, he would cheerfully advise the patient to make a will first, but there was seldom doubt, for those white, blunt fingers were very sure.	If there was doubt as to the outcome, he would cheerfully advise the patient to make a will first, but there was seldom doubt, for those white, blunt fingers were very sure.
5538_70919_000015_000004	He believed in the clean-cut, sudden stroke, and conducted his life upon that basis.	He believed in the clean cut, sudden stroke, and conducted his life upon that basis.
5538_70919_000016_000000	Without so much as the quiver of an eyelash, Anthony Dexter could tell a man that within an hour his wife would be dead.	Without so much as the quiver of an eyelash, Anthony Dexter could tell a man that within an hour his wife would be dead.
5538_70919_000016_000001	He could predict the death of a child, almost to the minute, without a change in his mask-like expression, and feel a faint throb of professional pride when his prediction was precisely fulfilled.	He could predict the death of a child, almost to the minute, without a change in his mask like expression, and feel a faint throb of professional pride when his prediction was precisely fulfilled.
5538_70919_000016_000002	The people feared him, respected him, and admired his skill, but no one loved him except his son.	The people feared him, respected him, and admired his skill, but no one loved him except his son.
5538_70919_000017_000000	Among all his acquaintances, there was none who called him friend except Austin Thorpe, the old minister who had but lately come to town. This, in itself, was no distinction, for Thorpe was the friend of every man, woman, child, and animal in the village.	Among all his acquaintances, there was none who called him friend except Austin Thorpe, the old minister who had but lately come to town. This, in itself, was no distinction, for Thorpe was the friend of every man, woman, child, and animal in the village.
5538_70919_000017_000001	No two men could have been more unlike, but friendship, like love, is often a matter of chemical affinity, wherein opposites rush together in obedience to a hidden law.	No two men could have been more unlike, but friendship, like love, is often a matter of chemical affinity, wherein opposites rush together in obedience to a hidden law.
5538_70919_000018_000000	The broadly human creed of the minister included every living thing, and the man himself interested Doctor Dexter in much the same way that a new slide for his microscope might interest him.	The broadly human creed of the minister included every living thing, and the man himself interested Doctor Dexter in much the same way that a new slide for his microscope might interest him.
5538_70919_000018_000001	They exchanged visits frequently when the duties of both permitted, and the Doctor reflected that, when Ralph came, Thorpe would be lonely.	They exchanged visits frequently when the duties of both permitted, and the Doctor reflected that, when Ralph came, Thorpe would be lonely.
5538_70919_000019_000000	The Dexter house was an old one but it had been kept in good repair. From time to time, wings had been added to the original structure, until now it sprawled lazily in every direction.	The Dexter house was an old one but it had been kept in good repair. From time to time, wings had been added to the original structure, until now it sprawled lazily in every direction.
5538_70919_000019_000001	One wing, at the right of the house, contained the Doctor's medical library, office, reception room, and laboratory.	One wing, at the right of the house, contained the Doctor's medical library, office, reception room, and laboratory.
5538_70919_000019_000003	The laboratory, at the back of the wing, was well fitted with modern appliances for original research, and had, too, its own outside door.	The laboratory, at the back of the wing, was well fitted with modern appliances for original research, and had, too, its own outside door.
5538_70919_000020_000000	When Ralph came home, the other wing, at the left of the house, was to be arranged in like manner for him if he so desired.	When Ralph came home, the other wing, at the left of the house, was to be arranged in like manner for him if he so desired.
5538_70919_000020_000001	Doctor Dexter had some rough drawings under consideration, but wanted Ralph to order the plans in accordance with his own ideas.	Doctor Dexter had some rough drawings under consideration, but wanted Ralph to order the plans in accordance with his own ideas.
5538_70919_000021_000000	The breakfast bell rang again, and Doctor Dexter went downstairs.	The breakfast bell rang again, and Doctor Dexter went downstairs.
5538_70919_000021_000001	The servant met him in the hall.	The servant met him in the hall.
5538_70919_000021_000002	"Breakfast is waiting, sir," she said.	"Breakfast is waiting, sir," she said.
5538_70919_000022_000000	"All right," returned the Doctor, absently.	"All right," returned the Doctor, absently.
5538_70919_000023_000000	He opened the door for a breath of fresh air, and immediately perceived the small, purple velvet box at his feet.	He opened the door for a breath of fresh air, and immediately perceived the small, purple velvet box at his feet.
5538_70919_000023_000001	He picked it up, wonderingly, and opened it.	He picked it up, wonderingly, and opened it.
5538_70919_000025_000000	Being unemotional, he experienced nothing at first, save natural surprise.	Being unemotional, he experienced nothing at first, save natural surprise.
5538_70919_000025_000001	He stood there, staring into vacancy, idly fingering the pearls.	He stood there, staring into vacancy, idly fingering the pearls.
5538_70919_000025_000002	By some evil magic of the moment, the hour seemed set back a full quarter of a century.	By some evil magic of the moment, the hour seemed set back a full quarter of a century.
5538_70919_000025_000003	As though it were yesterday, he saw Evelina before him.	As though it were yesterday, he saw Evelina before him.
5538_70919_000026_000000	She had been a girl of extraordinary beauty and charm.	She had been a girl of extraordinary beauty and charm.
5538_70919_000026_000001	He had travelled far and seen many, but there had been none like Evelina.	He had travelled far and seen many, but there had been none like Evelina.
5538_70919_000026_000002	How he had loved her, in those dead yesterdays, and how she had loved him! The poignant sweetness of it came back, changed by some fatal alchemy into bitterness.	How he had loved her, in those dead yesterdays, and how she had loved him! The poignant sweetness of it came back, changed by some fatal alchemy into bitterness.
5538_70919_000027_000000	Anthony Dexter had seen enough of the world to recognise cowardice when he saw it, even in himself.	Anthony Dexter had seen enough of the world to recognise cowardice when he saw it, even in himself.
5538_70919_000028_000000	Hard work and new love and daily wearying of the body to the point of exhaustion had banished those phantoms of earlier years, save in his dreams.	Hard work and new love and daily wearying of the body to the point of exhaustion had banished those phantoms of earlier years, save in his dreams.
5538_70919_000028_000001	At night, the soul claims its own--its right to suffer for its secret sins, its shirking, its betrayals.	At night, the soul claims its own-its right to suffer for its secret sins, its shirking, its betrayals.
5538_70919_000029_000000	It is not pleasant for a man to be branded, in his own consciousness, a coward.	It is not pleasant for a man to be branded, in his own consciousness, a coward.
5538_70919_000029_000001	Refusal to admit it by day does not change the hour of the night when life is at its lowest ebb, and, sleepless, man faces himself as he is.	Refusal to admit it by day does not change the hour of the night when life is at its lowest ebb, and, sleepless, man faces himself as he is.
5538_70919_000030_000000	The necklace slipped snakily over his hand--one of those white, firm hands which could guide the knife so well--and Anthony Dexter shuddered.	The necklace slipped snakily over his hand-one of those white, firm hands which could guide the knife so well-and Anthony Dexter shuddered.
5538_70919_000030_000001	He flung the box far from him into the shrubbery, went back into the house, and slammed the door.	He flung the box far from him into the shrubbery, went back into the house, and slammed the door.
5538_70919_000031_000000	He sat down at the table, but could not eat.	He sat down at the table, but could not eat.
5538_70919_000031_000001	The Past had come from its grave, veiled, like the ghost in the garden that he had seen yesterday.	The Past had come from its grave, veiled, like the ghost in the garden that he had seen yesterday.
5538_70919_000032_000000	It was not an hallucination, then.	It was not an hallucination, then.
5538_70919_000032_000001	Only one person in the world could have laid those discoloured pearls at his door in the dead of night. The black figure in the garden, with the chiffon fluttering about its head, was Evelina Grey--or what was left of her.	Only one person in the world could have laid those discoloured pearls at his door in the dead of night. The black figure in the garden, with the chiffon fluttering about its head, was Evelina Grey-or what was left of her.
5538_70919_000033_000000	"Why?" he questioned uneasily of himself.	"Why?" he questioned uneasily of himself.
5538_70919_000033_000001	"Why?" He had repeatedly told himself that any other man, in his position, would do as he had done, yet it was as though some one had slipped a stiletto under his armour and found a vulnerable spot.	"Why?" He had repeatedly told himself that any other man, in his position, would do as he had done, yet it was as though some one had slipped a stiletto under his armour and found a vulnerable spot.
5538_70919_000034_000000	Before his mental vision hovered two women.	Before his mental vision hovered two women.
5538_70919_000034_000001	One was a girl of twenty, laughing, exquisitely lovely.	One was a girl of twenty, laughing, exquisitely lovely.
5538_70919_000034_000002	The other was a bent and broken woman in black, whose veil concealed the dreadful hideousness of her face.	The other was a bent and broken woman in black, whose veil concealed the dreadful hideousness of her face.
5538_70919_000036_000000	He determined to vanquish the spectre that had reared itself before him, not perceiving that Remorse incarnate, in the shape of Evelina, had come back to haunt him until his dying day.	He determined to vanquish the spectre that had reared itself before him, not perceiving that Remorse incarnate, in the shape of Evelina, had come back to haunt him until his dying day.
