8474_281188_000001_000001	He himself set them the example, and they all returned as they had come.	He himself set them the example, and they all returned as they had come.
8474_281188_000018_000004	Examining all the jars, one after another, he found that all his gang were dead; and, enraged to despair at having failed in his design, he forced the lock of a door that led from the yard to the garden, and, climbing over the walls, made his escape.	Examining all the jars, one after another, he found that all his gang were dead; and, enraged to despair at having failed in his design, he forced the lock of a door that led from the yard to the garden, and, climbing over the walls, made his escape.
8474_281188_000019_000000	When Morgiana saw him depart, she went to bed, satisfied and pleased to have succeeded so well in saving her master and family.	When Morgiana saw him depart, she went to bed, satisfied and pleased to have succeeded so well in saving her master and family.
8474_281188_000020_000000	Ali Baba rose before day, and, followed by his slave, went to the baths, entirely ignorant of the important event which had happened at home.	Ali Baba rose before day, and, followed by his slave, went to the baths, entirely ignorant of the important event which had happened at home.
8474_281188_000021_000000	When he returned from the baths, he was very much surprised to see the oil jars, and that the merchant was not gone with the mules. He asked Morgiana, who opened the door, the reason of it.	When he returned from the baths, he was very much surprised to see the oil jars, and that the merchant was not gone with the mules. He asked Morgiana, who opened the door, the reason of it.
8474_281188_000021_000001	"My good master," answered she, "God preserve you and all your family.	"My good master," answered she, "God preserve you and all your family.
8474_281188_000021_000002	You will be better informed of what you wish to know when you have seen what I have to show you, if you will follow me."	You will be better informed of what you wish to know when you have seen what I have to show you, if you will follow me."
8474_281188_000022_000000	As soon as Morgiana had shut the door, Ali Baba followed her, when she requested him to look into the first jar, and see if there was any oil.	As soon as Morgiana had shut the door, Ali Baba followed her, when she requested him to look into the first jar, and see if there was any oil.
8474_281188_000022_000001	Ali Baba did so, and seeing a man, started back in alarm, and cried out.	Ali Baba did so, and seeing a man, started back in alarm, and cried out.
8474_281188_000022_000002	"Do not be afraid," said Morgiana, "the man you see there can neither do you nor anybody else any harm.	"Do not be afraid," said Morgiana, "the man you see there can neither do you nor anybody else any harm.
8474_281188_000022_000004	Explain yourself."	Explain yourself."
8474_281188_000022_000005	"I will," replied Morgiana.	"I will," replied Morgiana.
8474_281188_000022_000006	"Moderate your astonishment, and do not excite the curiosity of your neighbors; for it is of great importance to keep this affair secret.	"Moderate your astonishment, and do not excite the curiosity of your neighbors; for it is of great importance to keep this affair secret.
8474_281188_000022_000007	Look into all the other jars."	Look into all the other jars."
8474_281188_000023_000000	Ali Baba examined all the other jars, one after another; and when he came to that which had the oil in, found it prodigiously sunk, and stood for some time motionless, sometimes looking at the jars, and sometimes at Morgiana, without saying a word, so great was his surprise.	Ali Baba examined all the other jars, one after another; and when he came to that which had the oil in, found it prodigiously sunk, and stood for some time motionless, sometimes looking at the jars, and sometimes at Morgiana, without saying a word, so great was his surprise.
8474_281188_000024_000000	At last, when he had recovered himself, he said, "And what is become of the merchant?"	At last, when he had recovered himself, he said, "And what is become of the merchant?"
8474_281188_000025_000000	"Merchant!" answered she; "he is as much one as I am.	"Merchant!" answered she; "he is as much one as I am.
8474_281188_000027_000000	On hearing of these brave deeds from the lips of Morgiana, Ali Baba said to her, "God, by your means, has delivered me from the snares these robbers laid for my destruction.	On hearing of these brave deeds from the lips of Morgiana, Ali Baba said to her, "God, by your means, has delivered me from the snares these robbers laid for my destruction.
8474_281188_000027_000001	I owe, therefore, my life to you; and, for the first token of my acknowledgment, give you your liberty from this moment, till I can complete your recompense, as I intend."	I owe, therefore, my life to you; and, for the first token of my acknowledgment, give you your liberty from this moment, till I can complete your recompense, as I intend."
8474_281188_000028_000000	Ali Baba's garden was very long, and shaded at the further end by a great number of large trees.	Ali Baba's garden was very long, and shaded at the further end by a great number of large trees.
8474_281188_000028_000001	Near these he and the slave Abdalla dug a trench, long and wide enough to hold the bodies of the robbers; and as the earth was light, they were not long in doing it.	Near these he and the slave Abdalla dug a trench, long and wide enough to hold the bodies of the robbers; and as the earth was light, they were not long in doing it.
8474_281188_000028_000002	When this was done, Ali Baba hid the jars and weapons; and as he had no occasion for the mules, he sent them at different times to be sold in the market by his slave.	When this was done, Ali Baba hid the jars and weapons; and as he had no occasion for the mules, he sent them at different times to be sold in the market by his slave.
8474_281188_000029_000000	While Ali Baba took these measures, the captain of the forty robbers returned to the forest with inconceivable mortification. He did not stay long: the loneliness of the gloomy cavern became frightful to him.	While Ali Baba took these measures, the captain of the forty robbers returned to the forest with inconceivable mortification. He did not stay long: the loneliness of the gloomy cavern became frightful to him.
8474_281188_000029_000001	He determined, however, to avenge the fate of his companions, and to accomplish the death of Ali Baba.	He determined, however, to avenge the fate of his companions, and to accomplish the death of Ali Baba.
8474_281188_000029_000002	For this purpose he returned to the town and took a lodging in a khan, and disguised himself as a merchant in silks.	For this purpose he returned to the town and took a lodging in a khan, and disguised himself as a merchant in silks.
8474_281188_000030_000002	Two or three days after he was settled, Ali Baba came to see his son, and the captain of the robbers recognized him at once, and soon learned from his son who he was.	Two or three days after he was settled, Ali Baba came to see his son, and the captain of the robbers recognized him at once, and soon learned from his son who he was.
8474_281188_000030_000003	After this he increased his assiduities, caressed him in the most engaging manner, made him some small presents, and often asked him to dine and sup with him, when he treated him very handsomely.	After this he increased his assiduities, caressed him in the most engaging manner, made him some small presents, and often asked him to dine and sup with him, when he treated him very handsomely.
8474_281188_000031_000001	He therefore acquainted his father, Ali Baba, with his wish to invite him in return.	He therefore acquainted his father, Ali Baba, with his wish to invite him in return.
8474_281188_000032_000000	Ali Baba with great pleasure took the treat upon himself.	Ali Baba with great pleasure took the treat upon himself.
8474_281188_000033_000001	"This, sir," said he, "is my father's house, who, from the account I have given him of your friendship, charged me to procure him the honor of your acquaintance; and I desire you to add this pleasure to those for which I am already indebted to you."	"This, sir," said he, "is my father's house, who, from the account I have given him of your friendship, charged me to procure him the honor of your acquaintance; and I desire you to add this pleasure to those for which I am already indebted to you."
8474_281188_000036_000002	I will return immediately."	I will return immediately."
8474_281188_000038_000000	Morgiana, who was always ready to obey her master, could not help being surprised at his strange order.	Morgiana, who was always ready to obey her master, could not help being surprised at his strange order.
8474_281188_000038_000001	"Who is this strange man," said she, "who eats no salt with his meat?	"Who is this strange man," said she, "who eats no salt with his meat?
8474_281188_000038_000002	Your supper will be spoiled if I keep it back so long." "Do not be angry, Morgiana," replied Ali Baba; "he is an honest man, therefore do as I bid you."	Your supper will be spoiled if I keep it back so long." "Do not be angry, Morgiana," replied Ali Baba; "he is an honest man, therefore do as I bid you."
8474_281188_000039_000000	Morgiana obeyed, though with no little reluctance, and had a curiosity to see this man who ate no salt.	Morgiana obeyed, though with no little reluctance, and had a curiosity to see this man who ate no salt.
8474_281188_000046_000001	Sometimes she presented the poniard to one breast, sometimes to another, and oftentimes seemed to strike her own.	Sometimes she presented the poniard to one breast, sometimes to another, and oftentimes seemed to strike her own.
8474_281188_000048_000000	Ali Baba and his son, shocked at this action, cried out aloud. "Unhappy woman!" exclaimed Ali Baba, "what have you done, to ruin me and my family?"	Ali Baba and his son, shocked at this action, cried out aloud. "Unhappy woman!" exclaimed Ali Baba, "what have you done, to ruin me and my family?"
8474_281188_000048_000002	Look well at him, and you will find him to be both the fictitious oil merchant, and the captain of the gang of forty robbers.	Look well at him, and you will find him to be both the fictitious oil merchant, and the captain of the gang of forty robbers.
8474_281188_000048_000003	Remember, too, that he would eat no salt with you; and what would you have more to persuade you of his wicked design? Before I saw him, I suspected him as soon as you told me you had such a guest.	Remember, too, that he would eat no salt with you; and what would you have more to persuade you of his wicked design? Before I saw him, I suspected him as soon as you told me you had such a guest.
8474_281188_000048_000004	I knew him, and you now find that my suspicion was not groundless."	I knew him, and you now find that my suspicion was not groundless."
8474_281188_000049_000002	Consider, that by marrying Morgiana you marry the preserver of my family and your own."	Consider, that by marrying Morgiana you marry the preserver of my family and your own."
8474_281188_000050_000000	The son, far from showing any dislike, readily consented to the marriage; not only because he would not disobey his father, but also because it was agreeable to his inclination.	The son, far from showing any dislike, readily consented to the marriage; not only because he would not disobey his father, but also because it was agreeable to his inclination.
8474_281188_000050_000001	After this they thought of burying the captain of the robbers with his comrades, and did it so privately that nobody discovered their bones till many years after, when no one had any concern in the publication of this remarkable history.	After this they thought of burying the captain of the robbers with his comrades, and did it so privately that nobody discovered their bones till many years after, when no one had any concern in the publication of this remarkable history.
8474_281188_000050_000002	A few days afterward Ali Baba celebrated the nuptials of his son and Morgiana with great solemnity, a sumptuous feast, and the usual dancing and spectacles; and had the satisfaction to see that his friends and neighbors, whom he invited, had no knowledge of the true motives of the marriage; but that those who were not unacquainted with Morgiana's good qualities, commended his generosity and goodness of heart.	A few days afterward Ali Baba celebrated the nuptials of his son and Morgiana with great solemnity, a sumptuous feast, and the usual dancing and spectacles; and had the satisfaction to see that his friends and neighbors, whom he invited, had no knowledge of the true motives of the marriage; but that those who were not unacquainted with Morgiana's good qualities, commended his generosity and goodness of heart.
8474_281188_000050_000003	Ali Baba did not visit the robbers' cave for a whole year, as he supposed the other two might be alive.	Ali Baba did not visit the robbers' cave for a whole year, as he supposed the other two might be alive.
8474_281188_000051_000000	At the year's end, when he found they had not made any attempt to disturb him, he had the curiosity to make another journey.	At the year's end, when he found they had not made any attempt to disturb him, he had the curiosity to make another journey.
8474_281188_000051_000001	He mounted his horse, and when he came to the cave he alighted, tied his horse to a tree, then approaching the entrance, and pronouncing the words, "Open, Sesame!" the door opened.	He mounted his horse, and when he came to the cave he alighted, tied his horse to a tree, then approaching the entrance, and pronouncing the words, "Open, Sesame!" the door opened.
8474_281188_000051_000002	He entered the cavern and by the condition he found things in, judged that nobody had been there since the captain had fetched the goods for his shop.	He entered the cavern and by the condition he found things in, judged that nobody had been there since the captain had fetched the goods for his shop.
8474_281188_000051_000003	From this time he believed he was the only person in the world who had the secret of opening the cave, and that all the treasure was at his sole disposal.	From this time he believed he was the only person in the world who had the secret of opening the cave, and that all the treasure was at his sole disposal.
8474_281188_000051_000004	He put as much gold into his saddle-bag as his horse could carry, and returned to town.	He put as much gold into his saddle bag as his horse could carry, and returned to town.
