7910_294690_000000_000000	CHAPTER IV.	CHAPTER four.	false	0.18	20.055	21.914707
7910_294690_000005_000001	He has raised money in London; he has let the house to some rich tradesman for seven years; he has sold the plate, and the jewels that came to me from his mother.	He has raised money in London; he has let the house to some rich tradesman for seven years; he has sold the plate, and the jewels that came to me from his mother.	true	80.06	89.17	21.62763
7910_294690_000005_000002	The land in America swallows it all up.	The land in America swallows it all up.	false	89.39	92.11	22.041004
7910_294690_000005_000003	We have no home, George, and no choice but to go with him."	We have no home, George, and no choice but to go with him."	true	92.24	96.19	21.41784
7910_294690_000006_000000	An hour afterward the post-chaise was at the door.	An hour afterward the post chaise was at the door.	true	96.86	100.27	22.739567
7910_294690_000007_000000	My father himself took me to the carriage.	My father himself took me to the carriage.	true	101.09	103.81	20.1634
7910_294690_000007_000001	I broke away from him, with a desperation which not even his resolution could resist.	I broke away from him, with a desperation which not even his resolution could resist.	true	104.18	109.57	20
7910_294690_000007_000002	I ran, I flew, along the path that led to Dermody's cottage.	I ran, I flew, along the path that led to Dermody's cottage.	true	109.7	114.1	21.117237
7910_294690_000007_000003	The door stood open; the parlor was empty.	The door stood open; the parlor was empty.	true	114.47	117.82	22.820004
7910_294690_000007_000004	I went into the kitchen; I went into the upper rooms. Solitude everywhere.	I went into the kitchen; I went into the upper rooms. Solitude everywhere.	true	118.1	123.61	20.492064
7910_294690_000007_000005	The bailiff had left the place; and his mother and his daughter had gone with him.	The bailiff had left the place; and his mother and his daughter had gone with him.	true	123.98	128.77	21.151356
7910_294690_000007_000006	No friend or neighbor lingered near with a message; no letter lay waiting for me; no hint was left to tell me in what direction they had taken their departure.	No friend or neighbor lingered near with a message; no letter lay waiting for me; no hint was left to tell me in what direction they had taken their departure.	true	129.11	139.24	20.774681
7910_294690_000007_000007	After the insulting words which his master had spoken to him, Dermody's pride was concerned in leaving no trace of his whereabouts; my father might consider it as a trace purposely left with the object of reuniting Mary and me.	After the insulting words which his master had spoken to him, Dermody's pride was concerned in leaving no trace of his whereabouts; my father might consider it as a trace purposely left with the object of reuniting Mary and me.	true	139.73	154.24	21.376677
7910_294690_000007_000008	I had no keepsake to speak to me of my lost darling but the flag which she had embroidered with her own hand.	I had no keepsake to speak to me of my lost darling but the flag which she had embroidered with her own hand.	true	154.61	161.44	22.207
7910_294690_000007_000009	The furniture still remained in the cottage.	The furniture still remained in the cottage.	true	161.93	164.53	24
7910_294690_000007_000010	I sat down in our customary corner, by Mary's empty chair, and looked again at the pretty green flag, and burst out crying.	I sat down in our customary corner, by Mary's empty chair, and looked again at the pretty green flag, and burst out crying.	true	164.9	173.62	21.218948
7910_294690_000008_000000	A light touch roused me.	A light touch roused me.	true	174.14	176.08	22.902533
7910_294690_000008_000001	My father had so far yielded as to leave to my mother the responsibility of bringing me back to the traveling carriage.	My father had so far yielded as to leave to my mother the responsibility of bringing me back to the traveling carriage.	true	176.45	183.73	19
7910_294690_000009_000000	"We shall not find Mary here, George," she said, gently.	"We shall not find Mary here, George," she said, gently.	true	184.49	188.11	22.247034
7910_294690_000009_000001	"And we _may_ hear of her in London.	"And we underscore may underscore hear of her in London.	false	188.36	190.42	21.955547
7910_294690_000009_000002	Come with me."	Come with me."	true	190.7	191.74	21.713255
7910_294690_000010_000000	I rose and silently gave her my hand.	I rose and silently gave her my hand.	true	192.38	195.07	20.04497
7910_294690_000010_000001	Something low down on the clean white door-post caught my eye as we passed it.	Something low down on the clean white door post caught my eye as we passed it.	true	195.32	200.41	20
7910_294690_000010_000002	I stooped, and discovered some writing in pencil.	I stooped, and discovered some writing in pencil.	true	200.57	203.95	23.21024
7910_294690_000010_000003	I looked closer--it was writing in Mary's hand! The unformed childish characters traced these last words of farewell:	I looked closer-it was writing in Mary's hand! The unformed childish characters traced these last words of farewell:	true	204.17	213.31	22.288977
7910_294690_000011_000000	"Good-by, dear.	"Good by, dear.	true	213.74	214.95	20.591536
7910_294690_000011_000001	Don't forget Mary."	Don't forget Mary."	true	214.95	216.31	20.56226
7910_294690_000012_000000	I knelt down and kissed the writing.	I knelt down and kissed the writing.	true	217.01	219.31	20.935097
7910_294690_000012_000001	It comforted me--it was like a farewell touch from Mary's hand.	It comforted me-it was like a farewell touch from Mary's hand.	true	219.38	223.66	21.224466
7910_294690_000012_000002	I followed my mother quietly to the carriage.	I followed my mother quietly to the carriage.	true	223.91	226.81	21.857674
7910_294690_000013_000000	Late that night we were in London.	Late that night we were in London.	true	227	229.36	23.109877
7910_294690_000014_000000	My good mother did all that the most compassionate kindness could do (in her position) to comfort me.	My good mother did all that the most compassionate kindness could do (in her position) to comfort me.	true	229.94	236.08	21.321537
7910_294690_000014_000001	She privately wrote to the solicitors employed by her family, inclosing a description of Dermody and his mother and daughter and directing inquiries to be made at the various coach-offices in London.	She privately wrote to the solicitors employed by her family, inclosing a description of Dermody and his mother and daughter and directing inquiries to be made at the various coach offices in London.	true	236.45	248.2	20.571957
7910_294690_000014_000002	She also referred the lawyers to two of Dermody's relatives, who lived in the city, and who might know something of his movements after he left my father's service.	She also referred the lawyers to two of Dermody's relatives, who lived in the city, and who might know something of his movements after he left my father's service.	true	248.54	258.1	21.717556
7910_294690_000014_000003	When she had done this, she had done all that lay in her power.	When she had done this, she had done all that lay in her power.	true	258.74	262.39	20.708372
7910_294690_000014_000004	We neither of us possessed money enough to advertise in the newspapers.	We neither of us possessed money enough to advertise in the newspapers.	true	262.7	266.77	21
7910_294690_000015_000000	A week afterward we sailed for the United States.	A week afterward we sailed for the United States.	true	267.2	270.61	24.150965
7910_294690_000015_000001	Twice in that interval I communicated with the lawyers; and twice I was informed that the inquiries had led to nothing.	Twice in that interval I communicated with the lawyers; and twice I was informed that the inquiries had led to nothing.	false	270.83	277.9	22.001127
7910_294690_000016_000000	With this the first epoch in my love story comes to an end.	With this the first epoch in my love story comes to an end.	true	278.72	282.58	22.658611
7910_294690_000017_000000	For ten long years afterward I never again met with my little Mary; I never even heard whether she had lived to grow to womanhood or not.	For ten long years afterward I never again met with my little Mary; I never even heard whether she had lived to grow to womanhood or not.	true	283.19	292.095	20.18853
7910_294690_000017_000001	I still kept the green flag, with the dove worked on it.	I still kept the green flag, with the dove worked on it.	true	292.095	295.93	23.550896
7910_294690_000017_000002	For the rest, the waters of oblivion had closed over the old golden days at Greenwater Broad.	For the rest, the waters of oblivion had closed over the old golden days at Greenwater Broad.	true	296.12	302.91	22.115946
7910_294690_000018_000000	CHAPTER V. MY STORY.	CHAPTER five MY STORY.	false	302.91	303.39	-20
7910_294690_000019_000000	WHEN YOU last saw me, I was a boy of thirteen.	WHEN YOU last saw me, I was a boy of thirteen.	false	303.39	304.8	18.986835
7910_294690_000019_000001	You now see me a man of twenty-three.	You now see me a man of twenty three.	false	304.8	306.27	25.838602
7910_294690_000020_000000	The story of my life, in the interval between these two ages, is a story that can be soon told.	The story of my life, in the interval between these two ages, is a story that can be soon told.	false	306.27	313.53	14.960283
