8684_293663_000004_000000	He dropped down softly to the causeway.	He dropped down softly to the causeway.
8684_293663_000010_000002	But the court was filled with another mob of struggling people, and in the darkness there was no possibility of discovering the secret of raising it.	But the court was filled with another mob of struggling people, and in the darkness there was no possibility of discovering the secret of raising it.
8684_293663_000011_000000	He blundered about, raging, forcing a path now here, now there.	He blundered about, raging, forcing a path now here, now there.
8684_293663_000011_000001	He ran into blind alleys, into small threading streets about the court, which led him back into the central place of assembly.	He ran into blind alleys, into small threading streets about the court, which led him back into the central place of assembly.
8684_293663_000011_000002	It was like a nightmare, that blind search under the pale three-quarter moon and the black, star-blotched sky.	It was like a nightmare, that blind search under the pale three quarter moon and the black, star blotched sky.
8684_293663_000012_000000	Suddenly Jim found himself wedged by the pressure of the crowd into a sort of recess leading off the elevator court.	Suddenly Jim found himself wedged by the pressure of the crowd into a sort of recess leading off the elevator court.
8684_293663_000012_000001	So strong was the pressure here that he was unable to move an inch.	So strong was the pressure here that he was unable to move an inch.
8684_293663_000012_000002	Wedged bolt upright, he could only wait and let the frenzied mob stream past him.	Wedged bolt upright, he could only wait and let the frenzied mob stream past him.
8684_293663_000012_000003	And louder above the sound of wailing came the roars of the Drilgoes swarming along the causeway.	And louder above the sound of wailing came the roars of the Drilgoes swarming along the causeway.
8684_293663_000013_000000	Suddenly something gave behind him--a door, as it seemed, broken off its hinges by the mob pressure.	Suddenly something gave behind him-a door, as it seemed, broken off its hinges by the mob pressure.
8684_293663_000013_000001	Jim was hurled backward, and fell heavily down a flight of stone stairs, bringing up against a stone balustrade.	Jim was hurled backward, and fell heavily down a flight of stone stairs, bringing up against a stone balustrade.
8684_293663_000013_000002	He got up, unconscious of his bruises, ran to the top of the flight, and saw the dim square of palest twilight where the door had been.	He got up, unconscious of his bruises, ran to the top of the flight, and saw the dim square of palest twilight where the door had been.
8684_293663_000014_000001	That stairway must lead to the top of the building, and thence there should be some access to the amphitheatre.	That stairway must lead to the top of the building, and thence there should be some access to the amphitheatre.
8684_293663_000014_000002	Jim turned toward it.	Jim turned toward it.
8684_293663_000015_000000	Suddenly a tremendous uproar filled the streets, yells, the clicking grunts of the Drilgoes, the screams of the panic-stricken populace. The invaders had arrived, and they were sweeping all before them.	Suddenly a tremendous uproar filled the streets, yells, the clicking grunts of the Drilgoes, the screams of the panic stricken populace. The invaders had arrived, and they were sweeping all before them.
8684_293663_000015_000001	No chance of recognition in that darkness.	No chance of recognition in that darkness.
8684_293663_000015_000002	Lucille!	Lucille!
8684_293663_000016_000000	But long before he reached the top he was ascending one by one, with straining limbs and laboring breath.	But long before he reached the top he was ascending one by one, with straining limbs and laboring breath.
8684_293663_000016_000001	Red slaughter down below, a very inferno of sound; above, that shadowy stairway, still extending almost to the heavens.	Red slaughter down below, a very inferno of sound; above, that shadowy stairway, still extending almost to the heavens.
8684_293663_000016_000002	Step after step, flight beyond flight!	Step after step, flight beyond flight!
8684_293663_000017_000000	Jim's lungs were bursting, and his heart hammering as if it would break his chest.	Jim's lungs were bursting, and his heart hammering as if it would break his chest.
8684_293663_000017_000001	One flight more!	One flight more!
8684_293663_000017_000003	Another!	Another!
8684_293663_000017_000004	Suddenly he realized that his task was ended.	Suddenly he realized that his task was ended.
8684_293663_000017_000005	In place of the stairs stood a vast hall, and beyond that another hall, dim in the faint light that filtered through the glass above.	In place of the stairs stood a vast hall, and beyond that another hall, dim in the faint light that filtered through the glass above.
8684_293663_000018_000000	Jim thought he remembered where he was.	Jim thought he remembered where he was.
8684_293663_000018_000001	Beyond that next hall there should be the tongue of flooring, crossing the amphitheatre and joining the platform of the idols.	Beyond that next hall there should be the tongue of flooring, crossing the amphitheatre and joining the platform of the idols.
8684_293663_000018_000002	But he stopped suddenly as he emerged, not upon the tongue, but upon still another stairway.	But he stopped suddenly as he emerged, not upon the tongue, but upon still another stairway.
8684_293663_000019_000000	He had gone astray, and out of his bursting lungs a cry of rage and despair went up.	He had gone astray, and out of his bursting lungs a cry of rage and despair went up.
8684_293663_000019_000001	For a moment he stood still.	For a moment he stood still.
8684_293663_000019_000002	What use to proceed further?	What use to proceed further?
8684_293663_000020_000000	And then, amazingly, there came what might have been a sign from heaven.	And then, amazingly, there came what might have been a sign from heaven.
8684_293663_000020_000001	Down through a small, square opening overhead, no larger than a ventilator, it came ... a glimmer of violet flame!	Down through a small, square opening overhead, no larger than a ventilator, it came ... a glimmer of violet flame!
8684_293663_000021_000000	And Jim hurled himself like a madman against the stairs, and surmounted them with two bounds.	And Jim hurled himself like a madman against the stairs, and surmounted them with two bounds.
8684_293663_000021_000001	There were no more.	There were no more.
8684_293663_000021_000002	Instead, Jim found himself looking down into the amphitheatre.	Instead, Jim found himself looking down into the amphitheatre.
8684_293663_000022_000000	The thick walls had cut off all sound from his ears, save a confused murmur, but now a hideous uproar assailed them.	The thick walls had cut off all sound from his ears, save a confused murmur, but now a hideous uproar assailed them.
8684_293663_000022_000001	The whole floor of the amphitheatre was a mass of moving shadows, of slayers and slain.	The whole floor of the amphitheatre was a mass of moving shadows, of slayers and slain.
8684_293663_000023_000000	The Drilgoes had broken in and trapped the multitudes that had taken refuge there.	The Drilgoes had broken in and trapped the multitudes that had taken refuge there.
8684_293663_000023_000001	Their fearful stone-tipped spears thrust in and out, to the accompaniment of their savage howls and the screams of the dying.	Their fearful stone tipped spears thrust in and out, to the accompaniment of their savage howls and the screams of the dying.
8684_293663_000024_000000	Never has such a shadow-play been seen, perhaps, as that below, where death stalked in dense darkness, and the slayer did not even see his victim.	Never has such a shadow play been seen, perhaps, as that below, where death stalked in dense darkness, and the slayer did not even see his victim.
8684_293663_000024_000001	Only the thrust of spears, the soft, yielding flesh that they encountered, the scream, the wrench of stone from tissue, and the blended howl of triumph and scream of despair.	Only the thrust of spears, the soft, yielding flesh that they encountered, the scream, the wrench of stone from tissue, and the blended howl of triumph and scream of despair.
8684_293663_000025_000000	Yet only for a moment did Jim turn his eyes upon that sight.	Yet only for a moment did Jim turn his eyes upon that sight.
8684_293663_000025_000001	For he knew where he was now.	For he knew where he was now.
8684_293663_000025_000002	He had emerged upon the other side of the amphitheatre, upon the platform where he had seen the priests and dignitaries gathered when he was led forward to be sacrificed.	He had emerged upon the other side of the amphitheatre, upon the platform where he had seen the priests and dignitaries gathered when he was led forward to be sacrificed.
8684_293663_000026_000000	There, in the rear, were the hideous, shadowy gods, looming up out of the darkness, their outstretched arms interlaced.	There, in the rear, were the hideous, shadowy gods, looming up out of the darkness, their outstretched arms interlaced.
8684_293663_000026_000001	And there upon the platform was the Atom Smasher, a little thread of violet light seeping out of the central tube.	And there upon the platform was the Atom Smasher, a little thread of violet light seeping out of the central tube.
8684_293663_000027_000000	Beside it stood a group of figures, impossible to distinguish in the darkness, but of a sudden Lucille's scream rang out above the din below.	Beside it stood a group of figures, impossible to distinguish in the darkness, but of a sudden Lucille's scream rang out above the din below.
8684_293663_000028_000000	With three leaps Jim was at her side.	With three leaps Jim was at her side.
8684_293663_000028_000002	They were dragging them toward the idols, and Jim understood what that scene portended.	They were dragging them toward the idols, and Jim understood what that scene portended.
8684_293663_000030_000001	She knew him, turned toward him.	She knew him, turned toward him.
8684_293663_000030_000002	Then one of the priests, armed with a great stone-headed club--for no metal is permitted within the precincts of the god Cruk--struck at him furiously.	Then one of the priests, armed with a great stone headed club-for no metal is permitted within the precincts of the god Cruk-struck at him furiously.
8684_293663_000031_000000	Jim leaped aside, letting the club descend harmlessly upon the floor. He shot out his right with all his strength behind it, catching the priest upon the jaw, and the man crumpled.	Jim leaped aside, letting the club descend harmlessly upon the floor. He shot out his right with all his strength behind it, catching the priest upon the jaw, and the man crumpled.
8684_293663_000032_000000	Whirling the club around his head, he fought back the fanatics, all the while shouting to Tode to start the Atom Smasher.	Whirling the club around his head, he fought back the fanatics, all the while shouting to Tode to start the Atom Smasher.
8684_293663_000032_000001	In such a moment he only remembered that Tode was a white man, and of his own generation.	In such a moment he only remembered that Tode was a white man, and of his own generation.
8684_293663_000033_000000	He struck down three of the priests; then he was seized around the knees from behind, and fell heavily.	He struck down three of the priests; then he was seized around the knees from behind, and fell heavily.
8684_293663_000034_000000	As he stopped struggling for a moment, to gather his strength for a supreme effort, he heard a whir overhead, and saw the arms of the stone gods begin their horrible revolution.	As he stopped struggling for a moment, to gather his strength for a supreme effort, he heard a whir overhead, and saw the arms of the stone gods begin their horrible revolution.
8684_293663_000034_000001	The priests had started the machinery.	The priests had started the machinery.
8684_293663_000035_000000	Jim saw him now, a figure poised upon a platform behind the arms, his own arms raised heavenward.	Jim saw him now, a figure poised upon a platform behind the arms, his own arms raised heavenward.
8684_293663_000037_000000	Jim was being dragged forward, with Lucille beside him, old Parrish following, still making a futile struggle for life, while pitiful screeches issued from his mouth.	Jim was being dragged forward, with Lucille beside him, old Parrish following, still making a futile struggle for life, while pitiful screeches issued from his mouth.
8684_293663_000038_000000	Jim saw the revolving arms descend within a foot of his head.	Jim saw the revolving arms descend within a foot of his head.
8684_293663_000038_000001	One more fight--one more, the last.	One more fight-one more, the last.
8684_293663_000039_000000	Suddenly, with loud yells, a band of Drilgoes leaped forward from the head of the stairs and rushed upon the struggling priests and victims. And, dark as it was, Jim recognized their leader--Cain.	Suddenly, with loud yells, a band of Drilgoes leaped forward from the head of the stairs and rushed upon the struggling priests and victims. And, dark as it was, Jim recognized their leader-Cain.
8684_293663_000040_000000	And Cain knew Lucille.	And Cain knew Lucille.
8684_293663_000040_000001	As the priests rallied for a desperate resistance, Cain hurled his great body through the air, landing squarely upon the shoulders of the priest nearest the revolving arms, and knocking him flat.	As the priests rallied for a desperate resistance, Cain hurled his great body through the air, landing squarely upon the shoulders of the priest nearest the revolving arms, and knocking him flat.
8684_293663_000041_000000	Then the arms caught priest and Drilgo, and the steel hooks dug deep into their flesh.	Then the arms caught priest and Drilgo, and the steel hooks dug deep into their flesh.
8684_293663_000041_000001	A screech of terror, a howl that reverberated through the amphitheatre, and nothing remained of either but a heap of macerated flesh.	A screech of terror, a howl that reverberated through the amphitheatre, and nothing remained of either but a heap of macerated flesh.
8684_293663_000042_000000	But in that instant Jim had fought free again.	But in that instant Jim had fought free again.
8684_293663_000042_000001	He caught Lucille and dragged her back toward the Atom Smasher.	He caught Lucille and dragged her back toward the Atom Smasher.
8684_293663_000043_000000	Tode had already broken from his captors and was working at it frantically.	Tode had already broken from his captors and was working at it frantically.
8684_293663_000044_000000	"Hold on!" screeched old Parrish.	"Hold on!" screeched old Parrish.
8684_293663_000044_000001	"Hold on!"	"Hold on!"
8684_293663_000045_000000	They had a moment's leeway.	They had a moment's leeway.
8684_293663_000045_000001	The Drilgoes had driven the priests back into the hooks.	The Drilgoes had driven the priests back into the hooks.
8684_293663_000045_000002	With awful shrieks the fanatics were yielding up their lives, in the place of their selected victims.	With awful shrieks the fanatics were yielding up their lives, in the place of their selected victims.
8684_293663_000046_000000	But more Drilgoes were pouring up the stairs.	But more Drilgoes were pouring up the stairs.
8684_293663_000046_000001	A moment's leeway, and no more, before the savage band would impale the four upon their stone-pointed spears.	A moment's leeway, and no more, before the savage band would impale the four upon their stone pointed spears.
8684_293663_000046_000002	There was not the slightest chance that they would be able to make their identity known.	There was not the slightest chance that they would be able to make their identity known.
8684_293663_000047_000000	"For God's sake hurry!" Jim yelled in Tode's ear.	"For God's sake hurry!" Jim yelled in Tode's ear.
8684_293663_000048_000000	The wheels were revolving, a stream of violet light, leaping out of the central tunnel, cast a lurid illumination upon the scene.	The wheels were revolving, a stream of violet light, leaping out of the central tunnel, cast a lurid illumination upon the scene.
8684_293663_000049_000000	But it was too late.	But it was too late.
8684_293663_000049_000001	A score of Drilgoes, with leveled spears, were rushing on the four.	A score of Drilgoes, with leveled spears, were rushing on the four.
8684_293663_000050_000000	"Hold tight!" screeched Parrish.	"Hold tight!" screeched Parrish.
8684_293663_000050_000001	He thrust his arm into his breast, and pulled out a little lever.	He thrust his arm into his breast, and pulled out a little lever.
8684_293663_000050_000002	Jim recognized it and remembered.	Jim recognized it and remembered.
8684_293663_000050_000003	It was the instrument of universal death--the uranium release of untold forces of cataclysmic depredation.	It was the instrument of universal death-the uranium release of untold forces of cataclysmic depredation.
8684_293663_000054_000000	A roar that seemed to rend the heavens followed.	A roar that seemed to rend the heavens followed.
8684_293663_000054_000001	Roar upon roar, as the infinite momentum of the disintegrating uranium struck obstacle after obstacle.	Roar upon roar, as the infinite momentum of the disintegrating uranium struck obstacle after obstacle.
8684_293663_000054_000002	The Drilgoes vanished, the amphitheatre melted away, walls and roof....	The Drilgoes vanished, the amphitheatre melted away, walls and roof....
8684_293663_000054_000003	Overhead were the moon and stars.	Overhead were the moon and stars.
8684_293663_000055_000000	And proud Atlantis was sinking into the depths of the sea....	And proud Atlantis was sinking into the depths of the sea....
8684_293663_000055_000001	Not as a ship sinks, but piecemeal, her walls and towers crumbling and toppling as a child's sand-castle crumbles under the attack of the lapping waves.	Not as a ship sinks, but piecemeal, her walls and towers crumbling and toppling as a child's sand castle crumbles under the attack of the lapping waves.
8684_293663_000055_000002	Down they crashed, carrying their freight of black, clinging, human ants, while from the sea's depths a wave, a mile high, rose and battered the fragments to destruction.	Down they crashed, carrying their freight of black, clinging, human ants, while from the sea's depths a wave, a mile high, rose and battered the fragments to destruction.
8684_293663_000055_000003	From the crater of the volcano a huge wave of fire fanned forward, and where fire and water met a cloud of steam rose up.	From the crater of the volcano a huge wave of fire fanned forward, and where fire and water met a cloud of steam rose up.
8684_293663_000056_000000	A boiling chaos in which water and earth and fire were blended, spread over land and sea.	A boiling chaos in which water and earth and fire were blended, spread over land and sea.
8684_293663_000056_000001	And then suddenly it was ended.	And then suddenly it was ended.
8684_293663_000056_000002	Where the last island of the Atlantean continent had been, only the ocean was to be seen, placid beneath the stars.	Where the last island of the Atlantean continent had been, only the ocean was to be seen, placid beneath the stars.
8684_293663_000057_000000	The Atom Smasher was vibrating at tremendous speed.	The Atom Smasher was vibrating at tremendous speed.
8684_293663_000057_000001	Jim, with one arm round Lucille, faced Tode at the instrument board.	Jim, with one arm round Lucille, faced Tode at the instrument board.
8684_293663_000057_000002	Near by sat Parrish, watching him too.	Near by sat Parrish, watching him too.
8684_293663_000058_000000	"That took a whole year," said Tode.	"That took a whole year," said Tode.
8684_293663_000058_000001	"That pretty little scene of destruction we've just witnessed.	"That pretty little scene of destruction we've just witnessed.
8684_293663_000058_000002	The good old Atom Smasher has been doing some lively stunts, or we'd have been engulfed too.	The good old Atom Smasher has been doing some lively stunts, or we'd have been engulfed too.
8684_293663_000058_000003	We're not likely to see anything so pretty in history again, unless we go to watch the destruction of Herculaneum and Pompeii by lava from Vesuvius.	We're not likely to see anything so pretty in history again, unless we go to watch the destruction of Herculaneum and Pompeii by lava from Vesuvius.
8684_293663_000058_000004	But that would be quite tame in comparison with this."	But that would be quite tame in comparison with this."
8684_293663_000059_000000	Tode's jeering tone grated on Jim's ears immeasurably.	Tode's jeering tone grated on Jim's ears immeasurably.
8684_293663_000060_000000	"I don't think any of us are craving any more experiments, Tode," he said, trying to keep his voice steady.	"I don't think any of us are craving any more experiments, Tode," he said, trying to keep his voice steady.
8684_293663_000060_000001	"Suppose you take us back to Peconic Bay.	"Suppose you take us back to Peconic Bay.
8684_293663_000060_000002	We'll dump the Atom Smasher into the pond, and try to forget that we've had anything except a bad nightmare."	We'll dump the Atom Smasher into the pond, and try to forget that we've had anything except a bad nightmare."
8684_293663_000061_000000	"Don't trust him, Jim," whispered Lucille.	"Don't trust him, Jim," whispered Lucille.
8684_293663_000062_000000	Tode heard.	Tode heard.
8684_293663_000062_000001	"Thank you," he answered, scowling.	"Thank you," he answered, scowling.
8684_293663_000062_000002	"But seriously, Dent, we can't go back with nothing to show for all our trouble.	"But seriously, Dent, we can't go back with nothing to show for all our trouble.
8684_293663_000062_000003	Those fools tried to betray me, and then the Eye went out.	Those fools tried to betray me, and then the Eye went out.
8684_293663_000062_000004	Perhaps I have you to thank for that performance?	Perhaps I have you to thank for that performance?
8684_293663_000062_000005	However, the sensible thing is to let bygones be bygones.	However, the sensible thing is to let bygones be bygones.
8684_293663_000062_000006	But we must make a little excursion.	But we must make a little excursion.
8684_293663_000062_000007	How about picking up a little treasure from the hoards of Solomon or Genghis Khan?	How about picking up a little treasure from the hoards of Solomon or Genghis Khan?
8684_293663_000062_000008	A few pounds of precious stones would make a world of difference in our social status when we reach Long Island."	A few pounds of precious stones would make a world of difference in our social status when we reach Long Island."
8684_293663_000063_000000	Jim felt a cold fury permeating him.	Jim felt a cold fury permeating him.
8684_293663_000063_000001	Tode saw his grim look and laughed malignantly.	Tode saw his grim look and laughed malignantly.
8684_293663_000064_000000	"Well, Dent, I'm ready to be frank with you," he said.	"Well, Dent, I'm ready to be frank with you," he said.
8684_293663_000064_000001	"The game's still in my hands.	"The game's still in my hands.
8684_293663_000064_000002	I want Lucille.	I want Lucille.
8684_293663_000064_000003	I'm willing to take you and Parrish back, provided you agree she shall be mine.	I'm willing to take you and Parrish back, provided you agree she shall be mine.
8684_293663_000064_000004	I'll have to trust you, but I shall have means of evening up if you play crooked."	I'll have to trust you, but I shall have means of evening up if you play crooked."
8684_293663_000065_000000	"Why don't you ask my girl herself?" piped old Parrish.	"Why don't you ask my girl herself?" piped old Parrish.
8684_293663_000066_000000	"He needn't trouble.	"He needn't trouble.
8684_293663_000066_000001	He knows the answer!" cried Lucille scornfully.	He knows the answer!" cried Lucille scornfully.
8684_293663_000067_000000	"There's your answer," said Jim.	"There's your answer," said Jim.
8684_293663_000067_000001	"Now, what's the alternative?"	"Now, what's the alternative?"
8684_293663_000068_000000	"The alternative is, that I have already set the dial to eternity, Dent," grinned Tode.	"The alternative is, that I have already set the dial to eternity, Dent," grinned Tode.
8684_293663_000068_000001	"Eternity in the fifth dimension.	"Eternity in the fifth dimension.
8684_293663_000068_000002	Didn't know I'd worked that out, did you?	Didn't know I'd worked that out, did you?
8684_293663_000068_000003	A pleasant little surprise.	A pleasant little surprise.
8684_293663_000068_000004	No, don't try to move.	No, don't try to move.
8684_293663_000068_000005	My hand is on the lever.	My hand is on the lever.
8684_293663_000068_000006	I have only to press it, and we're there."	I have only to press it, and we're there."
8684_293663_000069_000000	Jim stood stock still in horror.	Jim stood stock still in horror.
8684_293663_000069_000001	Tode's voice rang true.	Tode's voice rang true.
8684_293663_000069_000002	He believed Tode had the power he claimed.	He believed Tode had the power he claimed.
8684_293663_000070_000000	"Yes, the fifth dimension, and eternity," said Tode, "where time and space reel into functionlessness.	"Yes, the fifth dimension, and eternity," said Tode, "where time and space reel into functionlessness.
8684_293663_000070_000001	Don't ask me what it's like there. I've never been there.	Don't ask me what it's like there. I've never been there.
8684_293663_000070_000002	But my impression of it is that it's a fairly good representation of the place popularly known as hell.	But my impression of it is that it's a fairly good representation of the place popularly known as hell.
8684_293663_000071_000000	"You fool, Dent," Tode's voice rang out with vicious, snarling emphasis, "I gave you your chance to come in with me.	"You fool, Dent," Tode's voice rang out with vicious, snarling emphasis, "I gave you your chance to come in with me.
8684_293663_000071_000001	Together we'd have made ourselves masters of Atlantis and brought back her plunder to our Twentieth Century world.	Together we'd have made ourselves masters of Atlantis and brought back her plunder to our Twentieth Century world.
8684_293663_000071_000002	You refused because of a girl--a girl, Dent, who loved me long before you came upon the scene."	You refused because of a girl-a girl, Dent, who loved me long before you came upon the scene."
8684_293663_000072_000000	"That's a lie, Lucius," answered Lucille steadily.	"That's a lie, Lucius," answered Lucille steadily.
8684_293663_000072_000001	"And you can do your worst.	"And you can do your worst.
8684_293663_000072_000002	There's one factor you haven't reckoned in your calculations, and that's called God."	There's one factor you haven't reckoned in your calculations, and that's called God."
8684_293663_000073_000000	"The dark blur on the spectral lines," old Parrish muttered.	"The dark blur on the spectral lines," old Parrish muttered.
8684_293663_000074_000001	"Come, make your choice, Dent," he mocked. "It's merely to press this lever.	"Come, make your choice, Dent," he mocked. "It's merely to press this lever.
8684_293663_000074_000002	You'll find yourself--well, we won't go into that.	You'll find yourself-well, we won't go into that.
8684_293663_000074_000003	I don't know where you'll find yourself.	I don't know where you'll find yourself.
8684_293663_000074_000004	You'll disappear.	You'll disappear.
8684_293663_000074_000006	I must have Lucille. Choose!" His voice rang out in maniac tones.	I must have Lucille. Choose!" His voice rang out in maniac tones.
8684_293663_000074_000007	"Choose, all of you!"	"Choose, all of you!"
8684_293663_000075_000000	"Lucille has answered you," Jim retorted.	"Lucille has answered you," Jim retorted.
8684_293663_000076_000000	"And how about you, old man?" called Tode to Parrish.	"And how about you, old man?" called Tode to Parrish.
8684_293663_000077_000000	Parrish leased forward, making a swift movement with his hand.	Parrish leased forward, making a swift movement with his hand.
8684_293663_000077_000001	"Go to your own hell, you dev--"	"Go to your own hell, you dev-"
8684_293663_000078_000000	A blinding light, a frantic oscillation of the Atom Smasher, a sense of death, awful and indescribable--and stark unconsciousness rushed over Jim.	A blinding light, a frantic oscillation of the Atom Smasher, a sense of death, awful and indescribable-and stark unconsciousness rushed over Jim.
8684_293663_000078_000001	His last thought was that Lucille's arms were about him, and that he was holding her.	His last thought was that Lucille's arms were about him, and that he was holding her.
8684_293663_000078_000002	Nothing mattered, therefore, even though they two were plunged into that awful nothingness of the fifth dimension, where neither space nor time recognizably exists.	Nothing mattered, therefore, even though they two were plunged into that awful nothingness of the fifth dimension, where neither space nor time recognizably exists.
8684_293663_000081_000000	"He's coming around, Lucille.	"He's coming around, Lucille.
8684_293663_000081_000001	Thank God for it!"	Thank God for it!"
8684_293663_000082_000000	Jim opened his eyes.	Jim opened his eyes.
8684_293663_000082_000001	For a few moments he looked about him without understanding.	For a few moments he looked about him without understanding.
8684_293663_000082_000002	Then the outlines of a room etched themselves against the clouded background.	Then the outlines of a room etched themselves against the clouded background.
8684_293663_000082_000003	And in the foreground Lucille's face.	And in the foreground Lucille's face.
8684_293663_000082_000004	The girl was bending over Jim, one hand soothing his forehead.	The girl was bending over Jim, one hand soothing his forehead.
8684_293663_000083_000000	"Where am I?" Jim muttered.	"Where am I?" Jim muttered.
8684_293663_000084_000000	"Back on earth, Jim, the good old earth, never again to leave it," answered Lucille, with a catch in her voice.	"Back on earth, Jim, the good old earth, never again to leave it," answered Lucille, with a catch in her voice.
8684_293663_000084_000001	With an effort she composed herself.	With an effort she composed herself.
8684_293663_000084_000002	"You mustn't talk," she said.	"You mustn't talk," she said.
8684_293663_000085_000000	"But what place is this?"	"But what place is this?"
8684_293663_000087_000000	But the first explanation came from Andy Lumm.	But the first explanation came from Andy Lumm.
8684_293663_000087_000001	"Well, Mr. Dent, my wife and me sure were glad to be on the spot when you and Miss Parrish got bogged on the edge of the Black Pool," he said.	"Well, mr Dent, my wife and me sure were glad to be on the spot when you and Miss Parrish got bogged on the edge of the Black Pool," he said.
8684_293663_000087_000002	"Mean, treacherous place it is.	"Mean, treacherous place it is.
8684_293663_000087_000003	Thar was a cow got mired thar last month, up to her belly.	Thar was a cow got mired thar last month, up to her belly.
8684_293663_000087_000004	If us hadn't found her, and dragged her out with ropes, she'd have gone clear under.	If us hadn't found her, and dragged her out with ropes, she'd have gone clear under.
8684_293663_000087_000005	Granpop Dawes says thar's underground springs around the edge, and that it runs straight down to hell, though that seems sorter far-fetched to me.	Granpop Dawes says thar's underground springs around the edge, and that it runs straight down to hell, though that seems sorter far fetched to me.
8684_293663_000088_000001	Made me and my wife uneasy, that did.	Made me and my wife uneasy, that did.
8684_293663_000088_000002	'Andy,' she says.	'Andy,' she says.
8684_293663_000088_000003	'I got an inkling you oughter go to the Vanishing Place and see if she ain't there.' And there I found you two, mired to the waist, and Mr. Parrish dancing around and fretting, and his clothes burned to cinders.	'I got an inkling you oughter go to the Vanishing Place and see if she ain't there.' And there I found you two, mired to the waist, and mr Parrish dancing around and fretting, and his clothes burned to cinders.
8684_293663_000090_000001	The return of Parrish had been duly chronicled in the newspapers, and had provoked a mild interest, but fortunately the public mind was so occupied at the moment with the trial of a night club hostess that, after the first rush of newspaper men, the three were left alone.	The return of Parrish had been duly chronicled in the newspapers, and had provoked a mild interest, but fortunately the public mind was so occupied at the moment with the trial of a night club hostess that, after the first rush of newspaper men, the three were left alone.
8684_293663_000091_000000	Day after day, in the brilliant autumn weather, Jim and Lucille would roam the tinted woods, recharging themselves with the feel of Earth, until the memory of those dread experiences grew dim.	Day after day, in the brilliant autumn weather, Jim and Lucille would roam the tinted woods, recharging themselves with the feel of Earth, until the memory of those dread experiences grew dim.
8684_293663_000092_000000	"Well, Jim, I reckon I'd better tell you and get it over," said old Parrish one morning--Parrish, quite his old, jaunty self again.	"Well, Jim, I reckon I'd better tell you and get it over," said old Parrish one morning-Parrish, quite his old, jaunty self again.
