7061_85640_000000_000000	All the rest of his days he went about a blind and lame old man.	All the rest of his days he went about a blind and lame old man.	false	7.425	20.28	20.225382
7061_85640_000018_000004	And he was so powerful and wise and holy that they dared not disobey him, but had to be content with seeing their prey taken out of their clutches.	And he was so powerful and wise and holy that they dared not disobey him, but had to be content with seeing their prey taken out of their clutches.	true	515.1	524.29	18
7061_85640_000019_000000	But before the hunters and their dogs rode away, Saint Ailbe had something more to say to them.	But before the hunters and their dogs rode away, Saint Ailbe had something more to say to them.	true	525.08	529.87	17.553188
7061_85640_000019_000001	And he bade all the curious towns-folk who had gathered about him and the wolf listen.	And he bade all the curious towns folk who had gathered about him and the wolf listen.	false	530.03	534.37	16
7061_85640_000019_000002	He repeated the promise which he had made to the wolf, and warned everyone henceforth not to hurt her or her children, either in the village or in the woods or on the mountain.	He repeated the promise which he had made to the wolf, and warned everyone henceforth not to hurt her or her children, either in the village or in the woods or on the mountain.	true	534.83	544.96	19
7061_85640_000019_000003	And, turning to her once more, he said:	And, turning to her once more, he said:	true	545.24	547.48	14
7061_85640_000020_000000	"See, mother, you need not fear.	"See, mother, you need not fear.	true	547.76	549.67	19.09268
7061_85640_000020_000001	They dare not hurt you now you have found your son to protect you.	They dare not hurt you now you have found your son to protect you.	true	549.95	553.18	17
7061_85640_000020_000002	Come every day with my brothers to my table, and you and yours shall share my food, as once I so often shared yours."	Come every day with my brothers to my table, and you and yours shall share my food, as once I so often shared yours."	false	553.67	560.32	15
7061_85640_000021_000000	And so it was.	And so it was.	true	560.93	562.03	20.722198
7061_85640_000021_000001	Every day after that, so long as she lived, the old wolf-mother brought her four children to the Bishop's palace and howled at the gate for the porter to let them in.	Every day after that, so long as she lived, the old wolf mother brought her four children to the Bishop's palace and howled at the gate for the porter to let them in.	true	562.25	571.12	19.551788
7061_85640_000021_000002	And every day he opened to them, and the steward showed the five into the great dining-hall where Ailbe sat at the head of the table, with five places set for the rest of the family.	And every day he opened to them, and the steward showed the five into the great dining hall where Ailbe sat at the head of the table, with five places set for the rest of the family.	true	571.67	580.57	19
7061_85640_000021_000003	And there, with her five children about her in a happy circle, the kind wolf-mother sat and ate the good things which the Bishop's friends had sent him.	And there, with her five children about her in a happy circle, the kind wolf mother sat and ate the good things which the Bishop's friends had sent him.	true	581.15	589.36	20.756376
7061_85640_000021_000004	But the child she loved best was none of those in furry coats and fine whiskers that looked like her; it was the blue-eyed Saint at the top of the table in his robes of purple and white.	But the child she loved best was none of those in furry coats and fine whiskers that looked like her; it was the blue eyed Saint at the top of the table in his robes of purple and white.	true	589.97	601.15	20.447622
7061_85640_000022_000000	But Saint Ailbe would look about him at his foster mother and his brothers and would laugh contentedly.	But Saint Ailbe would look about him at his foster mother and his brothers and would laugh contentedly.	true	601.76	607.36	15
7061_85640_000023_000000	"What a handsome family we are!" he would say.	"What a handsome family we are!" he would say.	true	608.09	610.99	17.9666
7061_85640_000023_000001	And it was true.	And it was true.	true	611.33	613.53	19.566692
7061_85640_000024_000000	_Who was the Mightier?_[22]	underscore Who was the Mightier?underscore[twenty two]	false	613.53	624.12	17.639605
