1337_10673_000000_000000	Then one of the Calenders, addressing himself to Zobeida as the principal lady, began his story.	Then one of the Calenders, addressing himself to Zobeida as the principal lady, began his story.	false	0.81	22.44	17.948193
1337_10673_000007_000001	At the top, however, he looked at me.	At the top, however, he looked at me.	true	181.82	183.97	20.419731
1337_10673_000007_000002	"My cousin," he exclaimed, "I do not know how to thank you for your kindness.	"My cousin," he exclaimed, "I do not know how to thank you for your kindness.	true	184.37	189.28	20.712212
1337_10673_000007_000003	Farewell."	Farewell."	true	189.41	190.48	21.294312
1337_10673_000008_000000	"What do you mean?" I cried.	"What do you mean?" I cried.	true	191.09	192.915	18.913887
1337_10673_000008_000001	"I don't understand."	"I don't understand."	true	192.915	194.47	21.050219
1337_10673_000009_000000	"No matter," he replied, "go back by the path that you came."	"No matter," he replied, "go back by the path that you came."	true	194.96	199.15	20.04034
1337_10673_000010_000000	He would say no more, and, greatly puzzled, I returned to my room in the palace and went to bed.	He would say no more, and, greatly puzzled, I returned to my room in the palace and went to bed.	true	199.85	205.36	15
1337_10673_000010_000001	When I woke, and considered my adventure, I thought that I must have been dreaming, and sent a servant to ask if the prince was dressed and could see me.	When I woke, and considered my adventure, I thought that I must have been dreaming, and sent a servant to ask if the prince was dressed and could see me.	true	205.67	213.64	19
1337_10673_000010_000002	But on hearing that he had not slept at home I was much alarmed, and hastened to the cemetery, where, unluckily, the tombs were all so alike that I could not discover which was the one I was in search of, though I spent four days in looking for it.	But on hearing that he had not slept at home I was much alarmed, and hastened to the cemetery, where, unluckily, the tombs were all so alike that I could not discover which was the one I was in search of, though I spent four days in looking for it.	true	213.86	226.99	18
1337_10673_000011_000000	You must know that all this time the king, my uncle, was absent on a hunting expedition, and as no one knew when he would be back, I at last decided to return home, leaving the ministers to make my excuses.	You must know that all this time the king, my uncle, was absent on a hunting expedition, and as no one knew when he would be back, I at last decided to return home, leaving the ministers to make my excuses.	true	227.63	240.43	19.36402
1337_10673_000011_000001	I longed to tell them what had become of the prince, about whose fate they felt the most dreadful anxiety, but the oath I had sworn kept me silent.	I longed to tell them what had become of the prince, about whose fate they felt the most dreadful anxiety, but the oath I had sworn kept me silent.	true	240.77	249.07	19.461256
1337_10673_000012_000000	On my arrival at my father's capital, I was astonished to find a large detachment of guards drawn up before the gate of the palace; they surrounded me directly I entered.	On my arrival at my father's capital, I was astonished to find a large detachment of guards drawn up before the gate of the palace; they surrounded me directly I entered.	false	249.41	259.03	18
1337_10673_000012_000001	I asked the officers in command the reason of this strange behaviour, and was horrified to learn that the army had mutinied and put to death the king, my father, and had placed the grand-vizir on the throne.	I asked the officers in command the reason of this strange behaviour, and was horrified to learn that the army had mutinied and put to death the king, my father, and had placed the grand vizir on the throne.	true	259.55	271.03	16
1337_10673_000012_000002	Further, that by his orders I was placed under arrest.	Further, that by his orders I was placed under arrest.	true	271.22	274.6	19.359158
1337_10673_000013_000000	Now this rebel vizir had hated me from my boy-hood, because once, when shooting at a bird with a bow, I had shot out his eye by accident.	Now this rebel vizir had hated me from my boy hood, because once, when shooting at a bird with a bow, I had shot out his eye by accident.	true	275.63	284.02	19
1337_10673_000013_000001	Of course I not only sent a servant at once to offer him my regrets and apologies, but I made them in person.	Of course I not only sent a servant at once to offer him my regrets and apologies, but I made them in person.	false	284.18	290.26	19
1337_10673_000013_000002	It was all of no use.	It was all of no use.	true	290.69	292.18	18.692863
1337_10673_000013_000003	He cherished an undying hatred towards me, and lost no occasion of showing it.	He cherished an undying hatred towards me, and lost no occasion of showing it.	true	292.25	297.34	19.070879
1337_10673_000013_000004	Having once got me in his power I felt he could show no mercy, and I was right.	Having once got me in his power I felt he could show no mercy, and I was right.	true	297.53	302.26	18
1337_10673_000013_000005	Mad with triumph and fury he came to me in my prison and tore out my right eye.	Mad with triumph and fury he came to me in my prison and tore out my right eye.	true	302.72	307.51	16
1337_10673_000013_000006	That is how I lost it.	That is how I lost it.	true	307.94	309.28	18.5944
1337_10673_000014_000000	My persecutor, however, did not stop here.	My persecutor, however, did not stop here.	true	310.1	312.91	20
1337_10673_000014_000001	He shut me up in a large case and ordered his executioner to carry me into a desert place, to cut off my head, and then to abandon my body to the birds of prey.	He shut me up in a large case and ordered his executioner to carry me into a desert place, to cut off my head, and then to abandon my body to the birds of prey.	true	313.04	322.3	20
1337_10673_000014_000002	The case, with me inside it, was accordingly placed on a horse, and the executioner, accompanied by another man, rode into the country until they found a spot suitable for the purpose.	The case, with me inside it, was accordingly placed on a horse, and the executioner, accompanied by another man, rode into the country until they found a spot suitable for the purpose.	false	322.61	333.28	20.191994
1337_10673_000014_000003	But their hearts were not so hard as they seemed, and my tears and prayers made them waver.	But their hearts were not so hard as they seemed, and my tears and prayers made them waver.	true	333.65	338.44	19
1337_10673_000015_000000	"Forsake the kingdom instantly," said the executioner at last, "and take care never to come back, for you will not only lose your head, but make us lose ours." I thanked him gratefully, and tried to console myself for the loss of my eye by thinking of the other misfortunes I had escaped.	"Forsake the kingdom instantly," said the executioner at last, "and take care never to come back, for you will not only lose your head, but make us lose ours." I thanked him gratefully, and tried to console myself for the loss of my eye by thinking of the other misfortunes I had escaped.	true	339.11	357.16	18.935274
1337_10673_000016_000000	After all I had gone through, and my fear of being recognised by some enemy, I could only travel very slowly and cautiously, generally resting in some out-of-the-way place by day, and walking as far as I was able by night, but at length I arrived in the kingdom of my uncle, of whose protection I was sure.	After all I had gone through, and my fear of being recognised by some enemy, I could only travel very slowly and cautiously, generally resting in some out of the way place by day, and walking as far as I was able by night, but at length I arrived in the kingdom of my uncle, of whose protection I was sure.	true	358.49	375.19	18
1337_10673_000017_000000	I found him in great trouble about the disappearance of his son, who had, he said, vanished without leaving a trace; but his own grief did not prevent him sharing mine.	I found him in great trouble about the disappearance of his son, who had, he said, vanished without leaving a trace; but his own grief did not prevent him sharing mine.	true	375.8	385.24	17
1337_10673_000017_000001	We mingled our tears, for the loss of one was the loss of the other, and then I made up my mind that it was my duty to break the solemn oath I had sworn to the prince.	We mingled our tears, for the loss of one was the loss of the other, and then I made up my mind that it was my duty to break the solemn oath I had sworn to the prince.	true	385.4	394.17	17
1337_10673_000017_000002	I therefore lost no time in telling my uncle everything I knew, and I observed that even before I had ended his sorrow appeared to be lightened a little.	I therefore lost no time in telling my uncle everything I knew, and I observed that even before I had ended his sorrow appeared to be lightened a little.	true	394.17	402.34	17
1337_10673_000018_000000	"My dear nephew," he said, "your story gives me some hope.	"My dear nephew," he said, "your story gives me some hope.	true	402.98	407.325	20.472855
1337_10673_000018_000001	I was aware that my son was building a tomb, and I think I can find the spot.	I was aware that my son was building a tomb, and I think I can find the spot.	true	407.325	411.55	18
1337_10673_000018_000002	But as he wished to keep the matter secret, let us go alone and seek the place ourselves."	But as he wished to keep the matter secret, let us go alone and seek the place ourselves."	true	411.8	416.62	17
1337_10673_000019_000000	He then bade me disguise myself, and we both slipped out of a garden door which opened on to the cemetery.	He then bade me disguise myself, and we both slipped out of a garden door which opened on to the cemetery.	true	417.35	423.04	14
1337_10673_000019_000001	It did not take long for us to arrive at the scene of the prince's disappearance, or to discover the tomb I had sought so vainly before.	It did not take long for us to arrive at the scene of the prince's disappearance, or to discover the tomb I had sought so vainly before.	true	423.68	431.05	17.23852
1337_10673_000019_000002	We entered it, and found the trap-door which led to the staircase, but we had great difficulty in raising it, because the prince had fastened it down underneath with the plaster he had brought with him.	We entered it, and found the trap door which led to the staircase, but we had great difficulty in raising it, because the prince had fastened it down underneath with the plaster he had brought with him.	true	431.3	440.89	14
1337_10673_000020_000000	My uncle went first, and I followed him.	My uncle went first, and I followed him.	true	441.41	443.77	18.253176
1337_10673_000020_000001	When we reached the bottom of the stairs we stepped into a sort of ante-room, filled with such a dense smoke that it was hardly possible to see anything.	When we reached the bottom of the stairs we stepped into a sort of ante room, filled with such a dense smoke that it was hardly possible to see anything.	true	443.84	451.72	15
1337_10673_000020_000002	However, we passed through the smoke into a large chamber, which at first seemed quite empty.	However, we passed through the smoke into a large chamber, which at first seemed quite empty.	true	452	457.57	20.788315
1337_10673_000020_000003	The room was brilliantly lighted, and in another moment we perceived a sort of platform at one end, on which were the bodies of the prince and a lady, both half-burned, as if they had been dragged out of a fire before it had quite consumed them.	The room was brilliantly lighted, and in another moment we perceived a sort of platform at one end, on which were the bodies of the prince and a lady, both half burned, as if they had been dragged out of a fire before it had quite consumed them.	true	457.82	472.27	19
1337_10673_000021_000000	This horrible sight turned me faint, but, to my surprise, my uncle did not show so much surprise as anger.	This horrible sight turned me faint, but, to my surprise, my uncle did not show so much surprise as anger.	true	472.73	480.76	20.998753
1337_10673_000022_000000	"I knew," he said, "that my son was tenderly attached to this lady, whom it was impossible he should ever marry.	"I knew," he said, "that my son was tenderly attached to this lady, whom it was impossible he should ever marry.	false	481.31	488.17	18
1337_10673_000022_000001	I tried to turn his thoughts, and presented to him the most beautiful princesses, but he cared for none of them, and, as you see, they have now been united by a horrible death in an underground tomb." But, as he spoke, his anger melted into tears, and again I wept with him.	I tried to turn his thoughts, and presented to him the most beautiful princesses, but he cared for none of them, and, as you see, they have now been united by a horrible death in an underground tomb." But, as he spoke, his anger melted into tears, and again I wept with him.	true	488.33	506.11	18.351732
1337_10673_000023_000000	When he recovered himself he drew me to him.	When he recovered himself he drew me to him.	true	506.81	509.59	17
1337_10673_000023_000001	"My dear nephew," he said, embracing me, "you have come to me to take his place, and I will do my best to forget that I ever had a son who could act in so wicked a manner." Then he turned and went up the stairs.	"My dear nephew," he said, embracing me, "you have come to me to take his place, and I will do my best to forget that I ever had a son who could act in so wicked a manner." Then he turned and went up the stairs.	false	509.84	523.26	18.727457
1337_10673_000024_000000	We reached the palace without anyone having noticed our absence, when, shortly after, a clashing of drums, and cymbals, and the blare of trumpets burst upon our astonished ears.	We reached the palace without anyone having noticed our absence, when, shortly after, a clashing of drums, and cymbals, and the blare of trumpets burst upon our astonished ears.	true	523.26	533.29	17
1337_10673_000024_000001	At the same time a thick cloud of dust on the horizon told of the approach of a great army.	At the same time a thick cloud of dust on the horizon told of the approach of a great army.	true	533.63	538.87	19
1337_10673_000024_000002	My heart sank when I perceived that the commander was the vizir who had dethroned my father, and was come to seize the kingdom of my uncle.	My heart sank when I perceived that the commander was the vizir who had dethroned my father, and was come to seize the kingdom of my uncle.	false	539.24	547.3	16
1337_10673_000025_000000	The capital was utterly unprepared to stand a siege, and seeing that resistance was useless, at once opened its gates.	The capital was utterly unprepared to stand a siege, and seeing that resistance was useless, at once opened its gates.	false	548.03	555.73	18
1337_10673_000025_000001	My uncle fought hard for his life, but was soon overpowered, and when he fell I managed to escape through a secret passage, and took refuge with an officer whom I knew I could trust.	My uncle fought hard for his life, but was soon overpowered, and when he fell I managed to escape through a secret passage, and took refuge with an officer whom I knew I could trust.	true	555.95	565.6	19.759235
1337_10673_000026_000000	Persecuted by ill-fortune, and stricken with grief, there seemed to be only one means of safety left to me.	Persecuted by ill fortune, and stricken with grief, there seemed to be only one means of safety left to me.	true	566.18	572.08	18.482244
1337_10673_000026_000001	I shaved my beard and my eyebrows, and put on the dress of a calender, in which it was easy for me to travel without being known.	I shaved my beard and my eyebrows, and put on the dress of a calender, in which it was easy for me to travel without being known.	true	572.42	579.43	16
1337_10673_000026_000002	I avoided the towns till I reached the kingdom of the famous and powerful Caliph, Haroun-al-Raschid, when I had no further reason to fear my enemies.	I avoided the towns till I reached the kingdom of the famous and powerful Caliph, Haroun al Raschid, when I had no further reason to fear my enemies.	true	579.71	588.19	17
1337_10673_000026_000003	It was my intention to come to Bagdad and to throw myself at the feet of his Highness, who would, I felt certain, be touched by my sad story, and would grant me, besides, his help and protection.	It was my intention to come to Bagdad and to throw myself at the feet of his Highness, who would, I felt certain, be touched by my sad story, and would grant me, besides, his help and protection.	true	588.5	599.95	19.86176
1337_10673_000027_000000	After a journey which lasted some months I arrived at length at the gates of this city.	After a journey which lasted some months I arrived at length at the gates of this city.	true	600.32	605.26	15
1337_10673_000027_000001	It was sunset, and I paused for a little to look about me, and to decide which way to turn my steps.	It was sunset, and I paused for a little to look about me, and to decide which way to turn my steps.	true	605.51	611.35	20.182814
1337_10673_000027_000002	I was still debating on this subject when I was joined by this other calender, who stopped to greet me.	I was still debating on this subject when I was joined by this other calender, who stopped to greet me.	true	611.54	616.84	18
1337_10673_000027_000003	"You, like me, appear to be a stranger," I said. He replied that I was right, and before he could say more the third calender came up.	"You, like me, appear to be a stranger," I said. He replied that I was right, and before he could say more the third calender came up.	true	617.48	625.72	18.147163
1337_10673_000027_000004	He, also, was newly arrived in Bagdad, and being brothers in misfortune, we resolved to cast in our lots together, and to share whatever fate might have in store.	He, also, was newly arrived in Bagdad, and being brothers in misfortune, we resolved to cast in our lots together, and to share whatever fate might have in store.	true	625.85	635.74	18
1337_10673_000028_000000	By this time it had grown late, and we did not know where to spend the night.	By this time it had grown late, and we did not know where to spend the night.	true	636.44	640.48	18
1337_10673_000028_000001	But our lucky star having guided us to this door, we took the liberty of knocking and of asking for shelter, which was given to us at once with the best grace in the world.	But our lucky star having guided us to this door, we took the liberty of knocking and of asking for shelter, which was given to us at once with the best grace in the world.	true	640.61	650.11	17
1337_10673_000029_000000	This, madam, is my story.	This, madam, is my story.	true	650.39	653.31	19.517538
1337_10673_000030_000000	"I am satisfied," replied Zobeida; "you can go when you like."	"I am satisfied," replied Zobeida; "you can go when you like."	true	653.31	657.07	20.073914
1337_10673_000031_000000	The calender, however, begged leave to stay and to hear the histories of his two friends and of the three other persons of the company, which he was allowed to do.	The calender, however, begged leave to stay and to hear the histories of his two friends and of the three other persons of the company, which he was allowed to do.	true	657.29	665.91	19.244486
1337_10673_000032_000000	The Story of the Second Calendar, Son of a King	The Story of the Second Calendar, Son of a King	false	665.91	669.84	17.329756
1337_10673_000033_000000	"Madam," said the young man, addressing Zobeida, "if you wish to know how I lost my right eye, I shall have to tell you the story of my whole life."	"Madam," said the young man, addressing Zobeida, "if you wish to know how I lost my right eye, I shall have to tell you the story of my whole life."	false	669.84	677.64	15.221158
