2053_138888_000001_000000	CHAPTER LII.	CHAPTER fifty two.
2053_138888_000009_000001	Mr. Grey himself, though a man very courteous in his general demeanour, would probably have passed Vavasor in the street with no more than the barest salutation.	mr Grey himself, though a man very courteous in his general demeanour, would probably have passed Vavasor in the street with no more than the barest salutation.
2053_138888_000010_000000	"If you will allow me, I have the key," said Grey.	"If you will allow me, I have the key," said Grey.
2053_138888_000010_000001	Then they both entered the house, and Vavasor followed his host up-stairs.	Then they both entered the house, and Vavasor followed his host up stairs.
2053_138888_000010_000002	Mr. Grey, as he went up, felt almost angry with himself in having admitted his enemy into his lodgings.	mr Grey, as he went up, felt almost angry with himself in having admitted his enemy into his lodgings.
2053_138888_000010_000005	"No," said Vavasor; "I will stand up." And he stood up, holding his hat behind his back with his left hand, with his right leg forward, and the thumb of his right hand in his waistcoat-pocket.	"No," said Vavasor; "I will stand up." And he stood up, holding his hat behind his back with his left hand, with his right leg forward, and the thumb of his right hand in his waistcoat pocket.
2053_138888_000010_000006	He looked full into Grey's face, and Grey looked full into his; and as he looked the great cicatrice seemed to open itself and to become purple with fresh blood stains.	He looked full into Grey's face, and Grey looked full into his; and as he looked the great cicatrice seemed to open itself and to become purple with fresh blood stains.
2053_138888_000012_000000	This was a question which Mr. Grey could not answer very quickly.	This was a question which mr Grey could not answer very quickly.
2053_138888_000014_000000	"I think you heard me say so.	"I think you heard me say so.
2053_138888_000014_000001	I have come here direct from Mr. Tombe's chambers.	I have come here direct from mr Tombe's chambers.
2053_138888_000015_000000	"He is so."	"He is so."
2053_138888_000016_000000	"And I have come from him to ask you what interference you have lately taken in my money matters.	"And I have come from him to ask you what interference you have lately taken in my money matters.
2053_138888_000016_000001	When you have answered that, I shall have other questions to ask you."	When you have answered that, I shall have other questions to ask you."
2053_138888_000017_000000	"But, Mr. Vavasor, has it occurred to you that I may not be disposed to answer questions so asked?"	"But, mr Vavasor, has it occurred to you that I may not be disposed to answer questions so asked?"
2053_138888_000019_000000	Grey had now made up his mind that it would be better that he should tell the whole story,--better not only for himself, but for all the Vavasors, including this angry man himself.	Grey had now made up his mind that it would be better that he should tell the whole story,--better not only for himself, but for all the Vavasors, including this angry man himself.
2053_138888_000019_000001	The angry man evidently knew something, and it would be better that he should know the truth. "There has been such interference, Mr. Vavasor, if you choose to call it so.	The angry man evidently knew something, and it would be better that he should know the truth. "There has been such interference, mr Vavasor, if you choose to call it so.
2053_138888_000020_000000	"Well," said Vavasor, taking his right hand away from his waistcoat, and tapping the round table with his fingers impatiently.	"Well," said Vavasor, taking his right hand away from his waistcoat, and tapping the round table with his fingers impatiently.
2053_138888_000022_000000	"I dare say not; but, nevertheless, you must explain them."	"I dare say not; but, nevertheless, you must explain them."
2053_138888_000023_000000	Grey was a man tranquil in temperament, very little prone to quarrelling, with perhaps an exaggerated idea of the evil results of a row,--a man who would take infinite trouble to avoid any such scene as that which now seemed to be imminent; but he was a man whose courage was quite as high as that of his opponent.	Grey was a man tranquil in temperament, very little prone to quarrelling, with perhaps an exaggerated idea of the evil results of a row,--a man who would take infinite trouble to avoid any such scene as that which now seemed to be imminent; but he was a man whose courage was quite as high as that of his opponent.
2053_138888_000023_000001	To bully or be bullied were alike contrary to his nature.	To bully or be bullied were alike contrary to his nature.
2053_138888_000023_000003	"My difficulty in explaining it comes from consideration for you," he said.	"My difficulty in explaining it comes from consideration for you," he said.
2053_138888_000024_000000	"Then I beg that your difficulty will cease, and that you will have no consideration for me.	"Then I beg that your difficulty will cease, and that you will have no consideration for me.
2053_138888_000024_000002	At any rate, I intend to have none for you.	At any rate, I intend to have none for you.
2053_138888_000024_000003	Now, let me know why you have meddled with my matters."	Now, let me know why you have meddled with my matters."
2053_138888_000025_000000	"I think I might, perhaps, better refer you to your uncle."	"I think I might, perhaps, better refer you to your uncle."
2053_138888_000027_000001	We thought it better that her fortune should not be for the moment disturbed."	We thought it better that her fortune should not be for the moment disturbed."
2053_138888_000029_000001	Then, as Vavasor simply sneered at him, but spoke nothing, he went on.	Then, as Vavasor simply sneered at him, but spoke nothing, he went on.
2053_138888_000030_000000	"And what was her fortune to you, sir?	"And what was her fortune to you, sir?
2053_138888_000030_000001	Are you aware that she is engaged to me as my wife?	Are you aware that she is engaged to me as my wife?
2053_138888_000030_000002	I ask you, sir, whether you are aware that Miss Vavasor is to be my wife?"	I ask you, sir, whether you are aware that Miss Vavasor is to be my wife?"
2053_138888_000031_000000	"I must altogether decline to discuss with you Miss Vavasor's present or future position."	"I must altogether decline to discuss with you Miss Vavasor's present or future position."
2053_138888_000032_000000	"By heavens, then, you shall hear me discuss it!	"By heavens, then, you shall hear me discuss it!
2053_138888_000032_000002	If you had understood anything of the conduct which is usual among gentlemen, or if you had had any particle of pride in you, sir, you would have left her and never mentioned her name again.	If you had understood anything of the conduct which is usual among gentlemen, or if you had had any particle of pride in you, sir, you would have left her and never mentioned her name again.
2053_138888_000032_000003	I now find you meddling with her money matters, so as to get a hold upon her fortune."	I now find you meddling with her money matters, so as to get a hold upon her fortune."
2053_138888_000033_000000	"I have no hold upon her fortune."	"I have no hold upon her fortune."
2053_138888_000034_000000	"Yes, sir, you have.	"Yes, sir, you have.
2053_138888_000034_000003	The money shall be repaid at once, with any interest that can be due; and if I find you interfering again, I will expose you."	The money shall be repaid at once, with any interest that can be due; and if I find you interfering again, I will expose you."
2053_138888_000035_000001	You must recall them."	You must recall them."
2053_138888_000036_000001	I said that you were a pettifogging rascal.	I said that you were a pettifogging rascal.
2053_138888_000037_000000	Grey was much the larger man and much the stronger.	Grey was much the larger man and much the stronger.
2053_138888_000037_000001	It may be doubted whether he knew himself the extent of his own strength, but such as it was he resolved that he must now use it.	It may be doubted whether he knew himself the extent of his own strength, but such as it was he resolved that he must now use it.
2053_138888_000037_000002	"There is no help for it," he said, as he also prepared for action.	"There is no help for it," he said, as he also prepared for action.
2053_138888_000037_000005	I doubt whether he had attempted to strike a blow, or whether he had so much as clenched his fist.	I doubt whether he had attempted to strike a blow, or whether he had so much as clenched his fist.
2053_138888_000037_000006	Vavasor had struck him repeatedly, but the blows had fallen on his body or his head, and he was unconscious of them.	Vavasor had struck him repeatedly, but the blows had fallen on his body or his head, and he was unconscious of them.
2053_138888_000037_000007	He had but one object now in his mind, and that object was the kicking his assailant down the stairs.	He had but one object now in his mind, and that object was the kicking his assailant down the stairs.
2053_138888_000037_000010	Grey kicked at him as he went, but the kick was impotent.	Grey kicked at him as he went, but the kick was impotent.
2053_138888_000038_000000	Vavasor, when he raised himself, prepared to make another rush at the room, but before he could do so a man from below, hearing the noise, had come upon him and interrupted him.	Vavasor, when he raised himself, prepared to make another rush at the room, but before he could do so a man from below, hearing the noise, had come upon him and interrupted him.
2053_138888_000038_000001	"Mr. Jones," said Grey, speaking from above, "if that gentleman does not leave the house, I must get you to search for a policeman."	"mr Jones," said Grey, speaking from above, "if that gentleman does not leave the house, I must get you to search for a policeman."
2053_138888_000039_000000	Vavasor, though the lodging-house man had hold of the collar of his coat, made no attempt to turn upon his new enemy.	Vavasor, though the lodging house man had hold of the collar of his coat, made no attempt to turn upon his new enemy.
2053_138888_000039_000001	When two dogs are fighting, any bystander may attempt to separate them with impunity. The brutes are so anxious to tear each other that they have no energies left for other purposes.	When two dogs are fighting, any bystander may attempt to separate them with impunity. The brutes are so anxious to tear each other that they have no energies left for other purposes.
2053_138888_000041_000000	"That man has ill-used me, and I've punished him; that's all."	"That man has ill used me, and I've punished him; that's all."
2053_138888_000042_000000	"I don't know much about punishing," said the tailor.	"I don't know much about punishing," said the tailor.
2053_138888_000042_000001	"It seems to me he pitched you down pretty clean out of the room above.	"It seems to me he pitched you down pretty clean out of the room above.
2053_138888_000042_000002	I think the best thing you can do now is to walk yourself off."	I think the best thing you can do now is to walk yourself off."
2053_138888_000043_000000	It was the only thing that Vavasor could do, and he did walk himself off.	It was the only thing that Vavasor could do, and he did walk himself off.
2053_138888_000043_000002	I do not think that he was comfortable when he got there, or that he felt himself very well able to fight another battle that night on behalf of the River Bank.	I do not think that he was comfortable when he got there, or that he felt himself very well able to fight another battle that night on behalf of the River Bank.
2053_138888_000043_000004	Grey had probably received more personal damage than had fallen to his share; but Grey had succeeded in expelling him from the room, and he knew that he had been found prostrate on the landing-place when the tailor first saw him.	Grey had probably received more personal damage than had fallen to his share; but Grey had succeeded in expelling him from the room, and he knew that he had been found prostrate on the landing place when the tailor first saw him.
2053_138888_000044_000000	But he might probably have got over the annoyance of this feeling had he not been overwhelmed by a consciousness that everything was going badly with him.	But he might probably have got over the annoyance of this feeling had he not been overwhelmed by a consciousness that everything was going badly with him.
2053_138888_000044_000001	He was already beginning to hate his seat in Parliament.	He was already beginning to hate his seat in Parliament.
2053_138888_000044_000002	What good had it done for him, or was it likely to do for him?	What good had it done for him, or was it likely to do for him?
2053_138888_000044_000003	He found himself to be associated there with Mr. Bott, and a few others of the same class,--men whom he despised; and even they did not admit him among them without a certain show of superiority on their part.	He found himself to be associated there with mr Bott, and a few others of the same class,--men whom he despised; and even they did not admit him among them without a certain show of superiority on their part.
2053_138888_000044_000006	He had looked forward to his entrance into that Chamber as the hour of his triumph; but he had entered it with Mr. Bott, and there had been no triumph to him in doing so.	He had looked forward to his entrance into that Chamber as the hour of his triumph; but he had entered it with mr Bott, and there had been no triumph to him in doing so.
2053_138888_000044_000010	This art of speaking in Parliament, which had appeared to him to be so grand, seemed already to be a humdrum, homely, dull affair.	This art of speaking in Parliament, which had appeared to him to be so grand, seemed already to be a humdrum, homely, dull affair.
2053_138888_000044_000012	To such as himself,--Members without an acquired name,--men did not seem to listen at all.	To such as himself,--Members without an acquired name,--men did not seem to listen at all.
2053_138888_000044_000014	Vavasor had not as yet commenced his career as an orator; but night after night, as he sat there, the chance of commencing it with brilliance seemed to be further from him, and still further.	Vavasor had not as yet commenced his career as an orator; but night after night, as he sat there, the chance of commencing it with brilliance seemed to be further from him, and still further.
2053_138888_000044_000015	Two thousand pounds of his own money, and two thousand more of Alice's money,--or of Mr. Grey's,--he had already spent to make his way into that assembly.	Two thousand pounds of his own money, and two thousand more of Alice's money,--or of mr Grey's,--he had already spent to make his way into that assembly.
2053_138888_000044_000016	He must spend, at any rate, two thousand more if he intended that his career should be prolonged beyond a three months' sitting;--and how was he to get this further sum after what had taken place to-day?	He must spend, at any rate, two thousand more if he intended that his career should be prolonged beyond a three months' sitting;--and how was he to get this further sum after what had taken place to day?
2053_138888_000045_000000	He would get it.	He would get it.
2053_138888_000045_000001	That was his resolve as he walked in by the apple-woman's stall, under the shadow of the great policeman, and between the two august lamps.	That was his resolve as he walked in by the apple woman's stall, under the shadow of the great policeman, and between the two august lamps.
2053_138888_000045_000002	He would get it;--as long as Alice had a pound over which he could obtain mastery by any act or violence within his compass.	He would get it;--as long as Alice had a pound over which he could obtain mastery by any act or violence within his compass.
2053_138888_000045_000004	He would get it; though in doing so he might destroy his cousin Alice and ruin his sister Kate.	He would get it; though in doing so he might destroy his cousin Alice and ruin his sister Kate.
2053_138888_000045_000005	He had gone too far to stick at any scruples.	He had gone too far to stick at any scruples.
2053_138888_000045_000006	Had he not often declared how great had been that murderer who had been able to divest himself of all such scruples,--who had scoured his bosom free from all fears of the hereafter, and, as regarded the present, had dared to trust for everything to success?	Had he not often declared how great had been that murderer who had been able to divest himself of all such scruples,--who had scoured his bosom free from all fears of the hereafter, and, as regarded the present, had dared to trust for everything to success?
2053_138888_000045_000007	He would go to Alice and demand the money from her with threats, and with that violence in his eyes which he knew so well how to assume.	He would go to Alice and demand the money from her with threats, and with that violence in his eyes which he knew so well how to assume.
2053_138888_000045_000008	He believed that when he so demanded it, the money would be forthcoming so as to satisfy, at any rate, his present emergencies.	He believed that when he so demanded it, the money would be forthcoming so as to satisfy, at any rate, his present emergencies.
2053_138888_000046_000001	If he would but die, there might yet be a hope remaining of permanent success!	If he would but die, there might yet be a hope remaining of permanent success!
2053_138888_000046_000002	Even though the estate might be entailed so as to give him no more than a life-interest, still money might be raised on it.	Even though the estate might be entailed so as to give him no more than a life interest, still money might be raised on it.
2053_138888_000046_000003	His life-interest in it would be worth ten or twelve years' purchase.	His life interest in it would be worth ten or twelve years' purchase.
2053_138888_000046_000005	What a boon it would be if death could be made to overtake the old man before he did so!	What a boon it would be if death could be made to overtake the old man before he did so!
2053_138888_000046_000006	On this very night he walked about the lobbies of the House, thinking of all this.	On this very night he walked about the lobbies of the House, thinking of all this.
2053_138888_000046_000007	He went by himself from room to room, roaming along passages, sitting now for ten minutes in the gallery, and then again for a short space in the body of the House,--till he would get up and wander again out into the lobby, impatient of the neighbourhood of Mr. Bott.	He went by himself from room to room, roaming along passages, sitting now for ten minutes in the gallery, and then again for a short space in the body of the House,--till he would get up and wander again out into the lobby, impatient of the neighbourhood of mr Bott.
2053_138888_000047_000000	Nor was Mr. Grey much happier when he was left alone, than was his assailant.	Nor was mr Grey much happier when he was left alone, than was his assailant.
2053_138888_000047_000001	To give Vavasor his due, the memory of the affray itself did not long trouble him much.	To give Vavasor his due, the memory of the affray itself did not long trouble him much.
2053_138888_000047_000006	To have been personally engaged in a fighting scramble with such a man as George Vavasor was to him terrible.	To have been personally engaged in a fighting scramble with such a man as George Vavasor was to him terrible.
2053_138888_000047_000007	When ordering that his money might be expended with the possible object of saving Alice from her cousin, he had never felt a moment's regret; he had never thought that he was doing more than circumstances fairly demanded of him.	When ordering that his money might be expended with the possible object of saving Alice from her cousin, he had never felt a moment's regret; he had never thought that he was doing more than circumstances fairly demanded of him.
2053_138888_000047_000008	But now he was almost driven to utter reproach.	But now he was almost driven to utter reproach.
2053_138888_000047_000009	"Oh, Alice! that this thing should have come upon me through thy fault!"	"Oh, Alice! that this thing should have come upon me through thy fault!"
2053_138888_000048_000000	When Vavasor was led away down stairs by the tailor, and Grey found that no more actual fighting would be required of him, he retired into his bedroom, that he might wash his mouth and free himself from the stains of the combat.	When Vavasor was led away down stairs by the tailor, and Grey found that no more actual fighting would be required of him, he retired into his bedroom, that he might wash his mouth and free himself from the stains of the combat.
2053_138888_000048_000003	He had been told that he had advanced money on behalf of Alice, in order that he might obtain some power over Alice's fortune, and thus revenge himself upon Alice for her treatment of him.	He had been told that he had advanced money on behalf of Alice, in order that he might obtain some power over Alice's fortune, and thus revenge himself upon Alice for her treatment of him.
2053_138888_000048_000005	Of that he was well aware.	Of that he was well aware.
2053_138888_000048_000006	But were not the circumstances of a nature to make it appear that the accusation was true?	But were not the circumstances of a nature to make it appear that the accusation was true?
2053_138888_000048_000007	Security for the money advanced by him, of course, he had none;--of course he had desired none;--of course the money had been given out of his own pocket with the sole object of saving Alice, if that might be possible; but of all those who might hear of this affair, how many would know or even guess the truth?	Security for the money advanced by him, of course, he had none;--of course he had desired none;--of course the money had been given out of his own pocket with the sole object of saving Alice, if that might be possible; but of all those who might hear of this affair, how many would know or even guess the truth?
2053_138888_000049_000001	Mr. Jones had known him for some years, and entertained a most profound respect for his character.	mr Jones had known him for some years, and entertained a most profound respect for his character.
2053_138888_000049_000003	His father had been a tradesman at Cambridge, and in this way Jones had become known to Mr. Grey.	His father had been a tradesman at Cambridge, and in this way Jones had become known to mr Grey.
2053_138888_000049_000004	But though given to sport, by which he meant modern prize-fighting and the Epsom course on the Derby day, Mr. Jones was a man who dearly loved respectable customers and respectable lodgers.	But though given to sport, by which he meant modern prize fighting and the Epsom course on the Derby day, mr Jones was a man who dearly loved respectable customers and respectable lodgers.
2053_138888_000049_000005	Mr. Grey, with his property at Nethercoats, and his august manners, and his reputation at Cambridge, was a most respectable lodger, and Mr. Jones could hardly understand how any one could presume to raise his hand against such a man.	mr Grey, with his property at Nethercoats, and his august manners, and his reputation at Cambridge, was a most respectable lodger, and mr Jones could hardly understand how any one could presume to raise his hand against such a man.
2053_138888_000050_000000	"Dear, dear, sir--this is a terrible affair!" he said, as he made his way into the room.	"Dear, dear, sir-this is a terrible affair!" he said, as he made his way into the room.
2053_138888_000051_000000	"It was very disagreeable, certainly," said Grey.	"It was very disagreeable, certainly," said Grey.
2053_138888_000052_000000	"Was the gentleman known to you?" asked the tailor.	"Was the gentleman known to you?" asked the tailor.
2053_138888_000053_000000	"Yes; I know who he is."	"Yes; I know who he is."
2053_138888_000054_000000	"Any quarrel, sir?"	"Any quarrel, sir?"
2053_138888_000055_000000	"Well, yes.	"Well, yes.
2053_138888_000058_000000	"Or we might manage to polish him off in any other way, you know."	"Or we might manage to polish him off in any other way, you know."
2053_138888_000059_000000	It was some time before Mr. Grey could get rid of the tailor, but he did so at last without having told any part of the story to that warlike, worthy, and very anxious individual.	It was some time before mr Grey could get rid of the tailor, but he did so at last without having told any part of the story to that warlike, worthy, and very anxious individual.
