2053_138888_000000_000000	"Pinkle, Pinkle," wheezed Mr. Tombe.	"Pinkle, Pinkle," wheezed mr Tombe.	false	0	2.04	21.638746
2053_138888_000006_000003	They were his enemies,--Alice and Mr. Grey,--and why should he keep any terms with his enemies?	They were his enemies,--Alice and mr Grey,--and why should he keep any terms with his enemies?	true	279.44	285.73	20.011381
2053_138888_000006_000004	It was still a trouble to him to think that he should have been in any way beholden to John Grey; but the terrible thing had been done, the evil had occurred.	It was still a trouble to him to think that he should have been in any way beholden to john Grey; but the terrible thing had been done, the evil had occurred.	true	286.22	295.54	25.292334
2053_138888_000006_000005	What would he gain by staying his hand now?	What would he gain by staying his hand now?	true	295.97	298.36	21
2053_138888_000006_000006	Still, however, he walked on quickly along Fleet Street, and along the Strand, and was already crossing under the Picture Galleries towards Pall Mall East before he had definitely decided what steps he would take on this very day.	Still, however, he walked on quickly along Fleet Street, and along the Strand, and was already crossing under the Picture Galleries towards Pall Mall East before he had definitely decided what steps he would take on this very day.	false	298.76	313.54	24.574293
2053_138888_000006_000007	Exactly at the corner of Suffolk Street he met John Grey.	Exactly at the corner of Suffolk Street he met john Grey.	true	313.91	317.53	23.4416
2053_138888_000007_000000	"Mr. Grey," he said, stopping himself suddenly, "I was this moment going to call on you at your lodgings."	"mr Grey," he said, stopping himself suddenly, "I was this moment going to call on you at your lodgings."	true	318.05	325.15	22.177717
2053_138888_000008_000000	"At my lodgings, were you?	"At my lodgings, were you?	true	325.73	327.31	22.609781
2053_138888_000008_000001	Shall I return with you?"	Shall I return with you?"	true	327.35	328.69	29.245474
2053_138888_000009_000000	"If you please," said Vavasor, leading the way up Suffolk Street. There had been no other greeting than this between them.	"If you please," said Vavasor, leading the way up Suffolk Street. There had been no other greeting than this between them.	true	329.27	336.49	21.22371
2053_138888_000009_000001	Mr. Grey himself, though a man very courteous in his general demeanour, would probably have passed Vavasor in the street with no more than the barest salutation.	mr Grey himself, though a man very courteous in his general demeanour, would probably have passed Vavasor in the street with no more than the barest salutation.	true	336.77	345.97	23.579508
2053_138888_000009_000002	Situated as they were towards each other there could hardly be any show of friendship between them; but when Vavasor had spoken to him, he had dressed his face in that guise of civility which men always use who do not intend to be offensive;--but Vavasor dressed his as men dress theirs who do mean to be offensive; and Mr. Grey had thoroughly appreciated the dressing.	Situated as they were towards each other there could hardly be any show of friendship between them; but when Vavasor had spoken to him, he had dressed his face in that guise of civility which men always use who do not intend to be offensive;--but Vavasor dressed his as men dress theirs who do mean to be offensive; and mr Grey had thoroughly appreciated the dressing.	false	346.58	369.25	22.922224
2053_138888_000010_000000	"If you will allow me, I have the key," said Grey.	"If you will allow me, I have the key," said Grey.	true	370.19	372.85	24.219458
2053_138888_000010_000001	Then they both entered the house, and Vavasor followed his host up-stairs.	Then they both entered the house, and Vavasor followed his host up stairs.	true	373.22	377.74	20.595766
2053_138888_000010_000002	Mr. Grey, as he went up, felt almost angry with himself in having admitted his enemy into his lodgings.	mr Grey, as he went up, felt almost angry with himself in having admitted his enemy into his lodgings.	true	378.02	384.55	21.437931
2053_138888_000010_000003	He was sure that no good could come of it, and remembered, when it was too late, that he might easily have saved himself from giving the invitation while he was still in the street. There they were, however, together in the sitting-room, and Grey had nothing to do but to listen.	He was sure that no good could come of it, and remembered, when it was too late, that he might easily have saved himself from giving the invitation while he was still in the street. There they were, however, together in the sitting room, and Grey had nothing to do but to listen.	false	384.95	401.37	21.94455
2053_138888_000010_000004	"Will you take a chair, Mr. Vavasor?" he said.	"Will you take a chair, mr Vavasor?" he said.	false	401.37	404.38	22.553873
2053_138888_000010_000005	"No," said Vavasor; "I will stand up." And he stood up, holding his hat behind his back with his left hand, with his right leg forward, and the thumb of his right hand in his waistcoat-pocket.	"No," said Vavasor; "I will stand up." And he stood up, holding his hat behind his back with his left hand, with his right leg forward, and the thumb of his right hand in his waistcoat pocket.	true	404.84	416.65	24.498125
2053_138888_000010_000006	He looked full into Grey's face, and Grey looked full into his; and as he looked the great cicatrice seemed to open itself and to become purple with fresh blood stains.	He looked full into Grey's face, and Grey looked full into his; and as he looked the great cicatrice seemed to open itself and to become purple with fresh blood stains.	true	417.32	428.26	23.055447
2053_138888_000011_000000	"I have come here from Mr. Tombe's office in the City," said Vavasor, "to ask you of what nature has been the interference which you have taken in my money matters?"	"I have come here from mr Tombe's office in the City," said Vavasor, "to ask you of what nature has been the interference which you have taken in my money matters?"	false	428.87	439.48	23.406189
2053_138888_000012_000000	This was a question which Mr. Grey could not answer very quickly.	This was a question which mr Grey could not answer very quickly.	true	440.21	443.32	21.105692
2053_138888_000012_000001	In the first place it was altogether unexpected; in the next place he did not know what Mr. Tombe had told, and what he had not told; and then, before he replied, he must think how much of the truth he was bound to tell in answer to a question so put to him.	In the first place it was altogether unexpected; in the next place he did not know what mr Tombe had told, and what he had not told; and then, before he replied, he must think how much of the truth he was bound to tell in answer to a question so put to him.	false	443.66	459.67	22.719934
2053_138888_000013_000000	"Do you say that you have come from Mr. Tombe?" he asked.	"Do you say that you have come from mr Tombe?" he asked.	false	460.49	463.48	24.765877
2053_138888_000014_000000	"I think you heard me say so.	"I think you heard me say so.	true	464.15	465.94	21.574888
2053_138888_000014_000001	I have come here direct from Mr. Tombe's chambers.	I have come here direct from mr Tombe's chambers.	true	466.34	469.3	25
2053_138888_000014_000002	He is your lawyer, I believe?"	He is your lawyer, I believe?"	true	469.7	471.34	18.580038
2053_138888_000015_000000	"He is so."	"He is so."	true	471.95	472.93	25.69553
2053_138888_000016_000000	"And I have come from him to ask you what interference you have lately taken in my money matters.	"And I have come from him to ask you what interference you have lately taken in my money matters.	true	473.63	479.2	22.389944
2053_138888_000016_000001	When you have answered that, I shall have other questions to ask you."	When you have answered that, I shall have other questions to ask you."	true	479.6	483.22	21.146122
2053_138888_000017_000000	"But, Mr. Vavasor, has it occurred to you that I may not be disposed to answer questions so asked?"	"But, mr Vavasor, has it occurred to you that I may not be disposed to answer questions so asked?"	true	484.01	489.43	21
2053_138888_000018_000000	"It has not occurred to me to think that you will prevaricate.	"It has not occurred to me to think that you will prevaricate.	false	489.89	493.54	24.76072
2053_138888_000018_000001	If there has been no such interference, I will ask your pardon, and go away; but if there has been such interference on your part, I have a right to demand that you shall explain to me its nature."	If there has been no such interference, I will ask your pardon, and go away; but if there has been such interference on your part, I have a right to demand that you shall explain to me its nature."	false	493.88	505.96	24.268953
2053_138888_000019_000000	Grey had now made up his mind that it would be better that he should tell the whole story,--better not only for himself, but for all the Vavasors, including this angry man himself.	Grey had now made up his mind that it would be better that he should tell the whole story,--better not only for himself, but for all the Vavasors, including this angry man himself.	true	507.08	518.71	24.233137
2053_138888_000019_000001	The angry man evidently knew something, and it would be better that he should know the truth. "There has been such interference, Mr. Vavasor, if you choose to call it so.	The angry man evidently knew something, and it would be better that he should know the truth. "There has been such interference, mr Vavasor, if you choose to call it so.	true	518.96	528.7	23.405003
2053_138888_000019_000002	Money, to the extent of two thousand pounds, I think, has by my directions been paid to your credit by Mr. Tombe."	Money, to the extent of two thousand pounds, I think, has by my directions been paid to your credit by mr Tombe."	false	528.92	536.91	23.247026
2053_138888_000020_000000	"Well," said Vavasor, taking his right hand away from his waistcoat, and tapping the round table with his fingers impatiently.	"Well," said Vavasor, taking his right hand away from his waistcoat, and tapping the round table with his fingers impatiently.	true	536.91	544.48	22
2053_138888_000021_000000	"I hardly know how to explain all the circumstances under which this has been done."	"I hardly know how to explain all the circumstances under which this has been done."	false	545	549.4	20
2053_138888_000022_000000	"I dare say not; but, nevertheless, you must explain them."	"I dare say not; but, nevertheless, you must explain them."	true	549.89	553.27	20.462046
2053_138888_000023_000000	Grey was a man tranquil in temperament, very little prone to quarrelling, with perhaps an exaggerated idea of the evil results of a row,--a man who would take infinite trouble to avoid any such scene as that which now seemed to be imminent; but he was a man whose courage was quite as high as that of his opponent.	Grey was a man tranquil in temperament, very little prone to quarrelling, with perhaps an exaggerated idea of the evil results of a row,--a man who would take infinite trouble to avoid any such scene as that which now seemed to be imminent; but he was a man whose courage was quite as high as that of his opponent.	true	553.97	573.31	22.54473
2053_138888_000023_000001	To bully or be bullied were alike contrary to his nature.	To bully or be bullied were alike contrary to his nature.	true	573.62	577.27	24.631186
2053_138888_000023_000002	It was clear enough now that Vavasor intended to bully him, and he made up his mind at once that if the quarrel were forced upon him it should find him ready to take his own part.	It was clear enough now that Vavasor intended to bully him, and he made up his mind at once that if the quarrel were forced upon him it should find him ready to take his own part.	false	577.67	587.35	22.663391
2053_138888_000023_000003	"My difficulty in explaining it comes from consideration for you," he said.	"My difficulty in explaining it comes from consideration for you," he said.	true	587.75	591.91	21.359089
2053_138888_000024_000000	"Then I beg that your difficulty will cease, and that you will have no consideration for me.	"Then I beg that your difficulty will cease, and that you will have no consideration for me.	true	592.7	597.91	21.089302
2053_138888_000024_000001	We are so circumstanced towards each other that any consideration must be humbug and nonsense.	We are so circumstanced towards each other that any consideration must be humbug and nonsense.	true	598.31	603.34	18
2053_138888_000024_000002	At any rate, I intend to have none for you.	At any rate, I intend to have none for you.	true	603.86	606.13	21.135391
2053_138888_000024_000003	Now, let me know why you have meddled with my matters."	Now, let me know why you have meddled with my matters."	true	606.83	610.12	20.539545
2053_138888_000025_000000	"I think I might, perhaps, better refer you to your uncle."	"I think I might, perhaps, better refer you to your uncle."	true	611.06	615.1	23.153461
2053_138888_000026_000000	"No, sir; Mr. Tombe is not my uncle's lawyer.	"No, sir; mr Tombe is not my uncle's lawyer.	false	615.77	618.37	21.369528
2053_138888_000026_000001	My uncle never heard his name, unless he heard of it from you."	My uncle never heard his name, unless he heard of it from you."	false	618.38	622.12	20.219784
2053_138888_000027_000000	"But it was by agreement with your uncle that I commissioned Mr. Tombe to raise for you the money you were desirous of borrowing from your cousin.	"But it was by agreement with your uncle that I commissioned mr Tombe to raise for you the money you were desirous of borrowing from your cousin.	false	622.82	629.92	16
2053_138888_000027_000001	We thought it better that her fortune should not be for the moment disturbed."	We thought it better that her fortune should not be for the moment disturbed."	true	630.32	634.6	25.04745
2053_138888_000028_000000	"But what had you to do with it?	"But what had you to do with it?	true	635.24	637.15	18.14183
2053_138888_000028_000001	Why should you have done it?	Why should you have done it?	true	637.34	638.71	18.577778
2053_138888_000028_000002	In the first place, I don't believe your story; it is altogether improbable. But why should he come to you of all men to raise money on his daughter's behalf?"	In the first place, I don't believe your story; it is altogether improbable. But why should he come to you of all men to raise money on his daughter's behalf?"	false	638.96	647.86	26.19247
2053_138888_000029_000000	"Unless you can behave yourself with more discretion, Mr. Vavasor, you must leave the room," said Mr. Grey.	"Unless you can behave yourself with more discretion, mr Vavasor, you must leave the room," said mr Grey.	false	648.5	654.55	21.404964
2053_138888_000029_000001	Then, as Vavasor simply sneered at him, but spoke nothing, he went on.	Then, as Vavasor simply sneered at him, but spoke nothing, he went on.	true	655.34	659.835	21.144224
2053_138888_000029_000002	"It was I who suggested to your uncle that this arrangement should be made.	"It was I who suggested to your uncle that this arrangement should be made.	true	659.835	663.28	19.507956
2053_138888_000029_000003	I did not wish to see Miss Vavasor's fortune squandered."	I did not wish to see Miss Vavasor's fortune squandered."	true	663.5	666.94	19
2053_138888_000030_000000	"And what was her fortune to you, sir?	"And what was her fortune to you, sir?	true	667.79	670.06	20.811377
2053_138888_000030_000001	Are you aware that she is engaged to me as my wife?	Are you aware that she is engaged to me as my wife?	true	670.31	673.75	23.161797
2053_138888_000030_000002	I ask you, sir, whether you are aware that Miss Vavasor is to be my wife?"	I ask you, sir, whether you are aware that Miss Vavasor is to be my wife?"	true	674.15	678.91	23.82966
2053_138888_000031_000000	"I must altogether decline to discuss with you Miss Vavasor's present or future position."	"I must altogether decline to discuss with you Miss Vavasor's present or future position."	true	680	685.09	20
2053_138888_000032_000000	"By heavens, then, you shall hear me discuss it!	"By heavens, then, you shall hear me discuss it!	true	685.76	688.27	23
2053_138888_000032_000001	She was engaged to you, and she has given you your dismissal.	She was engaged to you, and she has given you your dismissal.	false	688.43	692.05	24.27905
2053_138888_000032_000002	If you had understood anything of the conduct which is usual among gentlemen, or if you had had any particle of pride in you, sir, you would have left her and never mentioned her name again.	If you had understood anything of the conduct which is usual among gentlemen, or if you had had any particle of pride in you, sir, you would have left her and never mentioned her name again.	true	692.33	703	22.527225
2053_138888_000032_000003	I now find you meddling with her money matters, so as to get a hold upon her fortune."	I now find you meddling with her money matters, so as to get a hold upon her fortune."	true	703.37	708.37	22.037544
2053_138888_000033_000000	"I have no hold upon her fortune."	"I have no hold upon her fortune."	true	709.1	711.01	21.000288
2053_138888_000034_000000	"Yes, sir, you have.	"Yes, sir, you have.	true	711.65	713.01	24.754738
2053_138888_000034_000001	You do not advance two thousand pounds without knowing that you have security.	You do not advance two thousand pounds without knowing that you have security.	true	713.01	717.19	19.25971
2053_138888_000034_000002	She has rejected you; and in order that you may be revenged, or that you may have some further hold upon her,--that she may be in some sort within your power, you have contrived this rascally pettifogging way of obtaining power over her income.	She has rejected you; and in order that you may be revenged, or that you may have some further hold upon her,--that she may be in some sort within your power, you have contrived this rascally pettifogging way of obtaining power over her income.	false	717.5	732.04	21
2053_138888_000034_000003	The money shall be repaid at once, with any interest that can be due; and if I find you interfering again, I will expose you."	The money shall be repaid at once, with any interest that can be due; and if I find you interfering again, I will expose you."	true	732.38	739.66	23.395369
2053_138888_000035_000000	"Mr. Vavasor," said Grey very slowly, in a low tone of voice, but with something in his eye which would have told any bystander that he was much in earnest, "you have used words in your anger which I cannot allow to pass.	"mr Vavasor," said Grey very slowly, in a low tone of voice, but with something in his eye which would have told any bystander that he was much in earnest, "you have used words in your anger which I cannot allow to pass.	false	740.78	756.91	23.010689
2053_138888_000035_000001	You must recall them."	You must recall them."	true	757.37	758.49	20.698084
2053_138888_000036_000000	"What were the words?	"What were the words?	false	758.49	760.36	18.896605
2053_138888_000036_000001	I said that you were a pettifogging rascal.	I said that you were a pettifogging rascal.	true	760.52	763.06	20.464901
2053_138888_000036_000002	I now repeat them." As he spoke he put on his hat, so as to leave both his hands ready for action if action should be required.	I now repeat them." As he spoke he put on his hat, so as to leave both his hands ready for action if action should be required.	false	763.1	771.58	23.253294
2053_138888_000037_000000	Grey was much the larger man and much the stronger.	Grey was much the larger man and much the stronger.	true	772.1	775.27	23
2053_138888_000037_000001	It may be doubted whether he knew himself the extent of his own strength, but such as it was he resolved that he must now use it.	It may be doubted whether he knew himself the extent of his own strength, but such as it was he resolved that he must now use it.	true	775.67	783.28	21.7026
2053_138888_000037_000002	"There is no help for it," he said, as he also prepared for action.	"There is no help for it," he said, as he also prepared for action.	true	784.16	787.84	23
2053_138888_000037_000003	The first thing he did was to open the door, and as he did so he became conscious that his mouth was full of blood from a sharp blow upon his face.	The first thing he did was to open the door, and as he did so he became conscious that his mouth was full of blood from a sharp blow upon his face.	false	788.27	795.97	22
2053_138888_000037_000004	Vavasor had struck him with his fist, and had cut his lip against his teeth. Then there came a scramble, and Grey was soon aware that he had his opponent in his hands.	Vavasor had struck him with his fist, and had cut his lip against his teeth. Then there came a scramble, and Grey was soon aware that he had his opponent in his hands.	false	796.64	807.04	20.775095
2053_138888_000037_000005	I doubt whether he had attempted to strike a blow, or whether he had so much as clenched his fist.	I doubt whether he had attempted to strike a blow, or whether he had so much as clenched his fist.	true	807.53	812.98	23
2053_138888_000037_000006	Vavasor had struck him repeatedly, but the blows had fallen on his body or his head, and he was unconscious of them.	Vavasor had struck him repeatedly, but the blows had fallen on his body or his head, and he was unconscious of them.	true	813.53	819.97	22.414204
2053_138888_000037_000007	He had but one object now in his mind, and that object was the kicking his assailant down the stairs.	He had but one object now in his mind, and that object was the kicking his assailant down the stairs.	true	820.34	827.32	24.17537
2053_138888_000037_000008	Then came a scramble, as I have said, and Grey had a hold of the smaller man by the nape of his neck.	Then came a scramble, as I have said, and Grey had a hold of the smaller man by the nape of his neck.	false	827.99	833.02	19
2053_138888_000037_000009	So holding him he forced him back through the door on to the landing, and there succeeded in pushing him down the first flight of steps.	So holding him he forced him back through the door on to the landing, and there succeeded in pushing him down the first flight of steps.	true	833.09	839.68	18.650217
2053_138888_000037_000010	Grey kicked at him as he went, but the kick was impotent.	Grey kicked at him as he went, but the kick was impotent.	true	839.69	842.68	20.372713
2053_138888_000037_000011	He had, however, been so far successful that he had thrust his enemy out of the room, and had the satisfaction of seeing him sprawling on the landing-place.	He had, however, been so far successful that he had thrust his enemy out of the room, and had the satisfaction of seeing him sprawling on the landing place.	true	842.87	851.71	19
2053_138888_000038_000000	Vavasor, when he raised himself, prepared to make another rush at the room, but before he could do so a man from below, hearing the noise, had come upon him and interrupted him.	Vavasor, when he raised himself, prepared to make another rush at the room, but before he could do so a man from below, hearing the noise, had come upon him and interrupted him.	true	852.56	862.42	22.23526
2053_138888_000038_000001	"Mr. Jones," said Grey, speaking from above, "if that gentleman does not leave the house, I must get you to search for a policeman."	"mr Jones," said Grey, speaking from above, "if that gentleman does not leave the house, I must get you to search for a policeman."	true	862.91	870.16	21.517801
2053_138888_000039_000000	Vavasor, though the lodging-house man had hold of the collar of his coat, made no attempt to turn upon his new enemy.	Vavasor, though the lodging house man had hold of the collar of his coat, made no attempt to turn upon his new enemy.	true	871.04	877.84	21.958246
2053_138888_000039_000001	When two dogs are fighting, any bystander may attempt to separate them with impunity. The brutes are so anxious to tear each other that they have no energies left for other purposes.	When two dogs are fighting, any bystander may attempt to separate them with impunity. The brutes are so anxious to tear each other that they have no energies left for other purposes.	true	878.36	887.92	21.710768
2053_138888_000039_000002	It never occurs to them to turn their teeth upon newcomers in the quarrel.	It never occurs to them to turn their teeth upon newcomers in the quarrel.	false	888.35	892.33	22
2053_138888_000039_000003	So it was with George Vavasor. Jones was sufficient to prevent his further attack upon the foe up-stairs, and therefore he had no alternative but to relinquish the fight.	So it was with George Vavasor. Jones was sufficient to prevent his further attack upon the foe up stairs, and therefore he had no alternative but to relinquish the fight.	false	892.76	903.93	22.940926
2053_138888_000040_000000	"What's it all about, sir?" said Jones, who kept a tailor's establishment, and, as a tailor, was something of a fighting man himself.	"What's it all about, sir?" said Jones, who kept a tailor's establishment, and, as a tailor, was something of a fighting man himself.	false	903.93	912.46	23.855793
2053_138888_000040_000001	Of all tradesmen in London the tailors are, no doubt, the most combative,--as might be expected from the necessity which lies upon them of living down the general bad character in this respect which the world has wrongly given them.	Of all tradesmen in London the tailors are, no doubt, the most combative,--as might be expected from the necessity which lies upon them of living down the general bad character in this respect which the world has wrongly given them.	false	912.77	927.16	24.38557
2053_138888_000040_000002	"What's it all about, sir?" said Jones, still holding Vavasor by his coat.	"What's it all about, sir?" said Jones, still holding Vavasor by his coat.	false	927.95	932.23	23.052887
2053_138888_000041_000000	"That man has ill-used me, and I've punished him; that's all."	"That man has ill used me, and I've punished him; that's all."	true	932.96	936.58	25.702543
2053_138888_000042_000000	"I don't know much about punishing," said the tailor.	"I don't know much about punishing," said the tailor.	true	937.37	939.76	20
2053_138888_000042_000001	"It seems to me he pitched you down pretty clean out of the room above.	"It seems to me he pitched you down pretty clean out of the room above.	true	940.07	943.99	24
2053_138888_000042_000002	I think the best thing you can do now is to walk yourself off."	I think the best thing you can do now is to walk yourself off."	true	944.33	947.8	22.657463
2053_138888_000043_000000	It was the only thing that Vavasor could do, and he did walk himself off.	It was the only thing that Vavasor could do, and he did walk himself off.	true	949.1	953.35	23.593328
2053_138888_000043_000001	He walked himself off, and went home to his own lodgings in Cecil Street, that he might smooth his feathers after the late encounter before he went down to Westminster to take his seat in the House of Commons.	He walked himself off, and went home to his own lodgings in Cecil Street, that he might smooth his feathers after the late encounter before he went down to Westminster to take his seat in the House of Commons.	false	953.57	964.42	22
2053_138888_000043_000002	I do not think that he was comfortable when he got there, or that he felt himself very well able to fight another battle that night on behalf of the River Bank.	I do not think that he was comfortable when he got there, or that he felt himself very well able to fight another battle that night on behalf of the River Bank.	true	964.91	973.9	23.25284
2053_138888_000043_000003	He had not been hurt, but he had been worsted.	He had not been hurt, but he had been worsted.	true	974.48	977.08	18
2053_138888_000043_000004	Grey had probably received more personal damage than had fallen to his share; but Grey had succeeded in expelling him from the room, and he knew that he had been found prostrate on the landing-place when the tailor first saw him.	Grey had probably received more personal damage than had fallen to his share; but Grey had succeeded in expelling him from the room, and he knew that he had been found prostrate on the landing place when the tailor first saw him.	true	977.39	990.46	22.186022
2053_138888_000044_000000	But he might probably have got over the annoyance of this feeling had he not been overwhelmed by a consciousness that everything was going badly with him.	But he might probably have got over the annoyance of this feeling had he not been overwhelmed by a consciousness that everything was going badly with him.	true	991.1	999.88	21.321617
2053_138888_000044_000001	He was already beginning to hate his seat in Parliament.	He was already beginning to hate his seat in Parliament.	true	1000.4	1003.42	22
2053_138888_000044_000002	What good had it done for him, or was it likely to do for him?	What good had it done for him, or was it likely to do for him?	true	1003.55	1007.2	24.064697
