5519_39478_000000_000000	The next morning he had more of a struggle than ever to wash and dress her.	The next morning he had more of a struggle than ever to wash and dress her.	false	7.155	23.53	23.43699
5519_39478_000006_000001	You shall do as you like in that, but you must give up one thing, and that is you must stay with me and not go out alone, for that is dangerous.	You shall do as you like in that, but you must give up one thing, and that is you must stay with me and not go out alone, for that is dangerous.	true	196.79	203.98	24.671291
5519_39478_000006_000002	If any dog came on you he would kill you."	If any dog came on you he would kill you."	true	204.41	206.68	27.181581
5519_39478_000007_000000	Directly he had finished speaking she came to him joyously, began fawning on him and prancing round him so that in spite of his vexation with her, and being cold, he could not help stroking her.	Directly he had finished speaking she came to him joyously, began fawning on him and prancing round him so that in spite of his vexation with her, and being cold, he could not help stroking her.	true	207.2	216.97	25.536837
5519_39478_000008_000000	"Oh, Silvia, are you not wilful and cunning?	"Oh, Silvia, are you not wilful and cunning?	true	217.91	221.83	23.242508
5519_39478_000008_000001	I see you glory in being so, but I shall not reproach you but shall stick to my side of the bargain, and you must stick to yours."	I see you glory in being so, but I shall not reproach you but shall stick to my side of the bargain, and you must stick to yours."	true	222.35	229.45	22.83982
5519_39478_000009_000000	He built a big fire when he came back to the house and took a glass or two of spirits also, to warm himself up, for he was chilled to the very bone.	He built a big fire when he came back to the house and took a glass or two of spirits also, to warm himself up, for he was chilled to the very bone.	true	230.33	238.12	24.310099
5519_39478_000009_000001	Then, after they had dined, to cheer himself he took another glass, and then another, and so on till he was very merry, he thought. Then he would play with his vixen, she encouraging him with her pretty sportiveness.	Then, after they had dined, to cheer himself he took another glass, and then another, and so on till he was very merry, he thought. Then he would play with his vixen, she encouraging him with her pretty sportiveness.	false	239.27	251.35	23.954035
5519_39478_000009_000002	He got up to catch her then and finding himself unsteady on his legs, he went down on to all fours.	He got up to catch her then and finding himself unsteady on his legs, he went down on to all fours.	true	251.51	256.54	22.63325
5519_39478_000009_000003	The long and the short of it is that by drinking he drowned all his sorrow; and then would be a beast too like his wife, though she was one through no fault of her own, and could not help it.	The long and the short of it is that by drinking he drowned all his sorrow; and then would be a beast too like his wife, though she was one through no fault of her own, and could not help it.	true	257.12	267.31	22.447968
5519_39478_000009_000004	To what lengths he went then in that drunken humour I shall not offend my readers by relating, but shall only say that he was so drunk and sottish that he had a very imperfect recollection of what had passed when he woke the next morning.	To what lengths he went then in that drunken humour I shall not offend my readers by relating, but shall only say that he was so drunk and sottish that he had a very imperfect recollection of what had passed when he woke the next morning.	true	267.8	280.12	22.448977
5519_39478_000009_000005	There is no exception to the rule that if a man drink heavily at night the next morning will show the other side to his nature.	There is no exception to the rule that if a man drink heavily at night the next morning will show the other side to his nature.	true	281.21	287.29	21.772598
5519_39478_000009_000006	Thus with Mr. Tebrick, for as he had been beastly, merry and a very dare-devil the night before, so on his awakening was he ashamed, melancholic and a true penitent before his Creator.	Thus with mr Tebrick, for as he had been beastly, merry and a very dare devil the night before, so on his awakening was he ashamed, melancholic and a true penitent before his Creator.	true	287.81	299.29	24.061094
5519_39478_000009_000007	The first thing he did when he came to himself was to call out to God to forgive him for his sin, then he fell into earnest prayer and continued so for half-an-hour upon his knees.	The first thing he did when he came to himself was to call out to God to forgive him for his sin, then he fell into earnest prayer and continued so for half an hour upon his knees.	false	299.87	309.07	26.78203
5519_39478_000009_000008	Then he got up and dressed but continued very melancholy for the whole of the morning.	Then he got up and dressed but continued very melancholy for the whole of the morning.	true	309.47	313.24	27
5519_39478_000009_000009	Being in this mood you may imagine it hurt him to see his wife running about naked, but he reflected it would be a bad reformation that began with breaking faith.	Being in this mood you may imagine it hurt him to see his wife running about naked, but he reflected it would be a bad reformation that began with breaking faith.	true	313.97	322.33	22.727118
5519_39478_000009_000010	He had made a bargain and he would stick to it, and so he let her be, though sorely against his will.	He had made a bargain and he would stick to it, and so he let her be, though sorely against his will.	true	322.88	328.78	21.391968
5519_39478_000010_000000	For the same reason, that is because he would stick to his side of the bargain, he did not require her to sit up at table, but gave her her breakfast on a dish in the corner, where to tell the truth she on her side ate it all up with great daintiness and propriety.	For the same reason, that is because he would stick to his side of the bargain, he did not require her to sit up at table, but gave her her breakfast on a dish in the corner, where to tell the truth she on her side ate it all up with great daintiness and propriety.	true	331.55	346.27	23.955143
5519_39478_000010_000001	Nor she did make any attempt to go out of doors that morning, but lay curled up in an armchair before the fire dozing.	Nor she did make any attempt to go out of doors that morning, but lay curled up in an armchair before the fire dozing.	false	346.43	352.99	25.293837
5519_39478_000010_000002	After lunch he took her out, and she never so much as offered to go near the ducks, but running before him led him on to take her a longer walk.	After lunch he took her out, and she never so much as offered to go near the ducks, but running before him led him on to take her a longer walk.	true	354.26	362.05	21.967218
5519_39478_000010_000003	This he consented to do very much to her joy and delight.	This he consented to do very much to her joy and delight.	true	362.42	365.68	21.416702
5519_39478_000010_000004	He took her through the fields by the most unfrequented ways, being much alarmed lest they should be seen by anyone.	He took her through the fields by the most unfrequented ways, being much alarmed lest they should be seen by anyone.	true	366.11	372.94	21.874859
5519_39478_000010_000005	But by good luck they walked above four miles across country and saw nobody.	But by good luck they walked above four miles across country and saw nobody.	true	373.16	377.59	27.197914
5519_39478_000010_000006	All the way his wife kept running on ahead of him, and then back to him to lick his hand and so on, and appeared delighted at taking exercise.	All the way his wife kept running on ahead of him, and then back to him to lick his hand and so on, and appeared delighted at taking exercise.	true	377.78	385.33	22.852852
5519_39478_000010_000007	And though they startled two or three rabbits and a hare in the course of their walk she never attempted to go after them, only giving them a look and then looking back to him, laughing at him as it were for his warning cry of "Puss! come in, no nonsense now!"	And though they startled two or three rabbits and a hare in the course of their walk she never attempted to go after them, only giving them a look and then looking back to him, laughing at him as it were for his warning cry of "Puss! come in, no nonsense now!"	false	385.79	399.4	24.069284
5519_39478_000011_000000	Just when they got home and were going into the porch they came face to face with an old woman.	Just when they got home and were going into the porch they came face to face with an old woman.	true	399.92	403.93	22.925768
5519_39478_000011_000001	Mr. Tebrick stopped short in consternation and looked about for his vixen, but she had run forward without any shyness to greet her.	mr Tebrick stopped short in consternation and looked about for his vixen, but she had run forward without any shyness to greet her.	true	404.15	410.44	23.351526
5519_39478_000011_000002	Then he recognised the intruder, it was his wife's old nurse.	Then he recognised the intruder, it was his wife's old nurse.	true	410.9	414.22	22.17452
5519_39478_000012_000000	"What are you doing here, Mrs. Cork?" he asked her.	"What are you doing here, mrs Cork?" he asked her.	true	415.7	418.15	22.687609
5519_39478_000013_000000	Mrs. Cork answered him in these words:	mrs Cork answered him in these words:	true	418.91	420.97	26.325531
5519_39478_000014_000000	"Poor thing.	"Poor thing.	true	421.61	422.595	27.80618
5519_39478_000014_000001	Poor Miss Silvia!	Poor Miss Silvia!	true	422.595	423.85	19.74277
5519_39478_000014_000002	It is a shame to let her run about like a dog.	It is a shame to let her run about like a dog.	true	424.19	426.645	22.379572
5519_39478_000014_000003	It is a shame, and your own wife too.	It is a shame, and your own wife too.	true	426.645	428.83	21.642334
5519_39478_000014_000004	But whatever she looks like, you should trust her the same as ever.	But whatever she looks like, you should trust her the same as ever.	true	429.26	432.43	24.040565
5519_39478_000014_000005	If you do she'll do her best to be a good wife to you, if you don't I shouldn't wonder if she did turn into a proper fox.	If you do she'll do her best to be a good wife to you, if you don't I shouldn't wonder if she did turn into a proper fox.	false	432.8	439.27	23.786215
5519_39478_000014_000006	I saw her, sir, before I left, and I've had no peace of mind.	I saw her, sir, before I left, and I've had no peace of mind.	true	439.58	443.32	24.436869
5519_39478_000014_000007	I couldn't sleep thinking of her.	I couldn't sleep thinking of her.	true	443.54	445.065	25.170298
5519_39478_000014_000008	So I've come back to look after her, as I have done all her life, sir," and she stooped down and took Mrs. Tebrick by the paw.	So I've come back to look after her, as I have done all her life, sir," and she stooped down and took mrs Tebrick by the paw.	true	445.065	451.72	23.215424
5519_39478_000015_000000	Mr. Tebrick unlocked the door and they went in.	mr Tebrick unlocked the door and they went in.	true	452.78	455.11	26.520247
5519_39478_000015_000001	When Mrs. Cork saw the house she exclaimed again and again: "The place was a pigstye.	When mrs Cork saw the house she exclaimed again and again: "The place was a pigstye.	true	455.36	460.48	24.349539
5519_39478_000015_000002	They couldn't live like that, a gentleman must have somebody to look after him.	They couldn't live like that, a gentleman must have somebody to look after him.	true	460.76	464.715	22.921413
5519_39478_000015_000003	She would do it.	She would do it.	true	464.715	465.79	27.147203
5519_39478_000015_000004	He could trust her with the secret."	He could trust her with the secret."	true	465.98	467.83	28.892076
5519_39478_000016_000000	Had the old woman come the day before it is likely enough that Mr. Tebrick would have sent her packing.	Had the old woman come the day before it is likely enough that mr Tebrick would have sent her packing.	true	468.35	473.2	24.516155
5519_39478_000016_000001	But the voice of conscience being woken in him by his drunkenness of the night before he was heartily ashamed of his own management of the business, moreover the old woman's words that "it was a shame to let her run about like a dog," moved him exceedingly.	But the voice of conscience being woken in him by his drunkenness of the night before he was heartily ashamed of his own management of the business, moreover the old woman's words that "it was a shame to let her run about like a dog," moved him exceedingly.	false	474.02	487.66	21.84066
5519_39478_000016_000002	Being in this mood the truth is he welcomed her.	Being in this mood the truth is he welcomed her.	true	488	490.69	26.43658
5519_39478_000017_000000	But we may conclude that Mrs. Tebrick was as sorry to see her old Nanny as her husband was glad.	But we may conclude that mrs Tebrick was as sorry to see her old Nanny as her husband was glad.	true	492.41	497.32	22.498833
5519_39478_000017_000001	If we consider that she had been brought up strictly by her when she was a child, and was now again in her power, and that her old nurse could never be satisfied with her now whatever she did, but would always think her wicked to be a fox at all, there seems good reason for her dislike.	If we consider that she had been brought up strictly by her when she was a child, and was now again in her power, and that her old nurse could never be satisfied with her now whatever she did, but would always think her wicked to be a fox at all, there seems good reason for her dislike.	true	497.93	513.31	23.214018
5519_39478_000017_000002	And it is possible, too, that there may have been another cause as well, and that is jealousy.	And it is possible, too, that there may have been another cause as well, and that is jealousy.	true	514.04	519.13	24.45621
5519_39478_000017_000003	We know her husband was always trying to bring her back to be a woman, or at any rate to get her to act like one, may she not have been hoping to get him to be like a beast himself or to act like one?	We know her husband was always trying to bring her back to be a woman, or at any rate to get her to act like one, may she not have been hoping to get him to be like a beast himself or to act like one?	true	519.47	530.2	23.70086
5519_39478_000017_000004	May she not have thought it easier to change him thus than ever to change herself back into being a woman?	May she not have thought it easier to change him thus than ever to change herself back into being a woman?	true	530.48	536.02	21
5519_39478_000017_000005	If we think that she had had a success of this kind only the night before, when he got drunk, can we not conclude that this was indeed the case, and then we have another good reason why the poor lady should hate to see her old nurse?	If we think that she had had a success of this kind only the night before, when he got drunk, can we not conclude that this was indeed the case, and then we have another good reason why the poor lady should hate to see her old nurse?	true	536.27	548.02	25.222637
5519_39478_000018_000000	It is certain that whatever hopes Mr. Tebrick had of Mrs. Cork affecting his wife for the better were disappointed.	It is certain that whatever hopes mr Tebrick had of mrs Cork affecting his wife for the better were disappointed.	true	549.14	555.07	26
5519_39478_000018_000001	She grew steadily wilder and after a few days so intractable with her that Mr. Tebrick again took her under his complete control.	She grew steadily wilder and after a few days so intractable with her that mr Tebrick again took her under his complete control.	true	555.95	562.51	25
5519_39478_000019_000000	The first morning Mrs. Cork made her a new jacket, cutting down the sleeves of a blue silk one of Mrs. Tebrick's and trimming it with swan's down, and directly she had altered it, put it on her mistress, and fetching a mirror would have her admire the fit of it.	The first morning mrs Cork made her a new jacket, cutting down the sleeves of a blue silk one of mrs Tebrick's and trimming it with swan's down, and directly she had altered it, put it on her mistress, and fetching a mirror would have her admire the fit of it.	true	564.29	577.78	23.974627
5519_39478_000019_000001	All the time she waited on Mrs. Tebrick the old woman talked to her as though she were a baby, and treated her as such, never thinking perhaps that she was either the one thing or the other, that is either a lady to whom she owed respect and who had rational powers exceeding her own, or else a wild creature on whom words were wasted.	All the time she waited on mrs Tebrick the old woman talked to her as though she were a baby, and treated her as such, never thinking perhaps that she was either the one thing or the other, that is either a lady to whom she owed respect and who had rational powers exceeding her own, or else a wild creature on whom words were wasted.	false	578.18	596.62	22.219162
5519_39478_000019_000002	But though at first she submitted passively, Mrs. Tebrick only waited for her Nanny's back to be turned to tear up her pretty piece of handiwork into shreds, and then ran gaily about waving her brush with only a few ribands still hanging from her neck.	But though at first she submitted passively, mrs Tebrick only waited for her Nanny's back to be turned to tear up her pretty piece of handiwork into shreds, and then ran gaily about waving her brush with only a few ribands still hanging from her neck.	true	597.44	609.97	23.726759
5519_39478_000020_000000	So it was time after time (for the old woman was used to having her own way) until Mrs. Cork would, I think, have tried punishing her if she had not been afraid of Mrs. Tebrick's rows of white teeth, which she often showed her, then laughing afterwards, as if to say it was only play.	So it was time after time (for the old woman was used to having her own way) until mrs Cork would, I think, have tried punishing her if she had not been afraid of mrs Tebrick's rows of white teeth, which she often showed her, then laughing afterwards, as if to say it was only play.	true	611.3	626.47	23.756315
5519_39478_000021_000000	Not content with tearing off the dresses that were fitted on her, one day Silvia slipped upstairs to her wardrobe and tore down all her old dresses and made havoc with them, not sparing her wedding dress either, but tearing and ripping them all up so that there was hardly a shred or rag left big enough to dress a doll in.	Not content with tearing off the dresses that were fitted on her, one day Silvia slipped upstairs to her wardrobe and tore down all her old dresses and made havoc with them, not sparing her wedding dress either, but tearing and ripping them all up so that there was hardly a shred or rag left big enough to dress a doll in.	true	626.87	643.18	23.006317
5519_39478_000021_000001	On this, Mr. Tebrick, who had let the old woman have most of her management to see what she could make of her, took her back under his own control.	On this, mr Tebrick, who had let the old woman have most of her management to see what she could make of her, took her back under his own control.	true	643.79	651.16	22.185532
5519_39478_000022_000000	He was sorry enough now that Mrs. Cork had disappointed him in the hopes he had had of her, to have the old woman, as it were, on his hands.	He was sorry enough now that mrs Cork had disappointed him in the hopes he had had of her, to have the old woman, as it were, on his hands.	false	651.65	659.11	23.523493
5519_39478_000022_000001	True she could be useful enough in many ways to him, by doing the housework, the cooking and mending, but still he was anxious since his secret was in her keeping, and the more now that she had tried her hand with his wife and failed.	True she could be useful enough in many ways to him, by doing the housework, the cooking and mending, but still he was anxious since his secret was in her keeping, and the more now that she had tried her hand with his wife and failed.	false	659.6	672.435	21.556372
5519_39478_000022_000002	For he saw that vanity had kept her mouth shut if she had won over her mistress to better ways, and her love for her would have grown by getting her own way with her.	For he saw that vanity had kept her mouth shut if she had won over her mistress to better ways, and her love for her would have grown by getting her own way with her.	true	672.435	680.26	22.571947
5519_39478_000022_000003	But now that she had failed she bore her mistress a grudge for not being won over, or at the best was become indifferent to the business, so that she might very readily blab.	But now that she had failed she bore her mistress a grudge for not being won over, or at the best was become indifferent to the business, so that she might very readily blab.	true	681.08	690.82	23.427532
5519_39478_000023_000000	For the moment all Mr. Tebrick could do was to keep her from going into Stokoe to the village, where she would meet all her old cronies and where there were certain to be any number of inquiries about what was going on at Rylands and so on.	For the moment all mr Tebrick could do was to keep her from going into Stokoe to the village, where she would meet all her old cronies and where there were certain to be any number of inquiries about what was going on at Rylands and so on.	true	691.67	703.99	23.023756
5519_39478_000023_000001	But as he saw that it was clearly beyond his power, however vigilant he might be, to watch over the old woman and his wife, and to prevent anyone from meeting with either of them, he began to consider what he could best do.	But as he saw that it was clearly beyond his power, however vigilant he might be, to watch over the old woman and his wife, and to prevent anyone from meeting with either of them, he began to consider what he could best do.	false	705.47	718.23	23.943144
5519_39478_000024_000000	Since he had sent away his servants and the gardener, giving out a story of having received bad news and his wife going away to London where he would join her, their probably going out of England and so on, he knew well enough that there would be a great deal of talk in the neighbourhood.	Since he had sent away his servants and the gardener, giving out a story of having received bad news and his wife going away to London where he would join her, their probably going out of England and so on, he knew well enough that there would be a great deal of talk in the neighbourhood.	true	718.23	732.88	23.464483
5519_39478_000025_000000	And as he had now stayed on, contrary to what he had said, there would be further rumour.	And as he had now stayed on, contrary to what he had said, there would be further rumour.	true	733.67	739.48	22.291748
5519_39478_000025_000001	Indeed, had he known it, there was a story already going round the country that his wife had run away with Major Solmes, and that he was gone mad with grief, that he had shot his dogs and his horses and shut himself up alone in the house and would speak with no one.	Indeed, had he known it, there was a story already going round the country that his wife had run away with Major Solmes, and that he was gone mad with grief, that he had shot his dogs and his horses and shut himself up alone in the house and would speak with no one.	false	739.64	754.12	22.244675
5519_39478_000025_000002	This story was made up by his neighbours not because they were fanciful or wanted to deceive, but like most tittle-tattle to fill a gap, as few like to confess ignorance, and if people are asked about such or such a man they must have something to say, or they suffer in everybody's opinion, are set down as dull or "out of the swim." In this way I met not long ago with someone who, after talking some little while and not knowing me or who I was, told me that David Garnett was dead, and died of being bitten by a cat after he had tormented it.	This story was made up by his neighbours not because they were fanciful or wanted to deceive, but like most tittle tattle to fill a gap, as few like to confess ignorance, and if people are asked about such or such a man they must have something to say, or they suffer in everybody's opinion, are set down as dull or "out of the swim." In this way I met not long ago with someone who, after talking some little while and not knowing me or who I was, told me that David Garnett was dead, and died of being bitten by a cat after he had tormented it.	false	754.61	786.55	24.227787
5519_39478_000025_000003	He had long grown a nuisance to his friends as an exorbitant sponge upon them, and the world was well rid of him.	He had long grown a nuisance to his friends as an exorbitant sponge upon them, and the world was well rid of him.	true	786.95	792.28	23.466963
5519_39478_000026_000000	Hearing this story of myself diverted me at the time, but I fully believe it has served me in good stead since.	Hearing this story of myself diverted me at the time, but I fully believe it has served me in good stead since.	true	793.01	798.88	24.786762
5519_39478_000026_000001	For it set me on my guard as perhaps nothing else would have done, against accepting for true all floating rumour and village gossip, so that now I am by second nature a true sceptic and scarcely believe anything unless the evidence for it is conclusive.	For it set me on my guard as perhaps nothing else would have done, against accepting for true all floating rumour and village gossip, so that now I am by second nature a true sceptic and scarcely believe anything unless the evidence for it is conclusive.	true	798.89	813.07	23.193764
5519_39478_000026_000002	Indeed I could never have got to the bottom of this history if I had believed one tenth part of what I was told, there was so much of it that was either manifestly false and absurd, or else contradictory to the ascertained facts.	Indeed I could never have got to the bottom of this history if I had believed one tenth part of what I was told, there was so much of it that was either manifestly false and absurd, or else contradictory to the ascertained facts.	true	813.98	825.7	25.7244
5519_39478_000026_000003	It is therefore only the bare bones of the story which you will find written here, for I have rejected all the flowery embroideries which would be entertaining reading enough, I daresay, for some, but if there be any doubt of the truth of a thing it is poor sort of entertainment to read about in my opinion.	It is therefore only the bare bones of the story which you will find written here, for I have rejected all the flowery embroideries which would be entertaining reading enough, I daresay, for some, but if there be any doubt of the truth of a thing it is poor sort of entertainment to read about in my opinion.	true	826.01	841.51	24.069166
5519_39478_000027_000000	To get back to our story: Mr. Tebrick having considered how much the appetite of his neighbours would be whetted to find out the mystery by his remaining in that part of the country, determined that the best thing he could do was to remove.	To get back to our story: mr Tebrick having considered how much the appetite of his neighbours would be whetted to find out the mystery by his remaining in that part of the country, determined that the best thing he could do was to remove.	false	842.9	854.17	27.401066
5519_39478_000028_000000	After some time turning the thing over in his mind, he decided that no place would be so good for his purpose as old Nanny's cottage.	After some time turning the thing over in his mind, he decided that no place would be so good for his purpose as old Nanny's cottage.	false	855.68	862.06	22
5519_39478_000028_000001	It was thirty miles away from Stokoe, which in the country means as far as Timbuctoo does to us in London.	It was thirty miles away from Stokoe, which in the country means as far as Timbuctoo does to us in London.	true	862.73	868.6	22.35338
5519_39478_000028_000002	Then it was near Tangley, and his lady having known it from her childhood would feel at home there, and also it was utterly remote, there being no village near it or manor house other than Tangley Hall, which was now untenanted for the greater part of the year.	Then it was near Tangley, and his lady having known it from her childhood would feel at home there, and also it was utterly remote, there being no village near it or manor house other than Tangley Hall, which was now untenanted for the greater part of the year.	false	869.96	884.8	22.488083
5519_39478_000028_000003	Nor did it mean imparting his secret to others, for there was only Mrs. Cork's son, a widower, who being out at work all day would be easily outwitted, the more so as he was stone deaf and of a slow and saturnine disposition.	Nor did it mean imparting his secret to others, for there was only mrs Cork's son, a widower, who being out at work all day would be easily outwitted, the more so as he was stone deaf and of a slow and saturnine disposition.	true	885.23	897.85	22.943203
5519_39478_000028_000004	To be sure there was little Polly, Mrs. Cork's granddaughter, but either Mr. Tebrick forgot her altogether, or else reckoned her as a mere baby and not to be thought of as a danger.	To be sure there was little Polly, mrs Cork's granddaughter, but either mr Tebrick forgot her altogether, or else reckoned her as a mere baby and not to be thought of as a danger.	true	898.37	908.17	22.238007
5519_39478_000029_000000	He talked the thing over with Mrs. Cork, and they decided upon it out of hand.	He talked the thing over with mrs Cork, and they decided upon it out of hand.	true	909.14	912.94	31.349047
5519_39478_000029_000001	The truth is the old woman was beginning to regret that her love and her curiosity had ever brought her back to Rylands, since so far she had got much work and little credit by it.	The truth is the old woman was beginning to regret that her love and her curiosity had ever brought her back to Rylands, since so far she had got much work and little credit by it.	false	913.28	922.39	22.306711
5519_39478_000030_000000	When it was settled, Mr. Tebrick disposed of the remaining business he had at Rylands in the afternoon, and that was chiefly putting out his wife's riding horse into the keeping of a farmer near by, for he thought he would drive over with his own horse, and the other spare horse tandem in the dogcart.	When it was settled, mr Tebrick disposed of the remaining business he had at Rylands in the afternoon, and that was chiefly putting out his wife's riding horse into the keeping of a farmer near by, for he thought he would drive over with his own horse, and the other spare horse tandem in the dogcart.	false	923.3	937.905	23.050766
5519_39478_000031_000000	The next morning they locked up the house and they departed, having first secured Mrs. Tebrick in a large wicker hamper where she would be tolerably comfortable.	The next morning they locked up the house and they departed, having first secured mrs Tebrick in a large wicker hamper where she would be tolerably comfortable.	true	937.905	946.06	25.743536
5519_39478_000031_000001	This was for safety, for in the agitation of driving she might jump out, and on the other hand, if a dog scented her and she were loose, she might be in danger of her life.	This was for safety, for in the agitation of driving she might jump out, and on the other hand, if a dog scented her and she were loose, she might be in danger of her life.	false	946.4	955.96	22.683172
5519_39478_000031_000002	Mr. Tebrick drove with the hamper beside him on the front seat, and spoke to her gently very often.	mr Tebrick drove with the hamper beside him on the front seat, and spoke to her gently very often.	true	956.36	961.24	24.033318
5519_39478_000032_000000	She was overcome by the excitement of the journey and kept poking her nose first through one crevice, then through another, turning and twisting the whole time and peeping out to see what they were passing. It was a bitterly cold day, and when they had gone about fifteen miles they drew up by the roadside to rest the horses and have their own luncheon, for he dared not stop at an inn.	She was overcome by the excitement of the journey and kept poking her nose first through one crevice, then through another, turning and twisting the whole time and peeping out to see what they were passing. It was a bitterly cold day, and when they had gone about fifteen miles they drew up by the roadside to rest the horses and have their own luncheon, for he dared not stop at an inn.	true	961.76	980.32	24.333471
5519_39478_000032_000001	He knew that any living creature in a hamper, even if it be only an old fowl, always draws attention; there would be several loafers most likely who would notice that he had a fox with him, and even if he left the hamper in the cart the dogs at the inn would be sure to sniff out her scent.	He knew that any living creature in a hamper, even if it be only an old fowl, always draws attention; there would be several loafers most likely who would notice that he had a fox with him, and even if he left the hamper in the cart the dogs at the inn would be sure to sniff out her scent.	true	980.93	994.81	24.049955
5519_39478_000032_000002	So not to take any chances he drew up at the side of the road and rested there, though it was freezing hard and a north-east wind howling.	So not to take any chances he drew up at the side of the road and rested there, though it was freezing hard and a north-east wind howling.	true	995.21	1001.74	23
5519_39478_000033_000000	He took down his precious hamper, unharnessed his two horses, covered them with rugs and gave them their corn.	He took down his precious hamper, unharnessed his two horses, covered them with rugs and gave them their corn.	true	1003.61	1008.97	25.906336
