1121_176698_000000_000000	CHAPTER XIII	CHAPTER thirteen	false	0.45	10.02	23.480455
1121_176698_000013_000000	"She'll be that 'appy-'earted," said Adam, pausing near-by with a great armful of miscellaneous articles, "an' that full o' joy as never was! Mr. Belloo sir!" Having delivered himself of which, he departed with his load.	"She'll be that 'appy 'earted," said Adam, pausing near by with a great armful of miscellaneous articles, "an' that full o' joy as never was! mr Belloo sir!" Having delivered himself of which, he departed with his load.	false	156.75	170.205	21.862505
1121_176698_000014_000000	"I rose this morning--very early, Mr. Bellew,--Oh! very early!" said Miss Priscilla, following Adam's laden figure with watchful eyes, "couldn't possibly sleep, you see.	"I rose this morning-very early, mr Bellew,--Oh! very early!" said Miss Priscilla, following Adam's laden figure with watchful eyes, "couldn't possibly sleep, you see.	true	170.205	181.66	20.861013
1121_176698_000014_000001	So I got up,--ridiculously early,--but, bless you, she was before me!"	So I got up,--ridiculously early,--but, bless you, she was before me!"	true	181.79	188.83	23.257015
1121_176698_000015_000000	"Ah!"	"Ah!"	true	189.41	190.815	24.41714
1121_176698_000016_000000	"Oh dear yes!--had been up--hours!	"Oh dear yes!--had been up-hours!	true	190.815	194.41	22.664108
1121_176698_000016_000001	And what--what do you suppose she was doing?" Bellew shook his head.	And what-what do you suppose she was doing?" Bellew shook his head.	false	194.66	200.59	21.803104
1121_176698_000017_000000	"She was rubbing and polishing that old side-board that you paid such a dreadful price for,--down on her knees before it,--yes she was!	"She was rubbing and polishing that old side board that you paid such a dreadful price for,--down on her knees before it,--yes she was!	true	200.6	210.1	16
1121_176698_000017_000001	and polishing, and rubbing, and--crying all the while.	and polishing, and rubbing, and-crying all the while.	false	210.17	214.72	19.174038
1121_176698_000017_000002	Oh dear heart!	Oh dear heart!	true	214.94	216.255	19.938734
1121_176698_000017_000003	such great, big tears,--and so very quiet!	such great, big tears,--and so very quiet!	true	216.255	220.09	22.800463
1121_176698_000017_000004	When she heard my little stick come tapping along she tried to hide them,--I mean her tears, of course, Mr. Bellew, and when I drew her dear, beautiful head down into my arms, she--tried to smile.	When she heard my little stick come tapping along she tried to hide them,--I mean her tears, of course, mr Bellew, and when I drew her dear, beautiful head down into my arms, she-tried to smile.	true	220.37	233.02	20.53015
1121_176698_000017_000005	'I'm so very silly, Aunt Priscilla,' she said, crying more than ever, 'but it _is_ so hard to let the old things be taken away,--you see,--I do _love_ them so!	'I'm so very silly, Aunt Priscilla,' she said, crying more than ever, 'but it underscore is underscore so hard to let the old things be taken away,--you see,--I do underscore love underscore them so!	false	233.39	243.97	18
1121_176698_000017_000006	I tell you all this, Mr. Bellew, because I like you,--ever since you took the trouble to pick up a ball of worsted for a poor, old lame woman--in an orchard,--first impressions, you know.	I tell you all this, mr Bellew, because I like you,--ever since you took the trouble to pick up a ball of worsted for a poor, old lame woman-in an orchard,--first impressions, you know.	true	245.33	257.44	19.810877
1121_176698_000017_000007	And secondly, I tell you all this to explain to you why I--hum!--"	And secondly, I tell you all this to explain to you why I-hum!--"	false	257.6	263.7	21.448301
1121_176698_000018_000000	"Threw a kiss--from a minstrel's gallery, to a most unworthy individual, Aunt Priscilla?"	"Threw a kiss-from a minstrel's gallery, to a most unworthy individual, Aunt Priscilla?"	true	263.7	269.02	21.028605
1121_176698_000019_000000	"Threw you a kiss, Mr. Bellew,--I had to,--the side-board you know,--on her knees--you understand?"	"Threw you a kiss, mr Bellew,--I had to,--the side board you know,--on her knees-you understand?"	true	269.24	277.03	21.832815
1121_176698_000020_000000	"I understand!"	"I understand!"	true	277.76	279.25	24.306036
1121_176698_000021_000000	"You see, Mr. Belloo sir," said Adam, at this juncture, speaking from beneath an inlaid table which he held balanced upon his head,--"it ain't as if this was jest ordinary furnitur' sir,--ye see she kind-er feels as it be all part o' Dapplemere Manor, as it used to be called, it's all been here so long, that them cheers an' tables has come to be part o' the 'ouse, sir.	"You see, mr Belloo sir," said Adam, at this juncture, speaking from beneath an inlaid table which he held balanced upon his head,--"it ain't as if this was jest ordinary furnitur' sir,--ye see she kind er feels as it be all part o' Dapplemere Manor, as it used to be called, it's all been here so long, that them cheers an' tables has come to be part o' the 'ouse, sir.	false	279.65	302.89	21.789732
1121_176698_000021_000001	So when she comes, an' finds as it ain't all been took,--or, as you might say,--vanished away,--why the question as I ax's you is,--w'ot will she say?	So when she comes, an' finds as it ain't all been took,--or, as you might say,--vanished away,--why the question as I ax's you is,--w'ot will she say?	false	303.11	314.91	23.721533
1121_176698_000021_000002	Oh Lord!" And here, Adam gave vent to his great laugh which necessitated an almost superhuman exertion of strength to keep the table from slipping from its precarious perch. Whereupon Miss Priscilla screamed, (a very small scream, like herself) and Prudence scolded, and the two rosy-cheeked maids tittered, and Adam went chuckling upon his way.	Oh Lord!" And here, Adam gave vent to his great laugh which necessitated an almost superhuman exertion of strength to keep the table from slipping from its precarious perch. Whereupon Miss Priscilla screamed, (a very small scream, like herself) and Prudence scolded, and the two rosy cheeked maids tittered, and Adam went chuckling upon his way.	false	314.91	340.03	20.786974
1121_176698_000022_000000	And when the hall was, once more, its old, familiar, comfortable self, when the floor had been swept of its litter, and every trace of the sale removed,--then Miss Priscilla sighed, and Bellew put on his coat.	And when the hall was, once more, its old, familiar, comfortable self, when the floor had been swept of its litter, and every trace of the sale removed,--then Miss Priscilla sighed, and Bellew put on his coat.	true	340.46	354.87	22.077843
1121_176698_000023_000000	"When do you expect--she will come home?" he enquired, glancing at the grandfather clock in the corner.	"When do you expect-she will come home?" he enquired, glancing at the grandfather clock in the corner.	true	354.87	361.425	25.677393
1121_176698_000024_000000	"Well, if she drove straight back from Cranbrook she would be here now,--but I fancy she won't be so very anxious to get home to-day,--and may come the longest way round; yes, it's in my mind she will keep away from Dapplemere as long as ever she can."	"Well, if she drove straight back from Cranbrook she would be here now,--but I fancy she won't be so very anxious to get home to day,--and may come the longest way round; yes, it's in my mind she will keep away from Dapplemere as long as ever she can."	true	361.425	378.07	21.41423
1121_176698_000025_000000	"And I think," said Bellew, "Yes, I think I'll take a walk.	"And I think," said Bellew, "Yes, I think I'll take a walk.	true	378.71	383.62	24.77519
1121_176698_000025_000001	I'll go and call upon the Sergeant."	I'll go and call upon the Sergeant."	false	383.78	386.55	22.919569
1121_176698_000026_000000	"The Sergeant!" said Miss Priscilla, "let me see,--it is now a quarter to six, it should take you about fifteen minutes to the village, that will make it exactly six o'clock.	"The Sergeant!" said Miss Priscilla, "let me see,--it is now a quarter to six, it should take you about fifteen minutes to the village, that will make it exactly six o'clock.	true	386.55	398.08	22.905602
1121_176698_000026_000001	You will find the Sergeant just sitting down in the chair on the left hand side of the fire-place,--in the corner,--at the 'King's Head,' you know.	You will find the Sergeant just sitting down in the chair on the left hand side of the fire place,--in the corner,--at the 'King's Head,' you know.	true	398.27	407.56	22.581144
1121_176698_000026_000002	Not that I have ever seen him there,--good gracious no! but I--happen to be--acquainted with his habits, and he is as regular and precise as his great, big silver watch, and that is the most precise, and regular thing in all the world.	Not that I have ever seen him there,--good gracious no! but I-happen to be-acquainted with his habits, and he is as regular and precise as his great, big silver watch, and that is the most precise, and regular thing in all the world.	false	407.99	423.79	21.68733
1121_176698_000026_000003	I am glad you are going," she went on, "because to-day is--well, a day apart, Mr. Bellew.	I am glad you are going," she went on, "because to day is-well, a day apart, mr Bellew.	true	424.22	431.71	22.333666
1121_176698_000026_000004	You will find the Sergeant at the 'King's Head,'--until half past seven."	You will find the Sergeant at the 'King's Head,'--until half past seven."	true	431.87	436	23.553648
1121_176698_000027_000000	"Then I will go to the 'King's Head,'" said Bellew.	"Then I will go to the 'King's Head,'" said Bellew.	true	436.58	439.84	21.075466
1121_176698_000027_000001	"And what message do you send him?"	"And what message do you send him?"	true	439.94	441.795	24.379879
1121_176698_000028_000000	"None," said Miss Priscilla, laughing and shaking her head,--"at least,--you can tell him, if you wish,--that--the peaches are riper than ever they were this evening."	"None," said Miss Priscilla, laughing and shaking her head,--"at least,--you can tell him, if you wish,--that-the peaches are riper than ever they were this evening."	false	441.795	452.74	22.191282
1121_176698_000029_000000	"I won't forget," said Bellew, smiling, and went out into the sunshine. But, crossing the yard, he was met by Adam, who, chuckling still, paused to touch his hat.	"I won't forget," said Bellew, smiling, and went out into the sunshine. But, crossing the yard, he was met by Adam, who, chuckling still, paused to touch his hat.	false	453.11	465.16	22.520866
1121_176698_000030_000000	"To look at that theer 'all, sir, you wouldn't never know as there'd ever been any sale at all,--not no'ow.	"To look at that theer 'all, sir, you wouldn't never know as there'd ever been any sale at all,--not no'ow.	false	465.77	472.83	21.838856
1121_176698_000030_000001	Now the only question as worrits me, and as I'm a-axin' of myself constant is,--what will Miss Anthea 'ave to say about it?"	Now the only question as worrits me, and as I'm a axin' of myself constant is,--what will Miss Anthea 'ave to say about it?"	false	472.83	482.47	23.957403
1121_176698_000031_000000	"Yes," said Bellew, "I wonder!" And so he turned, and went away slowly across the fields.	"Yes," said Bellew, "I wonder!" And so he turned, and went away slowly across the fields.	false	483.2	490.75	21.403133
1121_176698_000032_000000	Miss Priscilla had been right,--Anthea _was_ coming back the longest way round,--also she was anxious to keep away from Dapplemere as long as possible.	Miss Priscilla had been right,--Anthea underscore was underscore coming back the longest way round,--also she was anxious to keep away from Dapplemere as long as possible.	false	490.91	500.95	21.18957
1121_176698_000032_000001	Therefore, despite Small Porges' exhortations, and Bess's champing impatience, she held the mare in, permitting her only the slowest of paces, which was a most unusual thing for Anthea to do.	Therefore, despite Small Porges' exhortations, and Bess's champing impatience, she held the mare in, permitting her only the slowest of paces, which was a most unusual thing for Anthea to do.	false	501.2	515.62	21.954424
1121_176698_000032_000002	For the most part, too, she drove in silence seemingly deaf to Small Porges' flow of talk, which was also very unlike in her.	For the most part, too, she drove in silence seemingly deaf to Small Porges' flow of talk, which was also very unlike in her.	true	515.99	525.7	23.015806
1121_176698_000032_000003	But before her eyes were visions of her dismantled home, in her ears was the roar of voices clamouring for her cherished possessions,--a sickening roar, broken, now and then, by the hollow tap of the auctioneer's cruel hammer.	But before her eyes were visions of her dismantled home, in her ears was the roar of voices clamouring for her cherished possessions,--a sickening roar, broken, now and then, by the hollow tap of the auctioneer's cruel hammer.	true	525.77	541.42	21.717127
1121_176698_000032_000004	And, each time the clamouring voices rose, she shivered, and every blow of the cruel hammer seemed to fall upon her quivering heart.	And, each time the clamouring voices rose, she shivered, and every blow of the cruel hammer seemed to fall upon her quivering heart.	true	541.88	550.96	21.872253
1121_176698_000032_000005	Thus, she was unwontedly deaf and unresponsive to Small Porges, who presently fell into a profound gloom, in consequence; and thus, she held in the eager mare who therefore, shied, and fidgeted, and tossed her head indignantly.	Thus, she was unwontedly deaf and unresponsive to Small Porges, who presently fell into a profound gloom, in consequence; and thus, she held in the eager mare who therefore, shied, and fidgeted, and tossed her head indignantly.	true	551.18	569.11	22.305174
1121_176698_000033_000000	But, slowly as they went, they came within sight of the house, at last, with its quaint gables, and many latticed windows, and the blue smoke curling up from its twisted chimneys,--smiling and placid as though, in all this great world, there were no such thing to be found as--an auctioneer's hammer.	But, slowly as they went, they came within sight of the house, at last, with its quaint gables, and many latticed windows, and the blue smoke curling up from its twisted chimneys,--smiling and placid as though, in all this great world, there were no such thing to be found as-an auctioneer's hammer.	true	569.75	591.34	22.31162
1121_176698_000034_000000	And presently they swung into the drive, and drew up in the courtyard. And there was Adam, waiting to take the mare's head,--Adam, as good-natured, and stolid as though there were no abominations called, for want of a worse name,--sales.	And presently they swung into the drive, and drew up in the courtyard. And there was Adam, waiting to take the mare's head,--Adam, as good-natured, and stolid as though there were no abominations called, for want of a worse name,--sales.	false	591.89	609.46	22.33209
1121_176698_000035_000000	Very slowly, for her, Anthea climbed down from the high dog-cart, aiding Small Porges to earth, and with his hand clasped tight in hers, and with lips set firm, she turned and entered the hall.	Very slowly, for her, Anthea climbed down from the high dog cart, aiding Small Porges to earth, and with his hand clasped tight in hers, and with lips set firm, she turned and entered the hall.	true	610.67	624.94	22.370834
1121_176698_000035_000001	But, upon the threshold, she stopped, and stood there utterly still, gazing, and gazing upon the trim orderliness of everything.	But, upon the threshold, she stopped, and stood there utterly still, gazing, and gazing upon the trim orderliness of everything.	true	625.16	634.59	22.613739
1121_176698_000035_000002	Then, seeing every well remembered thing in its appointed place,--all became suddenly blurred, and dim, and, snatching her hand from Small Porges' clasp, she uttered a great, choking sob, and covered her face.	Then, seeing every well remembered thing in its appointed place,--all became suddenly blurred, and dim, and, snatching her hand from Small Porges' clasp, she uttered a great, choking sob, and covered her face.	false	634.59	651.94	21.898489
1121_176698_000036_000000	But Small Porges had seen, and stood aghast, and Miss Priscilla had seen, and now hurried forward with a quick tap, tap of her stick.	But Small Porges had seen, and stood aghast, and Miss Priscilla had seen, and now hurried forward with a quick tap, tap of her stick.	true	653	662.56	23.049913
1121_176698_000036_000001	As she came, Anthea raised her head, and looked for one who should have been there, but was not.	As she came, Anthea raised her head, and looked for one who should have been there, but was not.	true	662.81	669.34	22.208765
1121_176698_000036_000002	And, in that moment, instinctively she knew how things came to be as they were,--and, because of this knowledge, her cheeks flamed with a swift, burning colour, and with a soft cry, she hid her face in Miss Priscilla's gentle bosom.	And, in that moment, instinctively she knew how things came to be as they were,--and, because of this knowledge, her cheeks flamed with a swift, burning colour, and with a soft cry, she hid her face in Miss Priscilla's gentle bosom.	true	669.8	685.87	21.393154
1121_176698_000036_000003	Then, while her face was yet hidden there, she whispered:	Then, while her face was yet hidden there, she whispered:	true	686.21	689.83	22.50422
1121_176698_000037_000000	"Tell me--tell me--all about it."	"Tell me-tell me-all about it."	true	690.23	694.21	20.473587
1121_176698_000038_000000	But, meanwhile, Bellew, striding far away across the meadows, seeming to watch the glory of the sun-set, and to hearken to a blackbird piping from the dim seclusion of the copse a melodious "Good-bye" to the dying day, yet saw, and heard it not at all, for his mind was still occupied with Adam's question:--	But, meanwhile, Bellew, striding far away across the meadows, seeming to watch the glory of the sun set, and to hearken to a blackbird piping from the dim seclusion of the copse a melodious "Good bye" to the dying day, yet saw, and heard it not at all, for his mind was still occupied with Adam's question:--	false	694.52	722.34	22.80452
