5389_41911_000000_000000	'But it is absurd!' exclaimed the rest; 'how can the ogre get hold of her?'	'But it is absurd!' exclaimed the rest; 'how can the ogre get hold of her?'	false	0	3.18	19.419304
5389_41911_000017_000005	But he took the quinces and brought them back to his sister, who, when she had eaten them, declared herself better.	But he took the quinces and brought them back to his sister, who, when she had eaten them, declared herself better.	true	359.33	366.07	20.345095
5389_41911_000017_000006	The Drakos, when he heard that Janni had come back, fled for fear forty fathoms deeper underground.	The Drakos, when he heard that Janni had come back, fled for fear forty fathoms deeper underground.	true	366.98	374.14	19.159948
5389_41911_000018_000000	Next day, when Janni was hunting, the Drakos went to the sister and advised that she should again pretend to be ill, and should beg for some pears, which grew in a garden three days' journey from the castle.	Next day, when Janni was hunting, the Drakos went to the sister and advised that she should again pretend to be ill, and should beg for some pears, which grew in a garden three days' journey from the castle.	true	375.11	388.75	18.340073
5389_41911_000018_000001	From this quest Janni would certainly never return, for there dwelt nine brothers of the Drakos, each of whom had three heads.	From this quest Janni would certainly never return, for there dwelt nine brothers of the Drakos, each of whom had three heads.	true	389.54	399.49	19.923393
5389_41911_000019_000000	The sister did as she was told, and next day Janni, taking his three dogs with him, went to get the pears.	The sister did as she was told, and next day Janni, taking his three dogs with him, went to get the pears.	true	400.31	407.41	20.237759
5389_41911_000019_000001	When he came to the garden he laid himself down to rest, and soon fell asleep.	When he came to the garden he laid himself down to rest, and soon fell asleep.	true	408.02	413.65	18.979277
5389_41911_000020_000000	Then first came three Draken to eat him, and when the dogs had worried these, six others came and fought the dogs a long time.	Then first came three Draken to eat him, and when the dogs had worried these, six others came and fought the dogs a long time.	true	414.23	422.47	19.484442
5389_41911_000020_000001	The noise of this combat awoke Janni, and he slew the Draken, and knew at last why the dogs were covered with blood.	The noise of this combat awoke Janni, and he slew the Draken, and knew at last why the dogs were covered with blood.	true	422.84	430.6	19.281637
5389_41911_000021_000000	After that he freed all whom the Draken held prisoners, amongst others, a king's daughter.	After that he freed all whom the Draken held prisoners, amongst others, a king's daughter.	true	431.72	438.67	19.604002
5389_41911_000021_000001	Out of gratitude she would have taken him for her husband; but he put her off, saying: 'For the kindness that I have been able to do to you, you shall receive in this castle all the blind and lame who pass this way.' The princess promised him to do so, and on his departure gave him a ring.	Out of gratitude she would have taken him for her husband; but he put her off, saying: 'For the kindness that I have been able to do to you, you shall receive in this castle all the blind and lame who pass this way.' The princess promised him to do so, and on his departure gave him a ring.	false	439.13	460.09	19.692223
5389_41911_000022_000000	So Janni plucked the pears and took them to his sister, who, when she had eaten them, declared she felt better.	So Janni plucked the pears and took them to his sister, who, when she had eaten them, declared she felt better.	true	460.88	468.79	22.757235
5389_41911_000022_000001	When, however, the Drakos heard that Janni had come back yet a third time safe and sound, he fled for fright forty fathoms deeper underground; and, next day, when Janni was away hunting, he crept out and said to the sister: 'Now are we indeed both lost, unless you find out from him wherein his strength lies, and then between us we will contrive to do away with him.'	When, however, the Drakos heard that Janni had come back yet a third time safe and sound, he fled for fright forty fathoms deeper underground; and, next day, when Janni was away hunting, he crept out and said to the sister: 'Now are we indeed both lost, unless you find out from him wherein his strength lies, and then between us we will contrive to do away with him.'	false	469.37	497.71	19.755924
5389_41911_000023_000000	When, therefore, Janni had come back from hunting, and sat at evening with his sister by the fire, she begged him to tell her wherein lay his strength, and he answered: 'It lies in my two fingers; if these are bound together then all my strength disappears.'	When, therefore, Janni had come back from hunting, and sat at evening with his sister by the fire, she begged him to tell her wherein lay his strength, and he answered: 'It lies in my two fingers; if these are bound together then all my strength disappears.'	true	498.44	517.725	19.512722
5389_41911_000024_000000	'That I will not believe,' said the sister, 'unless I see it for myself.'	'That I will not believe,' said the sister, 'unless I see it for myself.'	true	517.725	522.94	19.231289
5389_41911_000025_000000	Then he let her tie his fingers together with a thread, and immediately he became powerless.	Then he let her tie his fingers together with a thread, and immediately he became powerless.	true	523.85	529.75	18.735653
5389_41911_000025_000001	Then the sister called up the Drakos, who, when he had come forth, tore out Janni's eyes, gave them to his dogs to eat, and threw him into a dry well.	Then the sister called up the Drakos, who, when he had come forth, tore out Janni's eyes, gave them to his dogs to eat, and threw him into a dry well.	true	530.24	542.2	19.39576
5389_41911_000026_000000	Now it happened that some travellers, going to draw water from this well, heard Janni groaning at the bottom.	Now it happened that some travellers, going to draw water from this well, heard Janni groaning at the bottom.	true	543.2	550.06	18.448034
5389_41911_000026_000001	They came near, and asked him where he was, and he begged them to draw him up from the well, for he was a poor unfortunate man.	They came near, and asked him where he was, and he begged them to draw him up from the well, for he was a poor unfortunate man.	true	550.49	558.55	19.05642
5389_41911_000027_000000	The travellers let a rope down and drew him up to daylight.	The travellers let a rope down and drew him up to daylight.	true	559.37	563.59	20.971783
5389_41911_000027_000001	It was not till then that he first became aware that he was blind, and he begged the travellers to lead him to the country of the king whose daughter he had freed, and they would be well repaid for their trouble.	It was not till then that he first became aware that he was blind, and he begged the travellers to lead him to the country of the king whose daughter he had freed, and they would be well repaid for their trouble.	true	563.84	576.52	19.852812
5389_41911_000028_000000	When they had brought him there he sent to beg the princess to come to him; but she did not recognise him till he had shown her the ring she had given him.	When they had brought him there he sent to beg the princess to come to him; but she did not recognise him till he had shown her the ring she had given him.	true	577.37	587.47	19.232458
5389_41911_000029_000000	Then she remembered him, and took him with her into the castle.	Then she remembered him, and took him with her into the castle.	true	587.87	592.09	19.921318
5389_41911_000030_000000	When she learnt what had befallen him she called together all the sorceresses in the country in order that they should tell her where the eyes were.	When she learnt what had befallen him she called together all the sorceresses in the country in order that they should tell her where the eyes were.	true	593	601.84	20.867064
5389_41911_000030_000001	At last she found one who declared that she knew where they were, and that she could restore them.	At last she found one who declared that she knew where they were, and that she could restore them.	true	602.06	607.84	19.28276
5389_41911_000030_000002	This sorceress then went straight to the castle where dwelt the sister and the Drakos, and gave something to the dogs to eat which caused the eyes to reappear.	This sorceress then went straight to the castle where dwelt the sister and the Drakos, and gave something to the dogs to eat which caused the eyes to reappear.	false	608.48	618.97	21.306156
5389_41911_000030_000003	She took them with her and put them back in Janni's head, so that he saw as well as before.	She took them with her and put them back in Janni's head, so that he saw as well as before.	false	619.4	626.14	20.55787
5389_41911_000031_000000	Then he returned to the castle of the Drakos, whom he slew as well as his sister; and, taking his dogs with him, went back to the princess and they were immediately married.	Then he returned to the castle of the Drakos, whom he slew as well as his sister; and, taking his dogs with him, went back to the princess and they were immediately married.	false	626.93	645.69	19.456251
