1961_149738_000000_000000	Freckles blushed and grinned appreciatively.	Freckles blushed and grinned appreciatively.	false	1.38	3.69	20.828869
1961_149738_000012_000003	It's more than sorry I am to be disappointing you.	It's more than sorry I am to be disappointing you.	true	170.24	173.55	17
1961_149738_000012_000004	Play it over, and I'll be beginning again, and this time I'll hold hard."	Play it over, and I'll be beginning again, and this time I'll hold hard."	true	173.55	177.46	14
1961_149738_000013_000000	"Well," said the Angel disgustedly, "it seems to me that if I had all the things to be proud of that you have, I'd lift up my head and sing!"	"Well," said the Angel disgustedly, "it seems to me that if I had all the things to be proud of that you have, I'd lift up my head and sing!"	true	178.28	185.26	20.816238
1961_149738_000014_000000	"And what is it I've to be proud of, ma'am?" politely inquired Freckles.	"And what is it I've to be proud of, ma'am?" politely inquired Freckles.	true	185.99	190.72	20.493677
1961_149738_000015_000000	"Why, a whole worldful of things," cried the Angel explosively.	"Why, a whole worldful of things," cried the Angel explosively.	true	191.21	195.46	16
1961_149738_000015_000001	"For one thing, you can be good and proud over the way you've kept the timber thieves out of this lease, and the trust your father has in you.	"For one thing, you can be good and proud over the way you've kept the timber thieves out of this lease, and the trust your father has in you.	true	195.59	202.93	16
1961_149738_000015_000002	You can be proud that you've never even once disappointed him or failed in what he believed you could do.	You can be proud that you've never even once disappointed him or failed in what he believed you could do.	true	203.18	208.27	13
1961_149738_000015_000003	You can be proud over the way everyone speaks of you with trust and honor, and about how brave of heart and strong of body you are I heard a big man say a few days ago that the Limberlost was full of disagreeable things--positive dangers, unhealthful as it could be, and that since the memory of the first settlers it has been a rendezvous for runaways, thieves, and murderers.	You can be proud over the way everyone speaks of you with trust and honor, and about how brave of heart and strong of body you are I heard a big man say a few days ago that the Limberlost was full of disagreeable things-positive dangers, unhealthful as it could be, and that since the memory of the first settlers it has been a rendezvous for runaways, thieves, and murderers.	true	208.61	230.77	17
1961_149738_000015_000004	This swamp is named for a man that was lost here and wandered around 'til he starved.	This swamp is named for a man that was lost here and wandered around 'til he starved.	true	231.08	236.08	15
1961_149738_000015_000005	That man I was talking with said he wouldn't take your job for a thousand dollars a month--in fact, he said he wouldn't have it for any money, and you've never missed a day or lost a tree.	That man I was talking with said he wouldn't take your job for a thousand dollars a month-in fact, he said he wouldn't have it for any money, and you've never missed a day or lost a tree.	false	236.3	247.48	20.08155
1961_149738_000015_000006	Proud!	Proud!	true	247.85	248.91	23
1961_149738_000015_000007	Why, I should think you would just parade around about proper over that!	Why, I should think you would just parade around about proper over that!	false	248.91	252.61	16
1961_149738_000016_000000	"And you can always be proud that you are born an Irishman.	"And you can always be proud that you are born an Irishman.	true	253.22	256.09	19
1961_149738_000016_000001	My father is Irish, and if you want to see him get up and strut give him a teeny opening to enlarge on his race.	My father is Irish, and if you want to see him get up and strut give him a teeny opening to enlarge on his race.	false	256.19	262.72	19.29361
1961_149738_000016_000002	He says that if the Irish had decent territory they'd lead the world.	He says that if the Irish had decent territory they'd lead the world.	true	262.97	266.92	18
1961_149738_000016_000003	He says they've always been handicapped by lack of space and of fertile soil.	He says they've always been handicapped by lack of space and of fertile soil.	false	266.96	270.73	14
1961_149738_000016_000004	He says if Ireland had been as big and fertile as Indiana, why, England wouldn't ever have had the upper hand.	He says if Ireland had been as big and fertile as Indiana, why, England wouldn't ever have had the upper hand.	true	270.92	277.12	16
1961_149738_000016_000005	She'd only be an appendage.	She'd only be an appendage.	true	277.19	278.865	17
1961_149738_000016_000006	Fancy England an appendage!	Fancy England an appendage!	true	278.865	281.05	24.35101
1961_149738_000016_000007	He says Ireland has the finest orators and the keenest statesmen in Europe today, and when England wants to fight, with whom does she fill her trenches?	He says Ireland has the finest orators and the keenest statesmen in Europe today, and when England wants to fight, with whom does she fill her trenches?	true	281.54	289.63	17
1961_149738_000016_000008	Irishmen, of course!	Irishmen, of course!	true	289.64	291.04	19.516865
1961_149738_000016_000009	Ireland has the greenest grass and trees, the finest stones and lakes, and they've jaunting-cars.	Ireland has the greenest grass and trees, the finest stones and lakes, and they've jaunting cars.	false	291.68	297.25	15
1961_149738_000016_000010	I don't know just exactly what they are, but Ireland has all there are, anyway. They've a lot of great actors, and a few singers, and there never was a sweeter poet than one of theirs.	I don't know just exactly what they are, but Ireland has all there are, anyway. They've a lot of great actors, and a few singers, and there never was a sweeter poet than one of theirs.	false	297.71	307.45	17
1961_149738_000016_000011	You should hear my father recite 'Dear Harp of My Country.' He does it this way."	You should hear my father recite 'Dear Harp of My Country.' He does it this way."	true	307.82	312.25	19.369133
1961_149738_000017_000000	The Angel arose, made an elaborate old-time bow, and holding up the banjo, recited in clipping feet and meter, with rhythmic swing and a touch of brogue that was simply irresistible:	The Angel arose, made an elaborate old time bow, and holding up the banjo, recited in clipping feet and meter, with rhythmic swing and a touch of brogue that was simply irresistible:	false	312.44	323.94	16
1961_149738_000018_000000	"Dear harp of my country" [The Angel ardently clasped the banjo],	"Dear harp of my country" [The Angel ardently clasped the banjo],	false	323.94	328.12	17.579342
1961_149738_000019_000000	"In darkness I found thee" [She held it to the light],	"In darkness I found thee" [She held it to the light],	true	328.22	331.54	26.18834
1961_149738_000020_000000	"The cold chain of silence had hung o'er thee long" [She muted the strings with her rosy palm];	"The cold chain of silence had hung o'er thee long" [She muted the strings with her rosy palm];	false	331.76	337.57	16
1961_149738_000021_000000	"Then proudly, my own Irish harp, I unbound thee" [She threw up her head and swept a ringing harmony];	"Then proudly, my own Irish harp, I unbound thee" [She threw up her head and swept a ringing harmony];	false	337.76	344.82	16
1961_149738_000022_000000	"And gave all thy chords to light, freedom, and song" [She crashed into the notes of the accompaniment she had been playing for Freckles].	"And gave all thy chords to light, freedom, and song" [She crashed into the notes of the accompaniment she had been playing for Freckles].	true	344.82	352.84	23
1961_149738_000023_000000	"That's what you want to be thinking of!" she cried.	"That's what you want to be thinking of!" she cried.	true	353.33	355.77	19
1961_149738_000023_000001	"Not darkness, and lonesomeness, and sadness, but 'light, freedom, and song.' I can't begin to think offhand of all the big, splendid things an Irishman has to be proud of; but whatever they are, they are all yours, and you are a part of them.	"Not darkness, and lonesomeness, and sadness, but 'light, freedom, and song.' I can't begin to think offhand of all the big, splendid things an Irishman has to be proud of; but whatever they are, they are all yours, and you are a part of them.	false	355.77	370.33	20
1961_149738_000023_000002	I just despise that 'saddest-when-I-sing' business.	I just despise that 'saddest when I sing' business.	false	370.55	374.22	20.02994
1961_149738_000023_000003	You can sing!	You can sing!	true	374.22	375.33	19
1961_149738_000023_000004	Now you go over there and do it!	Now you go over there and do it!	true	375.33	377.41	22.752758
1961_149738_000023_000005	Ireland has had her statesmen, warriors, actors, and poets; now you be her voice!	Ireland has had her statesmen, warriors, actors, and poets; now you be her voice!	true	377.69	382.69	16
1961_149738_000023_000006	You stand right out there before the cathedral door, and I'm going to come down the aisle playing that accompaniment, and when I stop in front of you--you sing!"	You stand right out there before the cathedral door, and I'm going to come down the aisle playing that accompaniment, and when I stop in front of you-you sing!"	true	383	391.66	17
1961_149738_000024_000000	The Angel's face wore an unusual flush.	The Angel's face wore an unusual flush.	true	391.94	394.84	18.36324
1961_149738_000024_000001	Her eyes were flashing and she was palpitating with earnestness.	Her eyes were flashing and she was palpitating with earnestness.	true	394.88	398.23	19.495838
1961_149738_000025_000000	She parted the bushes and disappeared.	She parted the bushes and disappeared.	true	399.17	401.295	19
1961_149738_000025_000001	Freckles, straight and tense, stood waiting.	Freckles, straight and tense, stood waiting.	true	401.295	403.84	17
1961_149738_000025_000002	Presently, before he saw she was there, she was coming down the aisle toward him, playing compellingly, and rifts of light were touching her with golden glory.	Presently, before he saw she was there, she was coming down the aisle toward him, playing compellingly, and rifts of light were touching her with golden glory.	true	404.15	413.35	13
1961_149738_000025_000003	Freckles stood as if transfixed.	Freckles stood as if transfixed.	true	413.93	416.26	19.269598
1961_149738_000026_000000	The cathedral was majestically beautiful, from arched dome of frescoed gold, green, and blue in never-ending shades and harmonies, to the mosaic aisle she trod, richly inlaid in choicest colors, and gigantic pillars that were God's handiwork fashioned and perfected through ages of sunshine and rain.	The cathedral was majestically beautiful, from arched dome of frescoed gold, green, and blue in never ending shades and harmonies, to the mosaic aisle she trod, richly inlaid in choicest colors, and gigantic pillars that were God's handiwork fashioned and perfected through ages of sunshine and rain.	true	416.93	436.09	15
1961_149738_000026_000001	But the fair young face and divinely molded form of the Angel were His most perfect work of all.	But the fair young face and divinely molded form of the Angel were His most perfect work of all.	true	436.67	443.05	16
1961_149738_000026_000002	Never had she appeared so surpassingly beautiful.	Never had she appeared so surpassingly beautiful.	true	443.3	446.26	16
1961_149738_000026_000003	She was smiling encouragingly now, and as she came toward him, she struck the chords full and strong.	She was smiling encouragingly now, and as she came toward him, she struck the chords full and strong.	true	446.63	453.37	20.550787
1961_149738_000027_000000	The heart of poor Freckles almost burst with dull pain and his great love for her.	The heart of poor Freckles almost burst with dull pain and his great love for her.	true	453.95	460.18	20.36307
1961_149738_000027_000001	In his desire to fulfill her expectations he forgot everything else, and when she reached his initial chord he was ready.	In his desire to fulfill her expectations he forgot everything else, and when she reached his initial chord he was ready.	true	460.58	467.71	14
1961_149738_000027_000002	He literally burst forth:	He literally burst forth:	true	467.99	469.96	20
1961_149738_000028_000000	"Three little leaves of Irish green, United on one stem, Love, truth, and valor do they mean, They form a magic gem."	"Three little leaves of Irish green, United on one stem, Love, truth, and valor do they mean, They form a magic gem."	false	470.03	478.9	16
1961_149738_000029_000000	The Angel's eyes widened curiously and her lips parted.	The Angel's eyes widened curiously and her lips parted.	true	479.51	482.74	16.158915
1961_149738_000029_000001	A deep color swept into her cheeks.	A deep color swept into her cheeks.	true	482.96	485.025	18
1961_149738_000029_000002	She had intended to arouse him.	She had intended to arouse him.	true	485.025	487.06	15
1961_149738_000029_000003	She had more than succeeded.	She had more than succeeded.	true	487.25	489.28	16
1961_149738_000029_000004	She was too young to know that in the effort to rouse a man, women frequently kindle fires that they neither can quench nor control. Freckles was looking over her head now and singing that song, as it never had been sung before, for her alone; and instead of her helping him, as she had intended, he was carrying her with him on the waves of his voice, away, away into another world.	She was too young to know that in the effort to rouse a man, women frequently kindle fires that they neither can quench nor control. Freckles was looking over her head now and singing that song, as it never had been sung before, for her alone; and instead of her helping him, as she had intended, he was carrying her with him on the waves of his voice, away, away into another world.	true	489.68	514.24	15
1961_149738_000029_000005	When he struck into the chorus, wide-eyed and panting, she was swaying toward him and playing with all her might.	When he struck into the chorus, wide eyed and panting, she was swaying toward him and playing with all her might.	true	514.49	520.12	14
1961_149738_000030_000000	"Oh, do you love?	"Oh, do you love?	true	520.28	521.595	17
1961_149738_000030_000001	Oh, say you love You love the shamrock green!"	Oh, say you love You love the shamrock green!"	false	521.595	525.01	14
1961_149738_000031_000000	At the last note, Freckles' voice ceased and he looked at the Angel.	At the last note, Freckles' voice ceased and he looked at the Angel.	true	525.53	529.06	19.795479
1961_149738_000031_000001	He had given his best and his all.	He had given his best and his all.	true	529.88	532	20
1961_149738_000031_000002	He fell on his knees and folded his arms across his breast.	He fell on his knees and folded his arms across his breast.	true	532.7	536.11	18
1961_149738_000031_000003	The Angel, as if magnetized, walked straight down the aisle to him, and running her fingers into the crisp masses of his red hair, tilted his head back and laid her lips on his forehead.	The Angel, as if magnetized, walked straight down the aisle to him, and running her fingers into the crisp masses of his red hair, tilted his head back and laid her lips on his forehead.	true	536.3	547.45	19
1961_149738_000032_000000	Then she stepped back and faced him.	Then she stepped back and faced him.	true	547.82	549.69	22.119125
1961_149738_000032_000001	"Good boy!" she said, in a voice that wavered from the throbbing of her shaken heart.	"Good boy!" she said, in a voice that wavered from the throbbing of her shaken heart.	true	549.69	554.95	16
1961_149738_000032_000002	"Dear boy!	"Dear boy!	true	555.05	556.32	20.558496
1961_149738_000032_000003	I knew you could do it!	I knew you could do it!	true	556.32	557.52	15
1961_149738_000032_000004	I knew it was in you!	I knew it was in you!	false	557.52	558.88	13
1961_149738_000032_000005	Freckles, when you go into the world, if you can face a big audience and sing like that, just once, you will be immortal, and anything you want will be yours."	Freckles, when you go into the world, if you can face a big audience and sing like that, just once, you will be immortal, and anything you want will be yours."	true	559.13	569.29	20
1961_149738_000033_000000	"Anything!" gasped Freckles.	"Anything!" gasped Freckles.	true	570.68	572.77	22.325548
1961_149738_000034_000000	"Anything," said the Angel.	"Anything," said the Angel.	true	573.26	575.14	22.546698
1961_149738_000035_000000	Freckles arose, muttered something, and catching up his old bucket, plunged into the swamp blindly on a pretence of bringing water.	Freckles arose, muttered something, and catching up his old bucket, plunged into the swamp blindly on a pretence of bringing water.	true	575.63	582.55	17
1961_149738_000035_000001	The Angel walked slowly across the study, sat on the rustic bench, and, through narrowed lids, intently studied the tip of her shoe.	The Angel walked slowly across the study, sat on the rustic bench, and, through narrowed lids, intently studied the tip of her shoe.	true	583.13	591.13	19
1961_149738_000036_000000	On the trail the Bird Woman wheeled to McLean with a dumbfounded look.	On the trail the Bird Woman wheeled to McLean with a dumbfounded look.	true	592.04	596.11	19
1961_149738_000037_000000	"God!" muttered he.	"God!" muttered he.	false	596.3	598.53	18.853
1961_149738_000038_000000	At last the Bird Woman spoke.	At last the Bird Woman spoke.	true	598.53	600.28	17.126188
1961_149738_000039_000000	"Do you think the Angel knew she did that?" she asked softly.	"Do you think the Angel knew she did that?" she asked softly.	true	600.62	605.07	19.397123
1961_149738_000040_000000	"No," said McLean; "I do not.	"No," said McLean; "I do not.	false	605.07	607.6	18.207575
1961_149738_000040_000001	But the poor boy knew it.	But the poor boy knew it.	true	607.79	609.18	19
1961_149738_000040_000002	Heaven help him!"	Heaven help him!"	true	609.18	610.39	19
1961_149738_000041_000000	The Bird Woman stared across the gently waving swale.	The Bird Woman stared across the gently waving swale.	true	611.09	615.33	21
1961_149738_000041_000001	"I don't see how I am going to blame her," she said at last.	"I don't see how I am going to blame her," she said at last.	true	615.33	618.67	16
1961_149738_000041_000002	"It's so exactly what I would have done myself."	"It's so exactly what I would have done myself."	true	618.71	621.31	13
1961_149738_000042_000000	"Say the remainder," demanded McLean hoarsely.	"Say the remainder," demanded McLean hoarsely.	true	621.71	624.73	18.871675
1961_149738_000042_000001	"Do him justice."	"Do him justice."	true	624.74	625.9	17.169634
1961_149738_000043_000000	"He was born a gentleman," conceded the Bird Woman.	"He was born a gentleman," conceded the Bird Woman.	true	626.66	629.5	12
1961_149738_000043_000001	"He took no advantage.	"He took no advantage.	true	629.54	631.24	20.301651
1961_149738_000043_000002	He never even offered to touch her.	He never even offered to touch her.	true	631.25	633.37	23
1961_149738_000043_000003	Whatever that kiss meant to him, he recognized that it was the loving impulse of a child under stress of strong emotion.	Whatever that kiss meant to him, he recognized that it was the loving impulse of a child under stress of strong emotion.	false	633.53	640.63	17
1961_149738_000043_000004	He was fine and manly as any man ever could have been."	He was fine and manly as any man ever could have been."	true	640.73	643.96	17
1961_149738_000044_000000	McLean lifted his hat.	McLean lifted his hat.	true	644.87	646.3	21.133198
1961_149738_000044_000001	"Thank you," he said simply, and parted the bushes for her to enter Freckles' room.	"Thank you," he said simply, and parted the bushes for her to enter Freckles' room.	true	646.76	650.98	19.581404
1961_149738_000045_000000	It was her first visit.	It was her first visit.	true	651.74	653.32	20.186047
1961_149738_000045_000001	Before she left she sent for her cameras and made studies of each side of it and of the cathedral.	Before she left she sent for her cameras and made studies of each side of it and of the cathedral.	true	653.36	658.42	14
1961_149738_000045_000002	She was entranced with the delicate beauty of the place, while her eyes kept following Freckles as if she could not believe that it could be his conception and work.	She was entranced with the delicate beauty of the place, while her eyes kept following Freckles as if she could not believe that it could be his conception and work.	false	658.94	667.93	20.792767
1961_149738_000046_000000	That was a happy day.	That was a happy day.	true	668.54	669.88	20.528234
1961_149738_000046_000001	The Bird Woman had brought a lunch, and they spread it, with Freckles' dinner, on the study floor and sat, resting and enjoying themselves.	The Bird Woman had brought a lunch, and they spread it, with Freckles' dinner, on the study floor and sat, resting and enjoying themselves.	true	670.13	677.8	16
1961_149738_000046_000002	But the Angel put her banjo into its case, silently gathered her music, and no one mentioned the concert.	But the Angel put her banjo into its case, silently gathered her music, and no one mentioned the concert.	true	677.99	684.04	17
1961_149738_000047_000000	The Bird Woman left McLean and the Angel to clear away the lunch, and with Freckles examined the walls of his room and told him all she knew about his shrubs and flowers.	The Bird Woman left McLean and the Angel to clear away the lunch, and with Freckles examined the walls of his room and told him all she knew about his shrubs and flowers.	false	684.77	693.13	13
1961_149738_000047_000001	She analyzed a cardinal-flower and showed him what he had wanted to know all summer--why the bees buzzed ineffectually around it while the humming-birds found in it an ever-ready feast.	She analyzed a cardinal flower and showed him what he had wanted to know all summer-why the bees buzzed ineffectually around it while the humming birds found in it an ever ready feast.	false	693.74	704.23	16
1961_149738_000047_000002	Some of his specimens were so rare that she was unfamiliar with them, and with the flower book between them they knelt, studying the different varieties.	Some of his specimens were so rare that she was unfamiliar with them, and with the flower book between them they knelt, studying the different varieties.	true	704.63	712.48	15
1961_149738_000047_000003	She wandered the length of the cathedral aisle with him, and it was at her suggestion that he lighted his altar with a row of flaming foxfire.	She wandered the length of the cathedral aisle with him, and it was at her suggestion that he lighted his altar with a row of flaming foxfire.	true	712.7	720.13	16
1961_149738_000048_000000	As Freckles came to the cabin from his long day at the swamp he saw Mrs. Chicken sweeping to the south and wondered where she was going.	As Freckles came to the cabin from his long day at the swamp he saw mrs Chicken sweeping to the south and wondered where she was going.	true	720.38	727.39	16
1961_149738_000048_000001	He stepped into the bright, cosy little kitchen, and as he reached down the wash-basin he asked Mrs. Duncan a question.	He stepped into the bright, cosy little kitchen, and as he reached down the wash basin he asked mrs Duncan a question.	true	727.79	734.62	21
1961_149738_000049_000000	"Mother Duncan, do kisses wash off?"	"Mother Duncan, do kisses wash off?"	true	734.69	737.38	23.225645
1961_149738_000050_000000	So warm a wave swept her heart that a half-flush mantled her face.	So warm a wave swept her heart that a half flush mantled her face.	true	738.2	742.65	19.825457
1961_149738_000050_000001	She straightened her shoulders and glanced at her hands tenderly.	She straightened her shoulders and glanced at her hands tenderly.	true	742.65	745.99	10
1961_149738_000051_000000	"Lord, na!	"Lord, na!	true	747.02	747.93	11
1961_149738_000051_000001	Freckles," she cried.	Freckles," she cried.	true	747.93	749.29	15
1961_149738_000051_000002	"At least, the anes ye get from people ye love dinna.	"At least, the anes ye get from people ye love dinna.	false	749.45	752.22	19
1961_149738_000051_000003	They dinna stay on the outside.	They dinna stay on the outside.	true	752.22	754.03	20
1961_149738_000051_000004	They strike in until they find the center of your heart and make their stopping-place there, and naething can take them from ye--I doubt if even death----Na, lad, ye can be reet sure kisses dinna wash off!"	They strike in until they find the center of your heart and make their stopping place there, and naething can take them from ye-I doubt if even death----Na, lad, ye can be reet sure kisses dinna wash off!"	false	754.13	765.7	20
1961_149738_000052_000000	Freckles set the basin down and muttered as he plunged his hot, tired face into the water, "I needn't be afraid to be washing, then, for that one struck in."	Freckles set the basin down and muttered as he plunged his hot, tired face into the water, "I needn't be afraid to be washing, then, for that one struck in."	false	766.58	784.05	17.868776
