4595_45204_000002_000000	A moment later Bates entered with a fresh supply of wood.	A moment later Bates entered with a fresh supply of wood.
4595_45204_000019_000001	I mapped out a course of reading, set up a draftsman’s table I found put away in a closet, and convinced myself that I was beginning a year of devotion to architecture.	I mapped out a course of reading, set up a draftsman's table I found put away in a closet, and convinced myself that I was beginning a year of devotion to architecture.
4595_45204_000019_000002	Such was, I felt, the only honest course.	Such was, I felt, the only honest course.
4595_45204_000019_000003	I should work every day from eight until one, and my leisure I should give to recreation and a search for the motives that lay behind the crafts and assaults of my enemies.	I should work every day from eight until one, and my leisure I should give to recreation and a search for the motives that lay behind the crafts and assaults of my enemies.
4595_45204_000020_000000	When I plunged into the wood in the middle of the afternoon it was with the definite purpose of returning to the upper end of the lake for an interview with Morgan, who had, so Bates informed me, a small house back of the cottages.	When I plunged into the wood in the middle of the afternoon it was with the definite purpose of returning to the upper end of the lake for an interview with Morgan, who had, so Bates informed me, a small house back of the cottages.
4595_45204_000021_000000	I took the canoe I had chosen for my own use from the boat-house and paddled up the lake.	I took the canoe I had chosen for my own use from the boat house and paddled up the lake.
4595_45204_000021_000001	The air was still warm, but the wind that blew out of the south tasted of rain.	The air was still warm, but the wind that blew out of the south tasted of rain.
4595_45204_000021_000002	I scanned the water and the borders of the lake for signs of life,—more particularly, I may as well admit, for a certain maroon-colored canoe and a girl in a red tam-o’-shanter, but lake and summer cottages were mine alone.	I scanned the water and the borders of the lake for signs of life,—more particularly, I may as well admit, for a certain maroon colored canoe and a girl in a red tam o'-shanter, but lake and summer cottages were mine alone.
4595_45204_000021_000004	There were many paths through the woods back of the cottages, and I followed several futilely before I at last found a small house snugly bid away in a thicket of young maples.	There were many paths through the woods back of the cottages, and I followed several futilely before I at last found a small house snugly bid away in a thicket of young maples.
4595_45204_000022_000000	The man I was looking for came to the door quickly in response to my knock.	The man I was looking for came to the door quickly in response to my knock.
4595_45204_000023_000000	“Good afternoon, Morgan.”	"Good afternoon, Morgan."
4595_45204_000024_000000	“Good afternoon, Mr. Glenarm,” he said, taking the pipe from his mouth the better to grin at me.	"Good afternoon, mr Glenarm," he said, taking the pipe from his mouth the better to grin at me.
4595_45204_000024_000001	He showed no sign of surprise, and I was nettled by his cool reception.	He showed no sign of surprise, and I was nettled by his cool reception.
4595_45204_000024_000002	There was, perhaps, a certain element of recklessness in my visit to the house of a man who had shown so singular an interest in my affairs, and his cool greeting vexed me.	There was, perhaps, a certain element of recklessness in my visit to the house of a man who had shown so singular an interest in my affairs, and his cool greeting vexed me.
4595_45204_000025_000000	“Morgan—”	"Morgan—"
4595_45204_000025_000001	I began.	I began.
4595_45204_000026_000000	“Won’t you come in and rest yourself, Mr. Glenarm?” he interrupted.	"Won't you come in and rest yourself, mr Glenarm?" he interrupted.
4595_45204_000026_000001	“I reckon you’re tired from your trip over—”	"I reckon you're tired from your trip over—"
4595_45204_000027_000000	“Thank you, no,” I snapped.	"Thank you, no," I snapped.
4595_45204_000029_000000	“Morgan, you are an infernal blackguard.	"Morgan, you are an infernal blackguard.
4595_45204_000029_000001	You have tried twice to kill me—”	You have tried twice to kill me—"
4595_45204_000031_000000	He lifted the gray fedora hat from his head, and poked his finger through a hole in the top.	He lifted the gray fedora hat from his head, and poked his finger through a hole in the top.
4595_45204_000032_000000	“You’re a pretty fair shot, Mr. Glenarm.	"You're a pretty fair shot, mr Glenarm.
4595_45204_000032_000001	The fact about me is,”—and he winked,—”the honest truth is, I’m all out of practice.	The fact about me is,"—and he winked,—"the honest truth is, I'm all out of practice.
4595_45204_000032_000002	Why, sir, when I saw you paddling out on the lake this afternoon I sighted you from the casino half a dozen times with my gun, but I was afraid to risk it.”	Why, sir, when I saw you paddling out on the lake this afternoon I sighted you from the casino half a dozen times with my gun, but I was afraid to risk it."
4595_45204_000032_000003	He seemed to be shaken with inner mirth.	He seemed to be shaken with inner mirth.
4595_45204_000033_000001	I know of nothing in the way of social adventure that is quite equal to it.	I know of nothing in the way of social adventure that is quite equal to it.
4595_45204_000033_000002	Morgan was a fellow of intelligence and, whatever lay back of his designs against me, he was clearly a foe to reckon with.	Morgan was a fellow of intelligence and, whatever lay back of his designs against me, he was clearly a foe to reckon with.
4595_45204_000033_000003	He stood in the doorway calmly awaiting my next move.	He stood in the doorway calmly awaiting my next move.
4595_45204_000033_000004	I struck a match on my box and lighted a cigarette.	I struck a match on my box and lighted a cigarette.
4595_45204_000034_000001	I hadn’t seen him for several years before he died.	I hadn't seen him for several years before he died.
4595_45204_000034_000002	I was never at Glenarm before in my life, so it’s a little rough for you to visit your displeasure on me.”	I was never at Glenarm before in my life, so it's a little rough for you to visit your displeasure on me."
4595_45204_000035_000000	He smiled tolerantly as I spoke.	He smiled tolerantly as I spoke.
4595_45204_000035_000001	I knew—and he knew that I did—that no ill feeling against my grandfather lay back of his interest in my affairs.	I knew—and he knew that I did—that no ill feeling against my grandfather lay back of his interest in my affairs.
4595_45204_000036_000000	“You’re not quite the man your grandfather was, Mr. Glenarm.	"You're not quite the man your grandfather was, mr Glenarm.
4595_45204_000036_000001	You’ll excuse my bluntness, but I take it that you’re a frank man.	You'll excuse my bluntness, but I take it that you're a frank man.
4595_45204_000036_000002	He was a very keen person, and, I’m afraid,”—he chuckled with evident satisfaction to himself,—”I’m really afraid, Mr. Glenarm, that you’re not!”	He was a very keen person, and, I'm afraid,"—he chuckled with evident satisfaction to himself,—"I'm really afraid, mr Glenarm, that you're not!"
4595_45204_000037_000000	“There you have it, Morgan!	"There you have it, Morgan!
4595_45204_000037_000001	I fully agree with you! I’m as dull as an oyster; that’s the reason I’ve called on you for enlightenment.	I fully agree with you! I'm as dull as an oyster; that's the reason I've called on you for enlightenment.
4595_45204_000037_000002	Consider that I’m here under a flag of truce, and let’s see if we can’t come to an agreement.”	Consider that I'm here under a flag of truce, and let's see if we can't come to an agreement."
4595_45204_000038_000001	There was a time when we might have done some business; but that’s past now.	There was a time when we might have done some business; but that's past now.
4595_45204_000038_000002	You seem like a pretty decent fellow, too, and I’m sorry I didn’t see you sooner; but better luck next time.”	You seem like a pretty decent fellow, too, and I'm sorry I didn't see you sooner; but better luck next time."
4595_45204_000039_000000	He stroked his yellow beard reflectively and shook his head a little sadly.	He stroked his yellow beard reflectively and shook his head a little sadly.
4595_45204_000039_000001	He was not a bad-looking fellow; and he expressed himself well enough with a broad western accent.	He was not a bad looking fellow; and he expressed himself well enough with a broad western accent.
4595_45204_000040_000000	“Well,”	"Well,"
4595_45204_000040_000001	I said, seeing that I should only make myself ridiculous by trying to learn anything from him, “I hope our little spats through windows and on walls won’t interfere with our pleasant social relations.	I said, seeing that I should only make myself ridiculous by trying to learn anything from him, "I hope our little spats through windows and on walls won't interfere with our pleasant social relations.
4595_45204_000040_000002	And I don’t hesitate to tell you,”—I was exerting myself to keep down my anger,—”that if I catch you on my grounds again I’ll fill you with lead and sink you in the lake.”	And I don't hesitate to tell you,"—I was exerting myself to keep down my anger,—"that if I catch you on my grounds again I'll fill you with lead and sink you in the lake."
4595_45204_000042_000000	“And now, if you’ll promise not to fire into my back I’ll wish you good day.	"And now, if you'll promise not to fire into my back I'll wish you good day.
4595_45204_000043_000000	He snatched off his hat and bowed profoundly.	He snatched off his hat and bowed profoundly.
4595_45204_000043_000001	“It’ll suit me much better to continue handling the case on your grounds,” he said, as though he referred to a business matter.	"It'll suit me much better to continue handling the case on your grounds," he said, as though he referred to a business matter.
4595_45204_000043_000002	“Killing a man on your own property requires some explaining—you may have noticed it?”	"Killing a man on your own property requires some explaining—you may have noticed it?"
4595_45204_000044_000000	“Yes; I commit most of my murders away from home,”	"Yes; I commit most of my murders away from home,"
4595_45204_000044_000001	I said.	I said.
4595_45204_000044_000002	“I formed the habit early in life.	"I formed the habit early in life.
4595_45204_000044_000003	Good day, Morgan.”	Good day, Morgan."
4595_45204_000045_000000	As I turned away he closed his door with a slam,—a delicate way of assuring me that he was acting in good faith, and not preparing to puncture my back with a rifle-ball.	As I turned away he closed his door with a slam,—a delicate way of assuring me that he was acting in good faith, and not preparing to puncture my back with a rifle ball.
4595_45204_000045_000001	I regained the lake-shore, feeling no great discouragement over the lean results of my interview, but rather a fresh zest for the game, whatever the game might be.	I regained the lake shore, feeling no great discouragement over the lean results of my interview, but rather a fresh zest for the game, whatever the game might be.
4595_45204_000045_000002	Morgan was not an enemy to trifle with; he was, on the other hand, a clever and daring foe; and the promptness with which he began war on me the night of my arrival at Glenarm House, indicated that there was method in his hostility.	Morgan was not an enemy to trifle with; he was, on the other hand, a clever and daring foe; and the promptness with which he began war on me the night of my arrival at Glenarm House, indicated that there was method in his hostility.
4595_45204_000047_000000	It was assuredly a spot for a pipe and a mood, and as the shadows crept through the wood before me and the water, stirred by the rising wind, began to beat below, I invoked the one and yielded to the other.	It was assuredly a spot for a pipe and a mood, and as the shadows crept through the wood before me and the water, stirred by the rising wind, began to beat below, I invoked the one and yielded to the other.
4595_45204_000047_000001	Something in the withered grass at my feet caught my eye. I bent and picked up a string of gold beads, dropped there, no doubt, by some girl from the school or a careless member of the summer colony.	Something in the withered grass at my feet caught my eye. I bent and picked up a string of gold beads, dropped there, no doubt, by some girl from the school or a careless member of the summer colony.
4595_45204_000047_000002	I counted the separate beads—they were round and there were fifty of them.	I counted the separate beads—they were round and there were fifty of them.
4595_45204_000047_000003	The proper length for one turn about a girl’s throat, perhaps; not more than that!	The proper length for one turn about a girl's throat, perhaps; not more than that!
4595_45204_000047_000004	I lifted my eyes and looked off toward St. Agatha’s.	I lifted my eyes and looked off toward saint Agatha's.
4595_45204_000049_000000	With this foolishness I rose, thrust the beads into my pocket, and paddled home in the waning glory of the sunset.	With this foolishness I rose, thrust the beads into my pocket, and paddled home in the waning glory of the sunset.
4595_45204_000050_000000	That night, as I was going quite late to bed, bearing a candle to light me through the dark hall to my room, I heard a curious sound, as of some one walking stealthily through the house.	That night, as I was going quite late to bed, bearing a candle to light me through the dark hall to my room, I heard a curious sound, as of some one walking stealthily through the house.
4595_45204_000050_000001	At first I thought Bates was still abroad, but I waited, listening for several minutes, without being able to mark the exact direction of the sound or to identify it with him.	At first I thought Bates was still abroad, but I waited, listening for several minutes, without being able to mark the exact direction of the sound or to identify it with him.
4595_45204_000050_000002	I went on to the door of my room, and still a muffled step seemed to follow me,—first it had come from below, then it was much like some one going up stairs,—but where?	I went on to the door of my room, and still a muffled step seemed to follow me,—first it had come from below, then it was much like some one going up stairs,—but where?
4595_45204_000050_000003	In my own room I still heard steps, light, slow, but distinct.	In my own room I still heard steps, light, slow, but distinct.
4595_45204_000050_000004	Again there was a stumble and a hurried recovery,—ghosts, I reflected, do not fall down stairs!	Again there was a stumble and a hurried recovery,—ghosts, I reflected, do not fall down stairs!
