192_128344_000000_000000	Unanimously voted.	Unanimously voted.	false	0	0.69	-20
192_128344_000014_000004	Be comforted, and forgive me.	Be comforted, and forgive me.	true	209.9	212.02	25.32654
192_128344_000014_000005	Heaven bless you!"	Heaven bless you!"	true	212.15	213.28	21.093739
192_128344_000015_000000	As he was drawn away, his wife released him, and stood looking after him with her hands touching one another in the attitude of prayer, and with a radiant look upon her face, in which there was even a comforting smile.	As he was drawn away, his wife released him, and stood looking after him with her hands touching one another in the attitude of prayer, and with a radiant look upon her face, in which there was even a comforting smile.	true	214.49	225.73	17
192_128344_000015_000001	As he went out at the prisoners' door, she turned, laid her head lovingly on her father's breast, tried to speak to him, and fell at his feet.	As he went out at the prisoners' door, she turned, laid her head lovingly on her father's breast, tried to speak to him, and fell at his feet.	true	226.73	235.45	22.60542
192_128344_000016_000000	Then, issuing from the obscure corner from which he had never moved, Sydney Carton came and took her up.	Then, issuing from the obscure corner from which he had never moved, Sydney Carton came and took her up.	true	236.15	242.35	19.888077
192_128344_000016_000001	Only her father and Mr. Lorry were with her.	Only her father and mr Lorry were with her.	true	242.39	244.93	20.675596
192_128344_000016_000002	His arm trembled as it raised her, and supported her head. Yet, there was an air about him that was not all of pity--that had a flush of pride in it.	His arm trembled as it raised her, and supported her head. Yet, there was an air about him that was not all of pity-that had a flush of pride in it.	true	245.96	256.78	21.08258
192_128344_000017_000000	"Shall I take her to a coach?	"Shall I take her to a coach?	true	257.39	259.14	25.427082
192_128344_000017_000001	I shall never feel her weight."	I shall never feel her weight."	true	259.14	260.92	21.665325
192_128344_000018_000000	He carried her lightly to the door, and laid her tenderly down in a coach.	He carried her lightly to the door, and laid her tenderly down in a coach.	true	261.77	265.9	22.787348
192_128344_000018_000001	Her father and their old friend got into it, and he took his seat beside the driver.	Her father and their old friend got into it, and he took his seat beside the driver.	true	266.39	272.68	24.279037
192_128344_000019_000000	When they arrived at the gateway where he had paused in the dark not many hours before, to picture to himself on which of the rough stones of the street her feet had trodden, he lifted her again, and carried her up the staircase to their rooms.	When they arrived at the gateway where he had paused in the dark not many hours before, to picture to himself on which of the rough stones of the street her feet had trodden, he lifted her again, and carried her up the staircase to their rooms.	true	273.29	286.9	23.746525
192_128344_000019_000001	There, he laid her down on a couch, where her child and Miss Pross wept over her.	There, he laid her down on a couch, where her child and Miss Pross wept over her.	false	287.15	292.48	25.225937
192_128344_000020_000000	"Don't recall her to herself," he said, softly, to the latter, "she is better so.	"Don't recall her to herself," he said, softly, to the latter, "she is better so.	true	292.79	297.76	22.970585
192_128344_000020_000001	Don't revive her to consciousness, while she only faints."	Don't revive her to consciousness, while she only faints."	true	297.92	301.36	20.071257
192_128344_000021_000000	"Oh, Carton, Carton, dear Carton!" cried little Lucie, springing up and throwing her arms passionately round him, in a burst of grief.	"Oh, Carton, Carton, dear Carton!" cried little Lucie, springing up and throwing her arms passionately round him, in a burst of grief.	true	302.36	311.23	23.973549
192_128344_000021_000001	"Now that you have come, I think you will do something to help mamma, something to save papa!	"Now that you have come, I think you will do something to help mamma, something to save papa!	true	312.05	317.38	22.86159
192_128344_000021_000002	O, look at her, dear Carton!	O, look at her, dear Carton!	true	318.05	320.14	24.935785
192_128344_000021_000003	Can you, of all the people who love her, bear to see her so?"	Can you, of all the people who love her, bear to see her so?"	false	320.69	324.25	20.377184
192_128344_000022_000000	He bent over the child, and laid her blooming cheek against his face.	He bent over the child, and laid her blooming cheek against his face.	true	324.53	328.84	22
192_128344_000022_000001	He put her gently from him, and looked at her unconscious mother.	He put her gently from him, and looked at her unconscious mother.	true	329.12	332.92	19.25597
192_128344_000023_000000	"Before I go," he said, and paused--"I may kiss her?"	"Before I go," he said, and paused-"I may kiss her?"	true	333.11	337.06	22.975458
192_128344_000024_000000	It was remembered afterwards that when he bent down and touched her face with his lips, he murmured some words.	It was remembered afterwards that when he bent down and touched her face with his lips, he murmured some words.	true	337.25	343.12	18
192_128344_000024_000001	The child, who was nearest to him, told them afterwards, and told her grandchildren when she was a handsome old lady, that she heard him say, "A life you love."	The child, who was nearest to him, told them afterwards, and told her grandchildren when she was a handsome old lady, that she heard him say, "A life you love."	true	343.34	353.02	22.170322
192_128344_000025_000000	When he had gone out into the next room, he turned suddenly on Mr. Lorry and her father, who were following, and said to the latter:	When he had gone out into the next room, he turned suddenly on mr Lorry and her father, who were following, and said to the latter:	true	354.02	360.51	15
192_128344_000026_000000	"You had great influence but yesterday, Doctor Manette; let it at least be tried.	"You had great influence but yesterday, Doctor Manette; let it at least be tried.	true	360.51	367.21	24.687029
192_128344_000026_000001	These judges, and all the men in power, are very friendly to you, and very recognisant of your services; are they not?"	These judges, and all the men in power, are very friendly to you, and very recognisant of your services; are they not?"	true	367.52	374.47	23
192_128344_000027_000000	"Nothing connected with Charles was concealed from me.	"Nothing connected with Charles was concealed from me.	true	375.26	378.09	21.434359
192_128344_000027_000001	I had the strongest assurances that I should save him; and I did." He returned the answer in great trouble, and very slowly.	I had the strongest assurances that I should save him; and I did." He returned the answer in great trouble, and very slowly.	true	378.09	385.45	22
192_128344_000028_000000	"Try them again.	"Try them again.	true	385.7	386.86	21.173658
192_128344_000028_000001	The hours between this and to-morrow afternoon are few and short, but try."	The hours between this and to morrow afternoon are few and short, but try."	true	386.87	391.78	22.238033
192_128344_000029_000000	"I intend to try.	"I intend to try.	true	392.3	393.645	26.00165
192_128344_000029_000001	I will not rest a moment."	I will not rest a moment."	true	393.645	396.94	19.954597
192_128344_000030_000000	"That's well.	"That's well.	true	397.04	397.965	23.823618
192_128344_000030_000001	I have known such energy as yours do great things before now--though never," he added, with a smile and a sigh together, "such great things as this.	I have known such energy as yours do great things before now-though never," he added, with a smile and a sigh together, "such great things as this.	false	397.965	407.14	20.537567
192_128344_000030_000002	But try!	But try!	true	407.69	408.67	20.406921
192_128344_000030_000003	Of little worth as life is when we misuse it, it is worth that effort.	Of little worth as life is when we misuse it, it is worth that effort.	true	410.36	415.305	21.748714
192_128344_000030_000004	It would cost nothing to lay down if it were not."	It would cost nothing to lay down if it were not."	true	415.305	418.54	21.096485
192_128344_000031_000000	"I will go," said Doctor Manette, "to the Prosecutor and the President straight, and I will go to others whom it is better not to name.	"I will go," said Doctor Manette, "to the Prosecutor and the President straight, and I will go to others whom it is better not to name.	true	419.03	426.94	24.363743
192_128344_000031_000001	I will write too, and--But stay!	I will write too, and-But stay!	true	427.16	430	25.556292
192_128344_000031_000002	There is a Celebration in the streets, and no one will be accessible until dark."	There is a Celebration in the streets, and no one will be accessible until dark."	true	430.43	435.19	19.170692
192_128344_000032_000000	"That's true.	"That's true.	true	436.07	437.025	23.756767
192_128344_000032_000001	Well!	Well!	true	437.025	437.505	22.665339
192_128344_000032_000002	It is a forlorn hope at the best, and not much the forlorner for being delayed till dark.	It is a forlorn hope at the best, and not much the forlorner for being delayed till dark.	false	437.505	443.955	21.850548
192_128344_000032_000003	I should like to know how you speed; though, mind!	I should like to know how you speed; though, mind!	true	443.955	446.985	16
192_128344_000032_000004	I expect nothing!	I expect nothing!	true	446.985	448.27	22.232485
192_128344_000032_000005	When are you likely to have seen these dread powers, Doctor Manette?"	When are you likely to have seen these dread powers, Doctor Manette?"	true	448.73	452.14	20
192_128344_000033_000000	"Immediately after dark, I should hope.	"Immediately after dark, I should hope.	true	453.17	455.265	23.784319
192_128344_000033_000001	Within an hour or two from this."	Within an hour or two from this."	true	455.265	457.06	22.309793
192_128344_000034_000000	"It will be dark soon after four.	"It will be dark soon after four.	true	458.15	460.12	26.193867
192_128344_000034_000001	Let us stretch the hour or two.	Let us stretch the hour or two.	true	460.25	462.16	25.335825
192_128344_000034_000002	If I go to Mr. Lorry's at nine, shall I hear what you have done, either from our friend or from yourself?"	If I go to mr Lorry's at nine, shall I hear what you have done, either from our friend or from yourself?"	true	462.2	468.64	21.778378
192_128344_000035_000000	"Yes."	"Yes."	true	469.64	470.385	18.98394
192_128344_000036_000000	"May you prosper!"	"May you prosper!"	true	470.385	471.79	29.945343
192_128344_000037_000000	Mr. Lorry followed Sydney to the outer door, and, touching him on the shoulder as he was going away, caused him to turn.	mr Lorry followed Sydney to the outer door, and, touching him on the shoulder as he was going away, caused him to turn.	true	471.86	479.08	22.600079
192_128344_000038_000000	"I have no hope," said Mr. Lorry, in a low and sorrowful whisper.	"I have no hope," said mr Lorry, in a low and sorrowful whisper.	true	479.09	484.39	19.87169
192_128344_000039_000000	"Nor have I."	"Nor have i"	true	484.43	485.62	20
192_128344_000040_000000	"If any one of these men, or all of these men, were disposed to spare him--which is a large supposition; for what is his life, or any man's to them!--I doubt if they durst spare him after the demonstration in the court."	"If any one of these men, or all of these men, were disposed to spare him-which is a large supposition; for what is his life, or any man's to them!--I doubt if they durst spare him after the demonstration in the court."	true	486.65	500.5	21.429657
192_128344_000041_000000	"And so do I. I heard the fall of the axe in that sound."	"And so do i I heard the fall of the axe in that sound."	true	500.51	504.13	20.476318
192_128344_000042_000000	Mr. Lorry leaned his arm upon the door-post, and bowed his face upon it.	mr Lorry leaned his arm upon the door post, and bowed his face upon it.	true	504.29	509.2	19.776413
192_128344_000043_000000	"Don't despond," said Carton, very gently; "don't grieve.	"Don't despond," said Carton, very gently; "don't grieve.	true	509.9	513.72	22.038357
192_128344_000043_000001	I encouraged Doctor Manette in this idea, because I felt that it might one day be consolatory to her.	I encouraged Doctor Manette in this idea, because I felt that it might one day be consolatory to her.	false	513.72	522.1	23.873606
192_128344_000043_000002	Otherwise, she might think 'his life was wantonly thrown away or wasted,' and that might trouble her."	Otherwise, she might think 'his life was wantonly thrown away or wasted,' and that might trouble her."	false	522.86	529.18	18
192_128344_000044_000000	"Yes, yes, yes," returned Mr. Lorry, drying his eyes, "you are right. But he will perish; there is no real hope."	"Yes, yes, yes," returned mr Lorry, drying his eyes, "you are right. But he will perish; there is no real hope."	false	530.39	540.22	21.089529
192_128344_000045_000000	"Yes.	"Yes.	true	540.47	541.21	22.076746
192_128344_000045_000001	He will perish: there is no real hope," echoed Carton.	He will perish: there is no real hope," echoed Carton.	true	541.34	545.74	23.726866
192_128344_000046_000000	And walked with a settled step, down-stairs.	And walked with a settled step, down stairs.	true	546.2	549.39	24.850298
192_128344_000047_000000	XII. Darkness	twelve. Darkness	false	549.39	549.42	-20
192_128344_000048_000000	Sydney Carton paused in the street, not quite decided where to go.	Sydney Carton paused in the street, not quite decided where to go.	false	549.42	549.66	-20
192_128344_000048_000001	"At Tellson's banking-house at nine," he said, with a musing face.	"At Tellson's banking house at nine," he said, with a musing face.	false	549.66	549.9	7
192_128344_000048_000002	"Shall I do well, in the mean time, to show myself?	"Shall I do well, in the mean time, to show myself?	false	549.9	550.14	-20
192_128344_000048_000003	I think so.	I think so.	false	550.14	550.2	-20
192_128344_000048_000004	It is best that these people should know there is such a man as I here; it is a sound precaution, and may be a necessary preparation.	It is best that these people should know there is such a man as I here; it is a sound precaution, and may be a necessary preparation.	false	550.2	550.77	27.471733
192_128344_000048_000005	But care, care, care! Let me think it out!"	But care, care, care! Let me think it out!"	false	550.77	555.72	19.20094
