8300_275128_000000_000000	Chapter XIII.	Chapter thirteen.	true	23.94	26.115	21.220531
8300_275128_000004_000004	The doll squeaked: "Mamma!"--and creaked--and cried again--and said: "Papa!" Kitty sat down on the floor; her legs would support her no longer.	The doll squeaked: "Mamma!"--and creaked-and cried again-and said: "Papa!" Kitty sat down on the floor; her legs would support her no longer.	false	126.35	139.27	20.127281
8300_275128_000004_000005	"I think I shall faint," she said quite seriously.	"I think I shall faint," she said quite seriously.	true	139.61	143.41	17.671034
8300_275128_000005_000000	In the midst of the general laughter, Sydney silently placed a new toy (a pretty little imitation of a jeweler's casket) at Kitty's side, and drew back before the child could look at her.	In the midst of the general laughter, Sydney silently placed a new toy (a pretty little imitation of a jeweler's casket) at Kitty's side, and drew back before the child could look at her.	true	144.11	157.57	19.835312
8300_275128_000005_000001	Mrs. Presty was the only person present who noticed her pale face and the trembling of her hands as she made the effort which preserved her composure.	mrs Presty was the only person present who noticed her pale face and the trembling of her hands as she made the effort which preserved her composure.	true	157.94	168.88	17
8300_275128_000006_000000	The doll's necklace, bracelets, and watch and chain, riveted Kitty's attention on the casket.	The doll's necklace, bracelets, and watch and chain, riveted Kitty's attention on the casket.	true	169.82	176.11	17
8300_275128_000006_000001	Just as she thought of looking round for her dear Syd, her father produced a new outburst of delight by presenting a perambulator worthy of the doll.	Just as she thought of looking round for her dear Syd, her father produced a new outburst of delight by presenting a perambulator worthy of the doll.	true	176.48	187.78	19
8300_275128_000006_000002	Her uncle followed with a parasol, devoted to the preservation of the doll's complexion when she went out for an airing.	Her uncle followed with a parasol, devoted to the preservation of the doll's complexion when she went out for an airing.	true	188.15	196.93	18
8300_275128_000006_000003	Then there came a pause.	Then there came a pause.	true	197.33	199.27	20.21392
8300_275128_000006_000004	Where was the generous grandmother's gift?	Where was the generous grandmother's gift?	true	199.31	202.365	18.214708
8300_275128_000006_000005	Nobody remembered it; Mrs. Presty herself discovered the inestimable sixpenny picture-book cast away and forgotten on a distant window-seat.	Nobody remembered it; mrs Presty herself discovered the inestimable sixpenny picture book cast away and forgotten on a distant window seat.	true	202.365	214.45	19
8300_275128_000006_000006	"I have a great mind to keep this," she said to Kitty, "till you are old enough to value it properly." In the moment of her absence at the window, Linley's mother-in-law lost the chance of seeing him whisper to Sydney.	"I have a great mind to keep this," she said to Kitty, "till you are old enough to value it properly." In the moment of her absence at the window, Linley's mother in law lost the chance of seeing him whisper to Sydney.	true	216.17	231.13	16
8300_275128_000006_000007	"Meet me in the shrubbery in half an hour," he said.	"Meet me in the shrubbery in half an hour," he said.	true	231.56	235.36	16
8300_275128_000006_000008	She stepped back from him, startled by the proposal. When Mrs. Presty was in the middle of the room again, Linley and the governess were no longer near each other.	She stepped back from him, startled by the proposal. When mrs Presty was in the middle of the room again, Linley and the governess were no longer near each other.	true	236.06	247.12	16
8300_275128_000007_000000	Having by this time recovered herself, Kitty got on her legs.	Having by this time recovered herself, Kitty got on her legs.	true	248.12	252.67	17.274267
8300_275128_000007_000001	"Now," the spoiled child declared, addressing the company present, "I'm going to play."	"Now," the spoiled child declared, addressing the company present, "I'm going to play."	true	252.86	259.03	20.640432
8300_275128_000008_000000	The doll was put into the perambulator, and was wheeled about the room, while Mrs. Linley moved the chairs out of the way, and Randal attended with the open parasol--under orders to "pretend that the sun was shining." Once more the sixpenny picture-book was neglected.	The doll was put into the perambulator, and was wheeled about the room, while mrs Linley moved the chairs out of the way, and Randal attended with the open parasol-under orders to "pretend that the sun was shining." Once more the sixpenny picture book was neglected.	false	259.76	279.88	19.34726
8300_275128_000008_000001	Mrs. Presty picked it up from the floor, determined by this time to hold it in reserve until her ungrateful grandchild reached years of discretion.	mrs Presty picked it up from the floor, determined by this time to hold it in reserve until her ungrateful grandchild reached years of discretion.	false	280.19	292.21	18
8300_275128_000008_000002	She put it in the bookcase between Byron's "Don Juan" and Butler's "Lives of the Saints." In the position which she now occupied, Linley was visible approaching Sydney again.	She put it in the bookcase between Byron's "Don Juan" and Butler's "Lives of the Saints." In the position which she now occupied, Linley was visible approaching Sydney again.	false	292.79	305.59	14
8300_275128_000008_000003	"Your own interests are seriously concerned," he whispered, "in something that I have to tell you."	"Your own interests are seriously concerned," he whispered, "in something that I have to tell you."	true	306.02	312.94	17.33841
8300_275128_000009_000000	Incapable of hearing what passed between them, Mrs. Presty could see that a secret understanding united her son-in-law and the governess.	Incapable of hearing what passed between them, mrs Presty could see that a secret understanding united her son in law and the governess.	true	313.88	323.77	15
8300_275128_000009_000001	She looked round cautiously at Mrs. Linley.	She looked round cautiously at mrs Linley.	true	324.02	327.19	15
8300_275128_000010_000000	Kitty's humor had changed; she was now eager to see the doll's splendid clothes taken off and put on again.	Kitty's humor had changed; she was now eager to see the doll's splendid clothes taken off and put on again.	true	328.13	335.77	15
8300_275128_000010_000001	"Come and look at it," she said to Sydney; "I want you to enjoy my birthday as much as I do." Left by himself, Randal got rid of the parasol by putting it on a table near the door.	"Come and look at it," she said to Sydney; "I want you to enjoy my birthday as much as I do." Left by himself, Randal got rid of the parasol by putting it on a table near the door.	true	336.26	349.42	18
8300_275128_000010_000002	Mrs. Presty beckoned to him to join her at the further end of the room.	mrs Presty beckoned to him to join her at the further end of the room.	true	349.73	354.73	16
8300_275128_000011_000000	"I want you to do me a favor," she began.	"I want you to do me a favor," she began.	true	355.73	358.69	18.681986
8300_275128_000012_000000	Glancing at Linley before she proceeded, Mrs. Presty took up a newspaper, and affected to be consulting Randal's opinion on a passage which had attracted her attention.	Glancing at Linley before she proceeded, mrs Presty took up a newspaper, and affected to be consulting Randal's opinion on a passage which had attracted her attention.	true	359.06	371.83	19
8300_275128_000012_000001	"Your brother is looking our way," she whispered: "he mustn't suspect that there is a secret between us."	"Your brother is looking our way," she whispered: "he mustn't suspect that there is a secret between us."	true	372.35	378.91	19
8300_275128_000013_000000	False pretenses of any kind invariably irritated Randal.	False pretenses of any kind invariably irritated Randal.	true	379.88	384.55	15
8300_275128_000013_000001	"What do you want me to do?" he asked sharply.	"What do you want me to do?" he asked sharply.	true	384.89	387.67	17.118013
8300_275128_000014_000000	The reply only increased his perplexity.	The reply only increased his perplexity.	true	388.01	391.33	20.39023
8300_275128_000015_000000	"Observe Miss Westerfield and your brother.	"Observe Miss Westerfield and your brother.	true	391.76	395.385	19.980782
8300_275128_000015_000001	Look at them now."	Look at them now."	true	395.385	396.79	17
8300_275128_000016_000000	Randal obeyed.	Randal obeyed.	true	396.98	398.62	18.038637
8300_275128_000017_000000	"What is there to look at?" he inquired.	"What is there to look at?" he inquired.	true	398.84	401.5	21.111786
8300_275128_000018_000000	"Can't you see?"	"Can't you see?"	true	401.72	403.06	17.204832
8300_275128_000019_000000	"I see they are talking to each other."	"I see they are talking to each other."	true	403.31	405.88	19.47564
8300_275128_000020_000000	"They are talking confidentially; talking so that Mrs. Linley can't hear them.	"They are talking confidentially; talking so that mrs Linley can't hear them.	true	406.25	411.465	19
8300_275128_000020_000001	Look again."	Look again."	true	411.465	412.72	18.427845
8300_275128_000021_000000	Randal fixed his eyes on Mrs. Presty, with an expression which showed his dislike of that lady a little too plainly.	Randal fixed his eyes on mrs Presty, with an expression which showed his dislike of that lady a little too plainly.	false	413.42	422.05	17
8300_275128_000021_000001	Before he could answer what she had just said to him, his lively little niece hit on a new idea.	Before he could answer what she had just said to him, his lively little niece hit on a new idea.	true	423.38	431.89	18.357327
8300_275128_000021_000002	The sun was shining, the flowers were in their brightest beauty--and the doll had not yet been taken into the garden!	The sun was shining, the flowers were in their brightest beauty-and the doll had not yet been taken into the garden!	true	432.26	439.93	17
8300_275128_000021_000003	Kitty at once led the way out; so completely preoccupied in steering the perambulator in a straight course that she forgot her uncle and the parasol.	Kitty at once led the way out; so completely preoccupied in steering the perambulator in a straight course that she forgot her uncle and the parasol.	true	440.36	451.75	19
8300_275128_000021_000004	Only waiting to remind her husband and Sydney that they were wasting the beautiful summer morning indoors, Mrs. Linley followed her daughter--and innocently placed a fatal obstacle in Mrs. Presty's way by leaving the room.	Only waiting to remind her husband and Sydney that they were wasting the beautiful summer morning indoors, mrs Linley followed her daughter-and innocently placed a fatal obstacle in mrs Presty's way by leaving the room.	true	452.12	471.46	19.3428
8300_275128_000021_000005	Having consulted each other by a look, Linley and the governess went out next.	Having consulted each other by a look, Linley and the governess went out next.	true	472.19	477.73	14
8300_275128_000021_000006	Left alone with Randal, Mrs. Presty's anger, under the complete overthrow of her carefully-laid scheme, set restraint at defiance.	Left alone with Randal, mrs Presty's anger, under the complete overthrow of her carefully laid scheme, set restraint at defiance.	true	478.16	488.89	19.40744
8300_275128_000022_000000	"My daughter's married life is a wreck," she burst out, pointing theatrically to the door by which Linley and Sydney Westerfield had retired.	"My daughter's married life is a wreck," she burst out, pointing theatrically to the door by which Linley and Sydney Westerfield had retired.	true	489.41	499.84	18.578606
8300_275128_000022_000001	"And Catherine has the vile creature whom your brother picked up in London to thank for it!	"And Catherine has the vile creature whom your brother picked up in London to thank for it!	true	500.18	506.29	19
8300_275128_000022_000002	Now do you understand me?"	Now do you understand me?"	true	506.57	508.69	15
8300_275128_000023_000000	"Less than ever," Randal answered--"unless you have taken leave of your senses."	"Less than ever," Randal answered-"unless you have taken leave of your senses."	true	509.15	514.48	15
8300_275128_000024_000000	Mrs. Presty recovered the command of her temper.	mrs Presty recovered the command of her temper.	true	515.03	518.68	22
8300_275128_000025_000000	On that fine morning her daughter might remain in the garden until the luncheon-bell rang.	On that fine morning her daughter might remain in the garden until the luncheon bell rang.	true	520.04	525.76	12
8300_275128_000025_000001	Linley had only to say that he wished to speak with his wife; and the private interview which he had so rudely insisted on as his sole privilege, would assuredly take place.	Linley had only to say that he wished to speak with his wife; and the private interview which he had so rudely insisted on as his sole privilege, would assuredly take place.	true	525.89	538.42	18.804726
8300_275128_000025_000002	The one chance left of still defeating him on his own ground was to force Randal to interfere by convincing him of his brother's guilt.	The one chance left of still defeating him on his own ground was to force Randal to interfere by convincing him of his brother's guilt.	true	538.88	549.79	19
8300_275128_000025_000003	Moderation of language and composure of manner offered the only hopeful prospect of reaching this end.	Moderation of language and composure of manner offered the only hopeful prospect of reaching this end.	true	550.1	557.86	18
8300_275128_000025_000004	Mrs. Presty assumed the disguise of patient submission, and used the irresistible influence of good humor and good sense.	mrs Presty assumed the disguise of patient submission, and used the irresistible influence of good humor and good sense.	true	558.2	568.06	17
8300_275128_000026_000000	"I don't complain, dear Randal, of what you have said to me," she replied.	"I don't complain, dear Randal, of what you have said to me," she replied.	true	569.12	574.36	18
8300_275128_000026_000001	"My indiscretion has deserved it.	"My indiscretion has deserved it.	true	574.49	577.21	21.062115
8300_275128_000026_000002	I ought to have produced my proofs, and have left it to you to draw the conclusion.	I ought to have produced my proofs, and have left it to you to draw the conclusion.	true	577.46	583.27	19
8300_275128_000026_000003	Sit down, if you please.	Sit down, if you please.	true	583.7	585.345	20.83228
8300_275128_000026_000004	I won't detain you for more than a few minutes."	I won't detain you for more than a few minutes."	true	585.345	587.83	8
8300_275128_000027_000000	Randal had not anticipated such moderation as this; he took the chair that was nearest to Mrs. Presty.	Randal had not anticipated such moderation as this; he took the chair that was nearest to mrs Presty.	true	588.95	597.25	18.792759
8300_275128_000027_000001	They were both now sitting with their backs turned to the entrance from the library to the drawing-room.	They were both now sitting with their backs turned to the entrance from the library to the drawing room.	true	597.59	603.7	15
8300_275128_000028_000000	"I won't trouble you with my own impressions," Mrs. Presty went on. "I will be careful only to mention what I have seen and heard.	"I won't trouble you with my own impressions," mrs Presty went on. "I will be careful only to mention what I have seen and heard.	true	604.61	613.3	17
8300_275128_000028_000001	If you refuse to believe me, I refer you to the guilty persons themselves."	If you refuse to believe me, I refer you to the guilty persons themselves."	true	613.52	619.21	18
8300_275128_000029_000000	She had just got to the end of those introductory words when Mrs. Linley returned, by way of the library, to fetch the forgotten parasol.	She had just got to the end of those introductory words when mrs Linley returned, by way of the library, to fetch the forgotten parasol.	true	619.91	629.44	17.599356
8300_275128_000030_000000	Randal insisted on making Mrs. Presty express herself plainly.	Randal insisted on making mrs Presty express herself plainly.	true	630.11	635.14	17
8300_275128_000030_000001	"You speak of guilty persons," he said.	"You speak of guilty persons," he said.	true	635.51	638.5	19
8300_275128_000030_000002	"Am I to understand that one of those guilty persons is my brother?"	"Am I to understand that one of those guilty persons is my brother?"	true	638.66	643.06	13
8300_275128_000031_000000	Mrs. Linley advanced a step and took the parasol from the table.	mrs Linley advanced a step and took the parasol from the table.	true	643.76	648.52	18
8300_275128_000031_000001	Hearing what Randal said, she paused, wondering at the strange allusion to her husband.	Hearing what Randal said, she paused, wondering at the strange allusion to her husband.	true	648.98	655.63	19
8300_275128_000031_000002	In the meanwhile, Mrs. Presty answered the question that had been addressed to her.	In the meanwhile, mrs Presty answered the question that had been addressed to her.	true	656.09	661.06	16.795908
8300_275128_000032_000000	"Yes," she said to Randal; "I mean your brother, and your brother's mistress--Sydney Westerfield."	"Yes," she said to Randal; "I mean your brother, and your brother's mistress-Sydney Westerfield."	true	661.64	668.44	18.491297
8300_275128_000033_000000	Mrs. Linley laid the parasol back on the table, and approached them.	mrs Linley laid the parasol back on the table, and approached them.	true	669.26	674.11	17
8300_275128_000034_000000	She never once looked at her mother; her face, white and rigid, was turned toward Randal.	She never once looked at her mother; her face, white and rigid, was turned toward Randal.	true	674.45	681.07	20.429953
8300_275128_000034_000001	To him, and to him only, she spoke.	To him, and to him only, she spoke.	true	681.41	684.58	19.40257
8300_275128_000035_000000	"What does my mother's horrible language mean?" she asked.	"What does my mother's horrible language mean?" she asked.	true	685.16	689.32	18.952806
8300_275128_000036_000000	Mrs. Presty triumphed inwardly; chance had decided in her favor, after all!	mrs Presty triumphed inwardly; chance had decided in her favor, after all!	false	689.66	696.73	20.429567
8300_275128_000036_000001	"Don't you see," she said to her daughter, "that I am here to answer for myself?"	"Don't you see," she said to her daughter, "that I am here to answer for myself?"	true	697.31	703.15	16.695587
8300_275128_000037_000000	Mrs. Linley still looked at Randal, and still spoke to him.	mrs Linley still looked at Randal, and still spoke to him.	true	703.79	708.13	18
8300_275128_000037_000001	"It is impossible for me to insist on an explanation from my mother," she proceeded.	"It is impossible for me to insist on an explanation from my mother," she proceeded.	true	708.56	714.94	16
8300_275128_000037_000002	"No matter what I may feel, I must remember that she _is_ my mother.	"No matter what I may feel, I must remember that she underscore is underscore my mother.	false	715.31	720.61	19
8300_275128_000037_000003	I ask you again--you who have been listening to her--what does she mean?"	I ask you again-you who have been listening to her-what does she mean?"	true	720.95	727.09	18.457525
8300_275128_000038_000000	Mrs. Presty's sense of her own importance refused to submit to being passed over in this way.	mrs Presty's sense of her own importance refused to submit to being passed over in this way.	false	727.79	734.56	14
8300_275128_000039_000000	"However insolently you may behave, Catherine, you will not succeed in provoking me.	"However insolently you may behave, Catherine, you will not succeed in provoking me.	true	735.89	742.36	14
8300_275128_000039_000001	Your mother is bound to open your eyes to the truth. You have a rival in your husband's affections; and that rival is your governess.	Your mother is bound to open your eyes to the truth. You have a rival in your husband's affections; and that rival is your governess.	true	742.64	752.56	18.99611
8300_275128_000039_000002	Take your own course now; I have no more to say." With her head high in the air--looking the picture of conscious virtue--the old lady walked out.	Take your own course now; I have no more to say." With her head high in the air-looking the picture of conscious virtue-the old lady walked out.	true	752.87	764.32	18.537992
8300_275128_000040_000000	At the same moment Randal seized his first opportunity of speaking.	At the same moment Randal seized his first opportunity of speaking.	true	765.53	770.23	17
8300_275128_000041_000000	He addressed himself gently and respectfully to his sister-in-law.	He addressed himself gently and respectfully to his sister in law.	true	770.96	775.54	18
8300_275128_000041_000001	She refused to hear him.	She refused to hear him.	true	776.09	778.06	20.504623
8300_275128_000041_000002	The indignation which Mrs. Presty had roused in her made no allowances, and was blind to all sense of right.	The indignation which mrs Presty had roused in her made no allowances, and was blind to all sense of right.	true	778.28	787.12	17
8300_275128_000042_000000	"Don't trouble yourself to account for your silence," she said, most unjustly.	"Don't trouble yourself to account for your silence," she said, most unjustly.	true	788.12	793.54	15
8300_275128_000042_000001	"You were listening to my mother without a word of remonstrance when I came into the room.	"You were listening to my mother without a word of remonstrance when I came into the room.	true	793.91	799.87	13
8300_275128_000042_000002	You are concerned in this vile slander, too."	You are concerned in this vile slander, too."	true	800.33	803.92	17
8300_275128_000043_000000	Randal considerately refrained from provoking her by attempting to defend himself, while she was incapable of understanding him.	Randal considerately refrained from provoking her by attempting to defend himself, while she was incapable of understanding him.	true	804.83	815.32	17.795273
8300_275128_000043_000001	"You will be sorry when you find that you have misjudged me," he said, and sighed, and left her.	"You will be sorry when you find that you have misjudged me," he said, and sighed, and left her.	true	815.84	822.67	16.91944
8300_275128_000044_000000	She dropped into a chair.	She dropped into a chair.	true	823.79	825.79	20.126293
8300_275128_000044_000001	If there was any one distinct thought in her at that moment, it was the thought of her husband.	If there was any one distinct thought in her at that moment, it was the thought of her husband.	true	826.19	832.27	19
8300_275128_000044_000002	She was eager to see him; she longed to say to him: "My love, I don't believe a word of it!" He was not in the garden when she had returned for the parasol; and Sydney was not in the garden.	She was eager to see him; she longed to say to him: "My love, I don't believe a word of it!" He was not in the garden when she had returned for the parasol; and Sydney was not in the garden.	true	832.97	847.45	18.30922
8300_275128_000044_000003	Wondering what had become of her father and her governess, Kitty had asked the nursemaid to look for them.	Wondering what had become of her father and her governess, Kitty had asked the nursemaid to look for them.	true	847.82	855.16	20.149439
8300_275128_000044_000004	What had happened since?	What had happened since?	true	855.56	857.38	19.826904
8300_275128_000044_000005	Where had they been found?	Where had they been found?	true	857.42	859.27	18.83268
8300_275128_000044_000006	After some hesitation, Mrs. Linley sent for the nursemaid.	After some hesitation, mrs Linley sent for the nursemaid.	true	859.49	863.92	14
8300_275128_000044_000007	She felt the strongest reluctance, when the girl appeared, to approach the very inquiries which she was interested in making.	She felt the strongest reluctance, when the girl appeared, to approach the very inquiries which she was interested in making.	true	864.11	872.95	19
8300_275128_000045_000000	"Have you found Mr. Linley?" she said--with an effort.	"Have you found mr Linley?" she said-with an effort.	true	874.19	878.8	18.559855
8300_275128_000046_000000	"Yes, ma'am."	"Yes, ma'am."	true	879.14	880.15	21.591955
8300_275128_000047_000000	"Where did you find him?"	"Where did you find him?"	true	880.49	882.07	18.50051
8300_275128_000048_000000	"In the shrubbery."	"In the shrubbery."	true	882.17	883.39	20.727247
8300_275128_000049_000000	"Did your master say anything?"	"Did your master say anything?"	true	883.7	885.82	17.067352
8300_275128_000050_000000	"I slipped away, ma'am, before he saw me."	"I slipped away, ma'am, before he saw me."	true	886.22	888.94	18
8300_275128_000051_000000	"Why?"	"Why?"	true	889.37	890.14	18.562262
8300_275128_000052_000000	"Miss Westerfield was in the shrubbery, with my master.	"Miss Westerfield was in the shrubbery, with my master.	true	890.69	894.4	16
8300_275128_000052_000001	I might have been mistaken--"	I might have been mistaken-"	true	894.59	896.59	20.678366
8300_275128_000052_000002	The girl paused, and looked confused.	The girl paused, and looked confused.	true	896.87	899.77	22.354757
8300_275128_000053_000000	Mrs. Linley tried to tell her to go on.	mrs Linley tried to tell her to go on.	true	900.17	903.4	19
8300_275128_000053_000001	The words were in her mind; but the capacity of giving expression to them failed her.	The words were in her mind; but the capacity of giving expression to them failed her.	true	903.59	909.52	19.714935
8300_275128_000053_000002	She impatiently made a sign.	She impatiently made a sign.	true	910.1	912.34	17.430996
8300_275128_000053_000003	The sign was understood.	The sign was understood.	true	912.5	914.5	19.060165
8300_275128_000054_000000	"I might have been mistaken," the maid repeated--"but I thought Miss Westerfield was crying."	"I might have been mistaken," the maid repeated-"but I thought Miss Westerfield was crying."	true	915.02	921.49	21
8300_275128_000055_000000	Having replied in those terms, she seemed to be anxious to get away.	Having replied in those terms, she seemed to be anxious to get away.	true	922.34	926.5	17
8300_275128_000055_000001	The parasol caught her eye.	The parasol caught her eye.	true	926.66	928.72	21.378712
8300_275128_000055_000002	"Miss Kitty wants this," she said, "and wonders why you have not gone back to her in the garden.	"Miss Kitty wants this," she said, "and wonders why you have not gone back to her in the garden.	false	928.97	934.78	15
8300_275128_000055_000003	May I take the parasol?"	May I take the parasol?"	true	935.15	936.94	20.641136
8300_275128_000056_000000	"Take it."	"Take it."	true	937.43	938.35	19.369642
8300_275128_000057_000000	The tone of the mistress's voice was completely changed.	The tone of the mistress's voice was completely changed.	true	938.99	943.21	18.946304
8300_275128_000057_000001	The servant looked at her with vague misgivings.	The servant looked at her with vague misgivings.	true	943.34	946.51	22.519873
8300_275128_000057_000002	"Are you not well, ma'am?"	"Are you not well, ma'am?"	true	946.7	948.46	14.45022
8300_275128_000058_000000	"Quite well."	"Quite well."	true	948.83	949.96	19.132149
8300_275128_000059_000000	The servant withdrew.	The servant withdrew.	true	950.54	952.12	19.285973
8300_275128_000060_000000	Mrs. Linley's chair happened to be near one of the windows, which commanded a view of the drive leading to the main entrance of the house. A carriage had just arrived bringing holiday travelers to visit that part of Mount Morven which was open to strangers.	mrs Linley's chair happened to be near one of the windows, which commanded a view of the drive leading to the main entrance of the house. A carriage had just arrived bringing holiday travelers to visit that part of Mount Morven which was open to strangers.	false	952.76	971.38	19
8300_275128_000060_000001	She watched them as they got out, talking and laughing, and looking about them.	She watched them as they got out, talking and laughing, and looking about them.	true	972.02	976.6	15
8300_275128_000060_000002	Still shrinking instinctively from the first doubt of Herbert that had ever entered her mind, she found a refuge from herself in watching the ordinary events of the day.	Still shrinking instinctively from the first doubt of Herbert that had ever entered her mind, she found a refuge from herself in watching the ordinary events of the day.	true	977.12	989.05	17
8300_275128_000060_000003	One by one the tourists disappeared under the portico of the front door.	One by one the tourists disappeared under the portico of the front door.	true	990.17	995.11	21
8300_275128_000060_000004	The empty carriage was driven away next, to water the horses at the village inn.	The empty carriage was driven away next, to water the horses at the village inn.	true	995.72	1000.72	16
8300_275128_000060_000005	Solitude was all she could see from the windows; silence, horrible silence, surrounded her out of doors and in.	Solitude was all she could see from the windows; silence, horrible silence, surrounded her out of doors and in.	true	1001.15	1009.9	18
8300_275128_000060_000006	The thoughts from which she recoiled forced their way back into her mind; the narrative of the nursemaid's discovery became a burden on her memory once more.	The thoughts from which she recoiled forced their way back into her mind; the narrative of the nursemaid's discovery became a burden on her memory once more.	true	1010.57	1021.81	21.595264
8300_275128_000060_000007	She considered the circumstances.	She considered the circumstances.	true	1022.48	1024.9	16.155197
8300_275128_000060_000008	In spite of herself, she considered the circumstances again.	In spite of herself, she considered the circumstances again.	true	1025.15	1029.19	18
8300_275128_000060_000009	Her husband and Sydney Westerfield together in the shrubbery--and Sydney crying.	Her husband and Sydney Westerfield together in the shrubbery-and Sydney crying.	true	1029.56	1035.97	19.397984
8300_275128_000060_000010	Had Mrs. Presty's abominable suspicion of them reached their ears?	Had mrs Presty's abominable suspicion of them reached their ears?	true	1036.4	1041.56	15
8300_275128_000060_000011	or?--No! that second possibility might be estimated at its right value by any other woman; not by Herbert Linley's wife.	or?--No! that second possibility might be estimated at its right value by any other woman; not by Herbert Linley's wife.	true	1041.56	1052.65	18.917114
8300_275128_000061_000000	She snatched up the newspaper, and fixed her eyes on it in the hope of fixing her mind on it next.	She snatched up the newspaper, and fixed her eyes on it in the hope of fixing her mind on it next.	true	1053.56	1060.27	17
8300_275128_000061_000001	Obstinately, desperately, she read without knowing what she was reading.	Obstinately, desperately, she read without knowing what she was reading.	true	1060.64	1065.91	16
8300_275128_000061_000002	The lines of print were beginning to mingle and grow dim, when she was startled by the sudden opening of the door.	The lines of print were beginning to mingle and grow dim, when she was startled by the sudden opening of the door.	true	1066.4	1074.13	17
8300_275128_000061_000003	She looked round.	She looked round.	true	1074.53	1076.02	23.538893
8300_275128_000062_000000	Her husband entered the room.	Her husband entered the room.	false	1076.12	1080.99	21.47916
8300_275128_000063_000000	Chapter XIV.	Chapter fourteen.	false	1080.99	1081.65	21
8300_275128_000063_000001	Kitty Feels the Heartache.	Kitty Feels the Heartache.	false	1081.65	1082.22	22
8300_275128_000064_000000	Linley advanced a few steps--and stopped.	Linley advanced a few steps-and stopped.	false	1082.22	1083.21	23.236052
8300_275128_000065_000000	His wife, hurrying eagerly to meet him, checked herself.	His wife, hurrying eagerly to meet him, checked herself.	false	1083.21	1084.5	11
8300_275128_000065_000001	It might have been distrust, or it might have been unreasoning fear--she hesitated on the point of approaching him.	It might have been distrust, or it might have been unreasoning fear-she hesitated on the point of approaching him.	false	1084.5	1087.35	20.236109
8300_275128_000066_000000	"I have something to say, Catherine, which I'm afraid will distress you."	"I have something to say, Catherine, which I'm afraid will distress you."	false	1087.35	1089.03	17
