2060_147963_000004_000000	"All but the crazy boy," Jake put in.	"All but the crazy boy," Jake put in.
2060_147963_000017_000000	"You not mind my poor mamenka, Mrs. Burden.	"You not mind my poor mamenka, mrs Burden.
2060_147963_000019_000001	This is no place to keep vegetables.	This is no place to keep vegetables.
2060_147963_000020_000000	"We get from Mr. Bushy, at the post-office,--what he throw out.	"We get from mr Bushy, at the post office,--what he throw out.
2060_147963_000020_000001	We got no potatoes, Mrs. Burden," Tony admitted mournfully.	We got no potatoes, mrs Burden," Tony admitted mournfully.
2060_147963_000021_000003	He was clean and neat as usual, with his green neckcloth and his coral pin.	He was clean and neat as usual, with his green neckcloth and his coral pin.
2060_147963_000021_000005	When I got up on one of the stools and peered into it, I saw some quilts and a pile of straw. The old man held the lantern.	When I got up on one of the stools and peered into it, I saw some quilts and a pile of straw. The old man held the lantern.
2060_147963_000021_000006	"Yulka," he said in a low, despairing voice, "Yulka; my Antonia!"	"Yulka," he said in a low, despairing voice, "Yulka; my Antonia!"
2060_147963_000022_000000	Grandmother drew back.	Grandmother drew back.
2060_147963_000022_000001	"You mean they sleep in there,--your girls?" He bowed his head.	"You mean they sleep in there,--your girls?" He bowed his head.
2060_147963_000023_000000	Tony slipped under his arm.	Tony slipped under his arm.
2060_147963_000024_000000	Grandmother sighed.	Grandmother sighed.
2060_147963_000024_000003	You'll have a better house after while, Antonia, and then you'll forget these hard times."	You'll have a better house after while, Antonia, and then you'll forget these hard times."
2060_147963_000025_000002	He left Bohemia with more than a thousand dollars in savings, after their passage money was paid.	He left Bohemia with more than a thousand dollars in savings, after their passage money was paid.
2060_147963_000025_000003	He had in some way lost on exchange in New York, and the railway fare to Nebraska was more than they had expected.	He had in some way lost on exchange in New York, and the railway fare to Nebraska was more than they had expected.
2060_147963_000027_000001	Marek slid cautiously toward us and began to exhibit his webbed fingers.	Marek slid cautiously toward us and began to exhibit his webbed fingers.
2060_147963_000027_000002	I knew he wanted to make his queer noises for me--to bark like a dog or whinny like a horse,--but he did not dare in the presence of his elders.	I knew he wanted to make his queer noises for me-to bark like a dog or whinny like a horse,--but he did not dare in the presence of his elders.
2060_147963_000027_000003	Marek was always trying to be agreeable, poor fellow, as if he had it on his mind that he must make up for his deficiencies.	Marek was always trying to be agreeable, poor fellow, as if he had it on his mind that he must make up for his deficiencies.
2060_147963_000028_000001	The woman had a quick ear, and caught up phrases whenever she heard English spoken.	The woman had a quick ear, and caught up phrases whenever she heard English spoken.
2060_147963_000028_000002	As we rose to go, she opened her wooden chest and brought out a bag made of bed-ticking, about as long as a flour sack and half as wide, stuffed full of something.	As we rose to go, she opened her wooden chest and brought out a bag made of bed ticking, about as long as a flour sack and half as wide, stuffed full of something.
2060_147963_000028_000003	At sight of it, the crazy boy began to smack his lips.	At sight of it, the crazy boy began to smack his lips.
2060_147963_000028_000004	When Mrs. Shimerda opened the bag and stirred the contents with her hand, it gave out a salty, earthy smell, very pungent, even among the other odors of that cave.	When mrs Shimerda opened the bag and stirred the contents with her hand, it gave out a salty, earthy smell, very pungent, even among the other odors of that cave.
2060_147963_000028_000005	She measured a teacup full, tied it up in a bit of sacking, and presented it ceremoniously to grandmother.	She measured a teacup full, tied it up in a bit of sacking, and presented it ceremoniously to grandmother.
2060_147963_000029_000000	"For cook," she announced.	"For cook," she announced.
2060_147963_000029_000003	All things for eat better in my country."	All things for eat better in my country."
2060_147963_000030_000001	"I can't say but I prefer our bread to yours, myself."	"I can't say but I prefer our bread to yours, myself."
2060_147963_000032_000000	Antonia undertook to explain.	Antonia undertook to explain.
2060_147963_000032_000001	"This very good, Mrs. Burden,"--she clasped her hands as if she could not express how good,--"it make very much when you cook, like what my mama say.	"This very good, mrs Burden,"--she clasped her hands as if she could not express how good,--"it make very much when you cook, like what my mama say.
2060_147963_000032_000002	Cook with rabbit, cook with chicken, in the gravy,--oh, so good!"	Cook with rabbit, cook with chicken, in the gravy,--oh, so good!"
2060_147963_000034_000001	They're wanting in everything, and most of all in horse-sense.	They're wanting in everything, and most of all in horse sense.
2060_147963_000035_000000	"He's a worker, all right, mam, and he's got some ketch-on about him; but he's a mean one.	"He's a worker, all right, mam, and he's got some ketch on about him; but he's a mean one.
2060_147963_000036_000001	It was full of little brown chips that looked like the shavings of some root.	It was full of little brown chips that looked like the shavings of some root.
