5400_34478_000000_000000	"I don't know the riddle," answered Levin wearily.	"I don't know the riddle," answered Levin wearily.	false	8.49	27.33	25.00924
5400_34478_000009_000000	"What! do you mean to say it's not of importance?" said Sergey Ivanovitch, stung to the quick too at his brother's considering anything of no importance that interested him, and still more at his obviously paying little attention to what he was saying.	"What! do you mean to say it's not of importance?" said Sergey Ivanovitch, stung to the quick too at his brother's considering anything of no importance that interested him, and still more at his obviously paying little attention to what he was saying.	false	121.67	134.62	23.727018
5400_34478_000010_000000	"I don't think it important; it does not take hold of me, I can't help it," answered Levin, making out that what he saw was the bailiff, and that the bailiff seemed to be letting the peasants go off the ploughed land.	"I don't think it important; it does not take hold of me, I can't help it," answered Levin, making out that what he saw was the bailiff, and that the bailiff seemed to be letting the peasants go off the ploughed land.	true	135.29	146.05	27.781685
5400_34478_000010_000001	They were turning the plough over.	They were turning the plough over.	true	146.42	148.03	26.721928
5400_34478_000010_000002	"Can they have finished ploughing?" he wondered.	"Can they have finished ploughing?" he wondered.	true	148.1	150.19	22.647398
5400_34478_000011_000000	"Come, really though," said the elder brother, with a frown on his handsome, clever face, "there's a limit to everything.	"Come, really though," said the elder brother, with a frown on his handsome, clever face, "there's a limit to everything.	true	150.53	156.67	22.150955
5400_34478_000011_000001	It's very well to be original and genuine, and to dislike everything conventional--I know all about that; but really, what you're saying either has no meaning, or it has a very wrong meaning.	It's very well to be original and genuine, and to dislike everything conventional-I know all about that; but really, what you're saying either has no meaning, or it has a very wrong meaning.	true	157.1	167.23	17.886715
5400_34478_000011_000002	How can you think it a matter of no importance whether the peasant, whom you love as you assert..."	How can you think it a matter of no importance whether the peasant, whom you love as you assert..."	true	167.84	173.41	25.568357
5400_34478_000012_000000	"I never did assert it," thought Konstantin Levin.	"I never did assert it," thought Konstantin Levin.	true	173.6	176.38	26.115011
5400_34478_000013_000000	"... dies without help?	"... dies without help?	true	176.72	178.125	29.565668
5400_34478_000013_000001	The ignorant peasant-women starve the children, and the people stagnate in darkness, and are helpless in the hands of every village clerk, while you have at your disposal a means of helping them, and don't help them because to your mind it's of no importance."	The ignorant peasant women starve the children, and the people stagnate in darkness, and are helpless in the hands of every village clerk, while you have at your disposal a means of helping them, and don't help them because to your mind it's of no importance."	true	178.125	191.5	23.750656
5400_34478_000014_000000	And Sergey Ivanovitch put before him the alternative: either you are so undeveloped that you can't see all that you can do, or you won't sacrifice your ease, your vanity, or whatever it is, to do it.	And Sergey Ivanovitch put before him the alternative: either you are so undeveloped that you can't see all that you can do, or you won't sacrifice your ease, your vanity, or whatever it is, to do it.	true	192.02	203.38	22.679161
5400_34478_000015_000000	Konstantin Levin felt that there was no course open to him but to submit, or to confess to a lack of zeal for the public good.	Konstantin Levin felt that there was no course open to him but to submit, or to confess to a lack of zeal for the public good.	true	204.05	211.45	27.90207
5400_34478_000015_000001	And this mortified him and hurt his feelings.	And this mortified him and hurt his feelings.	true	211.55	213.82	23.627737
5400_34478_000016_000000	"It's both," he said resolutely: "I don't see that it was possible..."	"It's both," he said resolutely: "I don't see that it was possible..."	true	214.04	217.665	29.821377
5400_34478_000017_000000	"What! was it impossible, if the money were properly laid out, to provide medical aid?"	"What! was it impossible, if the money were properly laid out, to provide medical aid?"	true	217.665	222.4	29.687027
5400_34478_000018_000000	"Impossible, as it seems to me....	"Impossible, as it seems to me....	true	222.86	224.655	25
5400_34478_000018_000001	For the three thousand square miles of our district, what with our thaws, and the storms, and the work in the fields, I don't see how it is possible to provide medical aid all over.	For the three thousand square miles of our district, what with our thaws, and the storms, and the work in the fields, I don't see how it is possible to provide medical aid all over.	true	224.655	233.59	23.676298
5400_34478_000018_000002	And besides, I don't believe in medicine."	And besides, I don't believe in medicine."	true	233.72	236.11	20.264174
5400_34478_000019_000000	"Oh, well, that's unfair ...	"Oh, well, that's unfair ...	true	236.75	239.23	30.977583
5400_34478_000019_000001	I can quote to you thousands of instances....	I can quote to you thousands of instances....	true	239.33	241.69	22.417269
5400_34478_000019_000002	But the schools, anyway."	But the schools, anyway."	true	241.97	243.34	26.257595
5400_34478_000020_000000	"Why have schools?"	"Why have schools?"	true	243.65	244.96	24.14393
5400_34478_000021_000000	"What do you mean?	"What do you mean?	true	245.27	246.255	20.060404
5400_34478_000021_000001	Can there be two opinions of the advantage of education?	Can there be two opinions of the advantage of education?	false	246.255	249.07	24
5400_34478_000021_000002	If it's a good thing for you, it's a good thing for everyone."	If it's a good thing for you, it's a good thing for everyone."	true	249.26	252.61	32.998764
5400_34478_000022_000000	Konstantin Levin felt himself morally pinned against a wall, and so he got hot, and unconsciously blurted out the chief cause of his indifference to public business.	Konstantin Levin felt himself morally pinned against a wall, and so he got hot, and unconsciously blurted out the chief cause of his indifference to public business.	true	253.22	263.01	23.559788
5400_34478_000023_000000	"Perhaps it may all be very good; but why should I worry myself about establishing dispensaries which I shall never make use of, and schools to which I shall never send my children, to which even the peasants don't want to send their children, and to which I've no very firm faith that they ought to send them?" said he.	"Perhaps it may all be very good; but why should I worry myself about establishing dispensaries which I shall never make use of, and schools to which I shall never send my children, to which even the peasants don't want to send their children, and to which I've no very firm faith that they ought to send them?" said he.	false	263.01	279.55	23.212105
5400_34478_000024_000000	Sergey Ivanovitch was for a minute surprised at this unexpected view of the subject; but he promptly made a new plan of attack.	Sergey Ivanovitch was for a minute surprised at this unexpected view of the subject; but he promptly made a new plan of attack.	false	279.95	286.78	24.506063
5400_34478_000024_000001	He was silent for a little, drew out a hook, threw it in again, and turned to his brother smiling.	He was silent for a little, drew out a hook, threw it in again, and turned to his brother smiling.	true	286.79	292.66	22.860931
5400_34478_000025_000000	"Come, now....	"Come, now....	true	292.97	293.73	20.679739
5400_34478_000025_000001	In the first place, the dispensary is needed.	In the first place, the dispensary is needed.	false	293.73	296.655	27.38032
5400_34478_000025_000002	We ourselves sent for the district doctor for Agafea Mihalovna."	We ourselves sent for the district doctor for Agafea Mihalovna."	false	296.655	300.9	25.974066
5400_34478_000026_000000	"Oh, well, but I fancy her wrist will never be straight again."	"Oh, well, but I fancy her wrist will never be straight again."	true	300.9	303.76	22.719883
5400_34478_000027_000000	"That remains to be proved....	"That remains to be proved....	true	303.95	305.65	22.153353
5400_34478_000027_000001	Next, the peasant who can read and write is as a workman of more use and value to you."	Next, the peasant who can read and write is as a workman of more use and value to you."	false	305.81	309.87	23.20964
5400_34478_000028_000000	"No, you can ask anyone you like," Konstantin Levin answered with decision, "the man that can read and write is much inferior as a workman.	"No, you can ask anyone you like," Konstantin Levin answered with decision, "the man that can read and write is much inferior as a workman.	false	309.87	317.74	22.72615
5400_34478_000028_000001	And mending the highroads is an impossibility; and as soon as they put up bridges they're stolen."	And mending the highroads is an impossibility; and as soon as they put up bridges they're stolen."	true	317.93	322.78	23.512756
5400_34478_000029_000000	"Still, that's not the point," said Sergey Ivanovitch, frowning.	"Still, that's not the point," said Sergey Ivanovitch, frowning.	true	323.54	326.32	24.222994
5400_34478_000029_000001	He disliked contradiction, and still more, arguments that were continually skipping from one thing to another, introducing new and disconnected points, so that there was no knowing to which to reply.	He disliked contradiction, and still more, arguments that were continually skipping from one thing to another, introducing new and disconnected points, so that there was no knowing to which to reply.	false	326.48	336.19	24.15549
5400_34478_000029_000002	"Do you admit that education is a benefit for the people?"	"Do you admit that education is a benefit for the people?"	true	336.71	339.4	25.983412
5400_34478_000030_000000	"Yes, I admit it," said Levin without thinking, and he was conscious immediately that he had said what he did not think.	"Yes, I admit it," said Levin without thinking, and he was conscious immediately that he had said what he did not think.	true	339.86	346.51	24.928093
5400_34478_000030_000001	He felt that if he admitted that, it would be proved that he had been talking meaningless rubbish.	He felt that if he admitted that, it would be proved that he had been talking meaningless rubbish.	true	346.67	351.67	24.961132
5400_34478_000030_000002	How it would be proved he could not tell, but he knew that this would inevitably be logically proved to him, and he awaited the proofs.	How it would be proved he could not tell, but he knew that this would inevitably be logically proved to him, and he awaited the proofs.	true	352.13	359.56	24.605978
5400_34478_000031_000000	The argument turned out to be far simpler than he had expected.	The argument turned out to be far simpler than he had expected.	true	360.53	363.58	24.707981
5400_34478_000032_000000	"If you admit that it is a benefit," said Sergey Ivanovitch, "then, as an honest man, you cannot help caring about it and sympathizing with the movement, and so wishing to work for it."	"If you admit that it is a benefit," said Sergey Ivanovitch, "then, as an honest man, you cannot help caring about it and sympathizing with the movement, and so wishing to work for it."	true	363.83	372.94	24.729223
5400_34478_000033_000000	"But I still do not admit this movement to be just," said Konstantin Levin, reddening a little.	"But I still do not admit this movement to be just," said Konstantin Levin, reddening a little.	true	373.1	377.77	23.13825
5400_34478_000034_000000	"What!	"What!	true	378.08	378.66	41.196262
5400_34478_000034_000001	But you said just now..."	But you said just now..."	true	378.66	380.11	20.292776
5400_34478_000035_000000	"That's to say, I don't admit it's being either good or possible."	"That's to say, I don't admit it's being either good or possible."	true	380.39	384.79	27.64018
5400_34478_000036_000000	"That you can't tell without making the trial."	"That you can't tell without making the trial."	true	385.31	387.55	23.152294
5400_34478_000037_000000	"Well, supposing that's so," said Levin, though he did not suppose so at all, "supposing that is so, still I don't see, all the same, what I'm to worry myself about it for."	"Well, supposing that's so," said Levin, though he did not suppose so at all, "supposing that is so, still I don't see, all the same, what I'm to worry myself about it for."	false	388.1	398.08	26.344482
5400_34478_000038_000000	"How so?"	"How so?"	true	398.3	399.28	29.987505
5400_34478_000039_000000	"No; since we are talking, explain it to me from the philosophical point of view," said Levin.	"No; since we are talking, explain it to me from the philosophical point of view," said Levin.	false	399.74	404.5	25
5400_34478_000040_000000	"I can't see where philosophy comes in," said Sergey Ivanovitch, in a tone, Levin fancied, as though he did not admit his brother's right to talk about philosophy.	"I can't see where philosophy comes in," said Sergey Ivanovitch, in a tone, Levin fancied, as though he did not admit his brother's right to talk about philosophy.	true	405.29	413.5	23.494421
5400_34478_000040_000001	And that irritated Levin.	And that irritated Levin.	true	413.57	415	24
5400_34478_000041_000000	"I'll tell you, then," he said with heat, "I imagine the mainspring of all our actions is, after all, self-interest.	"I'll tell you, then," he said with heat, "I imagine the mainspring of all our actions is, after all, self interest.	true	415.31	421.87	20.973644
5400_34478_000041_000001	Now in the local institutions I, as a nobleman, see nothing that could conduce to my prosperity, and the roads are not better and could not be better; my horses carry me well enough over bad ones.	Now in the local institutions I, as a nobleman, see nothing that could conduce to my prosperity, and the roads are not better and could not be better; my horses carry me well enough over bad ones.	false	422.12	433.36	26.509422
5400_34478_000041_000002	Doctors and dispensaries are no use to me.	Doctors and dispensaries are no use to me.	true	433.73	436.09	24.070774
5400_34478_000041_000003	An arbitrator of disputes is no use to me.	An arbitrator of disputes is no use to me.	true	436.31	438.73	27.516424
5400_34478_000041_000004	I never appeal to him, and never shall appeal to him.	I never appeal to him, and never shall appeal to him.	true	438.95	441.94	24.694105
5400_34478_000041_000005	The schools are no good to me, but positively harmful, as I told you.	The schools are no good to me, but positively harmful, as I told you.	true	442.34	446.26	25.808786
5400_34478_000041_000006	For me the district institutions simply mean the liability to pay fourpence halfpenny for every three acres, to drive into the town, sleep with bugs, and listen to all sorts of idiocy and loathsomeness, and self-interest offers me no inducement."	For me the district institutions simply mean the liability to pay fourpence halfpenny for every three acres, to drive into the town, sleep with bugs, and listen to all sorts of idiocy and loathsomeness, and self interest offers me no inducement."	true	446.63	460.99	23.673576
5400_34478_000042_000000	"Excuse me," Sergey Ivanovitch interposed with a smile, "self-interest did not induce us to work for the emancipation of the serfs, but we did work for it."	"Excuse me," Sergey Ivanovitch interposed with a smile, "self interest did not induce us to work for the emancipation of the serfs, but we did work for it."	true	461.69	470.95	22.035599
5400_34478_000043_000000	"No!" Konstantin Levin broke in with still greater heat; "the emancipation of the serfs was a different matter.	"No!" Konstantin Levin broke in with still greater heat; "the emancipation of the serfs was a different matter.	true	471.11	477.1	25.91572
5400_34478_000043_000001	There self-interest did come in.	There self interest did come in.	true	477.38	479.32	23.013426
5400_34478_000043_000002	One longed to throw off that yoke that crushed us, all decent people among us.	One longed to throw off that yoke that crushed us, all decent people among us.	true	480.71	484.51	23.702763
5400_34478_000043_000003	But to be a town councilor and discuss how many dustmen are needed, and how chimneys shall be constructed in the town in which I don't live--to serve on a jury and try a peasant who's stolen a flitch of bacon, and listen for six hours at a stretch to all sorts of jabber from the counsel for the defense and the prosecution, and the president cross-examining my old half-witted Alioshka, 'Do you admit, prisoner in the dock, the fact of the removal of the bacon?' 'Eh?'"	But to be a town councilor and discuss how many dustmen are needed, and how chimneys shall be constructed in the town in which I don't live-to serve on a jury and try a peasant who's stolen a flitch of bacon, and listen for six hours at a stretch to all sorts of jabber from the counsel for the defense and the prosecution, and the president cross examining my old half witted Alioshka, 'Do you admit, prisoner in the dock, the fact of the removal of the bacon?' 'Eh?'"	false	484.85	509.56	24.737202
5400_34478_000044_000000	Konstantin Levin had warmed to his subject, and began mimicking the president and the half-witted Alioshka: it seemed to him that it was all to the point.	Konstantin Levin had warmed to his subject, and began mimicking the president and the half witted Alioshka: it seemed to him that it was all to the point.	true	510.23	517.9	23.336336
5400_34478_000045_000000	But Sergey Ivanovitch shrugged his shoulders.	But Sergey Ivanovitch shrugged his shoulders.	true	518.54	520.62	21.616241
5400_34478_000046_000000	"Well, what do you mean to say, then?"	"Well, what do you mean to say, then?"	false	520.62	522.55	22.392113
5400_34478_000047_000000	"I simply mean to say that those rights that touch me ... my interest, I shall always defend to the best of my ability; that when they made raids on us students, and the police read our letters, I was ready to defend those rights to the utmost, to defend my rights to education and freedom.	"I simply mean to say that those rights that touch me ... my interest, I shall always defend to the best of my ability; that when they made raids on us students, and the police read our letters, I was ready to defend those rights to the utmost, to defend my rights to education and freedom.	false	523.13	538.09	22.696856
5400_34478_000047_000001	I can understand compulsory military service, which affects my children, my brothers, and myself, I am ready to deliberate on what concerns me; but deliberating on how to spend forty thousand roubles of district council money, or judging the half-witted Alioshka--I don't understand, and I can't do it."	I can understand compulsory military service, which affects my children, my brothers, and myself, I am ready to deliberate on what concerns me; but deliberating on how to spend forty thousand roubles of district council money, or judging the half witted Alioshka-I don't understand, and I can't do it."	false	538.49	556.63	22.952862
5400_34478_000048_000000	Konstantin Levin spoke as though the floodgates of his speech had burst open.	Konstantin Levin spoke as though the floodgates of his speech had burst open.	true	557.63	561.43	30.779293
5400_34478_000048_000001	Sergey Ivanovitch smiled.	Sergey Ivanovitch smiled.	true	561.68	563.43	33.36021
5400_34478_000049_000000	"But tomorrow it'll be your turn to be tried; would it have suited your tastes better to be tried in the old criminal tribunal?"	"But tomorrow it'll be your turn to be tried; would it have suited your tastes better to be tried in the old criminal tribunal?"	false	563.43	569.89	23.069395
5400_34478_000050_000000	"I'm not going to be tried.	"I'm not going to be tried.	true	570.29	571.815	24.405115
5400_34478_000050_000001	I shan't murder anybody, and I've no need of it.	I shan't murder anybody, and I've no need of it.	true	571.815	574.72	19.20728
5400_34478_000050_000002	Well, I tell you what," he went on, flying off again to a subject quite beside the point, "our district self-government and all the rest of it--it's just like the birch branches we stick in the ground on Trinity Day, for instance, to look like a copse which has grown up of itself in Europe, and I can't gush over these birch branches and believe in them."	Well, I tell you what," he went on, flying off again to a subject quite beside the point, "our district self government and all the rest of it-it's just like the birch branches we stick in the ground on Trinity Day, for instance, to look like a copse which has grown up of itself in Europe, and I can't gush over these birch branches and believe in them."	false	575.48	594.07	25.288847
5400_34478_000051_000000	Sergey Ivanovitch merely shrugged his shoulders, as though to express his wonder how the birch branches had come into their argument at that point, though he did really understand at once what his brother meant.	Sergey Ivanovitch merely shrugged his shoulders, as though to express his wonder how the birch branches had come into their argument at that point, though he did really understand at once what his brother meant.	false	594.38	604.89	22.592894
5400_34478_000052_000000	"Excuse me, but you know one really can't argue in that way," he observed.	"Excuse me, but you know one really can't argue in that way," he observed.	true	604.89	609.31	24.201757
5400_34478_000053_000000	But Konstantin Levin wanted to justify himself for the failing, of which he was conscious, of lack of zeal for the public welfare, and he went on.	But Konstantin Levin wanted to justify himself for the failing, of which he was conscious, of lack of zeal for the public welfare, and he went on.	true	609.47	617.41	24.737598
5400_34478_000054_000000	"I imagine," he said, "that no sort of activity is likely to be lasting if it is not founded on self-interest, that's a universal principle, a philosophical principle," he said, repeating the word "philosophical" with determination, as though wishing to show that he had as much right as any one else to talk of philosophy.	"I imagine," he said, "that no sort of activity is likely to be lasting if it is not founded on self interest, that's a universal principle, a philosophical principle," he said, repeating the word "philosophical" with determination, as though wishing to show that he had as much right as any one else to talk of philosophy.	false	617.93	635.53	22.336626
5400_34478_000055_000000	Sergey Ivanovitch smiled.	Sergey Ivanovitch smiled.	true	635.69	637.74	20.32955
5400_34478_000055_000001	"He too has a philosophy of his own at the service of his natural tendencies," he thought.	"He too has a philosophy of his own at the service of his natural tendencies," he thought.	true	637.74	641.95	25.902449
5400_34478_000056_000000	"Come, you'd better let philosophy alone," he said.	"Come, you'd better let philosophy alone," he said.	true	642.2	645.22	24.038715
5400_34478_000056_000001	"The chief problem of the philosophy of all ages consists just in finding the indispensable connection which exists between individual and social interests.	"The chief problem of the philosophy of all ages consists just in finding the indispensable connection which exists between individual and social interests.	true	645.41	655.06	22.820255
5400_34478_000056_000002	But that's not to the point; what is to the point is a correction I must make in your comparison.	But that's not to the point; what is to the point is a correction I must make in your comparison.	false	655.19	659.71	24.781818
5400_34478_000056_000003	The birches are not simply stuck in, but some are sown and some are planted, and one must deal carefully with them. It's only those peoples that have an intuitive sense of what's of importance and significance in their institutions, and know how to value them, that have a future before them--it's only those peoples that one can truly call historical."	The birches are not simply stuck in, but some are sown and some are planted, and one must deal carefully with them. It's only those peoples that have an intuitive sense of what's of importance and significance in their institutions, and know how to value them, that have a future before them-it's only those peoples that one can truly call historical."	true	660.02	680.98	22.971146
5400_34478_000057_000000	And Sergey Ivanovitch carried the subject into the regions of philosophical history where Konstantin Levin could not follow him, and showed him all the incorrectness of his view.	And Sergey Ivanovitch carried the subject into the regions of philosophical history where Konstantin Levin could not follow him, and showed him all the incorrectness of his view.	false	681.53	690.67	23.101997
5400_34478_000058_000000	"As for your dislike of it, excuse my saying so, that's simply our Russian sloth and old serf-owner's ways, and I'm convinced that in you it's a temporary error and will pass."	"As for your dislike of it, excuse my saying so, that's simply our Russian sloth and old serf owner's ways, and I'm convinced that in you it's a temporary error and will pass."	true	691.58	701.5	24.156424
5400_34478_000059_000000	Konstantin was silent.	Konstantin was silent.	true	701.87	703.66	21.236235
5400_34478_000059_000001	He felt himself vanquished on all sides, but he felt at the same time that what he wanted to say was unintelligible to his brother.	He felt himself vanquished on all sides, but he felt at the same time that what he wanted to say was unintelligible to his brother.	true	703.85	711.4	24.800104
5400_34478_000059_000002	Only he could not make up his mind whether it was unintelligible because he was not capable of expressing his meaning clearly, or because his brother would not or could not understand him. But he did not pursue the speculation, and without replying, he fell to musing on a quite different and personal matter.	Only he could not make up his mind whether it was unintelligible because he was not capable of expressing his meaning clearly, or because his brother would not or could not understand him. But he did not pursue the speculation, and without replying, he fell to musing on a quite different and personal matter.	false	711.65	729.55	23.487911
5400_34478_000060_000000	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	true	730.07	735.63	27.868635
5400_34478_000061_000000	Chapter 4	Chapter four	false	735.63	735.63	
5400_34478_000062_000000	The personal matter that absorbed Levin during his conversation with his brother was this.	The personal matter that absorbed Levin during his conversation with his brother was this.	false	735.63	735.66	-20
5400_34478_000062_000001	Once in a previous year he had gone to look at the mowing, and being made very angry by the bailiff he had recourse to his favorite means for regaining his temper,--he took a scythe from a peasant and began mowing.	Once in a previous year he had gone to look at the mowing, and being made very angry by the bailiff he had recourse to his favorite means for regaining his temper,--he took a scythe from a peasant and began mowing.	false	735.66	741.48	22.204458
