176_123269_000000_000000	CHAPTER XVI.	CHAPTER sixteen.
176_123269_000037_000002	If the sun was clouded for six days we must postpone our visit till next year.	If the sun was clouded for six days we must postpone our visit till next year.
176_123269_000038_000000	My limited powers of description would fail, were I to attempt a picture of the Professor's angry impatience.	My limited powers of description would fail, were I to attempt a picture of the Professor's angry impatience.
176_123269_000038_000001	The day wore on, and no shadow came to lay itself along the bottom of the crater.	The day wore on, and no shadow came to lay itself along the bottom of the crater.
176_123269_000038_000002	Hans did not move from the spot he had selected; yet he must be asking himself what were we waiting for, if he asked himself anything at all.	Hans did not move from the spot he had selected; yet he must be asking himself what were we waiting for, if he asked himself anything at all.
176_123269_000038_000003	My uncle spoke not a word to me.	My uncle spoke not a word to me.
176_123269_000038_000004	His gaze, ever directed upwards, was lost in the grey and misty space beyond.	His gaze, ever directed upwards, was lost in the grey and misty space beyond.
176_123269_000039_000000	On the 26th nothing yet.	On the twenty sixth nothing yet.
176_123269_000039_000002	Hans built a hut of pieces of lava.	Hans built a hut of pieces of lava.
176_123269_000040_000001	It was enough to irritate a meeker man than he; for it was foundering almost within the port.	It was enough to irritate a meeker man than he; for it was foundering almost within the port.
176_123269_000041_000000	But Heaven never sends unmixed grief, and for Professor Liedenbrock there was a satisfaction in store proportioned to his desperate anxieties.	But Heaven never sends unmixed grief, and for Professor Liedenbrock there was a satisfaction in store proportioned to his desperate anxieties.
176_123269_000043_000000	My uncle turned too, and followed it.	My uncle turned too, and followed it.
176_123269_000044_000000	At noon, being at its least extent, it came and softly fell upon the edge of the middle chimney.	At noon, being at its least extent, it came and softly fell upon the edge of the middle chimney.
176_123269_000047_000000	I looked at Hans, to hear what he would say.	I looked at Hans, to hear what he would say.
