2562_133442_000000_000000	'I had at that time very vague ideas as to the course I should pursue.	'I had at that time very vague ideas as to the course I should pursue.	false	0	6.78	13.60416
2562_133442_000002_000002	It lay very high upon a turfy down, and looking north-eastward before I entered it, I was surprised to see a large estuary, or even creek, where I judged Wandsworth and Battersea must once have been.	It lay very high upon a turfy down, and looking north eastward before I entered it, I was surprised to see a large estuary, or even creek, where I judged Wandsworth and Battersea must once have been.	true	49.79	61.96	22.276558
2562_133442_000002_000003	I thought then--though I never followed up the thought--of what might have happened, or might be happening, to the living things in the sea.	I thought then-though I never followed up the thought-of what might have happened, or might be happening, to the living things in the sea.	false	62.54	71.68	20.51092
2562_133442_000003_000000	'The material of the Palace proved on examination to be indeed porcelain, and along the face of it I saw an inscription in some unknown character.	'The material of the Palace proved on examination to be indeed porcelain, and along the face of it I saw an inscription in some unknown character.	true	74.03	83.23	22.793016
2562_133442_000003_000001	I thought, rather foolishly, that Weena might help me to interpret this, but I only learned that the bare idea of writing had never entered her head.	I thought, rather foolishly, that Weena might help me to interpret this, but I only learned that the bare idea of writing had never entered her head.	true	84.14	93.94	22.515015
2562_133442_000003_000002	She always seemed to me, I fancy, more human than she was, perhaps because her affection was so human.	She always seemed to me, I fancy, more human than she was, perhaps because her affection was so human.	true	94.49	102.58	21.78959
2562_133442_000004_000000	'Within the big valves of the door--which were open and broken--we found, instead of the customary hall, a long gallery lit by many side windows.	'Within the big valves of the door-which were open and broken-we found, instead of the customary hall, a long gallery lit by many side windows.	true	104.66	115.03	21.60794
2562_133442_000004_000001	At the first glance I was reminded of a museum. The tiled floor was thick with dust, and a remarkable array of miscellaneous objects was shrouded in the same grey covering.	At the first glance I was reminded of a museum. The tiled floor was thick with dust, and a remarkable array of miscellaneous objects was shrouded in the same grey covering.	true	115.76	127.45	22.035793
2562_133442_000004_000002	Then I perceived, standing strange and gaunt in the centre of the hall, what was clearly the lower part of a huge skeleton.	Then I perceived, standing strange and gaunt in the centre of the hall, what was clearly the lower part of a huge skeleton.	false	128.66	136.45	22.258068
2562_133442_000004_000003	I recognized by the oblique feet that it was some extinct creature after the fashion of the Megatherium.	I recognized by the oblique feet that it was some extinct creature after the fashion of the Megatherium.	true	137.48	143.53	24.016973
2562_133442_000004_000004	The skull and the upper bones lay beside it in the thick dust, and in one place, where rain-water had dropped through a leak in the roof, the thing itself had been worn away.	The skull and the upper bones lay beside it in the thick dust, and in one place, where rain water had dropped through a leak in the roof, the thing itself had been worn away.	false	144.32	154.42	22.46625
2562_133442_000004_000005	Further in the gallery was the huge skeleton barrel of a Brontosaurus.	Further in the gallery was the huge skeleton barrel of a Brontosaurus.	true	155.42	160.6	20.662497
2562_133442_000004_000006	My museum hypothesis was confirmed.	My museum hypothesis was confirmed.	true	161.03	163.63	23.206745
2562_133442_000004_000007	Going towards the side I found what appeared to be sloping shelves, and clearing away the thick dust, I found the old familiar glass cases of our own time.	Going towards the side I found what appeared to be sloping shelves, and clearing away the thick dust, I found the old familiar glass cases of our own time.	true	164.36	174.82	23.974504
2562_133442_000004_000008	But they must have been air-tight to judge from the fair preservation of some of their contents.	But they must have been air tight to judge from the fair preservation of some of their contents.	true	175.58	180.67	23.819075
2562_133442_000005_000000	'Clearly we stood among the ruins of some latter-day South Kensington!	'Clearly we stood among the ruins of some latter day South Kensington!	true	182.42	186.52	20.763964
2562_133442_000005_000001	Here, apparently, was the Palaeontological Section, and a very splendid array of fossils it must have been, though the inevitable process of decay that had been staved off for a time, and had, through the extinction of bacteria and fungi, lost ninety-nine hundredths of its force, was nevertheless, with extreme sureness if with extreme slowness at work again upon all its treasures.	Here, apparently, was the Palaeontological Section, and a very splendid array of fossils it must have been, though the inevitable process of decay that had been staved off for a time, and had, through the extinction of bacteria and fungi, lost ninety nine hundredths of its force, was nevertheless, with extreme sureness if with extreme slowness at work again upon all its treasures.	false	187.67	212.71	22.236366
2562_133442_000005_000002	Here and there I found traces of the little people in the shape of rare fossils broken to pieces or threaded in strings upon reeds.	Here and there I found traces of the little people in the shape of rare fossils broken to pieces or threaded in strings upon reeds.	false	213.65	222.73	21.77437
2562_133442_000005_000003	And the cases had in some instances been bodily removed--by the Morlocks as I judged.	And the cases had in some instances been bodily removed-by the Morlocks as I judged.	true	223.55	229.54	21.553293
2562_133442_000005_000004	The place was very silent.	The place was very silent.	true	230.27	232.03	22.39752
2562_133442_000005_000005	The thick dust deadened our footsteps.	The thick dust deadened our footsteps.	true	232.49	234.91	21.737295
2562_133442_000005_000006	Weena, who had been rolling a sea urchin down the sloping glass of a case, presently came, as I stared about me, and very quietly took my hand and stood beside me.	Weena, who had been rolling a sea urchin down the sloping glass of a case, presently came, as I stared about me, and very quietly took my hand and stood beside me.	true	235.82	246.07	22.20723
2562_133442_000006_000000	'And at first I was so much surprised by this ancient monument of an intellectual age, that I gave no thought to the possibilities it presented.	'And at first I was so much surprised by this ancient monument of an intellectual age, that I gave no thought to the possibilities it presented.	true	247.55	255.55	21.200193
2562_133442_000006_000001	Even my preoccupation about the Time Machine receded a little from my mind.	Even my preoccupation about the Time Machine receded a little from my mind.	true	255.98	260.56	23.527504
2562_133442_000007_000000	'To judge from the size of the place, this Palace of Green Porcelain had a great deal more in it than a Gallery of Palaeontology; possibly historical galleries; it might be, even a library!	'To judge from the size of the place, this Palace of Green Porcelain had a great deal more in it than a Gallery of Palaeontology; possibly historical galleries; it might be, even a library!	true	262.25	274.51	21.899652
2562_133442_000007_000001	To me, at least in my present circumstances, these would be vastly more interesting than this spectacle of oldtime geology in decay. Exploring, I found another short gallery running transversely to the first.	To me, at least in my present circumstances, these would be vastly more interesting than this spectacle of oldtime geology in decay. Exploring, I found another short gallery running transversely to the first.	true	276.02	290.62	20.965603
2562_133442_000007_000002	This appeared to be devoted to minerals, and the sight of a block of sulphur set my mind running on gunpowder.	This appeared to be devoted to minerals, and the sight of a block of sulphur set my mind running on gunpowder.	true	291.23	297.88	22.453264
2562_133442_000007_000003	But I could find no saltpeter; indeed, no nitrates of any kind.	But I could find no saltpeter; indeed, no nitrates of any kind.	true	298.64	303.16	22.289797
2562_133442_000007_000004	Doubtless they had deliquesced ages ago.	Doubtless they had deliquesced ages ago.	true	303.92	307.03	22.476748
2562_133442_000007_000005	Yet the sulphur hung in my mind, and set up a train of thinking.	Yet the sulphur hung in my mind, and set up a train of thinking.	true	307.55	311.41	24.073444
2562_133442_000007_000006	As for the rest of the contents of that gallery, though on the whole they were the best preserved of all I saw, I had little interest.	As for the rest of the contents of that gallery, though on the whole they were the best preserved of all I saw, I had little interest.	true	312.05	320.38	20.228468
2562_133442_000007_000007	I am no specialist in mineralogy, and I went on down a very ruinous aisle running parallel to the first hall I had entered.	I am no specialist in mineralogy, and I went on down a very ruinous aisle running parallel to the first hall I had entered.	true	320.93	328.24	21.155394
2562_133442_000007_000008	Apparently this section had been devoted to natural history, but everything had long since passed out of recognition.	Apparently this section had been devoted to natural history, but everything had long since passed out of recognition.	true	329.15	336.43	21.65823
2562_133442_000007_000009	A few shrivelled and blackened vestiges of what had once been stuffed animals, desiccated mummies in jars that had once held spirit, a brown dust of departed plants: that was all!	A few shrivelled and blackened vestiges of what had once been stuffed animals, desiccated mummies in jars that had once held spirit, a brown dust of departed plants: that was all!	false	337.22	349.51	20.166597
2562_133442_000007_000010	I was sorry for that, because I should have been glad to trace the patent readjustments by which the conquest of animated nature had been attained.	I was sorry for that, because I should have been glad to trace the patent readjustments by which the conquest of animated nature had been attained.	true	350.42	359.05	20.408787
2562_133442_000007_000011	Then we came to a gallery of simply colossal proportions, but singularly ill-lit, the floor of it running downward at a slight angle from the end at which I entered.	Then we came to a gallery of simply colossal proportions, but singularly ill lit, the floor of it running downward at a slight angle from the end at which I entered.	true	360.32	370.63	23.042467
2562_133442_000007_000012	At intervals white globes hung from the ceiling--many of them cracked and smashed--which suggested that originally the place had been artificially lit.	At intervals white globes hung from the ceiling-many of them cracked and smashed-which suggested that originally the place had been artificially lit.	true	371.66	380.95	22.346663
2562_133442_000007_000013	Here I was more in my element, for rising on either side of me were the huge bulks of big machines, all greatly corroded and many broken down, but some still fairly complete.	Here I was more in my element, for rising on either side of me were the huge bulks of big machines, all greatly corroded and many broken down, but some still fairly complete.	true	381.92	394.24	21.3666
2562_133442_000007_000014	You know I have a certain weakness for mechanism, and I was inclined to linger among these; the more so as for the most part they had the interest of puzzles, and I could make only the vaguest guesses at what they were for.	You know I have a certain weakness for mechanism, and I was inclined to linger among these; the more so as for the most part they had the interest of puzzles, and I could make only the vaguest guesses at what they were for.	true	395.18	409.15	21.832733
2562_133442_000007_000015	I fancied that if I could solve their puzzles I should find myself in possession of powers that might be of use against the Morlocks.	I fancied that if I could solve their puzzles I should find myself in possession of powers that might be of use against the Morlocks.	false	410.06	417.76	23.113956
2562_133442_000008_000000	'Suddenly Weena came very close to my side.	'Suddenly Weena came very close to my side.	true	419.15	421.84	24.927309
2562_133442_000008_000001	So suddenly that she startled me.	So suddenly that she startled me.	true	422.18	424.9	22.448645
2562_133442_000008_000002	Had it not been for her I do not think I should have noticed that the floor of the gallery sloped at all.	Had it not been for her I do not think I should have noticed that the floor of the gallery sloped at all.	true	425.15	430.45	21.355885
2562_133442_000008_000003	[Footnote: It may be, of course, that the floor did not slope, but that the museum was built into the side of a hill.--ED.] The end I had come in at was quite above ground, and was lit by rare slit-like windows.	[Footnote: It may be, of course, that the floor did not slope, but that the museum was built into the side of a hill.--ED.] The end I had come in at was quite above ground, and was lit by rare slit like windows.	false	431.3	445.9	20.824526
2562_133442_000008_000004	As you went down the length, the ground came up against these windows, until at last there was a pit like the "area" of a London house before each, and only a narrow line of daylight at the top.	As you went down the length, the ground came up against these windows, until at last there was a pit like the "area" of a London house before each, and only a narrow line of daylight at the top.	true	446.42	458.02	22.260862
2562_133442_000008_000005	I went slowly along, puzzling about the machines, and had been too intent upon them to notice the gradual diminution of the light, until Weena's increasing apprehensions drew my attention.	I went slowly along, puzzling about the machines, and had been too intent upon them to notice the gradual diminution of the light, until Weena's increasing apprehensions drew my attention.	false	458.84	470.32	21.193378
2562_133442_000008_000006	Then I saw that the gallery ran down at last into a thick darkness.	Then I saw that the gallery ran down at last into a thick darkness.	true	471.14	475.81	21.756779
2562_133442_000008_000007	I hesitated, and then, as I looked round me, I saw that the dust was less abundant and its surface less even.	I hesitated, and then, as I looked round me, I saw that the dust was less abundant and its surface less even.	false	476.33	484.06	22.780928
2562_133442_000008_000008	Further away towards the dimness, it appeared to be broken by a number of small narrow footprints.	Further away towards the dimness, it appeared to be broken by a number of small narrow footprints.	true	484.94	491.41	23.36108
2562_133442_000008_000009	My sense of the immediate presence of the Morlocks revived at that. I felt that I was wasting my time in the academic examination of machinery.	My sense of the immediate presence of the Morlocks revived at that. I felt that I was wasting my time in the academic examination of machinery.	true	492.26	501.67	21.716675
2562_133442_000008_000010	I called to mind that it was already far advanced in the afternoon, and that I had still no weapon, no refuge, and no means of making a fire.	I called to mind that it was already far advanced in the afternoon, and that I had still no weapon, no refuge, and no means of making a fire.	false	502.61	511.69	21.204292
2562_133442_000008_000011	And then down in the remote blackness of the gallery I heard a peculiar pattering, and the same odd noises I had heard down the well.	And then down in the remote blackness of the gallery I heard a peculiar pattering, and the same odd noises I had heard down the well.	true	512.45	520.69	22.633785
2562_133442_000009_000000	'I took Weena's hand.	'I took Weena's hand.	true	522.02	523.45	23.727242
2562_133442_000009_000001	Then, struck with a sudden idea, I left her and turned to a machine from which projected a lever not unlike those in a signal-box.	Then, struck with a sudden idea, I left her and turned to a machine from which projected a lever not unlike those in a signal box.	true	523.82	532.45	25.334642
2562_133442_000009_000002	Clambering upon the stand, and grasping this lever in my hands, I put all my weight upon it sideways.	Clambering upon the stand, and grasping this lever in my hands, I put all my weight upon it sideways.	true	533.33	539.89	22.604427
2562_133442_000009_000003	Suddenly Weena, deserted in the central aisle, began to whimper.	Suddenly Weena, deserted in the central aisle, began to whimper.	true	540.77	545.11	20.863474
2562_133442_000009_000004	I had judged the strength of the lever pretty correctly, for it snapped after a minute's strain, and I rejoined her with a mace in my hand more than sufficient, I judged, for any Morlock skull I might encounter.	I had judged the strength of the lever pretty correctly, for it snapped after a minute's strain, and I rejoined her with a mace in my hand more than sufficient, I judged, for any Morlock skull I might encounter.	false	545.87	558.01	21.538965
2562_133442_000009_000005	And I longed very much to kill a Morlock or so.	And I longed very much to kill a Morlock or so.	true	558.38	561.13	20.794966
2562_133442_000009_000006	Very inhuman, you may think, to want to go killing one's own descendants!	Very inhuman, you may think, to want to go killing one's own descendants!	true	561.62	566.05	20.587759
2562_133442_000009_000007	But it was impossible, somehow, to feel any humanity in the things.	But it was impossible, somehow, to feel any humanity in the things.	true	566.81	571.09	23.88532
2562_133442_000009_000008	Only my disinclination to leave Weena, and a persuasion that if I began to slake my thirst for murder my Time Machine might suffer, restrained me from going straight down the gallery and killing the brutes I heard.	Only my disinclination to leave Weena, and a persuasion that if I began to slake my thirst for murder my Time Machine might suffer, restrained me from going straight down the gallery and killing the brutes I heard.	true	571.79	584.29	21.51688
2562_133442_000010_000000	'Well, mace in one hand and Weena in the other, I went out of that gallery and into another and still larger one, which at the first glance reminded me of a military chapel hung with tattered flags. The brown and charred rags that hung from the sides of it, I presently recognized as the decaying vestiges of books.	'Well, mace in one hand and Weena in the other, I went out of that gallery and into another and still larger one, which at the first glance reminded me of a military chapel hung with tattered flags. The brown and charred rags that hung from the sides of it, I presently recognized as the decaying vestiges of books.	true	585.77	606.61	22.019209
2562_133442_000010_000001	They had long since dropped to pieces, and every semblance of print had left them.	They had long since dropped to pieces, and every semblance of print had left them.	true	607.31	612.64	21.741333
2562_133442_000010_000002	But here and there were warped boards and cracked metallic clasps that told the tale well enough.	But here and there were warped boards and cracked metallic clasps that told the tale well enough.	false	613.28	618.88	20.049543
2562_133442_000010_000003	Had I been a literary man I might, perhaps, have moralized upon the futility of all ambition. But as it was, the thing that struck me with keenest force was the enormous waste of labour to which this sombre wilderness of rotting paper testified.	Had I been a literary man I might, perhaps, have moralized upon the futility of all ambition. But as it was, the thing that struck me with keenest force was the enormous waste of labour to which this sombre wilderness of rotting paper testified.	true	619.55	636.22	20.146082
2562_133442_000010_000004	At the time I will confess that I thought chiefly of the _Philosophical Transactions_ and my own seventeen papers upon physical optics.	At the time I will confess that I thought chiefly of the underscore Philosophical Transactions underscore and my own seventeen papers upon physical optics.	false	636.83	645.46	23.524492
2562_133442_000011_000000	'Then, going up a broad staircase, we came to what may once have been a gallery of technical chemistry.	'Then, going up a broad staircase, we came to what may once have been a gallery of technical chemistry.	true	648.05	655.09	23.5957
2562_133442_000011_000001	And here I had not a little hope of useful discoveries.	And here I had not a little hope of useful discoveries.	true	655.73	658.99	20.59944
2562_133442_000011_000002	Except at one end where the roof had collapsed, this gallery was well preserved.	Except at one end where the roof had collapsed, this gallery was well preserved.	true	660.02	664.75	23.825567
2562_133442_000011_000003	I went eagerly to every unbroken case.	I went eagerly to every unbroken case.	true	665.39	667.99	23.802164
2562_133442_000011_000004	And at last, in one of the really air-tight cases, I found a box of matches.	And at last, in one of the really air tight cases, I found a box of matches.	true	668.27	673.69	22.302816
2562_133442_000011_000005	Very eagerly I tried them.	Very eagerly I tried them.	true	674.27	676.3	25.588284
2562_133442_000011_000006	They were perfectly good.	They were perfectly good.	true	676.61	678.46	24.86311
2562_133442_000011_000007	They were not even damp.	They were not even damp.	false	678.74	681.21	21.361965
2562_133442_000011_000008	I turned to Weena.	I turned to Weena.	true	681.21	682.51	27.954012
2562_133442_000011_000009	"Dance," I cried to her in her own tongue.	"Dance," I cried to her in her own tongue.	true	683	686.11	21.76118
2562_133442_000011_000010	For now I had a weapon indeed against the horrible creatures we feared.	For now I had a weapon indeed against the horrible creatures we feared.	true	686.39	690.13	24.335815
2562_133442_000011_000011	And so, in that derelict museum, upon the thick soft carpeting of dust, to Weena's huge delight, I solemnly performed a kind of composite dance, whistling _The Land of the Leal_ as cheerfully as I could.	And so, in that derelict museum, upon the thick soft carpeting of dust, to Weena's huge delight, I solemnly performed a kind of composite dance, whistling underscore The Land of the Leal underscore as cheerfully as I could.	false	690.59	704.92	23.366968
2562_133442_000011_000012	In part it was a modest _cancan_, in part a step dance, in part a skirt-dance (so far as my tail-coat permitted), and in part original.	In part it was a modest underscore cancan underscore, in part a step dance, in part a skirt dance (so far as my tail coat permitted), and in part original.	false	705.41	715.54	24.56887
2562_133442_000011_000013	For I am naturally inventive, as you know.	For I am naturally inventive, as you know.	true	716.15	718.93	24.102774
2562_133442_000012_000000	'Now, I still think that for this box of matches to have escaped the wear of time for immemorial years was a most strange, as for me it was a most fortunate thing.	'Now, I still think that for this box of matches to have escaped the wear of time for immemorial years was a most strange, as for me it was a most fortunate thing.	true	721.28	732.58	22.62954
2562_133442_000012_000001	Yet, oddly enough, I found a far unlikelier substance, and that was camphor.	Yet, oddly enough, I found a far unlikelier substance, and that was camphor.	true	733.1	739.15	23.972002
2562_133442_000012_000002	I found it in a sealed jar, that by chance, I suppose, had been really hermetically sealed. I fancied at first that it was paraffin wax, and smashed the glass accordingly.	I found it in a sealed jar, that by chance, I suppose, had been really hermetically sealed. I fancied at first that it was paraffin wax, and smashed the glass accordingly.	false	740.03	752.05	22.060762
2562_133442_000012_000003	But the odour of camphor was unmistakable.	But the odour of camphor was unmistakable.	false	752.66	755.41	23.741781
2562_133442_000012_000004	In the universal decay this volatile substance had chanced to survive, perhaps through many thousands of centuries.	In the universal decay this volatile substance had chanced to survive, perhaps through many thousands of centuries.	true	756.02	762.82	22.40575
2562_133442_000012_000005	It reminded me of a sepia painting I had once seen done from the ink of a fossil Belemnite that must have perished and become fossilized millions of years ago.	It reminded me of a sepia painting I had once seen done from the ink of a fossil Belemnite that must have perished and become fossilized millions of years ago.	false	763.4	772.99	20.696346
2562_133442_000012_000006	I was about to throw it away, but I remembered that it was inflammable and burned with a good bright flame--was, in fact, an excellent candle--and I put it in my pocket.	I was about to throw it away, but I remembered that it was inflammable and burned with a good bright flame-was, in fact, an excellent candle-and I put it in my pocket.	true	774.29	785.14	24.142828
2562_133442_000012_000007	I found no explosives, however, nor any means of breaking down the bronze doors.	I found no explosives, however, nor any means of breaking down the bronze doors.	true	786.17	790.96	21.297688
2562_133442_000012_000008	As yet my iron crowbar was the most helpful thing I had chanced upon.	As yet my iron crowbar was the most helpful thing I had chanced upon.	true	791.6	795.82	22.92871
2562_133442_000012_000009	Nevertheless I left that gallery greatly elated.	Nevertheless I left that gallery greatly elated.	true	796.52	801.78	21.11307
2562_133442_000013_000000	'I cannot tell you all the story of that long afternoon.	'I cannot tell you all the story of that long afternoon.	false	801.78	804.91	23.486517
2562_133442_000013_000001	It would require a great effort of memory to recall my explorations in at all the proper order.	It would require a great effort of memory to recall my explorations in at all the proper order.	true	804.98	810.55	21.945513
2562_133442_000013_000002	I remember a long gallery of rusting stands of arms, and how I hesitated between my crowbar and a hatchet or a sword.	I remember a long gallery of rusting stands of arms, and how I hesitated between my crowbar and a hatchet or a sword.	true	811.07	818.83	20.314327
2562_133442_000013_000003	I could not carry both, however, and my bar of iron promised best against the bronze gates.	I could not carry both, however, and my bar of iron promised best against the bronze gates.	true	819.32	824.95	23.123446
2562_133442_000013_000004	There were numbers of guns, pistols, and rifles.	There were numbers of guns, pistols, and rifles.	true	826.22	829.39	19.978003
2562_133442_000013_000005	The most were masses of rust, but many were of some new metal, and still fairly sound.	The most were masses of rust, but many were of some new metal, and still fairly sound.	true	829.85	835.81	20.123499
2562_133442_000013_000006	But any cartridges or powder there may once have been had rotted into dust.	But any cartridges or powder there may once have been had rotted into dust.	true	836.81	841.51	21.117981
2562_133442_000013_000007	One corner I saw was charred and shattered; perhaps, I thought, by an explosion among the specimens.	One corner I saw was charred and shattered; perhaps, I thought, by an explosion among the specimens.	true	842.15	848.83	21.405397
2562_133442_000013_000008	In another place was a vast array of idols--Polynesian, Mexican, Grecian, Phoenician, every country on earth I should think. And here, yielding to an irresistible impulse, I wrote my name upon the nose of a steatite monster from South America that particularly took my fancy.	In another place was a vast array of idols-Polynesian, Mexican, Grecian, Phoenician, every country on earth I should think. And here, yielding to an irresistible impulse, I wrote my name upon the nose of a steatite monster from South America that particularly took my fancy.	false	850.04	869.56	23.700407
2562_133442_000014_000000	'As the evening drew on, my interest waned.	'As the evening drew on, my interest waned.	true	871.13	874.03	21.693935
2562_133442_000014_000001	I went through gallery after gallery, dusty, silent, often ruinous, the exhibits sometimes mere heaps of rust and lignite, sometimes fresher.	I went through gallery after gallery, dusty, silent, often ruinous, the exhibits sometimes mere heaps of rust and lignite, sometimes fresher.	true	874.49	885.58	22.566696
2562_133442_000014_000002	In one place I suddenly found myself near the model of a tin-mine, and then by the merest accident I discovered, in an air-tight case, two dynamite cartridges!	In one place I suddenly found myself near the model of a tin mine, and then by the merest accident I discovered, in an air tight case, two dynamite cartridges!	true	886.34	896.83	22.936077
2562_133442_000014_000003	I shouted "Eureka!" and smashed the case with joy.	I shouted "Eureka!" and smashed the case with joy.	true	897.62	901.84	24.933716
2562_133442_000014_000004	Then came a doubt.	Then came a doubt.	true	902.33	904	25.818295
2562_133442_000014_000005	I hesitated.	I hesitated.	true	904.49	905.74	23.756723
2562_133442_000014_000006	Then, selecting a little side gallery, I made my essay.	Then, selecting a little side gallery, I made my essay.	true	906.62	911.23	23.865488
2562_133442_000014_000007	I never felt such a disappointment as I did in waiting five, ten, fifteen minutes for an explosion that never came. Of course the things were dummies, as I might have guessed from their presence.	I never felt such a disappointment as I did in waiting five, ten, fifteen minutes for an explosion that never came. Of course the things were dummies, as I might have guessed from their presence.	true	912.23	926.59	21.683176
2562_133442_000014_000008	I really believe that had they not been so, I should have rushed off incontinently and blown Sphinx, bronze doors, and (as it proved) my chances of finding the Time Machine, all together into non-existence.	I really believe that had they not been so, I should have rushed off incontinently and blown Sphinx, bronze doors, and (as it proved) my chances of finding the Time Machine, all together into non existence.	true	927.62	941.62	22.285202
2562_133442_000015_000000	'It was after that, I think, that we came to a little open court within the palace.	'It was after that, I think, that we came to a little open court within the palace.	true	943.16	947.92	25.872818
2562_133442_000015_000001	It was turfed, and had three fruit-trees.	It was turfed, and had three fruit trees.	true	948.56	951.37	23.798412
2562_133442_000015_000002	So we rested and refreshed ourselves.	So we rested and refreshed ourselves.	true	951.95	954.28	19.855024
2562_133442_000015_000003	Towards sunset I began to consider our position.	Towards sunset I began to consider our position.	true	954.92	958.18	21.377268
2562_133442_000015_000004	Night was creeping upon us, and my inaccessible hiding-place had still to be found.	Night was creeping upon us, and my inaccessible hiding place had still to be found.	false	958.67	963.7	22.179514
2562_133442_000015_000005	But that troubled me very little now.	But that troubled me very little now.	true	964.28	966.4	20.892994
2562_133442_000015_000006	I had in my possession a thing that was, perhaps, the best of all defences against the Morlocks--I had matches!	I had in my possession a thing that was, perhaps, the best of all defences against the Morlocks-I had matches!	true	966.95	974.59	22.486137
2562_133442_000015_000007	I had the camphor in my pocket, too, if a blaze were needed.	I had the camphor in my pocket, too, if a blaze were needed.	true	975.08	978.52	25.573835
2562_133442_000015_000008	It seemed to me that the best thing we could do would be to pass the night in the open, protected by a fire.	It seemed to me that the best thing we could do would be to pass the night in the open, protected by a fire.	true	979.04	985.48	23.981564
2562_133442_000015_000009	In the morning there was the getting of the Time Machine.	In the morning there was the getting of the Time Machine.	true	986.06	989.17	20.354446
2562_133442_000015_000010	Towards that, as yet, I had only my iron mace.	Towards that, as yet, I had only my iron mace.	true	989.66	993.76	25.517809
2562_133442_000015_000011	But now, with my growing knowledge, I felt very differently towards those bronze doors.	But now, with my growing knowledge, I felt very differently towards those bronze doors.	true	994.19	1000.03	22.640505
2562_133442_000015_000012	Up to this, I had refrained from forcing them, largely because of the mystery on the other side.	Up to this, I had refrained from forcing them, largely because of the mystery on the other side.	true	1000.76	1006.78	22.560373
2562_133442_000015_000013	They had never impressed me as being very strong, and I hoped to find my bar of iron not altogether inadequate for the work.	They had never impressed me as being very strong, and I hoped to find my bar of iron not altogether inadequate for the work.	false	1007.18	1025.04	20.93088
