770_134592_000000_000000	Vasco shook his head.	Vasco shook his head.	false	0	0.18	-20
770_134592_000010_000000	“When we are more settled I shall work wonders in the way of making the kitchen habitable,” said the young woman to her occasional visitors. There was an unspoken wish in those words, a wish which was unconfessed as well as unspoken.	"When we are more settled I shall work wonders in the way of making the kitchen habitable," said the young woman to her occasional visitors. There was an unspoken wish in those words, a wish which was unconfessed as well as unspoken.	true	100.64	114.4	21.258934
770_134592_000010_000001	Emma Ladbruk was the mistress of the farm; jointly with her husband she might have her say, and to a certain extent her way, in ordering its affairs.	Emma Ladbruk was the mistress of the farm; jointly with her husband she might have her say, and to a certain extent her way, in ordering its affairs.	true	114.98	123.64	21.086712
770_134592_000010_000002	But she was not mistress of the kitchen.	But she was not mistress of the kitchen.	true	124.01	126.61	22.12894
770_134592_000011_000000	On one of the shelves of an old dresser, in company with chipped sauce-boats, pewter jugs, cheese-graters, and paid bills, rested a worn and ragged Bible, on whose front page was the record, in faded ink, of a baptism dated ninety-four years ago.	On one of the shelves of an old dresser, in company with chipped sauce boats, pewter jugs, cheese graters, and paid bills, rested a worn and ragged Bible, on whose front page was the record, in faded ink, of a baptism dated ninety four years ago.	true	127.76	143.65	21.706379
770_134592_000011_000001	“Martha Crale” was the name written on that yellow page.	"Martha Crale" was the name written on that yellow page.	true	144.14	148.21	23.42905
770_134592_000011_000002	The yellow, wrinkled old dame who hobbled and muttered about the kitchen, looking like a dead autumn leaf which the winter winds still pushed hither and thither, had once been Martha Crale; for seventy odd years she had been Martha Mountjoy.	The yellow, wrinkled old dame who hobbled and muttered about the kitchen, looking like a dead autumn leaf which the winter winds still pushed hither and thither, had once been Martha Crale; for seventy odd years she had been Martha Mountjoy.	true	148.94	163.57	19.957203
770_134592_000011_000003	For longer than anyone could remember she had pattered to and fro between oven and wash-house and dairy, and out to chicken-run and garden, grumbling and muttering and scolding, but working unceasingly.	For longer than anyone could remember she had pattered to and fro between oven and wash house and dairy, and out to chicken run and garden, grumbling and muttering and scolding, but working unceasingly.	true	163.94	177.01	22.34197
770_134592_000011_000004	Emma Ladbruk, of whose coming she took as little notice as she would of a bee wandering in at a window on a summer’s day, used at first to watch her with a kind of frightened curiosity.	Emma Ladbruk, of whose coming she took as little notice as she would of a bee wandering in at a window on a summer's day, used at first to watch her with a kind of frightened curiosity.	true	177.8	188.89	21.364141
770_134592_000011_000005	She was so old and so much a part of the place, it was difficult to think of her exactly as a living thing.	She was so old and so much a part of the place, it was difficult to think of her exactly as a living thing.	true	189.32	195.76	23.746323
770_134592_000011_000006	Old Shep, the white-nozzled, stiff-limbed collie, waiting for his time to die, seemed almost more human than the withered, dried-up old woman.	Old Shep, the white nozzled, stiff limbed collie, waiting for his time to die, seemed almost more human than the withered, dried up old woman.	true	196.13	205.6	22
770_134592_000011_000007	He had been a riotous, roystering puppy, mad with the joy of life, when she was already a tottering, hobbling dame; now he was just a blind, breathing carcase, nothing more, and she still worked with frail energy, still swept and baked and washed, fetched and carried.	He had been a riotous, roystering puppy, mad with the joy of life, when she was already a tottering, hobbling dame; now he was just a blind, breathing carcase, nothing more, and she still worked with frail energy, still swept and baked and washed, fetched and carried.	true	206.18	224.53	21.78756
770_134592_000011_000008	If there were something in these wise old dogs that did not perish utterly with death, Emma used to think to herself, what generations of ghost-dogs there must be out on those hills, that Martha had reared and fed and tended and spoken a last good-bye word to in that old kitchen.	If there were something in these wise old dogs that did not perish utterly with death, Emma used to think to herself, what generations of ghost dogs there must be out on those hills, that Martha had reared and fed and tended and spoken a last good bye word to in that old kitchen.	true	225.23	241.93	21.851477
770_134592_000011_000009	And what memories she must have of human generations that had passed away in her time.	And what memories she must have of human generations that had passed away in her time.	true	242.69	247.87	20
770_134592_000011_000010	It was difficult for anyone, let alone a stranger like Emma, to get her to talk of the days that had been; her shrill, quavering speech was of doors that had been left unfastened, pails that had got mislaid, calves whose feeding-time was overdue, and the various little faults and lapses that chequer a farmhouse routine.	It was difficult for anyone, let alone a stranger like Emma, to get her to talk of the days that had been; her shrill, quavering speech was of doors that had been left unfastened, pails that had got mislaid, calves whose feeding time was overdue, and the various little faults and lapses that chequer a farmhouse routine.	true	248.15	267.07	21.957235
770_134592_000011_000011	Now and again, when election time came round, she would unstore her recollections of the old names round which the fight had waged in the days gone by.	Now and again, when election time came round, she would unstore her recollections of the old names round which the fight had waged in the days gone by.	true	267.65	275.92	16
770_134592_000011_000012	There had been a Palmerston, that had been a name down Tiverton way; Tiverton was not a far journey as the crow flies, but to Martha it was almost a foreign country.	There had been a Palmerston, that had been a name down Tiverton way; Tiverton was not a far journey as the crow flies, but to Martha it was almost a foreign country.	true	276.59	286.06	21.432724
770_134592_000011_000013	Later there had been Northcotes and Aclands, and many other newer names that she had forgotten; the names changed, but it was always Libruls and Toories, Yellows and Blues.	Later there had been Northcotes and Aclands, and many other newer names that she had forgotten; the names changed, but it was always Libruls and Toories, Yellows and Blues.	true	286.49	297.58	18.887064
770_134592_000011_000014	And they always quarrelled and shouted as to who was right and who was wrong.	And they always quarrelled and shouted as to who was right and who was wrong.	true	297.89	302.5	23.022892
770_134592_000011_000015	The one they quarrelled about most was a fine old gentleman with an angry face—she had seen his picture on the walls. She had seen it on the floor too, with a rotten apple squashed over it, for the farm had changed its politics from time to time.	The one they quarrelled about most was a fine old gentleman with an angry face—she had seen his picture on the walls. She had seen it on the floor too, with a rotten apple squashed over it, for the farm had changed its politics from time to time.	true	303.17	317.38	21.445118
770_134592_000011_000016	Martha had never been on one side or the other; none of “they” had ever done the farm a stroke of good.	Martha had never been on one side or the other; none of "they" had ever done the farm a stroke of good.	true	318.17	324.04	20.036047
770_134592_000011_000017	Such was her sweeping verdict, given with all a peasant’s distrust of the outside world.	Such was her sweeping verdict, given with all a peasant's distrust of the outside world.	true	324.41	330.04	23.791895
770_134592_000012_000000	When the half-frightened curiosity had somewhat faded away, Emma Ladbruk was uncomfortably conscious of another feeling towards the old woman. She was a quaint old tradition, lingering about the place, she was part and parcel of the farm itself, she was something at once pathetic and picturesque—but she was dreadfully in the way.	When the half frightened curiosity had somewhat faded away, Emma Ladbruk was uncomfortably conscious of another feeling towards the old woman. She was a quaint old tradition, lingering about the place, she was part and parcel of the farm itself, she was something at once pathetic and picturesque—but she was dreadfully in the way.	true	330.83	352	22.089289
770_134592_000012_000001	Emma had come to the farm full of plans for little reforms and improvements, in part the result of training in the newest ways and methods, in part the outcome of her own ideas and fancies.	Emma had come to the farm full of plans for little reforms and improvements, in part the result of training in the newest ways and methods, in part the outcome of her own ideas and fancies.	true	352.76	363.97	23.352222
770_134592_000012_000002	Reforms in the kitchen region, if those deaf old ears could have been induced to give them even a hearing, would have met with short shrift and scornful rejection, and the kitchen region spread over the zone of dairy and market business and half the work of the household. Emma, with the latest science of dead-poultry dressing at her finger-tips, sat by, an unheeded watcher, while old Martha trussed the chickens for the market-stall as she had trussed them for nearly fourscore years—all leg and no breast.	Reforms in the kitchen region, if those deaf old ears could have been induced to give them even a hearing, would have met with short shrift and scornful rejection, and the kitchen region spread over the zone of dairy and market business and half the work of the household. Emma, with the latest science of dead poultry dressing at her finger tips, sat by, an unheeded watcher, while old Martha trussed the chickens for the market stall as she had trussed them for nearly fourscore years—all leg and no breast.	true	364.55	395.92	21.584599
770_134592_000012_000003	And the hundred hints anent effective cleaning and labour-lightening and the things that make for wholesomeness which the young woman was ready to impart or to put into action dropped away into nothingness before that wan, muttering, unheeding presence.	And the hundred hints anent effective cleaning and labour lightening and the things that make for wholesomeness which the young woman was ready to impart or to put into action dropped away into nothingness before that wan, muttering, unheeding presence.	false	396.62	411.64	21
770_134592_000012_000004	Above all, the coveted window corner, that was to be a dainty, cheerful oasis in the gaunt old kitchen, stood now choked and lumbered with a litter of odds and ends that Emma, for all her nominal authority, would not have dared or cared to displace; over them seemed to be spun the protection of something that was like a human cobweb. Decidedly Martha was in the way.	Above all, the coveted window corner, that was to be a dainty, cheerful oasis in the gaunt old kitchen, stood now choked and lumbered with a litter of odds and ends that Emma, for all her nominal authority, would not have dared or cared to displace; over them seemed to be spun the protection of something that was like a human cobweb. Decidedly Martha was in the way.	true	412.28	436.69	22.360203
770_134592_000012_000005	It would have been an unworthy meanness to have wished to see the span of that brave old life shortened by a few paltry months, but as the days sped by Emma was conscious that the wish was there, disowned though it might be, lurking at the back of her mind.	It would have been an unworthy meanness to have wished to see the span of that brave old life shortened by a few paltry months, but as the days sped by Emma was conscious that the wish was there, disowned though it might be, lurking at the back of her mind.	true	437	453.43	22.370617
770_134592_000013_000000	She felt the meanness of the wish come over her with a qualm of self-reproach one day when she came into the kitchen and found an unaccustomed state of things in that usually busy quarter.	She felt the meanness of the wish come over her with a qualm of self reproach one day when she came into the kitchen and found an unaccustomed state of things in that usually busy quarter.	true	453.98	464.05	20
770_134592_000013_000001	Old Martha was not working.	Old Martha was not working.	true	464.6	466.75	26.852695
770_134592_000013_000002	A basket of corn was on the floor by her side, and out in the yard the poultry were beginning to clamour a protest of overdue feeding-time.	A basket of corn was on the floor by her side, and out in the yard the poultry were beginning to clamour a protest of overdue feeding time.	true	467.21	474.61	21.20655
770_134592_000013_000003	But Martha sat huddled in a shrunken bunch on the window seat, looking out with her dim old eyes as though she saw something stranger than the autumn landscape.	But Martha sat huddled in a shrunken bunch on the window seat, looking out with her dim old eyes as though she saw something stranger than the autumn landscape.	true	475.07	484.45	18.861889
770_134592_000014_000000	“Is anything the matter, Martha?” asked the young woman.	"Is anything the matter, Martha?" asked the young woman.	true	485.24	487.98	22.41237
770_134592_000015_000000	“’Tis death, ’tis death a-coming,” answered the quavering voice; “I knew ’twere coming.	"'tis death, 'tis death a coming," answered the quavering voice; "I knew 'twere coming.	false	487.98	496.06	29.636208
770_134592_000015_000001	I knew it.	I knew it.	true	496.1	497.17	37.021683
770_134592_000015_000002	’Tweren’t for nothing that old Shep’s been howling all morning.	'Tweren't for nothing that old Shep's been howling all morning.	true	497.39	500.19	18
770_134592_000015_000003	An’ last night I heard the screech-owl give the death-cry, and there were something white as run across the yard yesterday; ’tweren’t a cat nor a stoat, ’twere something.	An' last night I heard the screech owl give the death cry, and there were something white as run across the yard yesterday; 'tweren't a cat nor a stoat, 'twere something.	false	500.19	511.21	21.470417
770_134592_000015_000004	The fowls knew ’twere something; they all drew off to one side.	The fowls knew 'twere something; they all drew off to one side.	false	511.64	514.89	21
770_134592_000015_000005	Ay, there’s been warnings.	Ay, there's been warnings.	false	514.89	516.97	17.437407
770_134592_000015_000006	I knew it were a-coming.”	I knew it were a coming."	true	517.1	519.07	26.244814
770_134592_000016_000000	The young woman’s eyes clouded with pity.	The young woman's eyes clouded with pity.	true	520.16	522.55	20.827251
770_134592_000016_000001	The old thing sitting there so white and shrunken had once been a merry, noisy child, playing about in lanes and hay-lofts and farmhouse garrets; that had been eighty odd years ago, and now she was just a frail old body cowering under the approaching chill of the death that was coming at last to take her.	The old thing sitting there so white and shrunken had once been a merry, noisy child, playing about in lanes and hay lofts and farmhouse garrets; that had been eighty odd years ago, and now she was just a frail old body cowering under the approaching chill of the death that was coming at last to take her.	true	522.98	541.72	20.355991
770_134592_000016_000002	It was not probable that much could be done for her, but Emma hastened away to get assistance and counsel.	It was not probable that much could be done for her, but Emma hastened away to get assistance and counsel.	true	542.24	547.81	19.732306
770_134592_000016_000003	Her husband, she knew, was down at a tree-felling some little distance off, but she might find some other intelligent soul who knew the old woman better than she did.	Her husband, she knew, was down at a tree felling some little distance off, but she might find some other intelligent soul who knew the old woman better than she did.	true	548.21	556.54	21
770_134592_000016_000004	The farm, she soon found out, had that faculty common to farmyards of swallowing up and losing its human population.	The farm, she soon found out, had that faculty common to farmyards of swallowing up and losing its human population.	true	557.06	564.22	22.139874
770_134592_000016_000005	The poultry followed her in interested fashion, and swine grunted interrogations at her from behind the bars of their styes, but barnyard and rickyard, orchard and stables and dairy, gave no reward to her search.	The poultry followed her in interested fashion, and swine grunted interrogations at her from behind the bars of their styes, but barnyard and rickyard, orchard and stables and dairy, gave no reward to her search.	true	564.74	577.48	21.180172
770_134592_000016_000006	Then, as she retraced her steps towards the kitchen, she came suddenly on her cousin, young Mr. Jim, as every one called him, who divided his time between amateur horse-dealing, rabbit-shooting, and flirting with the farm maids.	Then, as she retraced her steps towards the kitchen, she came suddenly on her cousin, young mr Jim, as every one called him, who divided his time between amateur horse dealing, rabbit shooting, and flirting with the farm maids.	true	578.15	591.16	20.28693
770_134592_000017_000000	“I’m afraid old Martha is dying,” said Emma.	"I'm afraid old Martha is dying," said Emma.	true	592.22	595.48	25.661167
770_134592_000017_000001	Jim was not the sort of person to whom one had to break news gently.	Jim was not the sort of person to whom one had to break news gently.	true	595.67	599.2	25
770_134592_000018_000000	“Nonsense,” he said; “Martha means to live to a hundred.	"Nonsense," he said; "Martha means to live to a hundred.	true	599.75	603.675	23.844042
770_134592_000018_000001	She told me so, and she’ll do it.”	She told me so, and she'll do it."	true	603.675	605.41	22.437336
770_134592_000019_000000	“She may be actually dying at this moment, or it may just be the beginning of the break-up,” persisted Emma, with a feeling of contempt for the slowness and dulness of the young man.	"She may be actually dying at this moment, or it may just be the beginning of the break-up," persisted Emma, with a feeling of contempt for the slowness and dulness of the young man.	true	606.02	615.4	22.10853
770_134592_000020_000000	A grin spread over his good-natured features.	A grin spread over his good-natured features.	true	616.16	618.58	25.978914
770_134592_000021_000000	“It don’t look like it,” he said, nodding towards the yard.	"It don't look like it," he said, nodding towards the yard.	true	619.16	622.87	31.96338
770_134592_000021_000001	Emma turned to catch the meaning of his remark.	Emma turned to catch the meaning of his remark.	true	623.57	626.08	27.408316
770_134592_000021_000002	Old Martha stood in the middle of a mob of poultry scattering handfuls of grain around her.	Old Martha stood in the middle of a mob of poultry scattering handfuls of grain around her.	true	626.42	632.2	21.303621
770_134592_000021_000003	The turkey-cock, with the bronzed sheen of his feathers and the purple-red of his wattles, the gamecock, with the glowing metallic lustre of his Eastern plumage, the hens, with their ochres and buffs and umbers and their scarlet combs, and the drakes, with their bottle-green heads, made a medley of rich colour, in the centre of which the old woman looked like a withered stalk standing amid a riotous growth of gaily-hued flowers.	The turkey cock, with the bronzed sheen of his feathers and the purple red of his wattles, the gamecock, with the glowing metallic lustre of his Eastern plumage, the hens, with their ochres and buffs and umbers and their scarlet combs, and the drakes, with their bottle green heads, made a medley of rich colour, in the centre of which the old woman looked like a withered stalk standing amid a riotous growth of gaily hued flowers.	true	632.66	658.63	22.579653
770_134592_000021_000004	But she threw the grain deftly amid the wilderness of beaks, and her quavering voice carried as far as the two people who were watching her.	But she threw the grain deftly amid the wilderness of beaks, and her quavering voice carried as far as the two people who were watching her.	true	659.12	666.58	21.45229
770_134592_000021_000005	She was still harping on the theme of death coming to the farm.	She was still harping on the theme of death coming to the farm.	true	666.83	670.48	21.974161
770_134592_000022_000000	“I knew ’twere a-coming.	"I knew 'twere a coming.	false	671.33	673.09	26.995207
770_134592_000022_000001	There’s been signs an’ warnings.”	There's been signs an' warnings."	true	673.31	675.4	19.309908
770_134592_000023_000000	“Who’s dead, then, old Mother?” called out the young man.	"Who's dead, then, old Mother?" called out the young man.	true	675.95	678.88	24.297571
770_134592_000024_000000	“’Tis young Mister Ladbruk,” she shrilled back; “they’ve just a-carried his body in.	"'tis young Mister Ladbruk," she shrilled back; "they've just a carried his body in.	true	679.4	684.58	21.886541
770_134592_000024_000001	Run out of the way of a tree that was coming down an’ ran hisself on to an iron post.	Run out of the way of a tree that was coming down an' ran hisself on to an iron post.	false	684.68	689.8	19.919327
770_134592_000024_000002	Dead when they picked un up.	Dead when they picked un up.	false	689.9	691.875	25.006193
770_134592_000024_000003	Aye, I knew ’twere coming.”	Aye, I knew 'twere coming."	false	691.875	694.33	21
770_134592_000025_000000	And she turned to fling a handful of barley at a belated group of guinea-fowl that came racing toward her.	And she turned to fling a handful of barley at a belated group of guinea fowl that came racing toward her.	true	694.64	700.3	24.569294
770_134592_000026_000000	The farm was a family property, and passed to the rabbit-shooting cousin as the next-of-kin.	The farm was a family property, and passed to the rabbit shooting cousin as the next of kin.	true	701.45	706.84	23.071114
770_134592_000026_000001	Emma Ladbruk drifted out of its history as a bee that had wandered in at an open window might flit its way out again.	Emma Ladbruk drifted out of its history as a bee that had wandered in at an open window might flit its way out again.	false	707.39	714.19	21.442759
770_134592_000026_000002	On a cold grey morning she stood waiting, with her boxes already stowed in the farm cart, till the last of the market produce should be ready, for the train she was to catch was of less importance than the chickens and butter and eggs that were to be offered for sale.	On a cold grey morning she stood waiting, with her boxes already stowed in the farm cart, till the last of the market produce should be ready, for the train she was to catch was of less importance than the chickens and butter and eggs that were to be offered for sale.	true	714.56	728.92	21.27882
770_134592_000026_000003	From where she stood she could see an angle of the long latticed window that was to have been cosy with curtains and gay with bowls of flowers.	From where she stood she could see an angle of the long latticed window that was to have been cosy with curtains and gay with bowls of flowers.	true	729.35	737.95	22.15287
770_134592_000026_000004	Into her mind came the thought that for months, perhaps for years, long after she had been utterly forgotten, a white, unheeding face would be seen peering out through those latticed panes, and a weak muttering voice would be heard quavering up and down those flagged passages.	Into her mind came the thought that for months, perhaps for years, long after she had been utterly forgotten, a white, unheeding face would be seen peering out through those latticed panes, and a weak muttering voice would be heard quavering up and down those flagged passages.	true	738.5	755.44	23.06567
770_134592_000026_000005	She made her way to a narrow barred casement that opened into the farm larder.	She made her way to a narrow barred casement that opened into the farm larder.	true	756.29	760.81	21.655033
770_134592_000026_000006	Old Martha was standing at a table trussing a pair of chickens for the market stall as she had trussed them for nearly fourscore years.	Old Martha was standing at a table trussing a pair of chickens for the market stall as she had trussed them for nearly fourscore years.	false	761.39	775.29	23.340878
