207_122801_000007_000000	THE BELL	THE BELL
207_122801_000023_000000	The ugly apes sat upon the trees, and grinned.	The ugly apes sat upon the trees, and grinned.
207_122801_000023_000002	"Shall we thrash him?	"Shall we thrash him?
207_122801_000023_000003	He is the son of a king!"	He is the son of a king!"
207_122801_000024_000000	But on he went, without being disheartened, deeper and deeper into the wood, where the most wonderful flowers were growing.	But on he went, without being disheartened, deeper and deeper into the wood, where the most wonderful flowers were growing.
207_122801_000024_000002	Around the nicest green meads, where the deer were playing in the grass, grew magnificent oaks and beeches; and if the bark of one of the trees was cracked, there grass and long creeping plants grew in the crevices.	Around the nicest green meads, where the deer were playing in the grass, grew magnificent oaks and beeches; and if the bark of one of the trees was cracked, there grass and long creeping plants grew in the crevices.
207_122801_000024_000003	And there were large calm lakes there too, in which white swans were swimming, and beat the air with their wings.	And there were large calm lakes there too, in which white swans were swimming, and beat the air with their wings.
207_122801_000024_000004	The King's Son often stood still and listened.	The King's Son often stood still and listened.
207_122801_000024_000005	He thought the bell sounded from the depths of these still lakes; but then he remarked again that the tone proceeded not from there, but farther off, from out the depths of the forest.	He thought the bell sounded from the depths of these still lakes; but then he remarked again that the tone proceeded not from there, but farther off, from out the depths of the forest.
207_122801_000025_000000	The sun now set: the atmosphere glowed like fire.	The sun now set: the atmosphere glowed like fire.
207_122801_000025_000001	It was still in the woods, so very still; and he fell on his knees, sung his evening hymn, and said: "I cannot find what I seek; the sun is going down, and night is coming--the dark, dark night.	It was still in the woods, so very still; and he fell on his knees, sung his evening hymn, and said: "I cannot find what I seek; the sun is going down, and night is coming-the dark, dark night.
207_122801_000025_000003	I will climb up yonder rock."	I will climb up yonder rock."
207_122801_000026_000001	How magnificent was the sight from this height!	How magnificent was the sight from this height!
207_122801_000026_000002	The sea--the great, the glorious sea, that dashed its long waves against the coast--was stretched out before him.	The sea-the great, the glorious sea, that dashed its long waves against the coast-was stretched out before him.
207_122801_000026_000003	And yonder, where sea and sky meet, stood the sun, like a large shining altar, all melted together in the most glowing colors.	And yonder, where sea and sky meet, stood the sun, like a large shining altar, all melted together in the most glowing colors.
207_122801_000026_000006	He had followed his own path, and had reached the spot just as soon as the son of the king had done.	He had followed his own path, and had reached the spot just as soon as the son of the king had done.
