1053_132821_000000_000000	So his mother's prophecy had come true, after all.	So his mother's prophecy had come true, after all.	false	0	9.03	22.50992
1053_132821_000044_000003	To this he replied that as my misfortune resulted from a spell, this was rather difficult, but he would do his best, and at any rate he could promise that before my fifteenth birthday I should be freed from the enchantment if I could get a man who would swear to marry me as I was.	To this he replied that as my misfortune resulted from a spell, this was rather difficult, but he would do his best, and at any rate he could promise that before my fifteenth birthday I should be freed from the enchantment if I could get a man who would swear to marry me as I was.	true	849.11	866.02	20
1053_132821_000045_000000	'As you may suppose, this was not easy, as my ugliness was such that no one would look at me a second time.	'As you may suppose, this was not easy, as my ugliness was such that no one would look at me a second time.	true	867.17	873.64	17
1053_132821_000045_000001	My nurse and I were almost in despair, as my fifteenth birthday was drawing near, and I had never so much as spoken to a man.	My nurse and I were almost in despair, as my fifteenth birthday was drawing near, and I had never so much as spoken to a man.	true	874.01	881.59	16
1053_132821_000045_000002	At last we received a visit from the wizard, who told us what had happened at court, and your story, bidding me to put myself in your way when you had lost all hope, and offer to save you if you would consent to marry me.	At last we received a visit from the wizard, who told us what had happened at court, and your story, bidding me to put myself in your way when you had lost all hope, and offer to save you if you would consent to marry me.	true	882.05	895.63	18
1053_132821_000046_000000	'That is my history, and now you must beg the king to send messengers at once to Granada, to inform my father of our marriage, and I think,' she added with a smile, 'that he will not refuse us his blessing.'	'That is my history, and now you must beg the king to send messengers at once to Granada, to inform my father of our marriage, and I think,' she added with a smile, 'that he will not refuse us his blessing.'	true	896.72	910.98	22
1053_132821_000047_000000	Adapted from the Portuguese.	Adapted from the Portuguese.	false	910.98	911.19	-20
1053_132821_000048_000000	The Jogi's Punishment	The Jogi's Punishment	false	911.19	911.34	-20
1053_132821_000049_000000	Once upon a time there came to the ancient city of Rahmatabad a jogi[FN#1: A Hindu holy man.] of holy appearance, who took up his abode under a tree outside the city, where he would sit for days at a time fasting from food and drink, motionless except for the fingers that turned restlessly his string of beads.	Once upon a time there came to the ancient city of Rahmatabad a jogi[f n # one: A Hindu holy man.] of holy appearance, who took up his abode under a tree outside the city, where he would sit for days at a time fasting from food and drink, motionless except for the fingers that turned restlessly his string of beads.	false	911.34	913.71	19.128067
1053_132821_000049_000001	The fame of such holiness as this soon spread, and daily the citizens would flock to see him, eager to get his blessing, to watch his devotions, or to hear his teaching, if he were in the mood to speak.	The fame of such holiness as this soon spread, and daily the citizens would flock to see him, eager to get his blessing, to watch his devotions, or to hear his teaching, if he were in the mood to speak.	false	913.71	915.42	19
1053_132821_000049_000002	Very soon the rajah himself heard of the jogi, and began regularly to visit him to seek his counsel and to ask his prayers that a son might be vouchsafed to him.	Very soon the rajah himself heard of the jogi, and began regularly to visit him to seek his counsel and to ask his prayers that a son might be vouchsafed to him.	false	915.42	916.47	16
1053_132821_000049_000003	Days passed by, and at last the rajah became so possessed with the thought of the holy man that he determined if possible to get him all to himself.	Days passed by, and at last the rajah became so possessed with the thought of the holy man that he determined if possible to get him all to himself.	false	916.47	917.28	16
1053_132821_000049_000004	So he built in the neighbourhood a little shrine, with a room or two added to it, and a small courtyard closely walled up; and, when all was ready, besought the jogi to occupy it, and to receive no other visitors except himself and his queen and such pupils as the jogi might choose, who would hand down his teaching.	So he built in the neighbourhood a little shrine, with a room or two added to it, and a small courtyard closely walled up; and, when all was ready, besought the jogi to occupy it, and to receive no other visitors except himself and his queen and such pupils as the jogi might choose, who would hand down his teaching.	false	917.28	918.54	17
1053_132821_000049_000005	To this the jogi consented; and thus he lived for some time upon the king's bounty, whilst the fame of his godliness grew day by day.	To this the jogi consented; and thus he lived for some time upon the king's bounty, whilst the fame of his godliness grew day by day.	false	918.54	918.54	
