1422_146111_000002_000000	CHAPTER 5.	CHAPTER five.
1422_146111_000023_000004	More than ever before was he convinced that he had met his ideal, and more than ever before was he determined that a triviality like being unaware of her name and address should not keep him from her. It was not as if he had no clue to go upon.	More than ever before was he convinced that he had met his ideal, and more than ever before was he determined that a triviality like being unaware of her name and address should not keep him from her. It was not as if he had no clue to go upon.
1422_146111_000023_000006	It narrowed the thing down absurdly.	It narrowed the thing down absurdly.
1422_146111_000023_000008	Especially a man with luck like his.	Especially a man with luck like his.
1422_146111_000024_000000	Luck is a goddess not to be coerced and forcibly wooed by those who seek her favours.	Luck is a goddess not to be coerced and forcibly wooed by those who seek her favours.
1422_146111_000024_000001	From such masterful spirits she turns away.	From such masterful spirits she turns away.
1422_146111_000024_000002	But it happens sometimes that, if we put our hand in hers with the humble trust of a little child, she will have pity on us, and not fail us in our hour of need.	But it happens sometimes that, if we put our hand in hers with the humble trust of a little child, she will have pity on us, and not fail us in our hour of need.
1422_146111_000024_000003	On George, hopefully watching for something to turn up, she smiled almost immediately.	On George, hopefully watching for something to turn up, she smiled almost immediately.
1422_146111_000025_000003	This particular happening the writer had apparently considered worthy of being dignified by rhyme.	This particular happening the writer had apparently considered worthy of being dignified by rhyme.
1422_146111_000026_000000	"THE PEER AND THE POLICEMAN."	"THE PEER AND THE POLICEMAN."
1422_146111_000027_000000	"Outside the 'Carlton,' 'tis averred, these stirring happenings occurred.	"Outside the 'Carlton,' 'tis averred, these stirring happenings occurred.
1422_146111_000027_000002	The day was fair, the sky was blue, and everything was peaceful too, when suddenly a well-dressed gent engaged in heated argument and roundly to abuse began another well-dressed gentleman.	The day was fair, the sky was blue, and everything was peaceful too, when suddenly a well dressed gent engaged in heated argument and roundly to abuse began another well dressed gentleman.
1422_146111_000027_000003	His suede-gloved fist he raised on high to dot the other in the eye.	His suede gloved fist he raised on high to dot the other in the eye.
1422_146111_000027_000005	'What means this conduct? Prithee stop!' exclaimed that admirable slop.	'What means this conduct? Prithee stop!' exclaimed that admirable slop.
1422_146111_000027_000006	With which he placed a warning hand upon the brawler's collarband.	With which he placed a warning hand upon the brawler's collarband.
1422_146111_000027_000008	No subject here for flippant jest.	No subject here for flippant jest.
1422_146111_000027_000010	Let us be brief.	Let us be brief.
1422_146111_000027_000012	He gave the constable a punch just where the latter kept his lunch.	He gave the constable a punch just where the latter kept his lunch.
1422_146111_000027_000013	The constable said 'Well!	The constable said 'Well!
1422_146111_000027_000014	Well!	Well!
1422_146111_000027_000016	But British Justice is severe alike on pauper and on peer; with even hand she holds the scale; a thumping fine, in lieu of gaol, induced Lord B. to feel remorse and learn he mustn't punch the Force."	But British Justice is severe alike on pauper and on peer; with even hand she holds the scale; a thumping fine, in lieu of gaol, induced Lord b to feel remorse and learn he mustn't punch the Force."
1422_146111_000028_000000	George's mutton chop congealed on the plate, untouched.	George's mutton chop congealed on the plate, untouched.
1422_146111_000028_000001	The French fried potatoes cooled off, unnoticed.	The French fried potatoes cooled off, unnoticed.
1422_146111_000028_000002	This was no time for food. Rightly indeed had he relied upon his luck.	This was no time for food. Rightly indeed had he relied upon his luck.
1422_146111_000028_000003	It had stood by him nobly.	It had stood by him nobly.
1422_146111_000028_000005	He paid his bill and left the restaurant.	He paid his bill and left the restaurant.
1422_146111_000029_000001	Eton and Christ Church, Oxford, and what the book with its customary curtness called "one d."--Patricia Maud.	Eton and Christ Church, Oxford, and what the book with its customary curtness called "one d."--Patricia Maud.
1422_146111_000030_000001	In the pocket closest to his throbbing heart was a single ticket to Belpher.	In the pocket closest to his throbbing heart was a single ticket to Belpher.
