3945_890_000003_000000	LET me think where we were.	LET me think where we were.
3945_890_000008_000005	But, none the less, poor Edward seems to have believed in her determination to carry him off.	But, none the less, poor Edward seems to have believed in her determination to carry him off.
3945_890_000008_000006	He would not have gone; he cared for his wife too much.	He would not have gone; he cared for his wife too much.
3945_890_000008_000008	And she could have made it pretty hot for him in ten or a dozen different ways.	And she could have made it pretty hot for him in ten or a dozen different ways.
3945_890_000008_000010	She was determined to spare my feelings.	She was determined to spare my feelings.
3945_890_000009_000001	Let me come to the 4th of August, 1913, the last day of my absolute ignorance--and, I assure you, of my perfect happiness.	Let me come to the fourth of August, nineteen thirteen, the last day of my absolute ignorance-and, I assure you, of my perfect happiness.
3945_890_000009_000002	For the coming of that dear girl only added to it all.	For the coming of that dear girl only added to it all.
3945_890_000010_000003	Florence, I remember, had said at first that she would remain with Leonora, and me, and Edward and the girl had gone off alone.	Florence, I remember, had said at first that she would remain with Leonora, and me, and Edward and the girl had gone off alone.
3945_890_000010_000004	And then Leonora had said to Florence with perfect calmness:	And then Leonora had said to Florence with perfect calmness:
3945_890_000011_000000	"I wish you would go with those two.	"I wish you would go with those two.
3945_890_000011_000001	I think the girl ought to have the appearance of being chaperoned with Edward in these places.	I think the girl ought to have the appearance of being chaperoned with Edward in these places.
3945_890_000011_000002	I think the time has come." So Florence, with her light step, had slipped out after them.	I think the time has come." So Florence, with her light step, had slipped out after them.
3945_890_000011_000004	Americans are particular in those matters.	Americans are particular in those matters.
3945_890_000012_000002	The man called Bagshawe had been reading The Times on the other side of the room, but then he moved over to me with some trifling question as a prelude to suggesting an acquaintance.	The man called Bagshawe had been reading The Times on the other side of the room, but then he moved over to me with some trifling question as a prelude to suggesting an acquaintance.
3945_890_000012_000003	I fancy he asked me something About the poll-tax on Kur-guests, and whether it could not be sneaked out of.	I fancy he asked me something About the poll tax on Kur guests, and whether it could not be sneaked out of.
3945_890_000012_000004	He was that sort of person.	He was that sort of person.
3945_890_000013_000000	Well, he was an unmistakable man, with a military figure, rather exaggerated, with bulbous eyes that avoided your own, and a pallid complexion that suggested vices practised in secret along with an uneasy desire for making acquaintance at whatever cost....	Well, he was an unmistakable man, with a military figure, rather exaggerated, with bulbous eyes that avoided your own, and a pallid complexion that suggested vices practised in secret along with an uneasy desire for making acquaintance at whatever cost....
3945_890_000013_000001	The filthy toad... .	The filthy toad... .
3945_890_000014_000000	He began by telling me that he came from Ludlow Manor, near Ledbury. The name had a slightly familiar sound, though I could not fix it in my mind.	He began by telling me that he came from Ludlow Manor, near Ledbury. The name had a slightly familiar sound, though I could not fix it in my mind.
3945_890_000014_000001	Then he began to talk about a duty on hops, about Californian hops, about Los Angeles, where he had been.	Then he began to talk about a duty on hops, about Californian hops, about Los Angeles, where he had been.
3945_890_000014_000002	He fencing for a topic with which he might gain my affection.	He fencing for a topic with which he might gain my affection.
3945_890_000015_000000	And then, quite suddenly, in the bright light of the street, I saw Florence running.	And then, quite suddenly, in the bright light of the street, I saw Florence running.
3945_890_000015_000001	It was like that--I saw Florence running with a face whiter than paper and her hand on the black stuff over her heart.	It was like that-I saw Florence running with a face whiter than paper and her hand on the black stuff over her heart.
3945_890_000015_000002	I tell you, my own heart stood still; I tell you I could not move.	I tell you, my own heart stood still; I tell you I could not move.
3945_890_000015_000003	She rushed in at the swing doors.	She rushed in at the swing doors.
3945_890_000015_000004	She looked round that place of rush chairs, cane tables and newspapers.	She looked round that place of rush chairs, cane tables and newspapers.
3945_890_000015_000005	She saw me and opened her lips.	She saw me and opened her lips.
3945_890_000015_000006	She saw the man who was talking to me.	She saw the man who was talking to me.
3945_890_000015_000007	She stuck her hands over her face as if she wished to push her eyes out.	She stuck her hands over her face as if she wished to push her eyes out.
3945_890_000016_000000	I could not move; I could not stir a finger.	I could not move; I could not stir a finger.
3945_890_000017_000000	"By Jove: Florry Hurlbird." He turned upon me with an oily and uneasy sound meant for a laugh.	"By Jove: Florry Hurlbird." He turned upon me with an oily and uneasy sound meant for a laugh.
3945_890_000017_000001	He was really going to ingratiate himself with me.	He was really going to ingratiate himself with me.
3945_890_000017_000002	"Do you know who that is?" he asked.	"Do you know who that is?" he asked.
3945_890_000017_000003	"The last time I saw that girl she was coming out of the bedroom of a young man called Jimmy at five o'clock in the morning.	"The last time I saw that girl she was coming out of the bedroom of a young man called Jimmy at five o'clock in the morning.
3945_890_000017_000005	You saw her recognize me." He was standing on his feet, looking down at me.	You saw her recognize me." He was standing on his feet, looking down at me.
3945_890_000017_000006	I don't know what I looked like.	I don't know what I looked like.
3945_890_000017_000007	At any rate, he gave a sort of gurgle and then stuttered:	At any rate, he gave a sort of gurgle and then stuttered:
3945_890_000018_000000	"Oh, I say...." Those were the last words I ever heard of Mr Bagshawe's. A long time afterwards I pulled myself out of the lounge and went up to Florence's room.	"Oh, I say...." Those were the last words I ever heard of Mr Bagshawe's. A long time afterwards I pulled myself out of the lounge and went up to Florence's room.
3945_890_000018_000001	She had not locked the door--for the first time of our married life.	She had not locked the door-for the first time of our married life.
3945_890_000018_000002	She was lying, quite respectably arranged, unlike Mrs Maidan, on her bed.	She was lying, quite respectably arranged, unlike Mrs Maidan, on her bed.
3945_890_000018_000003	She had a little phial that rightly should have contained nitrate of amyl, in her right hand.	She had a little phial that rightly should have contained nitrate of amyl, in her right hand.
