2149_7235_000000_000000	THE LETTER OF PAUL TO THE COLOSSIANS.	THE LETTER OF PAUL TO THE colossians.	false	0.51	13.05	20.621641
2149_7235_000013_000000	(20)If ye died with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances, (21)"Handle not, nor taste, nor touch," (22)(which are all to perish with the using,) after the commandments and teachings of men? (23)Which things have indeed a show of wisdom in self-chosen worship, and humiliation, and neglecting of the body, not in any honor, for the satisfying of the flesh.	(twenty)If ye died with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances, (twenty one)"Handle not, nor taste, nor touch," (twenty two)(which are all to perish with the using,) after the commandments and teachings of men? (twenty three)Which things have indeed a show of wisdom in self chosen worship, and humiliation, and neglecting of the body, not in any honor, for the satisfying of the flesh.	false	383.19	411.27	19.606544
2149_7235_000014_000000	III.	three.	true	411.27	411.82	21.59255
2149_7235_000015_000000	IF then ye were raised together with Christ, seek the things above, where Christ is, sitting on the right hand of God. (2)Set your mind on the things above, not on the things upon the earth. (3)For ye died, and your life is hid with Christ in God. (4)When Christ, our life, shall be manifested, then will ye also with him be manifested in glory.	IF then ye were raised together with Christ, seek the things above, where Christ is, sitting on the right hand of God. (two)Set your mind on the things above, not on the things upon the earth. (three)For ye died, and your life is hid with Christ in God. (four)When Christ, our life, shall be manifested, then will ye also with him be manifested in glory.	false	412.31	434.46	20.74031
2149_7235_000016_000000	(5)Mortify therefore your members which are upon the earth; fornication, uncleanness, passion, evil desire, and covetousness, which is idolatry; (6)on account of which things the wrath of God comes on the sons of disobedience; (7)in which ye also once walked, when ye lived in these things. (8)But now, do ye also put all away, anger, wrath, malice, reviling, filthy communication out of your mouth. (9)Lie not one to another, seeing that ye have put off the old man with his deeds, (10)and have put on the new man, who is being renewed unto knowledge after the image of him who created him; (11)where there is no Greek and Jew, circumcision and uncircumcision, Barbarian, Scythian, bondman, freeman; but Christ is all, and in all.	(five)Mortify therefore your members which are upon the earth; fornication, uncleanness, passion, evil desire, and covetousness, which is idolatry; (six)on account of which things the wrath of God comes on the sons of disobedience; (seven)in which ye also once walked, when ye lived in these things. (eight)But now, do ye also put all away, anger, wrath, malice, reviling, filthy communication out of your mouth. (nine)Lie not one to another, seeing that ye have put off the old man with his deeds, (ten)and have put on the new man, who is being renewed unto knowledge after the image of him who created him; (eleven)where there is no Greek and Jew, circumcision and uncircumcision, Barbarian, Scythian, bondman, freeman; but Christ is all, and in all.	false	434.46	481.08	20
2149_7235_000017_000000	(12)Put on therefore, as God's chosen, holy and beloved, bowels of compassion, kindness, lowliness of mind, meekness, long-suffering, (13)forbearing one another, and freely forgiving each other, if any one have a complaint against any, even as Christ freely forgave you, so also do ye; (14)and over all these, love, which is the bond of perfectness. (15)And let the peace of Christ rule in your hearts, to which ye were also called in one body; and be thankful.	(twelve)Put on therefore, as God's chosen, holy and beloved, bowels of compassion, kindness, lowliness of mind, meekness, long suffering, (thirteen)forbearing one another, and freely forgiving each other, if any one have a complaint against any, even as Christ freely forgave you, so also do ye; (fourteen)and over all these, love, which is the bond of perfectness. (fifteen)And let the peace of Christ rule in your hearts, to which ye were also called in one body; and be thankful.	false	481.08	511.05	20.687536
2149_7235_000018_000000	(16)Let the word of Christ dwell in you richly; in all wisdom teaching and admonishing one another, with psalms, hymns, spiritual songs, in grace singing in your hearts to God. (17)And whatever ye do, in word or deed, do all in the name of the Lord Jesus, giving thanks to God the Father through him.	(sixteen)Let the word of Christ dwell in you richly; in all wisdom teaching and admonishing one another, with psalms, hymns, spiritual songs, in grace singing in your hearts to God. (seventeen)And whatever ye do, in word or deed, do all in the name of the Lord Jesus, giving thanks to God the Father through him.	false	511.05	531	19.899363
2149_7235_000019_000000	(18)Wives, submit yourselves to your own husbands, as is fitting in the Lord.	(eighteen)Wives, submit yourselves to your own husbands, as is fitting in the Lord.	false	531	535.92	20.866602
2149_7235_000020_000000	(19)Husbands, love your wives, and be not bitter toward them.	(nineteen)Husbands, love your wives, and be not bitter toward them.	false	535.92	539.73	20.939302
2149_7235_000021_000000	(20)Children, obey your parents in all things; for this is well pleasing, in the Lord.	(twenty)Children, obey your parents in all things; for this is well pleasing, in the Lord.	false	539.73	545.16	21.58949
2149_7235_000022_000000	(21)Fathers, provoke not your children, that they be not discouraged.	(twenty one)Fathers, provoke not your children, that they be not discouraged.	false	545.16	549.96	23.139841
2149_7235_000023_000000	(22)Servants, obey in all things your masters according to the flesh; not with eye-service, as men-pleasers, but in singleness of heart, fearing the Lord. (23)Whatever ye do, do it heartily, as to the Lord, and not to men; (24)knowing that from the Lord ye will receive the recompense of the inheritance.	(twenty two)Servants, obey in all things your masters according to the flesh; not with eye service, as men pleasers, but in singleness of heart, fearing the Lord. (twenty three)Whatever ye do, do it heartily, as to the Lord, and not to men; (twenty four)knowing that from the Lord ye will receive the recompense of the inheritance.	false	549.96	568.24	20.192501
2149_7235_000023_000001	Serve the Lord Christ. (25)For he that does wrong will receive that which he did wrongfully; and there is no respect of persons.	Serve the Lord Christ. (twenty five)For he that does wrong will receive that which he did wrongfully; and there is no respect of persons.	false	568.4	579.21	20.183598
2149_7235_000024_000000	(1)Masters, render to your servants that which is just and equal; knowing that ye also have a Master in heaven.	(one)Masters, render to your servants that which is just and equal; knowing that ye also have a Master in heaven.	false	579.21	587.16	20.523884
2149_7235_000025_000000	(2)Persevere in prayer, being watchful therein with thanksgiving; (3)at the same time praying also for us, that God would open to us a door for the word, to speak the mystery of Christ, for the sake of which I am also in bonds, (4)that I may make it manifest, as I ought to speak.	(two)Persevere in prayer, being watchful therein with thanksgiving; (three)at the same time praying also for us, that God would open to us a door for the word, to speak the mystery of Christ, for the sake of which I am also in bonds, (four)that I may make it manifest, as I ought to speak.	false	587.16	603.18	20.138401
2149_7235_000026_000000	(5)Walk in wisdom toward those without, redeeming the time. (6)Let your speech be always with grace, seasoned with salt, that ye may know how ye ought to answer every man.	(five)Walk in wisdom toward those without, redeeming the time. (six)Let your speech be always with grace, seasoned with salt, that ye may know how ye ought to answer every man.	false	603.18	614.1	21.710331
2149_7235_000027_000000	(7)All my affairs will Tychicus make known to you, the beloved brother, and a faithful minister and fellow-servant in the Lord; (8)whom I sent to you for this very purpose, that he may know your condition, and may comfort your hearts; (9)together with Onesimus, the faithful and beloved brother, who is one of you.	(seven)All my affairs will Tychicus make known to you, the beloved brother, and a faithful minister and fellow servant in the Lord; (eight)whom I sent to you for this very purpose, that he may know your condition, and may comfort your hearts; (nine)together with Onesimus, the faithful and beloved brother, who is one of you.	false	614.1	631.69	16
2149_7235_000027_000001	They will make known to you all the things here.	They will make known to you all the things here.	true	631.79	634.5	16
2149_7235_000028_000000	(10)Aristarchus my fellow-prisoner salutes you, and Mark the cousin of Barnabas, concerning whom ye received commands (if he come to you, receive him), (11)and Jesus, who is called Justus, who are of the circumcision.	(ten)Aristarchus my fellow prisoner salutes you, and Mark the cousin of Barnabas, concerning whom ye received commands (if he come to you, receive him), (eleven)and Jesus, who is called Justus, who are of the circumcision.	false	634.5	648.31	19.9284
2149_7235_000028_000001	These only are my fellow-workers, for the kingdom of God, who have been a comfort to me.	These only are my fellow workers, for the kingdom of God, who have been a comfort to me.	true	648.56	653.37	15
2149_7235_000029_000000	(12)Epaphras, who is one of you, a servant of Christ Jesus, salutes you, always striving for you in his prayers, that ye may stand perfect and fully assured in all the will of God. (13)For I bear him witness, that he has much concern[4:13] for you, and those in Laodicea, and those in Hierapolis.	(twelve)Epaphras, who is one of you, a servant of Christ Jesus, salutes you, always striving for you in his prayers, that ye may stand perfect and fully assured in all the will of God. (thirteen)For I bear him witness, that he has much concern[four thirteen] for you, and those in Laodicea, and those in Hierapolis.	false	653.37	671.01	19
2149_7235_000030_000000	(14)Luke, the beloved physician, and Demas, salute you.	(fourteen)luke, the beloved physician, and Demas, salute you.	false	671.01	674.64	19.356934
2149_7235_000031_000000	(15)Salute the brethren in Laodicea, and Nymphas, and the church in his house. (16)And when the letter has been read among you, cause that it be read also in the church of the Laodiceans, and that ye also read that from Laodicea. (17)And say to Archippus: Take heed to the ministry which thou didst receive in the Lord, that thou fulfill it.	(fifteen)Salute the brethren in Laodicea, and Nymphas, and the church in his house. (sixteen)And when the letter has been read among you, cause that it be read also in the church of the Laodiceans, and that ye also read that from Laodicea. (seventeen)And say to Archippus: Take heed to the ministry which thou didst receive in the Lord, that thou fulfill it.	false	674.64	718.26	18.559381
