6828_64738_000000_000000	CHAPTER XXIV	CHAPTER twenty four	false	10.77	26.385	23.211355
6828_64738_000003_000000	It happened that by some unlucky accident the merchant suddenly lost all his fortune, and had nothing left but a small cottage in the country. Upon this, he said to his daughters, while the tears ran down his cheeks all the time, "My children, we must now go and dwell in the cottage, and try to get a living by labour, for we have no other means of support." The two eldest replied that, for their parts, they did not know how to work, and would not leave town; for they had lovers enough who would be glad to marry them, though they had no longer any fortune.	It happened that by some unlucky accident the merchant suddenly lost all his fortune, and had nothing left but a small cottage in the country. Upon this, he said to his daughters, while the tears ran down his cheeks all the time, "My children, we must now go and dwell in the cottage, and try to get a living by labour, for we have no other means of support." The two eldest replied that, for their parts, they did not know how to work, and would not leave town; for they had lovers enough who would be glad to marry them, though they had no longer any fortune.	true	129.5	163.69	21.490566
6828_64738_000003_000001	But in this they were mistaken; for when the lovers heard what had happened, they said, "The girls were so proud and ill-tempered, that all we wanted was their fortune; we are not sorry at all to see their pride brought down. Let them give themselves airs to their cows and sheep." But every body pitied poor Beauty, because she was so sweet-tempered and kind to all that knew her; and several gentlemen offered to marry her, though she had not a penny; but Beauty still refused, and said she could not think of leaving her poor father in this trouble and would go and help him in his labours in the country.	But in this they were mistaken; for when the lovers heard what had happened, they said, "The girls were so proud and ill tempered, that all we wanted was their fortune; we are not sorry at all to see their pride brought down. Let them give themselves airs to their cows and sheep." But every body pitied poor Beauty, because she was so sweet tempered and kind to all that knew her; and several gentlemen offered to marry her, though she had not a penny; but Beauty still refused, and said she could not think of leaving her poor father in this trouble and would go and help him in his labours in the country.	false	163.88	198.82	21.642292
6828_64738_000003_000002	At first Beauty could not help sometimes crying in secret for the hardships she was now obliged to suffer; but in a very short time she said to herself, "All the crying in the world will do me no good, so I will try to be happy without a fortune."	At first Beauty could not help sometimes crying in secret for the hardships she was now obliged to suffer; but in a very short time she said to herself, "All the crying in the world will do me no good, so I will try to be happy without a fortune."	true	198.98	213.22	21.727274
6828_64738_000004_000000	When they had removed to their cottage, the merchant and his three sons employed themselves in ploughing and sowing the fields, and working in the garden.	When they had removed to their cottage, the merchant and his three sons employed themselves in ploughing and sowing the fields, and working in the garden.	true	213.59	221.83	20
6828_64738_000004_000001	Beauty also did her part, for she got up by four o'clock every morning, lighted the fires, cleaned the house, and got the breakfast for the whole family.	Beauty also did her part, for she got up by four o'clock every morning, lighted the fires, cleaned the house, and got the breakfast for the whole family.	true	221.99	230.89	22.211418
6828_64738_000004_000002	At first she found all this very hard; but she soon grew quite used to it, and thought it no hardship at all; and indeed the work greatly amended her health.	At first she found all this very hard; but she soon grew quite used to it, and thought it no hardship at all; and indeed the work greatly amended her health.	false	231.2	239.11	20.324883
6828_64738_000004_000003	When she had done, she used to amuse herself with reading, playing on her music, or singing while she spun.	When she had done, she used to amuse herself with reading, playing on her music, or singing while she spun.	true	239.36	245.98	19
6828_64738_000004_000004	But her two sisters were at a loss what to do to pass the time away: they had their breakfast in bed, and did not rise till ten o'clock.	But her two sisters were at a loss what to do to pass the time away: they had their breakfast in bed, and did not rise till ten o'clock.	true	246.17	254.325	23.04443
6828_64738_000004_000005	Then they commonly walked out; but always found themselves very soon tired; when they would often sit down under a shady tree, and grieve for the loss of their carriage and fine clothes, and say to each other, "What a mean-spirited poor stupid creature our young sister is, to be so content with our low way of life!" But their father thought in quite another way: he admired the patience of this sweet young creature; for her sisters not only left her to do the whole work of the house, but made game of her every moment.	Then they commonly walked out; but always found themselves very soon tired; when they would often sit down under a shady tree, and grieve for the loss of their carriage and fine clothes, and say to each other, "What a mean spirited poor stupid creature our young sister is, to be so content with our low way of life!" But their father thought in quite another way: he admired the patience of this sweet young creature; for her sisters not only left her to do the whole work of the house, but made game of her every moment.	false	254.325	286.84	22.244673
6828_64738_000005_000000	After they had lived in this manner about a year, the merchant received a letter, which informed him that one of the richest ships, which he thought was lost, had just come into port.	After they had lived in this manner about a year, the merchant received a letter, which informed him that one of the richest ships, which he thought was lost, had just come into port.	true	287.06	297.9	21.589182
6828_64738_000005_000001	This news made the two eldest sisters almost mad with joy; for they thought they should now leave the cottage, and have all their finery again.	This news made the two eldest sisters almost mad with joy; for they thought they should now leave the cottage, and have all their finery again.	true	297.9	305.715	23.603573
6828_64738_000005_000002	When they found that their father must take a journey to the ship, the two eldest begged he would not fail to bring them back some new gowns, caps, rings, and all sorts of trinkets.	When they found that their father must take a journey to the ship, the two eldest begged he would not fail to bring them back some new gowns, caps, rings, and all sorts of trinkets.	true	305.715	315.49	23
6828_64738_000005_000003	But Beauty asked for nothing; for she thought in herself that all the ship was worth would hardly buy every thing her sisters wished for.	But Beauty asked for nothing; for she thought in herself that all the ship was worth would hardly buy every thing her sisters wished for.	false	315.53	323.23	22
6828_64738_000005_000004	"Beauty," said the merchant, "how comes it about that you ask for nothing; what can I bring you, my child?" "Since you are so kind as to think of me, dear father," she answered, "I should be glad if you would bring me a rose, for we have none in our garden." Now Beauty did not indeed wish for a rose, nor any thing else, but she only said this, that she might not affront her sisters, for else they would have said she wanted her father to praise her for not asking him for any thing. The merchant took his leave of them and set out on his journey; but when he got to the ship, some persons went to law with him about the cargo, and after a deal of trouble, he came back to his cottage as poor as he had gone away.	"Beauty," said the merchant, "how comes it about that you ask for nothing; what can I bring you, my child?" "Since you are so kind as to think of me, dear father," she answered, "I should be glad if you would bring me a rose, for we have none in our garden." Now Beauty did not indeed wish for a rose, nor any thing else, but she only said this, that she might not affront her sisters, for else they would have said she wanted her father to praise her for not asking him for any thing. The merchant took his leave of them and set out on his journey; but when he got to the ship, some persons went to law with him about the cargo, and after a deal of trouble, he came back to his cottage as poor as he had gone away.	true	323.51	366.01	21.614662
6828_64738_000005_000005	When he was within thirty miles of his home, and thinking of the joy he should have in again meeting his children, his road lay through a thick forest, and he quite lost himself.	When he was within thirty miles of his home, and thinking of the joy he should have in again meeting his children, his road lay through a thick forest, and he quite lost himself.	false	366.59	374.28	19.134985
6828_64738_000005_000006	It rained and snowed very hard, and besides, the wind was so high as to throw him twice from his horse.	It rained and snowed very hard, and besides, the wind was so high as to throw him twice from his horse.	true	374.28	380.71	19
6828_64738_000005_000007	Night came on, and he thought to be sure he should die of cold and hunger, or be torn to pieces by the wolves that he heard howling round him.	Night came on, and he thought to be sure he should die of cold and hunger, or be torn to pieces by the wolves that he heard howling round him.	false	380.9	390.1	22.708902
6828_64738_000005_000008	All at once, he now cast his eyes towards a long row of trees, and saw a light at the end of them, but it seemed a great way off.	All at once, he now cast his eyes towards a long row of trees, and saw a light at the end of them, but it seemed a great way off.	true	390.59	398.8	21.806236
6828_64738_000005_000009	He made the best of his way towards it, and found that it came from a fine palace, lighted all over.	He made the best of his way towards it, and found that it came from a fine palace, lighted all over.	true	398.84	405.22	22.761835
6828_64738_000005_000010	He walked faster, and soon reached the gates, which he opened, and was very much surprised that he did not see a single person or creature in any of the yards.	He walked faster, and soon reached the gates, which he opened, and was very much surprised that he did not see a single person or creature in any of the yards.	true	405.23	414.55	22.90744
6828_64738_000005_000011	His horse had followed him, and finding a stable with the door open, went into it at once; and here the poor beast, being nearly starved, helped himself to a good meal of oats and hay.	His horse had followed him, and finding a stable with the door open, went into it at once; and here the poor beast, being nearly starved, helped himself to a good meal of oats and hay.	true	414.71	425.71	23
6828_64738_000005_000012	His master then tied him up, and walked towards the house, which he entered, but still without seeing a living creature.	His master then tied him up, and walked towards the house, which he entered, but still without seeing a living creature.	true	425.96	433.74	22.102406
6828_64738_000005_000013	He went on to a large hall, where he found a good fire, and a table covered with some very nice dishes, and only one plate with a knife and fork.	He went on to a large hall, where he found a good fire, and a table covered with some very nice dishes, and only one plate with a knife and fork.	true	433.74	442.3	20
6828_64738_000005_000014	As the snow and rain had wetted him to the skin, he went up to the fire to dry himself.	As the snow and rain had wetted him to the skin, he went up to the fire to dry himself.	true	442.34	447.04	20.481173
6828_64738_000005_000015	"I hope," said he, "the master of the house or his servants will excuse me, for to be sure it will not be long now before I see them." He waited a good time, but still nobody came: at last the clock struck eleven, and the merchant, being quite faint for the want of food, helped himself to a chicken, which he made but two mouthfuls of, and then to a few glasses of wine, yet all the time trembling with fear.	"I hope," said he, "the master of the house or his servants will excuse me, for to be sure it will not be long now before I see them." He waited a good time, but still nobody came: at last the clock struck eleven, and the merchant, being quite faint for the want of food, helped himself to a chicken, which he made but two mouthfuls of, and then to a few glasses of wine, yet all the time trembling with fear.	false	447.23	475.15	21.657217
6828_64738_000005_000016	He sat till the clock struck twelve, but did not see a single creature.	He sat till the clock struck twelve, but did not see a single creature.	true	475.28	479.83	24.468538
6828_64738_000005_000017	He now took courage, and began to think of looking a little more about him; so he opened a door at the end of the hall, and went through it into a very grand room, In which there was a fine bed; and as he was quite weak and tired, he shut the door, took off his clothes, and got into it.	He now took courage, and began to think of looking a little more about him; so he opened a door at the end of the hall, and went through it into a very grand room, In which there was a fine bed; and as he was quite weak and tired, he shut the door, took off his clothes, and got into it.	false	479.9	496.78	21.600143
6828_64738_000006_000000	It was ten o'clock in the morning before he thought of getting up, when he was amazed to see a handsome new suit of clothes laid ready for him, instead of his own, which he had spoiled.	It was ten o'clock in the morning before he thought of getting up, when he was amazed to see a handsome new suit of clothes laid ready for him, instead of his own, which he had spoiled.	false	496.91	507.01	21.702927
6828_64738_000006_000001	"To be sure," said he to himself, "this place belongs to some good fairy, who has taken pity on my ill luck." He looked out of the window, and, instead of snow, he saw the most charming arbours covered with all kinds of flowers.	"To be sure," said he to himself, "this place belongs to some good fairy, who has taken pity on my ill luck." He looked out of the window, and, instead of snow, he saw the most charming arbours covered with all kinds of flowers.	true	507.08	521.32	21.980673
6828_64738_000006_000002	He returned to the hall, where he had supped, and found a breakfast table, with some chocolate got ready for him.	He returned to the hall, where he had supped, and found a breakfast table, with some chocolate got ready for him.	true	521.42	527.95	20.886631
6828_64738_000006_000003	"Indeed, my good fairy," said the merchant aloud, "I am vastly obliged to you for your kind care of me." He then made a hearty breakfast, took his hat, and was going to the stable to pay his horse a visit; but as he passed under one of the arbours, which was loaded with roses, he thought of what Beauty had asked him to bring back to her, and so he took a bunch of roses to carry home.	"Indeed, my good fairy," said the merchant aloud, "I am vastly obliged to you for your kind care of me." He then made a hearty breakfast, took his hat, and was going to the stable to pay his horse a visit; but as he passed under one of the arbours, which was loaded with roses, he thought of what Beauty had asked him to bring back to her, and so he took a bunch of roses to carry home.	true	527.96	550.3	21.215742
6828_64738_000006_000004	At the same moment he heard a most shocking noise, and saw such a frightful beast coming towards him, that he was ready to drop with fear.	At the same moment he heard a most shocking noise, and saw such a frightful beast coming towards him, that he was ready to drop with fear.	true	550.49	558.55	23.22199
6828_64738_000006_000005	"Ungrateful man!" said the beast, in a terrible voice, "I have saved your life by letting you into my palace, and in return you steal my roses, which I value more than any thing else that belongs to me.	"Ungrateful man!" said the beast, in a terrible voice, "I have saved your life by letting you into my palace, and in return you steal my roses, which I value more than any thing else that belongs to me.	true	559.13	571.24	20
6828_64738_000006_000006	But you shall make amends for your fault with your life.	But you shall make amends for your fault with your life.	true	571.28	574.395	23.981647
6828_64738_000006_000007	You shall die in a quarter of an hour." The merchant fell on his knees to the beast, and clasping his hands, said, "My lord, I humbly beg your pardon.	You shall die in a quarter of an hour." The merchant fell on his knees to the beast, and clasping his hands, said, "My lord, I humbly beg your pardon.	true	574.395	582.96	21.838852
6828_64738_000006_000008	I did not think it would offend you to gather a rose for one of my daughters, who wished to have one." "I am not a lord, but a beast," replied the monster; "I do not like false compliments, but that people should say what they think: so do not fancy that you can coax me by any such ways.	I did not think it would offend you to gather a rose for one of my daughters, who wished to have one." "I am not a lord, but a beast," replied the monster; "I do not like false compliments, but that people should say what they think: so do not fancy that you can coax me by any such ways.	true	582.96	600.73	22.510647
6828_64738_000006_000009	You tell me that you have daughters; now I will pardon you, if one of them will agree to come and die instead of you.	You tell me that you have daughters; now I will pardon you, if one of them will agree to come and die instead of you.	true	600.89	607.69	20.884287
6828_64738_000006_000010	Go; and if your daughters should refuse, promise me that you yourself will return in three months."	Go; and if your daughters should refuse, promise me that you yourself will return in three months."	true	607.76	613.18	21.014267
6828_64738_000007_000000	The tender-hearted merchant had no thought of letting any one of his daughters die instead of him; but he knew that if he seemed to accept the beast's terms, he should at least have the pleasure of seeing them once again.	The tender hearted merchant had no thought of letting any one of his daughters die instead of him; but he knew that if he seemed to accept the beast's terms, he should at least have the pleasure of seeing them once again.	true	613.52	624.61	16
6828_64738_000007_000001	So he gave the beast his promise; and the beast told him he might then set off as soon as he liked.	So he gave the beast his promise; and the beast told him he might then set off as soon as he liked.	false	624.77	631.12	21.940895
6828_64738_000007_000002	"But," said the beast, "I do not wish you to go back empty-handed.	"But," said the beast, "I do not wish you to go back empty handed.	true	631.37	635.55	22.45694
6828_64738_000007_000003	Go to the room you slept in, and you will find a chest there; fill it with just what you like best, and I will get it taken to your own house for you,"	Go to the room you slept in, and you will find a chest there; fill it with just what you like best, and I will get it taken to your own house for you,"	false	635.55	644.32	23.4306
6828_64738_000007_000004	When the beast had said this, he went away; and the good merchant said to himself, "If I must die, yet I shall now have the comfort of leaving my children some riches," He returned to the room he had slept in, and found a great many pieces of gold.	When the beast had said this, he went away; and the good merchant said to himself, "If I must die, yet I shall now have the comfort of leaving my children some riches," He returned to the room he had slept in, and found a great many pieces of gold.	true	644.42	659.055	21.503733
6828_64738_000007_000005	He filled the chest with them to the very brim, locked it, and mounting his horse, left the palace as sorry as he had been glad when he first found it.	He filled the chest with them to the very brim, locked it, and mounting his horse, left the palace as sorry as he had been glad when he first found it.	false	659.055	667.54	20.6725
6828_64738_000007_000006	The horse took a path across the forest of his own accord, and in a few hours they reached the merchant's house.	The horse took a path across the forest of his own accord, and in a few hours they reached the merchant's house.	true	667.67	673.57	22.985865
6828_64738_000007_000007	His children came running round him as he got off his horse; but the merchant, instead of kissing them with joy, could not help crying as he looked at them.	His children came running round him as he got off his horse; but the merchant, instead of kissing them with joy, could not help crying as he looked at them.	true	673.67	681.79	20.707106
6828_64738_000007_000008	He held in his hand the bunch of roses, which he gave to Beauty, saying: "Take these roses, Beauty; but little do you think how dear they have cost your poor father;" and then he gave them an account of all that he had seen or heard in the palace of the beast.	He held in his hand the bunch of roses, which he gave to Beauty, saying: "Take these roses, Beauty; but little do you think how dear they have cost your poor father;" and then he gave them an account of all that he had seen or heard in the palace of the beast.	true	681.86	697.57	21.81072
6828_64738_000007_000009	The two eldest sisters now began to shed tears, and to lay the blame upon Beauty, who they said would be the cause of her father's death "See," said they, "what happens from the pride of the little wretch.	The two eldest sisters now began to shed tears, and to lay the blame upon Beauty, who they said would be the cause of her father's death "See," said they, "what happens from the pride of the little wretch.	true	697.67	710.8	20.202295
6828_64738_000007_000010	Why did not she ask for fine things as we did?	Why did not she ask for fine things as we did?	false	711.08	714.67	25.139397
6828_64738_000007_000011	But, to be sure, miss must not be like other people; and though she will be the cause of her father's death, yet she does not shed a tear." "It would be of no use," replied Beauty, "to weep for the death of my father, for he shall not die now. As the beast will accept of one of his daughters, I will give myself up to him; and think myself happy in being able at once to save his life, and prove my love for the best of fathers." "No, sister," said the three brothers, "you shall not die; we will go in search for this monster, and either he or we will perish." "Do not hope to kill him," said the merchant, "for his power is far too great for you to be able to do any such thing.	But, to be sure, miss must not be like other people; and though she will be the cause of her father's death, yet she does not shed a tear." "It would be of no use," replied Beauty, "to weep for the death of my father, for he shall not die now. As the beast will accept of one of his daughters, I will give myself up to him; and think myself happy in being able at once to save his life, and prove my love for the best of fathers." "No, sister," said the three brothers, "you shall not die; we will go in search for this monster, and either he or we will perish." "Do not hope to kill him," said the merchant, "for his power is far too great for you to be able to do any such thing.	false	714.95	756.915	21.736053
6828_64738_000007_000012	I am charmed with the kindness of Beauty, but I will not suffer her life to be lost.	I am charmed with the kindness of Beauty, but I will not suffer her life to be lost.	true	756.915	761.38	21.479605
6828_64738_000007_000013	I myself am old, and cannot expect to live much longer; so I shall but give up a few years of my life, and shall only grieve for the sake of my children." "Never, father," cried Beauty, "shall you go to the palace without me; for you cannot hinder my going after you.	I myself am old, and cannot expect to live much longer; so I shall but give up a few years of my life, and shall only grieve for the sake of my children." "Never, father," cried Beauty, "shall you go to the palace without me; for you cannot hinder my going after you.	true	761.45	778.44	20.867727
6828_64738_000007_000014	Though young, I am not over fond of life; and I would much rather be eaten up by the monster, than die of the grief your loss would give me." The merchant tried in vain to reason with Beauty, for she would go; which, in truth, made her two sisters glad, for they were jealous of her, because everybody loved her.	Though young, I am not over fond of life; and I would much rather be eaten up by the monster, than die of the grief your loss would give me." The merchant tried in vain to reason with Beauty, for she would go; which, in truth, made her two sisters glad, for they were jealous of her, because everybody loved her.	false	778.44	798.4	21.23945
6828_64738_000008_000000	The merchant was so grieved at the thoughts of losing his child, that he never once thought of the chest filled with gold; but at night, to his great surprise, he found it standing by his bedside.	The merchant was so grieved at the thoughts of losing his child, that he never once thought of the chest filled with gold; but at night, to his great surprise, he found it standing by his bedside.	true	798.8	811.6	22.375132
6828_64738_000008_000001	He said nothing about his riches to his eldest daughters, for he knew very well it would at once make them want to return to town; but he told Beauty his secret, and she then said, that while he was away, two gentlemen had been on a visit to their cottage, who had fallen in love with her two sisters.	He said nothing about his riches to his eldest daughters, for he knew very well it would at once make them want to return to town; but he told Beauty his secret, and she then said, that while he was away, two gentlemen had been on a visit to their cottage, who had fallen in love with her two sisters.	true	811.79	831.19	20.295702
6828_64738_000008_000002	She then begged her father to marry them without delay; for she was so sweet-tempered, that she loved them for all they had used her so ill, and forgave them with all her heart.	She then begged her father to marry them without delay; for she was so sweet tempered, that she loved them for all they had used her so ill, and forgave them with all her heart.	true	831.47	841.87	19
6828_64738_000008_000003	When the three months were past, the merchant and Beauty got ready to set out for the palace of the beast.	When the three months were past, the merchant and Beauty got ready to set out for the palace of the beast.	true	842.12	847.69	20.931688
6828_64738_000008_000004	Upon this, the two sisters rubbed their eyes with an onion, to make believe they shed a great many tears; but both the merchant and his sons cried in earnest.	Upon this, the two sisters rubbed their eyes with an onion, to make believe they shed a great many tears; but both the merchant and his sons cried in earnest.	false	847.82	857.68	19.63318
6828_64738_000008_000005	There was only Beauty who did not, for she thought that this would only make the matter worse.	There was only Beauty who did not, for she thought that this would only make the matter worse.	true	857.75	864.13	22.528162
6828_64738_000008_000006	They reached the palace in a very few hours, and the horse, without bidding, went into the same stable as before.	They reached the palace in a very few hours, and the horse, without bidding, went into the same stable as before.	true	864.29	871.66	20
6828_64738_000008_000007	The merchant and Beauty walked towards the large hall, where they found a table covered with every dainty, and two plates laid ready.	The merchant and Beauty walked towards the large hall, where they found a table covered with every dainty, and two plates laid ready.	true	871.76	880.3	24.545362
6828_64738_000008_000008	The merchant had very little appetite; but Beauty, that she might the better hide her grief, placed herself at the table, and helped her father; she then began herself to eat, and thought all the time that to be sure the beast had a mind to fatten her before he eat her up, as he had got such good cheer for her.	The merchant had very little appetite; but Beauty, that she might the better hide her grief, placed herself at the table, and helped her father; she then began herself to eat, and thought all the time that to be sure the beast had a mind to fatten her before he eat her up, as he had got such good cheer for her.	false	880.4	901.51	22.887888
6828_64738_000008_000009	When they had done their supper, they heard a great noise, and the good old man began to bid his poor child farewell, for he knew it was the beast coming to them.	When they had done their supper, they heard a great noise, and the good old man began to bid his poor child farewell, for he knew it was the beast coming to them.	false	901.97	912.4	20.422865
6828_64738_000008_000010	When Beauty first saw his frightful form, she could not help being afraid; but she tried to hide her fear as much as she could.	When Beauty first saw his frightful form, she could not help being afraid; but she tried to hide her fear as much as she could.	true	912.65	920.41	22.024584
6828_64738_000008_000011	The beast asked her if she had come quite of her own accord, and though she was now still more afraid than before, she made shift to say, "Y-e-s." "You are a good girl, and I think myself very much obliged to you." He then turned towards her father, and said to him, "Good man, you may leave the palace to-morrow morning, and take care never to come back to it again. Good night, Beauty." "Good night, beast," said she; and then the monster went out of the room.	The beast asked her if she had come quite of her own accord, and though she was now still more afraid than before, she made shift to say, "Y e s." "You are a good girl, and I think myself very much obliged to you." He then turned towards her father, and said to him, "Good man, you may leave the palace to morrow morning, and take care never to come back to it again. Good night, Beauty." "Good night, beast," said she; and then the monster went out of the room.	false	920.45	952.96	20.236712
6828_64738_000009_000000	"Ah! my dear child," said the merchant, kissing his daughter, "I am half dead already, at the thoughts of leaving you with this dreadful beast; you had better go back, and let me stay in your place." "No," said Beauty boldly, "I will never agree to that; you must go home to-morrow morning." They then wished each other good night, and went to bed, both of them thinking they should not be able to close their eyes; but as soon as ever they had laid down, they fell into a deep sleep, and did not wake till morning.	"Ah! my dear child," said the merchant, kissing his daughter, "I am half dead already, at the thoughts of leaving you with this dreadful beast; you had better go back, and let me stay in your place." "No," said Beauty boldly, "I will never agree to that; you must go home to morrow morning." They then wished each other good night, and went to bed, both of them thinking they should not be able to close their eyes; but as soon as ever they had laid down, they fell into a deep sleep, and did not wake till morning.	true	953.6	983.23	19.736067
6828_64738_000009_000001	Beauty dreamed that a lady came up to her, who said, "I am very much pleased, Beauty, with the goodness you have shown, in being willing to give your life to save that of your father; and it shall not go without a reward." As soon as Beauty awoke, she told her father this dream; but though it gave him some comfort, he could not take leave of his darling child without shedding many tears.	Beauty dreamed that a lady came up to her, who said, "I am very much pleased, Beauty, with the goodness you have shown, in being willing to give your life to save that of your father; and it shall not go without a reward." As soon as Beauty awoke, she told her father this dream; but though it gave him some comfort, he could not take leave of his darling child without shedding many tears.	true	983.69	1007.32	21.331015
6828_64738_000009_000002	When the merchant got out of sight, Beauty sat down in the large hall, and began to cry also; yet she had a great deal of courage, and so she soon resolved not to make her sad case still worse by sorrow, which she knew could not be of any use to her, but to wait as well as she could till night, when she thought the beast would not fail to come and eat her up. She walked about to take a view of all the palace, and the beauty of every part of it much charmed her.	When the merchant got out of sight, Beauty sat down in the large hall, and began to cry also; yet she had a great deal of courage, and so she soon resolved not to make her sad case still worse by sorrow, which she knew could not be of any use to her, but to wait as well as she could till night, when she thought the beast would not fail to come and eat her up. She walked about to take a view of all the palace, and the beauty of every part of it much charmed her.	false	1007.6	1038.4	21.323784
6828_64738_000010_000000	But what was her surprise, when she came to a door on which was written, _Beauty's room_!	But what was her surprise, when she came to a door on which was written, underscore Beauty's room underscore!	false	1038.92	1045.05	21.965761
6828_64738_000010_000001	She opened it in haste, and her eyes were all at once dazzled at the grandeur of the inside of the room.	She opened it in haste, and her eyes were all at once dazzled at the grandeur of the inside of the room.	true	1045.05	1051.69	21
6828_64738_000010_000002	What made her wonder more than all the rest was a large library filled with books, a harpsichord, and many other pieces of music.	What made her wonder more than all the rest was a large library filled with books, a harpsichord, and many other pieces of music.	true	1051.79	1061.59	20.723362
6828_64738_000010_000003	"The beast takes care I shall not be at a loss how to amuse myself," said she.	"The beast takes care I shall not be at a loss how to amuse myself," said she.	true	1061.72	1067.08	21.999384
6828_64738_000010_000004	She then thought that it was not likely such things would have been got ready for her, if she had but one day to live; and began to hope all would not turn out so bad as she and her father had feared.	She then thought that it was not likely such things would have been got ready for her, if she had but one day to live; and began to hope all would not turn out so bad as she and her father had feared.	true	1067.48	1079.56	20
6828_64738_000010_000005	She opened the library, and saw these verses written in letters of gold on the back of one of the books:	She opened the library, and saw these verses written in letters of gold on the back of one of the books:	true	1079.78	1086.37	21
6828_64738_000011_000000	"Beauteous lady, dry your tears, Here's no cause for sighs or fears; Command as freely as you may, Enjoyment still shall mark your sway."	"Beauteous lady, dry your tears, Here's no cause for sighs or fears; Command as freely as you may, Enjoyment still shall mark your sway."	true	1086.62	1099.18	20.840242
6828_64738_000012_000000	"Alas!" said she, sighing, "there is nothing I so much desire as to see my poor father and to know what he is doing at this moment," She said this to herself; but just then by chance, she cast her eyes on a looking-glass that stood near her, and in the glass she saw her home, and her father riding up to the cottage in the deepest sorrow.	"Alas!" said she, sighing, "there is nothing I so much desire as to see my poor father and to know what he is doing at this moment," She said this to herself; but just then by chance, she cast her eyes on a looking glass that stood near her, and in the glass she saw her home, and her father riding up to the cottage in the deepest sorrow.	true	1099.58	1122.45	20.408178
6828_64738_000012_000001	Her sisters came out to meet him, but for all they tried to look sorry, it was easy to see that in their hearts they were very glad.	Her sisters came out to meet him, but for all they tried to look sorry, it was easy to see that in their hearts they were very glad.	true	1122.45	1131.13	22.233074
6828_64738_000012_000002	In a short time all this picture went away out of the glass: but Beauty began to think that the beast was very kind to her, and that she had no need to be afraid of him.	In a short time all this picture went away out of the glass: but Beauty began to think that the beast was very kind to her, and that she had no need to be afraid of him.	true	1131.2	1141.18	19
6828_64738_000012_000003	About the middle of the day, she found a table laid ready for her; and a sweet concert of music played all the time she was eating her dinner without her seeing a single creature.	About the middle of the day, she found a table laid ready for her; and a sweet concert of music played all the time she was eating her dinner without her seeing a single creature.	true	1141.31	1151.56	18
6828_64738_000012_000004	But at supper, when she was going to seat herself at table, she heard the noise of the beast, and could not help trembling with fear.	But at supper, when she was going to seat herself at table, she heard the noise of the beast, and could not help trembling with fear.	true	1151.81	1159.48	21.695213
6828_64738_000012_000005	"Beauty," said he, "will you give me leave to see you sup?" "That is as you please," answered she, very much afraid.	"Beauty," said he, "will you give me leave to see you sup?" "That is as you please," answered she, very much afraid.	true	1160.06	1169.2	21.612078
6828_64738_000012_000006	"Not in the least," said the beast; "you alone command in this place.	"Not in the least," said the beast; "you alone command in this place.	true	1169.45	1173.67	20.66214
