1182_133396_000000_000000	IX.	IX.	false	18.75	19.065	-20
1182_133396_000005_000002	Dost thou think I am going to meddle in such a matter as this?	Dost thou think I am going to meddle in such a matter as this?	true	125.15	128.2	14
1182_133396_000005_000003	Listen! these proud Baron folk, with their masterful ways, drive our sort hither and thither; they beat us, they drive us, they kill us as they choose.	Listen! these proud Baron folk, with their masterful ways, drive our sort hither and thither; they beat us, they drive us, they kill us as they choose.	true	128.48	137.14	19.962547
1182_133396_000005_000004	Our lives are not as much to them as one of my black swine.	Our lives are not as much to them as one of my black swine.	true	137.42	141.54	17
1182_133396_000005_000005	Why should I trouble my head if they choose to lop and trim one another?	Why should I trouble my head if they choose to lop and trim one another?	true	141.54	145.09	13
1182_133396_000005_000006	The fewer there are of them the better for us, say I. We poor folk have a hard enough life of it without thrusting our heads into the noose to help them out of their troubles. What thinkest thou would happen to us if Baron Henry should hear of our betraying his affairs to the Red-beard?"	The fewer there are of them the better for us, say i We poor folk have a hard enough life of it without thrusting our heads into the noose to help them out of their troubles. What thinkest thou would happen to us if Baron Henry should hear of our betraying his affairs to the Red beard?"	false	145.73	163.18	20.373343
1182_133396_000006_000000	"Nay," said Katherine, "thou hast naught to do in the matter but to tell the Red-beard in what part of the castle the little Baron lies."	"Nay," said Katherine, "thou hast naught to do in the matter but to tell the Red beard in what part of the castle the little Baron lies."	false	164.09	172.98	20.788216
1182_133396_000007_000000	"And what good would that do?" said Fritz, the swineherd.	"And what good would that do?" said Fritz, the swineherd.	true	172.98	175.96	20.583101
1182_133396_000008_000000	"I know not," said Katherine, "but I have promised the little one that thou wouldst find the Baron Conrad and tell him that much."	"I know not," said Katherine, "but I have promised the little one that thou wouldst find the Baron Conrad and tell him that much."	false	176.3	182.65	15
1182_133396_000009_000000	"Thou hast promised a mare's egg," said her husband, angrily.	"Thou hast promised a mare's egg," said her husband, angrily.	false	183.14	186.4	21
1182_133396_000009_000001	"How shall I find the Baron Conrad to bear a message to him, when our Baron has been looking for him in vain for two days past?"	"How shall I find the Baron Conrad to bear a message to him, when our Baron has been looking for him in vain for two days past?"	true	186.47	194.07	20.498093
1182_133396_000010_000000	"Thou has found him once and thou mayst find him again," said Katherine, "for it is not likely that he will keep far away from here whilst his boy is in such sore need of help."	"Thou has found him once and thou mayst find him again," said Katherine, "for it is not likely that he will keep far away from here whilst his boy is in such sore need of help."	false	194.07	205.21	18.142645
1182_133396_000011_000000	"I will have nothing to do with it!" said Fritz, and he got up from the wooden block whereon he was sitting and stumped out of the house.	"I will have nothing to do with it!" said Fritz, and he got up from the wooden block whereon he was sitting and stumped out of the house.	true	206.12	213.25	22.156042
1182_133396_000011_000001	But, then, Katherine had heard him talk in that way before, and knew, in spite of his saying "no," that, sooner or later, he would do as she wished.	But, then, Katherine had heard him talk in that way before, and knew, in spite of his saying "no," that, sooner or later, he would do as she wished.	true	213.53	221.11	20
1182_133396_000012_000000	Two days later a very stout little one-eyed man, clad in a leathern jerkin and wearing a round leathern cap upon his head, came toiling up the path to the postern door of Trutz-Drachen, his back bowed under the burthen of a great peddler's pack.	Two days later a very stout little one eyed man, clad in a leathern jerkin and wearing a round leathern cap upon his head, came toiling up the path to the postern door of Trutz Drachen, his back bowed under the burthen of a great peddler's pack.	false	221.72	235.395	20
1182_133396_000012_000001	It was our old friend the one-eyed Hans, though even his brother would hardly have known him in his present guise, for, besides having turned peddler, he had grown of a sudden surprisingly fat.	It was our old friend the one eyed Hans, though even his brother would hardly have known him in his present guise, for, besides having turned peddler, he had grown of a sudden surprisingly fat.	false	235.395	246.64	19
1182_133396_000013_000000	Rap-tap-tap!	Rap tap tap!	true	247.55	248.85	23.436687
1182_133396_000013_000001	He knocked at the door with a knotted end of the crooked thorned staff upon which he leaned.	He knocked at the door with a knotted end of the crooked thorned staff upon which he leaned.	false	248.85	253.24	15
1182_133396_000013_000002	He waited for a while and then knocked again--rap-tap-tap!	He waited for a while and then knocked again-rap tap tap!	true	253.76	257.59	17
1182_133396_000014_000000	Presently, with a click, a little square wicket that pierced the door was opened, and a woman's face peered out through the iron bars.	Presently, with a click, a little square wicket that pierced the door was opened, and a woman's face peered out through the iron bars.	true	258.47	266.23	21.820835
1182_133396_000015_000000	The one-eyed Hans whipped off his leathern cap.	The one eyed Hans whipped off his leathern cap.	true	266.45	269.11	20.677944
1182_133396_000016_000000	"Good day, pretty one," said he, "and hast thou any need of glass beads, ribbons, combs, or trinkets?	"Good day, pretty one," said he, "and hast thou any need of glass beads, ribbons, combs, or trinkets?	false	269.51	275.62	21.562132
1182_133396_000016_000001	Here I am come all the way from Gruenstadt, with a pack full of such gay things as thou never laid eyes on before. Here be rings and bracelets and necklaces that might be of pure silver and set with diamonds and rubies, for anything that thy dear one could tell if he saw thee decked in them.	Here I am come all the way from Gruenstadt, with a pack full of such gay things as thou never laid eyes on before. Here be rings and bracelets and necklaces that might be of pure silver and set with diamonds and rubies, for anything that thy dear one could tell if he saw thee decked in them.	false	275.78	294.73	21.504618
1182_133396_000016_000002	And all are so cheap that thou hast only to say, 'I want them,' and they are thine."	And all are so cheap that thou hast only to say, 'I want them,' and they are thine."	false	294.98	301.05	20.148026
1182_133396_000017_000000	The frightened face at the window looked from right to left and from left to right.	The frightened face at the window looked from right to left and from left to right.	true	301.05	304.42	18
1182_133396_000017_000001	"Hush," said the girl, and laid her finger upon her lips. "There! thou hadst best get away from here, poor soul, as fast as thy legs can carry thee, for if the Lord Baron should find thee here talking secretly at the postern door, he would loose the wolf-hounds upon thee."	"Hush," said the girl, and laid her finger upon her lips. "There! thou hadst best get away from here, poor soul, as fast as thy legs can carry thee, for if the Lord Baron should find thee here talking secretly at the postern door, he would loose the wolf hounds upon thee."	false	304.61	317.79	17
1182_133396_000018_000000	"Prut," said one-eyed Hans, with a grin, "the Baron is too big a fly to see such a little gnat as I; but wolf-hounds or no wolf-hounds, I can never go hence without showing thee the pretty things that I have brought from the town, even though my stay be at the danger of my own hide."	"Prut," said one eyed Hans, with a grin, "the Baron is too big a fly to see such a little gnat as I; but wolf hounds or no wolf hounds, I can never go hence without showing thee the pretty things that I have brought from the town, even though my stay be at the danger of my own hide."	false	317.79	333.72	18.991428
1182_133396_000019_000000	He flung the pack from off his shoulders as he spoke and fell to unstrapping it, while the round face of the lass (her eyes big with curiosity) peered down at him through the grated iron bars.	He flung the pack from off his shoulders as he spoke and fell to unstrapping it, while the round face of the lass (her eyes big with curiosity) peered down at him through the grated iron bars.	true	333.72	344.89	19
1182_133396_000020_000000	Hans held up a necklace of blue and white beads that glistened like jewels in the sun, and from them hung a gorgeous filigree cross.	Hans held up a necklace of blue and white beads that glistened like jewels in the sun, and from them hung a gorgeous filigree cross.	true	345.89	354.25	20.387232
1182_133396_000020_000001	"Didst thou ever see a sweeter thing than this?" said he; "and look, here is a comb that even the silversmith would swear was pure silver all the way through." Then, in a soft, wheedling voice, "Canst thou not let me in, my little bird?	"Didst thou ever see a sweeter thing than this?" said he; "and look, here is a comb that even the silversmith would swear was pure silver all the way through." Then, in a soft, wheedling voice, "Canst thou not let me in, my little bird?	false	355.28	369.88	17
1182_133396_000020_000002	Sure there are other lasses besides thyself who would like to trade with a poor peddler who has travelled all the way from Gruenstadt just to please the pretty ones of Trutz-Drachen."	Sure there are other lasses besides thyself who would like to trade with a poor peddler who has travelled all the way from Gruenstadt just to please the pretty ones of Trutz Drachen."	false	370.16	380.31	15
1182_133396_000021_000000	"Nay," said the lass, in a frightened voice, "I cannot let thee in; I know not what the Baron would do to me, even now, if he knew that I was here talking to a stranger at the postern;" and she made as if she would clap to the little window in his face; but the one-eyed Hans thrust his staff betwixt the bars and so kept the shutter open.	"Nay," said the lass, in a frightened voice, "I cannot let thee in; I know not what the Baron would do to me, even now, if he knew that I was here talking to a stranger at the postern;" and she made as if she would clap to the little window in his face; but the one eyed Hans thrust his staff betwixt the bars and so kept the shutter open.	false	380.31	398.86	18.150562
1182_133396_000022_000000	"Nay, nay," said he, eagerly, "do not go away from me too soon.	"Nay, nay," said he, eagerly, "do not go away from me too soon.	false	399.05	402.78	18.62609
1182_133396_000022_000001	Look, dear one; seest thou this necklace?"	Look, dear one; seest thou this necklace?"	true	402.78	406.23	17.95841
1182_133396_000023_000000	"Aye," said she, looking hungrily at it.	"Aye," said she, looking hungrily at it.	false	406.23	409.51	21.121744
1182_133396_000024_000000	"Then listen; if thou wilt but let me into the castle, so that I may strike a trade, I will give it to thee for thine own without thy paying a barley corn for it."	"Then listen; if thou wilt but let me into the castle, so that I may strike a trade, I will give it to thee for thine own without thy paying a barley corn for it."	false	410.3	421.48	20.228193
1182_133396_000025_000000	The girl looked and hesitated, and then looked again; the temptation was too great.	The girl looked and hesitated, and then looked again; the temptation was too great.	true	422.12	426.43	19
1182_133396_000025_000001	There was a noise of softly drawn bolts and bars, the door was hesitatingly opened a little way, and, in a twinkling, the one-eyed Hans had slipped inside the castle, pack and all.	There was a noise of softly drawn bolts and bars, the door was hesitatingly opened a little way, and, in a twinkling, the one eyed Hans had slipped inside the castle, pack and all.	true	426.53	436.18	14
1182_133396_000026_000000	"The necklace," said the girl, in a frightened whisper.	"The necklace," said the girl, in a frightened whisper.	true	436.79	439.54	21.723604
1182_133396_000027_000000	Hans thrust it into her hand.	Hans thrust it into her hand.	true	440.27	442.18	18.563498
1182_133396_000027_000001	"It's thine," said he, "and now wilt thou not help me to a trade?"	"It's thine," said he, "and now wilt thou not help me to a trade?"	true	442.34	446.74	22.316568
1182_133396_000028_000000	"I will tell my sister that thou art here," said she, and away she ran from the little stone hallway, carefully bolting and locking the further door behind her.	"I will tell my sister that thou art here," said she, and away she ran from the little stone hallway, carefully bolting and locking the further door behind her.	true	447.35	456.19	19.21255
1182_133396_000029_000000	The door that the girl had locked was the only one that connected the postern hail with the castle.	The door that the girl had locked was the only one that connected the postern hail with the castle.	false	456.71	461.98	18
1182_133396_000030_000000	The one-eyed Hans stood looking after her.	The one eyed Hans stood looking after her.	true	462.44	464.71	17.52068
1182_133396_000030_000001	"Thou fool!" he muttered to himself, "to lock the door behind thee.	"Thou fool!" he muttered to himself, "to lock the door behind thee.	true	465.26	468.6	17
1182_133396_000030_000002	What shall I do next, I should like to know?	What shall I do next, I should like to know?	true	468.6	470.71	14
1182_133396_000030_000003	Here am I just as badly off as I was when I stood outside the walls.	Here am I just as badly off as I was when I stood outside the walls.	false	471.17	475.89	13
1182_133396_000030_000004	Thou hussy!	Thou hussy!	true	475.89	476.8	22.111166
1182_133396_000030_000005	If thou hadst but let me into the castle for only two little minutes, I would have found somewhere to have hidden myself while thy back was turned.	If thou hadst but let me into the castle for only two little minutes, I would have found somewhere to have hidden myself while thy back was turned.	false	477.26	483.87	11
1182_133396_000030_000006	But what shall I do now?" He rested his pack upon the floor and stood looking about him.	But what shall I do now?" He rested his pack upon the floor and stood looking about him.	true	483.87	488.77	18.973124
1182_133396_000031_000000	Built in the stone wall opposite to him, was a high, narrow fireplace without carving of any sort.	Built in the stone wall opposite to him, was a high, narrow fireplace without carving of any sort.	false	488.99	494.11	16
1182_133396_000031_000001	As Hans' one eye wandered around the bare stone space, his glance fell at last upon it, and there it rested.	As Hans' one eye wandered around the bare stone space, his glance fell at last upon it, and there it rested.	false	494.27	500.98	17
1182_133396_000031_000002	For a while he stood looking intently at it, presently he began rubbing his hand over his bristling chin in a thoughtful, meditative manner.	For a while he stood looking intently at it, presently he began rubbing his hand over his bristling chin in a thoughtful, meditative manner.	false	501.47	509.82	18.399588
1182_133396_000031_000003	Finally he drew a deep breath, and giving himself a shake as though to arouse himself from his thoughts, and after listening a moment or two to make sure that no one was nigh, he walked softly to the fireplace, and stooping, peered up the chimney.	Finally he drew a deep breath, and giving himself a shake as though to arouse himself from his thoughts, and after listening a moment or two to make sure that no one was nigh, he walked softly to the fireplace, and stooping, peered up the chimney.	true	509.82	523.39	19
1182_133396_000031_000004	Above him yawned a black cavernous depth, inky with the soot of years.	Above him yawned a black cavernous depth, inky with the soot of years.	false	524.36	528.85	20
1182_133396_000031_000005	Hans straightened himself, and tilting his leathern cap to one side, began scratching his bullet-head; at last he drew a long breath.	Hans straightened himself, and tilting his leathern cap to one side, began scratching his bullet head; at last he drew a long breath.	true	529.4	537.16	19.497808
1182_133396_000031_000006	"Yes, good," he muttered to himself; "he who jumps into the river must e'en swim the best he can.	"Yes, good," he muttered to himself; "he who jumps into the river must e'en swim the best he can.	true	537.23	543.55	19
1182_133396_000031_000007	It is a vile, dirty place to thrust one's self; but I am in for it now, and must make the best of a lame horse."	It is a vile, dirty place to thrust one's self; but I am in for it now, and must make the best of a lame horse."	true	543.77	549.64	16
1182_133396_000032_000000	He settled the cap more firmly upon his head, spat upon his hands, and once more stooping in the fireplace, gave a leap, and up the chimney he went with a rattle of loose mortar and a black trickle of soot.	He settled the cap more firmly upon his head, spat upon his hands, and once more stooping in the fireplace, gave a leap, and up the chimney he went with a rattle of loose mortar and a black trickle of soot.	true	550.94	562.45	21
1182_133396_000033_000000	By and by footsteps sounded outside the door.	By and by footsteps sounded outside the door.	true	562.91	565.78	21.792313
1182_133396_000033_000001	There was a pause; a hurried whispering of women's voices; the twitter of a nervous laugh, and then the door was pushed softly opens and the girl to whom the one-eyed Hans had given the necklace of blue and white beads with the filigree cross hanging from it, peeped uncertainly into the room.	There was a pause; a hurried whispering of women's voices; the twitter of a nervous laugh, and then the door was pushed softly opens and the girl to whom the one eyed Hans had given the necklace of blue and white beads with the filigree cross hanging from it, peeped uncertainly into the room.	false	566.39	581.17	16
1182_133396_000033_000002	Behind her broad, heavy face were three others, equally homely and stolid; for a while all four stood there, looking blankly into the room and around it.	Behind her broad, heavy face were three others, equally homely and stolid; for a while all four stood there, looking blankly into the room and around it.	true	581.48	590.44	18.911947
1182_133396_000033_000003	Nothing was there but the peddler's knapsack lying in the middle of the floor-the man was gone.	Nothing was there but the peddler's knapsack lying in the middle of the floor the man was gone.	true	590.9	596.26	19.662432
1182_133396_000033_000004	The light of expectancy slowly faded Out of the girl's face, and in its place succeeded first bewilderment and then dull alarm.	The light of expectancy slowly faded Out of the girl's face, and in its place succeeded first bewilderment and then dull alarm.	true	596.78	604.42	16
1182_133396_000033_000005	"But, dear heaven," she said, "where then has the peddler man gone?"	"But, dear heaven," she said, "where then has the peddler man gone?"	true	605.24	609.49	19.69449
1182_133396_000034_000000	A moment or two of silence followed her speech.	A moment or two of silence followed her speech.	true	610.76	613.06	19
1182_133396_000034_000001	"Perhaps," said one of the others, in a voice hushed with awe, "perhaps it was the evil one himself to whom thou didst open the door."	"Perhaps," said one of the others, in a voice hushed with awe, "perhaps it was the evil one himself to whom thou didst open the door."	false	613.64	620.2	19.933464
1182_133396_000035_000000	Again there was a hushed and breathless pause; it was the lass who had let Hans in at the postern, who next spoke.	Again there was a hushed and breathless pause; it was the lass who had let Hans in at the postern, who next spoke.	false	620.9	627.52	18.263308
1182_133396_000036_000000	"Yes," said she, in a voice trembling with fright at what she had done, "yes, it must have been the evil one, for now I remember he had but one eye." The four girls crossed themselves, and their eyes grew big and round with the fright.	"Yes," said she, in a voice trembling with fright at what she had done, "yes, it must have been the evil one, for now I remember he had but one eye." The four girls crossed themselves, and their eyes grew big and round with the fright.	true	628.25	641.77	18.996962
1182_133396_000037_000000	Suddenly a shower of mortar came rattling down the chimney.	Suddenly a shower of mortar came rattling down the chimney.	true	642.17	645.66	20.210627
1182_133396_000037_000001	"Ach!" cried the four, as with one voice.	"Ach!" cried the four, as with one voice.	false	645.66	649.38	20.002438
1182_133396_000037_000002	Bang! the door was clapped to and away they scurried like a flock of frightened rabbits.	Bang! the door was clapped to and away they scurried like a flock of frightened rabbits.	true	649.38	653.8	21.622656
1182_133396_000038_000000	When Jacob, the watchman, came that way an hour later, upon his evening round of the castle, he found a peddler's knapsack lying in the middle of the floor.	When Jacob, the watchman, came that way an hour later, upon his evening round of the castle, he found a peddler's knapsack lying in the middle of the floor.	true	654.11	661.81	17
1182_133396_000038_000001	He turned it over with his pike-staff and saw that it was full of beads and trinkets and ribbons.	He turned it over with his pike staff and saw that it was full of beads and trinkets and ribbons.	false	662.21	679.05	19.636087
