2785_163322_000000_000000	CHAPTER V. Wool and Water	CHAPTER five Wool and Water	true	21.945	24.61	18.311455
2785_163322_000011_000000	Alice carefully released the brush, and did her best to get the hair into order.	Alice carefully released the brush, and did her best to get the hair into order.	true	148.79	153.73	22
2785_163322_000011_000001	'Come, you look rather better now!' she said, after altering most of the pins.	'Come, you look rather better now!' she said, after altering most of the pins.	true	153.8	159.19	20.51125
2785_163322_000011_000002	'But really you should have a lady's maid!'	'But really you should have a lady's maid!'	true	159.41	162.22	19.285213
2785_163322_000012_000000	'I'm sure I'll take you with pleasure!' the Queen said.	'I'm sure I'll take you with pleasure!' the Queen said.	false	162.23	165.58	21.117214
2785_163322_000012_000001	'Twopence a week, and jam every other day.'	'Twopence a week, and jam every other day.'	true	165.83	168.7	21.692871
2785_163322_000013_000000	Alice couldn't help laughing, as she said, 'I don't want you to hire ME--and I don't care for jam.'	Alice couldn't help laughing, as she said, 'I don't want you to hire m e-and I don't care for jam.'	false	168.92	176.26	20.130646
2785_163322_000014_000000	'It's very good jam,' said the Queen.	'It's very good jam,' said the Queen.	true	176.69	179.14	23.261055
2785_163322_000015_000000	'Well, I don't want any TO-DAY, at any rate.'	'Well, I don't want any TO DAY, at any rate.'	true	179.48	182.62	22.117405
2785_163322_000016_000000	'You couldn't have it if you DID want it,' the Queen said.	'You couldn't have it if you DID want it,' the Queen said.	true	182.75	186.27	19.633476
2785_163322_000016_000001	'The rule is, jam to-morrow and jam yesterday--but never jam to-day.'	'The rule is, jam to morrow and jam yesterday-but never jam to day.'	true	186.27	191.46	19.728844
2785_163322_000017_000000	'It MUST come sometimes to "jam to-day,"' Alice objected.	'It MUST come sometimes to "jam to day,"' Alice objected.	true	191.46	195.39	21.420273
2785_163322_000018_000000	'No, it can't,' said the Queen.	'No, it can't,' said the Queen.	false	195.39	197.535	22.441431
2785_163322_000018_000001	'It's jam every OTHER day: to-day isn't any OTHER day, you know.'	'It's jam every OTHER day: to day isn't any OTHER day, you know.'	false	197.535	202.21	22.216492
2785_163322_000019_000000	'I don't understand you,' said Alice. 'It's dreadfully confusing!'	'I don't understand you,' said Alice. 'It's dreadfully confusing!'	true	202.79	207.22	21.152243
2785_163322_000020_000000	'That's the effect of living backwards,' the Queen said kindly: 'it always makes one a little giddy at first--'	'That's the effect of living backwards,' the Queen said kindly: 'it always makes one a little giddy at first-'	true	207.71	214.54	21.012642
2785_163322_000021_000000	'Living backwards!' Alice repeated in great astonishment.	'Living backwards!' Alice repeated in great astonishment.	true	214.85	218.62	19.93076
2785_163322_000021_000001	'I never heard of such a thing!'	'I never heard of such a thing!'	true	218.69	220.72	18.446447
2785_163322_000022_000000	'--but there's one great advantage in it, that one's memory works both ways.'	'--but there's one great advantage in it, that one's memory works both ways.'	true	221.12	226.12	19.349657
2785_163322_000023_000000	'I'm sure MINE only works one way,' Alice remarked.	'I'm sure MINE only works one way,' Alice remarked.	true	226.13	229.78	17.1408
2785_163322_000023_000001	'I can't remember things before they happen.'	'I can't remember things before they happen.'	true	229.97	232.59	20
2785_163322_000024_000000	'It's a poor sort of memory that only works backwards,' the Queen remarked.	'It's a poor sort of memory that only works backwards,' the Queen remarked.	true	232.59	237.04	21.329973
2785_163322_000025_000000	'What sort of things do YOU remember best?' Alice ventured to ask.	'What sort of things do YOU remember best?' Alice ventured to ask.	true	237.59	242.14	21.571417
2785_163322_000026_000000	'Oh, things that happened the week after next,' the Queen replied in a careless tone.	'Oh, things that happened the week after next,' the Queen replied in a careless tone.	false	242.51	248.2	20.886978
2785_163322_000026_000001	'For instance, now,' she went on, sticking a large piece of plaster [band-aid] on her finger as she spoke, 'there's the King's Messenger.	'For instance, now,' she went on, sticking a large piece of plaster [band aid] on her finger as she spoke, 'there's the King's Messenger.	false	248.27	258.01	22.142044
2785_163322_000026_000002	He's in prison now, being punished: and the trial doesn't even begin till next Wednesday: and of course the crime comes last of all.'	He's in prison now, being punished: and the trial doesn't even begin till next Wednesday: and of course the crime comes last of all.'	false	258.44	267.58	19.163193
2785_163322_000027_000000	'Suppose he never commits the crime?' said Alice.	'Suppose he never commits the crime?' said Alice.	true	268.04	271.21	20.729961
2785_163322_000028_000000	'That would be all the better, wouldn't it?' the Queen said, as she bound the plaster round her finger with a bit of ribbon.	'That would be all the better, wouldn't it?' the Queen said, as she bound the plaster round her finger with a bit of ribbon.	true	271.61	278.17	17.990185
2785_163322_000029_000000	Alice felt there was no denying THAT. 'Of course it would be all the better,' she said: 'but it wouldn't be all the better his being punished.'	Alice felt there was no denying THAT. 'Of course it would be all the better,' she said: 'but it wouldn't be all the better his being punished.'	true	278.21	287.32	20.191967
2785_163322_000030_000000	'You're wrong THERE, at any rate,' said the Queen: 'were YOU ever punished?'	'You're wrong THERE, at any rate,' said the Queen: 'were YOU ever punished?'	true	287.6	292.75	19.581375
2785_163322_000031_000000	'Only for faults,' said Alice.	'Only for faults,' said Alice.	true	292.82	294.91	22.208883
2785_163322_000032_000000	'And you were all the better for it, I know!' the Queen said triumphantly.	'And you were all the better for it, I know!' the Queen said triumphantly.	false	295.01	299.02	19
2785_163322_000033_000000	'Yes, but then I HAD done the things I was punished for,' said Alice: 'that makes all the difference.'	'Yes, but then I HAD done the things I was punished for,' said Alice: 'that makes all the difference.'	true	299.18	306.16	21.444178
2785_163322_000034_000000	'But if you HADN'T done them,' the Queen said, 'that would have been better still; better, and better, and better!' Her voice went higher with each 'better,' till it got quite to a squeak at last.	'But if you HADN'T done them,' the Queen said, 'that would have been better still; better, and better, and better!' Her voice went higher with each 'better,' till it got quite to a squeak at last.	true	306.83	319.81	20.064123
2785_163322_000035_000000	Alice was just beginning to say 'There's a mistake somewhere--,' when the Queen began screaming so loud that she had to leave the sentence unfinished.	Alice was just beginning to say 'There's a mistake somewhere-,' when the Queen began screaming so loud that she had to leave the sentence unfinished.	true	319.97	329.86	23.289293
2785_163322_000035_000001	'Oh, oh, oh!' shouted the Queen, shaking her hand about as if she wanted to shake it off.	'Oh, oh, oh!' shouted the Queen, shaking her hand about as if she wanted to shake it off.	false	329.96	335.985	21.52971
2785_163322_000035_000002	'My finger's bleeding!	'My finger's bleeding!	true	335.985	337.425	17
2785_163322_000035_000003	Oh, oh, oh, oh!'	Oh, oh, oh, oh!'	false	337.425	339.915	21.287487
2785_163322_000036_000000	Her screams were so exactly like the whistle of a steam-engine, that Alice had to hold both her hands over her ears.	Her screams were so exactly like the whistle of a steam engine, that Alice had to hold both her hands over her ears.	false	339.915	348.67	20.657974
2785_163322_000037_000000	'What IS the matter?' she said, as soon as there was a chance of making herself heard.	'What IS the matter?' she said, as soon as there was a chance of making herself heard.	true	349.22	354.4	20.354336
2785_163322_000037_000001	'Have you pricked your finger?'	'Have you pricked your finger?'	true	354.41	356.265	23.655182
2785_163322_000038_000000	'I haven't pricked it YET,' the Queen said, 'but I soon shall--oh, oh, oh!'	'I haven't pricked it YET,' the Queen said, 'but I soon shall-oh, oh, oh!'	false	356.265	363.21	23.191444
2785_163322_000039_000000	'When do you expect to do it?' Alice asked, feeling very much inclined to laugh.	'When do you expect to do it?' Alice asked, feeling very much inclined to laugh.	false	363.21	368.11	22.20852
2785_163322_000040_000000	'When I fasten my shawl again,' the poor Queen groaned out: 'the brooch will come undone directly.	'When I fasten my shawl again,' the poor Queen groaned out: 'the brooch will come undone directly.	true	368.48	375.345	18.76087
2785_163322_000040_000001	Oh, oh!' As she said the words the brooch flew open, and the Queen clutched wildly at it, and tried to clasp it again.	Oh, oh!' As she said the words the brooch flew open, and the Queen clutched wildly at it, and tried to clasp it again.	false	375.345	383.47	22.931295
2785_163322_000041_000000	'Take care!' cried Alice. 'You're holding it all crooked!' And she caught at the brooch; but it was too late: the pin had slipped, and the Queen had pricked her finger.	'Take care!' cried Alice. 'You're holding it all crooked!' And she caught at the brooch; but it was too late: the pin had slipped, and the Queen had pricked her finger.	false	383.66	393.825	22.558434
2785_163322_000042_000000	'That accounts for the bleeding, you see,' she said to Alice with a smile.	'That accounts for the bleeding, you see,' she said to Alice with a smile.	true	393.825	398.2	22.373646
2785_163322_000042_000001	'Now you understand the way things happen here.'	'Now you understand the way things happen here.'	true	398.54	401.53	17.36691
2785_163322_000043_000000	'But why don't you scream now?' Alice asked, holding her hands ready to put over her ears again.	'But why don't you scream now?' Alice asked, holding her hands ready to put over her ears again.	true	401.63	407.86	20.841413
2785_163322_000044_000000	'Why, I've done all the screaming already,' said the Queen. 'What would be the good of having it all over again?'	'Why, I've done all the screaming already,' said the Queen. 'What would be the good of having it all over again?'	true	408.17	414.55	20.93761
2785_163322_000045_000000	By this time it was getting light.	By this time it was getting light.	true	414.59	417.01	24.489336
2785_163322_000045_000001	'The crow must have flown away, I think,' said Alice: 'I'm so glad it's gone.	'The crow must have flown away, I think,' said Alice: 'I'm so glad it's gone.	true	417.41	422.17	20
2785_163322_000045_000002	I thought it was the night coming on.'	I thought it was the night coming on.'	false	422.21	424.83	23.04444
2785_163322_000046_000000	'I wish _I_ could manage to be glad!' the Queen said.	'I wish underscore I underscore could manage to be glad!' the Queen said.	false	424.83	428.02	22
2785_163322_000046_000001	'Only I never can remember the rule.	'Only I never can remember the rule.	true	428.33	430.81	20
2785_163322_000046_000002	You must be very happy, living in this wood, and being glad whenever you like!'	You must be very happy, living in this wood, and being glad whenever you like!'	true	430.94	435.88	19
2785_163322_000047_000000	'Only it is so VERY lonely here!' Alice said in a melancholy voice; and at the thought of her loneliness two large tears came rolling down her cheeks.	'Only it is so VERY lonely here!' Alice said in a melancholy voice; and at the thought of her loneliness two large tears came rolling down her cheeks.	true	435.92	446.74	18
2785_163322_000048_000000	'Oh, don't go on like that!' cried the poor Queen, wringing her hands in despair.	'Oh, don't go on like that!' cried the poor Queen, wringing her hands in despair.	true	447.32	451.84	20
2785_163322_000048_000001	'Consider what a great girl you are.	'Consider what a great girl you are.	true	452.12	454.72	21
2785_163322_000048_000002	Consider what a long way you've come to-day.	Consider what a long way you've come to day.	true	454.79	457.51	17
2785_163322_000048_000003	Consider what o'clock it is.	Consider what o'clock it is.	true	457.7	460.3	23.46398
2785_163322_000048_000004	Consider anything, only don't cry!'	Consider anything, only don't cry!'	true	460.4	463.36	20.275799
2785_163322_000049_000000	Alice could not help laughing at this, even in the midst of her tears. 'Can YOU keep from crying by considering things?' she asked.	Alice could not help laughing at this, even in the midst of her tears. 'Can YOU keep from crying by considering things?' she asked.	true	463.73	472.81	20.8656
2785_163322_000050_000000	'That's the way it's done,' the Queen said with great decision: 'nobody can do two things at once, you know.	'That's the way it's done,' the Queen said with great decision: 'nobody can do two things at once, you know.	false	473.27	479.59	22.338814
2785_163322_000050_000001	Let's consider your age to begin with--how old are you?'	Let's consider your age to begin with-how old are you?'	true	479.63	483.16	22.894312
2785_163322_000051_000000	'I'm seven and a half exactly.'	'I'm seven and a half exactly.'	true	483.59	486.04	21.811798
2785_163322_000052_000000	'You needn't say "exactually,"' the Queen remarked: 'I can believe it without that.	'You needn't say "exactually,"' the Queen remarked: 'I can believe it without that.	false	486.44	492.04	22.14325
2785_163322_000052_000001	Now I'll give YOU something to believe.	Now I'll give YOU something to believe.	true	492.41	495.315	18.719063
2785_163322_000052_000002	I'm just one hundred and one, five months and a day.'	I'm just one hundred and one, five months and a day.'	false	495.315	498.79	20.831448
2785_163322_000053_000000	'I can't believe THAT!' said Alice.	'I can't believe THAT!' said Alice.	true	499.04	502.39	21.680937
2785_163322_000054_000000	'Can't you?' the Queen said in a pitying tone.	'Can't you?' the Queen said in a pitying tone.	true	502.46	505.48	20.238832
2785_163322_000054_000001	'Try again: draw a long breath, and shut your eyes.'	'Try again: draw a long breath, and shut your eyes.'	false	505.85	509.47	22.272322
2785_163322_000055_000000	Alice laughed.	Alice laughed.	true	509.99	511.275	21.170443
2785_163322_000055_000001	'There's no use trying,' she said: 'one CAN'T believe impossible things.'	'There's no use trying,' she said: 'one CAN'T believe impossible things.'	true	511.275	515.92	18
2785_163322_000056_000000	'I daresay you haven't had much practice,' said the Queen. 'When I was your age, I always did it for half-an-hour a day.	'I daresay you haven't had much practice,' said the Queen. 'When I was your age, I always did it for half an hour a day.	true	516.35	524.32	21.606916
2785_163322_000056_000001	Why, sometimes I've believed as many as six impossible things before breakfast.	Why, sometimes I've believed as many as six impossible things before breakfast.	true	524.51	530.2	20.132212
2785_163322_000056_000002	There goes the shawl again!'	There goes the shawl again!'	true	530.66	532.45	20.665487
2785_163322_000057_000000	The brooch had come undone as she spoke, and a sudden gust of wind blew the Queen's shawl across a little brook.	The brooch had come undone as she spoke, and a sudden gust of wind blew the Queen's shawl across a little brook.	false	533.12	540.34	22.157816
2785_163322_000057_000001	The Queen spread out her arms again, and went flying after it, and this time she succeeded in catching it for herself.	The Queen spread out her arms again, and went flying after it, and this time she succeeded in catching it for herself.	true	540.53	547.96	21.534225
2785_163322_000057_000002	'I've got it!' she cried in a triumphant tone.	'I've got it!' she cried in a triumphant tone.	true	548	551.2	19.880526
2785_163322_000057_000003	'Now you shall see me pin it on again, all by myself!'	'Now you shall see me pin it on again, all by myself!'	true	551.3	555.46	19.424543
2785_163322_000058_000000	'Then I hope your finger is better now?' Alice said very politely, as she crossed the little brook after the Queen.	'Then I hope your finger is better now?' Alice said very politely, as she crossed the little brook after the Queen.	true	555.71	562.36	21.620852
2785_163322_000059_000000	'Oh, much better!' cried the Queen, her voice rising to a squeak as she went on.	'Oh, much better!' cried the Queen, her voice rising to a squeak as she went on.	true	562.46	567.7	20.707651
2785_163322_000059_000001	'Much be-etter!	'Much be etter!	false	568.13	569.07	23.896027
2785_163322_000059_000002	Be-etter!	Be etter!	false	569.07	569.52	9.790601
2785_163322_000059_000003	Be-e-e-etter!	Be e e etter!	false	569.52	571.47	24
2785_163322_000059_000004	Be-e-ehh!' The last word ended in a long bleat, so like a sheep that Alice quite started.	Be e e h h!' The last word ended in a long bleat, so like a sheep that Alice quite started.	false	571.47	579.945	22.116024
2785_163322_000060_000000	She looked at the Queen, who seemed to have suddenly wrapped herself up in wool.	She looked at the Queen, who seemed to have suddenly wrapped herself up in wool.	true	579.945	584.2	21.444643
2785_163322_000060_000001	Alice rubbed her eyes, and looked again.	Alice rubbed her eyes, and looked again.	true	584.24	586.6	21.260796
2785_163322_000060_000002	She couldn't make out what had happened at all.	She couldn't make out what had happened at all.	true	586.79	589.36	23.318953
2785_163322_000060_000003	Was she in a shop?	Was she in a shop?	false	589.55	591.015	18.230904
2785_163322_000060_000004	And was that really--was it really a SHEEP that was sitting on the other side of the counter?	And was that really-was it really a SHEEP that was sitting on the other side of the counter?	true	591.015	596.97	23.672632
2785_163322_000060_000005	Rub as she could, she could make nothing more of it: she was in a little dark shop, leaning with her elbows on the counter, and opposite to her was an old Sheep, sitting in an arm-chair knitting, and every now and then leaving off to look at her through a great pair of spectacles.	Rub as she could, she could make nothing more of it: she was in a little dark shop, leaning with her elbows on the counter, and opposite to her was an old Sheep, sitting in an arm chair knitting, and every now and then leaving off to look at her through a great pair of spectacles.	false	596.97	617.17	19.40896
2785_163322_000061_000000	'What is it you want to buy?' the Sheep said at last, looking up for a moment from her knitting.	'What is it you want to buy?' the Sheep said at last, looking up for a moment from her knitting.	true	617.3	622.89	23.515059
2785_163322_000062_000000	'I don't QUITE know yet,' Alice said, very gently.	'I don't QUITE know yet,' Alice said, very gently.	true	622.89	627.1	21.578388
2785_163322_000062_000001	'I should like to look all round me first, if I might.'	'I should like to look all round me first, if I might.'	true	627.59	631.36	20
2785_163322_000063_000000	'You may look in front of you, and on both sides, if you like,' said the Sheep: 'but you can't look ALL round you--unless you've got eyes at the back of your head.'	'You may look in front of you, and on both sides, if you like,' said the Sheep: 'but you can't look ALL round you-unless you've got eyes at the back of your head.'	false	631.88	641.98	20.54188
2785_163322_000064_000000	But these, as it happened, Alice had NOT got: so she contented herself with turning round, looking at the shelves as she came to them.	But these, as it happened, Alice had NOT got: so she contented herself with turning round, looking at the shelves as she came to them.	false	642.08	650.865	21.284842
2785_163322_000065_000000	The shop seemed to be full of all manner of curious things--but the oddest part of it all was, that whenever she looked hard at any shelf, to make out exactly what it had on it, that particular shelf was always quite empty: though the others round it were crowded as full as they could hold.	The shop seemed to be full of all manner of curious things-but the oddest part of it all was, that whenever she looked hard at any shelf, to make out exactly what it had on it, that particular shelf was always quite empty: though the others round it were crowded as full as they could hold.	false	650.865	671.355	21.002218
2785_163322_000066_000000	'Things flow about so here!' she said at last in a plaintive tone, after she had spent a minute or so in vainly pursuing a large bright thing, that looked sometimes like a doll and sometimes like a work-box, and was always in the shelf next above the one she was looking at.	'Things flow about so here!' she said at last in a plaintive tone, after she had spent a minute or so in vainly pursuing a large bright thing, that looked sometimes like a doll and sometimes like a work box, and was always in the shelf next above the one she was looking at.	true	671.355	690.16	19.763226
2785_163322_000066_000001	'And this one is the most provoking of all--but I'll tell you what--' she added, as a sudden thought struck her, 'I'll follow it up to the very top shelf of all.	'And this one is the most provoking of all-but I'll tell you what-' she added, as a sudden thought struck her, 'I'll follow it up to the very top shelf of all.	true	690.83	700.51	20.552345
2785_163322_000066_000002	It'll puzzle it to go through the ceiling, I expect!'	It'll puzzle it to go through the ceiling, I expect!'	true	700.79	704.01	20.606785
2785_163322_000067_000000	But even this plan failed: the 'thing' went through the ceiling as quietly as possible, as if it were quite used to it.	But even this plan failed: the 'thing' went through the ceiling as quietly as possible, as if it were quite used to it.	false	704.01	712.95	19.196415
2785_163322_000068_000000	'Are you a child or a teetotum?' the Sheep said, as she took up another pair of needles.	'Are you a child or a teetotum?' the Sheep said, as she took up another pair of needles.	true	712.95	720.58	25.060314
2785_163322_000068_000001	'You'll make me giddy soon, if you go on turning round like that.' She was now working with fourteen pairs at once, and Alice couldn't help looking at her in great astonishment.	'You'll make me giddy soon, if you go on turning round like that.' She was now working with fourteen pairs at once, and Alice couldn't help looking at her in great astonishment.	true	720.68	731.8	19.108677
2785_163322_000069_000000	'How CAN she knit with so many?' the puzzled child thought to herself. 'She gets more and more like a porcupine every minute!'	'How CAN she knit with so many?' the puzzled child thought to herself. 'She gets more and more like a porcupine every minute!'	true	732.41	740.62	19.669113
2785_163322_000070_000000	'Can you row?' the Sheep asked, handing her a pair of knitting-needles as she spoke.	'Can you row?' the Sheep asked, handing her a pair of knitting needles as she spoke.	true	740.69	746.175	19.394018
2785_163322_000071_000000	'Yes, a little--but not on land--and not with needles--' Alice was beginning to say, when suddenly the needles turned into oars in her hands, and she found they were in a little boat, gliding along between banks: so there was nothing for it but to do her best.	'Yes, a little-but not on land-and not with needles-' Alice was beginning to say, when suddenly the needles turned into oars in her hands, and she found they were in a little boat, gliding along between banks: so there was nothing for it but to do her best.	false	746.175	763.96	18.737555
2785_163322_000072_000000	'Feather!' cried the Sheep, as she took up another pair of needles.	'Feather!' cried the Sheep, as she took up another pair of needles.	false	764.3	768.28	20.452284
2785_163322_000073_000000	This didn't sound like a remark that needed any answer, so Alice said nothing, but pulled away.	This didn't sound like a remark that needed any answer, so Alice said nothing, but pulled away.	false	768.62	774.55	21.376326
2785_163322_000073_000001	There was something very queer about the water, she thought, as every now and then the oars got fast in it, and would hardly come out again.	There was something very queer about the water, she thought, as every now and then the oars got fast in it, and would hardly come out again.	true	774.83	783.22	19.293459
2785_163322_000074_000000	'Feather!	'Feather!	true	783.47	784.185	17.109657
2785_163322_000074_000001	Feather!' the Sheep cried again, taking more needles.	Feather!' the Sheep cried again, taking more needles.	true	784.185	787.87	21.456072
2785_163322_000074_000002	'You'll be catching a crab directly.'	'You'll be catching a crab directly.'	true	787.88	790.12	21.027615
2785_163322_000075_000000	'A dear little crab!' thought Alice. 'I should like that.'	'A dear little crab!' thought Alice. 'I should like that.'	true	790.16	793.57	22.876495
2785_163322_000076_000000	'Didn't you hear me say "Feather"?' the Sheep cried angrily, taking up quite a bunch of needles.	'Didn't you hear me say "Feather"?' the Sheep cried angrily, taking up quite a bunch of needles.	true	793.85	800.13	21.591642
2785_163322_000077_000000	'Indeed I did,' said Alice: 'you've said it very often--and very loud. Please, where ARE the crabs?'	'Indeed I did,' said Alice: 'you've said it very often-and very loud. Please, where ARE the crabs?'	false	800.13	807.33	20.941065
2785_163322_000078_000000	'In the water, of course!' said the Sheep, sticking some of the needles into her hair, as her hands were full.	'In the water, of course!' said the Sheep, sticking some of the needles into her hair, as her hands were full.	false	807.33	814.065	20.210564
2785_163322_000078_000001	'Feather, I say!'	'Feather, I say!'	true	814.065	815.53	19.875391
2785_163322_000079_000000	'WHY do you say "feather" so often?' Alice asked at last, rather vexed. 'I'm not a bird!'	'WHY do you say "feather" so often?' Alice asked at last, rather vexed. 'I'm not a bird!'	true	815.81	822.825	22.695963
2785_163322_000080_000000	'You are,' said the Sheep: 'you're a little goose.'	'You are,' said the Sheep: 'you're a little goose.'	true	822.825	825.79	19.915789
2785_163322_000081_000000	This offended Alice a little, so there was no more conversation for a minute or two, while the boat glided gently on, sometimes among beds of weeds (which made the oars stick fast in the water, worse then ever), and sometimes under trees, but always with the same tall river-banks frowning over their heads.	This offended Alice a little, so there was no more conversation for a minute or two, while the boat glided gently on, sometimes among beds of weeds (which made the oars stick fast in the water, worse then ever), and sometimes under trees, but always with the same tall river banks frowning over their heads.	false	826.13	848.02	19.160507
2785_163322_000082_000000	'Oh, please!	'Oh, please!	true	848.09	849.43	28.854326
2785_163322_000082_000001	There are some scented rushes!' Alice cried in a sudden transport of delight.	There are some scented rushes!' Alice cried in a sudden transport of delight.	true	849.47	854.23	18.901516
2785_163322_000082_000002	'There really are--and SUCH beauties!'	'There really are-and SUCH beauties!'	true	854.33	857.26	21.551937
2785_163322_000083_000000	'You needn't say "please" to ME about 'em,' the Sheep said, without looking up from her knitting: 'I didn't put 'em there, and I'm not going to take 'em away.'	'You needn't say "please" to m e about 'em,' the Sheep said, without looking up from her knitting: 'I didn't put 'em there, and I'm not going to take 'em away.'	false	857.6	868.36	20.905493
2785_163322_000084_000000	'No, but I meant--please, may we wait and pick some?' Alice pleaded.	'No, but I meant-please, may we wait and pick some?' Alice pleaded.	true	868.4	872.92	20.988081
2785_163322_000084_000001	'If you don't mind stopping the boat for a minute.'	'If you don't mind stopping the boat for a minute.'	true	873.02	875.86	20.727163
2785_163322_000085_000000	'How am _I_ to stop it?' said the Sheep. 'If you leave off rowing, it'll stop of itself.'	'How am underscore I underscore to stop it?' said the Sheep. 'If you leave off rowing, it'll stop of itself.'	false	876.02	882.27	20.337814
2785_163322_000086_000000	So the boat was left to drift down the stream as it would, till it glided gently in among the waving rushes.	So the boat was left to drift down the stream as it would, till it glided gently in among the waving rushes.	true	882.27	889.5	18.687216
2785_163322_000086_000001	And then the little sleeves were carefully rolled up, and the little arms were plunged in elbow-deep to get the rushes a good long way down before breaking them off--and for a while Alice forgot all about the Sheep and the knitting, as she bent over the side of the boat, with just the ends of her tangled hair dipping into the water--while with bright eager eyes she caught at one bunch after another of the darling scented rushes.	And then the little sleeves were carefully rolled up, and the little arms were plunged in elbow deep to get the rushes a good long way down before breaking them off-and for a while Alice forgot all about the Sheep and the knitting, as she bent over the side of the boat, with just the ends of her tangled hair dipping into the water-while with bright eager eyes she caught at one bunch after another of the darling scented rushes.	false	889.5	918.07	19.791132
2785_163322_000087_000000	'I only hope the boat won't tipple over!' she said to herself.	'I only hope the boat won't tipple over!' she said to herself.	true	918.23	922.395	23.138319
2785_163322_000087_000001	'Oh, WHAT a lovely one!	'Oh, WHAT a lovely one!	true	922.395	924.52	15
2785_163322_000087_000002	Only I couldn't quite reach it.' 'And it certainly DID seem a little provoking ('almost as if it happened on purpose,' she thought) that, though she managed to pick plenty of beautiful rushes as the boat glided by, there was always a more lovely one that she couldn't reach.	Only I couldn't quite reach it.' 'And it certainly DID seem a little provoking ('almost as if it happened on purpose,' she thought) that, though she managed to pick plenty of beautiful rushes as the boat glided by, there was always a more lovely one that she couldn't reach.	true	924.8	943.54	20.070925
