5039_1188_000000_000000	"I am neither square nor crooked," said Scraps, looking down at her plump body.	"I am neither square nor crooked," said Scraps, looking down at her plump body.	false	0	4.59	20.126032
5039_1188_000010_000001	"I know this road pretty well, for I've chased many a honey-bee over it."	"I know this road pretty well, for I've chased many a honey bee over it."	true	77.61	82.36	17.85592
5039_1188_000011_000000	"Have you ever been to the Emerald City?" asked Scraps.	"Have you ever been to the Emerald City?" asked Scraps.	true	83.27	86.31	24.24588
5039_1188_000012_000000	"No.	"no	false	86.31	87.81	11.088878
5039_1188_000012_000001	I am very shy by nature, as you may have noticed, so I haven't mingled much in society."	I am very shy by nature, as you may have noticed, so I haven't mingled much in society."	true	87.81	93.94	17
5039_1188_000013_000000	"Are you afraid of men?" inquired the Patchwork Girl.	"Are you afraid of men?" inquired the Patchwork Girl.	true	94.07	97.36	23.78235
5039_1188_000014_000000	"Me?	"Me?	true	97.82	98.59	20
5039_1188_000014_000001	With my heart-rending growl--my horrible, shudderful growl?	With my heart rending growl-my horrible, shudderful growl?	true	98.84	103.69	20
5039_1188_000014_000002	I should say not.	I should say not.	false	103.85	105.52	18.980074
5039_1188_000014_000003	I am not afraid of anything," declared the Woozy.	I am not afraid of anything," declared the Woozy.	true	105.59	109.93	20.42277
5039_1188_000015_000000	"I wish I could say the same," sighed Ojo.	"I wish I could say the same," sighed Ojo.	true	110.75	113.77	21.054632
5039_1188_000015_000001	"I don't think we need be afraid when we get to the Emerald City, for Unc Nunkie has told me that Ozma, our girl Ruler, is very lovely and kind, and tries to help everyone who is in trouble.	"I don't think we need be afraid when we get to the Emerald City, for u n c Nunkie has told me that Ozma, our girl Ruler, is very lovely and kind, and tries to help everyone who is in trouble.	false	113.93	127.06	22.215124
5039_1188_000015_000002	But they say there are many dangers lurking on the road to the great Fairy City, and so we must be very careful."	But they say there are many dangers lurking on the road to the great Fairy City, and so we must be very careful."	false	127.31	134.62	19
5039_1188_000016_000000	"I hope nothing will break me," said the Glass Cat, in a nervous voice. "I'm a little brittle, you know, and can't stand many hard knocks."	"I hope nothing will break me," said the Glass Cat, in a nervous voice. "I'm a little brittle, you know, and can't stand many hard knocks."	false	135.83	145.54	23.108402
5039_1188_000017_000000	"If anything should fade the colors of my lovely patches it would break my heart," said the Patchwork Girl.	"If anything should fade the colors of my lovely patches it would break my heart," said the Patchwork Girl.	true	146.06	152.32	27.86425
5039_1188_000018_000000	"I'm not sure you have a heart," Ojo reminded her.	"I'm not sure you have a heart," Ojo reminded her.	true	152.81	156.49	21.438112
5039_1188_000019_000000	"Then it would break my cotton," persisted Scraps.	"Then it would break my cotton," persisted Scraps.	true	156.98	159.88	29.359058
5039_1188_000019_000001	"Do you think they are all fast colors, Ojo?" she asked anxiously.	"Do you think they are all fast colors, Ojo?" she asked anxiously.	true	160.07	164.26	25.088564
5039_1188_000020_000000	"They seem fast enough when you run," he replied; and then, looking ahead of them, he exclaimed: "Oh, what lovely trees!"	"They seem fast enough when you run," he replied; and then, looking ahead of them, he exclaimed: "Oh, what lovely trees!"	true	164.72	173.53	19.387213
5039_1188_000021_000000	They were certainly pretty to look upon and the travelers hurried forward to observe them more closely.	They were certainly pretty to look upon and the travelers hurried forward to observe them more closely.	true	173.96	179.59	20
5039_1188_000022_000000	"Why, they are not trees at all," said Scraps; "they are just monstrous plants."	"Why, they are not trees at all," said Scraps; "they are just monstrous plants."	false	180.32	185.65	23.673517
5039_1188_000023_000000	That is what they really were: masses of great broad leaves which rose from the ground far into the air, until they towered twice as high as the top of the Patchwork Girl's head, who was a little taller than Ojo. The plants formed rows on both sides of the road and from each plant rose a dozen or more of the big broad leaves, which swayed continually from side to side, although no wind was blowing.	That is what they really were: masses of great broad leaves which rose from the ground far into the air, until they towered twice as high as the top of the Patchwork Girl's head, who was a little taller than Ojo. The plants formed rows on both sides of the road and from each plant rose a dozen or more of the big broad leaves, which swayed continually from side to side, although no wind was blowing.	false	186.38	209.44	21.687502
5039_1188_000023_000001	But the most curious thing about the swaying leaves was their color.	But the most curious thing about the swaying leaves was their color.	true	209.57	213.01	21
5039_1188_000023_000002	They seemed to have a general groundwork of blue, but here and there other colors glinted at times through the blue--gorgeous yellows, turning to pink, purple, orange and scarlet, mingled with more sober browns and grays--each appearing as a blotch or stripe anywhere on a leaf and then disappearing, to be replaced by some other color of a different shape. The changeful coloring of the great leaves was very beautiful, but it was bewildering, as well, and the novelty of the scene drew our travelers close to the line of plants, where they stood watching them with rapt interest.	They seemed to have a general groundwork of blue, but here and there other colors glinted at times through the blue-gorgeous yellows, turning to pink, purple, orange and scarlet, mingled with more sober browns and grays-each appearing as a blotch or stripe anywhere on a leaf and then disappearing, to be replaced by some other color of a different shape. The changeful coloring of the great leaves was very beautiful, but it was bewildering, as well, and the novelty of the scene drew our travelers close to the line of plants, where they stood watching them with rapt interest.	false	213.32	248.23	21.494263
5039_1188_000024_000000	Suddenly a leaf bent lower than usual and touched the Patchwork Girl. Swiftly it enveloped her in its embrace, covering her completely in its thick folds, and then it swayed back upon its stem.	Suddenly a leaf bent lower than usual and touched the Patchwork Girl. Swiftly it enveloped her in its embrace, covering her completely in its thick folds, and then it swayed back upon its stem.	true	248.81	261.31	21.88392
5039_1188_000025_000000	"Why, she's gone!" gasped Ojo, in amazement, and listening carefully he thought he could hear the muffled screams of Scraps coming from the center of the folded leaf.	"Why, she's gone!" gasped Ojo, in amazement, and listening carefully he thought he could hear the muffled screams of Scraps coming from the center of the folded leaf.	false	261.62	270.06	20.8522
5039_1188_000025_000001	But, before he could think what he ought to do to save her, another leaf bent down and captured the Glass Cat, rolling around the little creature until she was completely hidden, and then straightening up again upon its stem.	But, before he could think what he ought to do to save her, another leaf bent down and captured the Glass Cat, rolling around the little creature until she was completely hidden, and then straightening up again upon its stem.	true	270.06	281.595	24.938116
5039_1188_000026_000000	"Look out," cried the Woozy.	"Look out," cried the Woozy.	true	281.595	283.62	25.851046
5039_1188_000026_000001	"Run!	"Run!	true	283.62	284.37	19.170795
5039_1188_000026_000002	Run fast, or you are lost."	Run fast, or you are lost."	false	284.37	286.3	22.000378
5039_1188_000027_000000	Ojo turned and saw the Woozy running swiftly up the road.	Ojo turned and saw the Woozy running swiftly up the road.	false	286.67	290.235	20
5039_1188_000027_000001	But the last leaf of the row of plants seized the beast even as he ran and instantly he disappeared from sight.	But the last leaf of the row of plants seized the beast even as he ran and instantly he disappeared from sight.	true	290.235	297.37	22.101152
5039_1188_000028_000000	The boy had no chance to escape.	The boy had no chance to escape.	true	297.71	300.28	19
5039_1188_000028_000001	Half a dozen of the great leaves were bending toward him from different directions and as he stood hesitating one of them clutched him in its embrace.	Half a dozen of the great leaves were bending toward him from different directions and as he stood hesitating one of them clutched him in its embrace.	true	300.32	308.59	25
5039_1188_000028_000002	In a flash he was in the dark. Then he felt himself gently lifted until he was swaying in the air, with the folds of the leaf hugging him on all sides.	In a flash he was in the dark. Then he felt himself gently lifted until he was swaying in the air, with the folds of the leaf hugging him on all sides.	true	308.75	319.39	21.190226
5039_1188_000029_000000	At first he struggled hard to escape, crying out in anger: "Let me go! Let me go!" But neither struggles nor protests had any effect whatever. The leaf held him firmly and he was a prisoner.	At first he struggled hard to escape, crying out in anger: "Let me go! Let me go!" But neither struggles nor protests had any effect whatever. The leaf held him firmly and he was a prisoner.	true	320.21	332.59	17.732798
5039_1188_000030_000000	Then Ojo quieted himself and tried to think.	Then Ojo quieted himself and tried to think.	true	333.23	335.92	22.46949
5039_1188_000030_000001	Despair fell upon him when he remembered that all his little party had been captured, even as he was, and there was none to save them.	Despair fell upon him when he remembered that all his little party had been captured, even as he was, and there was none to save them.	true	336.05	343.87	20
5039_1188_000031_000000	"I might have expected it," he sobbed, miserably.	"I might have expected it," he sobbed, miserably.	true	344.57	348.105	24.72884
5039_1188_000031_000001	"I'm Ojo the Unlucky, and something dreadful was sure to happen to me."	"I'm Ojo the Unlucky, and something dreadful was sure to happen to me."	true	348.105	353.32	23.745121
5039_1188_000032_000000	He pushed against the leaf that held him and found it to be soft, but thick and firm.	He pushed against the leaf that held him and found it to be soft, but thick and firm.	true	353.84	358.84	22.507738
5039_1188_000032_000001	It was like a great bandage all around him and he found it difficult to move his body or limbs in order to change their position.	It was like a great bandage all around him and he found it difficult to move his body or limbs in order to change their position.	true	358.91	365.95	22.657871
5039_1188_000033_000000	The minutes passed and became hours.	The minutes passed and became hours.	true	366.71	368.8	21
5039_1188_000033_000001	Ojo wondered how long one could live in such a condition and if the leaf would gradually sap his strength and even his life, in order to feed itself.	Ojo wondered how long one could live in such a condition and if the leaf would gradually sap his strength and even his life, in order to feed itself.	true	368.99	377.17	21.026169
5039_1188_000033_000002	The little Munchkin boy had never heard of any person dying in the Land of Oz, but he knew one could suffer a great deal of pain.	The little Munchkin boy had never heard of any person dying in the Land of Oz, but he knew one could suffer a great deal of pain.	true	377.48	384.97	15
5039_1188_000033_000003	His greatest fear at this time was that he would always remain imprisoned in the beautiful leaf and never see the light of day again.	His greatest fear at this time was that he would always remain imprisoned in the beautiful leaf and never see the light of day again.	true	385.16	393.4	21.738007
5039_1188_000034_000000	No sound came to him through the leaf; all around was intense silence. Ojo wondered if Scraps had stopped screaming, or if the folds of the leaf prevented his hearing her.	No sound came to him through the leaf; all around was intense silence. Ojo wondered if Scraps had stopped screaming, or if the folds of the leaf prevented his hearing her.	true	394.79	404.92	19.870573
5039_1188_000034_000001	By and by he thought he heard a whistle, as of some one whistling a tune.	By and by he thought he heard a whistle, as of some one whistling a tune.	true	405.17	409.36	17.515347
5039_1188_000034_000002	Yes; it really must be some one whistling, he decided, for he could follow the strains of a pretty Munchkin melody that Unc Nunkie used to sing to him.	Yes; it really must be some one whistling, he decided, for he could follow the strains of a pretty Munchkin melody that u n c Nunkie used to sing to him.	false	411.2	420.04	19
5039_1188_000034_000003	The sounds were low and sweet and, although they reached Ojo's ears very faintly, they were clear and harmonious.	The sounds were low and sweet and, although they reached Ojo's ears very faintly, they were clear and harmonious.	true	420.26	428.14	22
5039_1188_000035_000000	Could the leaf whistle, Ojo wondered?	Could the leaf whistle, Ojo wondered?	true	428.78	431.56	20.770708
5039_1188_000035_000001	Nearer and nearer came the sounds and then they seemed to be just the other side of the leaf that was hugging him.	Nearer and nearer came the sounds and then they seemed to be just the other side of the leaf that was hugging him.	true	431.78	437.95	17
5039_1188_000036_000000	Suddenly the whole leaf toppled and fell, carrying the boy with it, and while he sprawled at full length the folds slowly relaxed and set him free.	Suddenly the whole leaf toppled and fell, carrying the boy with it, and while he sprawled at full length the folds slowly relaxed and set him free.	true	438.2	446.77	23.84298
5039_1188_000036_000001	He scrambled quickly to his feet and found that a strange man was standing before him--a man so curious in appearance that the boy stared with round eyes.	He scrambled quickly to his feet and found that a strange man was standing before him-a man so curious in appearance that the boy stared with round eyes.	true	447.68	458.08	21.412231
5039_1188_000037_000000	He was a big man, with shaggy whiskers, shaggy eyebrows, shaggy hair--but kindly blue eyes that were gentle as those of a cow.	He was a big man, with shaggy whiskers, shaggy eyebrows, shaggy hair-but kindly blue eyes that were gentle as those of a cow.	true	458.3	467.5	20.97501
5039_1188_000037_000001	On his head was a green velvet hat with a jeweled band, which was all shaggy around the brim.	On his head was a green velvet hat with a jeweled band, which was all shaggy around the brim.	false	467.63	473.65	21.854694
5039_1188_000037_000002	Rich but shaggy laces were at his throat; a coat with shaggy edges was decorated with diamond buttons; the velvet breeches had jeweled buckles at the knees and shags all around the bottoms.	Rich but shaggy laces were at his throat; a coat with shaggy edges was decorated with diamond buttons; the velvet breeches had jeweled buckles at the knees and shags all around the bottoms.	true	473.81	486.64	22.863934
5039_1188_000037_000003	On his breast hung a medallion bearing a picture of Princess Dorothy of Oz, and in his hand, as he stood looking at Ojo, was a sharp knife shaped like a dagger.	On his breast hung a medallion bearing a picture of Princess Dorothy of Oz, and in his hand, as he stood looking at Ojo, was a sharp knife shaped like a dagger.	true	486.89	496.63	20.872482
5039_1188_000038_000000	"Oh!" exclaimed Ojo, greatly astonished at the sight of this stranger; and then he added: "Who has saved me, sir?"	"Oh!" exclaimed Ojo, greatly astonished at the sight of this stranger; and then he added: "Who has saved me, sir?"	false	496.76	504.46	22.64576
5039_1188_000039_000000	"Can't you see?" replied the other, with a smile; "I'm the Shaggy Man."	"Can't you see?" replied the other, with a smile; "I'm the Shaggy Man."	false	504.65	510.34	20.702318
5039_1188_000040_000000	"Yes; I can see that," said the boy, nodding.	"Yes; I can see that," said the boy, nodding.	true	510.71	513.7	25.420666
5039_1188_000040_000001	"Was it you who rescued me from the leaf?"	"Was it you who rescued me from the leaf?"	true	513.83	516.7	19.643637
5039_1188_000041_000000	"None other, you may be sure.	"None other, you may be sure.	true	516.95	519.06	20.271338
5039_1188_000041_000001	But take care, or I shall have to rescue you again."	But take care, or I shall have to rescue you again."	true	519.06	522.22	25.534542
5039_1188_000042_000000	Ojo gave a jump, for he saw several broad leaves leaning toward him; but the Shaggy Man began to whistle again, and at the sound the leaves all straightened up on their stems and kept still.	Ojo gave a jump, for he saw several broad leaves leaning toward him; but the Shaggy Man began to whistle again, and at the sound the leaves all straightened up on their stems and kept still.	false	522.8	535.36	22.201607
5039_1188_000043_000000	The man now took Ojo's arm and led him up the road, past the last of the great plants, and not till he was safely beyond their reach did he cease his whistling.	The man now took Ojo's arm and led him up the road, past the last of the great plants, and not till he was safely beyond their reach did he cease his whistling.	false	535.7	545.25	20.438568
5039_1188_000044_000000	"You see, the music charms 'em," said he.	"You see, the music charms 'em," said he.	false	545.25	549.24	20.660166
5039_1188_000044_000001	"Singing or whistling--it doesn't matter which--makes 'em behave, and nothing else will.	"Singing or whistling-it doesn't matter which-makes 'em behave, and nothing else will.	true	549.24	554.77	22.205978
5039_1188_000044_000002	I always whistle as I go by 'em and so they always let me alone.	I always whistle as I go by 'em and so they always let me alone.	true	554.93	558.82	20.037935
5039_1188_000044_000003	To-day as I went by, whistling, I saw a leaf curled and knew there must be something inside it.	To day as I went by, whistling, I saw a leaf curled and knew there must be something inside it.	true	559.13	564.85	22
5039_1188_000044_000004	I cut down the leaf with my knife and--out you popped.	I cut down the leaf with my knife and-out you popped.	true	565.07	568.26	30.78432
5039_1188_000044_000005	Lucky I passed by, wasn't it?"	Lucky I passed by, wasn't it?"	true	568.26	570.25	26.18981
5039_1188_000045_000000	"You were very kind," said Ojo, "and I thank you.	"You were very kind," said Ojo, "and I thank you.	true	570.53	574.45	23.709166
5039_1188_000045_000001	Will you please rescue my companions, also?"	Will you please rescue my companions, also?"	true	574.58	577.33	21
5039_1188_000046_000000	"What companions?" asked the Shaggy Man.	"What companions?" asked the Shaggy Man.	true	577.79	580.69	27.663422
5039_1188_000047_000000	"The leaves grabbed them all," said the boy.	"The leaves grabbed them all," said the boy.	true	581.15	583.53	22.082546
5039_1188_000047_000001	"There's a Patchwork Girl and--"	"There's a Patchwork Girl and-"	true	583.53	584.94	30.521727
5039_1188_000048_000000	"A what?"	"A what?"	false	584.94	586.09	25.619291
5039_1188_000049_000000	"A girl made of patchwork, you know.	"A girl made of patchwork, you know.	false	586.64	589.24	27.29852
5039_1188_000049_000001	She's alive and her name is Scraps.	She's alive and her name is Scraps.	true	589.31	591.345	25.369768
5039_1188_000049_000002	And there's a Glass Cat--"	And there's a Glass Cat-"	true	591.345	592.71	23
5039_1188_000050_000000	"Glass?" asked the Shaggy Man.	"Glass?" asked the Shaggy Man.	true	592.71	595.15	29.318054
5039_1188_000051_000000	"All glass."	"All glass."	true	595.25	596.16	24.750055
5039_1188_000052_000000	"And alive?"	"And alive?"	false	596.16	597.37	18.663504
5039_1188_000053_000000	"Yes," said Ojo; "she has pink brains.	"Yes," said Ojo; "she has pink brains.	false	597.53	600.48	23.697138
5039_1188_000053_000001	And there's a Woozy--"	And there's a Woozy-"	true	600.48	601.575	13
5039_1188_000054_000000	"What's a Woozy?" inquired the Shaggy Man.	"What's a Woozy?" inquired the Shaggy Man.	true	601.575	604.84	26.202698
5039_1188_000055_000000	"Why, I--I--can't describe it," answered the boy, greatly perplexed. "But it's a queer animal with three hairs on the tip of its tail that won't come out and--"	"Why, I-I-can't describe it," answered the boy, greatly perplexed. "But it's a queer animal with three hairs on the tip of its tail that won't come out and-"	true	605.36	615.58	24.815397
5039_1188_000056_000000	"What won't come out?" asked the Shaggy Man; "the tail?"	"What won't come out?" asked the Shaggy Man; "the tail?"	true	615.71	620.05	27.000853
5039_1188_000057_000000	"The hairs won't come out.	"The hairs won't come out.	true	620.42	622.06	26.135447
5039_1188_000057_000001	But you'll see the Woozy, if you'll please rescue it, and then you'll know just what it is."	But you'll see the Woozy, if you'll please rescue it, and then you'll know just what it is."	false	622.31	627.28	22
5039_1188_000058_000000	"Of course," said the Shaggy Man, nodding his shaggy head.	"Of course," said the Shaggy Man, nodding his shaggy head.	true	627.5	631.93	24.563776
5039_1188_000058_000001	And then he walked back among the plants, still whistling, and found the three leaves which were curled around Ojo's traveling companions.	And then he walked back among the plants, still whistling, and found the three leaves which were curled around Ojo's traveling companions.	true	632.12	641.41	24.961374
5039_1188_000058_000002	The first leaf he cut down released Scraps, and on seeing her the Shaggy Man threw back his shaggy head, opened wide his mouth and laughed so shaggily and yet so merrily that Scraps liked him at once.	The first leaf he cut down released Scraps, and on seeing her the Shaggy Man threw back his shaggy head, opened wide his mouth and laughed so shaggily and yet so merrily that Scraps liked him at once.	true	641.75	655.09	25.484814
5039_1188_000058_000003	Then he took off his hat and made her a low bow, saying:	Then he took off his hat and made her a low bow, saying:	false	655.55	659.04	24.763836
5039_1188_000059_000000	"My dear, you're a wonder.	"My dear, you're a wonder.	true	659.04	661.78	20.99903
5039_1188_000059_000001	I must introduce you to my friend the Scarecrow."	I must introduce you to my friend the Scarecrow."	true	662	665.29	24.966269
5039_1188_000060_000000	When he cut down the second leaf he rescued the Glass Cat, and Bungle was so frightened that she scampered away like a streak and soon had joined Ojo, when she sat beside him panting and trembling.	When he cut down the second leaf he rescued the Glass Cat, and Bungle was so frightened that she scampered away like a streak and soon had joined Ojo, when she sat beside him panting and trembling.	true	666.02	677.5	23.68936
5039_1188_000060_000001	The last plant of all the row had captured the Woozy, and a big bunch in the center of the curled leaf showed plainly where he was.	The last plant of all the row had captured the Woozy, and a big bunch in the center of the curled leaf showed plainly where he was.	true	678.2	686.35	23.0567
5039_1188_000060_000002	With his sharp knife the Shaggy Man sliced off the stem of the leaf and as it fell and unfolded out trotted the Woozy and escaped beyond the reach of any more of the dangerous plants.	With his sharp knife the Shaggy Man sliced off the stem of the leaf and as it fell and unfolded out trotted the Woozy and escaped beyond the reach of any more of the dangerous plants.	false	686.78	718.23	20.471367
