2004_147967_000001_000001	Before I opened my eyes, I seemed to know that something had happened.	Before I opened my eyes, I seemed to know that something had happened.
2004_147967_000029_000004	The horses and oxen would not go into the barn until he was frozen so hard that there was no longer any smell of blood.	The horses and oxen would not go into the barn until he was frozen so hard that there was no longer any smell of blood.
2004_147967_000029_000005	They were stabled there now, with the dead man, because there was no other place to keep them.	They were stabled there now, with the dead man, because there was no other place to keep them.
2004_147967_000029_000006	A lighted lantern was kept hanging over Mr. Shimerda's head.	A lighted lantern was kept hanging over mr Shimerda's head.
2004_147967_000029_000008	The crazy boy went with them, because he did not feel the cold.	The crazy boy went with them, because he did not feel the cold.
2004_147967_000029_000009	I believed he felt cold as much as any one else, but he liked to be thought insensible to it.	I believed he felt cold as much as any one else, but he liked to be thought insensible to it.
2004_147967_000029_000010	He was always coveting distinction, poor Marek!	He was always coveting distinction, poor Marek!
2004_147967_000030_000000	Ambrosch, Jake said, showed more human feeling than he would have supposed him capable of; but he was chiefly concerned about getting a priest, and about his father's soul, which he believed was in a place of torment and would remain there until his family and the priest had prayed a great deal for him.	Ambrosch, Jake said, showed more human feeling than he would have supposed him capable of; but he was chiefly concerned about getting a priest, and about his father's soul, which he believed was in a place of torment and would remain there until his family and the priest had prayed a great deal for him.
2004_147967_000030_000001	"As I understand it," Jake concluded, "it will be a matter of years to pray his soul out of Purgatory, and right now he's in torment."	"As I understand it," Jake concluded, "it will be a matter of years to pray his soul out of Purgatory, and right now he's in torment."
2004_147967_000031_000000	"I don't believe it," I said stoutly.	"I don't believe it," I said stoutly.
2004_147967_000031_000002	Nevertheless, after I went to bed, this idea of punishment and Purgatory came back on me crushingly.	Nevertheless, after I went to bed, this idea of punishment and Purgatory came back on me crushingly.
2004_147967_000031_000003	I remembered the account of Dives in torment, and shuddered. But Mr. Shimerda had not been rich and selfish; he had only been so unhappy that he could not live any longer.	I remembered the account of Dives in torment, and shuddered. But mr Shimerda had not been rich and selfish; he had only been so unhappy that he could not live any longer.
