2741_159386_000000_000000	_The Wild Swans_	underscore The Wild Swans underscore	false	31.8	37.44	19.326551
2741_159386_000002_000010	She took three toads with her and kissed them, and said to one: "When Eliza comes to the bath, seat yourself upon her head, that she may become as stupid as you are." Then she said to another: "Place yourself on her forehead, that she may become as ugly as you are, and that her father may not know her." "Rest on her heart," she whispered to the third, "then she will have evil inclinations, and suffer in consequence." So she put the toads into clear water, and they turned green immediately.	She took three toads with her and kissed them, and said to one: "When Eliza comes to the bath, seat yourself upon her head, that she may become as stupid as you are." Then she said to another: "Place yourself on her forehead, that she may become as ugly as you are, and that her father may not know her." "Rest on her heart," she whispered to the third, "then she will have evil inclinations, and suffer in consequence." So she put the toads into clear water, and they turned green immediately.	false	292.37	335.17	20.8284
2741_159386_000002_000011	She next called Eliza and helped her to undress and get into the bath.	She next called Eliza and helped her to undress and get into the bath.	true	335.84	340.48	17
2741_159386_000002_000012	As Eliza dipped her head under the water one of the toads sat on her hair, a second on her forehead, and a third on her breast, but she did not seem to notice them, and when she rose out of the water there were three red poppies floating upon it.	As Eliza dipped her head under the water one of the toads sat on her hair, a second on her forehead, and a third on her breast, but she did not seem to notice them, and when she rose out of the water there were three red poppies floating upon it.	true	341.09	360.73	21.279121
2741_159386_000002_000013	Had not the creatures been venomous or been kissed by the witch they would have been changed into red roses.	Had not the creatures been venomous or been kissed by the witch they would have been changed into red roses.	true	361.55	368.53	17
2741_159386_000002_000014	At all events they became flowers, because they had rested on Eliza's head, and on her heart.	At all events they became flowers, because they had rested on Eliza's head, and on her heart.	true	369.62	377.02	18.549664
2741_159386_000002_000015	She was too good and too innocent for witchcraft to have any power over her.	She was too good and too innocent for witchcraft to have any power over her.	true	377.66	383.32	17
2741_159386_000002_000016	When the wicked Queen saw this, she rubbed her face with walnut juice, so that she was quite brown; then she tangled her beautiful hair and smeared it with disgusting ointment, till it was quite impossible to recognize the beautiful Eliza.	When the wicked Queen saw this, she rubbed her face with walnut juice, so that she was quite brown; then she tangled her beautiful hair and smeared it with disgusting ointment, till it was quite impossible to recognize the beautiful Eliza.	true	384.74	402.37	21.80893
2741_159386_000003_000000	When her father saw her, he was much shocked and declared she was not his daughter.	When her father saw her, he was much shocked and declared she was not his daughter.	true	403.46	410.29	20.240091
2741_159386_000003_000001	No one but the watchdog and the swallows knew her, and they were only dumb animals and could say nothing.	No one but the watchdog and the swallows knew her, and they were only dumb animals and could say nothing.	true	411.38	418.63	20
2741_159386_000003_000002	Then poor Eliza wept, and thought of her eleven brothers who were all away.	Then poor Eliza wept, and thought of her eleven brothers who were all away.	true	419.3	425.2	21.988743
2741_159386_000003_000003	Sorrowfully she stole away from the palace, and walked the whole day over fields and moors till she came to the great forest.	Sorrowfully she stole away from the palace, and walked the whole day over fields and moors till she came to the great forest.	true	425.9	435.25	19
2741_159386_000003_000004	She knew not in what direction to go; but she was so unhappy and longed so for her brothers who had been, like herself, driven out into the world, that she was determined to seek them.	She knew not in what direction to go; but she was so unhappy and longed so for her brothers who had been, like herself, driven out into the world, that she was determined to seek them.	false	436.25	450.13	20.703644
2741_159386_000003_000005	She had been but a short time in the wood when night came on, and she quite lost the path; so she laid herself down on the soft moss, offered up her evening prayer, and leaned her head against the stump of a tree.	She had been but a short time in the wood when night came on, and she quite lost the path; so she laid herself down on the soft moss, offered up her evening prayer, and leaned her head against the stump of a tree.	true	450.83	466.36	19
2741_159386_000003_000006	All nature was still, and the soft, mild air fanned her forehead.	All nature was still, and the soft, mild air fanned her forehead.	true	467.3	473.02	21
2741_159386_000003_000007	The light of hundreds of glowworms shone amidst the grass and the moss, like green fire; and if she touched a twig with her hand ever so lightly, the brilliant fireflies fell down around her like shooting stars.	The light of hundreds of glowworms shone amidst the grass and the moss, like green fire; and if she touched a twig with her hand ever so lightly, the brilliant fireflies fell down around her like shooting stars.	true	473.63	490.75	20.423737
2741_159386_000004_000000	All night long she dreamed of her brothers.	All night long she dreamed of her brothers.	true	492.32	495.16	16
2741_159386_000004_000001	She and they were children again playing together.	She and they were children again playing together.	true	495.59	498.76	16
2741_159386_000004_000002	She saw them writing with their diamond pencils on golden slates, while she looked at the beautiful picture book which had cost half a kingdom.	She saw them writing with their diamond pencils on golden slates, while she looked at the beautiful picture book which had cost half a kingdom.	true	499.25	509.23	20
2741_159386_000004_000003	They were not writing lines and letters, as they used to do, but descriptions of the noble deeds they had performed, and of all they had discovered and seen.	They were not writing lines and letters, as they used to do, but descriptions of the noble deeds they had performed, and of all they had discovered and seen.	true	510.23	521.32	19
2741_159386_000004_000004	In the picture book, too, everything was living.	In the picture book, too, everything was living.	true	521.99	525.46	21.843102
2741_159386_000004_000005	The birds sang, and the people came out of the book and spoke to Eliza and her brothers; but, as the leaves turned over they darted back again to their places, that all might be in order.	The birds sang, and the people came out of the book and spoke to Eliza and her brothers; but, as the leaves turned over they darted back again to their places, that all might be in order.	false	525.68	538.84	19
2741_159386_000005_000000	When she awoke the sun was high in the heavens, yet she could scarcely see him, for the lofty trees spread their branches thickly over her head, and his beams were glancing through the leaves here and there like a golden mist.	When she awoke the sun was high in the heavens, yet she could scarcely see him, for the lofty trees spread their branches thickly over her head, and his beams were glancing through the leaves here and there like a golden mist.	true	540.56	556.87	19.612076
2741_159386_000005_000001	There was a sweet fragrance from the fresh verdure, and the birds almost perched upon her shoulders.	There was a sweet fragrance from the fresh verdure, and the birds almost perched upon her shoulders.	true	557.87	565.42	21.575518
2741_159386_000005_000002	She heard water rippling from a number of springs, all flowing into a lake with golden sands. Bushes grew thickly around the lake, and at one spot an opening had been made by a deer, through which Eliza went down to the water.	She heard water rippling from a number of springs, all flowing into a lake with golden sands. Bushes grew thickly around the lake, and at one spot an opening had been made by a deer, through which Eliza went down to the water.	true	566.39	585.22	20.68234
2741_159386_000005_000003	The lake was so clear that, had not the wind rustled the branches of the trees and the bushes so that they moved, they would have appeared as if painted in the depths of the lake, for every leaf was reflected in the water, whether it stood in the shade or the sunshine.	The lake was so clear that, had not the wind rustled the branches of the trees and the bushes so that they moved, they would have appeared as if painted in the depths of the lake, for every leaf was reflected in the water, whether it stood in the shade or the sunshine.	true	586.4	605.95	19
2741_159386_000005_000004	As soon as Eliza saw her own face, she was quite terrified at finding it so brown and ugly; but when she wetted her little hand and rubbed her eyes and forehead the white skin gleamed forth once more; and, after she had undressed and dipped herself in the fresh water, a more beautiful king's daughter could not be found in the wide world.	As soon as Eliza saw her own face, she was quite terrified at finding it so brown and ugly; but when she wetted her little hand and rubbed her eyes and forehead the white skin gleamed forth once more; and, after she had undressed and dipped herself in the fresh water, a more beautiful king's daughter could not be found in the wide world.	true	607.16	632.71	19
2741_159386_000005_000005	As soon as she had dressed herself again, and braided her long hair, she went to the bubbling spring and drank some water out of the hollow of her hand.	As soon as she had dressed herself again, and braided her long hair, she went to the bubbling spring and drank some water out of the hollow of her hand.	true	633.68	644.17	15
2741_159386_000005_000006	Then she wandered far into the forest, not knowing whither she went.	Then she wandered far into the forest, not knowing whither she went.	true	645.35	650.56	17
2741_159386_000005_000007	She thought of her brothers, and felt sure that God would not forsake her.	She thought of her brothers, and felt sure that God would not forsake her.	true	651.2	657.43	20.809465
2741_159386_000005_000008	It is God who makes the wild apples grow in the wood to satisfy the hungry, and He now led her to one of these trees, which was so loaded with fruit that the boughs bent beneath its weight.	It is God who makes the wild apples grow in the wood to satisfy the hungry, and He now led her to one of these trees, which was so loaded with fruit that the boughs bent beneath its weight.	true	657.44	671.44	20.439793
2741_159386_000005_000009	Here she held her noonday repast, placed props under the boughs, and then went into the gloomiest depths of the forest.	Here she held her noonday repast, placed props under the boughs, and then went into the gloomiest depths of the forest.	true	672.35	682.03	19.98677
2741_159386_000005_000010	It was so still that she could hear the sound of her own footsteps, as well as the rustling of every withered leaf which she crushed under her feet.	It was so still that she could hear the sound of her own footsteps, as well as the rustling of every withered leaf which she crushed under her feet.	true	682.85	694.06	18.894505
2741_159386_000005_000011	Not a bird was to be seen, not a sunbeam could penetrate through the large dark boughs of the trees.	Not a bird was to be seen, not a sunbeam could penetrate through the large dark boughs of the trees.	true	694.76	702.28	17
2741_159386_000005_000012	The lofty trunks stood so close together that when she looked before her it seemed as if she were inclosed within trelliswork.	The lofty trunks stood so close together that when she looked before her it seemed as if she were inclosed within trelliswork.	true	702.86	713.65	19.912252
2741_159386_000005_000013	Such solitude she had never known before.	Such solitude she had never known before.	true	714.68	718.09	11
2741_159386_000005_000014	The night was very dark.	The night was very dark.	true	718.67	720.67	16
2741_159386_000005_000015	Not a single glowworm glittered in the moss.	Not a single glowworm glittered in the moss.	true	720.89	724	11
2741_159386_000006_000000	Sorrowfully she laid herself down to sleep, and after a while it seemed to her as if the branches of the trees parted over her head, and that the mild eyes of angels looked down upon her from heaven.	Sorrowfully she laid herself down to sleep, and after a while it seemed to her as if the branches of the trees parted over her head, and that the mild eyes of angels looked down upon her from heaven.	true	725.78	741.1	15
2741_159386_000006_000001	When she awoke in the morning, she knew not whether she had dreamed this or if it had really been so.	When she awoke in the morning, she knew not whether she had dreamed this or if it had really been so.	true	741.98	749.11	17
2741_159386_000006_000002	Then she continued her wandering, but she had not gone many steps forward when she met an old woman with berries in her basket, and begged a few to eat.	Then she continued her wandering, but she had not gone many steps forward when she met an old woman with berries in her basket, and begged a few to eat.	true	749.9	760.51	18
2741_159386_000006_000003	Then Eliza asked her if she had seen eleven princes riding through the forest.	Then Eliza asked her if she had seen eleven princes riding through the forest.	true	761.12	766.93	18
2741_159386_000007_000000	"No," replied the old woman, "but I saw yesterday eleven swans, with gold crowns on their heads, swimming on the river close by." Then she led Eliza a little distance farther to a sloping bank, at the foot of which wound a little stream.	"No," replied the old woman, "but I saw yesterday eleven swans, with gold crowns on their heads, swimming on the river close by." Then she led Eliza a little distance farther to a sloping bank, at the foot of which wound a little stream.	true	768.2	789.01	19.2996
2741_159386_000007_000001	The trees on its banks stretched their long leafy branches across the water toward each other, and where the growth prevented them from meeting naturally, the roots had torn themselves away from the ground, so that the branches might mingle their foliage as they hung over the stream.	The trees on its banks stretched their long leafy branches across the water toward each other, and where the growth prevented them from meeting naturally, the roots had torn themselves away from the ground, so that the branches might mingle their foliage as they hung over the stream.	true	789.38	809.47	17
2741_159386_000007_000002	Eliza bade the old woman farewell and walked by the flowing river till she reached the shore of the open sea.	Eliza bade the old woman farewell and walked by the flowing river till she reached the shore of the open sea.	true	810.47	818.38	15
2741_159386_000007_000003	And there before the young maiden's eyes lay the glorious ocean, but not a sail appeared on its surface; not even a boat could be seen.	And there before the young maiden's eyes lay the glorious ocean, but not a sail appeared on its surface; not even a boat could be seen.	true	819.35	830.89	19.229425
2741_159386_000007_000004	How was she to go farther?	How was she to go farther?	true	831.62	833.62	17.668415
2741_159386_000007_000005	She noticed how the countless pebbles on the seashore had been smoothed and rounded by the action of the water.	She noticed how the countless pebbles on the seashore had been smoothed and rounded by the action of the water.	true	834.35	841.57	14
2741_159386_000007_000006	Glass, iron, stones, everything that lay there mingled together, had taken its shape from the same power, and felt as smooth, or even smoother, than her own delicate hand.	Glass, iron, stones, everything that lay there mingled together, had taken its shape from the same power, and felt as smooth, or even smoother, than her own delicate hand.	true	842.24	856.96	20
2741_159386_000007_000007	"The water rolls on without weariness," she said, "till all that is hard becomes smooth; so will I be unwearied in my task. Thanks for your lessons, bright rolling waves; my heart tells me you will lead me to my dear brothers." On the foam-covered seaweeds lay eleven white swan feathers, which she gathered up and placed together. Drops of water lay upon them; whether they were dewdrops or tears no one could say.	"The water rolls on without weariness," she said, "till all that is hard becomes smooth; so will I be unwearied in my task. Thanks for your lessons, bright rolling waves; my heart tells me you will lead me to my dear brothers." On the foam covered seaweeds lay eleven white swan feathers, which she gathered up and placed together. Drops of water lay upon them; whether they were dewdrops or tears no one could say.	false	858.44	895.33	20.073362
2741_159386_000007_000008	Lonely as it was on the seashore she did not observe it, for the ever-moving sea showed more changes in a few hours than the most varying lake could produce during a whole year.	Lonely as it was on the seashore she did not observe it, for the ever moving sea showed more changes in a few hours than the most varying lake could produce during a whole year.	true	896.81	910.9	16
2741_159386_000007_000009	If a black heavy cloud arose, it was as if the sea said, "I can look dark and angry too"; and then the wind blew, and the waves turned to white foam as they rolled. When the wind slept and the clouds glowed with the red sunlight, then the sea looked like a rose leaf.	If a black heavy cloud arose, it was as if the sea said, "I can look dark and angry too"; and then the wind blew, and the waves turned to white foam as they rolled. When the wind slept and the clouds glowed with the red sunlight, then the sea looked like a rose leaf.	true	911.87	933.64	19.557667
2741_159386_000007_000010	But however quietly its white glassy surface rested, there was still a motion on the shore, as its waves rose and fell like the breast of a sleeping child.	But however quietly its white glassy surface rested, there was still a motion on the shore, as its waves rose and fell like the breast of a sleeping child.	true	934.25	946.42	19
2741_159386_000007_000011	When the sun was about to set, Eliza saw eleven white swans with golden crowns on their heads flying toward the land, one behind the other, like a long white ribbon. Then Eliza went down the slope from the shore and hid herself behind the bushes.	When the sun was about to set, Eliza saw eleven white swans with golden crowns on their heads flying toward the land, one behind the other, like a long white ribbon. Then Eliza went down the slope from the shore and hid herself behind the bushes.	true	948.17	969.64	19
2741_159386_000007_000012	The swans alighted quite close to her, and flapped their great white wings.	The swans alighted quite close to her, and flapped their great white wings.	true	971.06	976.78	18
2741_159386_000007_000013	As soon as the sun had disappeared under the water, the feathers of the swans fell off, and eleven beautiful princes, Eliza's brothers, stood near her.	As soon as the sun had disappeared under the water, the feathers of the swans fell off, and eleven beautiful princes, Eliza's brothers, stood near her.	true	977.3	989.02	18
2741_159386_000007_000014	She uttered a loud cry, for, although they were very much changed, she knew them immediately.	She uttered a loud cry, for, although they were very much changed, she knew them immediately.	true	989.63	996.85	18
2741_159386_000007_000015	She sprang into their arms and called them each by name.	She sprang into their arms and called them each by name.	true	997.43	1001.35	18
2741_159386_000007_000016	Then, how happy the princes were at meeting their little sister again! for they recognized her, although she had grown so tall and beautiful.	Then, how happy the princes were at meeting their little sister again! for they recognized her, although she had grown so tall and beautiful.	false	1001.84	1011.37	18
2741_159386_000007_000017	They laughed and they wept, and very soon understood how wickedly their mother had acted to them all.	They laughed and they wept, and very soon understood how wickedly their mother had acted to them all.	true	1011.56	1018.75	16
2741_159386_000007_000018	"We brothers," said the eldest, "fly about as wild swans so long as the sun is in the sky, but as soon as it sinks behind the hills, we recover our human shape.	"We brothers," said the eldest, "fly about as wild swans so long as the sun is in the sky, but as soon as it sinks behind the hills, we recover our human shape.	true	1019.9	1032.55	19.474735
2741_159386_000007_000019	Therefore must we always be near a resting place for our feet before sunset; for if we should be flying toward the clouds at the time we recovered our natural form as men, we should fall deep into the sea.	Therefore must we always be near a resting place for our feet before sunset; for if we should be flying toward the clouds at the time we recovered our natural form as men, we should fall deep into the sea.	false	1033.25	1048.12	21
2741_159386_000007_000020	We do not dwell here, but in a land just as fair, that lies beyond the ocean, which we have to cross for a long distance; there is no island in our passage upon which we could pass the night; nothing but a little rock rising out of the sea, upon which we can scarcely stand with safety, even closely crowded together.	We do not dwell here, but in a land just as fair, that lies beyond the ocean, which we have to cross for a long distance; there is no island in our passage upon which we could pass the night; nothing but a little rock rising out of the sea, upon which we can scarcely stand with safety, even closely crowded together.	false	1049.36	1071.7	20.791325
2741_159386_000007_000021	If the sea is rough, the foam dashes over us, yet we thank God even for this rock; we have passed whole nights upon it, or we should never have reached our beloved fatherland, for our flight across the sea occupies two of the longest days in the year.	If the sea is rough, the foam dashes over us, yet we thank God even for this rock; we have passed whole nights upon it, or we should never have reached our beloved fatherland, for our flight across the sea occupies two of the longest days in the year.	false	1072.88	1090.75	19.294477
2741_159386_000007_000022	We have permission to visit our home once in every year and to remain eleven days, during which we fly across the forest to look once more at the palace where our father dwells and where we were born, and at the church where our mother lies buried.	We have permission to visit our home once in every year and to remain eleven days, during which we fly across the forest to look once more at the palace where our father dwells and where we were born, and at the church where our mother lies buried.	true	1091.63	1109.14	19
2741_159386_000007_000023	Here it seems as if the very trees and bushes were related to us.	Here it seems as if the very trees and bushes were related to us.	true	1110.17	1115.02	16
2741_159386_000007_000024	The wild horses leap over the plains as we have seen them in our childhood.	The wild horses leap over the plains as we have seen them in our childhood.	true	1115.6	1120.09	16
2741_159386_000007_000025	The charcoal burners sing the old songs to which we have danced as children.	The charcoal burners sing the old songs to which we have danced as children.	true	1120.52	1125.55	17
2741_159386_000007_000026	This is our fatherland to which we are drawn by loving ties; and here we have found you, our dear little sister.	This is our fatherland to which we are drawn by loving ties; and here we have found you, our dear little sister.	true	1126.16	1134.55	19.718586
2741_159386_000007_000027	Two days longer we can remain here, and then must we fly away to a beautiful land which is not our home; and how can we take you with us?	Two days longer we can remain here, and then must we fly away to a beautiful land which is not our home; and how can we take you with us?	true	1135.37	1145.35	20
2741_159386_000007_000028	We have neither ship nor boat."	We have neither ship nor boat."	true	1145.63	1147.84	18.662312
2741_159386_000008_000000	"How can I break this spell?" said their sister.	"How can I break this spell?" said their sister.	true	1148.69	1152.55	19.594212
2741_159386_000008_000001	And then she talked about it nearly the whole night, only slumbering for a few hours.	And then she talked about it nearly the whole night, only slumbering for a few hours.	true	1153.58	1159.72	19.279583
2741_159386_000008_000002	Eliza was awakened by the rustling of the swans' wings as they soared above. Her brothers were again changed to swans, and they flew in circles wider and wider till they were far away; but one of them, the youngest swan, remained behind and laid his head in his sister's lap, while she stroked his wings, and they remained together the whole day.	Eliza was awakened by the rustling of the swans' wings as they soared above. Her brothers were again changed to swans, and they flew in circles wider and wider till they were far away; but one of them, the youngest swan, remained behind and laid his head in his sister's lap, while she stroked his wings, and they remained together the whole day.	false	1160.66	1186.69	20.383522
2741_159386_000008_000003	Toward evening the rest came back, and as the sun went down they resumed their natural forms.	Toward evening the rest came back, and as the sun went down they resumed their natural forms.	true	1187.96	1194.82	20.635067
2741_159386_000008_000004	"To-morrow," said one, "we shall fly away, not to return again till a whole year has passed.	"To morrow," said one, "we shall fly away, not to return again till a whole year has passed.	true	1196.18	1204	17.03669
2741_159386_000008_000005	But we cannot leave you here.	But we cannot leave you here.	true	1204.49	1206.4	19
2741_159386_000008_000006	Have you courage to go with us?	Have you courage to go with us?	true	1207.01	1208.98	23.825253
2741_159386_000008_000007	My arm is strong enough to carry you through the wood; and will not all our wings be strong enough to fly with you over the sea?"	My arm is strong enough to carry you through the wood; and will not all our wings be strong enough to fly with you over the sea?"	true	1209.44	1217.2	17
2741_159386_000009_000000	"Yes, take me with you," said Eliza.	"Yes, take me with you," said Eliza.	true	1218.17	1222.27	19.484709
2741_159386_000009_000001	Then they spent the whole night in weaving a net with the pliant willow and rushes.	Then they spent the whole night in weaving a net with the pliant willow and rushes.	false	1223.24	1228.75	16
2741_159386_000009_000002	It was very large and strong.	It was very large and strong.	true	1229.66	1231.9	20
2741_159386_000009_000003	Eliza laid herself down on the net, and when the sun rose and her brothers again became wild swans, they took up the net with their beaks and flew up to the clouds with their dear sister, who still slept. The sunbeams fell on her face, therefore one of the swans soared over her head, so that his broad wing might shade her.	Eliza laid herself down on the net, and when the sun rose and her brothers again became wild swans, they took up the net with their beaks and flew up to the clouds with their dear sister, who still slept. The sunbeams fell on her face, therefore one of the swans soared over her head, so that his broad wing might shade her.	true	1232.21	1256.77	20.753157
2741_159386_000009_000004	They were far from the land when Eliza woke.	They were far from the land when Eliza woke.	true	1257.71	1261	19
2741_159386_000009_000005	She thought she must still be dreaming, it seemed so strange to her to feel herself being carried so high in the air over the sea.	She thought she must still be dreaming, it seemed so strange to her to feel herself being carried so high in the air over the sea.	true	1261.31	1270.57	18
2741_159386_000009_000006	By her side lay a branch full of beautiful ripe berries and a bundle of sweet roots; the youngest of her brothers had gathered them for her, and placed them by her side.	By her side lay a branch full of beautiful ripe berries and a bundle of sweet roots; the youngest of her brothers had gathered them for her, and placed them by her side.	true	1272.08	1284.31	20.773413
2741_159386_000009_000007	She smiled her thanks to him; she knew it was the same who had hovered over her to shade her with his wings.	She smiled her thanks to him; she knew it was the same who had hovered over her to shade her with his wings.	true	1284.95	1292.86	19.536247
2741_159386_000009_000008	They were now so high that a large ship beneath them looked like a white sea gull skimming the waves.	They were now so high that a large ship beneath them looked like a white sea gull skimming the waves.	false	1293.98	1301.32	19.872278
2741_159386_000009_000009	A great cloud floating behind them appeared like a vast mountain, and upon it Eliza saw her own shadow and those of the eleven swans, looking gigantic in size.	A great cloud floating behind them appeared like a vast mountain, and upon it Eliza saw her own shadow and those of the eleven swans, looking gigantic in size.	false	1302.02	1316.14	20.234428
2741_159386_000009_000010	Altogether it formed a more beautiful picture than she had ever seen; but as the sun rose higher, and the clouds were left behind, the shadowy picture vanished away.	Altogether it formed a more beautiful picture than she had ever seen; but as the sun rose higher, and the clouds were left behind, the shadowy picture vanished away.	true	1317.17	1329.91	20.613693
2741_159386_000009_000011	Onward the whole day they flew through the air like a winged arrow, yet more slowly than usual, for they had their sister to carry.	Onward the whole day they flew through the air like a winged arrow, yet more slowly than usual, for they had their sister to carry.	true	1330.82	1341.04	18.05441
2741_159386_000009_000012	The weather seemed inclined to be stormy, and Eliza watched the sinking sun with great anxiety, for the little rock in the ocean was not yet in sight.	The weather seemed inclined to be stormy, and Eliza watched the sinking sun with great anxiety, for the little rock in the ocean was not yet in sight.	true	1341.68	1353.13	17
2741_159386_000009_000013	It appeared to her as if the swans were making great efforts with their wings.	It appeared to her as if the swans were making great efforts with their wings.	false	1353.89	1360.2	21.597393
2741_159386_000009_000014	Alas! she was the cause of their not advancing more quickly.	Alas! she was the cause of their not advancing more quickly.	false	1360.2	1364.2	18
2741_159386_000009_000015	When the sun set they would change to men, fall into the sea, and be drowned.	When the sun set they would change to men, fall into the sea, and be drowned.	true	1365.23	1370.8	21.575773
2741_159386_000009_000016	Then she offered a prayer from her inmost heart, but still no appearance of the rock.	Then she offered a prayer from her inmost heart, but still no appearance of the rock.	true	1371.56	1378.69	21.68664
2741_159386_000009_000017	Dark clouds came nearer, the gusts of wind told of a coming storm, while from a thick, heavy mass of clouds the lightning burst forth flash after flash.	Dark clouds came nearer, the gusts of wind told of a coming storm, while from a thick, heavy mass of clouds the lightning burst forth flash after flash.	false	1379.42	1392.49	20.67782
2741_159386_000009_000018	The sun had reached the edge of the sea, when the swans darted down so swiftly that Eliza's head trembled; she believed they were falling, but they again soared onward.	The sun had reached the edge of the sea, when the swans darted down so swiftly that Eliza's head trembled; she believed they were falling, but they again soared onward.	true	1393.31	1406.98	19.071619
2741_159386_000009_000019	Presently she caught sight of the rock just below them, and by this time the sun was half hidden by the waves.	Presently she caught sight of the rock just below them, and by this time the sun was half hidden by the waves.	true	1407.71	1416.52	18.023485
2741_159386_000009_000020	The rock did not appear larger than a seal's head thrust out of the water.	The rock did not appear larger than a seal's head thrust out of the water.	true	1417.1	1421.95	17
