589_139200_000000_000000	CHAPTER IV	CHAPTER four	false	1.74	23.17	19.295002
589_139200_000004_000000	And I knew another thing in that moment: poor Maisie, lying awake to listen for the tap at her window, so that she might get up and peep round the corner of her blind to assure herself that her Hughie was alive and safe, would have to lie quaking and speculating through the dark hours of that night, for here was work that was going to keep me busied till day broke.	And I knew another thing in that moment: poor Maisie, lying awake to listen for the tap at her window, so that she might get up and peep round the corner of her blind to assure herself that her Hughie was alive and safe, would have to lie quaking and speculating through the dark hours of that night, for here was work that was going to keep me busied till day broke.	false	182.45	206.23	20.52557
589_139200_000004_000001	I set to it there and then, leaving the man just as I had found him, and hastening back in the direction of the main road.	I set to it there and then, leaving the man just as I had found him, and hastening back in the direction of the main road.	true	207.29	214.84	19.658632
589_139200_000004_000002	As luck would have it, I heard voices of men on Twizel Bridge, and ran right on the local police-sergeant and a constable, who had met there in the course of their night rounds.	As luck would have it, I heard voices of men on Twizel Bridge, and ran right on the local police sergeant and a constable, who had met there in the course of their night rounds.	false	215.66	226.45	19.150318
589_139200_000004_000003	I knew them both, the sergeant being one Chisholm, and the constable a man named Turndale, and they knew me well enough from having seen me in the court at Berwick; and it was with open-mouthed surprise that they listened to what I had to tell them.	I knew them both, the sergeant being one Chisholm, and the constable a man named Turndale, and they knew me well enough from having seen me in the court at Berwick; and it was with open mouthed surprise that they listened to what I had to tell them.	true	227.18	242.35	18.693333
589_139200_000004_000004	Presently we were all three round the dead man, and this time there was the light of three lamps on his face and on the gouts of blood that were all about him, and Chisholm clicked his tongue sharply at what he saw.	Presently we were all three round the dead man, and this time there was the light of three lamps on his face and on the gouts of blood that were all about him, and Chisholm clicked his tongue sharply at what he saw.	true	242.84	255.61	19.740656
589_139200_000005_000000	"Here's a sore sight for honest folk!" he said in a low voice, as he bent down and touched one of the hands.	"Here's a sore sight for honest folk!" he said in a low voice, as he bent down and touched one of the hands.	false	257.3	263.94	18.797602
589_139200_000005_000001	"Aye, and he's been dead a good hour, I should say, by the feel of him!	"Aye, and he's been dead a good hour, I should say, by the feel of him!	false	263.94	269.26	18.804806
589_139200_000005_000002	You heard nothing as you came down yon lane, Mr. Hugh?"	You heard nothing as you came down yon lane, mr Hugh?"	true	269.99	273.07	17.784727
589_139200_000006_000000	"Not a sound!" I answered.	"Not a sound!" I answered.	true	274.04	276.43	22.081848
589_139200_000007_000000	"And saw nothing?" he questioned.	"And saw nothing?" he questioned.	false	277.13	279.73	21.682928
589_139200_000008_000000	"Nothing and nobody!" I said.	"Nothing and nobody!" I said.	true	280.52	283.12	21.074215
589_139200_000009_000000	"Well," said he, "we'll have to get him away from this.	"Well," said he, "we'll have to get him away from this.	true	283.19	287.38	19.230005
589_139200_000009_000001	You'll have to get help," he went on, turning to the constable.	You'll have to get help," he went on, turning to the constable.	true	288.05	291.7	20.063282
589_139200_000009_000002	"Fetch some men to help us carry him.	"Fetch some men to help us carry him.	false	292.07	294.19	18.034946
589_139200_000009_000003	He'll have to be taken to the nearest inn for the inquest--that's how the law is.	He'll have to be taken to the nearest inn for the inquest-that's how the law is.	true	294.35	298.75	19.164618
589_139200_000009_000004	I wasn't going to ask it while yon man was about, Mr. Hugh," he continued, when Turndale had gone hurrying towards the village; "but you'll not mind me asking it now--what were you doing here yourself, at this hour?"	I wasn't going to ask it while yon man was about, mr Hugh," he continued, when Turndale had gone hurrying towards the village; "but you'll not mind me asking it now-what were you doing here yourself, at this hour?"	false	299.75	314.98	19.919012
589_139200_000010_000000	"You've a good right, Chisholm," said I; "and I'll tell you, for by all I can see, there'll be no way of keeping it back, and it's no concern of mine to keep it back, and I don't care who knows all about it--not me! The truth is, we've a lodger at our house, one Mr. James Gilverthwaite, that's a mysterious sort of man, and he's at present in his bed with a chill or something that's like to keep him there; and tonight he got me to ride out here to meet a man whom he ought to have met himself--and that's why I'm here and all that I have to do with it."	"You've a good right, Chisholm," said I; "and I'll tell you, for by all I can see, there'll be no way of keeping it back, and it's no concern of mine to keep it back, and I don't care who knows all about it-not me! The truth is, we've a lodger at our house, one mr james Gilverthwaite, that's a mysterious sort of man, and he's at present in his bed with a chill or something that's like to keep him there; and tonight he got me to ride out here to meet a man whom he ought to have met himself-and that's why I'm here and all that I have to do with it."	false	316.28	353.62	20.009771
589_139200_000011_000000	"You don't mean to say that--that!" he exclaimed, jerking his thumb at the dead man; "that--that's the man you were to meet?"	"You don't mean to say that-that!" he exclaimed, jerking his thumb at the dead man; "that-that's the man you were to meet?"	false	355.37	365.86	20.429552
589_139200_000012_000000	"Who else?" said I. "Can you think of any other that it would be?	"Who else?" said i "Can you think of any other that it would be?	false	366.8	371.38	19.382994
589_139200_000012_000001	And I'm wondering if whoever killed this fellow, whoever he may be, wouldn't have killed Mr. Gilverthwaite, too, if he'd come?	And I'm wondering if whoever killed this fellow, whoever he may be, wouldn't have killed mr Gilverthwaite, too, if he'd come?	true	371.72	380.35	20.681675
589_139200_000012_000002	This is no by-chance murder, Chisholm, as you'll be finding out."	This is no by chance murder, Chisholm, as you'll be finding out."	true	381.17	384.73	19.206387
589_139200_000013_000000	"Well, well, I never knew its like!" he remarked, staring from me to the body, and from it to me.	"Well, well, I never knew its like!" he remarked, staring from me to the body, and from it to me.	true	386.03	393.4	20.13763
589_139200_000013_000001	"You saw nobody about close by--nor in the neighbourhood--no strangers on the road?"	"You saw nobody about close by-nor in the neighbourhood-no strangers on the road?"	true	394.13	399.54	20.439013
589_139200_000014_000000	I was ready for that question.	I was ready for that question.	true	399.54	401.44	19.558483
589_139200_000014_000001	Ever since finding the body, I had been wondering what I should say when authority, either in the shape of a coroner or a policeman, asked me about my own adventures that night.	Ever since finding the body, I had been wondering what I should say when authority, either in the shape of a coroner or a policeman, asked me about my own adventures that night.	true	402.02	413.2	20.7371
589_139200_000014_000002	To be sure, I had seen a stranger, and I had observed that he had lost a couple of fingers, the first and second, of his right hand; and it was certainly a queer thing that he should be in that immediate neighbourhood about the time when this unfortunate man met his death.	To be sure, I had seen a stranger, and I had observed that he had lost a couple of fingers, the first and second, of his right hand; and it was certainly a queer thing that he should be in that immediate neighbourhood about the time when this unfortunate man met his death.	false	413.99	430.69	19.454264
589_139200_000014_000003	But it had been borne in on my mind pretty strongly that the man I had seen looking at his map was some gentleman-tourist who was walking the district, and had as like as not been tramping it over Plodden Field and that historic corner of the country, and had become benighted ere he could reach wherever his headquarters were.	But it had been borne in on my mind pretty strongly that the man I had seen looking at his map was some gentleman tourist who was walking the district, and had as like as not been tramping it over Plodden Field and that historic corner of the country, and had become benighted ere he could reach wherever his headquarters were.	false	431.6	453.42	18.904718
589_139200_000014_000004	And I was not going to bring suspicion on what was in all probability an innocent stranger, so I answered Chisholm's question as I meant to answer any similar one--unless, indeed, I had reason to alter my mind.	And I was not going to bring suspicion on what was in all probability an innocent stranger, so I answered Chisholm's question as I meant to answer any similar one-unless, indeed, I had reason to alter my mind.	true	453.42	467.56	19.503395
589_139200_000015_000000	"I saw nobody and heard nothing--about here," said I. "It's not likely there'd be strangers in this spot at midnight."	"I saw nobody and heard nothing-about here," said i "It's not likely there'd be strangers in this spot at midnight."	true	468.8	476.92	19.289795
589_139200_000016_000000	"For that matter, the poor fellow is a stranger himself," said he, once more turning his lamp on the dead face.	"For that matter, the poor fellow is a stranger himself," said he, once more turning his lamp on the dead face.	false	477.89	485.38	20.320889
589_139200_000016_000001	"Anyway, he's not known to me, and I've been in these parts twenty years.	"Anyway, he's not known to me, and I've been in these parts twenty years.	true	486.29	491.2	21.110857
589_139200_000016_000002	And altogether it's a fine mystery you've hit on, Mr. Hugh, and there'll be strange doings before we're at the bottom of it, I'm thinking."	And altogether it's a fine mystery you've hit on, mr Hugh, and there'll be strange doings before we're at the bottom of it, I'm thinking."	false	492.05	501.12	19.331255
589_139200_000017_000000	That there was mystery in this affair was surer than ever when, having got the man to the nearest inn, and brought more help, including a doctor, they began to examine him and his clothing.	That there was mystery in this affair was surer than ever when, having got the man to the nearest inn, and brought more help, including a doctor, they began to examine him and his clothing.	false	501.12	514	19.67341
589_139200_000017_000001	And now that I saw him in a stronger light, I found that he was a strongly built, well-made man of about Mr. Gilverthwaite's age--say, just over sixty years or so,--dressed in a gentlemanlike fashion, and wearing good boots and linen and a tweed suit of the sort affected by tourists.	And now that I saw him in a stronger light, I found that he was a strongly built, well made man of about mr Gilverthwaite's age-say, just over sixty years or so,--dressed in a gentlemanlike fashion, and wearing good boots and linen and a tweed suit of the sort affected by tourists.	false	515.36	534.94	19.759926
589_139200_000017_000002	There was a good deal of money in his pockets--bank-notes, gold, and silver--and an expensive watch and chain, and other such things that a gentleman would carry; and it seemed very evident that robbery had not been the motive of the murderers.	There was a good deal of money in his pockets-bank notes, gold, and silver-and an expensive watch and chain, and other such things that a gentleman would carry; and it seemed very evident that robbery had not been the motive of the murderers.	true	535.61	551.2	19.859066
589_139200_000017_000003	But of papers that could identify the man there was nothing--in the shape of paper or its like there was not one scrap in all the clothing, except the return half of a railway ticket between Peebles and Coldstream, and a bit of a torn bill-head giving the name and address of a tradesman in Dundee.	But of papers that could identify the man there was nothing-in the shape of paper or its like there was not one scrap in all the clothing, except the return half of a railway ticket between Peebles and Coldstream, and a bit of a torn bill head giving the name and address of a tradesman in Dundee.	true	552.56	571.24	18.869663
589_139200_000018_000000	"There's something to go on, anyway," remarked Chisholm, as he carefully put these things aside after pointing out to us that the ticket was dated on what was now the previous day (for it was already well past midnight, and the time was creeping on to morning), and that the dead man must accordingly have come to Coldstream not many hours before his death; "and we'll likely find something about him from either Dundee or Peebles.	"There's something to go on, anyway," remarked Chisholm, as he carefully put these things aside after pointing out to us that the ticket was dated on what was now the previous day (for it was already well past midnight, and the time was creeping on to morning), and that the dead man must accordingly have come to Coldstream not many hours before his death; "and we'll likely find something about him from either Dundee or Peebles.	true	572.57	599.49	19.423096
589_139200_000018_000001	But I'm inclined to think, Mr. Hugh," he continued, drawing me aside, "that even though they didn't rob the man of his money and valuables, they took something else from him that may have been of much more value than either."	But I'm inclined to think, mr Hugh," he continued, drawing me aside, "that even though they didn't rob the man of his money and valuables, they took something else from him that may have been of much more value than either."	false	599.49	615.1	19.165243
589_139200_000019_000000	"What?" I asked.	"What?" I asked.	true	615.83	617.59	21.386421
589_139200_000020_000000	"Papers!" said he.	"Papers!" said he.	true	618.32	620.08	22.042658
589_139200_000020_000001	"Look at the general appearance of the man!	"Look at the general appearance of the man!	false	620.51	622.78	20.480976
589_139200_000020_000002	He's no common or ordinary sort.	He's no common or ordinary sort.	true	623.21	625.75	19.920738
589_139200_000020_000003	Is it likely, now, such a man would be without letters and that sort of thing in his pockets?	Is it likely, now, such a man would be without letters and that sort of thing in his pockets?	true	626.12	631.3	15
589_139200_000020_000004	Like as not he'd carry his pocket-book, and it may have been this pocket-book with what was in it they were after, and not troubling about his purse at all."	Like as not he'd carry his pocket book, and it may have been this pocket book with what was in it they were after, and not troubling about his purse at all."	false	632.09	642.16	19.984467
589_139200_000021_000000	"They made sure of him, anyway," said I, and went out of the room where they had laid the body, not caring to stay longer.	"They made sure of him, anyway," said I, and went out of the room where they had laid the body, not caring to stay longer.	false	643.82	651.88	21.30452
589_139200_000021_000001	For I had heard what the doctor said--that the man had been killed on the spot by a single blow from a knife or dagger which had been thrust into his heart from behind with tremendous force, and the thought of it was sickening me. "What are you going to do now?" I asked of Chisholm, who had followed me. "And do you want me any more, sergeant?--for, if not, I'm anxious to get back to Berwick."	For I had heard what the doctor said-that the man had been killed on the spot by a single blow from a knife or dagger which had been thrust into his heart from behind with tremendous force, and the thought of it was sickening me. "What are you going to do now?" I asked of Chisholm, who had followed me. "And do you want me any more, sergeant?--for, if not, I'm anxious to get back to Berwick."	false	652.31	680.47	19.624084
589_139200_000022_000000	"That's just where I'm coming with you," he answered.	"That's just where I'm coming with you," he answered.	true	681.65	684.73	20.352201
589_139200_000022_000001	"I've my bicycle close by, and we'll ride into the town together at once.	"I've my bicycle close by, and we'll ride into the town together at once.	true	684.95	689.38	20.45922
589_139200_000022_000002	For, do you see, Mr. Hugh, there's just one man hereabouts that can give us some light on this affair straightaway--if he will--and that the lodger you were telling me of.	For, do you see, mr Hugh, there's just one man hereabouts that can give us some light on this affair straightaway-if he will-and that the lodger you were telling me of.	false	689.54	700.78	18.995047
589_139200_000022_000003	And I must get in and see the superintendent, and we must get speech with this Mr. Gilverthwaite of yours--for, if he knows no more, he'll know who yon man is!"	And I must get in and see the superintendent, and we must get speech with this mr Gilverthwaite of yours-for, if he knows no more, he'll know who yon man is!"	true	701.84	711.37	19.633692
589_139200_000023_000000	I made no answer to that.	I made no answer to that.	true	712.58	714.31	19.178358
589_139200_000023_000001	I had no certain answer to make.	I had no certain answer to make.	true	715.01	717.13	19.375824
589_139200_000023_000002	I was already wondering about a lot of conjectures.	I was already wondering about a lot of conjectures.	true	717.59	720.52	16
589_139200_000023_000003	Would Mr. Gilverthwaite know who the man was?	Would mr Gilverthwaite know who the man was?	true	721.25	723.97	17
589_139200_000023_000004	Was he the man I ought to have met?	Was he the man I ought to have met?	true	725	727.12	20.974222
589_139200_000023_000005	Or had that man been there, witnessed the murder, and gone away, frightened to stop where the murder had been done?	Or had that man been there, witnessed the murder, and gone away, frightened to stop where the murder had been done?	true	728	734.89	20.983097
589_139200_000023_000006	Or--yet again--was this some man who had come upon Mr. Gilverthwaite's correspondent, and, for some reason, been murdered by him?	Or-yet again-was this some man who had come upon mr Gilverthwaite's correspondent, and, for some reason, been murdered by him?	true	735.8	744.64	21.274101
589_139200_000023_000007	It was, however, all beyond me just then, and presently the sergeant and I were on our machines and making for Berwick.	It was, however, all beyond me just then, and presently the sergeant and I were on our machines and making for Berwick.	false	745.79	754.24	19.802176
589_139200_000023_000008	But we had not been set out half an hour, and were only just where we could see the town's lights before us in the night, when two folk came riding bicycles through the mist that lay thick in a dip of the road, and, calling to me, let me know that they were Maisie Dunlop and her brother Tom that she had made to come with her, and in another minute Maisie and I were whispering together.	But we had not been set out half an hour, and were only just where we could see the town's lights before us in the night, when two folk came riding bicycles through the mist that lay thick in a dip of the road, and, calling to me, let me know that they were Maisie Dunlop and her brother Tom that she had made to come with her, and in another minute Maisie and I were whispering together.	false	755	778.93	20.872953
589_139200_000024_000000	"It's all right now that I know you're safe, Hugh," she said breathlessly.	"It's all right now that I know you're safe, Hugh," she said breathlessly.	true	780.14	784.69	18.990078
589_139200_000024_000001	"But you must get back with me quickly.	"But you must get back with me quickly.	true	785.09	787.78	20.913027
589_139200_000024_000002	Yon lodger of yours is dead, and your mother in a fine way, wondering where you are!"	Yon lodger of yours is dead, and your mother in a fine way, wondering where you are!"	true	788.24	793.65	21.564903
589_139200_000025_000000	CHAPTER V	CHAPTER five	false	793.65	793.86	0
589_139200_000026_000000	THE BRASS-BOUND CHEST	THE BRASS BOUND CHEST	false	793.86	794.28	-20
589_139200_000027_000000	The police-sergeant had got off his bicycle at the same time that I jumped from mine, and he was close behind me when Maisie and I met, and I heard him give a sharp whistle at her news.	The police sergeant had got off his bicycle at the same time that I jumped from mine, and he was close behind me when Maisie and I met, and I heard him give a sharp whistle at her news.	false	794.28	797.97	18.216387
589_139200_000027_000001	And as for me, I was dumbfounded, for though I had seen well enough that Mr. Gilverthwaite was very ill when I left him, I was certainly a long way from thinking him like to die.	And as for me, I was dumbfounded, for though I had seen well enough that mr Gilverthwaite was very ill when I left him, I was certainly a long way from thinking him like to die.	false	797.97	800.34	-20
589_139200_000027_000002	Indeed, I was so astonished that all I could do was to stand staring at Maisie in the grey light which was just coming between the midnight and the morning.	Indeed, I was so astonished that all I could do was to stand staring at Maisie in the grey light which was just coming between the midnight and the morning.	false	800.34	802.32	-20
589_139200_000027_000003	But the sergeant found his tongue more readily.	But the sergeant found his tongue more readily.	false	802.32	802.83	-20
