1165_135220_000002_000000	CHAPTER V	CHAPTER five
1165_135220_000008_000001	It was faint glow that at first caught my gaze; and, on turning to see it better, I saw a round red spot glowing like fire.	It was faint glow that at first caught my gaze; and, on turning to see it better, I saw a round red spot glowing like fire.
1165_135220_000008_000002	I had not seen this before.	I had not seen this before.
1165_135220_000008_000003	It looked like the moon when it rises from behind clouds, and glows red and lurid from the horizon; and so this glowed, but not with the steady light of the moon, for the light was fitful, and sometimes flashed into a baleful brightness, which soon subsided into a dimmer lustre.	It looked like the moon when it rises from behind clouds, and glows red and lurid from the horizon; and so this glowed, but not with the steady light of the moon, for the light was fitful, and sometimes flashed into a baleful brightness, which soon subsided into a dimmer lustre.
1165_135220_000008_000005	This, then, I thought, was to be the end of my voyage; this was my goal--a pit of fire, into which I should be hurled!	This, then, I thought, was to be the end of my voyage; this was my goal-a pit of fire, into which I should be hurled!
1165_135220_000008_000006	Would it be well, I thought, to wait for such a fate, and experience such a death-agony?	Would it be well, I thought, to wait for such a fate, and experience such a death agony?
1165_135220_000008_000007	Would it not be better for me to take my own life before I should know the worst?	Would it not be better for me to take my own life before I should know the worst?
1165_135220_000008_000008	I took my pistol and loaded it, so as to be prepared, but hesitated to use it until my fate should be more apparent.	I took my pistol and loaded it, so as to be prepared, but hesitated to use it until my fate should be more apparent.
1165_135220_000008_000009	So I sat, holding my pistol, prepared to use it, watching the light, and awaiting the time when the glowing fires should make all further hope impossible.	So I sat, holding my pistol, prepared to use it, watching the light, and awaiting the time when the glowing fires should make all further hope impossible.
1165_135220_000008_000010	But time passed, and the light grew no brighter; on the contrary, it seemed to grow fainter.	But time passed, and the light grew no brighter; on the contrary, it seemed to grow fainter.
1165_135220_000008_000014	All the time it continued to grow fainter, and it seemed certain that I was moving away from it rather than toward it.	All the time it continued to grow fainter, and it seemed certain that I was moving away from it rather than toward it.
1165_135220_000008_000017	I saw that I was still moving on away from that light as before, and that its changing position was due to the turning of the boat as the water drifted it along, now stern foremost, now sidewise, and again bow foremost.	I saw that I was still moving on away from that light as before, and that its changing position was due to the turning of the boat as the water drifted it along, now stern foremost, now sidewise, and again bow foremost.
1165_135220_000008_000018	From this it seemed plainly evident that the waters had borne me into some vast cavern of unknown extent, which went under the mountains--a subterranean channel, whose issue I could not conjecture.	From this it seemed plainly evident that the waters had borne me into some vast cavern of unknown extent, which went under the mountains-a subterranean channel, whose issue I could not conjecture.
1165_135220_000008_000020	But the old theory of the flow of water through the earth had taken hold of me and could not be shaken off.	But the old theory of the flow of water through the earth had taken hold of me and could not be shaken off.
1165_135220_000008_000021	I knew some scientific men held the opinion that the earth's interior is a mass of molten rock and pent-up fire, and that the earth itself had once been a burning orb, which had cooled down at the surface; yet, after all, this was only a theory, and there were other theories which were totally different.	I knew some scientific men held the opinion that the earth's interior is a mass of molten rock and pent up fire, and that the earth itself had once been a burning orb, which had cooled down at the surface; yet, after all, this was only a theory, and there were other theories which were totally different.
1165_135220_000008_000023	These, I knew, were only the creations of fiction; yet, after all, it seemed possible that the earth might contain vast hollow spaces in its interior--realms of eternal darkness, caverns in comparison with which the hugest caves on the surface were but the tiniest cells.	These, I knew, were only the creations of fiction; yet, after all, it seemed possible that the earth might contain vast hollow spaces in its interior-realms of eternal darkness, caverns in comparison with which the hugest caves on the surface were but the tiniest cells.
1165_135220_000008_000024	I was now being borne on to these.	I was now being borne on to these.
1165_135220_000008_000025	In that case there might be no sudden plunge, after all.	In that case there might be no sudden plunge, after all.
1165_135220_000009_000000	There was no possible way of forming any estimate as to speed.	There was no possible way of forming any estimate as to speed.
1165_135220_000009_000001	All was dark, and even the glow behind was fading away; nor could I make any conjecture whatever as to the size of the channel.	All was dark, and even the glow behind was fading away; nor could I make any conjecture whatever as to the size of the channel.
1165_135220_000009_000002	At the opening it had been contracted and narrow; but here it might have expanded itself to miles, and its vaulted top might reach almost to the summit of the lofty mountains.	At the opening it had been contracted and narrow; but here it might have expanded itself to miles, and its vaulted top might reach almost to the summit of the lofty mountains.
1165_135220_000009_000003	While sight thus failed me, sound was equally unavailing, for it was always the same--a sustained and unintermittent roar, a low, droning sound, deep and terrible, with no variations of dashing breakers or rushing rapids or falling cataracts.	While sight thus failed me, sound was equally unavailing, for it was always the same-a sustained and unintermittent roar, a low, droning sound, deep and terrible, with no variations of dashing breakers or rushing rapids or falling cataracts.
1165_135220_000009_000004	Vague thoughts of final escape came and went; but in such a situation hope could not be sustained.	Vague thoughts of final escape came and went; but in such a situation hope could not be sustained.
1165_135220_000009_000006	That seemed to me to be my last sight of earthly things. After this nothing was left.	That seemed to me to be my last sight of earthly things. After this nothing was left.
1165_135220_000010_000001	I struck a match.	I struck a match.
1165_135220_000010_000004	I loaded both barrels of the rifle, keeping my pistol for another purpose, and then fired one of them.	I loaded both barrels of the rifle, keeping my pistol for another purpose, and then fired one of them.
1165_135220_000010_000005	There was a tremendous report, that rang in my ears like a hundred thunder-volleys, and rolled and reverberated far along, and died away in endless echoes.	There was a tremendous report, that rang in my ears like a hundred thunder volleys, and rolled and reverberated far along, and died away in endless echoes.
1165_135220_000010_000007	I saw a wide expanse of water, black as ink--a Stygian pool; but no rocks were visible, and it seemed as though I had been carried into a subterranean sea.	I saw a wide expanse of water, black as ink-a Stygian pool; but no rocks were visible, and it seemed as though I had been carried into a subterranean sea.
1165_135220_000011_000000	I loaded the empty barrel and waited.	I loaded the empty barrel and waited.
1165_135220_000011_000001	The flash of light had revealed nothing, yet it had distracted my thoughts, and the work of reloading was an additional distraction.	The flash of light had revealed nothing, yet it had distracted my thoughts, and the work of reloading was an additional distraction.
1165_135220_000011_000002	Anything was better than inaction.	Anything was better than inaction.
1165_135220_000011_000003	I did not wish to waste my ammunition, yet I thought that an occasional shot might serve some good purpose, if it was only to afford me some relief from despair.	I did not wish to waste my ammunition, yet I thought that an occasional shot might serve some good purpose, if it was only to afford me some relief from despair.
1165_135220_000012_000000	And now, as I sat with the rifle in my hands, I was aware of a sound--new, exciting, different altogether from the murmur of innumerable waters that filled my ears, and in sharp contrast with the droning echoes of the rushing flood.	And now, as I sat with the rifle in my hands, I was aware of a sound-new, exciting, different altogether from the murmur of innumerable waters that filled my ears, and in sharp contrast with the droning echoes of the rushing flood.
1165_135220_000012_000002	I heard quick, heavy pantings, as of some great living thing; and with this there came the noise of regular movements in the water, and the foaming and gurgling of waves.	I heard quick, heavy pantings, as of some great living thing; and with this there came the noise of regular movements in the water, and the foaming and gurgling of waves.
1165_135220_000012_000003	It was as though some living, breathing creature were here, not far away, moving through these midnight waters; and with this discovery there came a new fear--the fear of pursuit.	It was as though some living, breathing creature were here, not far away, moving through these midnight waters; and with this discovery there came a new fear-the fear of pursuit.
1165_135220_000012_000005	This new fear aroused me to action.	This new fear aroused me to action.
1165_135220_000012_000007	So I stood up with my rifle and listened, with all my soul in my sense of hearing.	So I stood up with my rifle and listened, with all my soul in my sense of hearing.
1165_135220_000012_000008	The sounds arose more plainly.	The sounds arose more plainly.
1165_135220_000012_000009	They had come nearer.	They had come nearer.
1165_135220_000012_000010	They were immediately in front.	They were immediately in front.
1165_135220_000012_000011	I raised my rifle and took aim.	I raised my rifle and took aim.
1165_135220_000012_000013	For there full before me I saw, though but for an instant, a tremendous sight.	For there full before me I saw, though but for an instant, a tremendous sight.
1165_135220_000012_000014	It was a vast monster, moving in the waters against the stream and toward the boat.	It was a vast monster, moving in the waters against the stream and toward the boat.
