718_129594_000000_000000	He found the ravine deserted.	He found the ravine deserted.	false	0	1.65	2
718_129594_000005_000001	He was already more than half fuddled. I told him that some serious thing must have happened to Moreau by this time, or he would have returned before this, and that it behoved us to ascertain what that catastrophe was. Montgomery raised some feeble objections, and at last agreed. We had some food, and then all three of us started.	He was already more than half fuddled. I told him that some serious thing must have happened to Moreau by this time, or he would have returned before this, and that it behoved us to ascertain what that catastrophe was. Montgomery raised some feeble objections, and at last agreed. We had some food, and then all three of us started.	true	27.65	45.4	20.74997
718_129594_000006_000000	It is possibly due to the tension of my mind, at the time, but even now that start into the hot stillness of the tropical afternoon is a singularly vivid impression.	It is possibly due to the tension of my mind, at the time, but even now that start into the hot stillness of the tropical afternoon is a singularly vivid impression.	true	46.13	55.63	20.097668
718_129594_000006_000001	M'ling went first, his shoulder hunched, his strange black head moving with quick starts as he peered first on this side of the way and then on that. He was unarmed; his axe he had dropped when he encountered the Swine-man.	M'ling went first, his shoulder hunched, his strange black head moving with quick starts as he peered first on this side of the way and then on that. He was unarmed; his axe he had dropped when he encountered the Swine man.	false	55.64	68.17	23.357256
718_129594_000006_000002	Teeth were _his_ weapons, when it came to fighting. Montgomery followed with stumbling footsteps, his hands in his pockets, his face downcast; he was in a state of muddled sullenness with me on account of the brandy.	Teeth were underscore his underscore weapons, when it came to fighting. Montgomery followed with stumbling footsteps, his hands in his pockets, his face downcast; he was in a state of muddled sullenness with me on account of the brandy.	false	68.48	80.35	21.284958
718_129594_000006_000003	My left arm was in a sling (it was lucky it was my left), and I carried my revolver in my right. Soon we traced a narrow path through the wild luxuriance of the island, going northwestward; and presently M'ling stopped, and became rigid with watchfulness.	My left arm was in a sling (it was lucky it was my left), and I carried my revolver in my right. Soon we traced a narrow path through the wild luxuriance of the island, going northwestward; and presently M'ling stopped, and became rigid with watchfulness.	true	80.66	94.24	21.157583
718_129594_000006_000004	Montgomery almost staggered into him, and then stopped too.	Montgomery almost staggered into him, and then stopped too.	true	94.58	97.33	22.258347
718_129594_000006_000005	Then, listening intently, we heard coming through the trees the sound of voices and footsteps approaching us.	Then, listening intently, we heard coming through the trees the sound of voices and footsteps approaching us.	true	97.52	103.15	21
718_129594_000007_000000	"He is dead," said a deep, vibrating voice.	"He is dead," said a deep, vibrating voice.	true	103.97	107.4	19.883759
718_129594_000008_000000	"He is not dead; he is not dead," jabbered another.	"He is not dead; he is not dead," jabbered another.	false	107.4	111.34	24.203957
718_129594_000009_000000	"We saw, we saw," said several voices.	"We saw, we saw," said several voices.	true	111.86	114.97	16.86742
718_129594_000010_000000	"Hullo!" suddenly shouted Montgomery, "Hullo, there!"	"Hullo!" suddenly shouted Montgomery, "Hullo, there!"	true	115.52	119.11	21.139093
718_129594_000011_000000	"Confound you!" said I, and gripped my pistol.	"Confound you!" said I, and gripped my pistol.	true	119.63	122.44	21.927124
718_129594_000012_000000	There was a silence, then a crashing among the interlacing vegetation, first here, then there, and then half-a-dozen faces appeared,--strange faces, lit by a strange light.	There was a silence, then a crashing among the interlacing vegetation, first here, then there, and then half a dozen faces appeared,--strange faces, lit by a strange light.	true	122.81	132.79	19.900238
718_129594_000012_000001	M'ling made a growling noise in his throat.	M'ling made a growling noise in his throat.	true	133.13	135.52	18.951603
718_129594_000012_000002	I recognised the Ape-man: I had indeed already identified his voice, and two of the white-swathed brown-featured creatures I had seen in Montgomery's boat. With these were the two dappled brutes and that grey, horribly crooked creature who said the Law, with grey hair streaming down its cheeks, heavy grey eyebrows, and grey locks pouring off from a central parting upon its sloping forehead,--a heavy, faceless thing, with strange red eyes, looking at us curiously from amidst the green.	I recognised the Ape man: I had indeed already identified his voice, and two of the white swathed brown featured creatures I had seen in Montgomery's boat. With these were the two dappled brutes and that grey, horribly crooked creature who said the Law, with grey hair streaming down its cheeks, heavy grey eyebrows, and grey locks pouring off from a central parting upon its sloping forehead,--a heavy, faceless thing, with strange red eyes, looking at us curiously from amidst the green.	true	135.65	162.7	20.689745
718_129594_000013_000000	For a space no one spoke.	For a space no one spoke.	true	163.31	165.19	24.338184
718_129594_000013_000001	Then Montgomery hiccoughed, "Who--said he was dead?"	Then Montgomery hiccoughed, "Who-said he was dead?"	true	165.47	169.51	20.184431
718_129594_000014_000000	The Monkey-man looked guiltily at the hairy-grey Thing.	The Monkey man looked guiltily at the hairy grey Thing.	false	170.12	173.2	25.210672
718_129594_000014_000001	"He is dead," said this monster.	"He is dead," said this monster.	true	173.42	175.395	21.7857
718_129594_000014_000002	"They saw."	"They saw."	true	175.395	176.5	21.078712
718_129594_000015_000000	There was nothing threatening about this detachment, at any rate. They seemed awestricken and puzzled.	There was nothing threatening about this detachment, at any rate. They seemed awestricken and puzzled.	true	176.96	182.44	22.392628
718_129594_000016_000000	"Where is he?" said Montgomery.	"Where is he?" said Montgomery.	true	182.54	184.48	23.191172
718_129594_000017_000000	"Beyond," and the grey creature pointed.	"Beyond," and the grey creature pointed.	false	185.15	188.32	23.326513
718_129594_000018_000000	"Is there a Law now?" asked the Monkey-man.	"Is there a Law now?" asked the Monkey man.	true	189.08	191.68	20.591757
718_129594_000018_000001	"Is it still to be this and that?	"Is it still to be this and that?	true	192.02	194.77	21.706554
718_129594_000018_000002	Is he dead indeed?"	Is he dead indeed?"	true	194.93	196.96	18.865973
718_129594_000019_000000	"Is there a Law?" repeated the man in white.	"Is there a Law?" repeated the man in white.	true	198.71	201.405	18.97681
718_129594_000019_000001	"Is there a Law, thou Other with the Whip?"	"Is there a Law, thou Other with the Whip?"	true	201.405	204.24	20.604143
718_129594_000020_000000	"He is dead," said the hairy-grey Thing.	"He is dead," said the hairy grey Thing.	false	204.24	207.42	16.48813
718_129594_000020_000001	And they all stood watching us.	And they all stood watching us.	true	207.42	208.9	21
718_129594_000021_000000	"Prendick," said Montgomery, turning his dull eyes to me. "He's dead, evidently."	"Prendick," said Montgomery, turning his dull eyes to me. "He's dead, evidently."	true	209.27	214.69	22.452833
718_129594_000022_000000	I had been standing behind him during this colloquy. I began to see how things lay with them.	I had been standing behind him during this colloquy. I began to see how things lay with them.	true	215.54	220.33	22.123167
718_129594_000022_000001	I suddenly stepped in front of Montgomery and lifted up my voice:--"Children of the Law," I said, "he is _not_ dead!" M'ling turned his sharp eyes on me. "He has changed his shape; he has changed his body," I went on. "For a time you will not see him.	I suddenly stepped in front of Montgomery and lifted up my voice:--"Children of the Law," I said, "he is underscore not underscore dead!" M'ling turned his sharp eyes on me. "He has changed his shape; he has changed his body," I went on. "For a time you will not see him.	false	220.52	237.285	23.540285
718_129594_000022_000002	He is--there," I pointed upward, "where he can watch you.	He is-there," I pointed upward, "where he can watch you.	true	237.285	241.36	24.822006
718_129594_000022_000003	You cannot see him, but he can see you. Fear the Law!"	You cannot see him, but he can see you. Fear the Law!"	true	241.55	245.71	20.01785
718_129594_000023_000000	I looked at them squarely.	I looked at them squarely.	true	245.99	247.335	23.729578
718_129594_000023_000001	They flinched.	They flinched.	true	247.335	248.86	25.690517
718_129594_000024_000000	"He is great, he is good," said the Ape-man, peering fearfully upward among the dense trees.	"He is great, he is good," said the Ape man, peering fearfully upward among the dense trees.	true	249.98	256.36	21.082575
718_129594_000025_000000	"And the other Thing?" I demanded.	"And the other Thing?" I demanded.	true	256.88	259	23.632736
718_129594_000026_000000	"The Thing that bled, and ran screaming and sobbing,--that is dead too," said the grey Thing, still regarding me.	"The Thing that bled, and ran screaming and sobbing,--that is dead too," said the grey Thing, still regarding me.	true	259.55	266.86	19.983004
718_129594_000027_000000	"That's well," grunted Montgomery.	"That's well," grunted Montgomery.	true	267.11	269.74	18.708235
718_129594_000028_000000	"The Other with the Whip--" began the grey Thing.	"The Other with the Whip-" began the grey Thing.	true	270.23	273.405	22.80422
718_129594_000029_000000	"Well?" said I.	"Well?" said i	true	273.405	274.84	20.505232
718_129594_000030_000000	"Said he was dead."	"Said he was dead."	true	275.33	277.87	17.919731
718_129594_000031_000000	But Montgomery was still sober enough to understand my motive in denying Moreau's death.	But Montgomery was still sober enough to understand my motive in denying Moreau's death.	true	278.48	282.6	19.78587
718_129594_000031_000001	"He is not dead," he said slowly, "not dead at all. No more dead than I am."	"He is not dead," he said slowly, "not dead at all. No more dead than I am."	false	282.6	288.13	18.336964
718_129594_000032_000000	"Some," said I, "have broken the Law: they will die.	"Some," said I, "have broken the Law: they will die.	true	288.92	293.47	22.264145
718_129594_000032_000001	Some have died. Show us now where his old body lies,--the body he cast away because he had no more need of it."	Some have died. Show us now where his old body lies,--the body he cast away because he had no more need of it."	true	293.78	301.42	20.63405
718_129594_000033_000000	"It is this way, Man who walked in the Sea," said the grey Thing.	"It is this way, Man who walked in the Sea," said the grey Thing.	true	302.36	306.88	23.669575
718_129594_000034_000000	And with these six creatures guiding us, we went through the tumult of ferns and creepers and tree-stems towards the northwest. Then came a yelling, a crashing among the branches, and a little pink homunculus rushed by us shrieking.	And with these six creatures guiding us, we went through the tumult of ferns and creepers and tree stems towards the northwest. Then came a yelling, a crashing among the branches, and a little pink homunculus rushed by us shrieking.	true	307.58	320.05	20.851332
718_129594_000034_000001	Immediately after appeared a monster in headlong pursuit, blood-bedabbled, who was amongst us almost before he could stop his career.	Immediately after appeared a monster in headlong pursuit, blood bedabbled, who was amongst us almost before he could stop his career.	false	320.27	327.61	21.807337
718_129594_000034_000002	The grey Thing leapt aside. M'ling, with a snarl, flew at it, and was struck aside.	The grey Thing leapt aside. M'ling, with a snarl, flew at it, and was struck aside.	true	328.43	333.585	21.530834
718_129594_000034_000003	Montgomery fired and missed, bowed his head, threw up his arm, and turned to run. I fired, and the Thing still came on; fired again, point-blank, into its ugly face.	Montgomery fired and missed, bowed his head, threw up his arm, and turned to run. I fired, and the Thing still came on; fired again, point blank, into its ugly face.	true	333.585	342.61	21.134369
718_129594_000034_000004	I saw its features vanish in a flash: its face was driven in.	I saw its features vanish in a flash: its face was driven in.	true	342.83	346.71	18.962307
718_129594_000034_000005	Yet it passed me, gripped Montgomery, and holding him, fell headlong beside him and pulled him sprawling upon itself in its death-agony.	Yet it passed me, gripped Montgomery, and holding him, fell headlong beside him and pulled him sprawling upon itself in its death agony.	true	346.71	353.83	21.85302
718_129594_000035_000000	I found myself alone with M'ling, the dead brute, and the prostrate man. Montgomery raised himself slowly and stared in a muddled way at the shattered Beast Man beside him.	I found myself alone with M'ling, the dead brute, and the prostrate man. Montgomery raised himself slowly and stared in a muddled way at the shattered Beast Man beside him.	true	354.68	364.57	19.051323
718_129594_000035_000001	It more than half sobered him. He scrambled to his feet.	It more than half sobered him. He scrambled to his feet.	true	364.85	368.355	18.291348
718_129594_000035_000002	Then I saw the grey Thing returning cautiously through the trees.	Then I saw the grey Thing returning cautiously through the trees.	true	368.355	372.01	19.371555
718_129594_000036_000000	"See," said I, pointing to the dead brute, "is the Law not alive? This came of breaking the Law."	"See," said I, pointing to the dead brute, "is the Law not alive? This came of breaking the Law."	true	372.29	379.93	21.404602
718_129594_000037_000000	He peered at the body.	He peered at the body.	true	380.3	381.85	24.10138
718_129594_000037_000001	"He sends the Fire that kills," said he, in his deep voice, repeating part of the Ritual. The others gathered round and stared for a space.	"He sends the Fire that kills," said he, in his deep voice, repeating part of the Ritual. The others gathered round and stared for a space.	false	382.28	391.54	20.013918
718_129594_000038_000000	At last we drew near the westward extremity of the island. We came upon the gnawed and mutilated body of the puma, its shoulder-bone smashed by a bullet, and perhaps twenty yards farther found at last what we sought.	At last we drew near the westward extremity of the island. We came upon the gnawed and mutilated body of the puma, its shoulder bone smashed by a bullet, and perhaps twenty yards farther found at last what we sought.	true	392.27	403.66	19.062687
718_129594_000038_000001	Moreau lay face downward in a trampled space in a canebrake.	Moreau lay face downward in a trampled space in a canebrake.	false	403.91	407.86	26.06494
718_129594_000038_000002	One hand was almost severed at the wrist and his silvery hair was dabbled in blood. His head had been battered in by the fetters of the puma. The broken canes beneath him were smeared with blood. His revolver we could not find.	One hand was almost severed at the wrist and his silvery hair was dabbled in blood. His head had been battered in by the fetters of the puma. The broken canes beneath him were smeared with blood. His revolver we could not find.	true	408.41	420.85	19.87161
718_129594_000038_000003	Montgomery turned him over. Resting at intervals, and with the help of the seven Beast People (for he was a heavy man), we carried Moreau back to the enclosure. The night was darkling.	Montgomery turned him over. Resting at intervals, and with the help of the seven Beast People (for he was a heavy man), we carried Moreau back to the enclosure. The night was darkling.	true	421.19	431.59	21.848656
718_129594_000038_000004	Twice we heard unseen creatures howling and shrieking past our little band, and once the little pink sloth-creature appeared and stared at us, and vanished again. But we were not attacked again.	Twice we heard unseen creatures howling and shrieking past our little band, and once the little pink sloth creature appeared and stared at us, and vanished again. But we were not attacked again.	true	431.96	442.45	21.492197
718_129594_000038_000005	At the gates of the enclosure our company of Beast People left us, M'ling going with the rest. We locked ourselves in, and then took Moreau's mangled body into the yard and laid it upon a pile of brushwood. Then we went into the laboratory and put an end to all we found living there.	At the gates of the enclosure our company of Beast People left us, M'ling going with the rest. We locked ourselves in, and then took Moreau's mangled body into the yard and laid it upon a pile of brushwood. Then we went into the laboratory and put an end to all we found living there.	false	442.82	466.95	21.55399
