5126_27504_000000_000000	Well done, the "Turon Star"!' says Starlight, after he read it all out. 'I call that very fair.	Well done, the "Turon Star"!' says Starlight, after he read it all out. 'I call that very fair.	false	0	6.87	17.321217
5126_27504_000008_000000	'I'm afraid you're right, governor; but why didn't these moral ideas occur to you, for instance, and others earlier in life?'	'I'm afraid you're right, governor; but why didn't these moral ideas occur to you, for instance, and others earlier in life?'	false	142.16	149.38	22.720829
5126_27504_000009_000000	'Why?' says father, getting up and glaring with his eyes, 'because I was a blind, ignorant dog when I was young, as had never been taught nothing, and knowed nothing, not so much as him there' (pointing to Crib), 'for he knows what his business is, and I didn't.	'Why?' says father, getting up and glaring with his eyes, 'because I was a blind, ignorant dog when I was young, as had never been taught nothing, and knowed nothing, not so much as him there' (pointing to Crib), 'for he knows what his business is, and I didn't.	true	149.87	166.75	23.469013
5126_27504_000009_000001	I was thrashed and starved, locked up in a gaol, chained and flogged after that, and half the time for doing what I didn't know was wrong, and couldn't know more than one of them four-year-old colts out there that knocks his head agin the yard when he's roped, and falls backards and breaks his neck if he ain't watched.	I was thrashed and starved, locked up in a gaol, chained and flogged after that, and half the time for doing what I didn't know was wrong, and couldn't know more than one of them four year old colts out there that knocks his head agin the yard when he's roped, and falls backards and breaks his neck if he ain't watched.	false	166.88	186.61	23.326012
5126_27504_000009_000002	Whose business was it to have learned me better?	Whose business was it to have learned me better?	true	187.04	189.76	24.977047
5126_27504_000009_000003	That I can't rightly say, but it seemed it was the business of the Government people to gaol me, and iron me, and flog me.	That I can't rightly say, but it seemed it was the business of the Government people to gaol me, and iron me, and flog me.	false	190.01	197.61	23.055777
5126_27504_000009_000004	Was that justice?	Was that justice?	true	197.61	199	37.619877
5126_27504_000009_000005	Any man's sense 'll tell him it wasn't.	Any man's sense 'l l tell him it wasn't.	false	199.19	201.99	23.154398
5126_27504_000009_000006	It's been them and me for it since I got my liberty, and if I had had a dozen lives they'd all have gone the same road!'	It's been them and me for it since I got my liberty, and if I had had a dozen lives they'd all have gone the same road!'	false	201.99	210.04	21.65377
5126_27504_000010_000000	We none of us felt in the humour to say much after that.	We none of us felt in the humour to say much after that.	true	210.86	214.09	21.145826
5126_27504_000010_000001	Father had got into one of his tantrums, and when he did he was fit to be tied; only I'd not have took the contract for something.	Father had got into one of his tantrums, and when he did he was fit to be tied; only I'd not have took the contract for something.	true	214.64	222.52	22.933973
5126_27504_000010_000002	Whatever it was that had happened to him in the old times when he was a Government man he didn't talk about.	Whatever it was that had happened to him in the old times when he was a Government man he didn't talk about.	true	222.92	228.7	22
5126_27504_000010_000003	Only every now and then he'd let out just as he did now, as if nothing could ever set him straight again, or keep him from fighting against them, as he called the swells and the Government, and everybody almost that was straightgoing and honest.	Only every now and then he'd let out just as he did now, as if nothing could ever set him straight again, or keep him from fighting against them, as he called the swells and the Government, and everybody almost that was straightgoing and honest.	false	229.28	244.06	23.163404
5126_27504_000010_000004	He'd been at it a good many years, one way and another, and any one that knew him didn't think it likely he'd change.	He'd been at it a good many years, one way and another, and any one that knew him didn't think it likely he'd change.	false	244.49	251.44	23.132238
5126_27504_000011_000000	The next dust we got into was all along of a Mr. Knightley, who lived a good way down to the south, and it was one of the worst things we ever were mixed up in.	The next dust we got into was all along of a mr Knightley, who lived a good way down to the south, and it was one of the worst things we ever were mixed up in.	true	252.08	261.64	23.469902
5126_27504_000011_000001	After the Turon races and all that shine, somehow or other we found that things had been made hotter for us than ever since we first turned out.	After the Turon races and all that shine, somehow or other we found that things had been made hotter for us than ever since we first turned out.	true	262.13	271.48	20.781822
5126_27504_000011_000002	Go where we would, we found the police always quick on our trail, and we had two or three very close shaves of it.	Go where we would, we found the police always quick on our trail, and we had two or three very close shaves of it.	true	272	279.91	23.795786
5126_27504_000011_000003	It looked as if our luck was dead out, and we began to think our chance of getting across the border to Queensland, and clear out of the colony that way, looked worse every day.	It looked as if our luck was dead out, and we began to think our chance of getting across the border to Queensland, and clear out of the colony that way, looked worse every day.	true	280.25	290.26	24
5126_27504_000012_000000	Dad kept foraging about to get information, and we sent Warrigal and Billy the Boy all over the country to find out how it was things were turning out so contrary.	Dad kept foraging about to get information, and we sent Warrigal and Billy the Boy all over the country to find out how it was things were turning out so contrary.	false	291.29	301.45	23.57604
5126_27504_000013_000000	Sir Ferdinand was always on the move, but we knew he couldn't do it all himself unless he got the office from some one who knew the ropes better than he did.	Sir Ferdinand was always on the move, but we knew he couldn't do it all himself unless he got the office from some one who knew the ropes better than he did.	true	302.42	311.23	22.181929
5126_27504_000014_000000	Last of all we dropped on to it.	Last of all we dropped on to it.	true	311.72	313.9	25.416458
5126_27504_000015_000000	There was one of the goldfields commissioners, a Mr. Knightley, a very keen, cool hand; he was a great sporting man, and a dead shot, like Mr. Hamilton.	There was one of the goldfields commissioners, a mr Knightley, a very keen, cool hand; he was a great sporting man, and a dead shot, like mr Hamilton.	false	314.42	325.03	26.538322
5126_27504_000015_000001	Well, this gentleman took it into his head to put on extra steam and try and run us down.	Well, this gentleman took it into his head to put on extra steam and try and run us down.	true	325.37	331.15	22.628527
5126_27504_000015_000002	He'd lost some gold by us in the escort robbery, and not forgotten it; so it seems he'd been trying his best to fit us ever since.	He'd lost some gold by us in the escort robbery, and not forgotten it; so it seems he'd been trying his best to fit us ever since.	true	331.46	340.36	22.174833
5126_27504_000015_000003	Just at first he wasn't able for much, but later on he managed to get information about us and our beat, whenever we left the Hollow, and he put two and two together, and very nearly dropped on us, as I said before, two or three times.	Just at first he wasn't able for much, but later on he managed to get information about us and our beat, whenever we left the Hollow, and he put two and two together, and very nearly dropped on us, as I said before, two or three times.	false	340.76	355.72	25.564308
5126_27504_000015_000004	We heard, too, that he should say he'd never rest till he had Starlight and the Marstons, and that if he could get picked police he'd bring us in within a month, dead or alive.	We heard, too, that he should say he'd never rest till he had Starlight and the Marstons, and that if he could get picked police he'd bring us in within a month, dead or alive.	true	356.06	366.97	23.30328
5126_27504_000016_000000	We didn't care much about blowing of this sort in a general way; but one of dad's telegraphs sent word in that Mr. Knightley had a couple of thousand pounds worth of gold from a new diggings lodged at his private residence for a few days till he could get the escort to call for it; that there was only him and a German doctor, a great scholar he was, named Schiller, in the house.	We didn't care much about blowing of this sort in a general way; but one of dad's telegraphs sent word in that mr Knightley had a couple of thousand pounds worth of gold from a new diggings lodged at his private residence for a few days till he could get the escort to call for it; that there was only him and a German doctor, a great scholar he was, named Schiller, in the house.	false	367.34	389.83	23.74851
5126_27504_000017_000000	Moran and Daly knew about this, and they were dead on for sticking up the place and getting hold of the gold.	Moran and Daly knew about this, and they were dead on for sticking up the place and getting hold of the gold.	true	390.47	397	22.40956
5126_27504_000017_000001	Besides that, we felt savage about his trying to run us in.	Besides that, we felt savage about his trying to run us in.	true	397.28	401.02	20.42569
5126_27504_000017_000002	Of course, it was his duty and that of all magistrates and commissioners in a general way.	Of course, it was his duty and that of all magistrates and commissioners in a general way.	true	401.48	406.57	19.70027
5126_27504_000017_000003	But he wasn't an officer of police, and we thought he was going outside of his line. So when all came to all, we made up our minds to learn him a lesson to stick to his own work; besides, a thousand ounces of gold was no foolish touch, and we could kill two birds with one stone.	But he wasn't an officer of police, and we thought he was going outside of his line. So when all came to all, we made up our minds to learn him a lesson to stick to his own work; besides, a thousand ounces of gold was no foolish touch, and we could kill two birds with one stone.	false	406.97	424.72	24.660006
5126_27504_000017_000004	Moran, Daly, and Joe Wall were to be in it besides.	Moran, Daly, and Joe Wall were to be in it besides.	false	425.12	428.95	19.260645
5126_27504_000017_000005	We didn't like working with them. Starlight and I were dead against it.	We didn't like working with them. Starlight and I were dead against it.	true	429.23	433.515	24.788143
5126_27504_000017_000006	But we knew they'd tackle it by themselves if we backed out.	But we knew they'd tackle it by themselves if we backed out.	true	433.515	437.05	26.753632
5126_27504_000017_000007	So we agreed to make one thing of it. We were to meet at a place about ten miles off and ride over there together.	So we agreed to make one thing of it. We were to meet at a place about ten miles off and ride over there together.	true	437.15	444.13	23.114256
5126_27504_000018_000000	Just about ten o'clock we closed in on the place, and left Billy the Boy and Warrigal with the horses, while we sneaked up.	Just about ten o'clock we closed in on the place, and left Billy the Boy and Warrigal with the horses, while we sneaked up.	false	445.04	451.84	23.905397
5126_27504_000018_000001	We couldn't get near, though, without his knowing it, for he always had a lot of sporting dogs--pointers, retrievers, kangaroo dogs, no end.	We couldn't get near, though, without his knowing it, for he always had a lot of sporting dogs-pointers, retrievers, kangaroo dogs, no end.	false	452.12	460.42	20.089615
5126_27504_000018_000002	They kicked up a deuce of a row, and barked and howled enough to raise the dead, before we got within a quarter of a mile from the house.	They kicked up a deuce of a row, and barked and howled enough to raise the dead, before we got within a quarter of a mile from the house.	false	460.55	468.09	22.193335
5126_27504_000019_000000	Of course he was on his guard then, and before long the bullets began to fly pretty thick among us, and we had to take cover to return fire and keep as dark as we could.	Of course he was on his guard then, and before long the bullets began to fly pretty thick among us, and we had to take cover to return fire and keep as dark as we could.	true	468.09	478.87	25.873995
5126_27504_000019_000001	No doubt this Dr. Schiller loaded the guns and handed them to him, else he couldn't have made such play as he did.	No doubt this dr Schiller loaded the guns and handed them to him, else he couldn't have made such play as he did.	false	479.27	485.41	22.377222
5126_27504_000020_000000	We blazed away too, and as there was no stable at the back we surrounded the house and tried hard to find an opening.	We blazed away too, and as there was no stable at the back we surrounded the house and tried hard to find an opening.	true	486.02	493.06	20
5126_27504_000020_000001	Devil a chance there seemed to be; none of us dared show.	Devil a chance there seemed to be; none of us dared show.	true	493.55	496.905	22.609718
5126_27504_000020_000002	So sure as we did we could hear one of those Winchester rifle bullets sing through the air, almost on the top of us.	So sure as we did we could hear one of those Winchester rifle bullets sing through the air, almost on the top of us.	false	496.905	503.52	19.825499
5126_27504_000020_000003	We all had a close shave more than once for being too fast.	We all had a close shave more than once for being too fast.	true	503.52	507.1	21.870361
5126_27504_000021_000000	For more than half the night he kept cannonading away, and we didn't seem able to get any nearer the place.	For more than half the night he kept cannonading away, and we didn't seem able to get any nearer the place.	false	507.65	513.7	20
5126_27504_000021_000001	At last we drew lots which should try and get up close to the place, so as to make a rush while we poured in our broadside and open a door to let us in.	At last we drew lots which should try and get up close to the place, so as to make a rush while we poured in our broadside and open a door to let us in.	false	513.89	522.55	22
5126_27504_000022_000000	The lot fell upon Patsey Daly.	The lot fell upon Patsey Daly.	true	522.98	525.46	27.551788
5126_27504_000022_000001	'Good-bye, all,' he said.	'Good bye, all,' he said.	true	525.65	527.1	13.286448
5126_27504_000022_000002	'I'm dashed if I don't think Knightley will bag me.	'I'm dashed if I don't think Knightley will bag me.	true	527.1	529.995	22.262196
5126_27504_000022_000003	I don't half like charging him, and that's God's truth.	I don't half like charging him, and that's God's truth.	true	529.995	533.23	24.814863
5126_27504_000022_000004	Anyhow I'll try for that barrel there; and if I get behind it I can fire from short range and make him come out.'	Anyhow I'll try for that barrel there; and if I get behind it I can fire from short range and make him come out.'	true	533.27	539.53	22
5126_27504_000023_000000	He made a rush, half on his hands and knees, and managed to get behind this barrel, where he was safe from being hit as long as he kept well behind it.	He made a rush, half on his hands and knees, and managed to get behind this barrel, where he was safe from being hit as long as he kept well behind it.	true	539.6	547.89	20.1382
5126_27504_000023_000001	Then he peppered away, right and left.	Then he peppered away, right and left.	false	547.89	550.9	24.783033
5126_27504_000024_000000	On the left of the verandah there was a door stood partly open, and after a bit a man in a light overcoat and a white hat, like Mr. Knightley always wore, showed himself for a second.	On the left of the verandah there was a door stood partly open, and after a bit a man in a light overcoat and a white hat, like mr Knightley always wore, showed himself for a second.	true	551.12	562.9	23.182123
5126_27504_000024_000001	Daly raps away at this, and the man staggers and falls.	Daly raps away at this, and the man staggers and falls.	true	563.39	567.01	26.450888
5126_27504_000024_000002	Patsey shows himself for a moment from behind the cask, thinking to make a rush forward; that minute Mr. Knightley, who was watching him from a window (the other was only an image), lets drive at him, cool and steady, and poor Patsey drops like a cock, and never raised his head again.	Patsey shows himself for a moment from behind the cask, thinking to make a rush forward; that minute mr Knightley, who was watching him from a window (the other was only an image), lets drive at him, cool and steady, and poor Patsey drops like a cock, and never raised his head again.	true	567.62	585.43	23.728746
5126_27504_000024_000003	He was shot through the body.	He was shot through the body.	true	585.62	587.5	24.210188
5126_27504_000024_000004	He lingered a bit; but in less than an hour he was a dead man.	He lingered a bit; but in less than an hour he was a dead man.	true	587.63	591.4	21.244095
5126_27504_000025_000000	We began to think at last that we had got in for a hot thing, and that we should have to drop it like Moran's mob at Kadombla.	We began to think at last that we had got in for a hot thing, and that we should have to drop it like Moran's mob at Kadombla.	true	591.8	598.6	25.152355
5126_27504_000025_000001	However, Starlight was one of those men that won't be beat, and he kept getting more and more determined to score.	However, Starlight was one of those men that won't be beat, and he kept getting more and more determined to score.	false	598.97	605.83	20.410967
5126_27504_000025_000002	He crept away to the back of the building, where he could see to fire at a top window close by where the doctor and Mr. Knightley had been potting at us.	He crept away to the back of the building, where he could see to fire at a top window close by where the doctor and mr Knightley had been potting at us.	true	606.02	614.29	20
5126_27504_000026_000000	He had the repeating rifle he'd won from me; he never let it go afterwards, and he could make wonderful shooting with it.	He had the repeating rifle he'd won from me; he never let it go afterwards, and he could make wonderful shooting with it.	false	614.87	615.12	100
5126_27504_000026_000001	He kept it going so lively that they began to be hard pressed inside, and had to fire away twice as much ammunition as they otherwise would.	He kept it going so lively that they began to be hard pressed inside, and had to fire away twice as much ammunition as they otherwise would.	false	615.12	623.44	22.779842
5126_27504_000026_000002	It always beat me how they contrived to defend so many points at once.	It always beat me how they contrived to defend so many points at once.	true	623.72	628.03	23
5126_27504_000026_000003	We tried back and front, doors and windows.	We tried back and front, doors and windows.	true	628.28	631.6	22.613426
5126_27504_000026_000004	Twenty times we tried a rush, but they were always ready--so it seemed--and their fire was too hot for us to stand up to, unless we wanted to lose every second man.	Twenty times we tried a rush, but they were always ready-so it seemed-and their fire was too hot for us to stand up to, unless we wanted to lose every second man.	true	631.73	641.2	24.484325
5126_27504_000027_000000	The shooting was very close.	The shooting was very close.	true	642.02	643.96	20.38011
5126_27504_000027_000001	Nearly every one of us had a scratch--Starlight rather the worst, as he was more in the front and showed himself more.	Nearly every one of us had a scratch-Starlight rather the worst, as he was more in the front and showed himself more.	true	644.09	651.22	25.426683
5126_27504_000027_000002	His left arm was bleeding pretty free, but he tied a handkerchief over it and went on as if nothing had happened, only I could see that his face had that set look he only got now and then, and his eyes began to show out a fierce light.	His left arm was bleeding pretty free, but he tied a handkerchief over it and went on as if nothing had happened, only I could see that his face had that set look he only got now and then, and his eyes began to show out a fierce light.	false	651.38	665.38	24.247852
5126_27504_000028_000000	At last we began to see that the return fire was slacking off, while ours was as brisk as ever.	At last we began to see that the return fire was slacking off, while ours was as brisk as ever.	true	665.81	671.97	24
5126_27504_000029_000000	'Hurrah!' says Starlight, 'I believe they'll give in soon.	'Hurrah!' says Starlight, 'I believe they'll give in soon.	false	671.97	675.915	16.998322
5126_27504_000029_000001	If they had any cartridges they would have had every man of us in that last rush. Let's try another dodge.	If they had any cartridges they would have had every man of us in that last rush. Let's try another dodge.	true	675.915	682.63	19.346592
5126_27504_000029_000002	Here goes for a battering-ram, Dick!'	Here goes for a battering ram, Dick!'	true	682.88	685.42	23.761875
5126_27504_000030_000000	He pointed to a long, heavy sapling which had been fetched in for a sleeper or something of that sort.	He pointed to a long, heavy sapling which had been fetched in for a sleeper or something of that sort.	true	685.61	691.84	23.598495
5126_27504_000030_000001	We picked it up, and, taking a run back, brought it with all its weight against the front door.	We picked it up, and, taking a run back, brought it with all its weight against the front door.	true	691.97	697.42	25.038849
5126_27504_000030_000002	In it went like a sheet of bark; we almost fell as we ran forward and found ourselves in a big, dark hall.	In it went like a sheet of bark; we almost fell as we ran forward and found ourselves in a big, dark hall.	false	698.03	704.77	23.913025
5126_27504_000030_000003	It seemed very queer and strange, everything was so silent and quiet.	It seemed very queer and strange, everything was so silent and quiet.	true	705.14	710.29	22.371124
5126_27504_000031_000000	We half expected another volley.	We half expected another volley.	true	710.75	712.755	26.304605
5126_27504_000031_000001	But nothing came.	But nothing came.	true	712.755	714.22	24.433414
5126_27504_000031_000002	We could only stand and wait.	We could only stand and wait.	true	714.44	716.08	26.00409
5126_27504_000031_000003	The others had gone round the side of the house.	The others had gone round the side of the house.	true	716.33	719.5	19.11457
5126_27504_000032_000000	'Get to a corner, Dick; they're always the safest places.	'Get to a corner, Dick; they're always the safest places.	true	719.54	723.045	30.156645
5126_27504_000032_000001	We must mind it isn't an ambush.	We must mind it isn't an ambush.	true	723.045	725.59	25.918858
5126_27504_000032_000002	What the devil's the matter?	What the devil's the matter?	true	725.78	727.54	24.297386
5126_27504_000032_000003	Are they going to suicide, like the people in the round tower of Jhansi?'	Are they going to suicide, like the people in the round tower of Jhansi?'	true	727.58	732.04	24.016663
5126_27504_000033_000000	'There are no women here,' I said.	'There are no women here,' I said.	true	732.2	734.25	21.74483
5126_27504_000033_000001	'There's no saying what Mr. Knightley might do if his wife had been here.'	'There's no saying what mr Knightley might do if his wife had been here.'	false	734.25	737.98	21
5126_27504_000034_000000	'Thank God, she's away at Bathurst,' said Starlight.	'Thank God, she's away at Bathurst,' said Starlight.	false	738.53	741.7	22.742655
5126_27504_000034_000001	'I hate seeing women put out.	'I hate seeing women put out.	true	741.95	743.89	29.546318
5126_27504_000034_000002	Besides, everybody bows down to Mrs. Knightley.	Besides, everybody bows down to mrs Knightley.	true	743.9	746.92	21.149492
5126_27504_000034_000003	She's as good as she's handsome, I believe, and that's saying a great deal.'	She's as good as she's handsome, I believe, and that's saying a great deal.'	true	747.2	752.26	21.904882
5126_27504_000035_000000	Just then Moran and Wall managed to find their way into the other side of the house, and they came tearing into the hall like a pair of colts. They looked rather queer when they saw us three and no one else.	Just then Moran and Wall managed to find their way into the other side of the house, and they came tearing into the hall like a pair of colts. They looked rather queer when they saw us three and no one else.	true	753.11	765.21	23.146275
5126_27504_000036_000000	'What in thunder's up?' says Moran. 'Are they all gone to bed, and left us the spare rooms?	'What in thunder's up?' says Moran. 'Are they all gone to bed, and left us the spare rooms?	false	765.21	770.65	23.99051
5126_27504_000036_000001	Poor Patsey won't want one, anyhow.'	Poor Patsey won't want one, anyhow.'	true	770.9	773.5	26.388065
5126_27504_000037_000000	'Better make some search upstairs,' says Starlight. 'Who'll go first? You make a start, Moran; you like fighting people.'	'Better make some search upstairs,' says Starlight. 'Who'll go first? You make a start, Moran; you like fighting people.'	false	774.2	781.59	23.60768
5126_27504_000038_000000	'Couldn't think of going before the Captain,' says Moran, with a grin. 'I'll follow where you lead.'	'Couldn't think of going before the Captain,' says Moran, with a grin. 'I'll follow where you lead.'	false	781.59	787.39	20.973307
5126_27504_000039_000000	'All right!' says Starlight; 'here goes,' and he started to walk upstairs, when all of a sudden he stopped and looked up as if something had surprised him above a bit.	'All right!' says Starlight; 'here goes,' and he started to walk upstairs, when all of a sudden he stopped and looked up as if something had surprised him above a bit.	false	787.58	797.26	25.25073
5126_27504_000039_000001	Then he stepped back and waited.	Then he stepped back and waited.	true	797.72	799.63	32.60239
5126_27504_000039_000002	I noticed he took off his hat and leaned against the wall.	I noticed he took off his hat and leaned against the wall.	true	799.94	803.41	23.081247
5126_27504_000040_000000	It was an old-fashioned house for that part of the world, built a good many years ago by a rich settler, who was once the owner of all that side of the country.	It was an old-fashioned house for that part of the world, built a good many years ago by a rich settler, who was once the owner of all that side of the country.	true	803.66	812.56	22.00378
5126_27504_000040_000001	The staircase was all stone, ornamented every way it could be.	The staircase was all stone, ornamented every way it could be.	true	813.17	817.54	27.593796
5126_27504_000040_000002	Three or four people could walk abreast easy enough.	Three or four people could walk abreast easy enough.	true	817.58	820.36	24.37377
5126_27504_000041_000000	Just about half-way up was a broad landing, and on this, all of a sudden, appeared four people, inclined by their ways to come down to where we were, while we were all wondering, for a reason you'll see afterwards.	Just about half-way up was a broad landing, and on this, all of a sudden, appeared four people, inclined by their ways to come down to where we were, while we were all wondering, for a reason you'll see afterwards.	false	820.82	834.1	23.341415
5126_27504_000042_000000	It was Mr. Knightley who took the lady's arm--it was his wife, and she had been there all the time, firing at us as like as not, or at any rate helping.	It was mr Knightley who took the lady's arm-it was his wife, and she had been there all the time, firing at us as like as not, or at any rate helping.	false	834.98	844.33	24.281363
5126_27504_000042_000001	The others followed, and they all walked quite solemn and steady-like down the stairs together.	The others followed, and they all walked quite solemn and steady like down the stairs together.	false	844.97	850.9	30.623041
5126_27504_000043_000000	It was a strange sight.	It was a strange sight.	true	851.27	853.03	24.116194
5126_27504_000043_000001	There we were standing and leaning about the dark hall, staring and wondering, and these people walking down to meet us like ghosts, without speaking or anything else.	There we were standing and leaning about the dark hall, staring and wondering, and these people walking down to meet us like ghosts, without speaking or anything else.	true	853.34	863.61	24.160004
5126_27504_000044_000000	Mr. Knightley was a tall, handsome man, with a grand black beard that came down to his chest.	mr Knightley was a tall, handsome man, with a grand black beard that came down to his chest.	true	863.61	869.77	24.134462
5126_27504_000044_000001	He walked like a lord, and had that kind of manner with him that comes to people that have always been used to be waited on and have everything found for them in this world.	He walked like a lord, and had that kind of manner with him that comes to people that have always been used to be waited on and have everything found for them in this world.	true	869.93	879.7	24.06533
5126_27504_000044_000002	As for his wife, she was given in to be the handsomest woman in the whole countryside--tall and graceful, with a beautiful smile, and soft fair hair.	As for his wife, she was given in to be the handsomest woman in the whole countryside-tall and graceful, with a beautiful smile, and soft fair hair.	true	880.04	890.74	26.133554
5126_27504_000044_000003	Everybody liked and respected her, gentle and simple--everybody had a good word for her.	Everybody liked and respected her, gentle and simple-everybody had a good word for her.	true	891.14	897.58	22.571768
5126_27504_000044_000004	You couldn't have got any one to say different for a hundred pounds.	You couldn't have got any one to say different for a hundred pounds.	true	897.86	902.08	23.205658
5126_27504_000044_000005	There are some people, here and there, like this among the gentlefolk, and, say what you like, it does more to make coves like us look a little closer at things and keep away from what's wrong and bad than all the parsons' talk twice over.	There are some people, here and there, like this among the gentlefolk, and, say what you like, it does more to make coves like us look a little closer at things and keep away from what's wrong and bad than all the parsons' talk twice over.	true	902.48	917.17	24.481462
5126_27504_000044_000006	Mrs. Knightley was the only woman that ever put me in mind of Miss Falkland, and I can't say more than that.	mrs Knightley was the only woman that ever put me in mind of Miss Falkland, and I can't say more than that.	true	917.69	924.58	22.375824
5126_27504_000045_000000	So, as I said before, it was quite a picture to see them walk slowly and proudly down and sweep into the hall as if they'd been marching into a ballroom.	So, as I said before, it was quite a picture to see them walk slowly and proudly down and sweep into the hall as if they'd been marching into a ballroom.	true	925.34	933.67	17
5126_27504_000045_000001	We had both seen them at the ball at the Turon, and everybody agreed they were the handsomest couple there.	We had both seen them at the ball at the Turon, and everybody agreed they were the handsomest couple there.	true	934.01	940.09	22.399405
5126_27504_000046_000000	Now they were entering their own hall in a different way.	Now they were entering their own hall in a different way.	true	940.7	944.17	26.643255
5126_27504_000046_000001	But you couldn't have told much of what they felt by their faces.	But you couldn't have told much of what they felt by their faces.	true	944.6	947.83	27.595186
5126_27504_000046_000002	He was a proud man, and felt bitterly enough that he had to surrender to a gang of men that he hated and despised, that he'd boasted he could run down and capture in a month.	He was a proud man, and felt bitterly enough that he had to surrender to a gang of men that he hated and despised, that he'd boasted he could run down and capture in a month.	false	948.14	959.47	23.081308
5126_27504_000046_000003	Now the tables were turned.	Now the tables were turned.	true	959.63	961.42	25.08711
