501_125128_000000_000000	Chapter 15	Chapter fifteen	false	2.73	28.84	21.002176
501_125128_000057_000002	It impressed her in his favour, for she nodded aside to Mr Boffin, 'I like him.'	It impressed her in his favour, for she nodded aside to Mr Boffin, 'I like him.'	true	783.8	788.92	22.123518
501_125128_000058_000000	'I will see directly that everything is in train, Mr Boffin.'	'I will see directly that everything is in train, Mr Boffin.'	true	789.68	792.66	17
501_125128_000059_000000	'Thank'ee.	'Thank'ee.	false	792.66	794.31	26.979069
501_125128_000059_000001	Being here, would you care at all to look round the Bower?'	Being here, would you care at all to look round the Bower?'	true	794.31	797.71	22.536833
501_125128_000060_000000	'I should greatly like it.	'I should greatly like it.	true	798.26	799.65	23.803608
501_125128_000060_000001	I have heard so much of its story.'	I have heard so much of its story.'	true	799.65	801.46	18
501_125128_000061_000000	'Come!' said Mr Boffin.	'Come!' said Mr Boffin.	true	801.83	803.5	17.750315
501_125128_000061_000001	And he and Mrs Boffin led the way.	And he and Mrs Boffin led the way.	false	803.96	806.14	24
501_125128_000062_000000	A gloomy house the Bower, with sordid signs on it of having been, through its long existence as Harmony Jail, in miserly holding.	A gloomy house the Bower, with sordid signs on it of having been, through its long existence as Harmony Jail, in miserly holding.	true	806.99	816.16	19.550297
501_125128_000062_000001	Bare of paint, bare of paper on the walls, bare of furniture, bare of experience of human life.	Bare of paint, bare of paper on the walls, bare of furniture, bare of experience of human life.	true	816.44	823.33	21.091036
501_125128_000062_000002	Whatever is built by man for man's occupation, must, like natural creations, fulfil the intention of its existence, or soon perish.	Whatever is built by man for man's occupation, must, like natural creations, fulfil the intention of its existence, or soon perish.	true	823.82	833.35	22.582348
501_125128_000062_000003	This old house had wasted--more from desuetude than it would have wasted from use, twenty years for one.	This old house had wasted-more from desuetude than it would have wasted from use, twenty years for one.	true	833.93	840.85	20.617954
501_125128_000063_000000	A certain leanness falls upon houses not sufficiently imbued with life (as if they were nourished upon it), which was very noticeable here. The staircase, balustrades, and rails, had a spare look--an air of being denuded to the bone--which the panels of the walls and the jambs of the doors and windows also bore.	A certain leanness falls upon houses not sufficiently imbued with life (as if they were nourished upon it), which was very noticeable here. The staircase, balustrades, and rails, had a spare look-an air of being denuded to the bone-which the panels of the walls and the jambs of the doors and windows also bore.	false	841.94	861.61	20.552757
501_125128_000063_000001	The scanty moveables partook of it; save for the cleanliness of the place, the dust--into which they were all resolving would have lain thick on the floors; and those, both in colour and in grain, were worn like old faces that had kept much alone.	The scanty moveables partook of it; save for the cleanliness of the place, the dust-into which they were all resolving would have lain thick on the floors; and those, both in colour and in grain, were worn like old faces that had kept much alone.	true	862.1	878.08	22.847492
501_125128_000064_000000	The bedroom where the clutching old man had lost his grip on life, was left as he had left it.	The bedroom where the clutching old man had lost his grip on life, was left as he had left it.	true	878.72	884.14	19.301075
501_125128_000064_000001	There was the old grisly four-post bedstead, without hangings, and with a jail-like upper rim of iron and spikes; and there was the old patch-work counterpane.	There was the old grisly four post bedstead, without hangings, and with a jail like upper rim of iron and spikes; and there was the old patch work counterpane.	true	884.75	895.48	21.819078
501_125128_000064_000002	There was the tight-clenched old bureau, receding atop like a bad and secret forehead; there was the cumbersome old table with twisted legs, at the bed-side; and there was the box upon it, in which the will had lain.	There was the tight clenched old bureau, receding atop like a bad and secret forehead; there was the cumbersome old table with twisted legs, at the bed side; and there was the box upon it, in which the will had lain.	true	896	910.39	22.533808
501_125128_000064_000003	A few old chairs with patch-work covers, under which the more precious stuff to be preserved had slowly lost its quality of colour without imparting pleasure to any eye, stood against the wall.	A few old chairs with patch work covers, under which the more precious stuff to be preserved had slowly lost its quality of colour without imparting pleasure to any eye, stood against the wall.	true	911.15	922.93	22
501_125128_000064_000004	A hard family likeness was on all these things.	A hard family likeness was on all these things.	true	923.3	926.68	18
501_125128_000065_000000	'The room was kept like this, Rokesmith,' said Mr Boffin, 'against the son's return.	'The room was kept like this, Rokesmith,' said Mr Boffin, 'against the son's return.	true	927.41	933.28	24.771544
501_125128_000065_000001	In short, everything in the house was kept exactly as it came to us, for him to see and approve.	In short, everything in the house was kept exactly as it came to us, for him to see and approve.	true	933.71	940.24	21.599491
501_125128_000065_000002	Even now, nothing is changed but our own room below-stairs that you have just left.	Even now, nothing is changed but our own room below stairs that you have just left.	true	940.49	945.91	18.712618
501_125128_000065_000003	When the son came home for the last time in his life, and for the last time in his life saw his father, it was most likely in this room that they met.'	When the son came home for the last time in his life, and for the last time in his life saw his father, it was most likely in this room that they met.'	true	946.31	954.91	22.981968
501_125128_000066_000000	As the Secretary looked all round it, his eyes rested on a side door in a corner.	As the Secretary looked all round it, his eyes rested on a side door in a corner.	true	955.46	961.15	21.858677
