6115_58433_000000_000000	"Fare you well, sir parson," he said.	"Fare you well, sir parson," he said.	false	0	1.5	18.668676
6115_58433_000021_000000	Dim indeed was the light, but his sight was keen, and quickened by the imminence of danger.	Dim indeed was the light, but his sight was keen, and quickened by the imminence of danger.	true	194	198.91	19
6115_58433_000021_000001	Partly his eyes and partly his instinct told him that not six paces behind him there must be a door, and if Heaven pleased it should be unlocked, behind it they must look for shelter. It even crossed his mind in that second of crowding, galloping thought, that perchance the room might be occupied.	Partly his eyes and partly his instinct told him that not six paces behind him there must be a door, and if Heaven pleased it should be unlocked, behind it they must look for shelter. It even crossed his mind in that second of crowding, galloping thought, that perchance the room might be occupied.	true	199.34	215.65	21.521458
6115_58433_000021_000002	That was a risk he must take--the lesser risk of the two, the choice of one of which was forced upon him.	That was a risk he must take-the lesser risk of the two, the choice of one of which was forced upon him.	true	216.14	222.7	19.83741
6115_58433_000021_000003	He had determined all this ere the soldier's foot was upon the third step of the staircase, and before the colonel had commenced the ascent.	He had determined all this ere the soldier's foot was upon the third step of the staircase, and before the colonel had commenced the ascent.	true	223.01	229.75	17
6115_58433_000021_000004	Kenneth stood palsied with fear, gazing like one fascinated at the approaching peril.	Kenneth stood palsied with fear, gazing like one fascinated at the approaching peril.	true	230.42	235.06	18
6115_58433_000022_000000	Then upon his ear fell the fierce whisper: "Come with me, and tread lightly as you love your life."	Then upon his ear fell the fierce whisper: "Come with me, and tread lightly as you love your life."	false	235.49	241.48	19.54131
6115_58433_000023_000000	In three long strides, and by steps that were softer than a cat's, Crispin crossed to the door which he had rather guessed than seen.	In three long strides, and by steps that were softer than a cat's, Crispin crossed to the door which he had rather guessed than seen.	false	241.91	249.76	21.415552
6115_58433_000023_000001	He ran his hand along until he caught the latch.	He ran his hand along until he caught the latch.	true	250.4	253.12	20
6115_58433_000023_000002	Softly he tried it; it gave, and the door opened.	Softly he tried it; it gave, and the door opened.	true	253.52	257.14	24.649118
6115_58433_000023_000003	Kenneth was by then beside him.	Kenneth was by then beside him.	true	257.78	259.72	21.944729
6115_58433_000023_000004	He paused to look back.	He paused to look back.	true	259.76	261.43	25.111923
6115_58433_000024_000000	On the opposite wall the light of the trooper's lanthorn fell brightly. Another moment and the fellow would have reached and turned the corner of the stairs, and his light must reveal them to him.	On the opposite wall the light of the trooper's lanthorn fell brightly. Another moment and the fellow would have reached and turned the corner of the stairs, and his light must reveal them to him.	true	261.62	271	19
6115_58433_000024_000001	But ere that instant was passed Crispin had drawn his companion through, and closed the door as softly as he had opened it.	But ere that instant was passed Crispin had drawn his companion through, and closed the door as softly as he had opened it.	false	271.34	277.54	22.710035
6115_58433_000024_000002	The chamber was untenanted and almost bare of furniture, at which discovery Crispin breathed more freely.	The chamber was untenanted and almost bare of furniture, at which discovery Crispin breathed more freely.	false	277.85	283.9	20.60375
6115_58433_000025_000000	They stood there, and heard the ascending footsteps, and the clank-clank of a sword against the stair-rail.	They stood there, and heard the ascending footsteps, and the clank clank of a sword against the stair rail.	false	284.42	290.7	21.683424
6115_58433_000025_000001	A bar of yellow light came under the door that sheltered them.	A bar of yellow light came under the door that sheltered them.	true	290.7	293.68	17
6115_58433_000025_000002	Stronger it grew and farther it crept along the floor; then stopped and receded again, as he who bore the lanthorn turned and began to climb to the second floor.	Stronger it grew and farther it crept along the floor; then stopped and receded again, as he who bore the lanthorn turned and began to climb to the second floor.	true	294.02	303.49	19.729183
6115_58433_000025_000003	An instant later and the light had vanished, eclipsed by those who followed in the fellow's wake.	An instant later and the light had vanished, eclipsed by those who followed in the fellow's wake.	true	304.13	309.16	20.128496
6115_58433_000026_000000	"The window, Sir Crispin," cried Kenneth, in an excited whisper--"the window!"	"The window, Sir Crispin," cried Kenneth, in an excited whisper-"the window!"	true	309.62	314.98	18.731728
6115_58433_000027_000000	"No," answered Crispin calmly.	"No," answered Crispin calmly.	true	315.53	318.16	19.578402
6115_58433_000027_000001	"The drop is a long one, and we should but light in the streets, and be little better than we are here.	"The drop is a long one, and we should but light in the streets, and be little better than we are here.	true	318.38	324.58	20.512924
6115_58433_000027_000002	Wait."	Wait."	true	324.8	325.6	22.52634
6115_58433_000028_000000	He listened.	He listened.	true	326.57	327.49	20.479858
6115_58433_000028_000001	The footsteps had turned the corner leading to the floor above.	The footsteps had turned the corner leading to the floor above.	true	327.95	331.03	21
6115_58433_000028_000002	He opened the door, partly at first, then wide.	He opened the door, partly at first, then wide.	true	331.73	334.39	24.637856
6115_58433_000028_000003	For an instant he stood listening again.	For an instant he stood listening again.	true	334.76	337.06	18
6115_58433_000028_000004	The steps were well overhead by now; soon they would mount the last flight, and then discovery must be swift to follow.	The steps were well overhead by now; soon they would mount the last flight, and then discovery must be swift to follow.	true	337.58	343.6	19.901825
6115_58433_000029_000000	"Now," was all Crispin said, and, drawing his sword he led the way swiftly, yet cautiously, to the stairs once more.	"Now," was all Crispin said, and, drawing his sword he led the way swiftly, yet cautiously, to the stairs once more.	true	344.18	350.47	18
6115_58433_000029_000001	In passing he glanced over the rails.	In passing he glanced over the rails.	true	350.99	353.2	17.56021
6115_58433_000029_000002	The guardroom door stood ajar, and he caught the murmurs of subdued conversation.	The guardroom door stood ajar, and he caught the murmurs of subdued conversation.	true	353.6	358.03	22
6115_58433_000029_000003	But he did not pause.	But he did not pause.	true	358.13	359.59	22.377348
6115_58433_000029_000004	Had the door stood wide he would not have paused then.	Had the door stood wide he would not have paused then.	true	359.93	362.86	22.192656
6115_58433_000029_000005	There was not a second to be lost; to wait was to increase the already overwhelming danger.	There was not a second to be lost; to wait was to increase the already overwhelming danger.	true	363.08	367.87	18.774683
6115_58433_000029_000006	Cautiously, and leaning well upon the stout baluster, he began the descent.	Cautiously, and leaning well upon the stout baluster, he began the descent.	true	368.42	373.3	22.408455
6115_58433_000029_000007	Kenneth followed him mechanically, with white face and a feeling of suffocation in his throat.	Kenneth followed him mechanically, with white face and a feeling of suffocation in his throat.	true	373.94	378.76	20
6115_58433_000030_000000	They gained the corner, and turning, they began what was truly the perilous part of their journey.	They gained the corner, and turning, they began what was truly the perilous part of their journey.	true	379.1	383.83	16
6115_58433_000030_000001	Not more than a dozen steps were there; but at the bottom stood the guardroom door, and through the chink of its opening a shaft of light fell upon the nethermost step.	Not more than a dozen steps were there; but at the bottom stood the guardroom door, and through the chink of its opening a shaft of light fell upon the nethermost step.	true	384.47	393.28	20.492191
6115_58433_000030_000002	Once a stair creaked, and to their quickened senses it sounded like a pistol-shot.	Once a stair creaked, and to their quickened senses it sounded like a pistol shot.	true	393.68	397.72	19
6115_58433_000030_000003	As loud to Crispin sounded the indrawn breath of apprehension from Kenneth that followed it.	As loud to Crispin sounded the indrawn breath of apprehension from Kenneth that followed it.	true	398.21	402.54	17
6115_58433_000030_000004	He had almost paused to curse the lad when, thinking him of how time pressed, he went on.	He had almost paused to curse the lad when, thinking him of how time pressed, he went on.	false	402.54	408.49	20.693897
6115_58433_000031_000000	Within three steps of the bottom were they, and they could almost distinguish what was being said in the room, when Crispin stopped, and turning his head to attract Kenneth's attention, he pointed straight across the hall to a dimly visible door.	Within three steps of the bottom were they, and they could almost distinguish what was being said in the room, when Crispin stopped, and turning his head to attract Kenneth's attention, he pointed straight across the hall to a dimly visible door.	false	409.49	421.84	18
6115_58433_000031_000001	It was that of the chamber wherein he had been brought before Cromwell.	It was that of the chamber wherein he had been brought before Cromwell.	true	422.48	426.19	18
6115_58433_000031_000002	Its position had occurred to him some moments before, and he had determined then upon going that way.	Its position had occurred to him some moments before, and he had determined then upon going that way.	true	426.65	432.01	19
6115_58433_000032_000000	The lad followed the indication of his finger, and signified by a nod that he understood.	The lad followed the indication of his finger, and signified by a nod that he understood.	true	432.62	437.59	19
6115_58433_000032_000001	Another step Galliard descended; then from the guardroom came a loud yawn, to send the boy cowering against the wall. It was followed by the sound of someone rising; a chair grated upon the floor, and there was a movement of feet within the chamber.	Another step Galliard descended; then from the guardroom came a loud yawn, to send the boy cowering against the wall. It was followed by the sound of someone rising; a chair grated upon the floor, and there was a movement of feet within the chamber.	true	437.81	451.69	20.390007
6115_58433_000032_000002	Had Kenneth been alone, of a certainty terror would have frozen him to the wall.	Had Kenneth been alone, of a certainty terror would have frozen him to the wall.	true	452.3	456.13	19
6115_58433_000033_000000	But the calm, unmovable Crispin proceeded as if naught had chanced; he argued that even if he who had risen were coming towards the door, there was nothing to be gained by standing still.	But the calm, unmovable Crispin proceeded as if naught had chanced; he argued that even if he who had risen were coming towards the door, there was nothing to be gained by standing still.	false	456.56	466.21	18
6115_58433_000033_000001	Their only chance lay now in passing before it might be opened.	Their only chance lay now in passing before it might be opened.	true	466.55	469.84	16
6115_58433_000034_000000	They that walk through perils in a brave man's company cannot but gain confidence from the calm of his demeanour.	They that walk through perils in a brave man's company cannot but gain confidence from the calm of his demeanour.	false	470.27	476.05	18
6115_58433_000034_000001	So was it now with Kenneth. The steady onward march of that tall, lank figure before him drew him irresistibly after it despite his tremors.	So was it now with Kenneth. The steady onward march of that tall, lank figure before him drew him irresistibly after it despite his tremors.	false	476.21	483.88	19
6115_58433_000034_000002	And well it was for him that this was so.	And well it was for him that this was so.	true	484.16	486.31	18
6115_58433_000034_000003	They gained the bottom of the staircase at length; they stood beside the door of the guardroom, they passed it in safety.	They gained the bottom of the staircase at length; they stood beside the door of the guardroom, they passed it in safety.	false	486.98	492.7	17.830423
6115_58433_000034_000004	Then slowly--painfully slowly--to avoid their steps from ringing upon the stone floor, they crept across towards the door that meant safety to Sir Crispin.	Then slowly-painfully slowly-to avoid their steps from ringing upon the stone floor, they crept across towards the door that meant safety to Sir Crispin.	true	493.22	503.43	21.352106
6115_58433_000034_000005	Slowly, step by step, they moved, and with every stride Crispin looked behind him, prepared to rush the moment he had sign they were discovered.	Slowly, step by step, they moved, and with every stride Crispin looked behind him, prepared to rush the moment he had sign they were discovered.	true	503.43	511.63	22
6115_58433_000034_000006	But it was not needed.	But it was not needed.	true	512.15	513.4	22.48534
6115_58433_000034_000007	In silence and in safety they were permitted to reach the door.	In silence and in safety they were permitted to reach the door.	true	513.68	517.03	18
6115_58433_000034_000008	To Crispin's joy it was unfastened.	To Crispin's joy it was unfastened.	true	517.61	519.79	19.460514
6115_58433_000034_000009	Quietly he opened it, then with calm gallantry he motioned to his companion to go first, holding it for him as he passed in, and keeping watch with eye and ear the while.	Quietly he opened it, then with calm gallantry he motioned to his companion to go first, holding it for him as he passed in, and keeping watch with eye and ear the while.	true	520.07	530.32	20.698946
6115_58433_000035_000000	Scarce had Kenneth entered the chamber when from above came the sound of loud and excited voices, announcing to them that their flight was at last discovered.	Scarce had Kenneth entered the chamber when from above came the sound of loud and excited voices, announcing to them that their flight was at last discovered.	true	530.84	538.72	17
6115_58433_000035_000001	It was responded to by a rush of feet in the guardroom, and Crispin had but time to dart in after his companion and close the door ere the troopers poured out into the hall and up the stairs, with confused shouts that something must be amiss.	It was responded to by a rush of feet in the guardroom, and Crispin had but time to dart in after his companion and close the door ere the troopers poured out into the hall and up the stairs, with confused shouts that something must be amiss.	true	539.03	550.96	18
6115_58433_000036_000000	Within the room that sheltered him Crispin chuckled, as he ran his hand along the edge of the door until he found the bolt, and softly shot it home.	Within the room that sheltered him Crispin chuckled, as he ran his hand along the edge of the door until he found the bolt, and softly shot it home.	true	551.3	558.22	13
6115_58433_000037_000000	"'Slife," he muttered, "'twas a close thing!	"'Slife," he muttered, "'twas a close thing!	true	558.56	561.78	18.382748
6115_58433_000037_000001	Aye, shout, you cuckolds," he went on.	Aye, shout, you cuckolds," he went on.	true	561.78	564.21	14
6115_58433_000037_000002	"Yell yourselves hoarse as the crows you are!	"Yell yourselves hoarse as the crows you are!	false	564.21	567.28	16.59049
6115_58433_000037_000003	You'll hang us where Gives are hanged, will you?"	You'll hang us where Gives are hanged, will you?"	true	567.38	569.41	17
6115_58433_000038_000000	Kenneth tugged at the skirts of his doublet.	Kenneth tugged at the skirts of his doublet.	true	569.6	571.75	23.132519
6115_58433_000038_000001	"What now?" he inquired.	"What now?" he inquired.	true	572.03	573.73	20.263628
6115_58433_000039_000000	"Now," said Crispin, "we'll leave by the window, if it please you."	"Now," said Crispin, "we'll leave by the window, if it please you."	true	573.74	578.08	19.171978
6115_58433_000040_000000	They crossed the room, and a moment or two later they had dropped on to the narrow railed pathway overlooking the river, which Crispin had observed from their prison window the evening before.	They crossed the room, and a moment or two later they had dropped on to the narrow railed pathway overlooking the river, which Crispin had observed from their prison window the evening before.	false	578.69	587.89	16
6115_58433_000040_000001	He had observed, too, that a small boat was moored at some steps about a hundred yards farther down the stream, and towards that spot he now sped along the footpath, followed closely by Kenneth.	He had observed, too, that a small boat was moored at some steps about a hundred yards farther down the stream, and towards that spot he now sped along the footpath, followed closely by Kenneth.	true	588.68	597.73	18
6115_58433_000040_000002	The path sloped in that direction, so that by the time the spot was reached the water flowed not more than six feet or so beneath them.	The path sloped in that direction, so that by the time the spot was reached the water flowed not more than six feet or so beneath them.	true	598.13	604.81	16
6115_58433_000040_000003	Half a dozen steps took them down this to the moorings of that boat, which fortunately had not been removed.	Half a dozen steps took them down this to the moorings of that boat, which fortunately had not been removed.	false	605.36	611.26	20.857325
6115_58433_000041_000000	"Get in, Kenneth," Crispin commanded.	"Get in, Kenneth," Crispin commanded.	true	611.6	613.995	22.45512
6115_58433_000041_000001	"There, I'll take the oars, and I'll keep under shelter of the bank lest those blunderers should bethink them of looking out of our prison window.	"There, I'll take the oars, and I'll keep under shelter of the bank lest those blunderers should bethink them of looking out of our prison window.	false	613.995	621.06	16
6115_58433_000041_000002	Oddswounds, Kenneth, I am hungry as a wolf, and as dry--ough, as dry as Dives when he begged for a sup of water.	Oddswounds, Kenneth, I am hungry as a wolf, and as dry-ough, as dry as Dives when he begged for a sup of water.	false	621.06	628.03	18
6115_58433_000041_000003	Heaven send we come upon some good malignant homestead ere we go far, where a Christian may find a meal and a stoup of ale.	Heaven send we come upon some good malignant homestead ere we go far, where a Christian may find a meal and a stoup of ale.	false	628.43	635.02	16
6115_58433_000041_000004	'Tis a miracle I had strength enough to crawl downstairs.	'tis a miracle I had strength enough to crawl downstairs.	true	635.06	638.295	17
6115_58433_000041_000005	Swounds, but an empty stomach is a craven comrade in a desperate enterprise.	Swounds, but an empty stomach is a craven comrade in a desperate enterprise.	true	638.295	642.54	16
6115_58433_000041_000006	Hey! Have a care, boy.	Hey! Have a care, boy.	true	642.54	644.83	22.1182
6115_58433_000041_000007	Now, sink me if this milksop hasn't fainted!"	Now, sink me if this milksop hasn't fainted!"	false	644.93	652.59	21.934483
