6215_62347_000001_000000	MRS. PRIME READS HER RECANTATION.	mrs PRIME READS HER RECANTATION.
6215_62347_000014_000000	Mrs. Prime was still reading the serious book; but I am bound to say that her mind had not been wholly intent upon it during the long absence of her mother and sister.	mrs Prime was still reading the serious book; but I am bound to say that her mind had not been wholly intent upon it during the long absence of her mother and sister.
6215_62347_000014_000002	If it were not wicked, why should not she have been allowed to share it?	If it were not wicked, why should not she have been allowed to share it?
6215_62347_000014_000003	She did not imagine it to be wicked according to the world's ordinary wickedness;--but she feared that it was wicked according to that tone of morals to which she was desirous of tying her mother down as a bond slave.	She did not imagine it to be wicked according to the world's ordinary wickedness;--but she feared that it was wicked according to that tone of morals to which she was desirous of tying her mother down as a bond slave.
6215_62347_000014_000004	They were away talking about love and pleasure, and those heart-throbbings in which her sister had so unfortunately been allowed to indulge.	They were away talking about love and pleasure, and those heart throbbings in which her sister had so unfortunately been allowed to indulge.
6215_62347_000014_000005	She felt all but sure that some tidings of Luke Rowan had been brought in Mrs. Sturt's budget of news, and she had never been able to think well of Luke Rowan since the evening on which she had seen him standing with Rachel in the churchyard.	She felt all but sure that some tidings of luke Rowan had been brought in mrs Sturt's budget of news, and she had never been able to think well of luke Rowan since the evening on which she had seen him standing with Rachel in the churchyard.
6215_62347_000014_000006	She knew nothing against him; but she had then made up her mind that he was pernicious, and she could not bring herself to own that she had been wrong in that opinion.	She knew nothing against him; but she had then made up her mind that he was pernicious, and she could not bring herself to own that she had been wrong in that opinion.
6215_62347_000014_000007	She had been loud and defiant in her denunciation when she had first suspected Rachel of having a lover. Since that she had undergone some troubles of her own by which the tone of her remonstrances had been necessarily moderated; but even now she could not forgive her sister such a lover as Luke Rowan.	She had been loud and defiant in her denunciation when she had first suspected Rachel of having a lover. Since that she had undergone some troubles of her own by which the tone of her remonstrances had been necessarily moderated; but even now she could not forgive her sister such a lover as luke Rowan.
6215_62347_000014_000008	She would have been quite willing to see her sister married, but the lover should have been dingy, black-coated, lugubrious, having about him some true essence of the tears of the valley of tribulation. Alas, her sister's taste was quite of another kind!	She would have been quite willing to see her sister married, but the lover should have been dingy, black coated, lugubrious, having about him some true essence of the tears of the valley of tribulation. Alas, her sister's taste was quite of another kind!
6215_62347_000016_000000	"No, mother, I didn't think that.	"No, mother, I didn't think that.
6215_62347_000016_000001	But I thought you were staying late with Mrs. Sturt."	But I thought you were staying late with mrs Sturt."
6215_62347_000017_000000	"So we were,--and really I didn't think we had been so long.	"So we were,--and really I didn't think we had been so long.
6215_62347_000017_000001	But, Dorothea, there was some one else over there besides Mrs. Sturt, and he kept us."	But, Dorothea, there was some one else over there besides mrs Sturt, and he kept us."
6215_62347_000018_000000	"He!	"He!
6215_62347_000018_000001	What he?" said Mrs. Prime.	What he?" said mrs Prime.
6215_62347_000018_000002	She had not even suspected that the lover had been over there in person.	She had not even suspected that the lover had been over there in person.
6215_62347_000019_000000	"Mr. Rowan, my dear.	"mr Rowan, my dear.
6215_62347_000020_000000	"What! the young man that was dismissed from Mr. Tappitt's?"	"What! the young man that was dismissed from mr Tappitt's?"
6215_62347_000021_000000	It was ill said of her,--very ill said, and so she was herself aware as soon as the words were out of her mouth.	It was ill said of her,--very ill said, and so she was herself aware as soon as the words were out of her mouth.
6215_62347_000021_000001	But she could not help it.	But she could not help it.
6215_62347_000021_000002	She had taken a side against Luke Rowan, and could not restrain herself from ill-natured words.	She had taken a side against luke Rowan, and could not restrain herself from ill natured words.
6215_62347_000021_000003	Rachel was still standing in the middle of the room when she heard her lover thus described; but she would not condescend to plead in answer to such a charge.	Rachel was still standing in the middle of the room when she heard her lover thus described; but she would not condescend to plead in answer to such a charge.
6215_62347_000021_000004	The colour came to her cheeks, and she threw up her head with a gesture of angry pride, but at the moment she said nothing.	The colour came to her cheeks, and she threw up her head with a gesture of angry pride, but at the moment she said nothing.
6215_62347_000021_000005	Mrs. Ray spoke.	mrs Ray spoke.
6215_62347_000022_000000	"It seems to me, Dorothea," she said, "that you are mistaken there.	"It seems to me, Dorothea," she said, "that you are mistaken there.
6215_62347_000022_000001	I think he has dismissed Mr. Tappitt."	I think he has dismissed mr Tappitt."
6215_62347_000023_000000	"I don't know much about it," said Mrs. Prime; "I only know that they've quarrelled."	"I don't know much about it," said mrs Prime; "I only know that they've quarrelled."
6215_62347_000024_000000	"But it would be well that you should learn, because I'm sure you will be glad to think as well of your brother-in-law as possible."	"But it would be well that you should learn, because I'm sure you will be glad to think as well of your brother in law as possible."
6215_62347_000025_000000	"Do you mean that he is engaged to marry Rachel?"	"Do you mean that he is engaged to marry Rachel?"
6215_62347_000026_000000	"Yes, Dorothea.	"Yes, Dorothea.
6215_62347_000026_000001	I think we may say that it is all settled now;--mayn't we, Rachel?	I think we may say that it is all settled now;--mayn't we, Rachel?
6215_62347_000026_000002	And a very excellent young man he is,--and as for being well off, a great deal better than what a child of mine could have expected.	And a very excellent young man he is,--and as for being well off, a great deal better than what a child of mine could have expected.
6215_62347_000026_000003	And a fine comely fellow he is, as a woman's eye would wish to rest on."	And a fine comely fellow he is, as a woman's eye would wish to rest on."
6215_62347_000027_000000	"Beauty is but skin deep," said Mrs. Prime, with no little indignation in her tone, that a thing so vile as personal comeliness should have been mentioned by her mother on such an occasion.	"Beauty is but skin deep," said mrs Prime, with no little indignation in her tone, that a thing so vile as personal comeliness should have been mentioned by her mother on such an occasion.
6215_62347_000029_000000	"Mother, there can have been nothing of the kind.	"Mother, there can have been nothing of the kind.
6215_62347_000030_000000	"At any rate I liked him very much; didn't I, Rachel?--from the first moment I set eyes on him.	"At any rate I liked him very much; didn't I, Rachel?--from the first moment I set eyes on him.
6215_62347_000030_000001	Only I don't think he'll ever do away with cider in Devonshire, because of the apple trees.	Only I don't think he'll ever do away with cider in Devonshire, because of the apple trees.
6215_62347_000030_000002	But if people are to drink beer it stands to reason that good beer will be better than bad."	But if people are to drink beer it stands to reason that good beer will be better than bad."
6215_62347_000031_000000	All this time Rachel had not spoken a word, nor had her sister uttered anything expressive of congratulation or good wishes.	All this time Rachel had not spoken a word, nor had her sister uttered anything expressive of congratulation or good wishes.
6215_62347_000032_000000	"If this matter is settled, Rachel--"	"If this matter is settled, Rachel-"
6215_62347_000033_000000	"It is settled,--I think," said Rachel.	"It is settled,--I think," said Rachel.
6215_62347_000034_000000	"If it is settled I hope that it may be for your lasting happiness and eternal welfare."	"If it is settled I hope that it may be for your lasting happiness and eternal welfare."
6215_62347_000035_000000	"I hope it will," said Rachel.	"I hope it will," said Rachel.
6215_62347_000037_000000	"That's quite true, my dear," said Mrs. Ray.	"That's quite true, my dear," said mrs Ray.
6215_62347_000038_000000	"A most important step, and one that requires the most exact circumspection,--especially on the part of the young woman.	"A most important step, and one that requires the most exact circumspection,--especially on the part of the young woman.
6215_62347_000038_000001	I hope you may have known Mr. Rowan long enough to justify your confidence in him."	I hope you may have known mr Rowan long enough to justify your confidence in him."
6215_62347_000039_000000	It was still the voice of a raven!	It was still the voice of a raven!
6215_62347_000039_000002	But it was not possible.	But it was not possible.
6215_62347_000039_000003	Though she would permit no such foreshadowings as those at which her mother had hinted, she had committed herself to forebodings against this young man, to such extent that she could not wheel her thoughts round and suddenly think well of him.	Though she would permit no such foreshadowings as those at which her mother had hinted, she had committed herself to forebodings against this young man, to such extent that she could not wheel her thoughts round and suddenly think well of him.
6215_62347_000039_000004	She could not do so as yet, but she would make the struggle.	She could not do so as yet, but she would make the struggle.
6215_62347_000042_000000	"You mustn't mind Dorothea," the widow said.	"You mustn't mind Dorothea," the widow said.
6215_62347_000044_000000	"I mean that you mustn't mind her seeming to be so hard.	"I mean that you mustn't mind her seeming to be so hard.
6215_62347_000044_000001	She means well through it all, and is as affectionate as any other woman."	She means well through it all, and is as affectionate as any other woman."
6215_62347_000046_000001	can't you understand?	can't you understand?
6215_62347_000046_000002	When she first heard of Mr. Rowan--"	When she first heard of mr Rowan-"
6215_62347_000047_000000	"Call him Luke, mamma."	"Call him luke, mamma."
6215_62347_000049_000001	Who taught her?"	Who taught her?"
6215_62347_000050_000000	"Miss Pucker, and Mr. Prong, and that set."	"Miss Pucker, and mr Prong, and that set."
6215_62347_000051_000000	"Yes; and they are the people who talk most of Christian charity!"	"Yes; and they are the people who talk most of Christian charity!"
6215_62347_000052_000000	"But, my dear, they don't mean to be uncharitable.	"But, my dear, they don't mean to be uncharitable.
6215_62347_000052_000001	They try to do good.	They try to do good.
6215_62347_000052_000003	And you can't expect her to turn round all in a minute.	And you can't expect her to turn round all in a minute.
6215_62347_000052_000004	Think how she has been troubled herself about this affair of Mr. Prong's."	Think how she has been troubled herself about this affair of mr Prong's."
6215_62347_000053_000001	What makes me so angry is that she should think everybody is a fool except herself.	What makes me so angry is that she should think everybody is a fool except herself.
6215_62347_000053_000002	Why should anybody be more dangerous to me than to anybody else?"	Why should anybody be more dangerous to me than to anybody else?"
6215_62347_000054_000002	I don't know how to be thankful enough when I think how things have turned out;--but when I first heard of him I thought he was dangerous too."	I don't know how to be thankful enough when I think how things have turned out;--but when I first heard of him I thought he was dangerous too."
6215_62347_000055_000000	"But you don't think he is dangerous now, mamma?"	"But you don't think he is dangerous now, mamma?"
6215_62347_000056_000000	"No, my dear; of course I don't.	"No, my dear; of course I don't.
6215_62347_000056_000001	And I never did after he drank tea here that night; only Mr. Comfort told me it wouldn't be safe not to see how things went a little before you,--you understand, dearest?"	And I never did after he drank tea here that night; only mr Comfort told me it wouldn't be safe not to see how things went a little before you,--you understand, dearest?"
6215_62347_000057_000001	I ain't a bit obliged to Mr. Comfort, though I mean to forgive him because of Mrs. Cornbury.	I ain't a bit obliged to mr Comfort, though I mean to forgive him because of mrs Cornbury.
6215_62347_000057_000002	She has behaved best through it all,--next to you, mamma."	She has behaved best through it all,--next to you, mamma."
6215_62347_000058_000003	But why need she sleep now that every thought was a new pleasure?	But why need she sleep now that every thought was a new pleasure?
6215_62347_000058_000004	There was no moment that she had ever passed with him that had not to be recalled.	There was no moment that she had ever passed with him that had not to be recalled.
6215_62347_000058_000005	There was no word of his that had not to be re-weighed.	There was no word of his that had not to be re weighed.
6215_62347_000058_000008	She could almost believe that he had been specially made and destined for her behoof.	She could almost believe that he had been specially made and destined for her behoof.
6215_62347_000059_000004	Now he was there on purpose to take her with him, and she went forth with him, leaning lovingly on his arm, while yet close under her sister's eyes.	Now he was there on purpose to take her with him, and she went forth with him, leaning lovingly on his arm, while yet close under her sister's eyes.
6215_62347_000059_000005	I think there must have been a gleam of triumph in her face as she put her hand with such confidence well round her lover's arm.	I think there must have been a gleam of triumph in her face as she put her hand with such confidence well round her lover's arm.
6215_62347_000060_000000	Girls do triumph in their lovers,--in their acknowledged and permitted lovers, as young men triumph in their loves which are not acknowledged or perhaps permitted.	Girls do triumph in their lovers,--in their acknowledged and permitted lovers, as young men triumph in their loves which are not acknowledged or perhaps permitted.
6215_62347_000060_000001	A man's triumph is for the most part over when he is once allowed to take his place at the family table, as a right, next to his betrothed.	A man's triumph is for the most part over when he is once allowed to take his place at the family table, as a right, next to his betrothed.
6215_62347_000060_000003	But the girl feels herself to be exalted for those few weeks as a conqueror, and to be carried along in an ovation of which that bucolic victim, tied round with blue ribbons on to his horns, is the chief grace and ornament.	But the girl feels herself to be exalted for those few weeks as a conqueror, and to be carried along in an ovation of which that bucolic victim, tied round with blue ribbons on to his horns, is the chief grace and ornament.
6215_62347_000062_000001	In Rachel's presence she could not have first made this recantation.	In Rachel's presence she could not have first made this recantation.
6215_62347_000062_000002	Though Rachel spoke no triumph, there was a triumph in her eye, which prevented almost the possibility of such yielding on the part of Dorothea.	Though Rachel spoke no triumph, there was a triumph in her eye, which prevented almost the possibility of such yielding on the part of Dorothea.
6215_62347_000062_000003	But when the thing should have been once done, when she should once have owned that Rachel was not wrong, then gradually she could bring herself round to the utterance of some kindly expression.	But when the thing should have been once done, when she should once have owned that Rachel was not wrong, then gradually she could bring herself round to the utterance of some kindly expression.
6215_62347_000063_000000	"Pretty," she said; "yes, it is pretty.	"Pretty," she said; "yes, it is pretty.
6215_62347_000063_000001	I do not know that anybody ever doubted its prettiness."	I do not know that anybody ever doubted its prettiness."
6215_62347_000064_000000	"And isn't it nice too?	"And isn't it nice too?
6215_62347_000064_000001	Dear girl!	Dear girl!
6215_62347_000066_000000	"Yes, just so; of course we know that.	"Yes, just so; of course we know that.
6215_62347_000067_000000	"No; I don't say that.	"No; I don't say that.
6215_62347_000068_000002	Everybody seems to speak well of him now."	Everybody seems to speak well of him now."
6215_62347_000069_000000	"Well, mother, I have nothing to say against him,--not a word.	"Well, mother, I have nothing to say against him,--not a word.
6215_62347_000069_000001	And if it will give Rachel any pleasure,--though I don't suppose it will, the least in the world; but if it would, she may know that I think she has done wisely to accept him."	And if it will give Rachel any pleasure,--though I don't suppose it will, the least in the world; but if it would, she may know that I think she has done wisely to accept him."
6215_62347_000070_000000	"Indeed it will; the greatest pleasure."	"Indeed it will; the greatest pleasure."
6215_62347_000071_000000	"And I hope they will be happy together for very many years.	"And I hope they will be happy together for very many years.
6215_62347_000071_000001	I love Rachel dearly, though I fear she does not think so, and anything I have said, I have said in love, not in anger."	I love Rachel dearly, though I fear she does not think so, and anything I have said, I have said in love, not in anger."
6215_62347_000074_000000	"Amen!" said Mrs. Ray, solemnly.	"Amen!" said mrs Ray, solemnly.
6215_62347_000074_000001	It was thus that Mrs. Prime read her recantation, which was repeated on that evening to Rachel with some little softening touches.	It was thus that mrs Prime read her recantation, which was repeated on that evening to Rachel with some little softening touches.
6215_62347_000074_000002	"You won't be living together in the same house after a bit," said Mrs. Ray, thinking, with some sadness, that those little evening festivities of buttered toast and thick cream were over for her now,--"but I do hope you will be friends."	"You won't be living together in the same house after a bit," said mrs Ray, thinking, with some sadness, that those little evening festivities of buttered toast and thick cream were over for her now,--"but I do hope you will be friends."
6215_62347_000075_000000	"Of course we will, mamma.	"Of course we will, mamma.
6215_62347_000075_000001	She has only to put out her hand the least little bit in the world, and I will go the rest of the way.	She has only to put out her hand the least little bit in the world, and I will go the rest of the way.
6215_62347_000075_000002	As for her living, I don't know what will be best about that, because Luke says that of course you'll come and live with us."	As for her living, I don't know what will be best about that, because luke says that of course you'll come and live with us."
6215_62347_000076_000002	But to this both Martha and Cherry objected.	But to this both Martha and Cherry objected.
6215_62347_000077_000000	"We have heard of your engagement," said Martha, "and we congratulate you.	"We have heard of your engagement," said Martha, "and we congratulate you.
6215_62347_000078_000001	Mamma has already looked at a villa near Torquay, which will suit us delightfully."	Mamma has already looked at a villa near Torquay, which will suit us delightfully."
