6215_62347_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	false	10.89	21.795	21.73863
6215_62347_000014_000007	She had been loud and defiant in her denunciation when she had first suspected Rachel of having a lover. Since that she had undergone some troubles of her own by which the tone of her remonstrances had been necessarily moderated; but even now she could not forgive her sister such a lover as Luke Rowan.	She had been loud and defiant in her denunciation when she had first suspected Rachel of having a lover. Since that she had undergone some troubles of her own by which the tone of her remonstrances had been necessarily moderated; but even now she could not forgive her sister such a lover as luke Rowan.	true	338.21	358.03	21.39378
6215_62347_000014_000008	She would have been quite willing to see her sister married, but the lover should have been dingy, black-coated, lugubrious, having about him some true essence of the tears of the valley of tribulation. Alas, her sister's taste was quite of another kind!	She would have been quite willing to see her sister married, but the lover should have been dingy, black coated, lugubrious, having about him some true essence of the tears of the valley of tribulation. Alas, her sister's taste was quite of another kind!	true	358.73	374.92	21.87085
6215_62347_000015_000000	"I'm afraid you will have been thinking that we were never coming back again," said Mrs. Ray, as she entered the room.	"I'm afraid you will have been thinking that we were never coming back again," said mrs Ray, as she entered the room.	false	375.77	382.36	19.666954
6215_62347_000016_000000	"No, mother, I didn't think that.	"No, mother, I didn't think that.	true	383	385.24	23.911627
6215_62347_000016_000001	But I thought you were staying late with Mrs. Sturt."	But I thought you were staying late with mrs Sturt."	true	385.7	388.72	23.716063
6215_62347_000017_000000	"So we were,--and really I didn't think we had been so long.	"So we were,--and really I didn't think we had been so long.	true	388.94	392.8	23.380392
6215_62347_000017_000001	But, Dorothea, there was some one else over there besides Mrs. Sturt, and he kept us."	But, Dorothea, there was some one else over there besides mrs Sturt, and he kept us."	true	392.87	398.29	23.900011
6215_62347_000018_000000	"He!	"He!	true	399.32	400.24	23.91672
6215_62347_000018_000001	What he?" said Mrs. Prime.	What he?" said mrs Prime.	true	400.43	402.82	21.178562
6215_62347_000018_000002	She had not even suspected that the lover had been over there in person.	She had not even suspected that the lover had been over there in person.	true	402.89	407.08	21.258663
6215_62347_000019_000000	"Mr. Rowan, my dear.	"mr Rowan, my dear.	true	407.3	408.97	20.937002
6215_62347_000019_000001	He has been at the farm."	He has been at the farm."	false	409.01	410.77	21.405148
6215_62347_000020_000000	"What! the young man that was dismissed from Mr. Tappitt's?"	"What! the young man that was dismissed from mr Tappitt's?"	true	411.35	415.36	25.067736
6215_62347_000021_000000	It was ill said of her,--very ill said, and so she was herself aware as soon as the words were out of her mouth.	It was ill said of her,--very ill said, and so she was herself aware as soon as the words were out of her mouth.	true	416.33	423.64	22.037056
6215_62347_000021_000001	But she could not help it.	But she could not help it.	true	423.71	425.23	22.60697
6215_62347_000021_000002	She had taken a side against Luke Rowan, and could not restrain herself from ill-natured words.	She had taken a side against luke Rowan, and could not restrain herself from ill natured words.	true	425.45	431.14	21.93122
6215_62347_000021_000003	Rachel was still standing in the middle of the room when she heard her lover thus described; but she would not condescend to plead in answer to such a charge.	Rachel was still standing in the middle of the room when she heard her lover thus described; but she would not condescend to plead in answer to such a charge.	true	431.69	440.41	21.77362
6215_62347_000021_000004	The colour came to her cheeks, and she threw up her head with a gesture of angry pride, but at the moment she said nothing.	The colour came to her cheeks, and she threw up her head with a gesture of angry pride, but at the moment she said nothing.	true	440.69	447.97	22.603655
6215_62347_000021_000005	Mrs. Ray spoke.	mrs Ray spoke.	true	448.04	449.74	28.778889
6215_62347_000022_000000	"It seems to me, Dorothea," she said, "that you are mistaken there.	"It seems to me, Dorothea," she said, "that you are mistaken there.	true	450.53	454.78	22.518227
6215_62347_000022_000001	I think he has dismissed Mr. Tappitt."	I think he has dismissed mr Tappitt."	true	454.97	458.05	23.151964
6215_62347_000023_000000	"I don't know much about it," said Mrs. Prime; "I only know that they've quarrelled."	"I don't know much about it," said mrs Prime; "I only know that they've quarrelled."	true	459.05	463.9	21.671713
6215_62347_000024_000000	"But it would be well that you should learn, because I'm sure you will be glad to think as well of your brother-in-law as possible."	"But it would be well that you should learn, because I'm sure you will be glad to think as well of your brother in law as possible."	true	465.2	472.09	21.06584
6215_62347_000025_000000	"Do you mean that he is engaged to marry Rachel?"	"Do you mean that he is engaged to marry Rachel?"	true	472.94	476.02	20.45258
6215_62347_000026_000000	"Yes, Dorothea.	"Yes, Dorothea.	true	476.24	477.61	21.7076
6215_62347_000026_000001	I think we may say that it is all settled now;--mayn't we, Rachel?	I think we may say that it is all settled now;--mayn't we, Rachel?	true	477.71	481.6	21.695642
6215_62347_000026_000002	And a very excellent young man he is,--and as for being well off, a great deal better than what a child of mine could have expected.	And a very excellent young man he is,--and as for being well off, a great deal better than what a child of mine could have expected.	true	481.85	489.72	20.813486
6215_62347_000026_000003	And a fine comely fellow he is, as a woman's eye would wish to rest on."	And a fine comely fellow he is, as a woman's eye would wish to rest on."	true	489.72	494.98	22.351236
6215_62347_000027_000000	"Beauty is but skin deep," said Mrs. Prime, with no little indignation in her tone, that a thing so vile as personal comeliness should have been mentioned by her mother on such an occasion.	"Beauty is but skin deep," said mrs Prime, with no little indignation in her tone, that a thing so vile as personal comeliness should have been mentioned by her mother on such an occasion.	true	495.59	507.37	21.232616
6215_62347_000028_000000	"When he came out here and drank tea with us that evening," continued Mrs. Ray, "I took a liking to him most unaccountable, unless it was that I had a foreshadowing that he was going to be so near and dear to me."	"When he came out here and drank tea with us that evening," continued mrs Ray, "I took a liking to him most unaccountable, unless it was that I had a foreshadowing that he was going to be so near and dear to me."	false	507.95	520.09	21.839901
6215_62347_000029_000000	"Mother, there can have been nothing of the kind.	"Mother, there can have been nothing of the kind.	true	520.25	523.81	23.2582
6215_62347_000029_000001	You should not say such things.	You should not say such things.	true	523.85	525.85	19.774603
6215_62347_000029_000002	The Lord in his providence allows us no foreshadowing of that kind."	The Lord in his providence allows us no foreshadowing of that kind."	false	526.07	530.62	20.366173
6215_62347_000030_000000	"At any rate I liked him very much; didn't I, Rachel?--from the first moment I set eyes on him.	"At any rate I liked him very much; didn't I, Rachel?--from the first moment I set eyes on him.	true	531.02	536.32	21.857735
6215_62347_000030_000001	Only I don't think he'll ever do away with cider in Devonshire, because of the apple trees.	Only I don't think he'll ever do away with cider in Devonshire, because of the apple trees.	true	536.33	541.51	21.856586
6215_62347_000030_000002	But if people are to drink beer it stands to reason that good beer will be better than bad."	But if people are to drink beer it stands to reason that good beer will be better than bad."	true	541.55	546.85	22.841799
6215_62347_000031_000000	All this time Rachel had not spoken a word, nor had her sister uttered anything expressive of congratulation or good wishes.	All this time Rachel had not spoken a word, nor had her sister uttered anything expressive of congratulation or good wishes.	true	548.06	556.81	21.208712
6215_62347_000031_000001	Now, as Mrs. Ray ceased, there came a silence in the room, and it was incumbent on the elder sister to break it.	Now, as mrs Ray ceased, there came a silence in the room, and it was incumbent on the elder sister to break it.	true	557.15	564.64	18.81414
6215_62347_000032_000000	"If this matter is settled, Rachel--"	"If this matter is settled, Rachel-"	true	565.61	568.06	20.540142
6215_62347_000033_000000	"It is settled,--I think," said Rachel.	"It is settled,--I think," said Rachel.	true	568.25	571.3	20.000658
6215_62347_000034_000000	"If it is settled I hope that it may be for your lasting happiness and eternal welfare."	"If it is settled I hope that it may be for your lasting happiness and eternal welfare."	true	572.21	577.96	21.210056
6215_62347_000035_000000	"I hope it will," said Rachel.	"I hope it will," said Rachel.	true	578.27	580.72	23.332956
6215_62347_000036_000000	"Marriage is a most important step."	"Marriage is a most important step."	false	581.48	583.815	21.07323
6215_62347_000037_000000	"That's quite true, my dear," said Mrs. Ray.	"That's quite true, my dear," said mrs Ray.	true	583.815	586.9	21.219385
6215_62347_000038_000000	"A most important step, and one that requires the most exact circumspection,--especially on the part of the young woman.	"A most important step, and one that requires the most exact circumspection,--especially on the part of the young woman.	true	588.26	596.17	22.595398
6215_62347_000038_000001	I hope you may have known Mr. Rowan long enough to justify your confidence in him."	I hope you may have known mr Rowan long enough to justify your confidence in him."	true	596.84	601.99	20.472418
6215_62347_000039_000000	It was still the voice of a raven!	It was still the voice of a raven!	true	603.68	606.25	23.16608
6215_62347_000039_000001	Mrs. Prime as she spoke thus knew that she was croaking, and would have divested herself of her croak and spoken joyously, had such mode of speech been possible to her.	mrs Prime as she spoke thus knew that she was croaking, and would have divested herself of her croak and spoken joyously, had such mode of speech been possible to her.	false	606.5	617.14	21.29645
6215_62347_000039_000002	But it was not possible.	But it was not possible.	true	617.3	618.85	23.233181
6215_62347_000039_000003	Though she would permit no such foreshadowings as those at which her mother had hinted, she had committed herself to forebodings against this young man, to such extent that she could not wheel her thoughts round and suddenly think well of him.	Though she would permit no such foreshadowings as those at which her mother had hinted, she had committed herself to forebodings against this young man, to such extent that she could not wheel her thoughts round and suddenly think well of him.	true	619.1	633.12	21.919054
6215_62347_000039_000004	She could not do so as yet, but she would make the struggle.	She could not do so as yet, but she would make the struggle.	true	633.12	637.12	22.059423
6215_62347_000040_000000	"God bless you, Rachel!" she said, when they parted for the night. "You have my best wishes for your happiness.	"God bless you, Rachel!" she said, when they parted for the night. "You have my best wishes for your happiness.	true	638.3	645.58	18.479166
6215_62347_000040_000001	I hope you do not doubt my love because I think more of your welfare in another world than in this." Then she kissed her sister and they parted for the night.	I hope you do not doubt my love because I think more of your welfare in another world than in this." Then she kissed her sister and they parted for the night.	false	645.89	655.03	19.29429
6215_62347_000041_000000	Rachel now shared her mother's room; and from her mother, when they were alone together, she received abundance of that sympathy for which her heart was craving.	Rachel now shared her mother's room; and from her mother, when they were alone together, she received abundance of that sympathy for which her heart was craving.	false	655.79	664.45	21.277298
6215_62347_000042_000000	"You mustn't mind Dorothea," the widow said.	"You mustn't mind Dorothea," the widow said.	true	664.64	667.66	22.7175
6215_62347_000043_000000	"No, mamma; I do not."	"No, mamma; I do not."	true	667.76	669.49	18.78627
6215_62347_000044_000000	"I mean that you mustn't mind her seeming to be so hard.	"I mean that you mustn't mind her seeming to be so hard.	true	669.74	673.15	22.559978
6215_62347_000044_000001	She means well through it all, and is as affectionate as any other woman."	She means well through it all, and is as affectionate as any other woman."	true	673.16	677.35	22.905094
6215_62347_000045_000000	"Why did she say that he had been dismissed when she knew that it wasn't true?"	"Why did she say that he had been dismissed when she knew that it wasn't true?"	false	678.14	682.5	21.428482
6215_62347_000046_000000	"Ah, my dear!	"Ah, my dear!	false	682.5	683.98	24.208742
6215_62347_000046_000001	can't you understand?	can't you understand?	true	684.14	685.57	22.724209
6215_62347_000046_000002	When she first heard of Mr. Rowan--"	When she first heard of mr Rowan-"	true	685.76	687.94	25.84377
6215_62347_000047_000000	"Call him Luke, mamma."	"Call him luke, mamma."	true	688.1	689.71	21.157547
6215_62347_000048_000000	"When she first heard of him she was taught to believe that he was giddy, and that he didn't mean anything."	"When she first heard of him she was taught to believe that he was giddy, and that he didn't mean anything."	false	689.84	695.88	24.263128
6215_62347_000049_000000	"Why should she think evil of people?	"Why should she think evil of people?	true	695.88	698.16	19.72745
6215_62347_000049_000001	Who taught her?"	Who taught her?"	true	698.16	699.46	21.150425
6215_62347_000050_000000	"Miss Pucker, and Mr. Prong, and that set."	"Miss Pucker, and mr Prong, and that set."	true	699.59	702.13	23.359488
6215_62347_000051_000000	"Yes; and they are the people who talk most of Christian charity!"	"Yes; and they are the people who talk most of Christian charity!"	true	702.83	707.02	23.648645
6215_62347_000052_000000	"But, my dear, they don't mean to be uncharitable.	"But, my dear, they don't mean to be uncharitable.	true	707.51	710.47	23.726542
6215_62347_000052_000001	They try to do good.	They try to do good.	true	710.48	711.94	26.807587
6215_62347_000052_000002	If Dorothea really thought that this young man was a dangerous acquaintance what could she do but say so?	If Dorothea really thought that this young man was a dangerous acquaintance what could she do but say so?	false	712.07	717.73	25.316528
6215_62347_000052_000003	And you can't expect her to turn round all in a minute.	And you can't expect her to turn round all in a minute.	true	717.95	720.85	22.330828
6215_62347_000052_000004	Think how she has been troubled herself about this affair of Mr. Prong's."	Think how she has been troubled herself about this affair of mr Prong's."	true	720.98	724.84	23.686518
6215_62347_000053_000000	"But that's no reason she should say that Luke is dangerous. Dangerous!	"But that's no reason she should say that luke is dangerous. Dangerous!	false	725.72	730.15	19.977192
6215_62347_000053_000001	What makes me so angry is that she should think everybody is a fool except herself.	What makes me so angry is that she should think everybody is a fool except herself.	true	730.73	735.7	22.34919
6215_62347_000053_000002	Why should anybody be more dangerous to me than to anybody else?"	Why should anybody be more dangerous to me than to anybody else?"	true	736.01	739.72	21
6215_62347_000054_000000	"Well, my dear, I think that perhaps she is not so wrong there.	"Well, my dear, I think that perhaps she is not so wrong there.	false	740.27	743.95	22.923264
6215_62347_000054_000001	Of course everything is all right with you now, and I'm sure I'm the happiest woman in the world to feel that it is so.	Of course everything is all right with you now, and I'm sure I'm the happiest woman in the world to feel that it is so.	false	744.29	750.88	23.010666
6215_62347_000054_000002	I don't know how to be thankful enough when I think how things have turned out;--but when I first heard of him I thought he was dangerous too."	I don't know how to be thankful enough when I think how things have turned out;--but when I first heard of him I thought he was dangerous too."	true	751.4	759.61	23.754837
6215_62347_000055_000000	"But you don't think he is dangerous now, mamma?"	"But you don't think he is dangerous now, mamma?"	true	760.55	763.185	21.841314
6215_62347_000056_000000	"No, my dear; of course I don't.	"No, my dear; of course I don't.	true	763.185	765.04	23.046066
6215_62347_000056_000001	And I never did after he drank tea here that night; only Mr. Comfort told me it wouldn't be safe not to see how things went a little before you,--you understand, dearest?"	And I never did after he drank tea here that night; only mr Comfort told me it wouldn't be safe not to see how things went a little before you,--you understand, dearest?"	true	765.11	775.72	24.30783
6215_62347_000057_000000	"Yes, I understand.	"Yes, I understand.	true	776.75	778.42	15
6215_62347_000057_000001	I ain't a bit obliged to Mr. Comfort, though I mean to forgive him because of Mrs. Cornbury.	I ain't a bit obliged to mr Comfort, though I mean to forgive him because of mrs Cornbury.	true	778.64	783.52	22.987463
6215_62347_000057_000002	She has behaved best through it all,--next to you, mamma."	She has behaved best through it all,--next to you, mamma."	true	783.71	787.2	24.222654
6215_62347_000058_000000	I am afraid it was late before Mrs. Ray went to sleep that night, and I almost doubt whether Rachel slept at all.	I am afraid it was late before mrs Ray went to sleep that night, and I almost doubt whether Rachel slept at all.	false	787.2	795.55	20.715807
6215_62347_000058_000001	It seemed to her that in the present condition of her life sleep could hardly be necessary. During the last month past she had envied those who slept while she was kept awake by her sorrow.	It seemed to her that in the present condition of her life sleep could hardly be necessary. During the last month past she had envied those who slept while she was kept awake by her sorrow.	false	795.98	806.92	20.257463
6215_62347_000058_000002	She had often struggled to sleep as she sat in her chair, so that she might escape for a few moments from the torture of her waking thoughts.	She had often struggled to sleep as she sat in her chair, so that she might escape for a few moments from the torture of her waking thoughts.	false	807.41	814.69	24.056616
6215_62347_000058_000003	But why need she sleep now that every thought was a new pleasure?	But why need she sleep now that every thought was a new pleasure?	true	815.36	818.8	24.579153
6215_62347_000058_000004	There was no moment that she had ever passed with him that had not to be recalled.	There was no moment that she had ever passed with him that had not to be recalled.	true	819.02	823.84	22.364067
6215_62347_000058_000005	There was no word of his that had not to be re-weighed.	There was no word of his that had not to be re weighed.	true	824.03	827.62	23.359276
6215_62347_000058_000006	She remembered, or fancied that she remembered, her idea of the man when her eye first fell upon his outside form.	She remembered, or fancied that she remembered, her idea of the man when her eye first fell upon his outside form.	false	827.9	835.12	21.90041
6215_62347_000058_000007	She would have sworn that her first glance of him had conveyed to her far more than had ever come to her from many a day's casual looking at any other man.	She would have sworn that her first glance of him had conveyed to her far more than had ever come to her from many a day's casual looking at any other man.	false	835.46	844.3	21.166548
6215_62347_000058_000008	She could almost believe that he had been specially made and destined for her behoof.	She could almost believe that he had been specially made and destined for her behoof.	true	844.85	850	22.72477
6215_62347_000058_000009	She blushed even while lying in bed as she remembered how the gait of the man, and the tone of his voice, had taken possession of her eyes and ears from the first day on which she had met him.	She blushed even while lying in bed as she remembered how the gait of the man, and the tone of his voice, had taken possession of her eyes and ears from the first day on which she had met him.	false	850.4	861.37	20.845352
6215_62347_000058_000010	When she had gone to Mrs. Tappitt's party, so consciously alive to the fact that he was to be there, she had told herself that she was sure she thought no more of him than of any other man that she might meet; but she now declared to herself that she had been a weak fool in thus attempting to deceive herself; that she had loved him from the first,--or at any rate from that evening when he had told her of the beauty of the clouds; and that from that day to the present hour there had been no other chance of happiness to her but that chance which had now been so wondrously decided in her favour.	When she had gone to mrs Tappitt's party, so consciously alive to the fact that he was to be there, she had told herself that she was sure she thought no more of him than of any other man that she might meet; but she now declared to herself that she had been a weak fool in thus attempting to deceive herself; that she had loved him from the first,--or at any rate from that evening when he had told her of the beauty of the clouds; and that from that day to the present hour there had been no other chance of happiness to her but that chance which had now been so wondrously decided in her favour.	false	861.95	894.67	20.835682
6215_62347_000058_000011	When she came down to breakfast on the next morning she was very quiet,--so quiet that her sister almost thought she was frightened at her future prospects; but I think that there was no such fear.	When she came down to breakfast on the next morning she was very quiet,--so quiet that her sister almost thought she was frightened at her future prospects; but I think that there was no such fear.	false	895.64	906.49	23.00617
6215_62347_000058_000012	She was so happy that she could afford to be tranquil in her happiness.	She was so happy that she could afford to be tranquil in her happiness.	true	906.65	910.93	19.418594
6215_62347_000059_000000	On that day Rowan came out to the cottage in the evening and was formally introduced to Mrs. Prime.	On that day Rowan came out to the cottage in the evening and was formally introduced to mrs Prime.	false	912.71	917.89	21.099669
6215_62347_000059_000001	Mrs. Ray, I fear, did not find the little tea-party so agreeable on that evening as she had done on the previous occasion.	mrs Ray, I fear, did not find the little tea party so agreeable on that evening as she had done on the previous occasion.	false	918.5	924.67	22.683722
6215_62347_000059_000002	Mrs. Prime did make some effort at conversation; she did endeavour to receive the young man as her future brother-in-law; she was gracious to him with such graciousness as she possessed;--but the duration of their meal was terribly long, and even Mrs. Ray herself felt relieved when the two lovers went forth together for their evening walk.	mrs Prime did make some effort at conversation; she did endeavour to receive the young man as her future brother in law; she was gracious to him with such graciousness as she possessed;--but the duration of their meal was terribly long, and even mrs Ray herself felt relieved when the two lovers went forth together for their evening walk.	false	924.92	944.68	22.362038
6215_62347_000059_000003	I think there must have been some triumph in Rachel's heart as she tied on her hat before she started. I think she must have remembered the evening on which her sister had been so urgent with her to go to the Dorcas meeting;--when she had so obstinately refused that invitation, and had instead gone out to meet the Tappitt girls, and had met with them the young man of whom her sister had before been speaking with so much horror.	I think there must have been some triumph in Rachel's heart as she tied on her hat before she started. I think she must have remembered the evening on which her sister had been so urgent with her to go to the Dorcas meeting;--when she had so obstinately refused that invitation, and had instead gone out to meet the Tappitt girls, and had met with them the young man of whom her sister had before been speaking with so much horror.	true	946.04	970.45	21.77725
6215_62347_000059_000004	Now he was there on purpose to take her with him, and she went forth with him, leaning lovingly on his arm, while yet close under her sister's eyes.	Now he was there on purpose to take her with him, and she went forth with him, leaning lovingly on his arm, while yet close under her sister's eyes.	true	971.36	981.31	20.64711
6215_62347_000059_000005	I think there must have been a gleam of triumph in her face as she put her hand with such confidence well round her lover's arm.	I think there must have been a gleam of triumph in her face as she put her hand with such confidence well round her lover's arm.	true	981.86	988.63	20
6215_62347_000060_000000	Girls do triumph in their lovers,--in their acknowledged and permitted lovers, as young men triumph in their loves which are not acknowledged or perhaps permitted.	Girls do triumph in their lovers,--in their acknowledged and permitted lovers, as young men triumph in their loves which are not acknowledged or perhaps permitted.	true	989.27	998.29	21.532795
