7837_109174_000000_000000	Then she regained her native element; water covered her gills, and she could begin to swim.	Then she regained her native element; water covered her gills, and she could begin to swim.	false	11.1	29.16	20.116905
7837_109174_000008_000002	Some would almost run right into her; but when they saw her, then how the water flashed with starry gleams, and how quickly they all made off!	Some would almost run right into her; but when they saw her, then how the water flashed with starry gleams, and how quickly they all made off!	true	159.44	168.76	18.16772
7837_109174_000009_000000	She liked best to hide where the water-lilies floated in islands of green, for there the treacherous shadows--her best friends--fell clearly through the water; absorbed her, as it were, and made capture easy for her.	She liked best to hide where the water lilies floated in islands of green, for there the treacherous shadows-her best friends-fell clearly through the water; absorbed her, as it were, and made capture easy for her.	true	169.49	184.6	18.851631
7837_109174_000009_000001	If she found herself discovered, she would retreat with as little haste as possible; for that sort of thing aroused too much attention, and created widespread disturbance in the fishy world.	If she found herself discovered, she would retreat with as little haste as possible; for that sort of thing aroused too much attention, and created widespread disturbance in the fishy world.	true	184.97	197.65	19.290453
7837_109174_000010_000000	If she lay on the surface, for instance, and suspected that she was being watched from above, she became, as it were, more and more indistinct and one with the dark water, letting herself sink imperceptibly, at the same time beginning to work all her fins.	If she lay on the surface, for instance, and suspected that she was being watched from above, she became, as it were, more and more indistinct and one with the dark water, letting herself sink imperceptibly, at the same time beginning to work all her fins.	true	198.74	216.07	19.07344
7837_109174_000010_000001	In ample folds they softly crept round the long stick that her body now resembled, fringed and veiled it and bore it away.	In ample folds they softly crept round the long stick that her body now resembled, fringed and veiled it and bore it away.	true	216.77	225.22	18.302584
7837_109174_000011_000000	And just as she knew how to place herself, so did she know how to move--cautiously and discreetly.	And just as she knew how to place herself, so did she know how to move-cautiously and discreetly.	true	226.31	233.41	19.78121
7837_109174_000012_000000	Formerly she had measured only a finger's length, and now she was already about a foot long; her voraciousness had increased in a corresponding degree.	Formerly she had measured only a finger's length, and now she was already about a foot long; her voraciousness had increased in a corresponding degree.	false	234.56	244.51	18.23271
7837_109174_000012_000001	She could eat every hour of the day.	She could eat every hour of the day.	true	244.61	247.03	19.247528
7837_109174_000012_000002	She would fill herself right up to the neck, and even have half a fish sticking out beyond.	She would fill herself right up to the neck, and even have half a fish sticking out beyond.	true	247.04	252.88	18.963017
7837_109174_000012_000003	It was quite a common sight to see a little flapping fish-tail for which her digestive organs had not room as yet, sticking out of her mouth like a lively tongue.	It was quite a common sight to see a little flapping fish tail for which her digestive organs had not room as yet, sticking out of her mouth like a lively tongue.	true	253.04	263.08	18
7837_109174_000012_000004	She would swim about delightedly, sucking it as a boy would suck a stick of candy.	She would swim about delightedly, sucking it as a boy would suck a stick of candy.	true	263.27	268.33	17.394934
7837_109174_000013_000000	One day she was gliding slowly through a clump of rushes, as lifeless and dead as any stick.	One day she was gliding slowly through a clump of rushes, as lifeless and dead as any stick.	true	269.45	275.77	18.082035
7837_109174_000013_000001	Her eyes seemed to be on stalks and spied eagerly round, but her body exhibited the least possible movement and eagerness.	Her eyes seemed to be on stalks and spied eagerly round, but her body exhibited the least possible movement and eagerness.	true	276.02	284.44	17
7837_109174_000014_000000	She turned, but even then holding herself stiff, and playing her new part of a drifting stick in a masterly manner.	She turned, but even then holding herself stiff, and playing her new part of a drifting stick in a masterly manner.	false	285.02	293.14	17.935316
7837_109174_000014_000001	As she did so she discovered her brother, as promising a specimen of a young pike as herself, with all the distinguishing marks of the race.	As she did so she discovered her brother, as promising a specimen of a young pike as herself, with all the distinguishing marks of the race.	true	293.66	303.37	19.287554
7837_109174_000015_000000	Although cold-blooded, she was of a fiery temperament, and as she was also hungry, she stared greedily and with cannibal feelings at the apparition.	Although cold blooded, she was of a fiery temperament, and as she was also hungry, she stared greedily and with cannibal feelings at the apparition.	true	304.28	313.75	19.214304
7837_109174_000015_000001	Her appetite grew in immeasurable units of time.	Her appetite grew in immeasurable units of time.	true	314.24	318.16	19.074106
7837_109174_000015_000002	The food was at hand, it stared her in the face; she forgot relationship and resemblance, and bending in the middle so that head and tail met, she seized her brother with a lightning movement.	The food was at hand, it stared her in the face; she forgot relationship and resemblance, and bending in the middle so that head and tail met, she seized her brother with a lightning movement.	false	318.65	331.45	18.168743
7837_109174_000016_000000	He was quite as big as she, struggled until he was unable to move a fin; but the stroke was successful.	He was quite as big as she, struggled until he was unable to move a fin; but the stroke was successful.	true	332.09	340.03	19.41081
7837_109174_000017_000000	She began to understand things, and grew ever fiercer and more violent and voracious.	She began to understand things, and grew ever fiercer and more violent and voracious.	true	341.21	346.54	17
7837_109174_000017_000001	Her teeth were doubled, and as they grew they were sharpened by the continual suction of the water through the gills.	Her teeth were doubled, and as they grew they were sharpened by the continual suction of the water through the gills.	true	347.06	353.92	19.869547
7837_109174_000017_000002	It was as if she understood their value, too, for she would often take up her position on the bottom and stir up grains of fine, hard sand, thus improving the grinding process considerably.	It was as if she understood their value, too, for she would often take up her position on the bottom and stir up grains of fine, hard sand, thus improving the grinding process considerably.	true	354.59	367.15	18
7837_109174_000018_000000	It was mostly in the half-light that she now went hunting, in the early dawn or at dusk.	It was mostly in the half light that she now went hunting, in the early dawn or at dusk.	true	368.27	374.8	18.99142
7837_109174_000018_000001	Her sharp eyes could see in the dark like those of the owl and the cat.	Her sharp eyes could see in the dark like those of the owl and the cat.	true	375.41	379.75	17
7837_109174_000018_000002	When the shadows lengthened, and the red glow from the sky spread over the water, she felt how favourable her surroundings were, and she became one with the power in her mighty nature.	When the shadows lengthened, and the red glow from the sky spread over the water, she felt how favourable her surroundings were, and she became one with the power in her mighty nature.	true	380.15	392.29	19.043663
7837_109174_000019_000000	But in the daytime, she lay peacefully drowsing.	But in the daytime, she lay peacefully drowsing.	true	393.2	396.49	20.383
7837_109174_000020_000000	The creek in which she lived had low-lying banks.	The creek in which she lived had low lying banks.	true	397.76	400.9	17.99603
7837_109174_000021_000000	Among the short, thick grass, orchids and marsh marigolds bloomed side by side, and the ragged robin unfolded its frayed, deep pink flowers upon a stiff, dark brown stalk, that always had a mass of frothy wetness about its head.	Among the short, thick grass, orchids and marsh marigolds bloomed side by side, and the ragged robin unfolded its frayed, deep pink flowers upon a stiff, dark brown stalk, that always had a mass of frothy wetness about its head.	true	401.6	418.45	19.266983
7837_109174_000022_000000	Farther out, the muddy water and horsetails began, and beyond them the tall, waving reeds, which stretched away in great clumps as far as it was possible for them to reach the bottom.	Farther out, the muddy water and horsetails began, and beyond them the tall, waving reeds, which stretched away in great clumps as far as it was possible for them to reach the bottom.	true	419.63	431.74	19.751863
7837_109174_000023_000000	Where _they_ left off, the round-stalked olive-green bog rushes began, wading farther and farther out, until in midstream they gathered in low clumps and groves, inhabited by an abundant insect life.	Where underscore they underscore left off, the round stalked olive green bog rushes began, wading farther and farther out, until in midstream they gathered in low clumps and groves, inhabited by an abundant insect life.	false	432.92	448.21	19.612793
7837_109174_000024_000000	Beautiful butterflies danced their bridal dance out there, some bright yellow with black borders, others with the sunset glow upon their wings.	Beautiful butterflies danced their bridal dance out there, some bright yellow with black borders, others with the sunset glow upon their wings.	true	449.84	459.52	19.91008
7837_109174_000024_000001	Dragon-flies and water-nymphs by the score refracted the sun's rays as they turned with a flash of all the colours of the rainbow. Black whirligigs lay in clusters and slept; and on the india rubber-like leaves of the water-lily, flies and wasps crawled about dry-shop, and refreshed themselves with the water.	Dragon flies and water nymphs by the score refracted the sun's rays as they turned with a flash of all the colours of the rainbow. Black whirligigs lay in clusters and slept; and on the india rubber like leaves of the water lily, flies and wasps crawled about dry shop, and refreshed themselves with the water.	false	459.95	482.86	19.005135
7837_109174_000025_000000	In the still, early morning the reeds sigh and tremble.	In the still, early morning the reeds sigh and tremble.	true	483.47	487.54	18.571337
7837_109174_000025_000001	The little yellowish grey sedge-warbler comes out suddenly from its hiding place, seizes the largest of the butterflies by the body, and as suddenly disappears again.	The little yellowish grey sedge warbler comes out suddenly from its hiding place, seizes the largest of the butterflies by the body, and as suddenly disappears again.	true	487.94	498.64	18.712692
7837_109174_000025_000002	A little later it begins its soft little sawing song, which blends so well with the perpetual, monotonous whispering of the reeds.	A little later it begins its soft little sawing song, which blends so well with the perpetual, monotonous whispering of the reeds.	true	499.22	507.94	20.261343
7837_109174_000026_000000	Grim, down among the vegetation, only faintly catches the subdued tones; she is occupied with an event that is developing with great rapidity.	Grim, down among the vegetation, only faintly catches the subdued tones; she is occupied with an event that is developing with great rapidity.	true	508.76	519.49	19.596443
7837_109174_000027_000000	A moth has fallen suddenly into the clear water.	A moth has fallen suddenly into the clear water.	false	520.16	523.51	18.31469
7837_109174_000027_000001	It tries to rise, but cannot, so darts rapidly across the surface of the water, dragging its tawny wings behind it.	It tries to rise, but cannot, so darts rapidly across the surface of the water, dragging its tawny wings behind it.	true	523.73	531.46	18
7837_109174_000027_000002	It puts forth its greatest speed, making in a straight line for the shore.	It puts forth its greatest speed, making in a straight line for the shore.	true	532.25	536.5	20.902605
7837_109174_000028_000000	But the whirligigs have seen the shipwreck, and dart out on their water-ski to tear the thing to pieces.	But the whirligigs have seen the shipwreck, and dart out on their water ski to tear the thing to pieces.	true	536.9	542.47	18
7837_109174_000028_000001	They advance with the speed of a torpedo-boat, and in peculiar spiral windings.	They advance with the speed of a torpedo boat, and in peculiar spiral windings.	true	543.02	548.74	19.700544
7837_109174_000028_000002	A wedge-shaped furrow stands out from the bow of each little pirate, and a tiny cascade in his wake.	A wedge shaped furrow stands out from the bow of each little pirate, and a tiny cascade in his wake.	false	549.23	555.9	20.43627
7837_109174_000029_000000	The poor moth becomes wetter and wetter, and less and less of his body remains visible as he exerts himself to reach the safety of the reeds, where he can climb up into a horse-tail and escape, just as a cat climbs into a tree to escape from a dog.	The poor moth becomes wetter and wetter, and less and less of his body remains visible as he exerts himself to reach the safety of the reeds, where he can climb up into a horse tail and escape, just as a cat climbs into a tree to escape from a dog.	false	555.9	572.53	19.23313
7837_109174_000030_000000	Unfortunately he does not succeed; he is in a sinking condition, and one of the whirligigs fastens voraciously upon his hind quarters.	Unfortunately he does not succeed; he is in a sinking condition, and one of the whirligigs fastens voraciously upon his hind quarters.	false	572.99	582.55	19.21912
7837_109174_000031_000000	The successful captor, however, is given no peace in which to devour his prey.	The successful captor, however, is given no peace in which to devour his prey.	true	583.64	588.31	17
7837_109174_000031_000001	He has to let it go, and seize it, and let it go again; and now a little fish--a bleak--begins to take a part in the play.	He has to let it go, and seize it, and let it go again; and now a little fish-a bleak-begins to take a part in the play.	true	588.32	595.93	18
7837_109174_000032_000000	The fluttering chase continues noiselessly across the surface of the water, and urged on by the whirligigs above and the bleak beneath, the moth approaches the reeds.	The fluttering chase continues noiselessly across the surface of the water, and urged on by the whirligigs above and the bleak beneath, the moth approaches the reeds.	true	596.21	606.91	19.58045
7837_109174_000033_000000	With muscles relaxed and dorsal fin laid flat, Grim lies motionless at its edge, whence again and again she catches a glimpse of the little silvery fish.	With muscles relaxed and dorsal fin laid flat, Grim lies motionless at its edge, whence again and again she catches a glimpse of the little silvery fish.	true	607.7	618.76	18.746138
7837_109174_000034_000000	Its delicate body is fat outside and in, plump and well nourished, and to the eyes of the fratricide is an irresistible temptation, making her hunger creep out to the very tips of her teeth.	Its delicate body is fat outside and in, plump and well nourished, and to the eyes of the fratricide is an irresistible temptation, making her hunger creep out to the very tips of her teeth.	true	619.37	633.25	18.64478
7837_109174_000035_000000	Her dorsal fin opens out and is cautiously raised, while her eyes greedily watch the movements of the nimble little fish.	Her dorsal fin opens out and is cautiously raised, while her eyes greedily watch the movements of the nimble little fish.	false	633.74	641.5	18
7837_109174_000036_000000	Flash follows flash, each bigger and brighter than the other.	Flash follows flash, each bigger and brighter than the other.	true	642.62	646.54	20.602388
7837_109174_000037_000000	Grim feels the excitement and ecstasy of the spoiler rush over her--all that immediately precedes possession of the spoil--and delights in the sensation.	Grim feels the excitement and ecstasy of the spoiler rush over her-all that immediately precedes possession of the spoil-and delights in the sensation.	true	646.61	657.07	18
7837_109174_000037_000001	She begins to change from her stick-like attitude, and imperceptibly to bend in the middle.	She begins to change from her stick like attitude, and imperceptibly to bend in the middle.	true	657.17	662.83	17
7837_109174_000038_000000	The plump little fish is too much engrossed in its moth-hunt. Unconcernedly it lets its back display a vivid, bright green lake-hue, while with its silvery belly it reflects all the rainbow colours of the water.	The plump little fish is too much engrossed in its moth hunt. Unconcernedly it lets its back display a vivid, bright green lake hue, while with its silvery belly it reflects all the rainbow colours of the water.	true	663.62	677.29	18.97383
7837_109174_000039_000000	Another couple of seconds and the prey is near.	Another couple of seconds and the prey is near.	true	677.81	680.86	18.926632
7837_109174_000040_000000	Then Grim makes her first real leap.	Then Grim makes her first real leap.	true	681.35	684.22	19.166468
7837_109174_000040_000001	It is successful.	It is successful.	true	684.44	685.96	22.286873
7837_109174_000040_000002	Ever since she was the length of a darning-needle, she had dreamt of this leap, dreamt that it would be successful.	Ever since she was the length of a darning needle, she had dreamt of this leap, dreamt that it would be successful.	true	686.39	693.7	19.773342
7837_109174_000041_000000	The sedge-warbler in the reedy island heard the splash, and the closing snap of the jaws.	The sedge warbler in the reedy island heard the splash, and the closing snap of the jaws.	true	694.49	700.42	17.44412
7837_109174_000041_000001	They closed with such firmness that the bird could feel, as it were, the helpless sigh of the victim, and the grateful satisfaction of the promising young pirate.	They closed with such firmness that the bird could feel, as it were, the helpless sigh of the victim, and the grateful satisfaction of the promising young pirate.	true	700.7	710.95	18.525335
7837_109174_000042_000000	She was the tiger of the water.	She was the tiger of the water.	true	711.92	714.13	17.34243
7837_109174_000042_000001	She would take her prey by cunning and by craft, and by treacherous attack.	She would take her prey by cunning and by craft, and by treacherous attack.	true	714.71	720.25	19.228088
7837_109174_000042_000002	She was seldom able to swim straight up to her food.	She was seldom able to swim straight up to her food.	false	720.59	724.21	20.5981
7837_109174_000042_000003	How could she chase the nimble antelopes of the lake when, timid and easily startled, they were grazing on the plains of the deep waters; they discovered her before she got near them and could begin her leap!	How could she chase the nimble antelopes of the lake when, timid and easily startled, they were grazing on the plains of the deep waters; they discovered her before she got near them and could begin her leap!	true	724.61	737.77	19.035898
7837_109174_000043_000000	Huge herds were there for her pleasure.	Huge herds were there for her pleasure.	true	738.62	741.28	18.774147
7837_109174_000043_000001	She had no need to exert herself, but could choose her quarry in ease and comfort.	She had no need to exert herself, but could choose her quarry in ease and comfort.	true	741.68	747.34	18.830643
7837_109174_000043_000002	The larger its size, and the greater the hunger and lust for murder that she felt within her, the more violence and energy did she put into the leap.	The larger its size, and the greater the hunger and lust for murder that she felt within her, the more violence and energy did she put into the leap.	true	747.62	756.88	19.313353
7837_109174_000043_000003	But just as the falcon may miss its aim, so might she, and it made her ashamed, like any other beast of prey; she did not repeat the leap, but only hastened away.	But just as the falcon may miss its aim, so might she, and it made her ashamed, like any other beast of prey; she did not repeat the leap, but only hastened away.	true	757.73	770.91	18.597733
7837_109174_000044_000000	But when her prey was struggling in her hundred-toothed jaws and slapping her on the mouth with its quivering tail-fin, then slowly, and with a peculiar, lingering enjoyment, she straightened herself out from her bent leaping posture.	But when her prey was struggling in her hundred toothed jaws and slapping her on the mouth with its quivering tail fin, then slowly, and with a peculiar, lingering enjoyment, she straightened herself out from her bent leaping posture.	true	770.91	785.98	19.334604
7837_109174_000044_000001	If she was hungry, she immediately swallowed her captive, but if not, she was fond, like the cat, of playing with her victim, swimming about with it in her mouth, twisting and turning it over, and chewing it for hours before she could make up her mind to swallow it.	If she was hungry, she immediately swallowed her captive, but if not, she was fond, like the cat, of playing with her victim, swimming about with it in her mouth, twisting and turning it over, and chewing it for hours before she could make up her mind to swallow it.	true	786.62	803.8	19.118008
7837_109174_000045_000000	She ate, she stuffed herself; and with much eating she waxed great.	She ate, she stuffed herself; and with much eating she waxed great.	true	804.2	810.15	19.521404
7837_109174_000046_000000	III: GRIM GOES EXPLORING	three: GRIM GOES EXPLORING	false	810.15	811.29	-20
7837_109174_000047_000000	In the creek where she lived among rushes and reeds, a shoal of perch had their abode.	In the creek where she lived among rushes and reeds, a shoal of perch had their abode.	false	811.29	813.42	19.244827
7837_109174_000047_000001	They were scarcely as big as she, but much thicker and older.	They were scarcely as big as she, but much thicker and older.	false	813.42	814.59	16.372612
7837_109174_000047_000002	Their leader in particular, by whose movements the whole flock were guided, was a broad bellied high-backed fellow, who knew the value of the weapon of defence he possessed in his strong, spiny dorsal fin.	Their leader in particular, by whose movements the whole flock were guided, was a broad bellied high backed fellow, who knew the value of the weapon of defence he possessed in his strong, spiny dorsal fin.	false	814.59	818.07	-20
