559_126296_000000_000000	HANSEL AND GRETEL	HANSEL AND GRETEL	true	26.76	28.27	17.852098
559_126296_000004_000002	And as they had been sitting such a long time, their eyes closed with fatigue, and they fell fast asleep.	And as they had been sitting such a long time, their eyes closed with fatigue, and they fell fast asleep.	true	342.11	350.05	15.400808
559_126296_000004_000003	When at last they awoke, it was already dark night.	When at last they awoke, it was already dark night.	true	350.42	354.34	19.771942
559_126296_000004_000004	Gretel began to cry and said: 'How are we to get out of the forest now?' But Hansel comforted her and said: 'Just wait a little, until the moon has risen, and then we will soon find the way.' And when the full moon had risen, Hansel took his little sister by the hand, and followed the pebbles which shone like newly-coined silver pieces, and showed them the way.	Gretel began to cry and said: 'How are we to get out of the forest now?' But Hansel comforted her and said: 'Just wait a little, until the moon has risen, and then we will soon find the way.' And when the full moon had risen, Hansel took his little sister by the hand, and followed the pebbles which shone like newly coined silver pieces, and showed them the way.	true	354.71	381.13	16.51921
559_126296_000005_000000	They walked the whole night long, and by break of day came once more to their father's house.	They walked the whole night long, and by break of day came once more to their father's house.	true	382.43	388.72	18.718994
559_126296_000005_000001	They knocked at the door, and when the woman opened it and saw that it was Hansel and Gretel, she said: 'You naughty children, why have you slept so long in the forest?--we thought you were never coming back at all!' The father, however, rejoiced, for it had cut him to the heart to leave them behind alone.	They knocked at the door, and when the woman opened it and saw that it was Hansel and Gretel, she said: 'You naughty children, why have you slept so long in the forest?--we thought you were never coming back at all!' The father, however, rejoiced, for it had cut him to the heart to leave them behind alone.	true	389.27	410.74	18.673557
559_126296_000006_000000	Not long afterwards, there was once more great dearth throughout the land, and the children heard their mother saying at night to their father: 'Everything is eaten again, we have one half loaf left, and that is the end.	Not long afterwards, there was once more great dearth throughout the land, and the children heard their mother saying at night to their father: 'Everything is eaten again, we have one half loaf left, and that is the end.	true	413.15	427.63	19.695477
559_126296_000006_000001	The children must go, we will take them farther into the wood, so that they will not find their way out again; there is no other means of saving ourselves!' The man's heart was heavy, and he thought: 'It would be better for you to share the last mouthful with your children.' The woman, however, would listen to nothing that he had to say, but scolded and reproached him.	The children must go, we will take them farther into the wood, so that they will not find their way out again; there is no other means of saving ourselves!' The man's heart was heavy, and he thought: 'It would be better for you to share the last mouthful with your children.' The woman, however, would listen to nothing that he had to say, but scolded and reproached him.	false	427.73	453.76	17.5404
559_126296_000006_000002	He who says A must say B, likewise, and as he had yielded the first time, he had to do so a second time also.	He who says A must say B, likewise, and as he had yielded the first time, he had to do so a second time also.	true	454.55	466.06	18.077148
559_126296_000007_000000	The children, however, were still awake and had heard the conversation. When the old folks were asleep, Hansel again got up, and wanted to go out and pick up pebbles as he had done before, but the woman had locked the door, and Hansel could not get out.	The children, however, were still awake and had heard the conversation. When the old folks were asleep, Hansel again got up, and wanted to go out and pick up pebbles as he had done before, but the woman had locked the door, and Hansel could not get out.	true	467.69	485.11	17.696508
559_126296_000007_000001	Nevertheless he comforted his little sister, and said: 'Do not cry, Gretel, go to sleep quietly, the good God will help us.'	Nevertheless he comforted his little sister, and said: 'Do not cry, Gretel, go to sleep quietly, the good God will help us.'	true	485.75	494.74	17.603703
559_126296_000008_000000	Early in the morning came the woman, and took the children out of their beds.	Early in the morning came the woman, and took the children out of their beds.	true	496.13	501	16.018799
559_126296_000008_000001	Their piece of bread was given to them, but it was still smaller than the time before.	Their piece of bread was given to them, but it was still smaller than the time before.	true	501	505.96	15
559_126296_000008_000002	On the way into the forest Hansel crumbled his in his pocket, and often stood still and threw a morsel on the ground. 'Hansel, why do you stop and look round?' said the father, 'go on.' 'I am looking back at my little pigeon which is sitting on the roof, and wants to say goodbye to me,' answered Hansel. 'Fool!' said the woman, 'that is not your little pigeon, that is the morning sun that is shining on the chimney.' Hansel, however little by little, threw all the crumbs on the path.	On the way into the forest Hansel crumbled his in his pocket, and often stood still and threw a morsel on the ground. 'Hansel, why do you stop and look round?' said the father, 'go on.' 'I am looking back at my little pigeon which is sitting on the roof, and wants to say goodbye to me,' answered Hansel. 'Fool!' said the woman, 'that is not your little pigeon, that is the morning sun that is shining on the chimney.' Hansel, however little by little, threw all the crumbs on the path.	false	506.72	540.94	15.740159
559_126296_000009_000000	The woman led the children still deeper into the forest, where they had never in their lives been before.	The woman led the children still deeper into the forest, where they had never in their lives been before.	true	543.62	550.27	16.936869
559_126296_000009_000001	Then a great fire was again made, and the mother said: 'Just sit there, you children, and when you are tired you may sleep a little; we are going into the forest to cut wood, and in the evening when we are done, we will come and fetch you away.' When it was noon, Gretel shared her piece of bread with Hansel, who had scattered his by the way.	Then a great fire was again made, and the mother said: 'Just sit there, you children, and when you are tired you may sleep a little; we are going into the forest to cut wood, and in the evening when we are done, we will come and fetch you away.' When it was noon, Gretel shared her piece of bread with Hansel, who had scattered his by the way.	true	550.79	573.43	17.097208
559_126296_000009_000002	Then they fell asleep and evening passed, but no one came to the poor children.	Then they fell asleep and evening passed, but no one came to the poor children.	true	574.22	579.91	16
559_126296_000009_000003	They did not awake until it was dark night, and Hansel comforted his little sister and said: 'Just wait, Gretel, until the moon rises, and then we shall see the crumbs of bread which I have strewn about, they will show us our way home again.' When the moon came they set out, but they found no crumbs, for the many thousands of birds which fly about in the woods and fields had picked them all up.	They did not awake until it was dark night, and Hansel comforted his little sister and said: 'Just wait, Gretel, until the moon rises, and then we shall see the crumbs of bread which I have strewn about, they will show us our way home again.' When the moon came they set out, but they found no crumbs, for the many thousands of birds which fly about in the woods and fields had picked them all up.	true	580.37	608.32	16.469593
559_126296_000009_000004	Hansel said to Gretel: 'We shall soon find the way,' but they did not find it.	Hansel said to Gretel: 'We shall soon find the way,' but they did not find it.	true	608.93	615.19	16.059776
559_126296_000009_000005	They walked the whole night and all the next day too from morning till evening, but they did not get out of the forest, and were very hungry, for they had nothing to eat but two or three berries, which grew on the ground.	They walked the whole night and all the next day too from morning till evening, but they did not get out of the forest, and were very hungry, for they had nothing to eat but two or three berries, which grew on the ground.	true	616.01	629.71	17.72447
559_126296_000009_000006	And as they were so weary that their legs would carry them no longer, they lay down beneath a tree and fell asleep.	And as they were so weary that their legs would carry them no longer, they lay down beneath a tree and fell asleep.	false	630.44	638.86	17.546852
559_126296_000010_000000	It was now three mornings since they had left their father's house.	It was now three mornings since they had left their father's house.	true	640.55	644.29	16
559_126296_000010_000001	They began to walk again, but they always came deeper into the forest, and if help did not come soon, they must die of hunger and weariness.	They began to walk again, but they always came deeper into the forest, and if help did not come soon, they must die of hunger and weariness.	true	644.63	655.69	17.78085
559_126296_000010_000002	When it was mid-day, they saw a beautiful snow-white bird sitting on a bough, which sang so delightfully that they stood still and listened to it.	When it was mid day, they saw a beautiful snow white bird sitting on a bough, which sang so delightfully that they stood still and listened to it.	true	656.72	668.02	15.19483
559_126296_000010_000003	And when its song was over, it spread its wings and flew away before them, and they followed it until they reached a little house, on the roof of which it alighted; and when they approached the little house they saw that it was built of bread and covered with cakes, but that the windows were of clear sugar.	And when its song was over, it spread its wings and flew away before them, and they followed it until they reached a little house, on the roof of which it alighted; and when they approached the little house they saw that it was built of bread and covered with cakes, but that the windows were of clear sugar.	true	668.57	688.6	17.83873
559_126296_000010_000004	'We will set to work on that,' said Hansel, 'and have a good meal.	'We will set to work on that,' said Hansel, 'and have a good meal.	true	689.45	693.43	20.384232
559_126296_000010_000005	I will eat a bit of the roof, and you Gretel, can eat some of the window, it will taste sweet.' Hansel reached up above, and broke off a little of the roof to try how it tasted, and Gretel leant against the window and nibbled at the panes.	I will eat a bit of the roof, and you Gretel, can eat some of the window, it will taste sweet.' Hansel reached up above, and broke off a little of the roof to try how it tasted, and Gretel leant against the window and nibbled at the panes.	true	693.56	710.35	17.077847
559_126296_000010_000006	Then a soft voice cried from the parlour:	Then a soft voice cried from the parlour:	true	710.81	714.7	14.706552
559_126296_000011_000000	'Nibble, nibble, gnaw, Who is nibbling at my little house?'	'Nibble, nibble, gnaw, Who is nibbling at my little house?'	true	715.34	721.9	14.831898
559_126296_000012_000000	The children answered:	The children answered:	true	722.36	723.7	7.0981617
559_126296_000013_000000	'The wind, the wind, The heaven-born wind,'	'The wind, the wind, The heaven born wind,'	true	724.28	729.28	14.04358
559_126296_000014_000000	and went on eating without disturbing themselves.	and went on eating without disturbing themselves.	true	730.52	733.69	18.853634
559_126296_000014_000001	Hansel, who liked the taste of the roof, tore down a great piece of it, and Gretel pushed out the whole of one round window-pane, sat down, and enjoyed herself with it.	Hansel, who liked the taste of the roof, tore down a great piece of it, and Gretel pushed out the whole of one round window pane, sat down, and enjoyed herself with it.	true	736.19	749.23	17.36633
559_126296_000014_000002	Suddenly the door opened, and a woman as old as the hills, who supported herself on crutches, came creeping out.	Suddenly the door opened, and a woman as old as the hills, who supported herself on crutches, came creeping out.	true	750.08	758.95	19.200281
559_126296_000014_000003	Hansel and Gretel were so terribly frightened that they let fall what they had in their hands.	Hansel and Gretel were so terribly frightened that they let fall what they had in their hands.	true	760.19	766.93	15.854654
559_126296_000014_000004	The old woman, however, nodded her head, and said: 'Oh, you dear children, who has brought you here?	The old woman, however, nodded her head, and said: 'Oh, you dear children, who has brought you here?	true	768.02	776.32	16.684628
559_126296_000014_000005	do come in, and stay with me.	do come in, and stay with me.	true	776.72	778.81	16
559_126296_000014_000006	No harm shall happen to you.' She took them both by the hand, and led them into her little house.	No harm shall happen to you.' She took them both by the hand, and led them into her little house.	true	779.06	787.39	16.805923
559_126296_000014_000007	Then good food was set before them, milk and pancakes, with sugar, apples, and nuts.	Then good food was set before them, milk and pancakes, with sugar, apples, and nuts.	true	787.88	796.12	16.605894
559_126296_000014_000008	Afterwards two pretty little beds were covered with clean white linen, and Hansel and Gretel lay down in them, and thought they were in heaven.	Afterwards two pretty little beds were covered with clean white linen, and Hansel and Gretel lay down in them, and thought they were in heaven.	true	796.25	807.67	16.341621
559_126296_000015_000000	The old woman had only pretended to be so kind; she was in reality a wicked witch, who lay in wait for children, and had only built the little house of bread in order to entice them there.	The old woman had only pretended to be so kind; she was in reality a wicked witch, who lay in wait for children, and had only built the little house of bread in order to entice them there.	true	809.57	824.02	14.81689
559_126296_000015_000001	When a child fell into her power, she killed it, cooked and ate it, and that was a feast day with her.	When a child fell into her power, she killed it, cooked and ate it, and that was a feast day with her.	true	825.02	835.03	13.864395
559_126296_000015_000002	Witches have red eyes, and cannot see far, but they have a keen scent like the beasts, and are aware when human beings draw near. When Hansel and Gretel came into her neighbourhood, she laughed with malice, and said mockingly: 'I have them, they shall not escape me again!' Early in the morning before the children were awake, she was already up, and when she saw both of them sleeping and looking so pretty, with their plump and rosy cheeks she muttered to herself: 'That will be a dainty mouthful!' Then she seized Hansel with her shrivelled hand, carried him into a little stable, and locked him in behind a grated door.	Witches have red eyes, and cannot see far, but they have a keen scent like the beasts, and are aware when human beings draw near. When Hansel and Gretel came into her neighbourhood, she laughed with malice, and said mockingly: 'I have them, they shall not escape me again!' Early in the morning before the children were awake, she was already up, and when she saw both of them sleeping and looking so pretty, with their plump and rosy cheeks she muttered to herself: 'That will be a dainty mouthful!' Then she seized Hansel with her shrivelled hand, carried him into a little stable, and locked him in behind a grated door.	false	835.58	882.91	15.479304
559_126296_000015_000003	Scream as he might, it would not help him.	Scream as he might, it would not help him.	true	883.31	886.72	18.60211
559_126296_000015_000004	Then she went to Gretel, shook her till she awoke, and cried: 'Get up, lazy thing, fetch some water, and cook something good for your brother, he is in the stable outside, and is to be made fat.	Then she went to Gretel, shook her till she awoke, and cried: 'Get up, lazy thing, fetch some water, and cook something good for your brother, he is in the stable outside, and is to be made fat.	true	887.3	900.22	20.665154
559_126296_000015_000005	When he is fat, I will eat him.' Gretel began to weep bitterly, but it was all in vain, for she was forced to do what the wicked witch commanded.	When he is fat, I will eat him.' Gretel began to weep bitterly, but it was all in vain, for she was forced to do what the wicked witch commanded.	true	900.95	914.62	15.025295
559_126296_000016_000000	And now the best food was cooked for poor Hansel, but Gretel got nothing but crab-shells.	And now the best food was cooked for poor Hansel, but Gretel got nothing but crab shells.	true	916.01	922.18	18.304026
559_126296_000016_000001	Every morning the woman crept to the little stable, and cried: 'Hansel, stretch out your finger that I may feel if you will soon be fat.' Hansel, however, stretched out a little bone to her, and the old woman, who had dim eyes, could not see it, and thought it was Hansel's finger, and was astonished that there was no way of fattening him.	Every morning the woman crept to the little stable, and cried: 'Hansel, stretch out your finger that I may feel if you will soon be fat.' Hansel, however, stretched out a little bone to her, and the old woman, who had dim eyes, could not see it, and thought it was Hansel's finger, and was astonished that there was no way of fattening him.	false	922.61	946	18.595432
559_126296_000016_000002	When four weeks had gone by, and Hansel still remained thin, she was seized with impatience and would not wait any longer.	When four weeks had gone by, and Hansel still remained thin, she was seized with impatience and would not wait any longer.	true	947.66	955.9	17
559_126296_000016_000003	'Now, then, Gretel,' she cried to the girl, 'stir yourself, and bring some water. Let Hansel be fat or lean, tomorrow I will kill him, and cook him.' Ah, how the poor little sister did lament when she had to fetch the water, and how her tears did flow down her cheeks!	'Now, then, Gretel,' she cried to the girl, 'stir yourself, and bring some water. Let Hansel be fat or lean, tomorrow I will kill him, and cook him.' Ah, how the poor little sister did lament when she had to fetch the water, and how her tears did flow down her cheeks!	true	956.81	976.21	20.219976
559_126296_000016_000004	'Dear God, do help us,' she cried.	'Dear God, do help us,' she cried.	true	978.17	981.94	17.693007
559_126296_000016_000005	'If the wild beasts in the forest had but devoured us, we should at any rate have died together.' 'Just keep your noise to yourself,' said the old woman, 'it won't help you at all.'	'If the wild beasts in the forest had but devoured us, we should at any rate have died together.' 'Just keep your noise to yourself,' said the old woman, 'it won't help you at all.'	true	982.64	996.19	18.027767
559_126296_000017_000000	Early in the morning, Gretel had to go out and hang up the cauldron with the water, and light the fire.	Early in the morning, Gretel had to go out and hang up the cauldron with the water, and light the fire.	true	998.51	1005.31	16.257711
559_126296_000017_000001	'We will bake first,' said the old woman, 'I have already heated the oven, and kneaded the dough.' She pushed poor Gretel out to the oven, from which flames of fire were already darting. 'Creep in,' said the witch, 'and see if it is properly heated, so that we can put the bread in.' And once Gretel was inside, she intended to shut the oven and let her bake in it, and then she would eat her, too. But Gretel saw what she had in mind, and said: 'I do not know how I am to do it; how do I get in?' 'Silly goose,' said the old woman.	'We will bake first,' said the old woman, 'I have already heated the oven, and kneaded the dough.' She pushed poor Gretel out to the oven, from which flames of fire were already darting. 'Creep in,' said the witch, 'and see if it is properly heated, so that we can put the bread in.' And once Gretel was inside, she intended to shut the oven and let her bake in it, and then she would eat her, too. But Gretel saw what she had in mind, and said: 'I do not know how I am to do it; how do I get in?' 'Silly goose,' said the old woman.	true	1006.46	1054.87	16.436953
559_126296_000017_000002	'The door is big enough; just look, I can get in myself!' and she crept up and thrust her head into the oven.	'The door is big enough; just look, I can get in myself!' and she crept up and thrust her head into the oven.	true	1054.88	1063.6	17.317371
559_126296_000017_000003	Then Gretel gave her a push that drove her far into it, and shut the iron door, and fastened the bolt.	Then Gretel gave her a push that drove her far into it, and shut the iron door, and fastened the bolt.	true	1064.33	1072.36	17.697144
559_126296_000017_000004	Oh! then she began to howl quite horribly, but Gretel ran away and the godless witch was miserably burnt to death.	Oh! then she began to howl quite horribly, but Gretel ran away and the godless witch was miserably burnt to death.	true	1072.85	1083.7	16.254957
559_126296_000018_000000	Gretel, however, ran like lightning to Hansel, opened his little stable, and cried: 'Hansel, we are saved!	Gretel, however, ran like lightning to Hansel, opened his little stable, and cried: 'Hansel, we are saved!	true	1084.67	1092.88	18.771395
559_126296_000018_000001	The old witch is dead!' Then Hansel sprang like a bird from its cage when the door is opened.	The old witch is dead!' Then Hansel sprang like a bird from its cage when the door is opened.	true	1092.88	1100.2	16.904531
559_126296_000018_000002	How they did rejoice and embrace each other, and dance about and kiss each other!	How they did rejoice and embrace each other, and dance about and kiss each other!	true	1100.48	1105.66	14
559_126296_000018_000003	And as they had no longer any need to fear her, they went into the witch's house, and in every corner there stood chests full of pearls and jewels. 'These are far better than pebbles!' said Hansel, and thrust into his pockets whatever could be got in, and Gretel said: 'I, too, will take something home with me,' and filled her pinafore full.	And as they had no longer any need to fear her, they went into the witch's house, and in every corner there stood chests full of pearls and jewels. 'These are far better than pebbles!' said Hansel, and thrust into his pockets whatever could be got in, and Gretel said: 'I, too, will take something home with me,' and filled her pinafore full.	true	1106.18	1131.16	16.735172
559_126296_000018_000004	'But now we must be off,' said Hansel, 'that we may get out of the witch's forest.'	'But now we must be off,' said Hansel, 'that we may get out of the witch's forest.'	true	1131.86	1136.98	19.856651
559_126296_000019_000000	When they had walked for two hours, they came to a great stretch of water.	When they had walked for two hours, they came to a great stretch of water.	true	1138.76	1143.13	19.773777
559_126296_000019_000001	'We cannot cross,' said Hansel, 'I see no foot-plank, and no bridge.' 'And there is also no ferry,' answered Gretel, 'but a white duck is swimming there: if I ask her, she will help us over.' Then she cried:	'We cannot cross,' said Hansel, 'I see no foot plank, and no bridge.' 'And there is also no ferry,' answered Gretel, 'but a white duck is swimming there: if I ask her, she will help us over.' Then she cried:	true	1144.13	1162.03	17.676031
559_126296_000020_000000	'Little duck, little duck, dost thou see, Hansel and Gretel are waiting for thee? There's never a plank, or bridge in sight, Take us across on thy back so white.'	'Little duck, little duck, dost thou see, Hansel and Gretel are waiting for thee? There's never a plank, or bridge in sight, Take us across on thy back so white.'	false	1162.73	1178.2	16.57394
559_126296_000021_000000	The duck came to them, and Hansel seated himself on its back, and told his sister to sit by him.	The duck came to them, and Hansel seated himself on its back, and told his sister to sit by him.	true	1180.34	1187.65	16.82103
559_126296_000021_000001	'No,' replied Gretel, 'that will be too heavy for the little duck; she shall take us across, one after the other.' The good little duck did so, and when they were once safely across and had walked for a short time, the forest seemed to be more and more familiar to them, and at length they saw from afar their father's house.	'No,' replied Gretel, 'that will be too heavy for the little duck; she shall take us across, one after the other.' The good little duck did so, and when they were once safely across and had walked for a short time, the forest seemed to be more and more familiar to them, and at length they saw from afar their father's house.	true	1188.44	1212.85	15.950426
559_126296_000021_000002	Then they began to run, rushed into the parlour, and threw themselves round their father's neck.	Then they began to run, rushed into the parlour, and threw themselves round their father's neck.	true	1213.04	1219.3	17
559_126296_000021_000003	The man had not known one happy hour since he had left the children in the forest; the woman, however, was dead.	The man had not known one happy hour since he had left the children in the forest; the woman, however, was dead.	true	1220.12	1228.21	15.843724
559_126296_000021_000004	Gretel emptied her pinafore until pearls and precious stones ran about the room, and Hansel threw one handful after another out of his pocket to add to them.	Gretel emptied her pinafore until pearls and precious stones ran about the room, and Hansel threw one handful after another out of his pocket to add to them.	true	1229.45	1241.02	17.4352
559_126296_000021_000005	Then all anxiety was at an end, and they lived together in perfect happiness.	Then all anxiety was at an end, and they lived together in perfect happiness.	true	1241.81	1249.24	15.770653
559_126296_000021_000006	My tale is done, there runs a mouse; whosoever catches it, may make himself a big fur cap out of it.	My tale is done, there runs a mouse; whosoever catches it, may make himself a big fur cap out of it.	false	1249.97	1262.82	12.720243
559_126296_000022_000000	THE MOUSE, THE BIRD, AND THE SAUSAGE	THE MOUSE, THE BIRD, AND THE SAUSAGE	false	1262.82	1265.4	15.549099
559_126296_000023_000000	Once upon a time, a mouse, a bird, and a sausage, entered into partnership and set up house together.	Once upon a time, a mouse, a bird, and a sausage, entered into partnership and set up house together.	false	1265.4	1272.53	14.451328
559_126296_000023_000001	For a long time all went well; they lived in great comfort, and prospered so far as to be able to add considerably to their stores.	For a long time all went well; they lived in great comfort, and prospered so far as to be able to add considerably to their stores.	false	1272.53	1275.66	16.850876
559_126296_000023_000002	The bird's duty was to fly daily into the wood and bring in fuel; the mouse fetched the water, and the sausage saw to the cooking.	The bird's duty was to fly daily into the wood and bring in fuel; the mouse fetched the water, and the sausage saw to the cooking.	false	1275.66	1275.72	56
