6258_49755_000002_000000	XII	twelve
6258_49755_000034_000000	"Friend," said he, "hearken to me.	"Friend," said he, "hearken to me.
6258_49755_000034_000002	I have seen much, and gone to and fro about the world.	I have seen much, and gone to and fro about the world.
6258_49755_000034_000004	This day I am overthrown by a boy, and yet I cannot help but love thee."	This day I am overthrown by a boy, and yet I cannot help but love thee."
6258_49755_000035_000006	In hope and wish I purpose to cross the sea, and return to my own realm.	In hope and wish I purpose to cross the sea, and return to my own realm.
6258_49755_000036_000001	He got him swiftly from his horse, and taking the lad by the fringe of his hauberk, he cried, "Praise be to God, for now am I healed.	He got him swiftly from his horse, and taking the lad by the fringe of his hauberk, he cried, "Praise be to God, for now am I healed.
6258_49755_000036_000002	Fair friend, by my faith thou art my very son, for whom I came forth from my own land, and have sought through all this realm."	Fair friend, by my faith thou art my very son, for whom I came forth from my own land, and have sought through all this realm."
6258_49755_000037_000000	The varlet climbed from the saddle, and stood upon his feet.	The varlet climbed from the saddle, and stood upon his feet.
6258_49755_000037_000001	Father and son kissed each other tenderly, with many comfortable words.	Father and son kissed each other tenderly, with many comfortable words.
6258_49755_000037_000002	Their love was fair to see, and those who looked upon their meeting, wept for joy and pity.	Their love was fair to see, and those who looked upon their meeting, wept for joy and pity.
6258_49755_000038_000001	They rode to their hostel, and with the knights of their fellowship, passed the hours in mirth and revelry.	They rode to their hostel, and with the knights of their fellowship, passed the hours in mirth and revelry.
6258_49755_000040_000000	"In faith, fair father, let us return to our own land.	"In faith, fair father, let us return to our own land.
6258_49755_000041_000001	They embarked in a propitious hour, for a fair wind carried the ship right swiftly to its haven.	They embarked in a propitious hour, for a fair wind carried the ship right swiftly to its haven.
6258_49755_000041_000003	His task was done long before sundown in chancing on the knight.	His task was done long before sundown in chancing on the knight.
6258_49755_000041_000004	He gave over the sealed writing with which he was charged, praying the knight to hasten to his friend without any tarrying, since her husband was in his grave.	He gave over the sealed writing with which he was charged, praying the knight to hasten to his friend without any tarrying, since her husband was in his grave.
6258_49755_000041_000005	Milon rejoiced greatly when he knew this thing.	Milon rejoiced greatly when he knew this thing.
6258_49755_000042_000000	Of their love and content the minstrel wrought this Lay.	Of their love and content the minstrel wrought this Lay.
